Orthogroup	Mus_musculus	Equus_caballus
OG0002136	sp|Q9QZM4|TR10B_MOUSE	tr|F6SDD8|F6SDD8_HORSE, tr|F6SDY4|F6SDY4_HORSE
OG0002137	sp|Q6UJY2|SL9C1_MOUSE	tr|A0A3Q2GU81|A0A3Q2GU81_HORSE, tr|F7D8N3|F7D8N3_HORSE
OG0002138	sp|Q6P4T2|U520_MOUSE	tr|A0A3Q2I689|A0A3Q2I689_HORSE, tr|F7E0H9|F7E0H9_HORSE
OG0002139	sp|Q6P8Y1|CAPSL_MOUSE	tr|F6XZQ1|F6XZQ1_HORSE, tr|A0A3Q2I3U9|A0A3Q2I3U9_HORSE
OG0002140	sp|Q8VH51|RBM39_MOUSE	tr|A0A5F5PYK5|A0A5F5PYK5_HORSE, tr|F7AKJ4|F7AKJ4_HORSE
OG0002141	sp|Q8BM89|ARSJ_MOUSE	tr|A0A3Q2HHU2|A0A3Q2HHU2_HORSE, tr|F6YAQ9|F6YAQ9_HORSE
OG0002142	sp|Q8BGD4|SO4C1_MOUSE	tr|F6YZ58|F6YZ58_HORSE, tr|F7CMN7|F7CMN7_HORSE
OG0002143	sp|P26339|CMGA_MOUSE	sp|Q9XS63|CMGA_HORSE, tr|A0A3Q2H9N9|A0A3Q2H9N9_HORSE
OG0002144	sp|Q3V1M1|IGS10_MOUSE	tr|F6VQH4|F6VQH4_HORSE, tr|F6PJV0|F6PJV0_HORSE
OG0002145	sp|Q05CL8|LARP7_MOUSE, tr|A2AMD0|A2AMD0_MOUSE	tr|F6VCT7|F6VCT7_HORSE
OG0002146	sp|P49183|DNAS1_MOUSE	tr|F6U5H6|F6U5H6_HORSE, sp|Q4AEE3|DNAS1_HORSE
OG0002147	sp|Q80T19|HEPC2_MOUSE, sp|Q9EQ21|HEPC_MOUSE	tr|D1KKA2|D1KKA2_HORSE
OG0002148	sp|Q05769|PGH2_MOUSE	tr|A0A5S7N7I1|A0A5S7N7I1_HORSE, sp|O19183|PGH2_HORSE
OG0002149	sp|Q9Z2D3|GSDME_MOUSE	sp|Q7YS54|GSDME_HORSE, tr|F6WG65|F6WG65_HORSE
OG0002150	sp|P53995|APC1_MOUSE	tr|F6R0L2|F6R0L2_HORSE, tr|A0A3Q2HWQ8|A0A3Q2HWQ8_HORSE
OG0002151	tr|A0A087WRM1|A0A087WRM1_MOUSE	tr|A0A3Q2GZ64|A0A3Q2GZ64_HORSE, tr|A0A3Q2L534|A0A3Q2L534_HORSE
OG0002152	sp|Q8R4U6|TOP1M_MOUSE, sp|Q04750|TOP1_MOUSE	tr|A0A3Q2LJ69|A0A3Q2LJ69_HORSE
OG0002153	sp|O35386|PAHX_MOUSE	tr|A0A5F5PKE3|A0A5F5PKE3_HORSE, tr|F6SPT2|F6SPT2_HORSE
OG0002154	sp|Q8C5W4|MOR2B_MOUSE, sp|Q69ZX6|MOR2A_MOUSE	tr|A0A5F5Q0Q4|A0A5F5Q0Q4_HORSE
OG0002155	sp|Q5SF07|IF2B2_MOUSE, sp|O88477|IF2B1_MOUSE	tr|F6RV24|F6RV24_HORSE
OG0002156	sp|Q78RX3|SIM12_MOUSE	tr|A0A452GES5|A0A452GES5_HORSE, sp|F6USH3|SIM12_HORSE
OG0002157	sp|Q91WS7|DEPD7_MOUSE	tr|F6W9N4|F6W9N4_HORSE, tr|F7E3H4|F7E3H4_HORSE
OG0002158	sp|P97468|CML1_MOUSE, sp|Q8K087|CML2_MOUSE	tr|F7AHQ8|F7AHQ8_HORSE
OG0002159	sp|Q8CFG8|CS1B_MOUSE, sp|Q8CG14|CS1A_MOUSE	tr|F7BQD6|F7BQD6_HORSE
OG0002160	sp|P43432|IL12B_MOUSE	sp|Q9XSQ5|IL12B_HORSE, tr|F6RIY4|F6RIY4_HORSE
OG0002161	sp|Q9JLZ3|AUHM_MOUSE, sp|Q3TLP5|ECHD2_MOUSE	tr|F6RY06|F6RY06_HORSE
OG0002162	sp|Q8BR63|F177A_MOUSE	tr|F6SS87|F6SS87_HORSE, tr|F6WX72|F6WX72_HORSE
OG0002163	sp|P0DP43|CTSRE_MOUSE, sp|A0A0A6YXX9|CTSEL_MOUSE	tr|F6VQM9|F6VQM9_HORSE
OG0002164	sp|P97497|SHBG_MOUSE, sp|Q61592|GAS6_MOUSE	tr|H9GZM1|H9GZM1_HORSE
OG0002165	sp|Q9WUR2|ECI2_MOUSE, sp|Q78JN3|ECI3_MOUSE	tr|A0A3Q2GTY0|A0A3Q2GTY0_HORSE
OG0002166	sp|P02340|P53_MOUSE	tr|A0A3Q2HE67|A0A3Q2HE67_HORSE, sp|P79892|P53_HORSE
OG0002167	sp|Q8BFQ2|T229B_MOUSE, sp|B9EJI9|T229A_MOUSE	tr|A0A5F5PQN8|A0A5F5PQN8_HORSE
OG0002168	sp|Q76JU9|FFAR1_MOUSE, sp|Q3UFD7|FFAR3_MOUSE	tr|F6PPN0|F6PPN0_HORSE
OG0002169	sp|Q8BQ48|CE295_MOUSE, sp|Q497N6|C295L_MOUSE	tr|A0A3Q2L4H0|A0A3Q2L4H0_HORSE
OG0002170	sp|P55264|ADK_MOUSE	tr|A0A5F5PGC3|A0A5F5PGC3_HORSE, tr|A0A3Q2HIX1|A0A3Q2HIX1_HORSE
OG0002171	sp|P35235|PTN11_MOUSE	tr|F6UPH6|F6UPH6_HORSE, tr|F6R6R8|F6R6R8_HORSE
OG0002172	sp|O09111|NDUBB_MOUSE, tr|Q9CQ68|Q9CQ68_MOUSE	tr|F6WCA8|F6WCA8_HORSE
OG0002173	sp|Q9D9X8|SACA3_MOUSE	tr|F7AAD0|F7AAD0_HORSE, sp|P81710|LYSC2_HORSE
OG0002174	sp|A1A546|ISX_MOUSE	tr|A0A3Q2I670|A0A3Q2I670_HORSE, tr|F7CV34|F7CV34_HORSE
OG0002175	sp|Q8BWQ6|VP35L_MOUSE	tr|A0A3Q2HGW9|A0A3Q2HGW9_HORSE, tr|F6T9J3|F6T9J3_HORSE
OG0002176	sp|P63085|MK01_MOUSE, sp|Q63844|MK03_MOUSE	tr|F7C0M6|F7C0M6_HORSE
OG0002177	sp|Q61249|IGBP1_MOUSE, sp|Q9QZ29|IGB1B_MOUSE	tr|A0A3Q2H9H1|A0A3Q2H9H1_HORSE
OG0002178	tr|Q9CZ70|Q9CZ70_MOUSE, sp|Q8K2H1|PPHLN_MOUSE	tr|A0A3Q2HCE0|A0A3Q2HCE0_HORSE
OG0002179	sp|D3Z4I3|RBM24_MOUSE	tr|A0A3Q2HID1|A0A3Q2HID1_HORSE, tr|A0A3Q2LDD2|A0A3Q2LDD2_HORSE
OG0002180	sp|Q64455|PTPRJ_MOUSE	tr|A0A3Q2H905|A0A3Q2H905_HORSE, tr|A0A3Q2HKT0|A0A3Q2HKT0_HORSE
OG0002181	sp|P70390|SHOX2_MOUSE	tr|A0A3Q2I738|A0A3Q2I738_HORSE, tr|A0A3Q2IBI6|A0A3Q2IBI6_HORSE
OG0002182	sp|Q3U6Q4|PI3R6_MOUSE, sp|Q5SW28|PI3R5_MOUSE	tr|A0A5F5PKS0|A0A5F5PKS0_HORSE
OG0002183	sp|B2RRL2|JERKL_MOUSE	tr|F7AI66|F7AI66_HORSE, tr|F6VDT3|F6VDT3_HORSE
OG0002184	tr|A0A571BEE2|A0A571BEE2_MOUSE	tr|A0A3Q2H1R8|A0A3Q2H1R8_HORSE, tr|A0A3Q2HJ01|A0A3Q2HJ01_HORSE
OG0002185	sp|Q810Z1|LCN10_MOUSE	tr|A0A3Q2I0D1|A0A3Q2I0D1_HORSE, tr|F7AR80|F7AR80_HORSE
OG0002186	sp|Q00558|HAP40_MOUSE	tr|A0A3Q2I640|A0A3Q2I640_HORSE, tr|A0A3Q2H601|A0A3Q2H601_HORSE
OG0002187	sp|P16015|CAH3_MOUSE	sp|P07450|CAH3_HORSE, tr|A0A5S7MMR1|A0A5S7MMR1_HORSE
OG0002188	sp|Q6ZWV7|RL35_MOUSE	tr|F7C9N2|F7C9N2_HORSE, tr|A0A5F5PZ86|A0A5F5PZ86_HORSE
OG0002189	sp|P47939|RES18_MOUSE, sp|Q60673|PTPRN_MOUSE	tr|F7D9P9|F7D9P9_HORSE
OG0002190	sp|Q9D7Z6|CLCA1_MOUSE	tr|A0A5S7NAP8|A0A5S7NAP8_HORSE, sp|Q2TU62|CLCA1_HORSE
OG0002191	sp|Q9JL25|RGS1_MOUSE	sp|Q6RG78|RGS1_HORSE, tr|A0A5S7MGA9|A0A5S7MGA9_HORSE
OG0002192	sp|Q3V1L4|5NTC_MOUSE	tr|A0A3Q2HJ75|A0A3Q2HJ75_HORSE, tr|A0A3Q2ID39|A0A3Q2ID39_HORSE
OG0002193	sp|P51945|CCNG1_MOUSE	tr|F7A3B1|F7A3B1_HORSE, tr|A0A3Q2IDN6|A0A3Q2IDN6_HORSE
OG0002194	sp|P37238|PPARG_MOUSE, sp|P35396|PPARD_MOUSE	tr|F6WAT9|F6WAT9_HORSE
OG0002195	sp|P99027|RLA2_MOUSE	sp|Q6X9Z5|RLA2_HORSE, tr|H9GZL8|H9GZL8_HORSE
OG0002196	sp|P14220|GLPA_MOUSE	sp|P02726|GLPA_HORSE, tr|F6YPM7|F6YPM7_HORSE
OG0002198	sp|Q8K1B9|GLT18_MOUSE	tr|F6YBY6|F6YBY6_HORSE, tr|F6VN72|F6VN72_HORSE
OG0002199	tr|Q8BY68|Q8BY68_MOUSE, sp|Q3U507|GP174_MOUSE	tr|F6YLQ6|F6YLQ6_HORSE
OG0002200	sp|Q61967|ZFP90_MOUSE	tr|A0A3Q2KR70|A0A3Q2KR70_HORSE, tr|F7DCB7|F7DCB7_HORSE
OG0002201	sp|P23188|FURIN_MOUSE, sp|P29121|PCSK4_MOUSE	tr|F7DHR9|F7DHR9_HORSE
OG0002202	sp|Q2XU92|ACBG2_MOUSE, tr|Q08EE8|Q08EE8_MOUSE	tr|A0A3Q2H0M2|A0A3Q2H0M2_HORSE
OG0002203	sp|P40124|CAP1_MOUSE	tr|A0A3Q2H9I9|A0A3Q2H9I9_HORSE, tr|F6SRP7|F6SRP7_HORSE
OG0002204	sp|Q8VEK0|CC50A_MOUSE, sp|Q8BHG3|CC50B_MOUSE	tr|A0A3Q2HB10|A0A3Q2HB10_HORSE
OG0002205	tr|Q7TRI6|Q7TRI6_MOUSE, tr|Q8VG33|Q8VG33_MOUSE	tr|A0A3Q2IEF9|A0A3Q2IEF9_HORSE
OG0002206	sp|Q8K0D5|EFGM_MOUSE, sp|Q8R2Q4|RRF2M_MOUSE	tr|A0A5F5PHH0|A0A5F5PHH0_HORSE
OG0002207	sp|A2AJ15|MA1B1_MOUSE	tr|A0A5F5PID2|A0A5F5PID2_HORSE, tr|A0A5F5Q4M3|A0A5F5Q4M3_HORSE
OG0002208	sp|Q64237|DOPO_MOUSE	tr|F7E2E6|F7E2E6_HORSE, sp|Q9XTA0|DOPO_HORSE
OG0002209	sp|P62962|PROF1_MOUSE	tr|A0A3Q2I117|A0A3Q2I117_HORSE, tr|A0A3Q2HRV7|A0A3Q2HRV7_HORSE
OG0002210	sp|Q99P50|GHSR_MOUSE	tr|A0A3Q2I2R3|A0A3Q2I2R3_HORSE, tr|F6QF00|F6QF00_HORSE
OG0002211	sp|A2CE44|ZXDB_MOUSE	tr|A0A3Q2KNB2|A0A3Q2KNB2_HORSE, tr|A0A3Q2KQ47|A0A3Q2KQ47_HORSE
OG0002212	sp|Q60887|OL148_MOUSE	tr|F7DJ91|F7DJ91_HORSE, tr|F7DV74|F7DV74_HORSE
OG0002213	sp|P32507|NECT2_MOUSE, tr|Q8K094|Q8K094_MOUSE	tr|A0A3Q2H1D9|A0A3Q2H1D9_HORSE
OG0002214	sp|Q8R3W5|SEN15_MOUSE	tr|A0A3Q2HQM3|A0A3Q2HQM3_HORSE, tr|A0A5F5PG84|A0A5F5PG84_HORSE
OG0002215	sp|Q02284|5HT1F_MOUSE	tr|F6V2E1|F6V2E1_HORSE, tr|F6YL63|F6YL63_HORSE
OG0002216	sp|P08905|LYZ2_MOUSE, sp|P17897|LYZ1_MOUSE	tr|F7CU94|F7CU94_HORSE
OG0002217	sp|O08689|GDF8_MOUSE	sp|Q9GM97|GDF8_HORSE, tr|F6S5D9|F6S5D9_HORSE
OG0002218	sp|I7HJS4|ZN683_MOUSE, sp|Q60636|PRDM1_MOUSE	tr|A0A3Q2GTP0|A0A3Q2GTP0_HORSE
OG0002219	sp|Q7TMQ7|WDR91_MOUSE	tr|A0A3Q2L5K2|A0A3Q2L5K2_HORSE, tr|A0A3Q2HF39|A0A3Q2HF39_HORSE
OG0002220	sp|Q8VII3|CST14_MOUSE, sp|Q9DAN8|CST12_MOUSE	tr|A0A5F5PWP0|A0A5F5PWP0_HORSE
OG0002221	sp|Q8HWE5|MILL2_MOUSE, sp|Q8HWE7|MILL1_MOUSE	tr|F6SJC9|F6SJC9_HORSE
OG0002222	sp|Q02053|UBA1_MOUSE, sp|P31254|UBA1Y_MOUSE	tr|F7C6F2|F7C6F2_HORSE
OG0002223	sp|Q91YE9|5NT1B_MOUSE, sp|A3KFX0|5NT1A_MOUSE	tr|F7CHF7|F7CHF7_HORSE
OG0002224	sp|P27786|CP17A_MOUSE	tr|A0A140TAU9|A0A140TAU9_HORSE, sp|Q95328|CP17A_HORSE
OG0002225	sp|Q9Z2C4|MTMR1_MOUSE	tr|A0A3Q2HQK0|A0A3Q2HQK0_HORSE, tr|A0A3Q2GSQ2|A0A3Q2GSQ2_HORSE
OG0002226	sp|Q9D7J7|CPNS2_MOUSE, sp|O88456|CPNS1_MOUSE	tr|A0A3Q2KXP3|A0A3Q2KXP3_HORSE
OG0002227	sp|P12849|KAP1_MOUSE, sp|Q9DBC7|KAP0_MOUSE	tr|F7DX98|F7DX98_HORSE
OG0002228	sp|B1ATG9|TIKI2_MOUSE	tr|A0A3Q2LNY1|A0A3Q2LNY1_HORSE, tr|F6QDR8|F6QDR8_HORSE
OG0002229	sp|P41209|CETN1_MOUSE	tr|F7DSU8|F7DSU8_HORSE, tr|F6R406|F6R406_HORSE
OG0002230	tr|Q9D3Z8|Q9D3Z8_MOUSE, sp|Q61503|5NTD_MOUSE	tr|F6XEP5|F6XEP5_HORSE
OG0002231	sp|Q9D7P6|ISCU_MOUSE	tr|F7E1G5|F7E1G5_HORSE, tr|A0A3Q2H2K2|A0A3Q2H2K2_HORSE
OG0002232	sp|Q3LRV9|TRML4_MOUSE	tr|F7A4M4|F7A4M4_HORSE, tr|A0A3Q2HYG6|A0A3Q2HYG6_HORSE
OG0002233	sp|Q60612|AA1R_MOUSE, sp|Q61618|AA3R_MOUSE	tr|F6RAN5|F6RAN5_HORSE
OG0002234	sp|Q3UUI3|THEM4_MOUSE	tr|A0A3Q2HEE7|A0A3Q2HEE7_HORSE, tr|A0A3Q2HN30|A0A3Q2HN30_HORSE
OG0002235	sp|P01904|HA21_MOUSE, sp|P04224|HA22_MOUSE	tr|F6S981|F6S981_HORSE
OG0002236	sp|Q8VFK2|O1002_MOUSE, sp|Q9QY00|OL154_MOUSE	tr|F6XMC3|F6XMC3_HORSE
OG0002237	sp|Q61362|CH3L1_MOUSE	tr|F6Y8W3|F6Y8W3_HORSE, tr|A0A3Q2HY77|A0A3Q2HY77_HORSE
OG0002238	sp|P05202|AATM_MOUSE	sp|P08907|AATM_HORSE, tr|F6YXZ8|F6YXZ8_HORSE
OG0002239	sp|O08709|PRDX6_MOUSE, tr|Q8BG37|Q8BG37_MOUSE	tr|F7AXI9|F7AXI9_HORSE
OG0002240	sp|Q00612|G6PD1_MOUSE, sp|P97324|G6PD2_MOUSE	tr|F7DMG5|F7DMG5_HORSE
OG0002241	sp|P52651|RHOX5_MOUSE, sp|O35137|ALX4_MOUSE	tr|F7DXR4|F7DXR4_HORSE
OG0002242	sp|Q3U9N9|MOT10_MOUSE, sp|O70324|MOT8_MOUSE	tr|A0A3Q2GVV8|A0A3Q2GVV8_HORSE
OG0002243	sp|Q08639|TFDP1_MOUSE, sp|Q64163|TFDP2_MOUSE	tr|A0A3Q2KN97|A0A3Q2KN97_HORSE
OG0002244	sp|Q99KC8|VMA5A_MOUSE, tr|Q8BGF0|Q8BGF0_MOUSE	tr|F6TSA1|F6TSA1_HORSE
OG0002245	sp|Q62005|ZP1_MOUSE	tr|F7C1G8|F7C1G8_HORSE, tr|F6XXN1|F6XXN1_HORSE
OG0002246	sp|Q920G9|GMCL1_MOUSE	tr|A0A3Q2HES8|A0A3Q2HES8_HORSE, tr|A0A3Q2HDJ0|A0A3Q2HDJ0_HORSE
OG0002247	sp|Q8VCU1|EST3B_MOUSE, sp|Q63880|EST3A_MOUSE	tr|A0A3Q2HQC5|A0A3Q2HQC5_HORSE
OG0002248	sp|B9EJA2|CTTB2_MOUSE	tr|F6Q620|F6Q620_HORSE, sp|Q2QLA2|CTTB2_HORSE
OG0002249	sp|P18155|MTDC_MOUSE, sp|D3YZG8|MTD2L_MOUSE	tr|F6QW38|F6QW38_HORSE
OG0002250	sp|Q6PE84|STML3_MOUSE, sp|P54116|STOM_MOUSE	tr|F6RA08|F6RA08_HORSE
OG0002251	sp|Q9CXT6|KDM8_MOUSE, sp|P0C872|JMJD7_MOUSE	tr|F7C5L5|F7C5L5_HORSE
OG0002252	sp|P56382|ATP5E_MOUSE	tr|F6SMY6|F6SMY6_HORSE, tr|A0A3Q2HI45|A0A3Q2HI45_HORSE
OG0002253	sp|Q99J45|NRBP_MOUSE, sp|Q91V36|NRBP2_MOUSE	tr|A0A3Q2I4K8|A0A3Q2I4K8_HORSE
OG0002254	tr|D3YXG1|D3YXG1_MOUSE, sp|P63300|SELW_MOUSE	tr|A0A3Q2LQW0|A0A3Q2LQW0_HORSE
OG0002255	sp|Q9DCL8|IPP2_MOUSE	tr|F6QJ86|F6QJ86_HORSE, tr|A0A3Q2H381|A0A3Q2H381_HORSE
OG0002256	sp|P62627|DLRB1_MOUSE	tr|F6U5P3|F6U5P3_HORSE, tr|F6TNU1|F6TNU1_HORSE
OG0002257	sp|Q9QYZ9|PRS30_MOUSE, sp|Q80WM7|PRS33_MOUSE	tr|F6ZAN5|F6ZAN5_HORSE
OG0002258	tr|A2AFI6|A2AFI6_MOUSE, sp|P58021|TM9S2_MOUSE	tr|A0A3Q2HJN9|A0A3Q2HJN9_HORSE
OG0002260	sp|O88627|S28A2_MOUSE, tr|A2AWR5|A2AWR5_MOUSE	tr|F6Q3A9|F6Q3A9_HORSE
OG0002261	sp|Q921H8|THIKA_MOUSE, sp|Q8VCH0|THIKB_MOUSE	tr|F6R7Z1|F6R7Z1_HORSE
OG0002262	sp|Q8VHY0|CSPG4_MOUSE, tr|F6RXI4|F6RXI4_MOUSE	tr|F6T201|F6T201_HORSE
OG0002263	sp|Q8R088|GLP3L_MOUSE, sp|Q9CRA5|GOLP3_MOUSE	tr|F6X7B0|F6X7B0_HORSE
OG0002264	sp|O70451|MOT2_MOUSE	tr|A0A3Q2GZG5|A0A3Q2GZG5_HORSE, tr|F6WT11|F6WT11_HORSE
OG0002265	sp|O70503|DHB12_MOUSE	tr|F6Q4Z8|F6Q4Z8_HORSE, tr|A0A3Q2HGJ4|A0A3Q2HGJ4_HORSE
OG0002266	tr|G3X9N3|G3X9N3_MOUSE, tr|A0A1B0GT27|A0A1B0GT27_MOUSE	tr|A0A3Q2LDZ8|A0A3Q2LDZ8_HORSE
OG0002267	tr|F6UK53|F6UK53_MOUSE, sp|Q80YA9|CNKR2_MOUSE	tr|F7DU39|F7DU39_HORSE
OG0002268	sp|B2RU80|PTPRB_MOUSE, sp|P70289|PTPRV_MOUSE	tr|A0A3Q2GSG1|A0A3Q2GSG1_HORSE
OG0002269	tr|A2RRY9|A2RRY9_MOUSE, sp|Q62093|SRSF2_MOUSE	tr|A0A3Q2HB15|A0A3Q2HB15_HORSE
OG0002270	sp|Q63870|CO7A1_MOUSE, sp|Q60847|COCA1_MOUSE	tr|A0A3Q2HPX3|A0A3Q2HPX3_HORSE
OG0002271	sp|O08914|FAAH1_MOUSE	tr|F6XIS7|F6XIS7_HORSE, tr|F6QFX8|F6QFX8_HORSE
OG0002272	sp|Q9CZM2|RL15_MOUSE	tr|F6UXQ3|F6UXQ3_HORSE, tr|F6RMA4|F6RMA4_HORSE
OG0002273	sp|Q8BZH1|TGM4_MOUSE, tr|A2ART8|A2ART8_MOUSE	tr|F7D4E7|F7D4E7_HORSE
OG0002274	sp|O54724|CAVN1_MOUSE, sp|Q63918|CAVN2_MOUSE	tr|A0A3Q2GTR9|A0A3Q2GTR9_HORSE
OG0002275	sp|Q9JJQ0|PIGB_MOUSE	tr|A0A3Q2GZP0|A0A3Q2GZP0_HORSE, tr|F6VLB3|F6VLB3_HORSE
OG0002276	sp|Q8QZZ8|RAB38_MOUSE, sp|Q9CZE3|RAB32_MOUSE	tr|F6UVE7|F6UVE7_HORSE
OG0002277	sp|Q00899|TYY1_MOUSE, sp|Q3TTC2|TYY2_MOUSE	tr|F7AC13|F7AC13_HORSE
OG0002278	tr|A0A571BD42|A0A571BD42_MOUSE, sp|Q7M6U3|TEX14_MOUSE	tr|F7C8B0|F7C8B0_HORSE
OG0002279	sp|O88509|DNM3B_MOUSE, sp|P0DOY1|DNM3C_MOUSE	tr|F6PHF7|F6PHF7_HORSE
OG0002280	sp|O88932|KCJ15_MOUSE, sp|Q9JM63|KCJ10_MOUSE	tr|F6T921|F6T921_HORSE
OG0002281	sp|Q8CEQ0|CDKL1_MOUSE, sp|Q3TZA2|CDKL4_MOUSE	tr|F6TBU2|F6TBU2_HORSE
OG0002282	tr|A0A140LHS9|A0A140LHS9_MOUSE, tr|A0A2I3BR00|A0A2I3BR00_MOUSE	tr|H9GZT3|H9GZT3_HORSE
OG0002283	sp|Q8K2D6|DCTD_MOUSE	tr|F6RWS3|F6RWS3_HORSE, tr|A0A3Q2GVT5|A0A3Q2GVT5_HORSE
OG0002284	tr|Q7TR87|Q7TR87_MOUSE	tr|A0A3Q2GZ68|A0A3Q2GZ68_HORSE, tr|F6TTG7|F6TTG7_HORSE
OG0002285	sp|P20918|PLMN_MOUSE	sp|P80010|PLMN_HORSE, tr|A0A3Q2L7R0|A0A3Q2L7R0_HORSE
OG0002286	sp|Q07456|AMBP_MOUSE	tr|A0A5F5PEG5|A0A5F5PEG5_HORSE, sp|P04365|IATR_HORSE
OG0002287	sp|Q91WA6|SHRPN_MOUSE	tr|F6T279|F6T279_HORSE, tr|F6VDB9|F6VDB9_HORSE
OG0002288	tr|A0A1W2P7V2|A0A1W2P7V2_MOUSE, sp|Q9DAG6|GPRL1_MOUSE	tr|F6TDU6|F6TDU6_HORSE
OG0002289	sp|Q91V57|CHIN_MOUSE	tr|F6TGZ5|F6TGZ5_HORSE, tr|F6Q317|F6Q317_HORSE
OG0002290	sp|Q9WVG9|MS3L1_MOUSE, tr|G3X992|G3X992_MOUSE	tr|F6XNM9|F6XNM9_HORSE
OG0002291	sp|Q9EPL5|MMP1A_MOUSE, sp|Q9EPL6|MMP1B_MOUSE	sp|Q9XSZ5|MMP1_HORSE
OG0002292	tr|Q0VGU8|Q0VGU8_MOUSE, sp|Q80ZU7|BPIB3_MOUSE	tr|F6R0D5|F6R0D5_HORSE
OG0002293	sp|Q8VC69|S22A6_MOUSE	tr|A0A3Q2H114|A0A3Q2H114_HORSE, tr|F7AKP9|F7AKP9_HORSE
OG0002294	sp|Q9QY80|HACD1_MOUSE, sp|Q9D3B1|HACD2_MOUSE	tr|A0A3Q2ID85|A0A3Q2ID85_HORSE
OG0002295	sp|Q8VDB9|S620A_MOUSE, sp|O88575|S620B_MOUSE	tr|F6Q0L7|F6Q0L7_HORSE
OG0002296	sp|P38533|HSF2_MOUSE, sp|D0VYS2|HSF3_MOUSE	tr|F6S1C9|F6S1C9_HORSE
OG0002297	tr|D3YUJ3|D3YUJ3_MOUSE, sp|Q8BGU5|CCNY_MOUSE	tr|F6SF56|F6SF56_HORSE
OG0002298	sp|Q9ERD6|RGPS2_MOUSE, sp|A2AR50|RGPS1_MOUSE	tr|A0A3Q2LKV8|A0A3Q2LKV8_HORSE
OG0002299	sp|Q61114|BPIB1_MOUSE	tr|F6TY91|F6TY91_HORSE, tr|A0A3Q2HQY7|A0A3Q2HQY7_HORSE
OG0002300	sp|Q61550|RAD21_MOUSE, sp|A2AU37|RD21L_MOUSE	tr|F6W1M4|F6W1M4_HORSE
OG0002301	sp|Q8C1C8|PNMA1_MOUSE, sp|Q9ERH6|MOAP1_MOUSE	tr|F6Z7B6|F6Z7B6_HORSE
OG0002302	sp|O08633|KRA81_MOUSE	tr|A0A3Q2GUK1|A0A3Q2GUK1_HORSE, tr|A0A3Q2I704|A0A3Q2I704_HORSE
OG0002303	tr|A0A140T8P8|A0A140T8P8_MOUSE	tr|A0A3Q2HGH6|A0A3Q2HGH6_HORSE, tr|F6QD21|F6QD21_HORSE
OG0002304	sp|Q9JIY0|PKHO1_MOUSE, sp|Q8K124|PKHO2_MOUSE	tr|A0A3Q2I1Y0|A0A3Q2I1Y0_HORSE
OG0002305	sp|P0C027|NUD10_MOUSE, sp|P0C028|NUD11_MOUSE	tr|A0A3Q2LQA3|A0A3Q2LQA3_HORSE
OG0002306	sp|P08042|ZFP1_MOUSE	tr|F7A4G1|F7A4G1_HORSE, tr|F7CT35|F7CT35_HORSE
OG0002307	sp|Q7TMA4|FFAR4_MOUSE	tr|F7CU87|F7CU87_HORSE, tr|A0A3Q2GXH6|A0A3Q2GXH6_HORSE
OG0002308	sp|Q60764|MKRN3_MOUSE	tr|F7D6I4|F7D6I4_HORSE, tr|A0A5F5PV47|A0A5F5PV47_HORSE
OG0002309	sp|P20491|FCERG_MOUSE	tr|A0A0B4J1B5|A0A0B4J1B5_HORSE, tr|A0A3Q2KNA3|A0A3Q2KNA3_HORSE
OG0002310	sp|Q9ES70|NEK6_MOUSE, sp|Q9ES74|NEK7_MOUSE	tr|A0A3Q2HLD5|A0A3Q2HLD5_HORSE
OG0002311	sp|Q9JME2|CHSTB_MOUSE, sp|Q99LL3|CHSTC_MOUSE	tr|A0A3Q2LGX8|A0A3Q2LGX8_HORSE
OG0002312	sp|Q9WVG6|CARM1_MOUSE	tr|A0A5F5PKU6|A0A5F5PKU6_HORSE, tr|F6WHR3|F6WHR3_HORSE
OG0002313	sp|Q9CXE0|PRDM5_MOUSE	tr|F6SIP3|F6SIP3_HORSE, tr|A0A5F5PY26|A0A5F5PY26_HORSE
OG0002314	sp|Q7TNV8|DFB34_MOUSE, sp|Q8R2I5|DFB15_MOUSE	tr|A0A3Q2IC37|A0A3Q2IC37_HORSE
OG0002315	sp|Q0VET5|LMTD2_MOUSE, sp|Q9D4C1|LMTD1_MOUSE	tr|A0A3Q2H180|A0A3Q2H180_HORSE
OG0002316	tr|Q8VH17|Q8VH17_MOUSE, tr|Q9EPN9|Q9EPN9_MOUSE	tr|A0A3Q2HFM1|A0A3Q2HFM1_HORSE
OG0002317	sp|Q0VBU9|PLPP4_MOUSE, sp|Q3UMZ3|PLPP5_MOUSE	tr|F6VCP3|F6VCP3_HORSE
OG0002318	sp|Q9CXN7|PBLD2_MOUSE, sp|Q9DCG6|PBLD1_MOUSE	tr|F7CN38|F7CN38_HORSE
OG0002319	sp|Q00977|CXB2_MOUSE, sp|P70689|CXB6_MOUSE	tr|A0A3Q2GWE5|A0A3Q2GWE5_HORSE
OG0002320	sp|Q8C088|EGFEM_MOUSE, sp|Q80V70|MEGF6_MOUSE	tr|A0A3Q2I7P4|A0A3Q2I7P4_HORSE
OG0002321	sp|P43431|IL12A_MOUSE	sp|Q9XSQ6|IL12A_HORSE, tr|F6SRN5|F6SRN5_HORSE
