Orthogroup	Mus_musculus	Monodelphis_domestica
OG0000044	tr|A0A0B4J1K5|A0A0B4J1K5_MOUSE	tr|A0A5F8GEZ1|A0A5F8GEZ1_MONDO, tr|A0A5F8G2U0|A0A5F8G2U0_MONDO, tr|A0A5F8GN18|A0A5F8GN18_MONDO, tr|A0A5F8G9N5|A0A5F8G9N5_MONDO, tr|A0A5F8H0A8|A0A5F8H0A8_MONDO, tr|A0A5F8GMZ6|A0A5F8GMZ6_MONDO, tr|A0A5F8HB65|A0A5F8HB65_MONDO, tr|A0A5F8HB31|A0A5F8HB31_MONDO, tr|F6Q3N8|F6Q3N8_MONDO, tr|H9H8H7|H9H8H7_MONDO, tr|A0A5F8G324|A0A5F8G324_MONDO, tr|A0A5F8G6W4|A0A5F8G6W4_MONDO, tr|H9H694|H9H694_MONDO, tr|F6Q291|F6Q291_MONDO, tr|F6Q4Q0|F6Q4Q0_MONDO, tr|F6RDD7|F6RDD7_MONDO, tr|F6Q1B0|F6Q1B0_MONDO, tr|F6UEN4|F6UEN4_MONDO, tr|A0A5F8GZF6|A0A5F8GZF6_MONDO, tr|A0A5F8GQC7|A0A5F8GQC7_MONDO, tr|F6QSK0|F6QSK0_MONDO, tr|H9H655|H9H655_MONDO, tr|A0A5F8G7C3|A0A5F8G7C3_MONDO
OG0000045	sp|P0C191|GPVI_MOUSE	tr|A0A5F8HEK5|A0A5F8HEK5_MONDO, tr|F6X745|F6X745_MONDO, tr|F6X704|F6X704_MONDO, tr|A0A5F8GZ47|A0A5F8GZ47_MONDO, tr|F6YW66|F6YW66_MONDO, tr|A0A5F8G724|A0A5F8G724_MONDO, tr|F7FYQ7|F7FYQ7_MONDO, tr|H9H6R3|H9H6R3_MONDO, tr|K7E658|K7E658_MONDO, tr|F6U215|F6U215_MONDO, tr|F6TH96|F6TH96_MONDO, tr|H9H767|H9H767_MONDO, tr|A0A5F8H482|A0A5F8H482_MONDO, tr|F6WPW3|F6WPW3_MONDO, tr|A0A5F8GT07|A0A5F8GT07_MONDO, tr|F7EHL7|F7EHL7_MONDO, tr|F7EZZ5|F7EZZ5_MONDO, tr|A0A5F8H3H2|A0A5F8H3H2_MONDO, tr|F6U2H5|F6U2H5_MONDO, tr|F7E1X7|F7E1X7_MONDO, tr|A0A5F8HAY9|A0A5F8HAY9_MONDO, tr|A0A5F8GV67|A0A5F8GV67_MONDO
OG0000047	tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX1|Q91XX1_MOUSE	tr|A0A5F8GUS6|A0A5F8GUS6_MONDO
OG0000051	tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE	tr|F6Z4Q9|F6Z4Q9_MONDO, tr|F6SRP8|F6SRP8_MONDO
OG0000060	tr|Q8R254|Q8R254_MOUSE	tr|A0A5F8HKA5|A0A5F8HKA5_MONDO, tr|A0A5F8GZY1|A0A5F8GZY1_MONDO, tr|A0A5F8GJP7|A0A5F8GJP7_MONDO, tr|A0A5F8H0Z3|A0A5F8H0Z3_MONDO, tr|A0A5F8H351|A0A5F8H351_MONDO, tr|F7E1L0|F7E1L0_MONDO, tr|F7BT19|F7BT19_MONDO, tr|F7F0Z7|F7F0Z7_MONDO, tr|F7FEJ3|F7FEJ3_MONDO, tr|F7B7R1|F7B7R1_MONDO, tr|F7B7S9|F7B7S9_MONDO, tr|H9H658|H9H658_MONDO, tr|A0A5F8G6I9|A0A5F8G6I9_MONDO, tr|F7GES2|F7GES2_MONDO, tr|F7GES5|F7GES5_MONDO, tr|F7AKA1|F7AKA1_MONDO, tr|F7EX64|F7EX64_MONDO, tr|F7BV07|F7BV07_MONDO
OG0000061	sp|Q5SV42|ILEUC_MOUSE, sp|Q8VHP7|ILEUB_MOUSE, sp|Q9D154|ILEUA_MOUSE	tr|F6UKU7|F6UKU7_MONDO
OG0000061	tr|Q8VHQ1|Q8VHQ1_MOUSE, tr|F6V5V4|F6V5V4_MOUSE, tr|Q80UK5|Q80UK5_MOUSE, tr|O08806|O08806_MOUSE, tr|Q8BMT0|Q8BMT0_MOUSE, tr|O08797|O08797_MOUSE, tr|Q9DAV6|Q9DAV6_MOUSE, tr|I7HJI5|I7HJI5_MOUSE, sp|O08800|SPB8_MOUSE, sp|Q60854|SPB6_MOUSE, tr|O08804|O08804_MOUSE, tr|W4VSP4|W4VSP4_MOUSE, tr|Q3UWK8|Q3UWK8_MOUSE, tr|I7HJI3|I7HJI3_MOUSE	tr|F7CGA4|F7CGA4_MONDO
OG0000062	sp|Q9R1M5|NALP5_MOUSE	tr|A0A5F8GUE1|A0A5F8GUE1_MONDO
OG0000062	sp|Q8R4B8|NLRP3_MOUSE, sp|E9Q5R7|NAL12_MOUSE	tr|F6PZU3|F6PZU3_MONDO
OG0000062	sp|Q91WS2|NLRP6_MOUSE, sp|Q8CCN1|NAL10_MOUSE	tr|F6RHY5|F6RHY5_MONDO
OG0000063	sp|Q91ZC7|MRGA5_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW4|MRGA2_MOUSE, sp|Q91WW5|MRGA1_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q7TN51|MRGB8_MOUSE	tr|F6TNN2|F6TNN2_MONDO
OG0000066	tr|E9Q264|E9Q264_MOUSE, sp|A2AQP0|MYH7B_MOUSE	tr|F7CIF4|F7CIF4_MONDO
OG0000066	tr|B1AR69|B1AR69_MOUSE	tr|A0A5F8GPC7|A0A5F8GPC7_MONDO
OG0000066	sp|P13541|MYH3_MOUSE	tr|A0A5F8G5U6|A0A5F8G5U6_MONDO
OG0000066	sp|Q5SX39|MYH4_MOUSE	tr|F7BD45|F7BD45_MONDO
OG0000066	sp|Q5SX40|MYH1_MOUSE	tr|A0A5F8G5G3|A0A5F8G5G3_MONDO
OG0000066	tr|G3UW82|G3UW82_MOUSE	tr|A0A5F8GDE2|A0A5F8GDE2_MONDO
OG0000066	sp|P13542|MYH8_MOUSE	tr|A0A5F8GTZ3|A0A5F8GTZ3_MONDO
OG0000066	sp|Q91Z83|MYH7_MOUSE, sp|Q02566|MYH6_MOUSE	tr|A0A5F8HJQ5|A0A5F8HJQ5_MONDO
OG0000073	sp|A2ASI5|SCN3A_MOUSE	tr|A0A5F8HFU9|A0A5F8HFU9_MONDO
OG0000073	sp|A2APX8|SCN1A_MOUSE	tr|F7BVL3|F7BVL3_MONDO
OG0000073	sp|B1AWN6|SCN2A_MOUSE	tr|F7EYW6|F7EYW6_MONDO
OG0000073	sp|Q9R053|SCNBA_MOUSE	tr|F7CNJ4|F7CNJ4_MONDO
OG0000073	sp|Q6QIY3|SCNAA_MOUSE	tr|F7G6M8|F7G6M8_MONDO
OG0000073	sp|Q9JJV9|SCN5A_MOUSE	tr|F7D8R6|F7D8R6_MONDO
OG0000073	sp|Q9ER60|SCN4A_MOUSE	tr|F6X9I4|F6X9I4_MONDO
OG0000077	tr|Q7TNK4|Q7TNK4_MOUSE	tr|F7FBB7|F7FBB7_MONDO, tr|F6RA87|F6RA87_MONDO
OG0000077	sp|Q91VN1|ZNF24_MOUSE	tr|A0A5F8GA26|A0A5F8GA26_MONDO, tr|F6UKP4|F6UKP4_MONDO, tr|F6ZXF2|F6ZXF2_MONDO, tr|A0A5F8HB93|A0A5F8HB93_MONDO, tr|F6PYG5|F6PYG5_MONDO, tr|F7DQP1|F7DQP1_MONDO, tr|A0A5F8GX43|A0A5F8GX43_MONDO, tr|F6QIH4|F6QIH4_MONDO, tr|F7G0P1|F7G0P1_MONDO, tr|A0A5F8GFM8|A0A5F8GFM8_MONDO, tr|F7GID4|F7GID4_MONDO, tr|F7EG80|F7EG80_MONDO
OG0000078	tr|Q8CFE8|Q8CFE8_MOUSE, tr|Q8BI57|Q8BI57_MOUSE, tr|Q8BI38|Q8BI38_MOUSE, tr|Q3TSA9|Q3TSA9_MOUSE, tr|Q8BI58|Q8BI58_MOUSE, tr|Q497Z0|Q497Z0_MOUSE, tr|Q8C2Y5|Q8C2Y5_MOUSE, tr|E9Q8A4|E9Q8A4_MOUSE, tr|Q5XG67|Q5XG67_MOUSE, tr|Q8C2W8|Q8C2W8_MOUSE, tr|Q5U467|Q5U467_MOUSE, tr|A0A1D5RLF0|A0A1D5RLF0_MOUSE, tr|F7C9P2|F7C9P2_MOUSE, sp|L7N1X6|FBW15_MOUSE, tr|E9PXM9|E9PXM9_MOUSE	tr|F6PX77|F6PX77_MONDO
OG0000090	sp|Q60766|IRGM1_MOUSE, tr|A0A140LIF8|A0A140LIF8_MOUSE, tr|Q9DCE9|Q9DCE9_MOUSE	tr|F6RL76|F6RL76_MONDO
OG0000090	tr|Q61635|Q61635_MOUSE, tr|Q3UED7|Q3UED7_MOUSE, sp|Q9QZ85|IIGP1_MOUSE, tr|G3UWE2|G3UWE2_MOUSE, tr|E9QAA8|E9QAA8_MOUSE, sp|Q62293|TGTP1_MOUSE, sp|Q3T9E4|TGTP2_MOUSE, tr|Q5NCB2|Q5NCB2_MOUSE, tr|Q5NCB3|Q5NCB3_MOUSE, tr|Q5SVP0|Q5SVP0_MOUSE	tr|A0A5F8GY53|A0A5F8GY53_MONDO
OG0000092	tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE	tr|F6RN74|F6RN74_MONDO, tr|F7AHD1|F7AHD1_MONDO
OG0000102	sp|P0DOV2|IFI4_MOUSE, sp|D0QMC3|MNDAL_MOUSE, sp|P0DOV1|IFI5B_MOUSE, sp|Q8CGE8|IFI5A_MOUSE, sp|Q9R002|IFI2_MOUSE, tr|E9Q3L4|E9Q3L4_MOUSE, sp|Q504N7|IFIXL_MOUSE, sp|Q8BV49|IFIX_MOUSE, sp|O35368|IFI3_MOUSE, sp|Q3V3Q4|IFI8_MOUSE, tr|D3Z5G0|D3Z5G0_MOUSE, tr|G3UZV2|G3UZV2_MOUSE, sp|Q91VJ1|AIM2_MOUSE	tr|K7DZU2|K7DZU2_MONDO
OG0000103	sp|Q5DTT8|PNMA5_MOUSE, sp|Q8C1C8|PNMA1_MOUSE, sp|Q9ERH6|MOAP1_MOUSE, sp|Q8JZW8|PNMA3_MOUSE, sp|Q8BHK0|PNMA2_MOUSE, tr|G3X9N3|G3X9N3_MOUSE, sp|Q80VM8|PNM8A_MOUSE, tr|A0A1B0GT27|A0A1B0GT27_MOUSE, sp|D3YZV8|CCDC8_MOUSE, tr|A0A140LII9|A0A140LII9_MOUSE, tr|A0A140LIU8|A0A140LIU8_MOUSE, sp|Q9CZA5|ZCH12_MOUSE, sp|Q8VD24|ZCC18_MOUSE	tr|A0A5F8H4D6|A0A5F8H4D6_MONDO
OG0000115	tr|A2VDH7|A2VDH7_MOUSE, tr|Q8C7I4|Q8C7I4_MOUSE, tr|Q8VDU3|Q8VDU3_MOUSE, tr|Q8CCA5|Q8CCA5_MOUSE, tr|E9PUZ0|E9PUZ0_MOUSE, tr|E9PZG0|E9PZG0_MOUSE, tr|G3X9K7|G3X9K7_MOUSE, tr|B2RT54|B2RT54_MOUSE, tr|Q8C6E1|Q8C6E1_MOUSE, tr|Q3UZ24|Q3UZ24_MOUSE, tr|B1AQP7|B1AQP7_MOUSE, tr|B7ZC55|B7ZC55_MOUSE	tr|F7D533|F7D533_MONDO
OG0000116	tr|Q91WB5|Q91WB5_MOUSE, tr|A2BH64|A2BH64_MOUSE, tr|B1B0N6|B1B0N6_MOUSE, tr|O35176|O35176_MOUSE, tr|A0A087WPW0|A0A087WPW0_MOUSE, tr|A0A087WP50|A0A087WP50_MOUSE, tr|E9PWZ2|E9PWZ2_MOUSE, tr|D2XZ31|D2XZ31_MOUSE, tr|A0A087WQJ0|A0A087WQJ0_MOUSE, tr|A0A087WP21|A0A087WP21_MOUSE, tr|F6WYW0|F6WYW0_MOUSE, tr|J3QJY4|J3QJY4_MOUSE	tr|A0A5F8H825|A0A5F8H825_MONDO
OG0000117	sp|Q80X89|UD2A1_MOUSE, sp|Q6PDD0|UD2A2_MOUSE, sp|Q8BWQ1|UD2A3_MOUSE, tr|Q8R084|Q8R084_MOUSE, tr|Q8K154|Q8K154_MOUSE, sp|Q8JZZ0|UD3A2_MOUSE, sp|Q3UP75|UD3A1_MOUSE, sp|P17717|UDB17_MOUSE, tr|Q91WH2|Q91WH2_MOUSE, tr|Q8VCN3|Q8VCN3_MOUSE, tr|Q3UEP4|Q3UEP4_MOUSE, tr|Q8BJL9|Q8BJL9_MOUSE	tr|K7E3R0|K7E3R0_MONDO
OG0000118	sp|Q6ZWS8|SPOP_MOUSE, sp|Q6YCH2|TDPZ4_MOUSE, tr|A0A0A6YWS7|A0A0A6YWS7_MOUSE, sp|Q717B2|TDPZ2_MOUSE, sp|P0DMR6|TDP1L_MOUSE, sp|P0DMR5|TDPZ1_MOUSE, sp|Q717B4|TDPZ3_MOUSE, tr|Q3UTC4|Q3UTC4_MOUSE, tr|E0CXI6|E0CXI6_MOUSE, tr|L7N229|L7N229_MOUSE, tr|A0A0A6YXL2|A0A0A6YXL2_MOUSE, sp|Q6YCH1|TDPZ5_MOUSE	tr|A0A5F8GQH5|A0A5F8GQH5_MONDO
OG0000119	sp|Q7TSN2|CLM4_MOUSE, sp|A2A7V7|CLM6_MOUSE, sp|Q6SJQ0|CLM8_MOUSE, sp|Q6SJQ7|CLM1_MOUSE, tr|A2A7W0|A2A7W0_MOUSE, tr|A2A7W1|A2A7W1_MOUSE, sp|Q6SJQ5|CLM3_MOUSE, sp|Q8VCH2|CLM5_MOUSE, sp|Q3U497|CLM7_MOUSE, sp|Q8K249|CLM2_MOUSE, sp|G3X8R9|TMIG3_MOUSE, sp|Q3LRV9|TRML4_MOUSE	tr|K7E3F4|K7E3F4_MONDO
OG0000123	tr|A2RSG8|A2RSG8_MOUSE, tr|Q7M766|Q7M766_MOUSE, sp|Q9R158|AD26A_MOUSE, tr|Q6IMH6|Q6IMH6_MOUSE, tr|Q7M762|Q7M762_MOUSE, sp|Q9R159|ADA25_MOUSE, tr|Q7M763|Q7M763_MOUSE, sp|Q9R160|ADA24_MOUSE, sp|Q811Q4|ADA29_MOUSE, sp|Q9JI76|ADA21_MOUSE, tr|Q811Q3|Q811Q3_MOUSE	tr|A0A5F8GND0|A0A5F8GND0_MONDO
OG0000124	tr|Q7TRY0|Q7TRY0_MOUSE	tr|F6QLH7|F6QLH7_MONDO, tr|F6QLC5|F6QLC5_MONDO, tr|F6QLD9|F6QLD9_MONDO, tr|F6QLG5|F6QLG5_MONDO, tr|H9H8D0|H9H8D0_MONDO, tr|H9H8C9|H9H8C9_MONDO, tr|F6QLK8|F6QLK8_MONDO, tr|F6QLJ8|F6QLJ8_MONDO, tr|F6QLJ0|F6QLJ0_MONDO, tr|A0A5F8HIR2|A0A5F8HIR2_MONDO, tr|F6QLL6|F6QLL6_MONDO
OG0000125	sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|Q8BFU2|H2A3_MOUSE	tr|A0A5F8GDX1|A0A5F8GDX1_MONDO, tr|A0A5F8HKM7|A0A5F8HKM7_MONDO
OG0000126	sp|P70458|IPSP_MOUSE, sp|Q91WP6|SPA3N_MOUSE, sp|P29621|SPA3C_MOUSE, sp|Q03734|SPA3M_MOUSE, sp|P07759|SPA3K_MOUSE, sp|Q5I2A0|SPA3G_MOUSE, sp|Q80X76|SPA3F_MOUSE, tr|D3Z450|D3Z450_MOUSE, sp|Q8BYY9|SPA3B_MOUSE, tr|D3Z451|D3Z451_MOUSE, sp|Q6P4P1|SPA3A_MOUSE	tr|F6PJ15|F6PJ15_MONDO
OG0000127	tr|A0A571BG29|A0A571BG29_MOUSE, tr|A0A571BDF8|A0A571BDF8_MOUSE, tr|A0A571BDD5|A0A571BDD5_MOUSE, tr|Q8K193|Q8K193_MOUSE, tr|A2ANA3|A2ANA3_MOUSE, tr|G3UW52|G3UW52_MOUSE, tr|A2AGU5|A2AGU5_MOUSE, tr|Q3V0X2|Q3V0X2_MOUSE, tr|Q9D9N2|Q9D9N2_MOUSE, tr|B1AZQ8|B1AZQ8_MOUSE, tr|Q80ZS5|Q80ZS5_MOUSE	tr|F6YLS8|F6YLS8_MONDO
OG0000128	tr|Q8VGJ2|Q8VGJ2_MOUSE, tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|A0A1L1SV77|A0A1L1SV77_MOUSE, tr|Q7TRI1|Q7TRI1_MOUSE, tr|A0A0N4SVC3|A0A0N4SVC3_MOUSE, tr|Q7TRI5|Q7TRI5_MOUSE, tr|Q7TRI4|Q7TRI4_MOUSE, tr|Q7TRI3|Q7TRI3_MOUSE, tr|Q8VFI3|Q8VFI3_MOUSE, tr|Q8VFI0|Q8VFI0_MOUSE	tr|F7F5V1|F7F5V1_MONDO
OG0000129	tr|Q8BWM3|Q8BWM3_MOUSE, sp|P35174|CYT2_MOUSE, tr|Q6IE28|Q6IE28_MOUSE, tr|Q497J0|Q497J0_MOUSE, sp|P35175|CYT1_MOUSE, tr|L7N257|L7N257_MOUSE, sp|P35173|CYT3_MOUSE, tr|B2RV77|B2RV77_MOUSE, tr|Q9D8D6|Q9D8D6_MOUSE, sp|P56567|CYTA_MOUSE	tr|A0A5F8GK91|A0A5F8GK91_MONDO, tr|A0A5F8HKH0|A0A5F8HKH0_MONDO
OG0000136	sp|Q19LI2|A1BG_MOUSE, sp|Q7TQA1|IGSF1_MOUSE	tr|A0A5F8G519|A0A5F8G519_MONDO, tr|F7BGE4|F7BGE4_MONDO, tr|F6U2I7|F6U2I7_MONDO, tr|A0A5F8GCI2|A0A5F8GCI2_MONDO, tr|H9H680|H9H680_MONDO, tr|A0A5F8GWL9|A0A5F8GWL9_MONDO, tr|A0A5F8G3H6|A0A5F8G3H6_MONDO, tr|F7F000|F7F000_MONDO, tr|A0A5F8GU57|A0A5F8GU57_MONDO
OG0000138	sp|P99024|TBB5_MOUSE	tr|F7F082|F7F082_MONDO
OG0000138	sp|Q922F4|TBB6_MOUSE	tr|F7CB79|F7CB79_MONDO
OG0000138	sp|Q9ERD7|TBB3_MOUSE	tr|F6ZPS1|F6ZPS1_MONDO
OG0000138	sp|Q7TMM9|TBB2A_MOUSE, sp|Q9CWF2|TBB2B_MOUSE	tr|A0A5F8HCT7|A0A5F8HCT7_MONDO
OG0000139	tr|Q8BVP2|Q8BVP2_MOUSE, sp|P00342|LDHC_MOUSE	tr|F7BNV4|F7BNV4_MONDO
