Orthogroup	Mus_musculus	Chinchilla_lanigera
OG0000023	sp|Q7M712|TR110_MOUSE, sp|P59528|TR123_MOUSE, sp|Q7TQA4|TR140_MOUSE, sp|Q9JKA3|TR103_MOUSE, sp|Q7M715|TR117_MOUSE, sp|Q7M707|TR109_MOUSE, sp|Q7M709|TR129_MOUSE, sp|Q7M713|TR116_MOUSE, sp|Q7M711|TR113_MOUSE, tr|Q7M719|Q7M719_MOUSE, sp|Q7M710|TR125_MOUSE, sp|Q7TQA8|TR136_MOUSE, sp|Q7M721|TR120_MOUSE, sp|Q7M717|TR102_MOUSE, sp|Q7M718|TR124_MOUSE, sp|Q7M720|T2R13_MOUSE, tr|Q7M708|Q7M708_MOUSE, sp|Q9JKT2|TR119_MOUSE, sp|Q7TQA5|T2R39_MOUSE, sp|Q7TQB8|T2R40_MOUSE, sp|Q9JKT3|TA2R4_MOUSE, sp|Q7TQA7|TA2R3_MOUSE, sp|P59530|TA2R7_MOUSE, tr|D3YU55|D3YU55_MOUSE, sp|Q7M723|TR104_MOUSE, sp|Q9JKT4|TR105_MOUSE, sp|Q7M725|TR107_MOUSE, sp|Q7M724|TR106_MOUSE, sp|Q7M722|TR114_MOUSE	tr|A0A8C2YU93|A0A8C2YU93_CHILA
OG0000024	tr|Q7TRB9|Q7TRB9_MOUSE	tr|A0A8C2WDB6|A0A8C2WDB6_CHILA
OG0000024	tr|Q8VGB4|Q8VGB4_MOUSE	tr|A0A8C2VY49|A0A8C2VY49_CHILA, tr|A0A8C2W6G3|A0A8C2W6G3_CHILA, tr|A0A8C2W657|A0A8C2W657_CHILA, tr|A0A8C2VUL1|A0A8C2VUL1_CHILA, tr|A0A8C2VZ98|A0A8C2VZ98_CHILA, tr|A0A8C2W6N4|A0A8C2W6N4_CHILA, tr|A0A8C2W8I5|A0A8C2W8I5_CHILA, tr|A0A8C2WAV8|A0A8C2WAV8_CHILA, tr|A0A8C2W0X8|A0A8C2W0X8_CHILA, tr|A0A8C2YV73|A0A8C2YV73_CHILA, tr|A0A8C2WDJ3|A0A8C2WDJ3_CHILA
OG0000024	tr|Q8VG50|Q8VG50_MOUSE	tr|A0A8C2W7U4|A0A8C2W7U4_CHILA, tr|A0A8C2VV23|A0A8C2VV23_CHILA, tr|A0A8C2W8Z4|A0A8C2W8Z4_CHILA, tr|A0A8C2VZ56|A0A8C2VZ56_CHILA, tr|A0A8C2VTP6|A0A8C2VTP6_CHILA, tr|A0A8C2W8P4|A0A8C2W8P4_CHILA
OG0000024	tr|Q9EQA9|Q9EQA9_MOUSE	tr|A0A8C2W198|A0A8C2W198_CHILA, tr|A0A8C2W6F4|A0A8C2W6F4_CHILA
OG0000026	tr|E9QAT7|E9QAT7_MOUSE, tr|E9Q8F6|E9Q8F6_MOUSE, sp|Q8VGQ7|OL181_MOUSE, sp|Q7TS48|OL180_MOUSE, tr|E9Q9T3|E9Q9T3_MOUSE, tr|Q8VGQ6|Q8VGQ6_MOUSE, tr|A0A140T8K4|A0A140T8K4_MOUSE, tr|E9Q7W1|E9Q7W1_MOUSE, sp|Q8VFB9|OL183_MOUSE, sp|Q8VEX6|OL187_MOUSE, tr|E9PYP4|E9PYP4_MOUSE, tr|L7N1Z8|L7N1Z8_MOUSE, tr|Q7TS43|Q7TS43_MOUSE, tr|K7N5T5|K7N5T5_MOUSE, sp|Q8VEX5|OL186_MOUSE, tr|Q7TS38|Q7TS38_MOUSE, tr|F6ZUS0|F6ZUS0_MOUSE, tr|Q8VGQ3|Q8VGQ3_MOUSE, tr|Q7TS40|Q7TS40_MOUSE, tr|L7N1Y8|L7N1Y8_MOUSE, tr|L7N205|L7N205_MOUSE, tr|L7N1X3|L7N1X3_MOUSE, tr|Q7TS37|Q7TS37_MOUSE, tr|Q8VGP9|Q8VGP9_MOUSE, tr|E9Q8M0|E9Q8M0_MOUSE	tr|A0A8C2W603|A0A8C2W603_CHILA
OG0000027	sp|P31809|CEAM1_MOUSE, sp|Q925P2|CEAM2_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, sp|Q61400|CEAMA_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, tr|Q62056|Q62056_MOUSE	tr|A0A8C2UP23|A0A8C2UP23_CHILA
OG0000033	sp|Q9DCV7|K2C7_MOUSE	tr|A0A8C2UIV6|A0A8C2UIV6_CHILA
OG0000033	sp|Q9R0H5|K2C71_MOUSE	tr|A0A8C2UI41|A0A8C2UI41_CHILA
OG0000033	sp|Q6NXH9|K2C73_MOUSE	tr|A0A8C2UHS7|A0A8C2UHS7_CHILA
OG0000033	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A8C2VZZ9|A0A8C2VZZ9_CHILA, tr|A0A8C2W0G8|A0A8C2W0G8_CHILA, tr|A0A8C2UPM5|A0A8C2UPM5_CHILA
OG0000033	sp|Q3UV17|K22O_MOUSE	tr|A0A8C2VAL8|A0A8C2VAL8_CHILA, tr|A0A8C2YQ23|A0A8C2YQ23_CHILA
OG0000033	sp|Q8VED5|K2C79_MOUSE	tr|A0A8C2VD93|A0A8C2VD93_CHILA
OG0000033	sp|P07744|K2C4_MOUSE	tr|A0A8C2YPJ8|A0A8C2YPJ8_CHILA, tr|A0A8C2VBA0|A0A8C2VBA0_CHILA
OG0000034	tr|Q91XX7|Q91XX7_MOUSE	tr|A0A8C2VP66|A0A8C2VP66_CHILA
OG0000034	tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, sp|O55134|PCD12_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX1|Q91XX1_MOUSE	tr|A0A8C2VJP4|A0A8C2VJP4_CHILA
OG0000037	tr|Q91Y08|Q91Y08_MOUSE, tr|Q91V48|Q91V48_MOUSE, sp|Q91Y02|PCDBI_MOUSE, tr|Q91Y04|Q91Y04_MOUSE, tr|Q91XZ9|Q91XZ9_MOUSE, tr|Q91Y00|Q91Y00_MOUSE, tr|Q91VD8|Q91VD8_MOUSE, tr|Q91Y01|Q91Y01_MOUSE, tr|Q91XZ8|Q91XZ8_MOUSE, tr|Q91Y03|Q91Y03_MOUSE, tr|Q91XZ7|Q91XZ7_MOUSE, sp|Q91XZ2|PCDB8_MOUSE, sp|Q91XZ4|PCDB6_MOUSE, tr|Q91XZ6|Q91XZ6_MOUSE, tr|Q91VE5|Q91VE5_MOUSE, tr|Q91UZ8|Q91UZ8_MOUSE, tr|Q91Y07|Q91Y07_MOUSE, tr|Q91Y06|Q91Y06_MOUSE, sp|Q6PB90|PCDBE_MOUSE, tr|Q91XZ5|Q91XZ5_MOUSE, tr|E9Q5G2|E9Q5G2_MOUSE, tr|Q8CDY9|Q8CDY9_MOUSE	tr|A0A8C2UHU8|A0A8C2UHU8_CHILA
OG0000045	sp|P27661|H2AX_MOUSE	tr|A0A8C2W691|A0A8C2W691_CHILA
OG0000045	sp|Q64522|H2A2B_MOUSE	tr|A0A8C2WB41|A0A8C2WB41_CHILA
OG0000045	sp|Q64523|H2A2C_MOUSE	tr|A0A8C2W5V8|A0A8C2W5V8_CHILA
OG0000045	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A8C2WF04|A0A8C2WF04_CHILA
OG0000045	sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE6|H2A1I_MOUSE	tr|A0A8C2W816|A0A8C2W816_CHILA
OG0000045	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A8C2ULG6|A0A8C2ULG6_CHILA
OG0000047	sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P11591|MUP5_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|P02762|MUP6_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|L7N222|L7N222_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE	tr|A0A8C2VHA7|A0A8C2VHA7_CHILA
OG0000050	tr|A0A075B5M9|A0A075B5M9_MOUSE	tr|A0A8C2UU58|A0A8C2UU58_CHILA, tr|A0A8C2VGE2|A0A8C2VGE2_CHILA
OG0000050	tr|A0A140T8P3|A0A140T8P3_MOUSE	tr|A0A8C2UT18|A0A8C2UT18_CHILA, tr|A0A8C2VD34|A0A8C2VD34_CHILA, tr|A0A8C2V5X3|A0A8C2V5X3_CHILA, tr|A0A8C2V597|A0A8C2V597_CHILA, tr|A0A8C2YPE2|A0A8C2YPE2_CHILA, tr|A0A8C2V324|A0A8C2V324_CHILA, tr|A0A8C2UVV0|A0A8C2UVV0_CHILA, tr|A0A8C2UZ90|A0A8C2UZ90_CHILA, tr|A0A8C2UXG6|A0A8C2UXG6_CHILA, tr|A0A8C2UZF0|A0A8C2UZF0_CHILA, tr|A0A8C2VDM4|A0A8C2VDM4_CHILA, tr|A0A8C2YM69|A0A8C2YM69_CHILA, tr|A0A8C2V0D0|A0A8C2V0D0_CHILA, tr|A0A8C2UW49|A0A8C2UW49_CHILA, tr|A0A8C2UZN4|A0A8C2UZN4_CHILA
OG0000051	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A8C2W806|A0A8C2W806_CHILA
OG0000051	tr|Q8VFG2|Q8VFG2_MOUSE	tr|A0A8C2V8W9|A0A8C2V8W9_CHILA
OG0000051	tr|Q7TS30|Q7TS30_MOUSE	tr|A0A8C2W5J2|A0A8C2W5J2_CHILA
OG0000051	sp|Q60890|OLF11_MOUSE	tr|A0A8C2WDU2|A0A8C2WDU2_CHILA, tr|A0A8C2UUQ3|A0A8C2UUQ3_CHILA
OG0000051	sp|P23275|OLF15_MOUSE	tr|A0A8C2W673|A0A8C2W673_CHILA
OG0000051	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A8C2USK0|A0A8C2USK0_CHILA, tr|A0A8C2W7C1|A0A8C2W7C1_CHILA
OG0000055	tr|Q8VGW2|Q8VGW2_MOUSE	tr|A0A8C2YV82|A0A8C2YV82_CHILA
OG0000055	tr|Q8VG78|Q8VG78_MOUSE	tr|A0A8C2WCJ4|A0A8C2WCJ4_CHILA
OG0000055	tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VG19|Q8VG19_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE	tr|A0A8C2YV74|A0A8C2YV74_CHILA
OG0000055	tr|Q8VGW5|Q8VGW5_MOUSE, tr|E9PXN3|E9PXN3_MOUSE, tr|Q8VH18|Q8VH18_MOUSE	tr|A0A8C2WDI3|A0A8C2WDI3_CHILA
OG0000056	tr|Q8R296|Q8R296_MOUSE, tr|Q8R2A7|Q8R2A7_MOUSE, tr|A0A3B2W3R4|A0A3B2W3R4_MOUSE, tr|Q8R2A8|Q8R2A8_MOUSE, tr|A2RTT5|A2RTT5_MOUSE, tr|Q8R2A9|Q8R2A9_MOUSE, tr|Q8R2A5|Q8R2A5_MOUSE, tr|Q8R2A3|Q8R2A3_MOUSE, tr|Q8R2A2|Q8R2A2_MOUSE, tr|E9PWK2|E9PWK2_MOUSE, tr|Q8R299|Q8R299_MOUSE, tr|E9Q2N4|E9Q2N4_MOUSE, tr|Q8VIC0|Q8VIC0_MOUSE, tr|Q8K4I0|Q8K4I0_MOUSE, tr|G5E8C1|G5E8C1_MOUSE, tr|Q8VIC1|Q8VIC1_MOUSE, tr|E9Q0V3|E9Q0V3_MOUSE	tr|A0A8C2VJK8|A0A8C2VJK8_CHILA
OG0000057	sp|P63268|ACTH_MOUSE	tr|A0A8C2VVD8|A0A8C2VVD8_CHILA
OG0000057	sp|P62737|ACTA_MOUSE	tr|A0A8C2YQR8|A0A8C2YQR8_CHILA
OG0000057	sp|P68134|ACTS_MOUSE	tr|A0A8C2UWB6|A0A8C2UWB6_CHILA
OG0000057	sp|P68033|ACTC_MOUSE	tr|A0A8C2V1I2|A0A8C2V1I2_CHILA
OG0000057	tr|D3YYH9|D3YYH9_MOUSE	tr|A0A8C2W6E1|A0A8C2W6E1_CHILA
OG0000057	sp|Q8CG27|ACTL9_MOUSE	tr|A0A8C2VNB8|A0A8C2VNB8_CHILA
OG0000057	sp|P63260|ACTG_MOUSE	tr|A0A8C2VH48|A0A8C2VH48_CHILA
OG0000057	sp|P60710|ACTB_MOUSE	tr|A0A8C2VXZ2|A0A8C2VXZ2_CHILA
OG0000057	sp|Q8BFZ3|ACTBL_MOUSE	tr|A0A8C2W8F9|A0A8C2W8F9_CHILA
OG0000058	sp|Q811Q4|ADA29_MOUSE, tr|Q811Q3|Q811Q3_MOUSE, tr|Q8CGQ2|Q8CGQ2_MOUSE, tr|B2RUD9|B2RUD9_MOUSE, tr|Q6IMH7|Q6IMH7_MOUSE, tr|B2RSY5|B2RSY5_MOUSE, sp|Q60813|ADM1A_MOUSE, sp|Q8R534|ADM1B_MOUSE, sp|Q9JI76|ADA21_MOUSE, tr|Q7M763|Q7M763_MOUSE, sp|Q9R159|ADA25_MOUSE, tr|Q7M762|Q7M762_MOUSE, sp|Q9R160|ADA24_MOUSE, tr|Q6IMH6|Q6IMH6_MOUSE, sp|Q9R158|AD26A_MOUSE, tr|Q7M766|Q7M766_MOUSE, tr|A2RSG8|A2RSG8_MOUSE	tr|A0A8C2W8N3|A0A8C2W8N3_CHILA
OG0000061	sp|Q64291|K1C12_MOUSE	tr|A0A8C2W4U2|A0A8C2W4U2_CHILA
OG0000061	sp|A1L317|K1C24_MOUSE	tr|A0A8C2W0C8|A0A8C2W0C8_CHILA
OG0000061	sp|P02535|K1C10_MOUSE	tr|A0A8C2YUY7|A0A8C2YUY7_CHILA
OG0000061	sp|Q6RHW0|K1C9_MOUSE	tr|A0A8C2YUG6|A0A8C2YUG6_CHILA
OG0000061	sp|Q61414|K1C15_MOUSE	tr|A0A8C2YSF9|A0A8C2YSF9_CHILA
OG0000061	sp|P08730|K1C13_MOUSE	tr|A0A8C2W2P3|A0A8C2W2P3_CHILA
OG0000061	sp|P19001|K1C19_MOUSE	tr|A0A8C2W2I9|A0A8C2W2I9_CHILA, tr|A0A8C2W4B9|A0A8C2W4B9_CHILA, tr|A0A8C2W0W8|A0A8C2W0W8_CHILA, tr|A0A8C2VYC9|A0A8C2VYC9_CHILA
OG0000063	tr|E9Q623|E9Q623_MOUSE, tr|Q3ULP7|Q3ULP7_MOUSE, tr|Q9ET52|Q9ET52_MOUSE, sp|Q9JIA9|CATR_MOUSE, tr|Q91ZF4|Q91ZF4_MOUSE, sp|Q9R014|CATJ_MOUSE, sp|Q9JI81|CAT8_MOUSE, sp|Q9JL96|CATM_MOUSE, tr|Q91ZD5|Q91ZD5_MOUSE, tr|Q9CQC0|Q9CQC0_MOUSE, sp|P13438|TSP_MOUSE, sp|P12400|CTL2B_MOUSE, sp|P12399|CTL2A_MOUSE, sp|Q91ZF2|CAT7_MOUSE, sp|Q80UB0|TEST2_MOUSE, sp|P06797|CATL1_MOUSE	tr|A0A8C2W7F4|A0A8C2W7F4_CHILA
OG0000064	sp|Q80ZF2|IFNE_MOUSE, sp|Q7TSL0|IFNK_MOUSE, sp|P09235|IFNA9_MOUSE, sp|Q80SU4|IFNAD_MOUSE, tr|L7MTU6|L7MTU6_MOUSE, sp|Q80SS5|IFNAC_MOUSE, tr|Q810G3|Q810G3_MOUSE, tr|Q61718|Q61718_MOUSE, sp|P01573|IFNA2_MOUSE, sp|P07351|IFNA4_MOUSE, sp|Q61716|IFNAB_MOUSE, tr|Q810G1|Q810G1_MOUSE, sp|P01572|IFNA1_MOUSE, sp|P07349|IFNA5_MOUSE, sp|P07350|IFNA6_MOUSE, sp|P06799|IFNA7_MOUSE	tr|A0A8C2VNN1|A0A8C2VNN1_CHILA
OG0000068	sp|Q64478|H2B1H_MOUSE	tr|A0A8C2WCH5|A0A8C2WCH5_CHILA
OG0000068	sp|Q8CGP0|H2B3B_MOUSE	tr|A0A8C2WCE5|A0A8C2WCE5_CHILA
OG0000068	sp|Q9D2U9|H2B3A_MOUSE	tr|A0A8C2W5B9|A0A8C2W5B9_CHILA
OG0000068	sp|P70696|H2B1A_MOUSE	tr|A0A8C2URM4|A0A8C2URM4_CHILA, tr|A0A8C2YV13|A0A8C2YV13_CHILA, tr|A0A8C2W7G5|A0A8C2W7G5_CHILA
OG0000068	sp|Q64525|H2B2B_MOUSE	tr|A0A8C2W8C2|A0A8C2W8C2_CHILA
OG0000068	sp|Q6ZWY9|H2B1C_MOUSE	tr|A0A8C2WA51|A0A8C2WA51_CHILA
OG0000069	tr|Q7TRR4|Q7TRR4_MOUSE	tr|A0A8C2W763|A0A8C2W763_CHILA
