Orthogroup	Mus_musculus	Neovison_vison
OG0000014	sp|Q8BQC8|RBAK_MOUSE	tr|A0A8C7AGZ5|A0A8C7AGZ5_NEOVI
OG0000014	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8C7ANV7|A0A8C7ANV7_NEOVI
OG0000014	tr|Q640N4|Q640N4_MOUSE	tr|A0A8C7EY62|A0A8C7EY62_NEOVI
OG0000014	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A8C7EWE5|A0A8C7EWE5_NEOVI
OG0000014	sp|Q80W31|ZN569_MOUSE	tr|A0A8C7BAU6|A0A8C7BAU6_NEOVI, tr|A0A8C7B8K4|A0A8C7B8K4_NEOVI, tr|A0A8C7B881|A0A8C7B881_NEOVI
OG0000014	sp|P17141|ZFP37_MOUSE	tr|A0A8C7ASY5|A0A8C7ASY5_NEOVI
OG0000014	sp|A2A761|ZFP69_MOUSE	tr|A0A8C7EW09|A0A8C7EW09_NEOVI, tr|A0A8C7BW20|A0A8C7BW20_NEOVI, tr|A0A8C7AFM7|A0A8C7AFM7_NEOVI, tr|A0A8C7ETH6|A0A8C7ETH6_NEOVI, tr|A0A8C7ESF1|A0A8C7ESF1_NEOVI, tr|A0A8C7AT31|A0A8C7AT31_NEOVI, tr|A0A8C7B796|A0A8C7B796_NEOVI, tr|A0A8C7BA32|A0A8C7BA32_NEOVI
OG0000014	tr|E9Q3R6|E9Q3R6_MOUSE	tr|A0A8C7AG11|A0A8C7AG11_NEOVI, tr|A0A8C7AE90|A0A8C7AE90_NEOVI, tr|A0A8C7BFE0|A0A8C7BFE0_NEOVI, tr|A0A8C7ASA6|A0A8C7ASA6_NEOVI, tr|A0A8C7BY57|A0A8C7BY57_NEOVI, tr|A0A8C7BD55|A0A8C7BD55_NEOVI
OG0000015	tr|Q8C0Q5|Q8C0Q5_MOUSE	tr|A0A8C7CDT9|A0A8C7CDT9_NEOVI
OG0000015	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A8C7BEK9|A0A8C7BEK9_NEOVI, tr|A0A8C7BGB2|A0A8C7BGB2_NEOVI, tr|A0A8C7BGS2|A0A8C7BGS2_NEOVI
OG0000015	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A8C7BF68|A0A8C7BF68_NEOVI, tr|A0A8C7ESH5|A0A8C7ESH5_NEOVI, tr|A0A8C7AKB3|A0A8C7AKB3_NEOVI
OG0000015	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A8C7BES0|A0A8C7BES0_NEOVI, tr|A0A8C7BB65|A0A8C7BB65_NEOVI, tr|A0A8C7B191|A0A8C7B191_NEOVI
OG0000015	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A8C7BCC6|A0A8C7BCC6_NEOVI
OG0000015	sp|Q60585|ZFP30_MOUSE	tr|A0A8C7B8G3|A0A8C7B8G3_NEOVI
OG0000016	tr|K7N775|K7N775_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|G5E8I3|G5E8I3_MOUSE, tr|Q14C10|Q14C10_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE, tr|Q8R2D2|Q8R2D2_MOUSE, tr|H3BLP0|H3BLP0_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|Q8R2D6|Q8R2D6_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2E0|Q8R2E0_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|G3XA52|G3XA52_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|H3BKW5|H3BKW5_MOUSE, tr|K7N688|K7N688_MOUSE, tr|K7N778|K7N778_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|Q8R2C2|Q8R2C2_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE, tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|Q8R2C7|Q8R2C7_MOUSE	tr|A0A8C7AI22|A0A8C7AI22_NEOVI
OG0000019	sp|Q60878|OL140_MOUSE	tr|A0A8C7ENG5|A0A8C7ENG5_NEOVI
OG0000019	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A8C7AQL0|A0A8C7AQL0_NEOVI
OG0000019	tr|Q7TQZ8|Q7TQZ8_MOUSE	tr|A0A8C7END5|A0A8C7END5_NEOVI
OG0000019	tr|Q8VGN4|Q8VGN4_MOUSE	tr|A0A8C7ASJ7|A0A8C7ASJ7_NEOVI, tr|A0A8C7AMX0|A0A8C7AMX0_NEOVI, tr|A0A8C7EN75|A0A8C7EN75_NEOVI, tr|A0A8C7AXW8|A0A8C7AXW8_NEOVI, tr|A0A8C7AQG8|A0A8C7AQG8_NEOVI, tr|A0A8C7AMF5|A0A8C7AMF5_NEOVI, tr|A0A8C7ALJ7|A0A8C7ALJ7_NEOVI, tr|A0A8C7EY26|A0A8C7EY26_NEOVI, tr|A0A8C7C9L6|A0A8C7C9L6_NEOVI, tr|A0A8C7C5T3|A0A8C7C5T3_NEOVI, tr|A0A8C7CF97|A0A8C7CF97_NEOVI, tr|A0A8C7C714|A0A8C7C714_NEOVI, tr|A0A8C7AQF8|A0A8C7AQF8_NEOVI, tr|A0A8C7ARM7|A0A8C7ARM7_NEOVI, tr|A0A8C7B0C6|A0A8C7B0C6_NEOVI
OG0000019	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A8C7AUW7|A0A8C7AUW7_NEOVI, tr|A0A8C7AXF4|A0A8C7AXF4_NEOVI, tr|A0A8C7AM50|A0A8C7AM50_NEOVI, tr|A0A8C7AT93|A0A8C7AT93_NEOVI
OG0000019	tr|A2AVK5|A2AVK5_MOUSE	tr|A0A8C7AR85|A0A8C7AR85_NEOVI, tr|A0A8C7AM79|A0A8C7AM79_NEOVI, tr|A0A8C7AQD8|A0A8C7AQD8_NEOVI, tr|A0A8C7ALY1|A0A8C7ALY1_NEOVI, tr|A0A8C7AMK8|A0A8C7AMK8_NEOVI, tr|A0A8C7AM29|A0A8C7AM29_NEOVI
OG0000022	tr|Q8VGB8|Q8VGB8_MOUSE	tr|A0A8C7AV79|A0A8C7AV79_NEOVI
OG0000022	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A8C7BAK0|A0A8C7BAK0_NEOVI, tr|A0A8C7AIG5|A0A8C7AIG5_NEOVI, tr|A0A8C7AJG8|A0A8C7AJG8_NEOVI, tr|A0A8C7EWK0|A0A8C7EWK0_NEOVI, tr|A0A8C7EKY8|A0A8C7EKY8_NEOVI, tr|A0A8C7APN7|A0A8C7APN7_NEOVI, tr|A0A8C7A6R1|A0A8C7A6R1_NEOVI, tr|A0A8C7ELP3|A0A8C7ELP3_NEOVI, tr|A0A8C7ELW7|A0A8C7ELW7_NEOVI, tr|A0A8C7AHM4|A0A8C7AHM4_NEOVI, tr|A0A8C7AKH7|A0A8C7AKH7_NEOVI, tr|A0A8C7A9H0|A0A8C7A9H0_NEOVI, tr|A0A8C7ELD0|A0A8C7ELD0_NEOVI, tr|A0A8C7EMC2|A0A8C7EMC2_NEOVI, tr|A0A8C7BUM9|A0A8C7BUM9_NEOVI, tr|A0A8C7ADE2|A0A8C7ADE2_NEOVI, tr|A0A8C7ADY6|A0A8C7ADY6_NEOVI, tr|A0A8C7BDX0|A0A8C7BDX0_NEOVI, tr|A0A8C7BZZ0|A0A8C7BZZ0_NEOVI, tr|A0A8C7B938|A0A8C7B938_NEOVI, tr|A0A8C7C647|A0A8C7C647_NEOVI, tr|A0A8C7CBJ4|A0A8C7CBJ4_NEOVI, tr|A0A8C7BCP5|A0A8C7BCP5_NEOVI, tr|A0A8C7B729|A0A8C7B729_NEOVI, tr|A0A8C7BKQ8|A0A8C7BKQ8_NEOVI, tr|A0A8C7BHZ0|A0A8C7BHZ0_NEOVI, tr|A0A8C7ES73|A0A8C7ES73_NEOVI, tr|A0A8C7BI48|A0A8C7BI48_NEOVI, tr|A0A8C7B740|A0A8C7B740_NEOVI, tr|A0A8C7AV89|A0A8C7AV89_NEOVI, tr|A0A8C7AVW1|A0A8C7AVW1_NEOVI
OG0000024	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A8C7C2M3|A0A8C7C2M3_NEOVI
OG0000024	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A8C7EPD0|A0A8C7EPD0_NEOVI, tr|A0A8C7B3K2|A0A8C7B3K2_NEOVI, tr|A0A8C7AVG1|A0A8C7AVG1_NEOVI
OG0000024	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A8C7ANX7|A0A8C7ANX7_NEOVI, tr|A0A8C7C289|A0A8C7C289_NEOVI, tr|A0A8C7EXK4|A0A8C7EXK4_NEOVI, tr|A0A8C7EKB9|A0A8C7EKB9_NEOVI, tr|A0A8C7ELC4|A0A8C7ELC4_NEOVI, tr|A0A8C7EMC4|A0A8C7EMC4_NEOVI, tr|A0A8C7BWF3|A0A8C7BWF3_NEOVI, tr|A0A8C7AVR3|A0A8C7AVR3_NEOVI, tr|A0A8C7B7M5|A0A8C7B7M5_NEOVI, tr|A0A8C7B5F2|A0A8C7B5F2_NEOVI, tr|A0A8C7B7U9|A0A8C7B7U9_NEOVI, tr|A0A8C7BCY3|A0A8C7BCY3_NEOVI, tr|A0A8C7B5I3|A0A8C7B5I3_NEOVI
OG0000024	tr|Q8VGW6|Q8VGW6_MOUSE	tr|A0A8C7CDD8|A0A8C7CDD8_NEOVI, tr|A0A8C7C3D1|A0A8C7C3D1_NEOVI, tr|A0A8C7AH88|A0A8C7AH88_NEOVI
OG0000027	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A8C7B455|A0A8C7B455_NEOVI
OG0000027	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|A0A8C7AHS3|A0A8C7AHS3_NEOVI, tr|A0A8C7EW48|A0A8C7EW48_NEOVI, tr|A0A8C7BN12|A0A8C7BN12_NEOVI, tr|A0A8C6ZX13|A0A8C6ZX13_NEOVI, tr|A0A8C7BMJ5|A0A8C7BMJ5_NEOVI, tr|A0A8C7ENJ2|A0A8C7ENJ2_NEOVI, tr|A0A8C7ANB5|A0A8C7ANB5_NEOVI, tr|A0A8C7BD02|A0A8C7BD02_NEOVI, tr|A0A8C7ARE8|A0A8C7ARE8_NEOVI, tr|A0A8C7AD97|A0A8C7AD97_NEOVI, tr|A0A8C7EJG5|A0A8C7EJG5_NEOVI, tr|A0A8C7ATZ3|A0A8C7ATZ3_NEOVI, tr|A0A8C7BA54|A0A8C7BA54_NEOVI, tr|A0A8C7BCP6|A0A8C7BCP6_NEOVI, tr|A0A8C7AR09|A0A8C7AR09_NEOVI, tr|A0A8C7ENK4|A0A8C7ENK4_NEOVI, tr|A0A8C7BBD6|A0A8C7BBD6_NEOVI, tr|A0A8C7ABJ4|A0A8C7ABJ4_NEOVI, tr|A0A8C7A7G8|A0A8C7A7G8_NEOVI, tr|A0A8C7ABK3|A0A8C7ABK3_NEOVI, tr|A0A8C7BML6|A0A8C7BML6_NEOVI, tr|A0A8C7ATW3|A0A8C7ATW3_NEOVI, tr|A0A8C7BA66|A0A8C7BA66_NEOVI, tr|A0A8C7AMW3|A0A8C7AMW3_NEOVI, tr|A0A8C7AFP4|A0A8C7AFP4_NEOVI, tr|A0A8C7APU8|A0A8C7APU8_NEOVI
OG0000029	tr|Q7TQU7|Q7TQU7_MOUSE	tr|A0A8C7AWV6|A0A8C7AWV6_NEOVI
OG0000029	tr|Q8VGJ8|Q8VGJ8_MOUSE	tr|A0A8C7AXK9|A0A8C7AXK9_NEOVI
OG0000029	tr|Q8VFP5|Q8VFP5_MOUSE	tr|A0A8C7AXM0|A0A8C7AXM0_NEOVI
OG0000029	tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A8C7B8Q1|A0A8C7B8Q1_NEOVI
OG0000029	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A8C7EXH1|A0A8C7EXH1_NEOVI, tr|A0A8C7CAS7|A0A8C7CAS7_NEOVI
OG0000029	sp|Q8VFM9|OLF24_MOUSE	tr|A0A8C7BLH9|A0A8C7BLH9_NEOVI, tr|A0A8C7BW59|A0A8C7BW59_NEOVI
OG0000029	tr|A0A1W2P740|A0A1W2P740_MOUSE	tr|A0A8C7AWS2|A0A8C7AWS2_NEOVI, tr|A0A8C7AAR4|A0A8C7AAR4_NEOVI
OG0000029	sp|Q60879|OLF3_MOUSE	tr|A0A8C7AX41|A0A8C7AX41_NEOVI, tr|A0A8C7ER26|A0A8C7ER26_NEOVI, tr|A0A8C7AXH7|A0A8C7AXH7_NEOVI, tr|A0A8C7AWF6|A0A8C7AWF6_NEOVI, tr|A0A8C7B114|A0A8C7B114_NEOVI, tr|A0A8C7ATG3|A0A8C7ATG3_NEOVI
OG0000035	sp|Q91VN1|ZNF24_MOUSE	tr|A0A8C7BQM4|A0A8C7BQM4_NEOVI
OG0000035	sp|Q9Z1D9|ZN394_MOUSE	tr|A0A8C7AAQ8|A0A8C7AAQ8_NEOVI, tr|A0A8C7EK65|A0A8C7EK65_NEOVI, tr|A0A8C7BAR8|A0A8C7BAR8_NEOVI, tr|A0A8C7AZY3|A0A8C7AZY3_NEOVI, tr|A0A8C7B2A5|A0A8C7B2A5_NEOVI, tr|A0A8C7AYM6|A0A8C7AYM6_NEOVI
OG0000035	sp|Q5RJ54|ZSC26_MOUSE	tr|A0A8C7BI46|A0A8C7BI46_NEOVI, tr|A0A8C7B7E5|A0A8C7B7E5_NEOVI, tr|A0A8C7ERH7|A0A8C7ERH7_NEOVI
OG0000035	sp|Q9Z1D7|ZSC12_MOUSE	tr|A0A8C7ERR8|A0A8C7ERR8_NEOVI
OG0000035	sp|Q07231|ZSC21_MOUSE	tr|A0A8C7BHV4|A0A8C7BHV4_NEOVI, tr|A0A8C7A4T3|A0A8C7A4T3_NEOVI
OG0000039	sp|Q9DCV7|K2C7_MOUSE	tr|A0A8C7AA75|A0A8C7AA75_NEOVI
OG0000039	sp|Q8VED5|K2C79_MOUSE	tr|A0A8C7C1T8|A0A8C7C1T8_NEOVI
OG0000039	sp|P07744|K2C4_MOUSE	tr|A0A8C7BYV8|A0A8C7BYV8_NEOVI, tr|A0A8C7C0X4|A0A8C7C0X4_NEOVI
OG0000039	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A8C7BVG2|A0A8C7BVG2_NEOVI, tr|A0A8C7CC58|A0A8C7CC58_NEOVI, tr|A0A8C7EX33|A0A8C7EX33_NEOVI, tr|A0A8C7CC89|A0A8C7CC89_NEOVI, tr|A0A8C7BVS1|A0A8C7BVS1_NEOVI, tr|A0A8C7C1P9|A0A8C7C1P9_NEOVI, tr|A0A8C7C2J1|A0A8C7C2J1_NEOVI
OG0000040	tr|Q91XW9|Q91XW9_MOUSE	tr|A0A8C7EQN2|A0A8C7EQN2_NEOVI
OG0000040	tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE	tr|A0A8C7B2C4|A0A8C7B2C4_NEOVI
OG0000043	sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE5|H2A1G_MOUSE	tr|A0A8C7AIQ8|A0A8C7AIQ8_NEOVI
OG0000043	sp|Q8BFU2|H2A3_MOUSE	tr|A0A8C7A9W1|A0A8C7A9W1_NEOVI
OG0000043	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A8C7ABT8|A0A8C7ABT8_NEOVI
OG0000043	sp|Q64523|H2A2C_MOUSE	tr|A0A8C7ADT3|A0A8C7ADT3_NEOVI
OG0000043	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A8C7BY52|A0A8C7BY52_NEOVI
OG0000043	sp|Q64522|H2A2B_MOUSE	tr|A0A8C7ALB0|A0A8C7ALB0_NEOVI, tr|A0A8C7EJY7|A0A8C7EJY7_NEOVI
OG0000043	sp|C0HKE2|H2A1C_MOUSE	tr|A0A8C7BWD1|A0A8C7BWD1_NEOVI
OG0000046	sp|Q9QWL7|K1C17_MOUSE	tr|A0A8C7B1L7|A0A8C7B1L7_NEOVI
OG0000046	sp|A1L317|K1C24_MOUSE	tr|A0A8C7AA19|A0A8C7AA19_NEOVI
OG0000046	sp|P02535|K1C10_MOUSE	tr|A0A8C7A5E8|A0A8C7A5E8_NEOVI
OG0000046	sp|Q6RHW0|K1C9_MOUSE	tr|A0A8C7AZS9|A0A8C7AZS9_NEOVI
OG0000046	sp|Q61414|K1C15_MOUSE	tr|A0A8C7EIX6|A0A8C7EIX6_NEOVI, tr|A0A8C7AW27|A0A8C7AW27_NEOVI, tr|A0A8C7AZN8|A0A8C7AZN8_NEOVI
OG0000046	sp|P08730|K1C13_MOUSE	tr|A0A8C7EPU6|A0A8C7EPU6_NEOVI
OG0000046	sp|P19001|K1C19_MOUSE	tr|A0A8C7AVN1|A0A8C7AVN1_NEOVI
OG0000046	sp|Q9Z2K1|K1C16_MOUSE	tr|A0A8C7AYQ3|A0A8C7AYQ3_NEOVI
OG0000046	sp|Q61781|K1C14_MOUSE	tr|A0A8C7B1H3|A0A8C7B1H3_NEOVI
OG0000046	sp|Q6IFX2|K1C42_MOUSE	tr|A0A8C7B3L8|A0A8C7B3L8_NEOVI
OG0000047	sp|Q8VG04|OL478_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG13|OL507_MOUSE, sp|Q8VEW6|OL510_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE	tr|A0A8C7BBW0|A0A8C7BBW0_NEOVI
OG0000050	sp|O09127|EPHA8_MOUSE	tr|A0A8C7CAE1|A0A8C7CAE1_NEOVI
OG0000050	sp|P29319|EPHA3_MOUSE	tr|A0A8C7A9E6|A0A8C7A9E6_NEOVI
OG0000050	sp|Q60629|EPHA5_MOUSE	tr|A0A8C7EUN4|A0A8C7EUN4_NEOVI
OG0000050	sp|Q62413|EPHA6_MOUSE	tr|A0A8C7A7N0|A0A8C7A7N0_NEOVI
OG0000050	sp|Q8CBF3|EPHB1_MOUSE	tr|A0A8C7BKB3|A0A8C7BKB3_NEOVI
