Orthogroup	Mus_musculus	Carlito_syrichta
OG0000015	tr|Q7TR55|Q7TR55_MOUSE, sp|Q8VGS3|O1019_MOUSE	tr|A0A1U7T863|A0A1U7T863_CARSF
OG0000016	tr|Q8VGC2|Q8VGC2_MOUSE	tr|A0A1U7TH68|A0A1U7TH68_CARSF
OG0000016	tr|Q8K501|Q8K501_MOUSE	tr|A0A1U7T6S2|A0A1U7T6S2_CARSF
OG0000016	tr|Q8VGC4|Q8VGC4_MOUSE	tr|A0A1U7TPP4|A0A1U7TPP4_CARSF, tr|A0A1U7TH59|A0A1U7TH59_CARSF, tr|A0A1U7TRN7|A0A1U7TRN7_CARSF
OG0000016	tr|Q8VG45|Q8VG45_MOUSE	tr|A0A1U7T8T6|A0A1U7T8T6_CARSF
OG0000016	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|A0A1U7U025|A0A1U7U025_CARSF
OG0000016	tr|A0A1L1SV77|A0A1L1SV77_MOUSE	tr|A0A1U7U0C0|A0A1U7U0C0_CARSF, tr|A0A1U7U2U4|A0A1U7U2U4_CARSF, tr|A0A1U7UA62|A0A1U7UA62_CARSF, tr|A0A1U7U8B7|A0A1U7U8B7_CARSF, tr|A0A3Q0EBN2|A0A3Q0EBN2_CARSF
OG0000016	tr|Q8VEU0|Q8VEU0_MOUSE	tr|A0A1U7UIA2|A0A1U7UIA2_CARSF, tr|A0A1U7UJV0|A0A1U7UJV0_CARSF
OG0000017	tr|Q5ERI8|Q5ERI8_MOUSE, sp|P17533|DFA29_MOUSE, tr|Q9D848|Q9D848_MOUSE, tr|Q5ERJ0|Q5ERJ0_MOUSE, tr|D3YX03|D3YX03_MOUSE, sp|P17534|DFAR2_MOUSE, sp|P50715|DFA31_MOUSE, sp|Q64263|DAR10_MOUSE, sp|P50716|DAR12_MOUSE, sp|P28311|DEFA4_MOUSE, sp|Q45VN2|DFA20_MOUSE, sp|Q8C1P2|DFA21_MOUSE, sp|Q8C1N8|DFA22_MOUSE, tr|D3Z0J0|D3Z0J0_MOUSE, sp|P28312|DEFA5_MOUSE, tr|E9QLQ1|E9QLQ1_MOUSE, tr|D3YX02|D3YX02_MOUSE, tr|K9J724|K9J724_MOUSE, sp|Q5G865|DFA24_MOUSE, tr|E9QPZ2|E9QPZ2_MOUSE, sp|P50708|DFA10_MOUSE, sp|P11477|DEFA1_MOUSE, sp|P50709|DFA11_MOUSE, sp|P50704|DEFA6_MOUSE, sp|P50714|DFA16_MOUSE, sp|Q5G864|DFA25_MOUSE, tr|D3Z1V9|D3Z1V9_MOUSE, tr|F2Z403|F2Z403_MOUSE, sp|Q5G866|DFA23_MOUSE, sp|P28309|DEFA2_MOUSE, tr|L7N231|L7N231_MOUSE, sp|Q3L180|DFA26_MOUSE, sp|P28310|DEFA3_MOUSE, sp|P50713|DFA15_MOUSE, sp|P50707|DEFA9_MOUSE, sp|P50711|DFA13_MOUSE, sp|P50705|DEFA7_MOUSE, sp|Q64016|DFA17_MOUSE, sp|P50706|DEFA8_MOUSE, sp|P50712|DFA14_MOUSE	tr|A0A1U7UBZ8|A0A1U7UBZ8_CARSF
OG0000022	tr|Q8R2D6|Q8R2D6_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|Q8R2E0|Q8R2E0_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|G3XA52|G3XA52_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|G5E8I3|G5E8I3_MOUSE, tr|Q8R2D2|Q8R2D2_MOUSE, tr|H3BLP0|H3BLP0_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q14C10|Q14C10_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|K7N775|K7N775_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE, tr|K7N688|K7N688_MOUSE, tr|K7N778|K7N778_MOUSE, tr|H3BKW5|H3BKW5_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|Q8R2C2|Q8R2C2_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE, tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|Q8R2C7|Q8R2C7_MOUSE	tr|A0A1U7SWX1|A0A1U7SWX1_CARSF
OG0000024	tr|Q7TR84|Q7TR84_MOUSE, tr|Q7TR81|Q7TR81_MOUSE, tr|A2ARY1|A2ARY1_MOUSE, tr|A2ARY0|A2ARY0_MOUSE, tr|Q8VFK4|Q8VFK4_MOUSE, sp|Q8VGR9|O1044_MOUSE, tr|Q8VFL0|Q8VFL0_MOUSE, sp|Q8VGS1|O1038_MOUSE, tr|Q7TR80|Q7TR80_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q7TR71|Q7TR71_MOUSE, tr|Q7TR76|Q7TR76_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|Q8VGC7|Q8VGC7_MOUSE, tr|Q7TR79|Q7TR79_MOUSE, tr|A2AVX9|A2AVX9_MOUSE, tr|A2AVY0|A2AVY0_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE, tr|Q8VGS0|Q8VGS0_MOUSE, tr|Q7TR63|Q7TR63_MOUSE	tr|A0A3Q0E0H1|A0A3Q0E0H1_CARSF
OG0000025	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A1U7TZS3|A0A1U7TZS3_CARSF
OG0000025	sp|Q60890|OLF11_MOUSE	tr|A0A1U7UDU1|A0A1U7UDU1_CARSF
OG0000025	tr|Q7TQU5|Q7TQU5_MOUSE	tr|A0A3Q0DH63|A0A3Q0DH63_CARSF
OG0000025	tr|Q8VGW6|Q8VGW6_MOUSE	tr|A0A1U7TK84|A0A1U7TK84_CARSF
OG0000025	tr|Q8VFG4|Q8VFG4_MOUSE	tr|A0A1U7U7W1|A0A1U7U7W1_CARSF
OG0000025	tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q7TS30|Q7TS30_MOUSE	tr|A0A1U7U2A2|A0A1U7U2A2_CARSF
OG0000025	sp|P23275|OLF15_MOUSE	tr|A0A1U7UGM9|A0A1U7UGM9_CARSF
OG0000025	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A1U7UNX5|A0A1U7UNX5_CARSF
OG0000025	tr|Q5SZS9|Q5SZS9_MOUSE	tr|A0A1U7T075|A0A1U7T075_CARSF, tr|A0A1U7TCP0|A0A1U7TCP0_CARSF
OG0000025	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A1U7THB2|A0A1U7THB2_CARSF, tr|A0A1U7U0K2|A0A1U7U0K2_CARSF, tr|A0A1U7TMV4|A0A1U7TMV4_CARSF, tr|A0A1U7TNM5|A0A1U7TNM5_CARSF, tr|A0A1U7TNN7|A0A1U7TNN7_CARSF, tr|A0A1U7TF05|A0A1U7TF05_CARSF, tr|A0A1U7SLH3|A0A1U7SLH3_CARSF
OG0000025	tr|Q7TRI8|Q7TRI8_MOUSE	tr|A0A1U7TX28|A0A1U7TX28_CARSF, tr|A0A1U7U9P8|A0A1U7U9P8_CARSF
OG0000032	sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE3|H2A1D_MOUSE	tr|A0A1U7T6X1|A0A1U7T6X1_CARSF
OG0000032	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A1U7TBM8|A0A1U7TBM8_CARSF
OG0000032	sp|Q64522|H2A2B_MOUSE	tr|A0A1U7SXB2|A0A1U7SXB2_CARSF
OG0000032	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A1U7UU50|A0A1U7UU50_CARSF
OG0000032	sp|Q64523|H2A2C_MOUSE	tr|A0A1U7T3Z0|A0A1U7T3Z0_CARSF
OG0000032	sp|Q8BFU2|H2A3_MOUSE	tr|A0A1U7TRT3|A0A1U7TRT3_CARSF, tr|A0A1U7U3C4|A0A1U7U3C4_CARSF
OG0000032	sp|C0HKE2|H2A1C_MOUSE	tr|A0A1U7V1X2|A0A1U7V1X2_CARSF
OG0000033	tr|Q8VFE2|Q8VFE2_MOUSE	tr|A0A1U7U6C6|A0A1U7U6C6_CARSF
OG0000033	tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|Q7TRN0|Q7TRN0_MOUSE, tr|Q920G5|Q920G5_MOUSE, tr|Q7TRM9|Q7TRM9_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE, tr|K7N727|K7N727_MOUSE	tr|A0A1U7TKD2|A0A1U7TKD2_CARSF
OG0000037	tr|A0A0B4J1J2|A0A0B4J1J2_MOUSE, tr|A0A0B4J1J1|A0A0B4J1J1_MOUSE, tr|A0A140T8N4|A0A140T8N4_MOUSE, sp|P01642|KV5A9_MOUSE, tr|A0A140T8M5|A0A140T8M5_MOUSE, sp|P84750|KVM5_MOUSE, tr|A0A075B5N7|A0A075B5N7_MOUSE, tr|A0A140T8P1|A0A140T8P1_MOUSE, tr|A0A140T8N5|A0A140T8N5_MOUSE, tr|A0A140T8N7|A0A140T8N7_MOUSE, sp|P01633|KV5A1_MOUSE, tr|A0A140T8N9|A0A140T8N9_MOUSE, sp|P01634|KV5A2_MOUSE, tr|A0A140T8P2|A0A140T8P2_MOUSE, tr|A0A075B5N2|A0A075B5N2_MOUSE, sp|P01632|KV1A1_MOUSE, tr|A0A140T8P7|A0A140T8P7_MOUSE, tr|A0A140T8M3|A0A140T8M3_MOUSE, tr|A0A140T8P5|A0A140T8P5_MOUSE, tr|A0A075B5N6|A0A075B5N6_MOUSE, tr|A0A0G2JGT0|A0A0G2JGT0_MOUSE, tr|A0A0G2JDU0|A0A0G2JDU0_MOUSE, tr|A0A0B4J1J3|A0A0B4J1J3_MOUSE, tr|A0A075B5N5|A0A075B5N5_MOUSE, tr|A0A075B5N4|A0A075B5N4_MOUSE, tr|A0A140T8M4|A0A140T8M4_MOUSE, tr|A0A075B5N3|A0A075B5N3_MOUSE	tr|A0A1U7U925|A0A1U7U925_CARSF
OG0000039	sp|Q80YP6|ZIK1_MOUSE	tr|A0A1U7U732|A0A1U7U732_CARSF
OG0000039	tr|Q8BFS8|Q8BFS8_MOUSE	tr|A0A1U7TXC4|A0A1U7TXC4_CARSF, tr|A0A1U7TIH0|A0A1U7TIH0_CARSF, tr|A0A3Q0DYP4|A0A3Q0DYP4_CARSF, tr|A0A1U7T051|A0A1U7T051_CARSF, tr|A0A1U7UNJ9|A0A1U7UNJ9_CARSF, tr|A0A3Q0ECK4|A0A3Q0ECK4_CARSF, tr|A0A3Q0EKN0|A0A3Q0EKN0_CARSF, tr|A0A1U7U9Y6|A0A1U7U9Y6_CARSF, tr|A0A1U7V0F4|A0A1U7V0F4_CARSF, tr|A0A1U7USD5|A0A1U7USD5_CARSF, tr|A0A1U7UNA0|A0A1U7UNA0_CARSF, tr|A0A1U7UD82|A0A1U7UD82_CARSF, tr|A0A3Q0E6M9|A0A3Q0E6M9_CARSF, tr|A0A1U7TM13|A0A1U7TM13_CARSF, tr|A0A1U7V0F0|A0A1U7V0F0_CARSF, tr|A0A3Q0EGG4|A0A3Q0EGG4_CARSF, tr|A0A1U7UCD6|A0A1U7UCD6_CARSF, tr|A0A3Q0EBS6|A0A3Q0EBS6_CARSF, tr|A0A3Q0EF98|A0A3Q0EF98_CARSF, tr|A0A1U7U3R8|A0A1U7U3R8_CARSF, tr|A0A3Q0EH60|A0A3Q0EH60_CARSF, tr|A0A3Q0EH56|A0A3Q0EH56_CARSF, tr|A0A1U7U3D9|A0A1U7U3D9_CARSF, tr|A0A3Q0E993|A0A3Q0E993_CARSF
OG0000040	tr|Q7TRY4|Q7TRY4_MOUSE	tr|A0A1U7U1M5|A0A1U7U1M5_CARSF
OG0000040	tr|A0A1W2P740|A0A1W2P740_MOUSE	tr|A0A3Q0DZS3|A0A3Q0DZS3_CARSF
OG0000040	sp|Q8VFM9|OLF24_MOUSE	tr|A0A1U7SMA9|A0A1U7SMA9_CARSF
OG0000040	tr|B9EHG2|B9EHG2_MOUSE	tr|A0A1U7T4E3|A0A1U7T4E3_CARSF, tr|A0A1U7TL20|A0A1U7TL20_CARSF
OG0000040	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A1U7T1X0|A0A1U7T1X0_CARSF, tr|A0A1U7TDR3|A0A1U7TDR3_CARSF, tr|A0A3Q0E0J3|A0A3Q0E0J3_CARSF, tr|A0A1U7THQ2|A0A1U7THQ2_CARSF, tr|A0A1U7SRI6|A0A1U7SRI6_CARSF, tr|A0A1U7UZ04|A0A1U7UZ04_CARSF, tr|A0A1U7TN68|A0A1U7TN68_CARSF, tr|A0A1U7T0I5|A0A1U7T0I5_CARSF, tr|A0A1U7TIQ8|A0A1U7TIQ8_CARSF, tr|A0A1U7T0I6|A0A1U7T0I6_CARSF, tr|A0A1U7STP5|A0A1U7STP5_CARSF, tr|A0A1U7TDN8|A0A1U7TDN8_CARSF, tr|A0A3Q0E3Z8|A0A3Q0E3Z8_CARSF, tr|A0A1U7U9B7|A0A1U7U9B7_CARSF, tr|A0A1U7U7I2|A0A1U7U7I2_CARSF
OG0000045	tr|E9Q848|E9Q848_MOUSE	tr|A0A1U7T823|A0A1U7T823_CARSF
OG0000045	tr|Q8VF20|Q8VF20_MOUSE, tr|Q7TRV1|Q7TRV1_MOUSE, tr|E9Q0Y7|E9Q0Y7_MOUSE	tr|A0A1U7UKF0|A0A1U7UKF0_CARSF, tr|A0A1U7SPZ3|A0A1U7SPZ3_CARSF, tr|A0A1U7UR97|A0A1U7UR97_CARSF, tr|A0A1U7TCW6|A0A1U7TCW6_CARSF, tr|A0A1U7UVF6|A0A1U7UVF6_CARSF
OG0000045	sp|Q62007|OLF16_MOUSE	tr|A0A3Q0EAX3|A0A3Q0EAX3_CARSF, tr|A0A3Q0E972|A0A3Q0E972_CARSF, tr|A0A1U7TY26|A0A1U7TY26_CARSF, tr|A0A1U7TY16|A0A1U7TY16_CARSF
OG0000046	sp|Q9D267|LCN9_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, tr|A0A1B0GSM6|A0A1B0GSM6_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P02762|MUP6_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|L7N222|L7N222_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE	tr|A0A1U7UJH4|A0A1U7UJH4_CARSF
OG0000048	sp|Q91Y57|SIG12_MOUSE	tr|A0A3Q0DHU2|A0A3Q0DHU2_CARSF, tr|A0A3Q0DH40|A0A3Q0DH40_CARSF, tr|A0A3Q0DP26|A0A3Q0DP26_CARSF, tr|A0A3Q0DIS5|A0A3Q0DIS5_CARSF, tr|A0A3Q0DGA5|A0A3Q0DGA5_CARSF, tr|A0A1U7UDK1|A0A1U7UDK1_CARSF, tr|A0A3Q0DTS5|A0A3Q0DTS5_CARSF
OG0000048	sp|Q80ZE3|SIG10_MOUSE	tr|A0A1U7TRU8|A0A1U7TRU8_CARSF, tr|A0A3Q0E5L4|A0A3Q0E5L4_CARSF, tr|A0A1U7SJZ4|A0A1U7SJZ4_CARSF
OG0000048	tr|B7ZMQ6|B7ZMQ6_MOUSE	tr|A0A3Q0E3U2|A0A3Q0E3U2_CARSF, tr|A0A3Q0DH18|A0A3Q0DH18_CARSF, tr|A0A1U7SW31|A0A1U7SW31_CARSF, tr|A0A3Q0DQV6|A0A3Q0DQV6_CARSF, tr|A0A3Q0DP74|A0A3Q0DP74_CARSF, tr|A0A1U7UWT4|A0A1U7UWT4_CARSF
OG0000054	tr|Q7TRR4|Q7TRR4_MOUSE	tr|A0A1U7TNF9|A0A1U7TNF9_CARSF
OG0000054	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A1U7TS79|A0A1U7TS79_CARSF
OG0000054	tr|Q8VF06|Q8VF06_MOUSE	tr|A0A1U7TYD2|A0A1U7TYD2_CARSF
OG0000054	tr|Q7TRP3|Q7TRP3_MOUSE	tr|A0A1U7TXN8|A0A1U7TXN8_CARSF
OG0000054	tr|Q8VGZ9|Q8VGZ9_MOUSE	tr|A0A1U7UAC4|A0A1U7UAC4_CARSF
OG0000054	tr|Q8VG28|Q8VG28_MOUSE	tr|A0A1U7TQ87|A0A1U7TQ87_CARSF, tr|A0A1U7UA72|A0A1U7UA72_CARSF, tr|A0A1U7U0C5|A0A1U7U0C5_CARSF
OG0000054	tr|Q8VGV8|Q8VGV8_MOUSE	tr|A0A3Q0DZS7|A0A3Q0DZS7_CARSF, tr|A0A1U7U099|A0A1U7U099_CARSF
OG0000055	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A1U7TZ31|A0A1U7TZ31_CARSF
