Orthogroup	Mus_musculus	Cebus_imitator
OG0000005	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A2K5PHC6|A0A2K5PHC6_CEBIM, tr|A0A2K5S0F9|A0A2K5S0F9_CEBIM, tr|A0A2K5RU30|A0A2K5RU30_CEBIM, tr|A0A2K5SH86|A0A2K5SH86_CEBIM, tr|A0A2K5R3D4|A0A2K5R3D4_CEBIM, tr|A0A2K5PLE5|A0A2K5PLE5_CEBIM, tr|A0A2K5RZB3|A0A2K5RZB3_CEBIM, tr|A0A2K5RDB8|A0A2K5RDB8_CEBIM, tr|A0A2K5Q550|A0A2K5Q550_CEBIM, tr|A0A2K5QRY7|A0A2K5QRY7_CEBIM
OG0000007	tr|Q5U406|Q5U406_MOUSE	tr|A0A2K5SC87|A0A2K5SC87_CEBIM
OG0000007	sp|Q7TSH9|ZN184_MOUSE	tr|A0A2K5R4D8|A0A2K5R4D8_CEBIM, tr|A0A2K5R6G2|A0A2K5R6G2_CEBIM, tr|A0A2K5S1R0|A0A2K5S1R0_CEBIM, tr|A0A2K5PTB0|A0A2K5PTB0_CEBIM
OG0000007	tr|Q8C393|Q8C393_MOUSE	tr|A0A2K5Q9Q0|A0A2K5Q9Q0_CEBIM, tr|A0A2K5QN50|A0A2K5QN50_CEBIM, tr|A0A2K5R2A1|A0A2K5R2A1_CEBIM, tr|A0A2K5RM88|A0A2K5RM88_CEBIM, tr|A0A2K5QKV7|A0A2K5QKV7_CEBIM
OG0000007	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A2K5S5U3|A0A2K5S5U3_CEBIM
OG0000007	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A2K5Q7S4|A0A2K5Q7S4_CEBIM, tr|A0A2K5PDB3|A0A2K5PDB3_CEBIM
OG0000007	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A2K5R670|A0A2K5R670_CEBIM, tr|A0A2K5QB35|A0A2K5QB35_CEBIM, tr|A0A2K5QIW9|A0A2K5QIW9_CEBIM
OG0000007	sp|P10755|ZFP14_MOUSE	tr|A0A2K5S221|A0A2K5S221_CEBIM, tr|A0A2K5QEC5|A0A2K5QEC5_CEBIM, tr|A0A2K5PI95|A0A2K5PI95_CEBIM, tr|A0A2K5SGR9|A0A2K5SGR9_CEBIM, tr|A0A2K5RV96|A0A2K5RV96_CEBIM, tr|A0A2K5R6N8|A0A2K5R6N8_CEBIM, tr|A0A2K5S5T3|A0A2K5S5T3_CEBIM, tr|A0A2K5SCS2|A0A2K5SCS2_CEBIM
OG0000007	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A2K5SBF0|A0A2K5SBF0_CEBIM, tr|A0A2K5QAK8|A0A2K5QAK8_CEBIM, tr|A0A2K5S0P2|A0A2K5S0P2_CEBIM, tr|A0A2K5RNS1|A0A2K5RNS1_CEBIM, tr|A0A2K5PQA6|A0A2K5PQA6_CEBIM
OG0000007	tr|Q9D654|Q9D654_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A2K5RZD9|A0A2K5RZD9_CEBIM
OG0000007	sp|Q3V080|ZN583_MOUSE	tr|A0A2K5PWS0|A0A2K5PWS0_CEBIM, tr|A0A2K5QVG6|A0A2K5QVG6_CEBIM, tr|A0A2K5Q2P2|A0A2K5Q2P2_CEBIM
OG0000009	tr|A2RTN7|A2RTN7_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|F8VQB9|F8VQB9_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|Q8VF83|Q8VF83_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE	tr|A0A2K5PA61|A0A2K5PA61_CEBIM
OG0000012	tr|Q8VF62|Q8VF62_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, sp|Q60882|OL145_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|Q9EQA9|Q9EQA9_MOUSE, tr|K7N678|K7N678_MOUSE, sp|P34985|OL143_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE, tr|L7N210|L7N210_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|E9Q891|E9Q891_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|E9Q843|E9Q843_MOUSE, tr|B2RVX8|B2RVX8_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, sp|Q60886|OL147_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q8VG53|Q8VG53_MOUSE	tr|A0A2K5S6D2|A0A2K5S6D2_CEBIM
OG0000014	tr|Q8VH17|Q8VH17_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q544|E9Q544_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|L7N462|L7N462_MOUSE, tr|K7N609|K7N609_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|Q8VH11|Q8VH11_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|E9Q554|E9Q554_MOUSE, tr|F8VQ18|F8VQ18_MOUSE, tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE, tr|E9Q7P5|E9Q7P5_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q8VH21|Q8VH21_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|Q8VF02|Q8VF02_MOUSE, tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VGX6|Q8VGX6_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE	tr|A0A2K5PII9|A0A2K5PII9_CEBIM
OG0000021	sp|Q60893|OL151_MOUSE, tr|Q8VGE3|Q8VGE3_MOUSE, tr|Q9EQ99|Q9EQ99_MOUSE, tr|Q9EQA0|Q9EQA0_MOUSE, tr|Q7TRB7|Q7TRB7_MOUSE, tr|Q7TRB8|Q7TRB8_MOUSE, tr|Q9EQ98|Q9EQ98_MOUSE, tr|Q8VH09|Q8VH09_MOUSE	tr|A0A2K5QWH7|A0A2K5QWH7_CEBIM
OG0000021	tr|Q9EQ96|Q9EQ96_MOUSE, tr|Q8VFN5|Q8VFN5_MOUSE, tr|J3KMV2|J3KMV2_MOUSE, sp|Q60884|OL146_MOUSE, tr|Q8VG16|Q8VG16_MOUSE, tr|Q9EQB6|Q9EQB6_MOUSE, tr|Q9EQ94|Q9EQ94_MOUSE, tr|Q9EQ92|Q9EQ92_MOUSE, tr|Q9EQ91|Q9EQ91_MOUSE, tr|Q9EQ90|Q9EQ90_MOUSE, sp|P34983|O1537_MOUSE, tr|Q9EQ95|Q9EQ95_MOUSE, tr|Q9EQB5|Q9EQB5_MOUSE, tr|Q9EQB8|Q9EQB8_MOUSE, tr|Q9EQB4|Q9EQB4_MOUSE, tr|Q9EQB7|Q9EQB7_MOUSE, tr|Q8VFD7|Q8VFD7_MOUSE, tr|Q9EQ97|Q9EQ97_MOUSE, tr|Q9EQ93|Q9EQ93_MOUSE, tr|Q8VF78|Q8VF78_MOUSE, sp|Q60895|OL150_MOUSE, tr|Q7TRA7|Q7TRA7_MOUSE, tr|Q7TRA6|Q7TRA6_MOUSE, tr|Q8VG89|Q8VG89_MOUSE, tr|Q9EQA2|Q9EQA2_MOUSE, tr|Q8VFN4|Q8VFN4_MOUSE, tr|Q8VFN3|Q8VFN3_MOUSE	tr|A0A2K5RM97|A0A2K5RM97_CEBIM
OG0000022	tr|Q8VFX5|Q8VFX5_MOUSE	tr|A0A2K5R1L3|A0A2K5R1L3_CEBIM
OG0000022	tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE, tr|Q8VF75|Q8VF75_MOUSE, tr|Q8VF73|Q8VF73_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q7TS13|Q7TS13_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, sp|Q8VFX2|O1444_MOUSE	tr|A0A2K5RY49|A0A2K5RY49_CEBIM
OG0000023	sp|Q91XY4|PCDG4_MOUSE	tr|A0A2K5Q855|A0A2K5Q855_CEBIM
OG0000023	tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, sp|Q91Y13|PCDA7_MOUSE, sp|O88689|PCDA4_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, sp|Q91Y20|PCDAA_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, tr|Q91Y09|Q91Y09_MOUSE	tr|A0A2K5PLN5|A0A2K5PLN5_CEBIM
OG0000024	tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE	tr|A0A2K5PUG0|A0A2K5PUG0_CEBIM
