Orthogroup	Mus_musculus	Oryctolagus_cuniculus
OG0000041	sp|Q3TTY5|K22E_MOUSE	tr|G1SUH8|G1SUH8_RABIT
OG0000041	sp|P04104|K2C1_MOUSE	tr|G1U9I8|G1U9I8_RABIT
OG0000041	sp|Q6NXH9|K2C73_MOUSE	tr|G1TDN8|G1TDN8_RABIT
OG0000041	sp|Q9R0H5|K2C71_MOUSE	tr|G1U9K5|G1U9K5_RABIT
OG0000041	sp|Q6IME9|K2C72_MOUSE	tr|G1SUH1|G1SUH1_RABIT
OG0000041	sp|Q9DCV7|K2C7_MOUSE	tr|G1SHZ4|G1SHZ4_RABIT
OG0000041	tr|E9Q1Z0|E9Q1Z0_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q9Z331|K2C6B_MOUSE, tr|Q6IFZ8|Q6IFZ8_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE	tr|G1TDN6|G1TDN6_RABIT
OG0000043	tr|Q8R266|Q8R266_MOUSE, tr|Q8R265|Q8R265_MOUSE, tr|Q5SVD5|Q5SVD5_MOUSE, tr|Q8K3N2|Q8K3N2_MOUSE, tr|Q8R269|Q8R269_MOUSE, tr|Q8R270|Q8R270_MOUSE, tr|Q8R272|Q8R272_MOUSE, tr|Q8R271|Q8R271_MOUSE, tr|Q8K4D0|Q8K4D0_MOUSE, tr|Q8R268|Q8R268_MOUSE, tr|Q5NC97|Q5NC97_MOUSE, tr|Q8R277|Q8R277_MOUSE, tr|A0A494BA14|A0A494BA14_MOUSE, tr|A0A494B935|A0A494B935_MOUSE, tr|Q8K3N3|Q8K3N3_MOUSE, tr|Q8R281|Q8R281_MOUSE, tr|Q8R275|Q8R275_MOUSE, tr|Q8R276|Q8R276_MOUSE, tr|Q8R274|Q8R274_MOUSE, tr|Q8R273|Q8R273_MOUSE, tr|Q8R279|Q8R279_MOUSE, tr|Q8R280|Q8R280_MOUSE, tr|Q8R278|Q8R278_MOUSE	tr|G1U3C7|G1U3C7_RABIT
OG0000045	sp|P03975|IGEB_MOUSE	tr|U3KMV8|U3KMV8_RABIT, tr|A0A5F9CIS7|A0A5F9CIS7_RABIT, tr|A0A5F9CA04|A0A5F9CA04_RABIT, tr|A0A5F9D659|A0A5F9D659_RABIT, tr|A0A5F9C3Z8|A0A5F9C3Z8_RABIT, tr|A0A5F9D0R4|A0A5F9D0R4_RABIT, tr|A0A5F9C819|A0A5F9C819_RABIT, tr|A0A5F9C5H6|A0A5F9C5H6_RABIT, tr|A0A5F9DGZ7|A0A5F9DGZ7_RABIT, tr|A0A5F9C2J7|A0A5F9C2J7_RABIT, tr|A0A5F9C6M8|A0A5F9C6M8_RABIT, tr|A0A5F9C2V8|A0A5F9C2V8_RABIT, tr|A0A5F9DL15|A0A5F9DL15_RABIT, tr|A0A5F9CCV7|A0A5F9CCV7_RABIT, tr|A0A5F9D7F4|A0A5F9D7F4_RABIT, tr|A0A5F9DSM3|A0A5F9DSM3_RABIT, tr|A0A5F9CEW2|A0A5F9CEW2_RABIT, tr|A0A5F9CSD8|A0A5F9CSD8_RABIT, tr|A0A5F9D1M5|A0A5F9D1M5_RABIT, tr|A0A5F9DSA0|A0A5F9DSA0_RABIT, tr|A0A5F9D8C4|A0A5F9D8C4_RABIT, tr|A0A5F9D8L1|A0A5F9D8L1_RABIT, tr|A0A5F9C883|A0A5F9C883_RABIT
OG0000048	tr|Q91Y08|Q91Y08_MOUSE, tr|Q91V48|Q91V48_MOUSE, sp|Q91Y02|PCDBI_MOUSE, tr|Q91XZ9|Q91XZ9_MOUSE, tr|Q91Y04|Q91Y04_MOUSE, tr|Q91Y00|Q91Y00_MOUSE, tr|Q8CDY9|Q8CDY9_MOUSE, tr|E9Q5G2|E9Q5G2_MOUSE, tr|Q91XZ5|Q91XZ5_MOUSE, sp|Q6PB90|PCDBE_MOUSE, tr|Q91UZ8|Q91UZ8_MOUSE, tr|Q91Y07|Q91Y07_MOUSE, tr|Q91VE5|Q91VE5_MOUSE, sp|Q91XZ4|PCDB6_MOUSE, sp|Q91XZ2|PCDB8_MOUSE, tr|Q91XZ6|Q91XZ6_MOUSE, tr|Q91Y06|Q91Y06_MOUSE, tr|Q91XZ7|Q91XZ7_MOUSE, tr|Q91Y03|Q91Y03_MOUSE, tr|Q91VD8|Q91VD8_MOUSE, tr|Q91Y01|Q91Y01_MOUSE, tr|Q91XZ8|Q91XZ8_MOUSE	tr|G1SSZ5|G1SSZ5_RABIT
OG0000053	sp|Q91XY4|PCDG4_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE	tr|A0A5F9CXZ9|A0A5F9CXZ9_RABIT
OG0000055	tr|G3UW82|G3UW82_MOUSE	tr|G1SJQ4|G1SJQ4_RABIT
OG0000055	sp|Q5SX40|MYH1_MOUSE	sp|Q28641|MYH4_RABIT
OG0000055	sp|Q5SX39|MYH4_MOUSE	tr|G1SJN7|G1SJN7_RABIT
OG0000055	sp|P13542|MYH8_MOUSE	tr|G1SYW9|G1SYW9_RABIT
OG0000055	tr|B1AR69|B1AR69_MOUSE	tr|Q9GJP9|Q9GJP9_RABIT
OG0000055	sp|Q91Z83|MYH7_MOUSE	tr|G1TW48|G1TW48_RABIT
OG0000055	sp|Q02566|MYH6_MOUSE	sp|P04460|MYH6_RABIT, sp|P04461|MYH7_RABIT
OG0000055	sp|A2AQP0|MYH7B_MOUSE	tr|G1SH73|G1SH73_RABIT
OG0000055	tr|E9Q264|E9Q264_MOUSE	sp|P02562|MYSS_RABIT, tr|A0A5F9D207|A0A5F9D207_RABIT
OG0000056	sp|Q6GSS7|H2A2A_MOUSE	tr|G1TE68|G1TE68_RABIT
OG0000056	sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE6|H2A1I_MOUSE	tr|G1TMN0|G1TMN0_RABIT
OG0000056	sp|Q8BFU2|H2A3_MOUSE	tr|G1U2Q4|G1U2Q4_RABIT, tr|G1TUJ8|G1TUJ8_RABIT, tr|G1TXN5|G1TXN5_RABIT, tr|A0A5F9CKJ6|A0A5F9CKJ6_RABIT, tr|G1T0Z2|G1T0Z2_RABIT, tr|G1TGN3|G1TGN3_RABIT, tr|A0A5F9DN85|A0A5F9DN85_RABIT
OG0000058	sp|E9PYI1|ZN568_MOUSE	tr|U3KMF9|U3KMF9_RABIT
OG0000058	sp|P10755|ZFP14_MOUSE	tr|G1TEJ3|G1TEJ3_RABIT
OG0000058	sp|Q60585|ZFP30_MOUSE	tr|U3KNU9|U3KNU9_RABIT
OG0000058	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|G1U9N4|G1U9N4_RABIT
OG0000058	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|G1U9D8|G1U9D8_RABIT
OG0000062	tr|Q7TR49|Q7TR49_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|L7MTT1|L7MTT1_MOUSE	tr|G1TIK2|G1TIK2_RABIT
OG0000062	tr|Q8VFE2|Q8VFE2_MOUSE	tr|G1SNV7|G1SNV7_RABIT
OG0000062	tr|W4VSP0|W4VSP0_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|K7N727|K7N727_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE	tr|G1TEE7|G1TEE7_RABIT
OG0000066	tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q7TRT9|Q7TRT9_MOUSE, tr|Q8VGL2|Q8VGL2_MOUSE, tr|Q7TS01|Q7TS01_MOUSE, tr|Q8VGH2|Q8VGH2_MOUSE, tr|Q8VGL9|Q8VGL9_MOUSE, tr|Q8VGM1|Q8VGM1_MOUSE, tr|Q8VGL8|Q8VGL8_MOUSE, tr|Q8VGM0|Q8VGM0_MOUSE, tr|Q8VGL4|Q8VGL4_MOUSE, tr|Q8VGM2|Q8VGM2_MOUSE, tr|Q8VGL3|Q8VGL3_MOUSE, tr|Q8VGJ4|Q8VGJ4_MOUSE, tr|Q7TRT5|Q7TRT5_MOUSE	tr|G1TT68|G1TT68_RABIT
OG0000069	sp|Q80YP6|ZIK1_MOUSE	tr|U3KN11|U3KN11_RABIT, tr|G1SVI2|G1SVI2_RABIT, tr|G1SVI7|G1SVI7_RABIT, tr|A0A5F9DB03|A0A5F9DB03_RABIT, tr|A0A5F9DLP4|A0A5F9DLP4_RABIT, tr|A0A5F9DNB5|A0A5F9DNB5_RABIT, tr|A0A5F9CX74|A0A5F9CX74_RABIT, tr|U3KP97|U3KP97_RABIT, tr|U3KPG4|U3KPG4_RABIT, tr|U3KMS1|U3KMS1_RABIT, tr|A0A5F9DGE6|A0A5F9DGE6_RABIT, tr|U3KP62|U3KP62_RABIT, tr|U3KNZ6|U3KNZ6_RABIT, tr|A0A5F9DHT9|A0A5F9DHT9_RABIT, tr|A0A5F9CMG6|A0A5F9CMG6_RABIT, tr|A0A5F9CKZ4|A0A5F9CKZ4_RABIT, tr|A0A5F9CU66|A0A5F9CU66_RABIT, tr|U3KN79|U3KN79_RABIT
OG0000074	tr|Q8VFH6|Q8VFH6_MOUSE	tr|G1TYW5|G1TYW5_RABIT
OG0000074	tr|Q8VGC2|Q8VGC2_MOUSE	tr|G1T7B9|G1T7B9_RABIT
OG0000074	tr|Q8VFH3|Q8VFH3_MOUSE, tr|Q8VFH7|Q8VFH7_MOUSE	tr|G1TGB0|G1TGB0_RABIT, tr|G1SFZ0|G1SFZ0_RABIT
OG0000074	tr|Q8VGI7|Q8VGI7_MOUSE, tr|Q8VFZ8|Q8VFZ8_MOUSE, tr|Q8VEU0|Q8VEU0_MOUSE, tr|Q8VF26|Q8VF26_MOUSE, tr|Q8K501|Q8K501_MOUSE, tr|Q8VGJ0|Q8VGJ0_MOUSE	tr|G1TJL7|G1TJL7_RABIT
OG0000076	tr|Q8VFP8|Q8VFP8_MOUSE	tr|G1U955|G1U955_RABIT
OG0000076	tr|Q8VGK4|Q8VGK4_MOUSE, tr|Q8VGL0|Q8VGL0_MOUSE, tr|Q8VGJ7|Q8VGJ7_MOUSE, tr|Q8VFP9|Q8VFP9_MOUSE, tr|Q8VGK8|Q8VGK8_MOUSE, tr|Q8VGK6|Q8VGK6_MOUSE, tr|Q8VGK2|Q8VGK2_MOUSE, tr|Q8VGK9|Q8VGK9_MOUSE, tr|Q8VGK7|Q8VGK7_MOUSE, sp|Q8VGK5|OLF50_MOUSE, tr|Q8VGK3|Q8VGK3_MOUSE, tr|Q8VGJ9|Q8VGJ9_MOUSE, tr|Q8VGH0|Q8VGH0_MOUSE, sp|Q60879|OLF3_MOUSE	tr|G1T1J0|G1T1J0_RABIT
OG0000077	tr|G3UW88|G3UW88_MOUSE	tr|U3KLU3|U3KLU3_RABIT, tr|G1TUH8|G1TUH8_RABIT, tr|U3KPA9|U3KPA9_RABIT, tr|G1TT20|G1TT20_RABIT
OG0000077	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A5F9DHH4|A0A5F9DHH4_RABIT, tr|G1TUY8|G1TUY8_RABIT, tr|G1TT70|G1TT70_RABIT, tr|A0A5F9DUV1|A0A5F9DUV1_RABIT, tr|G1U5P1|G1U5P1_RABIT, tr|G1TFI3|G1TFI3_RABIT, tr|G1U4Y0|G1U4Y0_RABIT, tr|G1U5H2|G1U5H2_RABIT, tr|U3KP53|U3KP53_RABIT, tr|G1U2S2|G1U2S2_RABIT, tr|G1TQQ4|G1TQQ4_RABIT
OG0000078	sp|Q61955|KLK8_MOUSE, sp|P00756|K1KB3_MOUSE, sp|P15949|K1KB9_MOUSE, sp|P00755|K1KB1_MOUSE, sp|P15947|KLK1_MOUSE, sp|P15945|K1KB5_MOUSE, sp|P00757|K1KB4_MOUSE, sp|Q61759|K1B21_MOUSE, sp|Q9JM71|K1B27_MOUSE, sp|Q61754|K1B24_MOUSE, sp|P15946|K1B11_MOUSE, sp|P07628|K1KB8_MOUSE, sp|P04071|K1B16_MOUSE, sp|P36368|EGFB2_MOUSE, sp|P36369|K1B26_MOUSE, sp|P15948|K1B22_MOUSE	tr|A0A5F9DA51|A0A5F9DA51_RABIT
OG0000079	sp|A2ASI5|SCN3A_MOUSE	tr|A0A5F9DJG4|A0A5F9DJG4_RABIT
OG0000079	sp|B1AWN6|SCN2A_MOUSE	tr|A0A5F9C773|A0A5F9C773_RABIT
OG0000079	sp|A2APX8|SCN1A_MOUSE	tr|G1SSP8|G1SSP8_RABIT
OG0000079	sp|Q9WTU3|SCN8A_MOUSE	tr|A0A5F9C9M7|A0A5F9C9M7_RABIT
OG0000079	sp|Q9ER60|SCN4A_MOUSE	tr|G1SLL9|G1SLL9_RABIT
OG0000079	sp|Q9JJV9|SCN5A_MOUSE	tr|G1STZ7|G1STZ7_RABIT
OG0000079	sp|Q6QIY3|SCNAA_MOUSE	tr|G1T210|G1T210_RABIT
