Orthogroup	Mus_musculus	Marmota_marmota_marmota
OG0000003	tr|A0A140T8P3|A0A140T8P3_MOUSE	tr|A0A8C5YRX4|A0A8C5YRX4_MARMA, tr|A0A8C5YQY5|A0A8C5YQY5_MARMA, tr|A0A8C5YRE3|A0A8C5YRE3_MARMA, tr|A0A8C5YSG7|A0A8C5YSG7_MARMA, tr|A0A8C5YTM3|A0A8C5YTM3_MARMA, tr|A0A8C5YS30|A0A8C5YS30_MARMA, tr|A0A8C5YVG7|A0A8C5YVG7_MARMA, tr|A0A8C5YR80|A0A8C5YR80_MARMA, tr|A0A8C5YR90|A0A8C5YR90_MARMA, tr|A0A8C5YVK5|A0A8C5YVK5_MARMA, tr|A0A8C5YR67|A0A8C5YR67_MARMA, tr|A0A8C5YRX3|A0A8C5YRX3_MARMA, tr|A0A8C5YPP8|A0A8C5YPP8_MARMA, tr|A0A8C5YMY2|A0A8C5YMY2_MARMA, tr|A0A8C6ENG2|A0A8C6ENG2_MARMA, tr|A0A8C6A3Q9|A0A8C6A3Q9_MARMA, tr|A0A8C5YQL1|A0A8C5YQL1_MARMA, tr|A0A8C5YRT7|A0A8C5YRT7_MARMA, tr|A0A8C6A3R6|A0A8C6A3R6_MARMA, tr|A0A8C5Z223|A0A8C5Z223_MARMA, tr|A0A8C6A160|A0A8C6A160_MARMA, tr|A0A8C5YUE1|A0A8C5YUE1_MARMA, tr|A0A8C5YVH7|A0A8C5YVH7_MARMA, tr|A0A8C5YRF4|A0A8C5YRF4_MARMA, tr|A0A8C5YPY0|A0A8C5YPY0_MARMA, tr|A0A8C6A0C7|A0A8C6A0C7_MARMA, tr|A0A8C5YVQ3|A0A8C5YVQ3_MARMA, tr|A0A8C5YRX8|A0A8C5YRX8_MARMA, tr|A0A8C5Z9I2|A0A8C5Z9I2_MARMA, tr|A0A8C5ZC44|A0A8C5ZC44_MARMA, tr|A0A8C5YTU9|A0A8C5YTU9_MARMA, tr|A0A8C6A5D2|A0A8C6A5D2_MARMA, tr|A0A8C5YQJ6|A0A8C5YQJ6_MARMA, tr|A0A8C5YTE9|A0A8C5YTE9_MARMA, tr|A0A8C5YVT2|A0A8C5YVT2_MARMA, tr|A0A8C6ENI7|A0A8C6ENI7_MARMA, tr|A0A8C5YVN1|A0A8C5YVN1_MARMA, tr|A0A8C6A527|A0A8C6A527_MARMA, tr|A0A8C6A4V9|A0A8C6A4V9_MARMA, tr|A0A8C5YV64|A0A8C5YV64_MARMA, tr|A0A8C6ENA3|A0A8C6ENA3_MARMA, tr|A0A8C5YR23|A0A8C5YR23_MARMA, tr|A0A8C6A2J9|A0A8C6A2J9_MARMA, tr|A0A8C5YR85|A0A8C5YR85_MARMA, tr|A0A8C6A591|A0A8C6A591_MARMA, tr|A0A8C6A0B5|A0A8C6A0B5_MARMA, tr|A0A8C6END9|A0A8C6END9_MARMA, tr|A0A8C6ENX9|A0A8C6ENX9_MARMA, tr|A0A8C6ENR0|A0A8C6ENR0_MARMA, tr|A0A8C5YU66|A0A8C5YU66_MARMA, tr|A0A8C5YU53|A0A8C5YU53_MARMA, tr|A0A8C5YVW3|A0A8C5YVW3_MARMA, tr|A0A8C5YSA9|A0A8C5YSA9_MARMA, tr|A0A8C5Z568|A0A8C5Z568_MARMA, tr|A0A8C5YVD8|A0A8C5YVD8_MARMA, tr|A0A8C5Z0J8|A0A8C5Z0J8_MARMA, tr|A0A8C5YU85|A0A8C5YU85_MARMA, tr|A0A8C6EYA7|A0A8C6EYA7_MARMA, tr|A0A8C5YQN6|A0A8C5YQN6_MARMA, tr|A0A8C6ENP0|A0A8C6ENP0_MARMA, tr|A0A8C6A2G9|A0A8C6A2G9_MARMA, tr|A0A8C5YQ55|A0A8C5YQ55_MARMA, tr|A0A8C5YSU2|A0A8C5YSU2_MARMA, tr|A0A8C5YT28|A0A8C5YT28_MARMA, tr|A0A8C5YPV9|A0A8C5YPV9_MARMA, tr|A0A8C6EXW5|A0A8C6EXW5_MARMA, tr|A0A8C5YTN5|A0A8C5YTN5_MARMA, tr|A0A8C6A465|A0A8C6A465_MARMA
OG0000005	tr|A0A1B0GRI9|A0A1B0GRI9_MOUSE, tr|A0A0U1RQ46|A0A0U1RQ46_MOUSE, tr|Q3TPQ7|Q3TPQ7_MOUSE, tr|Q7TPX5|Q7TPX5_MOUSE, tr|D3Z5L4|D3Z5L4_MOUSE, tr|A0A1B0GT13|A0A1B0GT13_MOUSE, tr|E9QAG4|E9QAG4_MOUSE, tr|Q99LG7|Q99LG7_MOUSE, tr|A0A1Y7VK00|A0A1Y7VK00_MOUSE, tr|A0A087WRJ1|A0A087WRJ1_MOUSE, tr|L7N208|L7N208_MOUSE, tr|K7N769|K7N769_MOUSE, tr|J3QK55|J3QK55_MOUSE, tr|Q6PEE4|Q6PEE4_MOUSE, tr|D3Z5Y8|D3Z5Y8_MOUSE, sp|E9QAG8|ZN431_MOUSE, tr|A0A338P6D3|A0A338P6D3_MOUSE, tr|A0A338P6F4|A0A338P6F4_MOUSE, tr|A0A1B0GRI2|A0A1B0GRI2_MOUSE, tr|A0A1D5RM15|A0A1D5RM15_MOUSE, tr|A0A6I8MX06|A0A6I8MX06_MOUSE, tr|Q3ULA8|Q3ULA8_MOUSE, tr|L7N2E7|L7N2E7_MOUSE, tr|E9Q981|E9Q981_MOUSE, tr|E9Q6S4|E9Q6S4_MOUSE, tr|L7N248|L7N248_MOUSE, tr|Q6NVD6|Q6NVD6_MOUSE, tr|K7N6H3|K7N6H3_MOUSE, tr|B8JJZ4|B8JJZ4_MOUSE, tr|A0A1Y7VJW0|A0A1Y7VJW0_MOUSE, tr|A0A087WPN2|A0A087WPN2_MOUSE, tr|A0A0J9YUW3|A0A0J9YUW3_MOUSE, tr|Q14DI0|Q14DI0_MOUSE, tr|A0A1Y7VIZ1|A0A1Y7VIZ1_MOUSE, tr|A0A1W2P7G7|A0A1W2P7G7_MOUSE, tr|A0A571BEN2|A0A571BEN2_MOUSE, tr|A0A087WRH0|A0A087WRH0_MOUSE, tr|L7N267|L7N267_MOUSE, tr|E9PZP6|E9PZP6_MOUSE	tr|A0A8C6A8X8|A0A8C6A8X8_MARMA
OG0000005	tr|F7D043|F7D043_MOUSE	tr|A0A8C6A8S9|A0A8C6A8S9_MARMA
OG0000005	tr|G3UY53|G3UY53_MOUSE	tr|A0A8C6A9Q2|A0A8C6A9Q2_MARMA, tr|A0A8C6ABC2|A0A8C6ABC2_MARMA, tr|A0A8C5YSU5|A0A8C5YSU5_MARMA, tr|A0A8C6EY26|A0A8C6EY26_MARMA, tr|A0A8C6A4I0|A0A8C6A4I0_MARMA, tr|A0A8C5ZAR4|A0A8C5ZAR4_MARMA
OG0000009	tr|A0A1L1SV77|A0A1L1SV77_MOUSE	tr|A0A8C5ZJW6|A0A8C5ZJW6_MARMA
OG0000009	tr|Q8VG45|Q8VG45_MOUSE	tr|A0A8C5YVB3|A0A8C5YVB3_MARMA, tr|A0A8C5ZL07|A0A8C5ZL07_MARMA, tr|A0A8C5YXC7|A0A8C5YXC7_MARMA, tr|A0A8C5ZK23|A0A8C5ZK23_MARMA, tr|A0A8C5ZPF9|A0A8C5ZPF9_MARMA, tr|A0A8C5ZL19|A0A8C5ZL19_MARMA, tr|A0A8C5ZN70|A0A8C5ZN70_MARMA, tr|A0A8C5YTN6|A0A8C5YTN6_MARMA, tr|A0A8C5Z3Y2|A0A8C5Z3Y2_MARMA, tr|A0A8C6ENV0|A0A8C6ENV0_MARMA, tr|A0A8C5YWX9|A0A8C5YWX9_MARMA, tr|A0A8C5YTU7|A0A8C5YTU7_MARMA, tr|A0A8C5YUJ6|A0A8C5YUJ6_MARMA, tr|A0A8C6ENV2|A0A8C6ENV2_MARMA, tr|A0A8C5YV50|A0A8C5YV50_MARMA, tr|A0A8C5ZK03|A0A8C5ZK03_MARMA, tr|A0A8C5YU27|A0A8C5YU27_MARMA, tr|A0A8C5YV99|A0A8C5YV99_MARMA, tr|A0A8C5YV80|A0A8C5YV80_MARMA, tr|A0A8C5YUS3|A0A8C5YUS3_MARMA, tr|A0A8C5ZMG6|A0A8C5ZMG6_MARMA, tr|A0A8C5YTQ6|A0A8C5YTQ6_MARMA, tr|A0A8C5YX75|A0A8C5YX75_MARMA, tr|A0A8C5YU36|A0A8C5YU36_MARMA, tr|A0A8C5YVV7|A0A8C5YVV7_MARMA, tr|A0A8C5ZPX3|A0A8C5ZPX3_MARMA, tr|A0A8C5ZM99|A0A8C5ZM99_MARMA, tr|A0A8C6EPC1|A0A8C6EPC1_MARMA, tr|A0A8C5ZPA4|A0A8C5ZPA4_MARMA, tr|A0A8C5ZP92|A0A8C5ZP92_MARMA, tr|A0A8C5ZMY9|A0A8C5ZMY9_MARMA, tr|A0A8C6EU80|A0A8C6EU80_MARMA, tr|A0A8C5YVM1|A0A8C5YVM1_MARMA, tr|A0A8C5ZKL6|A0A8C5ZKL6_MARMA, tr|A0A8C5YVK2|A0A8C5YVK2_MARMA, tr|A0A8C5YVZ4|A0A8C5YVZ4_MARMA, tr|A0A8C5ZMI4|A0A8C5ZMI4_MARMA, tr|A0A8C5YX21|A0A8C5YX21_MARMA, tr|A0A8C6EP73|A0A8C6EP73_MARMA, tr|A0A8C5YVG3|A0A8C5YVG3_MARMA
OG0000010	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A8C6A9V1|A0A8C6A9V1_MARMA, tr|A0A8C6A7W4|A0A8C6A7W4_MARMA, tr|A0A8C6A7V5|A0A8C6A7V5_MARMA, tr|A0A8C6A586|A0A8C6A586_MARMA, tr|A0A8C5Z186|A0A8C5Z186_MARMA, tr|A0A8C6A5Z4|A0A8C6A5Z4_MARMA, tr|A0A8C6A935|A0A8C6A935_MARMA, tr|A0A8C6A620|A0A8C6A620_MARMA, tr|A0A8C6A918|A0A8C6A918_MARMA, tr|A0A8C6A7D2|A0A8C6A7D2_MARMA, tr|A0A8C5YZZ1|A0A8C5YZZ1_MARMA, tr|A0A8C6A8V4|A0A8C6A8V4_MARMA, tr|A0A8C6A7M8|A0A8C6A7M8_MARMA, tr|A0A8C6A5X4|A0A8C6A5X4_MARMA, tr|A0A8C6A6V0|A0A8C6A6V0_MARMA, tr|A0A8C6EY86|A0A8C6EY86_MARMA, tr|A0A8C6A5F4|A0A8C6A5F4_MARMA, tr|A0A8C6A9B4|A0A8C6A9B4_MARMA, tr|A0A8C6A8X1|A0A8C6A8X1_MARMA, tr|A0A8C6A5X0|A0A8C6A5X0_MARMA, tr|A0A8C6A5W6|A0A8C6A5W6_MARMA, tr|A0A8C6A8Y1|A0A8C6A8Y1_MARMA, tr|A0A8C6A5I1|A0A8C6A5I1_MARMA, tr|A0A8C6A701|A0A8C6A701_MARMA, tr|A0A8C6A6W1|A0A8C6A6W1_MARMA, tr|A0A8C6A9L1|A0A8C6A9L1_MARMA, tr|A0A8C6EPR3|A0A8C6EPR3_MARMA, tr|A0A8C6A622|A0A8C6A622_MARMA, tr|A0A8C6A742|A0A8C6A742_MARMA, tr|A0A8C6A5L8|A0A8C6A5L8_MARMA, tr|A0A8C5YZT4|A0A8C5YZT4_MARMA, tr|A0A8C5YXD9|A0A8C5YXD9_MARMA, tr|A0A8C6AAC6|A0A8C6AAC6_MARMA, tr|A0A8C6A8F1|A0A8C6A8F1_MARMA, tr|A0A8C6A9T0|A0A8C6A9T0_MARMA, tr|A0A8C6A7T5|A0A8C6A7T5_MARMA, tr|A0A8C6A6T9|A0A8C6A6T9_MARMA, tr|A0A8C6A6K7|A0A8C6A6K7_MARMA, tr|A0A8C6A8L9|A0A8C6A8L9_MARMA, tr|A0A8C6EYX9|A0A8C6EYX9_MARMA, tr|A0A8C6A6V9|A0A8C6A6V9_MARMA, tr|A0A8C6EYW4|A0A8C6EYW4_MARMA
OG0000020	tr|Q8VGN4|Q8VGN4_MOUSE	tr|A0A8C5ZSW0|A0A8C5ZSW0_MARMA
OG0000020	tr|A2AVK5|A2AVK5_MOUSE	tr|A0A8C5ZVM7|A0A8C5ZVM7_MARMA, tr|A0A8C5ZRS1|A0A8C5ZRS1_MARMA
OG0000020	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A8C5ZQS8|A0A8C5ZQS8_MARMA, tr|A0A8C5ZVN5|A0A8C5ZVN5_MARMA, tr|A0A8C5ZSY0|A0A8C5ZSY0_MARMA, tr|A0A8C6EVE2|A0A8C6EVE2_MARMA, tr|A0A8C5ZQP1|A0A8C5ZQP1_MARMA, tr|A0A8C6EVT9|A0A8C6EVT9_MARMA
OG0000020	sp|Q60878|OL140_MOUSE	tr|A0A8C5ZUV0|A0A8C5ZUV0_MARMA
OG0000020	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A8C5ZQF6|A0A8C5ZQF6_MARMA
OG0000032	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A8C6EMC4|A0A8C6EMC4_MARMA
OG0000032	tr|Q8VF85|Q8VF85_MOUSE	tr|A0A8C6ELZ5|A0A8C6ELZ5_MARMA
OG0000032	tr|Q8VET0|Q8VET0_MOUSE	tr|A0A8C5YK95|A0A8C5YK95_MARMA, tr|A0A8C5YIN2|A0A8C5YIN2_MARMA, tr|A0A8C6EM04|A0A8C6EM04_MARMA, tr|A0A8C5YL13|A0A8C5YL13_MARMA
OG0000032	tr|A2AVW1|A2AVW1_MOUSE	tr|A0A8C5YKN7|A0A8C5YKN7_MARMA, tr|A0A8C5YL21|A0A8C5YL21_MARMA, tr|A0A8C5YJR2|A0A8C5YJR2_MARMA, tr|A0A8C5YJ41|A0A8C5YJ41_MARMA, tr|A0A8C5YKH5|A0A8C5YKH5_MARMA, tr|A0A8C5YIT9|A0A8C5YIT9_MARMA, tr|A0A8C6EXS8|A0A8C6EXS8_MARMA, tr|A0A8C6A1H3|A0A8C6A1H3_MARMA, tr|A0A8C5YIQ4|A0A8C5YIQ4_MARMA, tr|A0A8C5YL41|A0A8C5YL41_MARMA, tr|A0A8C5YIL1|A0A8C5YIL1_MARMA, tr|A0A8C6EM02|A0A8C6EM02_MARMA, tr|A0A8C5YJB6|A0A8C5YJB6_MARMA, tr|A0A8C5YJI4|A0A8C5YJI4_MARMA
OG0000033	sp|P07744|K2C4_MOUSE	tr|A0A8C5YRH8|A0A8C5YRH8_MARMA
OG0000033	sp|Q6NXH9|K2C73_MOUSE	tr|A0A8C5YPG5|A0A8C5YPG5_MARMA
OG0000033	sp|Q9R0H5|K2C71_MOUSE	tr|A0A8C6EMK1|A0A8C6EMK1_MARMA
OG0000033	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A8C6EMZ3|A0A8C6EMZ3_MARMA
OG0000033	sp|Q6IME9|K2C72_MOUSE	tr|A0A8C5YQC8|A0A8C5YQC8_MARMA
OG0000033	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A8C5YR42|A0A8C5YR42_MARMA, tr|A0A8C5YQI5|A0A8C5YQI5_MARMA, tr|A0A8C5YPH7|A0A8C5YPH7_MARMA
OG0000033	sp|Q8VED5|K2C79_MOUSE	tr|A0A8C5YNY4|A0A8C5YNY4_MARMA
OG0000036	tr|Q91XX6|Q91XX6_MOUSE	tr|A0A8C5ZHR9|A0A8C5ZHR9_MARMA
OG0000036	tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE	tr|A0A8C5ZGV2|A0A8C5ZGV2_MARMA
OG0000040	sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE5|H2A1G_MOUSE	tr|A0A8C5YPX4|A0A8C5YPX4_MARMA
OG0000040	sp|Q8BFU2|H2A3_MOUSE	tr|A0A8C5ZX83|A0A8C5ZX83_MARMA
OG0000040	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A8C5YM34|A0A8C5YM34_MARMA, tr|A0A8C6EVM2|A0A8C6EVM2_MARMA, tr|A0A8C6ENE2|A0A8C6ENE2_MARMA, tr|A0A8C5YP08|A0A8C5YP08_MARMA, tr|A0A8C6ENC4|A0A8C6ENC4_MARMA, tr|A0A8C5YQ39|A0A8C5YQ39_MARMA, tr|A0A8C5YRW8|A0A8C5YRW8_MARMA, tr|A0A8C6A1V8|A0A8C6A1V8_MARMA
OG0000043	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A8C5YM41|A0A8C5YM41_MARMA
OG0000043	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A8C5YNQ0|A0A8C5YNQ0_MARMA
OG0000043	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A8C5YN82|A0A8C5YN82_MARMA
OG0000044	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A8C5Z7X6|A0A8C5Z7X6_MARMA
OG0000044	tr|G3UW88|G3UW88_MOUSE	tr|A0A8C5Z5E8|A0A8C5Z5E8_MARMA
OG0000044	sp|A2A9R3|MAGB4_MOUSE	tr|A0A8C5Z9F5|A0A8C5Z9F5_MARMA, tr|A0A8C5YW70|A0A8C5YW70_MARMA, tr|A0A8C5Z5T1|A0A8C5Z5T1_MARMA
OG0000044	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A8C5Z7A0|A0A8C5Z7A0_MARMA
OG0000044	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A8C5ZIQ7|A0A8C5ZIQ7_MARMA
OG0000044	tr|Q9D4D2|Q9D4D2_MOUSE	tr|A0A8C5YND2|A0A8C5YND2_MARMA
OG0000045	sp|Q91VN1|ZNF24_MOUSE	tr|A0A8C6ER46|A0A8C6ER46_MARMA
OG0000045	tr|S4R1L6|S4R1L6_MOUSE	tr|A0A8C6AFC2|A0A8C6AFC2_MARMA
OG0000045	tr|B2RTN3|B2RTN3_MOUSE	tr|A0A8C6ERU6|A0A8C6ERU6_MARMA, tr|A0A8C5YLA5|A0A8C5YLA5_MARMA
OG0000045	tr|E9PVW1|E9PVW1_MOUSE	tr|A0A8C5Z557|A0A8C5Z557_MARMA, tr|A0A8C5Z7Q0|A0A8C5Z7Q0_MARMA
OG0000045	sp|Q9Z1D7|ZSC12_MOUSE	tr|A0A8C5Z3K4|A0A8C5Z3K4_MARMA, tr|A0A8C6A5M2|A0A8C6A5M2_MARMA
OG0000046	tr|Q8VGH2|Q8VGH2_MOUSE	tr|A0A8C6A080|A0A8C6A080_MARMA
OG0000046	tr|Q8VGL2|Q8VGL2_MOUSE, tr|Q7TRT9|Q7TRT9_MOUSE	tr|A0A8C5YVV4|A0A8C5YVV4_MARMA
OG0000046	tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE	tr|A0A8C5YTN8|A0A8C5YTN8_MARMA
OG0000052	tr|Q7TRR4|Q7TRR4_MOUSE	tr|A0A8C5ZGA2|A0A8C5ZGA2_MARMA
OG0000052	tr|Q8VGV8|Q8VGV8_MOUSE	tr|A0A8C5ZIZ4|A0A8C5ZIZ4_MARMA
OG0000052	tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VF06|Q8VF06_MOUSE	tr|A0A8C5ZQ34|A0A8C5ZQ34_MARMA
OG0000052	tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE	tr|A0A8C6ETU8|A0A8C6ETU8_MARMA
OG0000052	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A8C5ZKJ7|A0A8C5ZKJ7_MARMA, tr|A0A8C5ZL90|A0A8C5ZL90_MARMA, tr|A0A8C5ZNA1|A0A8C5ZNA1_MARMA
OG0000052	tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE	tr|A0A8C5YQ37|A0A8C5YQ37_MARMA
OG0000053	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A8C6EWG8|A0A8C6EWG8_MARMA
OG0000053	sp|Q60879|OLF3_MOUSE	tr|A0A8C6EWG0|A0A8C6EWG0_MARMA
OG0000053	tr|Q8VFP8|Q8VFP8_MOUSE	tr|A0A8C5ZX78|A0A8C5ZX78_MARMA, tr|A0A8C6EWW6|A0A8C6EWW6_MARMA, tr|A0A8C5ZWK7|A0A8C5ZWK7_MARMA, tr|A0A8C5ZZY2|A0A8C5ZZY2_MARMA, tr|A0A8C5ZX03|A0A8C5ZX03_MARMA, tr|A0A8C6EWW4|A0A8C6EWW4_MARMA, tr|A0A8C5ZWN7|A0A8C5ZWN7_MARMA, tr|A0A8C5ZVN8|A0A8C5ZVN8_MARMA, tr|A0A8C5ZWL8|A0A8C5ZWL8_MARMA, tr|A0A8C5ZZZ3|A0A8C5ZZZ3_MARMA, tr|A0A8C5ZZX3|A0A8C5ZZX3_MARMA, tr|A0A8C5ZXE0|A0A8C5ZXE0_MARMA
OG0000057	sp|Q80YP6|ZIK1_MOUSE	tr|A0A8C5YJZ5|A0A8C5YJZ5_MARMA, tr|A0A8C5YLD0|A0A8C5YLD0_MARMA, tr|A0A8C5Z2N1|A0A8C5Z2N1_MARMA, tr|A0A8C6AEM5|A0A8C6AEM5_MARMA, tr|A0A8C6ADW5|A0A8C6ADW5_MARMA, tr|A0A8C5YIL5|A0A8C5YIL5_MARMA, tr|A0A8C5YKC2|A0A8C5YKC2_MARMA, tr|A0A8C5YK98|A0A8C5YK98_MARMA, tr|A0A8C5YJL4|A0A8C5YJL4_MARMA, tr|A0A8C5ZAZ6|A0A8C5ZAZ6_MARMA, tr|A0A8C5YLH6|A0A8C5YLH6_MARMA, tr|A0A8C6AC89|A0A8C6AC89_MARMA, tr|A0A8C6EZV1|A0A8C6EZV1_MARMA, tr|A0A8C5YHQ1|A0A8C5YHQ1_MARMA, tr|A0A8C6AEI2|A0A8C6AEI2_MARMA, tr|A0A8C6AEP6|A0A8C6AEP6_MARMA
OG0000061	tr|Q0VB29|Q0VB29_MOUSE	tr|A0A8C5ZV91|A0A8C5ZV91_MARMA
OG0000061	tr|A2AUS6|A2AUS6_MOUSE	tr|A0A8C5ZQX7|A0A8C5ZQX7_MARMA
OG0000061	tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q7TR18|Q7TR18_MOUSE	tr|A0A8C5ZTE0|A0A8C5ZTE0_MARMA
OG0000061	tr|Q7TR13|Q7TR13_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE	tr|A0A8C5ZVB1|A0A8C5ZVB1_MARMA
OG0000062	tr|Q9CR91|Q9CR91_MOUSE, tr|Q9D149|Q9D149_MOUSE, tr|B9EJP6|B9EJP6_MOUSE, tr|Q9D1C5|Q9D1C5_MOUSE, tr|Q9CQH5|Q9CQH5_MOUSE, tr|J3QP15|J3QP15_MOUSE, tr|D3YUU5|D3YUU5_MOUSE, tr|Q9D6P5|Q9D6P5_MOUSE, tr|Q9D1K4|Q9D1K4_MOUSE, tr|Q9D731|Q9D731_MOUSE, tr|Q9D1G7|Q9D1G7_MOUSE, tr|Q9D139|Q9D139_MOUSE, tr|Q9D195|Q9D195_MOUSE, tr|Q9D6R3|Q9D6R3_MOUSE, tr|A0A0A6YX29|A0A0A6YX29_MOUSE	tr|A0A8C6EWQ1|A0A8C6EWQ1_MARMA
OG0000063	sp|Q8BG05|ROA3_MOUSE	tr|A0A8C5ZMU3|A0A8C5ZMU3_MARMA
OG0000063	sp|O88569|ROA2_MOUSE	tr|A0A8C5YX73|A0A8C5YX73_MARMA, tr|A0A8C5YYI0|A0A8C5YYI0_MARMA
