Orthogroup	Mus_musculus	Microtus_ochrogaster
OG0000028	sp|Q5SV42|ILEUC_MOUSE, sp|Q8VHP7|ILEUB_MOUSE, sp|Q9D154|ILEUA_MOUSE	tr|A0A8J6G9G3|A0A8J6G9G3_MICOH
OG0000028	sp|P12388|PAI2_MOUSE, sp|Q8K1K6|SPB10_MOUSE, sp|Q8CDC0|SPB13_MOUSE, tr|G3X9V8|G3X9V8_MOUSE, tr|Q9D1Q5|Q9D1Q5_MOUSE, tr|A2RSF9|A2RSF9_MOUSE, tr|Q6UKZ0|Q6UKZ0_MOUSE	tr|A0A8J6G708|A0A8J6G708_MICOH
OG0000029	sp|P11679|K2C8_MOUSE	tr|A0A8J6KTY1|A0A8J6KTY1_MICOH
OG0000029	sp|Q0VBK2|K2C80_MOUSE	tr|A0A8J6KUM6|A0A8J6KUM6_MICOH, tr|A0A8J6GI71|A0A8J6GI71_MICOH
OG0000029	sp|Q9DCV7|K2C7_MOUSE	tr|A0A8J6GTQ3|A0A8J6GTQ3_MICOH
OG0000029	tr|E9Q1Z0|E9Q1Z0_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9Z331|K2C6B_MOUSE, sp|P50446|K2C6A_MOUSE, tr|Q6IFZ8|Q6IFZ8_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, sp|Q3UV17|K22O_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, sp|P07744|K2C4_MOUSE, sp|Q8VED5|K2C79_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|P04104|K2C1_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6IME9|K2C72_MOUSE, sp|Q9R0H5|K2C71_MOUSE, sp|Q6NXH9|K2C73_MOUSE	tr|A0A8J6KZV1|A0A8J6KZV1_MICOH
OG0000030	tr|F6ZS36|F6ZS36_MOUSE, tr|A2AU83|A2AU83_MOUSE, tr|A0A571BEN2|A0A571BEN2_MOUSE, tr|A2AQA0|A2AQA0_MOUSE, tr|A2ARW3|A2ARW3_MOUSE, tr|A2ARR8|A2ARR8_MOUSE, tr|F7CWA7|F7CWA7_MOUSE, tr|A2AW65|A2AW65_MOUSE, tr|A2ARX0|A2ARX0_MOUSE, tr|A2AW67|A2AW67_MOUSE, tr|A2ART0|A2ART0_MOUSE, tr|A2BG91|A2BG91_MOUSE, tr|A2ARW8|A2ARW8_MOUSE, tr|A2ART4|A2ART4_MOUSE, tr|E9Q9W0|E9Q9W0_MOUSE, tr|A2BE20|A2BE20_MOUSE, tr|A2ART2|A2ART2_MOUSE, tr|Q08BU3|Q08BU3_MOUSE, tr|A2BFG8|A2BFG8_MOUSE, tr|A2AHM2|A2AHM2_MOUSE, tr|A2ARR7|A2ARR7_MOUSE, tr|A2BFU4|A2BFU4_MOUSE, tr|A2ARV7|A2ARV7_MOUSE, tr|A2AW66|A2AW66_MOUSE, tr|A2ARR6|A2ARR6_MOUSE	tr|A0A8J6L2S9|A0A8J6L2S9_MICOH
OG0000034	sp|P07901|HS90A_MOUSE	tr|A0A8J6GDC9|A0A8J6GDC9_MICOH, tr|A0A8J6FW06|A0A8J6FW06_MICOH, tr|A0A8J6KNK1|A0A8J6KNK1_MICOH, tr|A0A8J6KQ77|A0A8J6KQ77_MICOH
OG0000034	sp|P11499|HS90B_MOUSE	tr|A0A8J6GMU9|A0A8J6GMU9_MICOH, tr|A0A8J6GDT2|A0A8J6GDT2_MICOH, tr|A0A8J6GJH2|A0A8J6GJH2_MICOH, tr|A0A8J6KVV3|A0A8J6KVV3_MICOH, tr|A0A8J6G4X6|A0A8J6G4X6_MICOH, tr|A0A8J6KPR8|A0A8J6KPR8_MICOH, tr|A0A8J6FTX3|A0A8J6FTX3_MICOH, tr|A0A8J6GVE2|A0A8J6GVE2_MICOH, tr|A0A8J6GBM1|A0A8J6GBM1_MICOH, tr|A0A8J6GNJ2|A0A8J6GNJ2_MICOH, tr|A0A8J6GIU7|A0A8J6GIU7_MICOH, tr|A0A8J6L6J9|A0A8J6L6J9_MICOH, tr|A0A8J6GDH6|A0A8J6GDH6_MICOH, tr|A0A8J6GW34|A0A8J6GW34_MICOH, tr|A0A8J6G8N1|A0A8J6G8N1_MICOH, tr|A0A8J6G9Z1|A0A8J6G9Z1_MICOH, tr|A0A8J6FUW4|A0A8J6FUW4_MICOH
OG0000035	tr|B2RUD9|B2RUD9_MOUSE, tr|Q8CGQ2|Q8CGQ2_MOUSE	tr|A0A8J6H1I8|A0A8J6H1I8_MICOH
OG0000035	sp|Q9JI76|ADA21_MOUSE	tr|A0A8J6H1Y5|A0A8J6H1Y5_MICOH
OG0000035	sp|Q8K410|ADA32_MOUSE	tr|A0A8J6KQL4|A0A8J6KQL4_MICOH
OG0000035	sp|Q9R157|ADA18_MOUSE, sp|Q3TTE0|ADAM5_MOUSE, sp|F8VQ03|ADAM3_MOUSE	tr|A0A8J6GA57|A0A8J6GA57_MICOH
OG0000035	tr|Q7M763|Q7M763_MOUSE, sp|Q9R159|ADA25_MOUSE, tr|Q7M762|Q7M762_MOUSE, sp|Q9R160|ADA24_MOUSE, tr|Q6IMH6|Q6IMH6_MOUSE, sp|Q9R158|AD26A_MOUSE, tr|Q7M766|Q7M766_MOUSE, tr|A2RSG8|A2RSG8_MOUSE	tr|A0A8J6GB79|A0A8J6GB79_MICOH
OG0000038	tr|Q8R298|Q8R298_MOUSE, tr|A0A494B9T5|A0A494B9T5_MOUSE, tr|Q05A06|Q05A06_MOUSE, tr|Q8R294|Q8R294_MOUSE, tr|Q8R2A7|Q8R2A7_MOUSE, tr|A0A3B2W3R4|A0A3B2W3R4_MOUSE, tr|Q8R2A8|Q8R2A8_MOUSE, tr|Q8R2A9|Q8R2A9_MOUSE, tr|A2RTT5|A2RTT5_MOUSE, tr|Q8R2A5|Q8R2A5_MOUSE, tr|Q8R2A3|Q8R2A3_MOUSE, tr|Q8R2A2|Q8R2A2_MOUSE, tr|E9PWK2|E9PWK2_MOUSE, tr|G5E8C1|G5E8C1_MOUSE, tr|Q8VIC1|Q8VIC1_MOUSE, tr|E9Q0V3|E9Q0V3_MOUSE, tr|Q8K4I0|Q8K4I0_MOUSE, tr|Q8VIC0|Q8VIC0_MOUSE, tr|E9Q2N4|E9Q2N4_MOUSE, tr|Q8R299|Q8R299_MOUSE, tr|Q8R296|Q8R296_MOUSE	tr|A0A8J6GAE9|A0A8J6GAE9_MICOH
OG0000039	tr|Q7TR70|Q7TR70_MOUSE, tr|Q7TR74|Q7TR74_MOUSE	tr|A0A8J6G929|A0A8J6G929_MICOH
OG0000039	tr|Q7TR72|Q7TR72_MOUSE, tr|A2AK62|A2AK62_MOUSE	tr|A0A8J6G900|A0A8J6G900_MICOH
OG0000039	tr|Q8VF52|Q8VF52_MOUSE	tr|A0A8J6G7R8|A0A8J6G7R8_MICOH
OG0000039	tr|A2AK60|A2AK60_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE	tr|A0A8J6KX73|A0A8J6KX73_MICOH
OG0000039	tr|Q8VGS0|Q8VGS0_MOUSE	tr|A0A8J6KNR9|A0A8J6KNR9_MICOH
OG0000039	tr|Q7TR63|Q7TR63_MOUSE	tr|A0A8J6KR04|A0A8J6KR04_MICOH
OG0000039	tr|Q8VGA6|Q8VGA6_MOUSE	tr|A0A8J6G958|A0A8J6G958_MICOH, tr|A0A8J6GAC9|A0A8J6GAC9_MICOH
OG0000039	tr|Q8VGS7|Q8VGS7_MOUSE	tr|A0A8J6G948|A0A8J6G948_MICOH
OG0000039	tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE	tr|A0A8J6G8X2|A0A8J6G8X2_MICOH
OG0000041	tr|Q8VFI8|Q8VFI8_MOUSE	tr|A0A8J6KTC9|A0A8J6KTC9_MICOH
OG0000041	tr|Q8VFI7|Q8VFI7_MOUSE	tr|A0A8J6GKD1|A0A8J6GKD1_MICOH
OG0000041	tr|Q8VGU8|Q8VGU8_MOUSE	tr|A0A8J6KTI4|A0A8J6KTI4_MICOH
OG0000041	tr|Q8VGX5|Q8VGX5_MOUSE	tr|A0A8J6GL14|A0A8J6GL14_MICOH
OG0000041	sp|Q9JHB2|OLF19_MOUSE	tr|A0A8J6FXP1|A0A8J6FXP1_MICOH, tr|A0A8J6GKF1|A0A8J6GKF1_MICOH, tr|A0A8J6KRU2|A0A8J6KRU2_MICOH, tr|A0A8J6KZ08|A0A8J6KZ08_MICOH
OG0000042	sp|A2A9R3|MAGB4_MOUSE	tr|A0A8J6GEI3|A0A8J6GEI3_MICOH
OG0000042	tr|A2AHM1|A2AHM1_MOUSE	tr|A0A8J6GW36|A0A8J6GW36_MICOH, tr|A0A8J6GWI0|A0A8J6GWI0_MICOH, tr|A0A8J6G9U7|A0A8J6G9U7_MICOH, tr|A0A8J6GZJ3|A0A8J6GZJ3_MICOH
OG0000042	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A8J6H096|A0A8J6H096_MICOH, tr|A0A8J6KJD3|A0A8J6KJD3_MICOH, tr|A0A8J6GV70|A0A8J6GV70_MICOH, tr|A0A8J6GBR2|A0A8J6GBR2_MICOH
OG0000046	sp|P62631|EF1A2_MOUSE	tr|A0A8J6GKB8|A0A8J6GKB8_MICOH
