Orthogroup	Mus_musculus	Heterocephalus_glaber
OG0000025	sp|Q9CQK7|RWDD1_MOUSE	tr|G5BWZ8|G5BWZ8_HETGA, tr|G5BWU0|G5BWU0_HETGA, tr|G5BE33|G5BE33_HETGA, tr|G5C0F8|G5C0F8_HETGA, tr|G5B1T6|G5B1T6_HETGA, tr|G5BHG8|G5BHG8_HETGA, tr|G5BTX0|G5BTX0_HETGA, tr|G5AWL3|G5AWL3_HETGA, tr|G5BLH9|G5BLH9_HETGA, tr|G5AY53|G5AY53_HETGA, tr|G5BG49|G5BG49_HETGA, tr|G5C6B7|G5C6B7_HETGA, tr|G5AVP3|G5AVP3_HETGA, tr|G5C5H1|G5C5H1_HETGA, tr|G5BGJ8|G5BGJ8_HETGA, tr|G5C280|G5C280_HETGA, tr|G5BTG8|G5BTG8_HETGA, tr|G5BE51|G5BE51_HETGA, tr|G5ATG1|G5ATG1_HETGA, tr|G5AW41|G5AW41_HETGA, tr|G5B659|G5B659_HETGA, tr|G5BA79|G5BA79_HETGA, tr|G5BSI6|G5BSI6_HETGA, tr|G5C549|G5C549_HETGA, tr|G5BT36|G5BT36_HETGA, tr|G5BIW5|G5BIW5_HETGA, tr|G5C3Y9|G5C3Y9_HETGA, tr|G5C7K8|G5C7K8_HETGA, tr|G5BJD1|G5BJD1_HETGA, tr|G5BTZ3|G5BTZ3_HETGA, tr|G5AUH6|G5AUH6_HETGA, tr|G5AX28|G5AX28_HETGA, tr|G5BA13|G5BA13_HETGA, tr|G5C164|G5C164_HETGA, tr|G5AL11|G5AL11_HETGA, tr|G5BWY8|G5BWY8_HETGA, tr|G5APA2|G5APA2_HETGA
OG0000028	tr|Q9CWF0|Q9CWF0_MOUSE, tr|F8VQG4|F8VQG4_MOUSE, sp|Q61559|FCGRN_MOUSE, tr|A7VMS3|A7VMS3_MOUSE, tr|Q85ZW8|Q85ZW8_MOUSE, tr|Q85ZW5|Q85ZW5_MOUSE, tr|Q85ZW9|Q85ZW9_MOUSE, tr|Q85ZW6|Q85ZW6_MOUSE, tr|Q85ZW7|Q85ZW7_MOUSE, tr|O19443|O19443_MOUSE, tr|O19442|O19442_MOUSE, tr|F7CXU4|F7CXU4_MOUSE, tr|F6U8V3|F6U8V3_MOUSE, sp|P14432|HA1T_MOUSE, tr|Q6W9L1|Q6W9L1_MOUSE, tr|O19441|O19441_MOUSE, tr|Q4KN81|Q4KN81_MOUSE, sp|P01898|HA10_MOUSE, sp|P14430|HA18_MOUSE, tr|P79568|P79568_MOUSE, sp|P14429|HA17_MOUSE, tr|Q8HWB2|Q8HWB2_MOUSE, tr|G3UXE9|G3UXE9_MOUSE, sp|P14431|HA19_MOUSE, tr|V9GXR0|V9GXR0_MOUSE, sp|P14427|HA14_MOUSE, sp|P01896|HA1Z_MOUSE, sp|P01897|HA1L_MOUSE, sp|P01901|HA1B_MOUSE, sp|P06339|HA15_MOUSE, tr|A7VMS2|A7VMS2_MOUSE, tr|Q0WXH6|Q0WXH6_MOUSE, tr|Q31093|Q31093_MOUSE, tr|F6T1I5|F6T1I5_MOUSE, tr|Q31615|Q31615_MOUSE	tr|G5C3D6|G5C3D6_HETGA
OG0000030	tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE	tr|G5BQ29|G5BQ29_HETGA
OG0000030	tr|Q7TRI8|Q7TRI8_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE	tr|G5AKF5|G5AKF5_HETGA
OG0000030	tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, sp|Q60890|OLF11_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, sp|P23275|OLF15_MOUSE	tr|G5B1H7|G5B1H7_HETGA
OG0000031	sp|Q6NXH9|K2C73_MOUSE	tr|G5ALS7|G5ALS7_HETGA
OG0000031	sp|Q9R0H5|K2C71_MOUSE	tr|G5ALS4|G5ALS4_HETGA
OG0000031	sp|Q6IFZ9|K2C74_MOUSE	tr|G5ALS5|G5ALS5_HETGA
OG0000031	sp|Q6IME9|K2C72_MOUSE	tr|G5ALS6|G5ALS6_HETGA
OG0000031	sp|P04104|K2C1_MOUSE	tr|G5ALS8|G5ALS8_HETGA
OG0000031	sp|Q6IFZ6|K2C1B_MOUSE	tr|G5ALS9|G5ALS9_HETGA
OG0000031	sp|Q8VED5|K2C79_MOUSE	tr|G5BJ37|G5BJ37_HETGA
OG0000031	sp|P07744|K2C4_MOUSE	tr|G5BJ36|G5BJ36_HETGA
OG0000031	tr|E9Q0F0|E9Q0F0_MOUSE	tr|G5BJ38|G5BJ38_HETGA
OG0000031	sp|Q9Z331|K2C6B_MOUSE, sp|P50446|K2C6A_MOUSE, tr|Q6IFZ8|Q6IFZ8_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE	tr|G5ALS1|G5ALS1_HETGA
OG0000031	sp|Q8BGZ7|K2C75_MOUSE	tr|G5B3P5|G5B3P5_HETGA
OG0000031	sp|Q922U2|K2C5_MOUSE	tr|G5ALS3|G5ALS3_HETGA
OG0000031	tr|E9Q1Z0|E9Q1Z0_MOUSE	tr|G5ALS0|G5ALS0_HETGA, tr|G5B3P6|G5B3P6_HETGA
OG0000031	sp|Q3UV17|K22O_MOUSE	tr|G5ALT1|G5ALT1_HETGA, tr|G5ALT2|G5ALT2_HETGA
