Orthogroup	Mus_musculus	Saimiri_boliviensis_boliviensis
OG0000008	tr|Q8VFH9|Q8VFH9_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE, tr|Q8VFU1|Q8VFU1_MOUSE, tr|E9PUS9|E9PUS9_MOUSE, tr|Q7TRH7|Q7TRH7_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VG64|Q8VG64_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q7TRI1|Q7TRI1_MOUSE, tr|Q7TRI4|Q7TRI4_MOUSE, tr|Q7TRI3|Q7TRI3_MOUSE, tr|Q7TRI5|Q7TRI5_MOUSE, tr|A0A0N4SVC3|A0A0N4SVC3_MOUSE, tr|Q8VFI3|Q8VFI3_MOUSE, tr|Q8VFI0|Q8VFI0_MOUSE, tr|A0A1L1SV77|A0A1L1SV77_MOUSE, tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q8VG45|Q8VG45_MOUSE, tr|Q8VF26|Q8VF26_MOUSE, tr|Q8VFH6|Q8VFH6_MOUSE, tr|Q8VGC5|Q8VGC5_MOUSE, tr|F6VS78|F6VS78_MOUSE, tr|Q8VFH7|Q8VFH7_MOUSE, tr|Q8VFH3|Q8VFH3_MOUSE, tr|Q8VGC2|Q8VGC2_MOUSE, tr|Q8VGI7|Q8VGI7_MOUSE, tr|Q8VFZ8|Q8VFZ8_MOUSE, tr|Q8VEU0|Q8VEU0_MOUSE, tr|Q8VGC4|Q8VGC4_MOUSE, tr|Q8K501|Q8K501_MOUSE, tr|Q8VGJ0|Q8VGJ0_MOUSE, tr|Q8VGI9|Q8VGI9_MOUSE, tr|Q8VFP2|Q8VFP2_MOUSE, tr|Q7TS32|Q7TS32_MOUSE, tr|Q7TS33|Q7TS33_MOUSE, tr|Q8VG27|Q8VG27_MOUSE, tr|Q8VFU5|Q8VFU5_MOUSE, tr|A0A2I3BQH9|A0A2I3BQH9_MOUSE, tr|A0A2I3BQ22|A0A2I3BQ22_MOUSE, tr|Q7TRI6|Q7TRI6_MOUSE, tr|Q8VG33|Q8VG33_MOUSE	tr|A0A2K6TMY4|A0A2K6TMY4_SAIBB
OG0000009	tr|E9Q547|E9Q547_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE	tr|A0A2K6V0V9|A0A2K6V0V9_SAIBB
OG0000009	tr|Q8VH17|Q8VH17_MOUSE	tr|A0A2K6V1T4|A0A2K6V1T4_SAIBB
OG0000009	tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|Q9EPN9|Q9EPN9_MOUSE, tr|A0A1B0GSF4|A0A1B0GSF4_MOUSE, tr|E9Q382|E9Q382_MOUSE, tr|F8VPZ8|F8VPZ8_MOUSE, tr|F8VQ01|F8VQ01_MOUSE, tr|E9PZ66|E9PZ66_MOUSE, tr|F8VQI7|F8VQI7_MOUSE	tr|A0A2K6SDX4|A0A2K6SDX4_SAIBB
OG0000011	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A2K6TV09|A0A2K6TV09_SAIBB
OG0000011	sp|Q80W31|ZN569_MOUSE	tr|A0A2K6RZU5|A0A2K6RZU5_SAIBB, tr|A0A2K6UQG2|A0A2K6UQG2_SAIBB
OG0000011	sp|Q6P560|ZN182_MOUSE	tr|A0A2K6S785|A0A2K6S785_SAIBB, tr|A0A2K6SFG8|A0A2K6SFG8_SAIBB
OG0000011	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2K6UQL9|A0A2K6UQL9_SAIBB
OG0000011	sp|Q8BQC8|RBAK_MOUSE	tr|A0A2K6UAE2|A0A2K6UAE2_SAIBB
OG0000011	tr|Q640N4|Q640N4_MOUSE	tr|A0A2K6T2L9|A0A2K6T2L9_SAIBB, tr|A0A2K6UQ41|A0A2K6UQ41_SAIBB, tr|A0A2K6TA08|A0A2K6TA08_SAIBB, tr|A0A2K6TV21|A0A2K6TV21_SAIBB, tr|A0A2K6UIZ7|A0A2K6UIZ7_SAIBB
OG0000011	tr|Q6NXM6|Q6NXM6_MOUSE	tr|A0A2K6UET5|A0A2K6UET5_SAIBB
OG0000011	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A2K6U5Q0|A0A2K6U5Q0_SAIBB
OG0000011	sp|B2RXC5|ZN382_MOUSE	tr|A0A2K6SQ60|A0A2K6SQ60_SAIBB
OG0000013	tr|A2RTN7|A2RTN7_MOUSE	tr|A0A2K6S7J2|A0A2K6S7J2_SAIBB
OG0000013	tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF83|Q8VF83_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE	tr|A0A2K6URH2|A0A2K6URH2_SAIBB
OG0000017	tr|Q7TRZ7|Q7TRZ7_MOUSE, tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, sp|Q8VGD6|OLF56_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE, tr|Q8VF37|Q8VF37_MOUSE, tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q9EPF5|Q9EPF5_MOUSE, tr|Q9EPF6|Q9EPF6_MOUSE, tr|K7N641|K7N641_MOUSE, tr|Q8VFM3|Q8VFM3_MOUSE, tr|Q7TRN4|Q7TRN4_MOUSE, tr|Q7TRN3|Q7TRN3_MOUSE, tr|Q9EPF7|Q9EPF7_MOUSE, tr|Q8VF89|Q8VF89_MOUSE, tr|Q8VFM5|Q8VFM5_MOUSE, tr|Q8VFM4|Q8VFM4_MOUSE, tr|Q9D3U9|Q9D3U9_MOUSE, tr|Q9EPF8|Q9EPF8_MOUSE, tr|E9Q4J3|E9Q4J3_MOUSE, tr|Q7TRY2|Q7TRY2_MOUSE, tr|Q8VGD8|Q8VGD8_MOUSE, tr|Q5NC45|Q5NC45_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE	tr|A0A2K6TIY4|A0A2K6TIY4_SAIBB
OG0000019	tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|A2AV13|A2AV13_MOUSE	tr|A0A2K6SBR8|A0A2K6SBR8_SAIBB
OG0000019	tr|Q7TR13|Q7TR13_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|Q0VB29|Q0VB29_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|Q9R0K4|Q9R0K4_MOUSE, tr|Q0VEP0|Q0VEP0_MOUSE, sp|Q7TQQ0|O1509_MOUSE, tr|Q0VDY1|Q0VDY1_MOUSE, tr|Q8VFU9|Q8VFU9_MOUSE, tr|Q8VFV0|Q8VFV0_MOUSE, tr|K7N659|K7N659_MOUSE, tr|Q8VFV1|Q8VFV1_MOUSE, tr|Q8VG74|Q8VG74_MOUSE, tr|Q5SW49|Q5SW49_MOUSE, tr|Q5SW50|Q5SW50_MOUSE, tr|Q5SW48|Q5SW48_MOUSE, tr|Q8VFN1|Q8VFN1_MOUSE, sp|Q8VFT4|OL734_MOUSE, tr|Q14AK5|Q14AK5_MOUSE, tr|Q8VFT5|Q8VFT5_MOUSE, tr|Q8VFC8|Q8VFC8_MOUSE, tr|Q7TRM4|Q7TRM4_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|Q8VGP3|Q8VGP3_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|A2ATW2|A2ATW2_MOUSE	tr|A0A2K6SAT8|A0A2K6SAT8_SAIBB
OG0000029	tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q8VFX5|Q8VFX5_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q7TS13|Q7TS13_MOUSE, sp|Q8VFX2|O1444_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE	tr|A0A2K6UQI3|A0A2K6UQI3_SAIBB
OG0000032	sp|Q8VGR9|O1044_MOUSE	tr|A0A2K6UBZ1|A0A2K6UBZ1_SAIBB
OG0000032	tr|Q8VFL0|Q8VFL0_MOUSE, sp|Q8VGS1|O1038_MOUSE, tr|A2ARY1|A2ARY1_MOUSE, tr|A2ARY0|A2ARY0_MOUSE, tr|Q7TR81|Q7TR81_MOUSE, tr|Q8VFK4|Q8VFK4_MOUSE, tr|Q7TR84|Q7TR84_MOUSE, tr|Q8VF75|Q8VF75_MOUSE, tr|Q8VF74|Q8VF74_MOUSE, tr|Q8VF73|Q8VF73_MOUSE, tr|Q8VGC6|Q8VGC6_MOUSE, tr|Q7TRA2|Q7TRA2_MOUSE, tr|Q7TRA1|Q7TRA1_MOUSE, sp|Q9QY00|OL154_MOUSE, tr|Q8VF35|Q8VF35_MOUSE, tr|Q8VFZ3|Q8VFZ3_MOUSE, tr|A2ATE0|A2ATE0_MOUSE, tr|Q7TR89|Q7TR89_MOUSE, sp|Q8VFL5|O1030_MOUSE, tr|A2ASU6|A2ASU6_MOUSE, tr|L7MTT3|L7MTT3_MOUSE, tr|A0A140T8K3|A0A140T8K3_MOUSE, tr|Q7TR90|Q7TR90_MOUSE, tr|A2ASU7|A2ASU7_MOUSE, tr|Q7TR87|Q7TR87_MOUSE, tr|Q7TR85|Q7TR85_MOUSE, tr|A0A1L1ST14|A0A1L1ST14_MOUSE, tr|Q8VFK5|Q8VFK5_MOUSE, tr|A2ATE5|A2ATE5_MOUSE	tr|A0A2K6TN47|A0A2K6TN47_SAIBB
OG0000039	tr|Q7TR71|Q7TR71_MOUSE, tr|Q7TR80|Q7TR80_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|Q8VGC7|Q8VGC7_MOUSE, tr|Q7TR76|Q7TR76_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|Q8VGS0|Q8VGS0_MOUSE, tr|Q7TR63|Q7TR63_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, tr|Q7TR79|Q7TR79_MOUSE, tr|A2AVX9|A2AVX9_MOUSE, tr|A2AVY0|A2AVY0_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|A2AK62|A2AK62_MOUSE	tr|A0A2K6SAQ9|A0A2K6SAQ9_SAIBB
OG0000040	tr|A0A140T8J6|A0A140T8J6_MOUSE, sp|Q62007|OLF16_MOUSE, tr|Q8VGE1|Q8VGE1_MOUSE, tr|E9PWV2|E9PWV2_MOUSE, tr|Q8VG32|Q8VG32_MOUSE, tr|E9Q8X1|E9Q8X1_MOUSE, tr|E9Q848|E9Q848_MOUSE, tr|A0A2I3BRV4|A0A2I3BRV4_MOUSE, tr|E9Q0Y7|E9Q0Y7_MOUSE, tr|Q7TQS2|Q7TQS2_MOUSE, tr|Q8VGJ6|Q8VGJ6_MOUSE, tr|Q7TQS3|Q7TQS3_MOUSE, tr|Q8VF55|Q8VF55_MOUSE, tr|Q8VEZ4|Q8VEZ4_MOUSE, tr|Q8VGP8|Q8VGP8_MOUSE, tr|Q8VEZ5|Q8VEZ5_MOUSE, tr|A0A140LHU2|A0A140LHU2_MOUSE, tr|A0A1L1SVH0|A0A1L1SVH0_MOUSE, tr|Q7TRV1|Q7TRV1_MOUSE, tr|Q8VF20|Q8VF20_MOUSE, tr|A0A2I3BQR4|A0A2I3BQR4_MOUSE, tr|A0A2I3BPU7|A0A2I3BPU7_MOUSE, tr|K7N6V7|K7N6V7_MOUSE, sp|Q8VBW9|OLF63_MOUSE, tr|E9Q1L6|E9Q1L6_MOUSE, tr|F8VQB1|F8VQB1_MOUSE	tr|A0A2K6S645|A0A2K6S645_SAIBB
OG0000041	tr|Q9QWU6|Q9QWU6_MOUSE	tr|A0A2K6SBV0|A0A2K6SBV0_SAIBB
