Orthogroup	Mus_musculus	Propithecus_coquereli
OG0000009	tr|Q8VH17|Q8VH17_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q544|E9Q544_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|K7N609|K7N609_MOUSE, tr|L7N462|L7N462_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|Q8VH11|Q8VH11_MOUSE, sp|Q8VBV9|O51E2_MOUSE, tr|E9Q550|E9Q550_MOUSE, tr|Q8VGZ7|Q8VGZ7_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q8VH21|Q8VH21_MOUSE, tr|E9Q7P5|E9Q7P5_MOUSE, tr|Q8VGX6|Q8VGX6_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|E9Q554|E9Q554_MOUSE, tr|F8VQ18|F8VQ18_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE, tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VF02|Q8VF02_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|Q9EPN9|Q9EPN9_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE	tr|A0A2K6ELM3|A0A2K6ELM3_PROCO
OG0000011	tr|A2BFL7|A2BFL7_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE	tr|A0A2K6F5I1|A0A2K6F5I1_PROCO
OG0000011	tr|A2AVW1|A2AVW1_MOUSE, tr|Q8VF83|Q8VF83_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|F8VQB9|F8VQB9_MOUSE, tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A2K6FYD0|A0A2K6FYD0_PROCO
OG0000013	tr|Q7TRB9|Q7TRB9_MOUSE, tr|K7N678|K7N678_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE, sp|P34985|OL143_MOUSE, tr|L7N210|L7N210_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|E9Q891|E9Q891_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|E9Q843|E9Q843_MOUSE, tr|Q8VGE3|Q8VGE3_MOUSE, sp|Q60893|OL151_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q9EQA9|Q9EQA9_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q8VF62|Q8VF62_MOUSE, sp|Q60882|OL145_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, sp|Q60886|OL147_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE	tr|A0A2K6F6L5|A0A2K6F6L5_PROCO
OG0000019	tr|Q5ERI8|Q5ERI8_MOUSE, sp|P17534|DFAR2_MOUSE, sp|P50715|DFA31_MOUSE, sp|Q64263|DAR10_MOUSE, sp|P50716|DAR12_MOUSE, tr|Q5ERJ0|Q5ERJ0_MOUSE, sp|P17533|DFA29_MOUSE, tr|Q9D848|Q9D848_MOUSE, tr|D3YX03|D3YX03_MOUSE, sp|Q8C1N8|DFA22_MOUSE, sp|Q8C1P2|DFA21_MOUSE, sp|P28311|DEFA4_MOUSE, sp|Q45VN2|DFA20_MOUSE, sp|P28312|DEFA5_MOUSE, tr|D3YX02|D3YX02_MOUSE, tr|K9J724|K9J724_MOUSE, tr|E9QLQ1|E9QLQ1_MOUSE, tr|D3Z0J0|D3Z0J0_MOUSE, sp|P50713|DFA15_MOUSE, sp|P50707|DEFA9_MOUSE, sp|P50711|DFA13_MOUSE, sp|P50708|DFA10_MOUSE, tr|E9QPZ2|E9QPZ2_MOUSE, sp|Q5G865|DFA24_MOUSE, sp|P50704|DEFA6_MOUSE, sp|P50709|DFA11_MOUSE, sp|P11477|DEFA1_MOUSE, sp|P50714|DFA16_MOUSE, tr|L7N231|L7N231_MOUSE, sp|Q3L180|DFA26_MOUSE, sp|P28310|DEFA3_MOUSE, tr|D3Z1V9|D3Z1V9_MOUSE, sp|Q5G864|DFA25_MOUSE, tr|F2Z403|F2Z403_MOUSE, sp|Q5G866|DFA23_MOUSE, sp|P28309|DEFA2_MOUSE, sp|P50705|DEFA7_MOUSE, sp|P50712|DFA14_MOUSE, sp|P50706|DEFA8_MOUSE, sp|Q64016|DFA17_MOUSE	tr|A0A2K6FXW4|A0A2K6FXW4_PROCO
OG0000026	tr|Q7TR35|Q7TR35_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|A0A2I3BPT7|A0A2I3BPT7_MOUSE, tr|A0A0B4J1M2|A0A0B4J1M2_MOUSE, tr|A0A140T8J7|A0A140T8J7_MOUSE, tr|Q7TQW3|Q7TQW3_MOUSE, tr|Q7TQW4|Q7TQW4_MOUSE, tr|A2AHM8|A2AHM8_MOUSE, tr|Q8VGJ1|Q8VGJ1_MOUSE, tr|Q8VFE2|Q8VFE2_MOUSE, tr|Q7TRN0|Q7TRN0_MOUSE, tr|Q920G5|Q920G5_MOUSE, tr|Q7TRM9|Q7TRM9_MOUSE, tr|K7N727|K7N727_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|W4VSP0|W4VSP0_MOUSE	tr|A0A2K6FYW8|A0A2K6FYW8_PROCO
OG0000030	sp|Q8VFX2|O1444_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q7TS13|Q7TS13_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE, tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFX5|Q8VFX5_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE	tr|A0A2K6GT78|A0A2K6GT78_PROCO
OG0000035	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A2K6FIV6|A0A2K6FIV6_PROCO
OG0000035	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A2K6FI40|A0A2K6FI40_PROCO
OG0000035	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A2K6ELG1|A0A2K6ELG1_PROCO
OG0000035	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A2K6EZU9|A0A2K6EZU9_PROCO
OG0000035	sp|Q3V080|ZN583_MOUSE	tr|A0A2K6GMR0|A0A2K6GMR0_PROCO
OG0000035	tr|Q5U406|Q5U406_MOUSE	tr|A0A2K6GGY2|A0A2K6GGY2_PROCO, tr|A0A2K6EJI7|A0A2K6EJI7_PROCO
OG0000035	sp|Q60585|ZFP30_MOUSE	tr|A0A2K6GFL8|A0A2K6GFL8_PROCO, tr|A0A2K6EEH7|A0A2K6EEH7_PROCO
OG0000036	tr|E9Q3K2|E9Q3K2_MOUSE	tr|A0A2K6FSU1|A0A2K6FSU1_PROCO
OG0000036	tr|Q8VF37|Q8VF37_MOUSE, tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE, sp|Q8VGD6|OLF56_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, tr|Q7TRZ7|Q7TRZ7_MOUSE, tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q5NC45|Q5NC45_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VGD8|Q8VGD8_MOUSE	tr|A0A2K6EXU9|A0A2K6EXU9_PROCO
OG0000038	sp|P07744|K2C4_MOUSE	tr|A0A2K6ENC9|A0A2K6ENC9_PROCO
OG0000038	sp|Q3TTY5|K22E_MOUSE	tr|A0A2K6EZ68|A0A2K6EZ68_PROCO
OG0000038	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A2K6EZY0|A0A2K6EZY0_PROCO, tr|A0A2K6F006|A0A2K6F006_PROCO
OG0000038	sp|Q8VED5|K2C79_MOUSE	tr|A0A2K6FJR4|A0A2K6FJR4_PROCO
OG0000038	sp|Q6IME9|K2C72_MOUSE	tr|A0A2K6F051|A0A2K6F051_PROCO
OG0000038	sp|Q6NXH9|K2C73_MOUSE	tr|A0A2K6EYH4|A0A2K6EYH4_PROCO
OG0000038	sp|Q9R0H5|K2C71_MOUSE	tr|A0A2K6GL34|A0A2K6GL34_PROCO
OG0000038	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A2K6FV05|A0A2K6FV05_PROCO
OG0000038	sp|Q9DCV7|K2C7_MOUSE	tr|A0A2K6GY13|A0A2K6GY13_PROCO
OG0000038	sp|P11679|K2C8_MOUSE	tr|A0A2K6FM60|A0A2K6FM60_PROCO
OG0000040	tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|Q0VB29|Q0VB29_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|Q9R0K4|Q9R0K4_MOUSE, tr|Q0VEP0|Q0VEP0_MOUSE, sp|Q7TQQ0|O1509_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, tr|Q8VGP3|Q8VGP3_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE	tr|A0A2K6GE61|A0A2K6GE61_PROCO
OG0000042	sp|Q8VFB9|OL183_MOUSE, tr|Q7TS43|Q7TS43_MOUSE, tr|L7N1Z8|L7N1Z8_MOUSE, tr|E9PYP4|E9PYP4_MOUSE, sp|Q8VEX6|OL187_MOUSE, tr|K7N5T5|K7N5T5_MOUSE, sp|Q8VEX5|OL186_MOUSE, tr|L7N1Y8|L7N1Y8_MOUSE, tr|L7N205|L7N205_MOUSE, tr|L7N1X3|L7N1X3_MOUSE, tr|Q7TS37|Q7TS37_MOUSE, tr|Q8VGP9|Q8VGP9_MOUSE, tr|E9Q8M0|E9Q8M0_MOUSE, tr|Q8VGQ3|Q8VGQ3_MOUSE, tr|Q7TS38|Q7TS38_MOUSE, tr|F6ZUS0|F6ZUS0_MOUSE, tr|Q7TS40|Q7TS40_MOUSE, tr|E9Q9T3|E9Q9T3_MOUSE, sp|Q7TS48|OL180_MOUSE, sp|Q8VGQ7|OL181_MOUSE, tr|E9Q7W1|E9Q7W1_MOUSE, tr|A0A140T8K4|A0A140T8K4_MOUSE, tr|Q8VGQ6|Q8VGQ6_MOUSE, tr|E9Q8F6|E9Q8F6_MOUSE, tr|E9QAT7|E9QAT7_MOUSE	tr|A0A2K6FXB1|A0A2K6FXB1_PROCO
OG0000046	sp|P70458|IPSP_MOUSE	tr|A0A2K6EKL0|A0A2K6EKL0_PROCO
OG0000046	sp|Q9D7D2|SPA9_MOUSE, sp|Q8CIE0|SPA11_MOUSE	tr|A0A2K6EGE4|A0A2K6EGE4_PROCO
OG0000046	sp|Q8R121|ZPI_MOUSE, tr|D3Z660|D3Z660_MOUSE, sp|Q9DCQ7|A1AT6_MOUSE, sp|P07758|A1AT1_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00898|A1AT5_MOUSE	tr|A0A2K6FVR3|A0A2K6FVR3_PROCO
OG0000049	sp|Q9R157|ADA18_MOUSE, sp|Q811Q4|ADA29_MOUSE, sp|Q9R160|ADA24_MOUSE, tr|Q7M762|Q7M762_MOUSE, sp|Q9R159|ADA25_MOUSE, tr|Q7M763|Q7M763_MOUSE, sp|Q9R158|AD26A_MOUSE, tr|Q6IMH6|Q6IMH6_MOUSE, tr|A2RSG8|A2RSG8_MOUSE, tr|Q7M766|Q7M766_MOUSE, sp|Q9JI76|ADA21_MOUSE, tr|B2RSY5|B2RSY5_MOUSE, tr|Q6IMH7|Q6IMH7_MOUSE, tr|Q8CGQ2|Q8CGQ2_MOUSE, tr|B2RUD9|B2RUD9_MOUSE, tr|Q811Q3|Q811Q3_MOUSE, sp|Q60813|ADM1A_MOUSE, sp|Q8R534|ADM1B_MOUSE, sp|Q61072|ADAM9_MOUSE, sp|Q60718|ADAM2_MOUSE, sp|Q8K410|ADA32_MOUSE, sp|Q3TTE0|ADAM5_MOUSE, sp|F8VQ03|ADAM3_MOUSE	tr|A0A2K6EVH7|A0A2K6EVH7_PROCO
OG0000050	tr|A0A140T8J6|A0A140T8J6_MOUSE	tr|A0A2K6EPX2|A0A2K6EPX2_PROCO
