Orthogroup	Mus_musculus	Canis_lupus_familiaris
OG0000031	tr|E9Q1Z0|E9Q1Z0_MOUSE, sp|Q9DCV7|K2C7_MOUSE, sp|P11679|K2C8_MOUSE	tr|A0A8I3ML75|A0A8I3ML75_CANLF
OG0000031	tr|Q6IFZ8|Q6IFZ8_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q9Z331|K2C6B_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q8BGZ7|K2C75_MOUSE	tr|A0A8I3PK78|A0A8I3PK78_CANLF
OG0000036	tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE	tr|A0A8I3MNK1|A0A8I3MNK1_CANLF
OG0000037	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8I3NMN3|A0A8I3NMN3_CANLF
OG0000037	sp|Q8BQC8|RBAK_MOUSE	tr|A0A8P0SVV9|A0A8P0SVV9_CANLF, tr|A0A8I3NI07|A0A8I3NI07_CANLF
OG0000037	tr|Q640N4|Q640N4_MOUSE	tr|A0A8I3N1G9|A0A8I3N1G9_CANLF, tr|A0A8I3N319|A0A8I3N319_CANLF, tr|A0A8I3MFI8|A0A8I3MFI8_CANLF, tr|A0A8I3QMU4|A0A8I3QMU4_CANLF, tr|A0A8I3SAV6|A0A8I3SAV6_CANLF, tr|A0A8P0NRT2|A0A8P0NRT2_CANLF, tr|A0A8I3RZN4|A0A8I3RZN4_CANLF, tr|A0A8I3NXP0|A0A8I3NXP0_CANLF, tr|A0A8P0PI44|A0A8P0PI44_CANLF, tr|A0A8I3MJY8|A0A8I3MJY8_CANLF, tr|A0A8P0SVE2|A0A8P0SVE2_CANLF, tr|A0A8I3MPZ3|A0A8I3MPZ3_CANLF, tr|A0A8I3MPV2|A0A8I3MPV2_CANLF, tr|A0A8P0SW46|A0A8P0SW46_CANLF, tr|A0A8I3MF60|A0A8I3MF60_CANLF, tr|A0A8I3RQC2|A0A8I3RQC2_CANLF
OG0000039	tr|Q91XZ9|Q91XZ9_MOUSE, tr|Q91Y04|Q91Y04_MOUSE, sp|Q91Y02|PCDBI_MOUSE, tr|Q91V48|Q91V48_MOUSE, tr|Q91Y00|Q91Y00_MOUSE, tr|Q91VD8|Q91VD8_MOUSE, tr|Q91Y01|Q91Y01_MOUSE, tr|Q91XZ8|Q91XZ8_MOUSE, tr|Q91Y03|Q91Y03_MOUSE, tr|Q91XZ7|Q91XZ7_MOUSE, tr|Q91XZ5|Q91XZ5_MOUSE, tr|Q8CDY9|Q8CDY9_MOUSE, tr|E9Q5G2|E9Q5G2_MOUSE, sp|Q6PB90|PCDBE_MOUSE, tr|Q91Y06|Q91Y06_MOUSE, tr|Q91Y07|Q91Y07_MOUSE, tr|Q91UZ8|Q91UZ8_MOUSE, tr|Q91VE5|Q91VE5_MOUSE, sp|Q91XZ2|PCDB8_MOUSE, sp|Q91XZ4|PCDB6_MOUSE, tr|Q91XZ6|Q91XZ6_MOUSE	tr|A0A8I3MN16|A0A8I3MN16_CANLF
OG0000046	sp|P11591|MUP5_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, sp|Q5FW60|MUP20_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P02762|MUP6_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE	sp|H2B3G5|LI601_CANLF
OG0000049	sp|P70423|CTR3_MOUSE, tr|E9PWS4|E9PWS4_MOUSE	tr|A0A8P0NI56|A0A8P0NI56_CANLF, tr|A0A8I3NQ27|A0A8I3NQ27_CANLF, tr|A0A8P0PRU9|A0A8P0PRU9_CANLF, tr|A0A8I3S0H9|A0A8I3S0H9_CANLF, tr|A0A8P0TBE8|A0A8P0TBE8_CANLF, tr|A0A8I3S185|A0A8I3S185_CANLF, tr|A0A8I3NR18|A0A8I3NR18_CANLF, tr|A0A8P0SH95|A0A8P0SH95_CANLF, tr|A0A8I3NZQ0|A0A8I3NZQ0_CANLF, tr|A0A8I3NVZ4|A0A8I3NVZ4_CANLF, tr|A0A8I3P0E3|A0A8I3P0E3_CANLF, tr|A0A8I3NJU5|A0A8I3NJU5_CANLF, tr|A0A8P0NSA5|A0A8P0NSA5_CANLF, tr|A0A8I3NK64|A0A8I3NK64_CANLF, tr|A0A8I3NWB1|A0A8I3NWB1_CANLF, tr|A0A8I3RYQ5|A0A8I3RYQ5_CANLF, tr|A0A8I3P4N5|A0A8I3P4N5_CANLF, tr|A0A8P0PJF8|A0A8P0PJF8_CANLF
OG0000050	tr|E9PVR6|E9PVR6_MOUSE, sp|Q9EQ51|V1R47_MOUSE, sp|Q9EQ52|V1R48_MOUSE, sp|Q8R2E6|V1A11_MOUSE, sp|Q8VIC7|V1R45_MOUSE, sp|Q8VBS7|V1R42_MOUSE, sp|Q8VIC9|V1R43_MOUSE, sp|Q8VIC6|V1R51_MOUSE, sp|Q9EP79|V1R52_MOUSE, sp|Q9EQ48|VN1A8_MOUSE, sp|Q9EPB8|V1R54_MOUSE, sp|Q9EQ46|V1R40_MOUSE, sp|Q9EQ44|V1R41_MOUSE, tr|A0A494BA90|A0A494BA90_MOUSE, sp|Q9EQ47|V1R44_MOUSE, sp|Q9EP93|V1R53_MOUSE, sp|Q9EP51|V1R50_MOUSE, sp|Q9WUF1|V1R49_MOUSE, sp|Q9EQ45|V1R46_MOUSE	tr|A0A8I3PXF2|A0A8I3PXF2_CANLF
OG0000051	tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR05|Q7TR05_MOUSE	tr|A0A8P0NAG1|A0A8P0NAG1_CANLF
OG0000052	sp|Q3KNA1|MRGB2_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q91ZB7|MRGRE_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q91WW5|MRGA1_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW4|MRGA2_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91ZC5|MRGA7_MOUSE	tr|A0A8I3P4E8|A0A8I3P4E8_CANLF
OG0000055	tr|A2RTN7|A2RTN7_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE	tr|A0A8I3NYI5|A0A8I3NYI5_CANLF
OG0000056	tr|Q8VG45|Q8VG45_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|Q7TRH7|Q7TRH7_MOUSE, tr|E9PUS9|E9PUS9_MOUSE, tr|Q8VG64|Q8VG64_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE	tr|A0A8I3Q4Z6|A0A8I3Q4Z6_CANLF
OG0000057	tr|A2AHM0|A2AHM0_MOUSE, tr|Q9D2H4|Q9D2H4_MOUSE, tr|A2AHM1|A2AHM1_MOUSE	tr|A0A8I3NWW6|A0A8I3NWW6_CANLF, tr|A0A8I3NKT6|A0A8I3NKT6_CANLF
OG0000057	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A8I3Q8K4|A0A8I3Q8K4_CANLF
OG0000057	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A8I3Q6J2|A0A8I3Q6J2_CANLF, tr|A0A8I3PA39|A0A8I3PA39_CANLF
OG0000057	sp|Q8BQR7|MAGBI_MOUSE	sp|Q9TTY4|MAGBA_CANLF, tr|A0A8I3QQ67|A0A8I3QQ67_CANLF, tr|A0A8I3Q7Y6|A0A8I3Q7Y6_CANLF
OG0000057	tr|G3UW88|G3UW88_MOUSE	tr|A0A8P0T658|A0A8P0T658_CANLF, tr|A0A8I3NTD5|A0A8I3NTD5_CANLF, tr|A0A8I3Q5L8|A0A8I3Q5L8_CANLF
