Orthogroup	Mus_musculus	Otolemur_garnettii
OG0000005	tr|Q8VGJ0|Q8VGJ0_MOUSE	tr|H0XR92|H0XR92_OTOGA, tr|H0XX10|H0XX10_OTOGA, tr|H0XLC3|H0XLC3_OTOGA
OG0000010	sp|Q7TSH9|ZN184_MOUSE	tr|H0WPC8|H0WPC8_OTOGA
OG0000010	sp|Q2TL60|ZN667_MOUSE	tr|H0Y0C5|H0Y0C5_OTOGA
OG0000010	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|H0XN56|H0XN56_OTOGA
OG0000010	sp|P10755|ZFP14_MOUSE	tr|H0WYC9|H0WYC9_OTOGA
OG0000010	sp|Q6P9Y7|ZFP82_MOUSE	tr|H0WYD3|H0WYD3_OTOGA
OG0000010	sp|Q60585|ZFP30_MOUSE	tr|H0WRZ6|H0WRZ6_OTOGA, tr|H0Y017|H0Y017_OTOGA, tr|H0X977|H0X977_OTOGA
OG0000010	tr|Q8VCI1|Q8VCI1_MOUSE	tr|H0WIA3|H0WIA3_OTOGA
OG0000010	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|H0XB26|H0XB26_OTOGA, tr|H0Y191|H0Y191_OTOGA
OG0000010	tr|Q9D654|Q9D654_MOUSE	tr|H0XMB8|H0XMB8_OTOGA, tr|H0XGW3|H0XGW3_OTOGA, tr|H0XTC4|H0XTC4_OTOGA, tr|H0WQV9|H0WQV9_OTOGA, tr|H0XEA7|H0XEA7_OTOGA
OG0000021	sp|Q60890|OLF11_MOUSE	tr|H0XPN9|H0XPN9_OTOGA
OG0000021	tr|Q7TQU0|Q7TQU0_MOUSE	tr|H0XTW1|H0XTW1_OTOGA
OG0000021	tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE	tr|H0XPA4|H0XPA4_OTOGA, tr|H0Y2G8|H0Y2G8_OTOGA
OG0000021	tr|Q5SZS9|Q5SZS9_MOUSE	tr|H0XXH8|H0XXH8_OTOGA
OG0000021	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|H0XHV3|H0XHV3_OTOGA, tr|H0XLY7|H0XLY7_OTOGA
OG0000025	tr|A0A1W2P740|A0A1W2P740_MOUSE	tr|H0XUD5|H0XUD5_OTOGA
OG0000025	sp|Q8VFM9|OLF24_MOUSE	tr|H0XUL1|H0XUL1_OTOGA, tr|H0XZN4|H0XZN4_OTOGA, tr|H0XTA9|H0XTA9_OTOGA, tr|H0XUN8|H0XUN8_OTOGA, tr|H0XK93|H0XK93_OTOGA, tr|H0XSU7|H0XSU7_OTOGA, tr|H0WLP9|H0WLP9_OTOGA, tr|H0XXR2|H0XXR2_OTOGA, tr|H0XJV2|H0XJV2_OTOGA, tr|H0XLK9|H0XLK9_OTOGA, tr|H0X560|H0X560_OTOGA, tr|H0WW81|H0WW81_OTOGA, tr|H0XI14|H0XI14_OTOGA, tr|H0XEF5|H0XEF5_OTOGA, tr|H0XUE8|H0XUE8_OTOGA, tr|H0XUI8|H0XUI8_OTOGA, tr|H0XJV6|H0XJV6_OTOGA, tr|H0XYE7|H0XYE7_OTOGA, tr|H0XJC0|H0XJC0_OTOGA, tr|H0XHF0|H0XHF0_OTOGA, tr|H0XR40|H0XR40_OTOGA, tr|H0XQQ7|H0XQQ7_OTOGA, tr|H0WXQ2|H0WXQ2_OTOGA, tr|H0WTV8|H0WTV8_OTOGA, tr|H0XJY0|H0XJY0_OTOGA, tr|H0XRZ9|H0XRZ9_OTOGA, tr|H0XVN0|H0XVN0_OTOGA, tr|H0XIZ2|H0XIZ2_OTOGA
OG0000026	tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE	tr|H0XPZ3|H0XPZ3_OTOGA
OG0000026	tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, tr|Q8VGP3|Q8VGP3_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE	tr|H0WJU2|H0WJU2_OTOGA
OG0000026	tr|Q3SXJ3|Q3SXJ3_MOUSE, tr|Q8VF94|Q8VF94_MOUSE, tr|Q8VG21|Q8VG21_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q0VB29|Q0VB29_MOUSE, tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE	tr|H0WJU3|H0WJU3_OTOGA
OG0000028	tr|A2AT85|A2AT85_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE	tr|H0XPG6|H0XPG6_OTOGA
OG0000028	tr|Q8VFE2|Q8VFE2_MOUSE	tr|H0XXU3|H0XXU3_OTOGA
OG0000028	tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|K7N727|K7N727_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE	tr|H0Y138|H0Y138_OTOGA
OG0000029	sp|Q0P5Y3|TPPP2_MOUSE	tr|H0WN73|H0WN73_OTOGA, tr|H0WVY9|H0WVY9_OTOGA, tr|H0XCE1|H0XCE1_OTOGA, tr|H0XJQ0|H0XJQ0_OTOGA, tr|H0WRT5|H0WRT5_OTOGA, tr|H0XM66|H0XM66_OTOGA, tr|H0XQZ9|H0XQZ9_OTOGA, tr|H0XUZ2|H0XUZ2_OTOGA, tr|H0XXU2|H0XXU2_OTOGA, tr|H0XSW2|H0XSW2_OTOGA, tr|H0XVJ2|H0XVJ2_OTOGA, tr|H0WH61|H0WH61_OTOGA, tr|H0XLN7|H0XLN7_OTOGA, tr|H0XTB5|H0XTB5_OTOGA, tr|H0XXL4|H0XXL4_OTOGA, tr|H0XLK0|H0XLK0_OTOGA, tr|H0XY63|H0XY63_OTOGA, tr|H0XC53|H0XC53_OTOGA, tr|H0XQN2|H0XQN2_OTOGA, tr|H0XSZ4|H0XSZ4_OTOGA, tr|H0XB97|H0XB97_OTOGA, tr|H0XY32|H0XY32_OTOGA, tr|H0XB38|H0XB38_OTOGA, tr|H0XXQ3|H0XXQ3_OTOGA, tr|H0Y033|H0Y033_OTOGA, tr|H0XA43|H0XA43_OTOGA, tr|H0WIQ7|H0WIQ7_OTOGA
OG0000030	sp|Q7TQA7|TA2R3_MOUSE, sp|Q9JKT3|TA2R4_MOUSE, sp|P59530|TA2R7_MOUSE, sp|Q7M713|TR116_MOUSE, sp|Q7M711|TR113_MOUSE, sp|Q7TQA4|TR140_MOUSE, sp|Q9JKA3|TR103_MOUSE, sp|Q7M707|TR109_MOUSE, sp|Q7M715|TR117_MOUSE, sp|Q7M709|TR129_MOUSE, sp|Q7M710|TR125_MOUSE, tr|Q7M719|Q7M719_MOUSE, sp|P59528|TR123_MOUSE, sp|Q7M712|TR110_MOUSE, sp|Q7M718|TR124_MOUSE, sp|Q7M717|TR102_MOUSE, sp|Q7M720|T2R13_MOUSE, sp|Q7TQA8|TR136_MOUSE, sp|Q7M721|TR120_MOUSE, tr|Q7M708|Q7M708_MOUSE, tr|D3YU55|D3YU55_MOUSE, sp|Q7M723|TR104_MOUSE, sp|Q7M722|TR114_MOUSE, sp|Q7M725|TR107_MOUSE, sp|Q7M724|TR106_MOUSE, sp|Q9JKT4|TR105_MOUSE	tr|H0Y1M1|H0Y1M1_OTOGA
OG0000032	sp|O09167|RL21_MOUSE	tr|H0WXW4|H0WXW4_OTOGA, tr|H0XHY4|H0XHY4_OTOGA, tr|H0XHH6|H0XHH6_OTOGA, tr|H0XWV3|H0XWV3_OTOGA, tr|H0XTD1|H0XTD1_OTOGA, tr|H0XQ15|H0XQ15_OTOGA, tr|H0XIJ1|H0XIJ1_OTOGA, tr|H0XZQ3|H0XZQ3_OTOGA, tr|H0XRH9|H0XRH9_OTOGA, tr|H0XKD4|H0XKD4_OTOGA, tr|H0XTW3|H0XTW3_OTOGA, tr|H0XQF9|H0XQF9_OTOGA, tr|H0XTU1|H0XTU1_OTOGA, tr|H0XV64|H0XV64_OTOGA, tr|H0Y2A5|H0Y2A5_OTOGA, tr|H0XVF2|H0XVF2_OTOGA, tr|H0XP37|H0XP37_OTOGA, tr|H0XT41|H0XT41_OTOGA, tr|H0XHD6|H0XHD6_OTOGA, tr|H0XIY0|H0XIY0_OTOGA, tr|H0XMT9|H0XMT9_OTOGA, tr|H0XPN0|H0XPN0_OTOGA, tr|H0XSG8|H0XSG8_OTOGA, tr|H0XR49|H0XR49_OTOGA, tr|H0XTF0|H0XTF0_OTOGA, tr|H0XN32|H0XN32_OTOGA
OG0000033	sp|P63158|HMGB1_MOUSE	tr|H0Y0B1|H0Y0B1_OTOGA, tr|H0WMA9|H0WMA9_OTOGA, tr|H0Y0Y2|H0Y0Y2_OTOGA, tr|H0XK32|H0XK32_OTOGA, tr|H0XRX4|H0XRX4_OTOGA, tr|H0XMR3|H0XMR3_OTOGA, tr|H0XTG0|H0XTG0_OTOGA, tr|H0XKE0|H0XKE0_OTOGA, tr|H0Y263|H0Y263_OTOGA, tr|H0X3W6|H0X3W6_OTOGA, tr|H0Y104|H0Y104_OTOGA, tr|H0XVV0|H0XVV0_OTOGA, tr|H0XH72|H0XH72_OTOGA, tr|H0XY74|H0XY74_OTOGA, tr|H0XIH8|H0XIH8_OTOGA, tr|H0XRY0|H0XRY0_OTOGA, tr|H0Y194|H0Y194_OTOGA, tr|H0XWL8|H0XWL8_OTOGA, tr|H0XIQ5|H0XIQ5_OTOGA, tr|H0X3Y0|H0X3Y0_OTOGA, tr|H0XNZ8|H0XNZ8_OTOGA, tr|H0XSB1|H0XSB1_OTOGA, tr|H0XSV4|H0XSV4_OTOGA, tr|H0X3R9|H0X3R9_OTOGA, tr|H0XIH4|H0XIH4_OTOGA
OG0000035	tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE	tr|H0XFB4|H0XFB4_OTOGA
OG0000036	tr|Q7TRR4|Q7TRR4_MOUSE	tr|H0XJF5|H0XJF5_OTOGA, tr|B4USL9|B4USL9_OTOGA
OG0000036	tr|Q7TRP3|Q7TRP3_MOUSE	tr|H0XLR2|H0XLR2_OTOGA, tr|H0XMH2|H0XMH2_OTOGA
OG0000036	tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE	tr|B4UST4|B4UST4_OTOGA, tr|H0XHF4|H0XHF4_OTOGA, tr|H0XPB9|H0XPB9_OTOGA
OG0000036	tr|Q8VGZ9|Q8VGZ9_MOUSE	tr|H0Y082|H0Y082_OTOGA
OG0000036	tr|Q8VG28|Q8VG28_MOUSE	tr|B4UST3|B4UST3_OTOGA
OG0000036	tr|Q8VF06|Q8VF06_MOUSE	tr|H0XP51|H0XP51_OTOGA, tr|B4UST6|B4UST6_OTOGA
OG0000036	tr|Q8VGV8|Q8VGV8_MOUSE	tr|H0XQF4|H0XQF4_OTOGA
OG0000037	sp|Q61400|CEAMA_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, tr|Q78T27|Q78T27_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q62056|Q62056_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE	tr|H0XYK9|H0XYK9_OTOGA
OG0000043	tr|Q6UKZ0|Q6UKZ0_MOUSE, tr|G3X9V8|G3X9V8_MOUSE, tr|A2RSF9|A2RSF9_MOUSE, tr|Q9D1Q5|Q9D1Q5_MOUSE	tr|H0X9C8|H0X9C8_OTOGA
OG0000043	tr|Q3UWK8|Q3UWK8_MOUSE, tr|I7HJI3|I7HJI3_MOUSE, tr|W4VSP4|W4VSP4_MOUSE, tr|O08804|O08804_MOUSE, sp|Q60854|SPB6_MOUSE	tr|H0XQ92|H0XQ92_OTOGA
OG0000043	sp|O08800|SPB8_MOUSE	tr|H0XFV1|H0XFV1_OTOGA
OG0000043	tr|I7HJI5|I7HJI5_MOUSE, tr|O08797|O08797_MOUSE, tr|Q9DAV6|Q9DAV6_MOUSE, tr|Q8BMT0|Q8BMT0_MOUSE, tr|O08806|O08806_MOUSE, tr|Q80UK5|Q80UK5_MOUSE, tr|F6V5V4|F6V5V4_MOUSE, tr|Q8VHQ1|Q8VHQ1_MOUSE	tr|H0XIQ6|H0XIQ6_OTOGA
OG0000045	tr|A2BHR2|A2BHR2_MOUSE	tr|H0XUX3|H0XUX3_OTOGA
OG0000045	sp|P11591|MUP5_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE, sp|Q5FW60|MUP20_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|P02762|MUP6_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE	tr|H0XMX4|H0XMX4_OTOGA
OG0000046	tr|Q99PA7|Q99PA7_MOUSE	tr|H0XJK1|H0XJK1_OTOGA, tr|H0XRP3|H0XRP3_OTOGA, tr|H0WFN2|H0WFN2_OTOGA, tr|H0XHG8|H0XHG8_OTOGA, tr|H0XFA7|H0XFA7_OTOGA, tr|H0XAB7|H0XAB7_OTOGA, tr|H0XJS6|H0XJS6_OTOGA, tr|H0XRY1|H0XRY1_OTOGA, tr|H0XUR4|H0XUR4_OTOGA, tr|H0Y1R1|H0Y1R1_OTOGA, tr|H0Y0X3|H0Y0X3_OTOGA, tr|H0X576|H0X576_OTOGA, tr|H0XYD9|H0XYD9_OTOGA, tr|H0WZQ0|H0WZQ0_OTOGA, tr|H0XKW2|H0XKW2_OTOGA, tr|H0XWU0|H0XWU0_OTOGA, tr|H0WV02|H0WV02_OTOGA, tr|H0XDY4|H0XDY4_OTOGA, tr|H0XMD9|H0XMD9_OTOGA, tr|H0XT37|H0XT37_OTOGA, tr|H0XZX7|H0XZX7_OTOGA
OG0000047	tr|A2AVK5|A2AVK5_MOUSE	tr|H0XXK5|H0XXK5_OTOGA, tr|H0XMW3|H0XMW3_OTOGA, tr|H0XUV6|H0XUV6_OTOGA, tr|H0XI26|H0XI26_OTOGA, tr|H0XUF3|H0XUF3_OTOGA, tr|H0XVA3|H0XVA3_OTOGA, tr|H0XZA7|H0XZA7_OTOGA, tr|H0XSJ8|H0XSJ8_OTOGA, tr|H0XPK6|H0XPK6_OTOGA, tr|H0XPF0|H0XPF0_OTOGA, tr|H0XQX0|H0XQX0_OTOGA, tr|H0Y0L2|H0Y0L2_OTOGA, tr|H0XJ10|H0XJ10_OTOGA, tr|H0XTT4|H0XTT4_OTOGA, tr|H0Y1Y5|H0Y1Y5_OTOGA, tr|H0XI25|H0XI25_OTOGA, tr|H0XLS6|H0XLS6_OTOGA, tr|H0XQN0|H0XQN0_OTOGA, tr|H0XMK3|H0XMK3_OTOGA, tr|H0XIH5|H0XIH5_OTOGA, tr|H0XW93|H0XW93_OTOGA
OG0000050	tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX0|Q91XX0_MOUSE	tr|H0Y1L9|H0Y1L9_OTOGA
OG0000051	tr|K9J7B2|K9J7B2_MOUSE, sp|Q64435|UD16_MOUSE, sp|Q63886|UD11_MOUSE, sp|P70691|UD12_MOUSE, tr|B2RT14|B2RT14_MOUSE, sp|Q6ZQM8|UD17_MOUSE, tr|D3Z748|D3Z748_MOUSE, sp|Q62452|UD19_MOUSE, sp|Q6PDD0|UD2A2_MOUSE, sp|Q80X89|UD2A1_MOUSE, sp|Q8BWQ1|UD2A3_MOUSE, tr|Q8K154|Q8K154_MOUSE, tr|Q8R084|Q8R084_MOUSE, tr|Q3UEP4|Q3UEP4_MOUSE, tr|Q8BJL9|Q8BJL9_MOUSE, tr|Q8VCN3|Q8VCN3_MOUSE, tr|Q91WH2|Q91WH2_MOUSE, sp|P17717|UDB17_MOUSE	tr|H0XJF1|H0XJF1_OTOGA, tr|H0XXY9|H0XXY9_OTOGA, tr|H0XRP9|H0XRP9_OTOGA
OG0000052	tr|A0A1L1SQH2|A0A1L1SQH2_MOUSE	tr|H0XHM1|H0XHM1_OTOGA, tr|H0X5Q0|H0X5Q0_OTOGA
OG0000052	tr|Q8VG87|Q8VG87_MOUSE	tr|H0WKF0|H0WKF0_OTOGA
OG0000052	tr|Q8VGA0|Q8VGA0_MOUSE	tr|H0X5Q2|H0X5Q2_OTOGA, tr|H0XND7|H0XND7_OTOGA
OG0000052	tr|Q8VGA9|Q8VGA9_MOUSE, tr|Q9QZ20|Q9QZ20_MOUSE	tr|H0Y243|H0Y243_OTOGA, tr|H0Y289|H0Y289_OTOGA
OG0000052	tr|Q9QZ22|Q9QZ22_MOUSE, tr|Q9QZ19|Q9QZ19_MOUSE	tr|H0XSR2|H0XSR2_OTOGA, tr|H0XD49|H0XD49_OTOGA, tr|H0XM95|H0XM95_OTOGA, tr|H0XD48|H0XD48_OTOGA
OG0000054	tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE	tr|H0XJJ9|H0XJJ9_OTOGA
OG0000056	sp|P05784|K1C18_MOUSE	tr|H0XQ61|H0XQ61_OTOGA, tr|H0XSG2|H0XSG2_OTOGA, tr|H0XZD6|H0XZD6_OTOGA, tr|H0XNW6|H0XNW6_OTOGA, tr|H0XXT1|H0XXT1_OTOGA, tr|H0XSA0|H0XSA0_OTOGA, tr|H0XYT2|H0XYT2_OTOGA, tr|H0XV09|H0XV09_OTOGA, tr|H0XND6|H0XND6_OTOGA, tr|H0Y247|H0Y247_OTOGA, tr|H0XQ20|H0XQ20_OTOGA, tr|H0XTR6|H0XTR6_OTOGA, tr|H0XTC7|H0XTC7_OTOGA, tr|H0XLC1|H0XLC1_OTOGA, tr|H0XI48|H0XI48_OTOGA, tr|H0XU28|H0XU28_OTOGA, tr|H0XN92|H0XN92_OTOGA, tr|H0XX27|H0XX27_OTOGA, tr|H0XZ53|H0XZ53_OTOGA
OG0000058	sp|Q9Z1D7|ZSC12_MOUSE	tr|H0XW48|H0XW48_OTOGA
OG0000058	sp|Q07231|ZSC21_MOUSE	tr|H0XF33|H0XF33_OTOGA
OG0000058	tr|E9PVW1|E9PVW1_MOUSE	tr|H0XSW1|H0XSW1_OTOGA, tr|H0Y0Q5|H0Y0Q5_OTOGA, tr|H0WFZ1|H0WFZ1_OTOGA, tr|H0X7S8|H0X7S8_OTOGA, tr|H0XJX0|H0XJX0_OTOGA, tr|H0XMI6|H0XMI6_OTOGA, tr|H0WZR2|H0WZR2_OTOGA, tr|H0XWT5|H0XWT5_OTOGA, tr|H0XLT2|H0XLT2_OTOGA, tr|H0XVW1|H0XVW1_OTOGA
OG0000058	tr|Q7TNK4|Q7TNK4_MOUSE	tr|H0XBW7|H0XBW7_OTOGA, tr|H0XP08|H0XP08_OTOGA
OG0000059	tr|Q8VGH2|Q8VGH2_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VGL2|Q8VGL2_MOUSE, tr|Q7TRT9|Q7TRT9_MOUSE, tr|Q8VGL3|Q8VGL3_MOUSE, tr|Q7TRT5|Q7TRT5_MOUSE, tr|Q8VGJ4|Q8VGJ4_MOUSE, tr|Q8VGM2|Q8VGM2_MOUSE, tr|Q8VGL4|Q8VGL4_MOUSE, tr|Q8VGM0|Q8VGM0_MOUSE, tr|Q8VGL8|Q8VGL8_MOUSE, tr|Q8VGM1|Q8VGM1_MOUSE, tr|Q8VGL9|Q8VGL9_MOUSE	tr|H0XJ17|H0XJ17_OTOGA
