Orthogroup	Mus_musculus	Ailuropoda_melanoleuca
OG0000014	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|G1LSJ6|G1LSJ6_AILME
OG0000014	tr|Q9D654|Q9D654_MOUSE	tr|A0A7N5KAN9|A0A7N5KAN9_AILME, tr|A0A7N5KB62|A0A7N5KB62_AILME, tr|A0A7N5KRZ6|A0A7N5KRZ6_AILME, tr|A0A7N5JBJ9|A0A7N5JBJ9_AILME, tr|A0A7N5JBA7|A0A7N5JBA7_AILME, tr|G1LHZ7|G1LHZ7_AILME, tr|A0A7N5KCY3|A0A7N5KCY3_AILME, tr|G1M2F8|G1M2F8_AILME, tr|G1LTV8|G1LTV8_AILME, tr|G1LS27|G1LS27_AILME, tr|A0A7N5P501|A0A7N5P501_AILME, tr|A0A7N5K0H0|A0A7N5K0H0_AILME, tr|A0A7N5JGR3|A0A7N5JGR3_AILME, tr|G1M410|G1M410_AILME
OG0000014	sp|Q60585|ZFP30_MOUSE	tr|A0A7N5J9R5|A0A7N5J9R5_AILME
OG0000014	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A7N5KIX3|A0A7N5KIX3_AILME
OG0000014	sp|P10755|ZFP14_MOUSE	tr|G1LHR4|G1LHR4_AILME, tr|G1MIB6|G1MIB6_AILME, tr|G1MN86|G1MN86_AILME, tr|G1MIT5|G1MIT5_AILME, tr|G1LA47|G1LA47_AILME
OG0000014	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A7N5K020|A0A7N5K020_AILME, tr|G1L6S8|G1L6S8_AILME
OG0000015	tr|Q8R2C7|Q8R2C7_MOUSE, tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|Q8R2C2|Q8R2C2_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|K7N778|K7N778_MOUSE, tr|K7N688|K7N688_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE, tr|H3BKW5|H3BKW5_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|K7N775|K7N775_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|Q8R2D6|Q8R2D6_MOUSE, tr|G3XA52|G3XA52_MOUSE, tr|Q8R2E0|Q8R2E0_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|G5E8I3|G5E8I3_MOUSE, tr|Q14C10|Q14C10_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q8R2D2|Q8R2D2_MOUSE, tr|H3BLP0|H3BLP0_MOUSE	tr|G1M8Y7|G1M8Y7_AILME
OG0000026	tr|E9Q0Z1|E9Q0Z1_MOUSE	tr|G1MMZ5|G1MMZ5_AILME
OG0000026	tr|Q8VFN6|Q8VFN6_MOUSE	tr|A0A7N5KHU6|A0A7N5KHU6_AILME, tr|A0A7N5PA37|A0A7N5PA37_AILME, tr|A0A7N5KJF1|A0A7N5KJF1_AILME, tr|D2I6R7|D2I6R7_AILME, tr|A0A7N5KER6|A0A7N5KER6_AILME, tr|G1LQV6|G1LQV6_AILME, tr|G1MNF9|G1MNF9_AILME, tr|D2HP45|D2HP45_AILME, tr|G1MML8|G1MML8_AILME, tr|G1M060|G1M060_AILME, tr|G1MLM3|G1MLM3_AILME, tr|G1MML2|G1MML2_AILME, tr|G1LDJ3|G1LDJ3_AILME, tr|A0A7N5KCZ0|A0A7N5KCZ0_AILME, tr|G1ML01|G1ML01_AILME, tr|A0A7N5KJL7|A0A7N5KJL7_AILME, tr|A0A7N5JRE1|A0A7N5JRE1_AILME, tr|D2I7M3|D2I7M3_AILME, tr|G1MMK2|G1MMK2_AILME, tr|A0A7N5PAH1|A0A7N5PAH1_AILME, tr|G1M7Q8|G1M7Q8_AILME, tr|A0A7N5JJF9|A0A7N5JJF9_AILME, tr|A0A7N5JZK9|A0A7N5JZK9_AILME, tr|D2I565|D2I565_AILME, tr|G1MN32|G1MN32_AILME
OG0000027	tr|J3KMV2|J3KMV2_MOUSE, sp|Q60884|OL146_MOUSE, tr|Q8VG16|Q8VG16_MOUSE, sp|Q60895|OL150_MOUSE, tr|Q8VF78|Q8VF78_MOUSE, tr|Q7TRA7|Q7TRA7_MOUSE, tr|Q8VFN4|Q8VFN4_MOUSE, tr|Q9EQA2|Q9EQA2_MOUSE, tr|Q8VFN3|Q8VFN3_MOUSE, tr|Q8VG89|Q8VG89_MOUSE, tr|Q7TRA6|Q7TRA6_MOUSE, tr|Q8VFD7|Q8VFD7_MOUSE, tr|Q9EQ97|Q9EQ97_MOUSE, tr|Q9EQ93|Q9EQ93_MOUSE, tr|Q9EQB7|Q9EQB7_MOUSE, tr|Q8VFN5|Q8VFN5_MOUSE, tr|Q9EQ96|Q9EQ96_MOUSE, tr|Q9EQB4|Q9EQB4_MOUSE, tr|Q9EQB8|Q9EQB8_MOUSE, tr|Q9EQB5|Q9EQB5_MOUSE, tr|Q9EQ90|Q9EQ90_MOUSE, tr|Q9EQ91|Q9EQ91_MOUSE, sp|P34983|O1537_MOUSE, tr|Q9EQ95|Q9EQ95_MOUSE, tr|Q9EQ94|Q9EQ94_MOUSE, tr|Q9EQB6|Q9EQB6_MOUSE, tr|Q9EQ92|Q9EQ92_MOUSE	tr|A0A7N5KNW2|A0A7N5KNW2_AILME
OG0000028	sp|Q920G9|GMCL1_MOUSE, tr|A0A571BG86|A0A571BG86_MOUSE, tr|A2BHG6|A2BHG6_MOUSE, tr|J3QMW9|J3QMW9_MOUSE, tr|J3QMS5|J3QMS5_MOUSE, tr|A0A571BG45|A0A571BG45_MOUSE, sp|Q99N64|GMCL2_MOUSE, tr|A2BFZ7|A2BFZ7_MOUSE, tr|A2CGC2|A2CGC2_MOUSE, tr|L7MU83|L7MU83_MOUSE, tr|A2CG71|A2CG71_MOUSE, tr|A0A571BD55|A0A571BD55_MOUSE, tr|L7MU81|L7MU81_MOUSE, tr|A0A087WSN2|A0A087WSN2_MOUSE, tr|Q5FWA1|Q5FWA1_MOUSE, tr|A0A087WR44|A0A087WR44_MOUSE, tr|A2CG92|A2CG92_MOUSE, tr|B8JKF6|B8JKF6_MOUSE, tr|Q1LZI5|Q1LZI5_MOUSE, tr|A0A0A0MQP3|A0A0A0MQP3_MOUSE, tr|J3QNQ5|J3QNQ5_MOUSE, tr|A0A0R4J2B9|A0A0R4J2B9_MOUSE, tr|A0A140T8Q5|A0A140T8Q5_MOUSE, tr|J3QML3|J3QML3_MOUSE, tr|A2CFD5|A2CFD5_MOUSE, tr|J3QN64|J3QN64_MOUSE	tr|A0A7N5P6C3|A0A7N5P6C3_AILME
OG0000029	tr|Q8CF20|Q8CF20_MOUSE	tr|G1LLG9|G1LLG9_AILME, tr|A0A7N5JWG3|A0A7N5JWG3_AILME, tr|A0A7N5KJ76|A0A7N5KJ76_AILME, tr|A0A7N5P257|A0A7N5P257_AILME, tr|A0A7N5JLU7|A0A7N5JLU7_AILME, tr|A0A7N5P3L9|A0A7N5P3L9_AILME, tr|A0A7N5JA07|A0A7N5JA07_AILME, tr|A0A7N5K9G4|A0A7N5K9G4_AILME, tr|G1L3Q1|G1L3Q1_AILME, tr|A0A7N5P5E5|A0A7N5P5E5_AILME, tr|A0A7N5JUF5|A0A7N5JUF5_AILME, tr|A0A7N5KCZ4|A0A7N5KCZ4_AILME, tr|A0A7N5PAT5|A0A7N5PAT5_AILME, tr|G1LE34|G1LE34_AILME, tr|G1LE49|G1LE49_AILME, tr|A0A7N5JBU9|A0A7N5JBU9_AILME, tr|A0A7N5JUF9|A0A7N5JUF9_AILME, tr|A0A7N5JEC7|A0A7N5JEC7_AILME, tr|G1L3Q2|G1L3Q2_AILME, tr|A0A7N5K9Y9|A0A7N5K9Y9_AILME, tr|G1LE39|G1LE39_AILME, tr|A0A7N5JZD3|A0A7N5JZD3_AILME, tr|A0A7N5JWV5|A0A7N5JWV5_AILME, tr|A0A7N5KD90|A0A7N5KD90_AILME, tr|G1LLH3|G1LLH3_AILME
OG0000030	sp|P11260|LORF1_MOUSE	tr|A0A7N5KJD1|A0A7N5KJD1_AILME, tr|A0A7N5KHS1|A0A7N5KHS1_AILME, tr|A0A7N5JPS1|A0A7N5JPS1_AILME, tr|A0A7N5K4G9|A0A7N5K4G9_AILME, tr|A0A7N5JQT2|A0A7N5JQT2_AILME, tr|A0A7N5JTZ0|A0A7N5JTZ0_AILME, tr|A0A7N5P291|A0A7N5P291_AILME, tr|A0A7N5KAG2|A0A7N5KAG2_AILME, tr|A0A7N5JKT2|A0A7N5JKT2_AILME, tr|A0A7N5P1A9|A0A7N5P1A9_AILME, tr|A0A7N5KJB7|A0A7N5KJB7_AILME, tr|A0A7N5KAX2|A0A7N5KAX2_AILME, tr|A0A7N5KTL3|A0A7N5KTL3_AILME, tr|A0A7N5JGG1|A0A7N5JGG1_AILME, tr|A0A7N5JES6|A0A7N5JES6_AILME, tr|A0A7N5KPT2|A0A7N5KPT2_AILME, tr|A0A7N5JNT9|A0A7N5JNT9_AILME, tr|A0A7N5JTR8|A0A7N5JTR8_AILME, tr|A0A7N5KBJ6|A0A7N5KBJ6_AILME, tr|A0A7N5JU65|A0A7N5JU65_AILME, tr|A0A7N5KKE0|A0A7N5KKE0_AILME, tr|A0A7N5K397|A0A7N5K397_AILME, tr|A0A7N5KI70|A0A7N5KI70_AILME, tr|A0A7N5J937|A0A7N5J937_AILME
OG0000031	sp|Q07231|ZSC21_MOUSE	tr|G1LXL3|G1LXL3_AILME
OG0000031	sp|Q9Z1D7|ZSC12_MOUSE	tr|G1L0Q4|G1L0Q4_AILME, tr|A0A7N5KAY0|A0A7N5KAY0_AILME, tr|A0A7N5KE60|A0A7N5KE60_AILME, tr|G1MNJ7|G1MNJ7_AILME, tr|G1LV86|G1LV86_AILME, tr|A0A7N5K9W0|A0A7N5K9W0_AILME
OG0000031	tr|E9PVW1|E9PVW1_MOUSE	tr|A0A7N5KDG7|A0A7N5KDG7_AILME, tr|G1MAA0|G1MAA0_AILME, tr|A0A7N5JJ09|A0A7N5JJ09_AILME, tr|G1LLJ4|G1LLJ4_AILME, tr|A0A7N5K5P5|A0A7N5K5P5_AILME, tr|G1MMS7|G1MMS7_AILME, tr|G1LXP5|G1LXP5_AILME, tr|G1LDQ0|G1LDQ0_AILME, tr|A0A7N5KFA0|A0A7N5KFA0_AILME
OG0000031	sp|Q91VN1|ZNF24_MOUSE	tr|G1L8Y8|G1L8Y8_AILME, tr|A0A7N5P7M9|A0A7N5P7M9_AILME, tr|A0A7N5JUT3|A0A7N5JUT3_AILME, tr|A0A7N5JWJ9|A0A7N5JWJ9_AILME
OG0000034	tr|K9J6X0|K9J6X0_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|L7N475|L7N475_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE	tr|A0A7N5KME5|A0A7N5KME5_AILME, tr|A0A7N5JWR5|A0A7N5JWR5_AILME
OG0000035	sp|Q8VG04|OL478_MOUSE, sp|Q8VG09|OL502_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VG13|OL507_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VF65|OL470_MOUSE	tr|G1LCG5|G1LCG5_AILME
OG0000039	tr|A2BHR2|A2BHR2_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, sp|P02762|MUP6_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|L7N222|L7N222_MOUSE, sp|Q5FW60|MUP20_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, sp|P11591|MUP5_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE	tr|G1LK14|G1LK14_AILME
OG0000043	tr|Q7TS30|Q7TS30_MOUSE	tr|G1MJW1|G1MJW1_AILME, tr|G1MKL0|G1MKL0_AILME, tr|G1ML56|G1ML56_AILME, tr|G1MJS6|G1MJS6_AILME, tr|A0A7N5KAT4|A0A7N5KAT4_AILME, tr|A0A7N5KRN3|A0A7N5KRN3_AILME, tr|G1ML64|G1ML64_AILME, tr|A0A7N5JRQ7|A0A7N5JRQ7_AILME, tr|G1MM58|G1MM58_AILME, tr|G1MKD6|G1MKD6_AILME, tr|G1MN24|G1MN24_AILME, tr|A0A7N5P311|A0A7N5P311_AILME, tr|G1MKC3|G1MKC3_AILME, tr|A0A7N5K099|A0A7N5K099_AILME, tr|A0A7N5PAW2|A0A7N5PAW2_AILME, tr|A0A7N5K7D9|A0A7N5K7D9_AILME, tr|G1LKS1|G1LKS1_AILME, tr|A0A7N5JVB9|A0A7N5JVB9_AILME, tr|G1MKX7|G1MKX7_AILME
OG0000044	tr|Q8VGH2|Q8VGH2_MOUSE	tr|G1MJK2|G1MJK2_AILME
OG0000044	tr|Q7TRT9|Q7TRT9_MOUSE, tr|Q8VGL2|Q8VGL2_MOUSE	tr|G1L8V8|G1L8V8_AILME
OG0000044	tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE	tr|A0A7N5JVR3|A0A7N5JVR3_AILME
OG0000047	tr|Q8VGC2|Q8VGC2_MOUSE	tr|G1L575|G1L575_AILME
OG0000047	tr|Q8VGC5|Q8VGC5_MOUSE, tr|F6VS78|F6VS78_MOUSE	tr|A0A7N5P2C9|A0A7N5P2C9_AILME
OG0000047	tr|Q8VEU0|Q8VEU0_MOUSE, tr|Q8VFZ8|Q8VFZ8_MOUSE, tr|Q8VGI7|Q8VGI7_MOUSE	tr|G1MLL5|G1MLL5_AILME
OG0000047	tr|Q8VGJ0|Q8VGJ0_MOUSE	tr|A0A7N5P7B2|A0A7N5P7B2_AILME
OG0000047	tr|Q8VGC4|Q8VGC4_MOUSE, tr|Q8K501|Q8K501_MOUSE	tr|G1MKD7|G1MKD7_AILME
OG0000052	sp|P18528|HVM57_MOUSE, sp|P18527|HVM56_MOUSE	tr|A0A7N5K2B1|A0A7N5K2B1_AILME, tr|A0A7N5JIT0|A0A7N5JIT0_AILME, tr|A0A7N5JX67|A0A7N5JX67_AILME, tr|A0A7N5JKL7|A0A7N5JKL7_AILME, tr|A0A7N5JQL5|A0A7N5JQL5_AILME, tr|A0A7N5JTC5|A0A7N5JTC5_AILME, tr|A0A7N5JKL3|A0A7N5JKL3_AILME, tr|A0A7N5P1T7|A0A7N5P1T7_AILME, tr|A0A7N5JGZ2|A0A7N5JGZ2_AILME, tr|A0A7N5JA61|A0A7N5JA61_AILME, tr|G1LKP1|G1LKP1_AILME, tr|G1LSF9|G1LSF9_AILME, tr|A0A7N5JC15|A0A7N5JC15_AILME, tr|A0A7N5JIR6|A0A7N5JIR6_AILME, tr|A0A7N5JYN2|A0A7N5JYN2_AILME, tr|G1LQ06|G1LQ06_AILME
OG0000053	tr|Q99PA7|Q99PA7_MOUSE	tr|G1MN82|G1MN82_AILME
OG0000053	tr|G3UW88|G3UW88_MOUSE	tr|G1MNN9|G1MNN9_AILME, tr|A0A7N5JLE9|A0A7N5JLE9_AILME, tr|G1MNI9|G1MNI9_AILME, tr|A0A7N5JJG4|A0A7N5JJG4_AILME, tr|A0A7N5JC25|A0A7N5JC25_AILME, tr|G1LYB0|G1LYB0_AILME
OG0000053	sp|Q8BQR7|MAGBI_MOUSE	tr|G1LM65|G1LM65_AILME, tr|G1MPC0|G1MPC0_AILME
OG0000053	sp|Q9CWV4|MAGBG_MOUSE	tr|G1MLH5|G1MLH5_AILME, tr|G1MLG3|G1MLG3_AILME
OG0000054	tr|Q8VET6|Q8VET6_MOUSE, tr|A1L1B4|A1L1B4_MOUSE	tr|A0A7N5K5Z4|A0A7N5K5Z4_AILME
OG0000054	tr|Q8VGU2|Q8VGU2_MOUSE, tr|A0A0U1RP76|A0A0U1RP76_MOUSE	tr|G1MP79|G1MP79_AILME
OG0000054	tr|Q7TS17|Q7TS17_MOUSE	tr|G1MLM0|G1MLM0_AILME, tr|A0A7N5KKQ1|A0A7N5KKQ1_AILME
OG0000061	sp|P09528|FRIH_MOUSE	tr|G1MEJ6|G1MEJ6_AILME, tr|A0A7N5P9B6|A0A7N5P9B6_AILME, tr|D2I2Y6|D2I2Y6_AILME, tr|A0A7N5KHE1|A0A7N5KHE1_AILME, tr|A0A7N5J831|A0A7N5J831_AILME, tr|A0A7N5KMH5|A0A7N5KMH5_AILME, tr|A0A7N5JZZ5|A0A7N5JZZ5_AILME, tr|A0A7N5KA05|A0A7N5KA05_AILME, tr|A0A7N5JYJ7|A0A7N5JYJ7_AILME, tr|A0A7N5JK24|A0A7N5JK24_AILME, tr|G1ML10|G1ML10_AILME, tr|D2HAR2|D2HAR2_AILME, tr|G1MLX0|G1MLX0_AILME, tr|A0A7N5KEA2|A0A7N5KEA2_AILME, tr|A0A7N5P4E4|A0A7N5P4E4_AILME
OG0000062	sp|Q09143|CTR1_MOUSE	tr|D2H021|D2H021_AILME
OG0000062	tr|E9PWS4|E9PWS4_MOUSE	tr|G1MIB5|G1MIB5_AILME
OG0000062	sp|P70423|CTR3_MOUSE	tr|A0A7N5J9Z8|A0A7N5J9Z8_AILME, tr|A0A7N5KBJ3|A0A7N5KBJ3_AILME, tr|A0A7N5KEU6|A0A7N5KEU6_AILME, tr|A0A7N5K0T7|A0A7N5K0T7_AILME, tr|G1MLS5|G1MLS5_AILME, tr|A0A7N5JMY9|A0A7N5JMY9_AILME, tr|A0A7N5JPA0|A0A7N5JPA0_AILME, tr|A0A7N5P760|A0A7N5P760_AILME, tr|G1MMB4|G1MMB4_AILME, tr|A0A7N5K8H1|A0A7N5K8H1_AILME, tr|G1LS84|G1LS84_AILME
OG0000063	sp|P16125|LDHB_MOUSE	tr|G1MCL4|G1MCL4_AILME, tr|A0A7N5KDV4|A0A7N5KDV4_AILME, tr|G1L798|G1L798_AILME
OG0000063	sp|P06151|LDHA_MOUSE	tr|A0A7N5KDK5|A0A7N5KDK5_AILME, tr|A0A7N5JHB8|A0A7N5JHB8_AILME, tr|A0A7N5P778|A0A7N5P778_AILME, tr|G1MHP1|G1MHP1_AILME
OG0000063	tr|Q8BVP2|Q8BVP2_MOUSE, sp|P00342|LDHC_MOUSE	tr|G1MHP3|G1MHP3_AILME
OG0000064	sp|P07901|HS90A_MOUSE	tr|G1LHN2|G1LHN2_AILME
OG0000064	sp|P11499|HS90B_MOUSE	tr|A0A7N5JNB0|A0A7N5JNB0_AILME, tr|A0A7N5P630|A0A7N5P630_AILME, tr|G1LZE2|G1LZE2_AILME, tr|G1L153|G1L153_AILME, tr|A0A7N5KLT5|A0A7N5KLT5_AILME, tr|A0A7N5J8K9|A0A7N5J8K9_AILME, tr|A0A7N5JMS1|A0A7N5JMS1_AILME, tr|A0A7N5P1Z4|A0A7N5P1Z4_AILME, tr|A0A7N5JJD8|A0A7N5JJD8_AILME, tr|A0A7N5PAT1|A0A7N5PAT1_AILME, tr|A0A7N5K123|A0A7N5K123_AILME, tr|A0A7N5KD10|A0A7N5KD10_AILME, tr|A0A7N5JJX3|A0A7N5JJX3_AILME
OG0000070	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A7N5KNH3|A0A7N5KNH3_AILME
OG0000070	tr|Q8VF85|Q8VF85_MOUSE	tr|A0A7N5K287|A0A7N5K287_AILME
OG0000070	tr|Q8VET0|Q8VET0_MOUSE	tr|D2I550|D2I550_AILME
OG0000070	tr|A2AVW1|A2AVW1_MOUSE	tr|G1MNZ6|G1MNZ6_AILME, tr|A0A7N5JAB2|A0A7N5JAB2_AILME, tr|G1MN33|G1MN33_AILME, tr|G1MM39|G1MM39_AILME, tr|A0A7N5K7M8|A0A7N5K7M8_AILME, tr|A0A7N5J8E2|A0A7N5J8E2_AILME, tr|A0A7N5JV85|A0A7N5JV85_AILME, tr|G1LGA6|G1LGA6_AILME
