Orthogroup	Mus_musculus	Odocoileus_virginianus_texanus
OG0000008	sp|P17141|ZFP37_MOUSE	tr|A0A6J0ZDA2|A0A6J0ZDA2_ODOVR, tr|A0A6J0YCI1|A0A6J0YCI1_ODOVR, tr|A0A6J0XT23|A0A6J0XT23_ODOVR, tr|A0A6J0VI05|A0A6J0VI05_ODOVR
OG0000008	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A6J0YX32|A0A6J0YX32_ODOVR, tr|A0A6J0YYD6|A0A6J0YYD6_ODOVR, tr|A0A6J0YX37|A0A6J0YX37_ODOVR, tr|A0A6J0YYE7|A0A6J0YYE7_ODOVR, tr|A0A6J0YWL3|A0A6J0YWL3_ODOVR, tr|A0A6J0YIC7|A0A6J0YIC7_ODOVR, tr|A0A6J0YJK0|A0A6J0YJK0_ODOVR, tr|A0A6J0YHY3|A0A6J0YHY3_ODOVR
OG0000012	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A6J0WP46|A0A6J0WP46_ODOVR
OG0000012	tr|G3UW88|G3UW88_MOUSE	tr|A0A6J0VMT3|A0A6J0VMT3_ODOVR, tr|A0A6J0VT09|A0A6J0VT09_ODOVR, tr|A0A6J0VS15|A0A6J0VS15_ODOVR, tr|A0A6J0VMS9|A0A6J0VMS9_ODOVR, tr|A0A6J0VMR8|A0A6J0VMR8_ODOVR, tr|A0A6J0ZAK5|A0A6J0ZAK5_ODOVR, tr|A0A6J0Z9H3|A0A6J0Z9H3_ODOVR, tr|A0A6J0ZAZ2|A0A6J0ZAZ2_ODOVR, tr|A0A6J0WTM9|A0A6J0WTM9_ODOVR, tr|A0A6J0VNG3|A0A6J0VNG3_ODOVR, tr|A0A6J0VNI5|A0A6J0VNI5_ODOVR, tr|A0A6J0Z9C0|A0A6J0Z9C0_ODOVR, tr|A0A6J0VXW6|A0A6J0VXW6_ODOVR
OG0000012	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A6J0YNL3|A0A6J0YNL3_ODOVR, tr|A0A6J0WXQ8|A0A6J0WXQ8_ODOVR, tr|A0A6J0ZEU9|A0A6J0ZEU9_ODOVR, tr|A0A6J0Z8U5|A0A6J0Z8U5_ODOVR, tr|A0A6J0YAM3|A0A6J0YAM3_ODOVR, tr|A0A6J0YYL9|A0A6J0YYL9_ODOVR, tr|A0A6J0Y7F5|A0A6J0Y7F5_ODOVR, tr|A0A6J0ZEZ6|A0A6J0ZEZ6_ODOVR, tr|A0A6J0YJJ4|A0A6J0YJJ4_ODOVR, tr|A0A6J0YUI4|A0A6J0YUI4_ODOVR, tr|A0A6J0VLS9|A0A6J0VLS9_ODOVR, tr|A0A6J0YLC8|A0A6J0YLC8_ODOVR, tr|A0A6J0VZK5|A0A6J0VZK5_ODOVR, tr|A0A6J0VYW4|A0A6J0VYW4_ODOVR, tr|A0A6J0YU45|A0A6J0YU45_ODOVR, tr|A0A6J0VLN6|A0A6J0VLN6_ODOVR, tr|A0A6J0YC87|A0A6J0YC87_ODOVR, tr|A0A6J0W3T3|A0A6J0W3T3_ODOVR, tr|A0A6J0W907|A0A6J0W907_ODOVR, tr|A0A6J0WHW2|A0A6J0WHW2_ODOVR
OG0000018	tr|Q8VFQ1|Q8VFQ1_MOUSE	tr|A0A6J0X355|A0A6J0X355_ODOVR
OG0000018	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A6J0VTL8|A0A6J0VTL8_ODOVR
OG0000018	tr|E9PWF9|E9PWF9_MOUSE	tr|A0A6J0VKU8|A0A6J0VKU8_ODOVR, tr|A0A6J0YE95|A0A6J0YE95_ODOVR, tr|A0A6J0VH78|A0A6J0VH78_ODOVR, tr|A0A6J0VIP2|A0A6J0VIP2_ODOVR, tr|A0A6J0VUM4|A0A6J0VUM4_ODOVR, tr|A0A6J0YCD8|A0A6J0YCD8_ODOVR
OG0000018	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A6J0Z7P4|A0A6J0Z7P4_ODOVR, tr|A0A6J0XA14|A0A6J0XA14_ODOVR, tr|A0A6J0X7E9|A0A6J0X7E9_ODOVR, tr|A0A6J0YLC5|A0A6J0YLC5_ODOVR, tr|A0A6J0YCF3|A0A6J0YCF3_ODOVR, tr|A0A6J0YAT3|A0A6J0YAT3_ODOVR, tr|A0A6J0YC69|A0A6J0YC69_ODOVR, tr|A0A6J0YAY7|A0A6J0YAY7_ODOVR
OG0000018	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A6J0X189|A0A6J0X189_ODOVR, tr|A0A6J0X3R3|A0A6J0X3R3_ODOVR, tr|A0A6J0WYY7|A0A6J0WYY7_ODOVR, tr|A0A6J0X7H0|A0A6J0X7H0_ODOVR
OG0000018	sp|P23275|OLF15_MOUSE	tr|A0A6J0VWX1|A0A6J0VWX1_ODOVR, tr|A0A6J0YCD4|A0A6J0YCD4_ODOVR, tr|A0A6J0Y3U9|A0A6J0Y3U9_ODOVR, tr|A0A6J0VYB1|A0A6J0VYB1_ODOVR, tr|A0A6J0VTW6|A0A6J0VTW6_ODOVR, tr|A0A6J0VWY9|A0A6J0VWY9_ODOVR, tr|A0A6J0Z6K3|A0A6J0Z6K3_ODOVR
OG0000019	sp|Q7TNU6|ZN250_MOUSE	tr|A0A6J0WL18|A0A6J0WL18_ODOVR
OG0000019	tr|Q5U406|Q5U406_MOUSE	tr|A0A6J0VT97|A0A6J0VT97_ODOVR, tr|A0A6J0WBW8|A0A6J0WBW8_ODOVR, tr|A0A6J0W830|A0A6J0W830_ODOVR, tr|A0A6J0YPJ3|A0A6J0YPJ3_ODOVR, tr|A0A6J0YIC1|A0A6J0YIC1_ODOVR, tr|A0A6J0Z9J2|A0A6J0Z9J2_ODOVR, tr|A0A6J0VWH1|A0A6J0VWH1_ODOVR, tr|A0A6J0WBW3|A0A6J0WBW3_ODOVR, tr|A0A6J0XNC3|A0A6J0XNC3_ODOVR, tr|A0A6J0X3W7|A0A6J0X3W7_ODOVR, tr|A0A6J0YMI4|A0A6J0YMI4_ODOVR
OG0000019	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A6J0VPS0|A0A6J0VPS0_ODOVR, tr|A0A6J0VKL6|A0A6J0VKL6_ODOVR
OG0000019	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A6J0XIL7|A0A6J0XIL7_ODOVR, tr|A0A6J0WBW0|A0A6J0WBW0_ODOVR, tr|A0A6J0YIL2|A0A6J0YIL2_ODOVR, tr|A0A6J0VPT9|A0A6J0VPT9_ODOVR, tr|A0A6J0Z4W6|A0A6J0Z4W6_ODOVR, tr|A0A6J0XG97|A0A6J0XG97_ODOVR, tr|A0A6J0VUW2|A0A6J0VUW2_ODOVR, tr|A0A6J0WD21|A0A6J0WD21_ODOVR, tr|A0A6J0VQ54|A0A6J0VQ54_ODOVR
OG0000031	tr|A0A286YDM5|A0A286YDM5_MOUSE	tr|A0A6J0Y708|A0A6J0Y708_ODOVR, tr|A0A6J0Y671|A0A6J0Y671_ODOVR, tr|A0A6J0Y661|A0A6J0Y661_ODOVR, tr|A0A6J0Y6V0|A0A6J0Y6V0_ODOVR
OG0000031	tr|Q8VGU2|Q8VGU2_MOUSE	tr|A0A6J0YP08|A0A6J0YP08_ODOVR
OG0000031	tr|A0A0U1RP76|A0A0U1RP76_MOUSE	tr|A0A6J0YQT6|A0A6J0YQT6_ODOVR, tr|A0A6J0YQV0|A0A6J0YQV0_ODOVR
OG0000031	tr|A1L1B4|A1L1B4_MOUSE, tr|Q8VET6|Q8VET6_MOUSE	tr|A0A6J0YQH0|A0A6J0YQH0_ODOVR, tr|A0A6J0YLG3|A0A6J0YLG3_ODOVR, tr|A0A6J0Y700|A0A6J0Y700_ODOVR, tr|A0A6J0YL30|A0A6J0YL30_ODOVR, tr|A0A6J0YLI8|A0A6J0YLI8_ODOVR, tr|A0A6J0YL11|A0A6J0YL11_ODOVR, tr|A0A6J0YLD1|A0A6J0YLD1_ODOVR, tr|A0A6J0Y665|A0A6J0Y665_ODOVR, tr|A0A6J0Y639|A0A6J0Y639_ODOVR, tr|A0A6J0Y6T9|A0A6J0Y6T9_ODOVR, tr|A0A6J0Y655|A0A6J0Y655_ODOVR
OG0000032	tr|A2AVW1|A2AVW1_MOUSE	tr|A0A6J0YTT2|A0A6J0YTT2_ODOVR
OG0000032	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A6J0Z2I6|A0A6J0Z2I6_ODOVR
OG0000032	tr|A2AVW3|A2AVW3_MOUSE	tr|A0A6J0VWR2|A0A6J0VWR2_ODOVR
OG0000032	tr|Q7TQY0|Q7TQY0_MOUSE	tr|A0A6J0Z587|A0A6J0Z587_ODOVR, tr|A0A6J0WKY5|A0A6J0WKY5_ODOVR, tr|A0A6J0WLX0|A0A6J0WLX0_ODOVR, tr|A0A6J0Z2F4|A0A6J0Z2F4_ODOVR, tr|A0A6J0Z3U9|A0A6J0Z3U9_ODOVR, tr|A0A6J0Z4G0|A0A6J0Z4G0_ODOVR, tr|A0A6J0Z582|A0A6J0Z582_ODOVR, tr|A0A6J0VJ06|A0A6J0VJ06_ODOVR, tr|A0A6J0VMK8|A0A6J0VMK8_ODOVR, tr|A0A6J0Y400|A0A6J0Y400_ODOVR, tr|A0A6J0Y436|A0A6J0Y436_ODOVR, tr|A0A6J0Y4U9|A0A6J0Y4U9_ODOVR, tr|A0A6J0Y4R3|A0A6J0Y4R3_ODOVR, tr|A0A6J0YRL4|A0A6J0YRL4_ODOVR, tr|A0A6J0YS75|A0A6J0YS75_ODOVR, tr|A0A6J0YTY5|A0A6J0YTY5_ODOVR, tr|A0A6J0Y3W8|A0A6J0Y3W8_ODOVR, tr|A0A6J0YRL0|A0A6J0YRL0_ODOVR, tr|A0A6J0YS79|A0A6J0YS79_ODOVR
OG0000033	tr|Q9EQA9|Q9EQA9_MOUSE	tr|A0A6J0YTC4|A0A6J0YTC4_ODOVR
OG0000033	tr|Q8VG50|Q8VG50_MOUSE	tr|A0A6J0YVJ3|A0A6J0YVJ3_ODOVR, tr|A0A6J0YTV6|A0A6J0YTV6_ODOVR, tr|A0A6J0YY00|A0A6J0YY00_ODOVR, tr|A0A6J0YGA4|A0A6J0YGA4_ODOVR, tr|A0A6J0VNA7|A0A6J0VNA7_ODOVR, tr|A0A6J0VME2|A0A6J0VME2_ODOVR, tr|A0A6J0Z969|A0A6J0Z969_ODOVR, tr|A0A6J0VMJ0|A0A6J0VMJ0_ODOVR, tr|A0A6J0W012|A0A6J0W012_ODOVR, tr|A0A6J0VQW0|A0A6J0VQW0_ODOVR, tr|A0A6J0ZAF4|A0A6J0ZAF4_ODOVR, tr|A0A6J0YHV6|A0A6J0YHV6_ODOVR, tr|A0A6J0VIZ4|A0A6J0VIZ4_ODOVR, tr|A0A6J0WGB5|A0A6J0WGB5_ODOVR, tr|A0A6J0Z9B2|A0A6J0Z9B2_ODOVR, tr|A0A6J0ZAT7|A0A6J0ZAT7_ODOVR, tr|A0A6J0Z973|A0A6J0Z973_ODOVR, tr|A0A6J0ZAC5|A0A6J0ZAC5_ODOVR, tr|A0A6J0ZF31|A0A6J0ZF31_ODOVR, tr|A0A6J0YVD2|A0A6J0YVD2_ODOVR, tr|A0A6J0YVV1|A0A6J0YVV1_ODOVR, tr|A0A6J0YTU7|A0A6J0YTU7_ODOVR, tr|A0A6J0YTJ0|A0A6J0YTJ0_ODOVR, tr|A0A6J0YVC7|A0A6J0YVC7_ODOVR, tr|A0A6J0YVI8|A0A6J0YVI8_ODOVR, tr|A0A6J0ZBU3|A0A6J0ZBU3_ODOVR
OG0000034	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A6J0ZD93|A0A6J0ZD93_ODOVR
OG0000034	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A6J0X3T9|A0A6J0X3T9_ODOVR
OG0000034	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A6J0X3S9|A0A6J0X3S9_ODOVR
OG0000034	tr|Q8VF41|Q8VF41_MOUSE	tr|A0A6J0Y414|A0A6J0Y414_ODOVR, tr|A0A6J0Y4V1|A0A6J0Y4V1_ODOVR, tr|A0A6J0Y429|A0A6J0Y429_ODOVR, tr|A0A6J0YRX5|A0A6J0YRX5_ODOVR, tr|A0A6J0Y4U4|A0A6J0Y4U4_ODOVR, tr|A0A6J0Y3Z4|A0A6J0Y3Z4_ODOVR, tr|A0A6J0Y3X2|A0A6J0Y3X2_ODOVR
OG0000034	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A6J0ZE64|A0A6J0ZE64_ODOVR, tr|A0A6J0ZDB9|A0A6J0ZDB9_ODOVR, tr|A0A6J0ZEQ9|A0A6J0ZEQ9_ODOVR, tr|A0A6J0ZER5|A0A6J0ZER5_ODOVR, tr|A0A6J0ZFL8|A0A6J0ZFL8_ODOVR
OG0000036	sp|P07744|K2C4_MOUSE	tr|A0A6J0XLV9|A0A6J0XLV9_ODOVR
OG0000036	sp|Q8VED5|K2C79_MOUSE	tr|A0A6J0XMC4|A0A6J0XMC4_ODOVR
OG0000036	sp|Q9DCV7|K2C7_MOUSE	tr|A0A6J0XNV5|A0A6J0XNV5_ODOVR, tr|A0A6J0Z8W4|A0A6J0Z8W4_ODOVR, tr|A0A6J0XLB8|A0A6J0XLB8_ODOVR, tr|A0A6J0Z8S2|A0A6J0Z8S2_ODOVR, tr|A0A6J0ZA11|A0A6J0ZA11_ODOVR, tr|A0A6J0YR11|A0A6J0YR11_ODOVR
OG0000036	sp|Q6IME9|K2C72_MOUSE	tr|A0A6J0XMB8|A0A6J0XMB8_ODOVR
OG0000036	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A6J0XMB2|A0A6J0XMB2_ODOVR
OG0000036	sp|Q6NXH9|K2C73_MOUSE	tr|A0A6J0XRD7|A0A6J0XRD7_ODOVR
OG0000036	sp|Q9R0H5|K2C71_MOUSE	tr|A0A6J0XRD2|A0A6J0XRD2_ODOVR
OG0000036	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A6J0XNW5|A0A6J0XNW5_ODOVR, tr|A0A6J0XNW0|A0A6J0XNW0_ODOVR, tr|A0A6J0XLV5|A0A6J0XLV5_ODOVR
OG0000039	sp|P18581|CTR2_MOUSE	tr|A0A6J0ZEV2|A0A6J0ZEV2_ODOVR
