Orthogroup	Mus_musculus	Balaenoptera_physalus
OG0000008	sp|Q8R2V3|ZN445_MOUSE	tr|A0A643BLQ5|A0A643BLQ5_BALPH
OG0000008	tr|E9PVW1|E9PVW1_MOUSE	tr|A0A643BLS0|A0A643BLS0_BALPH, tr|A0A643BMF5|A0A643BMF5_BALPH
OG0000008	sp|Q3URU2|PEG3_MOUSE	tr|A0A643BSZ5|A0A643BSZ5_BALPH
OG0000008	sp|Q9EQB9|ZN287_MOUSE	tr|A0A643CIM2|A0A643CIM2_BALPH
OG0000008	tr|A2ALW2|A2ALW2_MOUSE	tr|A0A643ATD8|A0A643ATD8_BALPH
OG0000008	sp|Q810A1|ZNF18_MOUSE	tr|A0A6A1QAE4|A0A6A1QAE4_BALPH
OG0000008	tr|E9QAW0|E9QAW0_MOUSE	tr|A0A6A1Q6E9|A0A6A1Q6E9_BALPH
OG0000008	tr|Q8CB76|Q8CB76_MOUSE	tr|A0A6A1Q6E1|A0A6A1Q6E1_BALPH, tr|A0A6A1Q8X6|A0A6A1Q8X6_BALPH
OG0000008	sp|Q8CF60|ZN263_MOUSE	tr|A0A6A1QAV6|A0A6A1QAV6_BALPH
OG0000008	tr|Q8C879|Q8C879_MOUSE	tr|A0A643CDK7|A0A643CDK7_BALPH
OG0000008	sp|Q9Z1D7|ZSC12_MOUSE	tr|A0A6A1Q3A7|A0A6A1Q3A7_BALPH, tr|A0A6A1Q5H7|A0A6A1Q5H7_BALPH
OG0000008	tr|Q8BSL0|Q8BSL0_MOUSE	tr|A0A6A1Q3X3|A0A6A1Q3X3_BALPH, tr|A0A6A1Q5B0|A0A6A1Q5B0_BALPH, tr|A0A6A1QGX1|A0A6A1QGX1_BALPH, tr|A0A6A1Q9L3|A0A6A1Q9L3_BALPH
OG0000012	tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|F8VQ18|F8VQ18_MOUSE, tr|E9Q554|E9Q554_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE, tr|Q8VH17|Q8VH17_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|K7N609|K7N609_MOUSE, tr|L7N462|L7N462_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|Q8VH11|Q8VH11_MOUSE, tr|Q8VH14|Q8VH14_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VF02|Q8VF02_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|Q8VH21|Q8VH21_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|E9Q7P5|E9Q7P5_MOUSE, tr|Q8VGX6|Q8VGX6_MOUSE, tr|Q9EPN9|Q9EPN9_MOUSE, tr|F8VQ01|F8VQ01_MOUSE, tr|F8VPZ8|F8VPZ8_MOUSE, tr|E9Q382|E9Q382_MOUSE, tr|A0A1B0GSF4|A0A1B0GSF4_MOUSE, tr|E9PZ66|E9PZ66_MOUSE, tr|F8VQI7|F8VQI7_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|K7N6B1|K7N6B1_MOUSE	tr|A0A643C268|A0A643C268_BALPH
OG0000013	tr|Q7TR89|Q7TR89_MOUSE, tr|A2ATE0|A2ATE0_MOUSE, tr|Q7TR87|Q7TR87_MOUSE, tr|A0A1L1ST14|A0A1L1ST14_MOUSE, tr|Q7TR85|Q7TR85_MOUSE, tr|A2ATE5|A2ATE5_MOUSE, tr|Q8VFK5|Q8VFK5_MOUSE, sp|Q8VFL5|O1030_MOUSE, tr|A0A140T8K3|A0A140T8K3_MOUSE, tr|Q7TR90|Q7TR90_MOUSE, tr|A2ASU6|A2ASU6_MOUSE, tr|L7MTT3|L7MTT3_MOUSE, tr|A2ASU7|A2ASU7_MOUSE, tr|Q8VFZ3|Q8VFZ3_MOUSE, tr|Q7TR81|Q7TR81_MOUSE, tr|A2ARY0|A2ARY0_MOUSE, tr|A2ARY1|A2ARY1_MOUSE, tr|Q8VFK4|Q8VFK4_MOUSE, tr|Q7TR84|Q7TR84_MOUSE, sp|Q8VGS1|O1038_MOUSE, sp|Q8VGR9|O1044_MOUSE, tr|Q8VFL0|Q8VFL0_MOUSE, tr|Q7TR80|Q7TR80_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q7TR71|Q7TR71_MOUSE, tr|Q8VGC7|Q8VGC7_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|Q7TR76|Q7TR76_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|Q7TR79|Q7TR79_MOUSE, tr|Q8VGS0|Q8VGS0_MOUSE, tr|Q7TR63|Q7TR63_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, tr|A2AVY0|A2AVY0_MOUSE, tr|A2AVX9|A2AVX9_MOUSE	tr|A0A6A1Q298|A0A6A1Q298_BALPH
OG0000015	tr|Q9DAR5|Q9DAR5_MOUSE, tr|A0A286YDG0|A0A286YDG0_MOUSE, tr|Q5EBJ2|Q5EBJ2_MOUSE, tr|D3YXI8|D3YXI8_MOUSE, tr|L7N292|L7N292_MOUSE, tr|D3Z236|D3Z236_MOUSE, tr|L7N2D0|L7N2D0_MOUSE, tr|D3Z235|D3Z235_MOUSE, tr|E9Q7X3|E9Q7X3_MOUSE, tr|Q497L3|Q497L3_MOUSE, tr|Q6P8I2|Q6P8I2_MOUSE, tr|F6XGJ4|F6XGJ4_MOUSE, tr|F6YU13|F6YU13_MOUSE, tr|L7N234|L7N234_MOUSE, tr|J3KMT2|J3KMT2_MOUSE, tr|F6T8D7|F6T8D7_MOUSE, tr|L7N2B0|L7N2B0_MOUSE, tr|J3QM56|J3QM56_MOUSE, tr|J3QN18|J3QN18_MOUSE, tr|F7D8Y4|F7D8Y4_MOUSE, tr|M0QWQ9|M0QWQ9_MOUSE, tr|M0QW51|M0QW51_MOUSE, tr|K7N6U8|K7N6U8_MOUSE, tr|E9Q0P0|E9Q0P0_MOUSE, tr|E9PXN0|E9PXN0_MOUSE, tr|L7N2E0|L7N2E0_MOUSE, tr|F6QI24|F6QI24_MOUSE, tr|F6WLE9|F6WLE9_MOUSE, tr|F7CFJ3|F7CFJ3_MOUSE, tr|L7N2C7|L7N2C7_MOUSE, tr|F7BY56|F7BY56_MOUSE, tr|F6ZIG1|F6ZIG1_MOUSE, tr|K7N6Z0|K7N6Z0_MOUSE, tr|E9Q0A2|E9Q0A2_MOUSE, tr|F6YHC1|F6YHC1_MOUSE, tr|F6U3N7|F6U3N7_MOUSE, tr|F6YKY3|F6YKY3_MOUSE, tr|F7ANP4|F7ANP4_MOUSE, tr|L7N271|L7N271_MOUSE, tr|L7N471|L7N471_MOUSE, tr|F6ZMY5|F6ZMY5_MOUSE, tr|F7C9A1|F7C9A1_MOUSE, tr|K7N749|K7N749_MOUSE, tr|E9Q528|E9Q528_MOUSE, tr|F7BAX1|F7BAX1_MOUSE, tr|F7AXR3|F7AXR3_MOUSE, tr|F6SKY8|F6SKY8_MOUSE, tr|L7N218|L7N218_MOUSE	tr|A0A6A1QGA5|A0A6A1QGA5_BALPH
OG0000016	sp|Q60882|OL145_MOUSE	tr|A0A643BLE0|A0A643BLE0_BALPH
OG0000016	tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, tr|Q8VF62|Q8VF62_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE, sp|Q60886|OL147_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q9EQA9|Q9EQA9_MOUSE, tr|Q8VGB4|Q8VGB4_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|K7N678|K7N678_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|L7N210|L7N210_MOUSE, sp|P34985|OL143_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE, tr|E9Q891|E9Q891_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|E9Q843|E9Q843_MOUSE	tr|A0A643BLD8|A0A643BLD8_BALPH
OG0000025	tr|Q91Y10|Q91Y10_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91Y09|Q91Y09_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, sp|Q91Y11|PCDA9_MOUSE, sp|Q91Y20|PCDAA_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, sp|O88689|PCDA4_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, sp|Q91Y13|PCDA7_MOUSE	tr|A0A643BLC9|A0A643BLC9_BALPH
OG0000029	sp|P10126|EF1A1_MOUSE	tr|A0A6A1QFY7|A0A6A1QFY7_BALPH, tr|A0A643C034|A0A643C034_BALPH
OG0000029	sp|P62631|EF1A2_MOUSE	tr|A0A643BWQ1|A0A643BWQ1_BALPH, tr|A0A6A1Q9Y2|A0A6A1Q9Y2_BALPH, tr|A0A643CAV8|A0A643CAV8_BALPH, tr|A0A643C113|A0A643C113_BALPH, tr|A0A643C1B0|A0A643C1B0_BALPH, tr|A0A643ATL6|A0A643ATL6_BALPH, tr|A0A643C314|A0A643C314_BALPH, tr|A0A643BQ07|A0A643BQ07_BALPH, tr|A0A643BR89|A0A643BR89_BALPH, tr|A0A643C002|A0A643C002_BALPH, tr|A0A643C6I6|A0A643C6I6_BALPH, tr|A0A643BUA6|A0A643BUA6_BALPH, tr|A0A6A1Q974|A0A6A1Q974_BALPH, tr|A0A643BMQ6|A0A643BMQ6_BALPH, tr|A0A643BV84|A0A643BV84_BALPH, tr|A0A6A1Q986|A0A6A1Q986_BALPH, tr|A0A643CE86|A0A643CE86_BALPH, tr|A0A643CIQ8|A0A643CIQ8_BALPH, tr|A0A6A1QCY8|A0A6A1QCY8_BALPH, tr|A0A643C8P1|A0A643C8P1_BALPH, tr|A0A643BQI4|A0A643BQI4_BALPH, tr|A0A643BTL2|A0A643BTL2_BALPH, tr|A0A643C248|A0A643C248_BALPH, tr|A0A643C084|A0A643C084_BALPH, tr|A0A643CD14|A0A643CD14_BALPH, tr|A0A643C702|A0A643C702_BALPH, tr|A0A643BN75|A0A643BN75_BALPH, tr|A0A643BQG0|A0A643BQG0_BALPH, tr|A0A643C8U4|A0A643C8U4_BALPH, tr|A0A643CEY5|A0A643CEY5_BALPH
OG0000030	sp|Q8VG04|OL478_MOUSE	tr|A0A643C4M7|A0A643C4M7_BALPH
OG0000030	sp|Q8VG09|OL502_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VG13|OL507_MOUSE, sp|Q8VEW6|OL510_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG05|OL483_MOUSE, tr|Q7TR58|Q7TR58_MOUSE, sp|Q8VGI6|OL477_MOUSE, sp|Q8VGI4|OL476_MOUSE, sp|Q8VG44|OL473_MOUSE, sp|Q8VFC9|OL474_MOUSE, sp|Q8VG43|OL472_MOUSE, sp|Q8VG06|OL491_MOUSE, sp|Q8VG42|OL508_MOUSE, sp|Q8VEZ0|OL480_MOUSE, sp|Q8VGI5|OL481_MOUSE, tr|L7N455|L7N455_MOUSE	tr|A0A643BK45|A0A643BK45_BALPH
OG0000036	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A643CIQ2|A0A643CIQ2_BALPH, tr|A0A643AUM6|A0A643AUM6_BALPH, tr|A0A643CJY6|A0A643CJY6_BALPH, tr|A0A6A1Q2Q7|A0A6A1Q2Q7_BALPH, tr|A0A6A1Q2P8|A0A6A1Q2P8_BALPH, tr|A0A643C586|A0A643C586_BALPH, tr|A0A643C537|A0A643C537_BALPH, tr|A0A6A1Q5A1|A0A6A1Q5A1_BALPH, tr|A0A6A1Q5H1|A0A6A1Q5H1_BALPH
OG0000036	sp|Q64522|H2A2B_MOUSE	tr|A0A643C558|A0A643C558_BALPH
OG0000036	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A643C309|A0A643C309_BALPH, tr|A0A6A1Q926|A0A6A1Q926_BALPH, tr|A0A6A1QLJ8|A0A6A1QLJ8_BALPH, tr|A0A643C5R2|A0A643C5R2_BALPH, tr|A0A6A1QBL5|A0A6A1QBL5_BALPH
OG0000036	sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE6|H2A1I_MOUSE	tr|A0A643CIG8|A0A643CIG8_BALPH
OG0000036	sp|Q8BFU2|H2A3_MOUSE	tr|A0A643CJD5|A0A643CJD5_BALPH
OG0000037	tr|Q9WV19|Q9WV19_MOUSE, sp|P56593|CP2AC_MOUSE, tr|B2RXZ2|B2RXZ2_MOUSE, sp|P20852|CP2A5_MOUSE, sp|P15392|CP2A4_MOUSE, sp|O55071|CP2BJ_MOUSE, sp|P12791|CP2BA_MOUSE, sp|P12790|CP2B9_MOUSE, tr|A6H6J2|A6H6J2_MOUSE, tr|E9Q593|E9Q593_MOUSE, tr|E9PWV0|E9PWV0_MOUSE, sp|E9Q816|CP2W1_MOUSE, sp|P33267|CP2F2_MOUSE, sp|E9Q5K4|CP2CN_MOUSE, sp|Q05421|CP2E1_MOUSE, tr|Q148B1|Q148B1_MOUSE, tr|Q5GLZ0|Q5GLZ0_MOUSE, sp|Q9D816|CP255_MOUSE, sp|Q91W64|CP270_MOUSE, sp|P56655|CP238_MOUSE, sp|P56656|CP239_MOUSE, sp|Q64458|CP2CT_MOUSE, sp|P56654|CP237_MOUSE, sp|Q91X77|CY250_MOUSE, sp|Q6XVG2|CP254_MOUSE, tr|E9PXC3|E9PXC3_MOUSE, tr|Q569X9|Q569X9_MOUSE, sp|P56657|CP240_MOUSE, tr|K7N6C2|K7N6C2_MOUSE	tr|A0A643C8Z2|A0A643C8Z2_BALPH
