Orthogroup	Mus_musculus	Trichechus_manatus_latirostris
OG0000017	sp|P10755|ZFP14_MOUSE	tr|A0A2Y9E6P4|A0A2Y9E6P4_TRIMA, tr|A0A2Y9G186|A0A2Y9G186_TRIMA, tr|A0A2Y9G2Z7|A0A2Y9G2Z7_TRIMA, tr|A0A2Y9RFA8|A0A2Y9RFA8_TRIMA, tr|A0A2Y9R9V8|A0A2Y9R9V8_TRIMA, tr|A0A2Y9RA64|A0A2Y9RA64_TRIMA, tr|A0A2Y9RJ68|A0A2Y9RJ68_TRIMA, tr|A0A2Y9RC39|A0A2Y9RC39_TRIMA, tr|A0A2Y9RCL2|A0A2Y9RCL2_TRIMA, tr|A0A2Y9RKU1|A0A2Y9RKU1_TRIMA, tr|A0A2Y9R9X1|A0A2Y9R9X1_TRIMA, tr|A0A2Y9RKW6|A0A2Y9RKW6_TRIMA, tr|A0A2Y9G290|A0A2Y9G290_TRIMA, tr|A0A2Y9RCL8|A0A2Y9RCL8_TRIMA, tr|A0A2Y9RJL9|A0A2Y9RJL9_TRIMA, tr|A0A2Y9RJP5|A0A2Y9RJP5_TRIMA, tr|A0A2Y9QUD0|A0A2Y9QUD0_TRIMA, tr|A0A2Y9RJS7|A0A2Y9RJS7_TRIMA, tr|A0A2Y9RKT6|A0A2Y9RKT6_TRIMA, tr|A0A2Y9RKB2|A0A2Y9RKB2_TRIMA, tr|A0A2Y9RCU8|A0A2Y9RCU8_TRIMA, tr|A0A2Y9R9E1|A0A2Y9R9E1_TRIMA, tr|A0A2Y9RKB7|A0A2Y9RKB7_TRIMA, tr|A0A2Y9RL34|A0A2Y9RL34_TRIMA, tr|A0A2Y9RUC3|A0A2Y9RUC3_TRIMA, tr|A0A2Y9RSY2|A0A2Y9RSY2_TRIMA, tr|A0A2Y9RYA2|A0A2Y9RYA2_TRIMA, tr|A0A2Y9RTN3|A0A2Y9RTN3_TRIMA, tr|A0A2Y9QJ99|A0A2Y9QJ99_TRIMA, tr|A0A2Y9G4B0|A0A2Y9G4B0_TRIMA, tr|A0A2Y9QQM4|A0A2Y9QQM4_TRIMA, tr|A0A2Y9RTZ6|A0A2Y9RTZ6_TRIMA, tr|A0A2Y9S1T7|A0A2Y9S1T7_TRIMA, tr|A0A2Y9S112|A0A2Y9S112_TRIMA, tr|A0A2Y9RR03|A0A2Y9RR03_TRIMA, tr|A0A2Y9G0Y4|A0A2Y9G0Y4_TRIMA, tr|A0A2Y9S300|A0A2Y9S300_TRIMA
OG0000021	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A2Y9FZP1|A0A2Y9FZP1_TRIMA, tr|A0A2Y9RN44|A0A2Y9RN44_TRIMA, tr|A0A2Y9RIP3|A0A2Y9RIP3_TRIMA, tr|A0A2Y9E0Z3|A0A2Y9E0Z3_TRIMA, tr|A0A2Y9E2R8|A0A2Y9E2R8_TRIMA, tr|A0A2Y9G0W5|A0A2Y9G0W5_TRIMA, tr|A0A2Y9RL05|A0A2Y9RL05_TRIMA, tr|A0A2Y9RKA7|A0A2Y9RKA7_TRIMA, tr|A0A2Y9RFH7|A0A2Y9RFH7_TRIMA, tr|A0A2Y9QWN0|A0A2Y9QWN0_TRIMA, tr|A0A2Y9RJV8|A0A2Y9RJV8_TRIMA, tr|A0A2Y9RA39|A0A2Y9RA39_TRIMA, tr|A0A2Y9RA44|A0A2Y9RA44_TRIMA, tr|A0A2Y9RFF8|A0A2Y9RFF8_TRIMA, tr|A0A2Y9RFH0|A0A2Y9RFH0_TRIMA, tr|A0A2Y9RJS2|A0A2Y9RJS2_TRIMA, tr|A0A2Y9RJM6|A0A2Y9RJM6_TRIMA, tr|A0A2Y9R9W2|A0A2Y9R9W2_TRIMA, tr|A0A2Y9FYP6|A0A2Y9FYP6_TRIMA, tr|A0A2Y9RFF3|A0A2Y9RFF3_TRIMA, tr|A0A2Y9FYM4|A0A2Y9FYM4_TRIMA, tr|A0A2Y9RJM4|A0A2Y9RJM4_TRIMA, tr|A0A2Y9RJQ0|A0A2Y9RJQ0_TRIMA, tr|A0A2Y9RCN3|A0A2Y9RCN3_TRIMA, tr|A0A2Y9RJ63|A0A2Y9RJ63_TRIMA, tr|A0A2Y9RFI5|A0A2Y9RFI5_TRIMA, tr|A0A2Y9RCQ8|A0A2Y9RCQ8_TRIMA, tr|A0A2Y9G266|A0A2Y9G266_TRIMA, tr|A0A2Y9RCW2|A0A2Y9RCW2_TRIMA, tr|A0A2Y9R9D6|A0A2Y9R9D6_TRIMA, tr|A0A2Y9RFG6|A0A2Y9RFG6_TRIMA, tr|A0A2Y9RFE2|A0A2Y9RFE2_TRIMA, tr|A0A2Y9RCS9|A0A2Y9RCS9_TRIMA, tr|A0A2Y9RKV9|A0A2Y9RKV9_TRIMA, tr|A0A2Y9RA34|A0A2Y9RA34_TRIMA, tr|A0A2Y9RCP3|A0A2Y9RCP3_TRIMA, tr|A0A2Y9RJT7|A0A2Y9RJT7_TRIMA, tr|A0A2Y9DVH0|A0A2Y9DVH0_TRIMA
OG0000022	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A2Y9DES7|A0A2Y9DES7_TRIMA, tr|A0A2Y9FVY0|A0A2Y9FVY0_TRIMA
OG0000022	sp|Q60879|OLF3_MOUSE	tr|A0A2Y9FYW7|A0A2Y9FYW7_TRIMA, tr|A0A2Y9QWD5|A0A2Y9QWD5_TRIMA, tr|A0A2Y9DJ73|A0A2Y9DJ73_TRIMA, tr|A0A2Y9FZU8|A0A2Y9FZU8_TRIMA, tr|A0A2Y9QWZ4|A0A2Y9QWZ4_TRIMA, tr|A0A2Y9FWS3|A0A2Y9FWS3_TRIMA, tr|A0A2Y9FWI0|A0A2Y9FWI0_TRIMA
OG0000022	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A2Y9DKH4|A0A2Y9DKH4_TRIMA, tr|A0A2Y9R4N2|A0A2Y9R4N2_TRIMA, tr|A0A2Y9QYS8|A0A2Y9QYS8_TRIMA, tr|A0A2Y9DJM5|A0A2Y9DJM5_TRIMA, tr|A0A2Y9QTA1|A0A2Y9QTA1_TRIMA, tr|A0A2Y9DJH8|A0A2Y9DJH8_TRIMA
OG0000029	sp|P18531|HVM60_MOUSE, sp|P01822|HVM46_MOUSE, sp|P18533|HVM62_MOUSE, tr|A0A0A6YXF1|A0A0A6YXF1_MOUSE, tr|A0A075B5S6|A0A075B5S6_MOUSE, sp|P18532|HVM61_MOUSE, tr|A0A075B5S4|A0A075B5S4_MOUSE, tr|A0A075B5T0|A0A075B5T0_MOUSE, sp|P01823|HVM47_MOUSE, tr|A0A075B5T1|A0A075B5T1_MOUSE, tr|Q5R1A3|Q5R1A3_MOUSE, tr|A0A075B5Q8|A0A075B5Q8_MOUSE, tr|A0A075B5P8|A0A075B5P8_MOUSE, sp|P01821|HVM45_MOUSE, tr|A0A075B5Q3|A0A075B5Q3_MOUSE, tr|A0A075B6A7|A0A075B6A7_MOUSE, tr|A0A075B5Q7|A0A075B5Q7_MOUSE, tr|A0A075B5Q5|A0A075B5Q5_MOUSE, tr|A0A075B696|A0A075B696_MOUSE, tr|A0A075B697|A0A075B697_MOUSE, sp|P01820|HVM44_MOUSE, sp|P01819|HVM43_MOUSE, tr|A0A075B693|A0A075B693_MOUSE, tr|A0A0A6YY60|A0A0A6YY60_MOUSE, tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE, tr|A0A075B5X4|A0A075B5X4_MOUSE, tr|A0A0A6YW58|A0A0A6YW58_MOUSE, tr|A0A075B5X8|A0A075B5X8_MOUSE, tr|A0A075B5X1|A0A075B5X1_MOUSE, tr|A0A075B5W4|A0A075B5W4_MOUSE, tr|A0A075B5Y0|A0A075B5Y0_MOUSE	tr|A0A2Y9R4A8|A0A2Y9R4A8_TRIMA
OG0000032	tr|A2CEK7|A2CEK7_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, sp|P02762|MUP6_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P11591|MUP5_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE, sp|Q9D267|LCN9_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, tr|A0A1B0GSM6|A0A1B0GSM6_MOUSE, tr|Q9D3N5|Q9D3N5_MOUSE, tr|B1AVU4|B1AVU4_MOUSE, sp|Q9D3H2|OBP1A_MOUSE, tr|A2AEN9|A2AEN9_MOUSE, sp|A2AEP0|OBP1B_MOUSE, tr|A2BHD2|A2BHD2_MOUSE, sp|O08976|PBAS_MOUSE	tr|A0A2Y9E959|A0A2Y9E959_TRIMA
OG0000033	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A2Y9G0L9|A0A2Y9G0L9_TRIMA, tr|A0A2Y9RH29|A0A2Y9RH29_TRIMA
OG0000033	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A2Y9DTP3|A0A2Y9DTP3_TRIMA, tr|A0A2Y9ED62|A0A2Y9ED62_TRIMA, tr|A0A2Y9EDK7|A0A2Y9EDK7_TRIMA, tr|A0A2Y9FYC0|A0A2Y9FYC0_TRIMA, tr|A0A2Y9R725|A0A2Y9R725_TRIMA, tr|A0A2Y9G054|A0A2Y9G054_TRIMA, tr|A0A2Y9ECR9|A0A2Y9ECR9_TRIMA, tr|A0A2Y9QQH6|A0A2Y9QQH6_TRIMA, tr|A0A2Y9ED12|A0A2Y9ED12_TRIMA, tr|A0A2Y9G1X7|A0A2Y9G1X7_TRIMA, tr|A0A2Y9ECL4|A0A2Y9ECL4_TRIMA, tr|A0A2Y9QED9|A0A2Y9QED9_TRIMA, tr|A0A2Y9EDG2|A0A2Y9EDG2_TRIMA, tr|A0A2Y9EA73|A0A2Y9EA73_TRIMA, tr|A0A2Y9QJN4|A0A2Y9QJN4_TRIMA, tr|A0A2Y9DYF6|A0A2Y9DYF6_TRIMA, tr|A0A2Y9E340|A0A2Y9E340_TRIMA, tr|A0A2Y9EBE9|A0A2Y9EBE9_TRIMA, tr|A0A2Y9G4J7|A0A2Y9G4J7_TRIMA, tr|A0A2Y9ECN1|A0A2Y9ECN1_TRIMA, tr|A0A2Y9RMI0|A0A2Y9RMI0_TRIMA, tr|A0A2Y9ED68|A0A2Y9ED68_TRIMA, tr|A0A2Y9G4I4|A0A2Y9G4I4_TRIMA, tr|A0A2Y9ECM6|A0A2Y9ECM6_TRIMA, tr|A0A2Y9ED24|A0A2Y9ED24_TRIMA, tr|A0A2Y9EBT9|A0A2Y9EBT9_TRIMA
OG0000034	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A2Y9G0K6|A0A2Y9G0K6_TRIMA
OG0000034	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A2Y9G457|A0A2Y9G457_TRIMA
OG0000034	tr|Q8VFG4|Q8VFG4_MOUSE	tr|A0A2Y9E4V7|A0A2Y9E4V7_TRIMA, tr|A0A2Y9E4K5|A0A2Y9E4K5_TRIMA, tr|A0A2Y9G0R4|A0A2Y9G0R4_TRIMA, tr|A0A2Y9E6K7|A0A2Y9E6K7_TRIMA
OG0000034	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A2Y9E4Q5|A0A2Y9E4Q5_TRIMA, tr|A0A2Y9E4X0|A0A2Y9E4X0_TRIMA, tr|A0A2Y9E4M5|A0A2Y9E4M5_TRIMA, tr|A0A2Y9G2U3|A0A2Y9G2U3_TRIMA, tr|A0A2Y9RSI9|A0A2Y9RSI9_TRIMA, tr|A0A2Y9G0F6|A0A2Y9G0F6_TRIMA
OG0000036	tr|A0A0B4J1J2|A0A0B4J1J2_MOUSE, tr|A0A0B4J1J1|A0A0B4J1J1_MOUSE, tr|A0A140T8N4|A0A140T8N4_MOUSE, sp|P01642|KV5A9_MOUSE, tr|A0A140T8M5|A0A140T8M5_MOUSE, tr|A0A075B5N7|A0A075B5N7_MOUSE, sp|P84750|KVM5_MOUSE, tr|A0A140T8P1|A0A140T8P1_MOUSE, tr|A0A140T8N5|A0A140T8N5_MOUSE, tr|A0A140T8N7|A0A140T8N7_MOUSE, sp|P01633|KV5A1_MOUSE, tr|A0A140T8N9|A0A140T8N9_MOUSE, tr|A0A140T8P2|A0A140T8P2_MOUSE, tr|A0A075B5N2|A0A075B5N2_MOUSE, sp|P01634|KV5A2_MOUSE, sp|P01632|KV1A1_MOUSE, tr|A0A140T8P7|A0A140T8P7_MOUSE, tr|A0A140T8M3|A0A140T8M3_MOUSE, tr|A0A140T8P5|A0A140T8P5_MOUSE, tr|A0A0G2JDU0|A0A0G2JDU0_MOUSE, tr|A0A0G2JGT0|A0A0G2JGT0_MOUSE, tr|A0A075B5N6|A0A075B5N6_MOUSE, tr|A0A075B5N5|A0A075B5N5_MOUSE, tr|A0A0B4J1J3|A0A0B4J1J3_MOUSE, tr|A0A075B5N3|A0A075B5N3_MOUSE, tr|A0A140T8M4|A0A140T8M4_MOUSE, tr|A0A075B5N4|A0A075B5N4_MOUSE	tr|A0A2Y9S2G7|A0A2Y9S2G7_TRIMA
OG0000037	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A2Y9ECU5|A0A2Y9ECU5_TRIMA
OG0000037	sp|Q9R0H5|K2C71_MOUSE	tr|A0A2Y9E7I8|A0A2Y9E7I8_TRIMA
OG0000037	sp|Q6NXH9|K2C73_MOUSE	tr|A0A2Y9E8L8|A0A2Y9E8L8_TRIMA
OG0000037	sp|Q6IME9|K2C72_MOUSE	tr|A0A2Y9E8M8|A0A2Y9E8M8_TRIMA
OG0000037	sp|Q9DCV7|K2C7_MOUSE	tr|A0A2Y9DG90|A0A2Y9DG90_TRIMA, tr|A0A2Y9QMI1|A0A2Y9QMI1_TRIMA, tr|A0A2Y9FW72|A0A2Y9FW72_TRIMA, tr|A0A2Y9DGD3|A0A2Y9DGD3_TRIMA, tr|A0A2Y9G1B0|A0A2Y9G1B0_TRIMA, tr|A0A2Y9E782|A0A2Y9E782_TRIMA, tr|A0A2Y9E8L3|A0A2Y9E8L3_TRIMA, tr|A0A2Y9G4M0|A0A2Y9G4M0_TRIMA, tr|A0A2Y9E7J8|A0A2Y9E7J8_TRIMA
OG0000037	sp|Q8VED5|K2C79_MOUSE	tr|A0A2Y9DGC1|A0A2Y9DGC1_TRIMA, tr|A0A2Y9DGR8|A0A2Y9DGR8_TRIMA, tr|A0A2Y9DGE0|A0A2Y9DGE0_TRIMA
