Orthogroup	Mus_musculus	Pongo_abelii
OG0000004	tr|E9QAH2|E9QAH2_MOUSE	tr|H2NZX4|H2NZX4_PONAB, sp|Q5R4K8|ZN615_PONAB, tr|A0A8I5TL01|A0A8I5TL01_PONAB, tr|A0A6D2WU32|A0A6D2WU32_PONAB, tr|A0A8I5UUE0|A0A8I5UUE0_PONAB, sp|Q5RCJ2|ZN614_PONAB, tr|A0A8I5TDJ7|A0A8I5TDJ7_PONAB, tr|A0A8I5TVV4|A0A8I5TVV4_PONAB, tr|A0A8I5UB69|A0A8I5UB69_PONAB, tr|A0A8I5TBU6|A0A8I5TBU6_PONAB, tr|K7EVU5|K7EVU5_PONAB, tr|H2NJ84|H2NJ84_PONAB, tr|A0A8I5U2C3|A0A8I5U2C3_PONAB
OG0000004	sp|Q80W31|ZN569_MOUSE	tr|A0A2J8REE5|A0A2J8REE5_PONAB, tr|A0A8I5TD31|A0A8I5TD31_PONAB, tr|A0A8I5TXP1|A0A8I5TXP1_PONAB, tr|H2P0B8|H2P0B8_PONAB, tr|A0A2J8R5Z9|A0A2J8R5Z9_PONAB, tr|A0A8I5YMP1|A0A8I5YMP1_PONAB
OG0000006	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|H2P0A6|H2P0A6_PONAB
OG0000006	tr|Q8VCI1|Q8VCI1_MOUSE	tr|Q5RCW0|Q5RCW0_PONAB
OG0000006	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|H2NYK7|H2NYK7_PONAB, tr|A0A6D2Y742|A0A6D2Y742_PONAB
OG0000006	sp|Q6P9Y7|ZFP82_MOUSE	tr|K7EUM7|K7EUM7_PONAB
OG0000006	sp|Q60585|ZFP30_MOUSE	tr|A0A8I5SZ91|A0A8I5SZ91_PONAB
OG0000006	sp|P10755|ZFP14_MOUSE	sp|Q5REA0|ZN331_PONAB, tr|K7EUT4|K7EUT4_PONAB, tr|H2NYU3|H2NYU3_PONAB, sp|Q5R5Q6|ZN571_PONAB, tr|A0A2J8REC9|A0A2J8REC9_PONAB, tr|K7EU23|K7EU23_PONAB, tr|H2NZ41|H2NZ41_PONAB, tr|H2P0J9|H2P0J9_PONAB
OG0000006	tr|Q5U406|Q5U406_MOUSE	tr|A0A8I5YRI9|A0A8I5YRI9_PONAB
OG0000006	sp|Q3V080|ZN583_MOUSE	tr|A0A2J8RQ02|A0A2J8RQ02_PONAB, tr|A0A6D2WFF0|A0A6D2WFF0_PONAB
OG0000006	sp|Q7TSH9|ZN184_MOUSE	tr|A0A2J8RR42|A0A2J8RR42_PONAB, tr|H2NYM6|H2NYM6_PONAB, tr|A0A8I5U4G1|A0A8I5U4G1_PONAB, sp|Q5REF1|ZN181_PONAB, tr|A0A8I5YTR4|A0A8I5YTR4_PONAB, tr|H2P0A5|H2P0A5_PONAB, tr|H2PI82|H2PI82_PONAB, tr|H2NYM8|H2NYM8_PONAB, tr|A0A8I5UA98|A0A8I5UA98_PONAB, tr|H2NSV6|H2NSV6_PONAB, tr|A0A8I5UEP1|A0A8I5UEP1_PONAB, tr|A0A8I5TU26|A0A8I5TU26_PONAB, tr|A0A6D2W1L0|A0A6D2W1L0_PONAB
OG0000006	tr|Q80ZX2|Q80ZX2_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A6D2WTY7|A0A6D2WTY7_PONAB
OG0000007	tr|Q8VGW5|Q8VGW5_MOUSE	tr|A0A8I5TUN2|A0A8I5TUN2_PONAB
OG0000007	tr|Q8VH18|Q8VH18_MOUSE, tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|Q8VG26|Q8VG26_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE, tr|Q8VGW2|Q8VGW2_MOUSE, tr|E9PWI5|E9PWI5_MOUSE, tr|E9PX47|E9PX47_MOUSE, tr|Q9WU94|Q9WU94_MOUSE, tr|E9Q252|E9Q252_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|Q8VGX9|Q8VGX9_MOUSE, tr|Q8VGY7|Q8VGY7_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE, tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE, tr|Q7TRS6|Q7TRS6_MOUSE, tr|E9Q546|E9Q546_MOUSE, tr|Q8VG23|Q8VG23_MOUSE, tr|Q8VF03|Q8VF03_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|F8VPJ8|F8VPJ8_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VG78|Q8VG78_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE	tr|H2NEC6|H2NEC6_PONAB
OG0000008	sp|Q9CQ90|CI085_MOUSE	tr|H2NHY6|H2NHY6_PONAB
OG0000008	sp|Q9D4G2|HSF2B_MOUSE	tr|H2P305|H2P305_PONAB, tr|A0A8I5UM80|A0A8I5UM80_PONAB, tr|A0A8I5YNU9|A0A8I5YNU9_PONAB, tr|A0A8I5U5G0|A0A8I5U5G0_PONAB, tr|A0A8I5TWF8|A0A8I5TWF8_PONAB, tr|A0A8I5YPN5|A0A8I5YPN5_PONAB, tr|A0A8I5U929|A0A8I5U929_PONAB, tr|A0A8I5U0A1|A0A8I5U0A1_PONAB, tr|A0A8I5TZJ7|A0A8I5TZJ7_PONAB, tr|A0A8I5U5N6|A0A8I5U5N6_PONAB, tr|A0A8I5UBM6|A0A8I5UBM6_PONAB, tr|A0A8I5U2L8|A0A8I5U2L8_PONAB, tr|A0A8I5YKT4|A0A8I5YKT4_PONAB, tr|A0A8I5YJ87|A0A8I5YJ87_PONAB, tr|A0A8I5TM84|A0A8I5TM84_PONAB, tr|A0A8I5UF25|A0A8I5UF25_PONAB, tr|A0A8I5T4C1|A0A8I5T4C1_PONAB, tr|A0A8I5T1Y7|A0A8I5T1Y7_PONAB, tr|A0A8I5UBD1|A0A8I5UBD1_PONAB, tr|A0A8I5YQX1|A0A8I5YQX1_PONAB, tr|A0A8I5TBX9|A0A8I5TBX9_PONAB, tr|A0A8I5TF89|A0A8I5TF89_PONAB, tr|A0A8I5YN04|A0A8I5YN04_PONAB, tr|A0A8I5YNG4|A0A8I5YNG4_PONAB, tr|A0A8I5T2Q6|A0A8I5T2Q6_PONAB, tr|A0A8I5TXZ9|A0A8I5TXZ9_PONAB, tr|A0A8I5UYF1|A0A8I5UYF1_PONAB, tr|A0A8I5TTP3|A0A8I5TTP3_PONAB, tr|A0A8I5TYV2|A0A8I5TYV2_PONAB, tr|A0A8I5T9Y1|A0A8I5T9Y1_PONAB, tr|A0A8I5UCZ6|A0A8I5UCZ6_PONAB, tr|A0A8I5YPW5|A0A8I5YPW5_PONAB, tr|A0A8I5TIJ7|A0A8I5TIJ7_PONAB, tr|A0A8I5THW0|A0A8I5THW0_PONAB, tr|A0A8I5T7Y4|A0A8I5T7Y4_PONAB, tr|A0A8I5YK35|A0A8I5YK35_PONAB, tr|A0A8I5T9Y3|A0A8I5T9Y3_PONAB, tr|H2N865|H2N865_PONAB, tr|A0A8I5SY79|A0A8I5SY79_PONAB, tr|A0A8I5UXR3|A0A8I5UXR3_PONAB, tr|A0A8I5TV08|A0A8I5TV08_PONAB, tr|A0A8I5UAZ7|A0A8I5UAZ7_PONAB, tr|A0A8I5T8V2|A0A8I5T8V2_PONAB, tr|A0A8I5TW89|A0A8I5TW89_PONAB, tr|A0A8I5YPK6|A0A8I5YPK6_PONAB, tr|A0A8I5TN69|A0A8I5TN69_PONAB, tr|A0A8I5TXD9|A0A8I5TXD9_PONAB, tr|A0A8I5TLG2|A0A8I5TLG2_PONAB, tr|H2P306|H2P306_PONAB
OG0000015	tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE	tr|H2NFQ2|H2NFQ2_PONAB
OG0000015	sp|Q60882|OL145_MOUSE	tr|A0A6D2W6W1|A0A6D2W6W1_PONAB
OG0000015	tr|Q8VG50|Q8VG50_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE, sp|Q60886|OL147_MOUSE, tr|K7N678|K7N678_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|E9Q891|E9Q891_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|L7N210|L7N210_MOUSE, sp|P34985|OL143_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|E9Q843|E9Q843_MOUSE, tr|Q9EQA9|Q9EQA9_MOUSE	tr|H2NFQ0|H2NFQ0_PONAB
OG0000016	tr|Q8VF22|Q8VF22_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q8VF13|O1094_MOUSE, sp|Q8VES2|O1102_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, sp|Q60880|OL141_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, sp|Q8VFL9|O1086_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q9QY00|OL154_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, sp|Q8VF76|OL998_MOUSE, sp|Q8VFK1|O1009_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, tr|A2ASV2|A2ASV2_MOUSE, tr|Q8VFJ7|Q8VFJ7_MOUSE	tr|A0A8I5U4R8|A0A8I5U4R8_PONAB
OG0000018	tr|E9Q7P5|E9Q7P5_MOUSE	tr|H2NED1|H2NED1_PONAB
OG0000018	tr|Q8VGX6|Q8VGX6_MOUSE	tr|H2NED0|H2NED0_PONAB
OG0000018	tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|F8VQI7|F8VQI7_MOUSE, tr|E9PZ66|E9PZ66_MOUSE	tr|H2NEE4|H2NEE4_PONAB
OG0000018	tr|Q8VH17|Q8VH17_MOUSE, tr|Q8VH11|Q8VH11_MOUSE	tr|A0A6D2XQN8|A0A6D2XQN8_PONAB
OG0000018	tr|Q8VG25|Q8VG25_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|E9Q554|E9Q554_MOUSE	tr|H2NEG1|H2NEG1_PONAB
OG0000018	tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE	tr|H2NEG4|H2NEG4_PONAB
OG0000024	sp|Q91XY4|PCDG4_MOUSE	tr|K7ESZ1|K7ESZ1_PONAB
OG0000024	tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, sp|Q91Y13|PCDA7_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, sp|O88689|PCDA4_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, sp|Q91Y20|PCDAA_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, tr|Q91Y09|Q91Y09_MOUSE	tr|H2PGU6|H2PGU6_PONAB
OG0000027	tr|A2ARC0|A2ARC0_MOUSE	tr|H2NP19|H2NP19_PONAB, tr|H2NPG2|H2NPG2_PONAB
OG0000027	sp|Q921M4|GOGA2_MOUSE	tr|A0A8I5U3H1|A0A8I5U3H1_PONAB, tr|H2NMK7|H2NMK7_PONAB, tr|A0A8I5U4M4|A0A8I5U4M4_PONAB, tr|H2NPE4|H2NPE4_PONAB, tr|A0A8I5UXI9|A0A8I5UXI9_PONAB, tr|K7EVZ8|K7EVZ8_PONAB, tr|A0A8I5TM74|A0A8I5TM74_PONAB, tr|A0A8I5UTU7|A0A8I5UTU7_PONAB, tr|A0A8I5TJT2|A0A8I5TJT2_PONAB, tr|H2NP16|H2NP16_PONAB, tr|H2NP17|H2NP17_PONAB, tr|A0A8I5T8Q9|A0A8I5T8Q9_PONAB, tr|A0A8I5YV93|A0A8I5YV93_PONAB, tr|A0A8I5TFU7|A0A8I5TFU7_PONAB, tr|A0A8I5TDM0|A0A8I5TDM0_PONAB, tr|H2NNP3|H2NNP3_PONAB, tr|H2NPE8|H2NPE8_PONAB, tr|H2NPE6|H2NPE6_PONAB, tr|A0A8I5TK13|A0A8I5TK13_PONAB, tr|A0A8I5TMH8|A0A8I5TMH8_PONAB, tr|A0A8I5T8S9|A0A8I5T8S9_PONAB, tr|A0A8I5T1A2|A0A8I5T1A2_PONAB, tr|A0A8I5TRU3|A0A8I5TRU3_PONAB, tr|A0A8I5TBE4|A0A8I5TBE4_PONAB, tr|K7EVP4|K7EVP4_PONAB, tr|H2NPD8|H2NPD8_PONAB, tr|H2NMJ9|H2NMJ9_PONAB, tr|H2NMM9|H2NMM9_PONAB, tr|H2P771|H2P771_PONAB, tr|A0A8I5UUW4|A0A8I5UUW4_PONAB, tr|A0A8I5TSI8|A0A8I5TSI8_PONAB, tr|H2PTI6|H2PTI6_PONAB
OG0000029	tr|Q8VFX5|Q8VFX5_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE, tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, sp|Q8VFX2|O1444_MOUSE, sp|Q8VGS3|O1019_MOUSE, sp|Q7TR96|O1013_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE	tr|A0A2J8SNI4|A0A2J8SNI4_PONAB
