Orthogroup	Mus_musculus	Cercocebus_atys
OG0000006	tr|Q8VGW2|Q8VGW2_MOUSE	tr|A0A2K5M3F0|A0A2K5M3F0_CERAT
OG0000006	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VG26|Q8VG26_MOUSE	tr|A0A2K5LNM7|A0A2K5LNM7_CERAT
OG0000006	tr|F8VPJ8|F8VPJ8_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|Q8VG78|Q8VG78_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE	tr|A0A2K5KSN0|A0A2K5KSN0_CERAT
OG0000007	tr|Q7TQT8|Q7TQT8_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, sp|Q60890|OLF11_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE	tr|A0A2K5NVI1|A0A2K5NVI1_CERAT
OG0000008	sp|B2RXC5|ZN382_MOUSE	tr|A0A2K5LNB6|A0A2K5LNB6_CERAT
OG0000008	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A2K5NXW8|A0A2K5NXW8_CERAT
OG0000008	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2K5MKS5|A0A2K5MKS5_CERAT
OG0000008	sp|Q8BQC8|RBAK_MOUSE	tr|A0A2K5NKB0|A0A2K5NKB0_CERAT
OG0000008	tr|Q640N4|Q640N4_MOUSE	tr|A0A2K5LW76|A0A2K5LW76_CERAT, tr|A0A2K5LS01|A0A2K5LS01_CERAT, tr|A0A2K5KMP6|A0A2K5KMP6_CERAT, tr|A0A2K5KV98|A0A2K5KV98_CERAT, tr|A0A2K5M5R1|A0A2K5M5R1_CERAT, tr|A0A2K5KU41|A0A2K5KU41_CERAT
OG0000008	sp|P17141|ZFP37_MOUSE	tr|A0A2K5NBR7|A0A2K5NBR7_CERAT
OG0000008	sp|Q02526|ZFP41_MOUSE	tr|A0A2K5LTU4|A0A2K5LTU4_CERAT, tr|A0A2K5NN37|A0A2K5NN37_CERAT
OG0000008	sp|Q80W31|ZN569_MOUSE	tr|A0A2K5NV58|A0A2K5NV58_CERAT
OG0000008	sp|E9PYI1|ZN568_MOUSE	tr|A0A2K5M0K3|A0A2K5M0K3_CERAT
OG0000014	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A2K5MPF9|A0A2K5MPF9_CERAT
OG0000014	tr|Q5U406|Q5U406_MOUSE	tr|A0A2K5NBK9|A0A2K5NBK9_CERAT
OG0000014	sp|Q3V080|ZN583_MOUSE	tr|A0A2K5NQC3|A0A2K5NQC3_CERAT, tr|A0A2K5LZU4|A0A2K5LZU4_CERAT
OG0000014	tr|Q9D654|Q9D654_MOUSE	tr|A0A2K5NW73|A0A2K5NW73_CERAT, tr|A0A2K5L4Z0|A0A2K5L4Z0_CERAT, tr|A0A2K5MNG8|A0A2K5MNG8_CERAT, tr|A0A2K5M9F7|A0A2K5M9F7_CERAT, tr|A0A2K5L1P6|A0A2K5L1P6_CERAT, tr|A0A2K5MM71|A0A2K5MM71_CERAT, tr|A0A2K5MY19|A0A2K5MY19_CERAT
OG0000014	sp|P10755|ZFP14_MOUSE	tr|A0A2K5LZF8|A0A2K5LZF8_CERAT
OG0000014	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A2K5MY98|A0A2K5MY98_CERAT, tr|A0A2K5LQM7|A0A2K5LQM7_CERAT, tr|A0A2K5L4J0|A0A2K5L4J0_CERAT, tr|A0A2K5NSA5|A0A2K5NSA5_CERAT, tr|A0A2K5MS65|A0A2K5MS65_CERAT
OG0000014	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A2K5KRM5|A0A2K5KRM5_CERAT
OG0000014	sp|Q60585|ZFP30_MOUSE	tr|A0A2K5N6M8|A0A2K5N6M8_CERAT
OG0000014	tr|Q80ZX2|Q80ZX2_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A2K5P205|A0A2K5P205_CERAT
OG0000014	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A2K5KJ38|A0A2K5KJ38_CERAT, tr|A0A2K5MYE8|A0A2K5MYE8_CERAT
OG0000015	tr|Q8R2A2|Q8R2A2_MOUSE, tr|Q8R2A3|Q8R2A3_MOUSE, tr|E9PWK2|E9PWK2_MOUSE, tr|Q8R2A8|Q8R2A8_MOUSE, tr|A0A3B2W3R4|A0A3B2W3R4_MOUSE, tr|Q8R2A7|Q8R2A7_MOUSE, tr|Q8R2A9|Q8R2A9_MOUSE, tr|A2RTT5|A2RTT5_MOUSE, tr|Q8R2A5|Q8R2A5_MOUSE, tr|E9Q0V3|E9Q0V3_MOUSE, tr|Q8VIC1|Q8VIC1_MOUSE, tr|Q8K4I0|Q8K4I0_MOUSE, tr|G5E8C1|G5E8C1_MOUSE, tr|Q8VIC0|Q8VIC0_MOUSE, tr|Q8R299|Q8R299_MOUSE, tr|E9Q2N4|E9Q2N4_MOUSE, tr|Q8R294|Q8R294_MOUSE, tr|Q05A06|Q05A06_MOUSE, tr|Q8R298|Q8R298_MOUSE, tr|A0A494B9T5|A0A494B9T5_MOUSE, tr|Q8R296|Q8R296_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|K7N608|K7N608_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|Q8R290|Q8R290_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|Q8R284|Q8R284_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|Q8R254|Q8R254_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE, tr|E9Q235|E9Q235_MOUSE, tr|L7N213|L7N213_MOUSE, tr|Q8R256|Q8R256_MOUSE, tr|Q8VIB8|Q8VIB8_MOUSE, tr|Q8R255|Q8R255_MOUSE	tr|A0A2K5MMN9|A0A2K5MMN9_CERAT
OG0000018	sp|P11477|DEFA1_MOUSE, sp|P50709|DFA11_MOUSE, tr|E9QPZ2|E9QPZ2_MOUSE, sp|Q5G865|DFA24_MOUSE, sp|P50704|DEFA6_MOUSE, sp|P50714|DFA16_MOUSE, sp|P50708|DFA10_MOUSE, sp|Q3L180|DFA26_MOUSE, tr|L7N231|L7N231_MOUSE, sp|P28310|DEFA3_MOUSE, sp|Q5G866|DFA23_MOUSE, sp|Q5G864|DFA25_MOUSE, tr|D3Z1V9|D3Z1V9_MOUSE, tr|F2Z403|F2Z403_MOUSE, sp|P28309|DEFA2_MOUSE, sp|Q64016|DFA17_MOUSE, sp|P50706|DEFA8_MOUSE, sp|P50712|DFA14_MOUSE, sp|P50705|DEFA7_MOUSE, sp|P50711|DFA13_MOUSE, sp|P50713|DFA15_MOUSE, sp|P50707|DEFA9_MOUSE, sp|Q8C1P2|DFA21_MOUSE, sp|Q8C1N8|DFA22_MOUSE, sp|P28311|DEFA4_MOUSE, sp|Q45VN2|DFA20_MOUSE, tr|E9QLQ1|E9QLQ1_MOUSE, tr|D3YX02|D3YX02_MOUSE, tr|K9J724|K9J724_MOUSE, sp|P28312|DEFA5_MOUSE, tr|D3Z0J0|D3Z0J0_MOUSE, tr|Q5ERI8|Q5ERI8_MOUSE, tr|Q5ERJ0|Q5ERJ0_MOUSE, tr|Q9D848|Q9D848_MOUSE, sp|P17533|DFA29_MOUSE, tr|D3YX03|D3YX03_MOUSE, sp|Q64263|DAR10_MOUSE, sp|P50716|DAR12_MOUSE, sp|P50715|DFA31_MOUSE, sp|P17534|DFAR2_MOUSE	tr|A0A2K5LBC4|A0A2K5LBC4_CERAT
OG0000022	sp|Q8VFX2|O1444_MOUSE, tr|Q7TS13|Q7TS13_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q8VF73|Q8VF73_MOUSE, tr|Q8VF75|Q8VF75_MOUSE, tr|Q8VF74|Q8VF74_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFX5|Q8VFX5_MOUSE	tr|A0A2K5KWF5|A0A2K5KWF5_CERAT
OG0000023	sp|Q91XY4|PCDG4_MOUSE	tr|A0A2K5NWD8|A0A2K5NWD8_CERAT
OG0000023	tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, sp|Q91Y20|PCDAA_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, sp|Q91Y13|PCDA7_MOUSE, sp|O88689|PCDA4_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, tr|Q91Y09|Q91Y09_MOUSE	tr|A0A2K5N4H8|A0A2K5N4H8_CERAT
OG0000028	tr|Q8VFN5|Q8VFN5_MOUSE, tr|Q9EQ96|Q9EQ96_MOUSE, tr|Q7TRB7|Q7TRB7_MOUSE, tr|Q9EQA0|Q9EQA0_MOUSE, tr|Q9EQ99|Q9EQ99_MOUSE, tr|Q7TRB8|Q7TRB8_MOUSE, tr|Q9EQ98|Q9EQ98_MOUSE, sp|Q60884|OL146_MOUSE, tr|J3KMV2|J3KMV2_MOUSE, tr|Q8VG16|Q8VG16_MOUSE, tr|Q9EQB6|Q9EQB6_MOUSE, tr|Q9EQ94|Q9EQ94_MOUSE, tr|Q9EQ92|Q9EQ92_MOUSE, sp|P34983|O1537_MOUSE, tr|Q9EQ90|Q9EQ90_MOUSE, tr|Q9EQ91|Q9EQ91_MOUSE, tr|Q9EQ95|Q9EQ95_MOUSE, tr|Q9EQB5|Q9EQB5_MOUSE, tr|Q9EQB8|Q9EQB8_MOUSE, tr|Q9EQB4|Q9EQB4_MOUSE, tr|Q8VF78|Q8VF78_MOUSE, sp|Q60895|OL150_MOUSE, tr|Q7TRA7|Q7TRA7_MOUSE, tr|Q9EQ97|Q9EQ97_MOUSE, tr|Q8VFD7|Q8VFD7_MOUSE, tr|Q9EQ93|Q9EQ93_MOUSE, tr|Q9EQB7|Q9EQB7_MOUSE, tr|Q7TRA6|Q7TRA6_MOUSE, tr|Q8VG89|Q8VG89_MOUSE, tr|Q8VFN3|Q8VFN3_MOUSE, tr|Q9EQA2|Q9EQA2_MOUSE, tr|Q8VFN4|Q8VFN4_MOUSE	tr|A0A2K5L572|A0A2K5L572_CERAT
OG0000037	sp|Q80YP6|ZIK1_MOUSE	tr|A0A2K5KRZ4|A0A2K5KRZ4_CERAT, tr|A0A2K5LJ88|A0A2K5LJ88_CERAT, tr|A0A2K5M8M6|A0A2K5M8M6_CERAT, tr|A0A2K5M9Z2|A0A2K5M9Z2_CERAT, tr|A0A2K5MKN7|A0A2K5MKN7_CERAT, tr|A0A2K5LBU8|A0A2K5LBU8_CERAT, tr|A0A2K5LRL2|A0A2K5LRL2_CERAT, tr|A0A2K5NCW9|A0A2K5NCW9_CERAT, tr|A0A2K5L7L3|A0A2K5L7L3_CERAT, tr|A0A2K5M1L7|A0A2K5M1L7_CERAT, tr|A0A2K5MU62|A0A2K5MU62_CERAT, tr|A0A2K5MXH4|A0A2K5MXH4_CERAT, tr|A0A2K5KJ97|A0A2K5KJ97_CERAT, tr|A0A2K5MNB3|A0A2K5MNB3_CERAT, tr|A0A2K5MR81|A0A2K5MR81_CERAT, tr|A0A2K5MFF0|A0A2K5MFF0_CERAT, tr|A0A2K5M5F8|A0A2K5M5F8_CERAT, tr|A0A2K5LCA8|A0A2K5LCA8_CERAT, tr|A0A2K5KL85|A0A2K5KL85_CERAT, tr|A0A2K5MXQ7|A0A2K5MXQ7_CERAT, tr|A0A2K5MDK3|A0A2K5MDK3_CERAT, tr|A0A2K5M7J3|A0A2K5M7J3_CERAT, tr|A0A2K5M9Y3|A0A2K5M9Y3_CERAT, tr|A0A2K5KTS2|A0A2K5KTS2_CERAT, tr|A0A2K5MPA7|A0A2K5MPA7_CERAT, tr|A0A2K5LR29|A0A2K5LR29_CERAT
OG0000038	tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE, tr|A0A140T8P3|A0A140T8P3_MOUSE	tr|A0A2K5P7V1|A0A2K5P7V1_CERAT, tr|A0A2K5MFJ0|A0A2K5MFJ0_CERAT, tr|A0A2K5MXD8|A0A2K5MXD8_CERAT, tr|A0A2K5L135|A0A2K5L135_CERAT, tr|A0A2K5KHW9|A0A2K5KHW9_CERAT, tr|A0A2K5NUS0|A0A2K5NUS0_CERAT, tr|A0A2K5KIH1|A0A2K5KIH1_CERAT, tr|A0A2K5L3Y1|A0A2K5L3Y1_CERAT, tr|A0A2K5NV44|A0A2K5NV44_CERAT, tr|A0A2K5NRC2|A0A2K5NRC2_CERAT, tr|A0A2K5NSG5|A0A2K5NSG5_CERAT, tr|A0A2K5NRH8|A0A2K5NRH8_CERAT, tr|A0A2K5NSJ4|A0A2K5NSJ4_CERAT, tr|A0A2K5NVF5|A0A2K5NVF5_CERAT, tr|A0A2K5NTF7|A0A2K5NTF7_CERAT, tr|A0A2K5NT28|A0A2K5NT28_CERAT, tr|A0A2K5NSH5|A0A2K5NSH5_CERAT, tr|A0A2K5NS40|A0A2K5NS40_CERAT, tr|A0A2K5NT13|A0A2K5NT13_CERAT, tr|A0A2K5L706|A0A2K5L706_CERAT, tr|A0A2K5NUU6|A0A2K5NUU6_CERAT, tr|A0A2K5MP57|A0A2K5MP57_CERAT, tr|A0A2K5LJB9|A0A2K5LJB9_CERAT, tr|A0A2K5NV72|A0A2K5NV72_CERAT, tr|A0A2K5NTZ8|A0A2K5NTZ8_CERAT
OG0000039	sp|Q6IME9|K2C72_MOUSE	tr|A0A2K5LH62|A0A2K5LH62_CERAT
OG0000039	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A2K5NF66|A0A2K5NF66_CERAT
OG0000039	sp|Q9R0H5|K2C71_MOUSE	tr|A0A2K5NJ30|A0A2K5NJ30_CERAT
OG0000039	sp|Q6NXH9|K2C73_MOUSE	tr|A0A2K5NXB4|A0A2K5NXB4_CERAT
OG0000039	sp|Q3UV17|K22O_MOUSE	tr|A0A2K5P4R3|A0A2K5P4R3_CERAT, tr|A0A2K5L3Y2|A0A2K5L3Y2_CERAT
