Orthogroup	Mus_musculus	Castor_canadensis
OG0000022	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A8B7UXK4|A0A8B7UXK4_CASCN
OG0000022	sp|Q8BQC8|RBAK_MOUSE	tr|A0A8B7TRK1|A0A8B7TRK1_CASCN, tr|A0A8B7UI26|A0A8B7UI26_CASCN, tr|A0A8B7UDI9|A0A8B7UDI9_CASCN, tr|A0A8B7UDK5|A0A8B7UDK5_CASCN, tr|A0A8B7VFM4|A0A8B7VFM4_CASCN, tr|A0A8B7WJ48|A0A8B7WJ48_CASCN
OG0000022	sp|Q61967|ZFP90_MOUSE	tr|A0A8B7UPJ6|A0A8B7UPJ6_CASCN, tr|A0A8B7ULM3|A0A8B7ULM3_CASCN, tr|A0A8B7TYQ5|A0A8B7TYQ5_CASCN, tr|A0A8B7TJD4|A0A8B7TJD4_CASCN, tr|A0A8B7TLH4|A0A8B7TLH4_CASCN, tr|A0A8B7U0D9|A0A8B7U0D9_CASCN, tr|A0A8B7TKE9|A0A8B7TKE9_CASCN, tr|A0A8B7WJI8|A0A8B7WJI8_CASCN, tr|A0A8B7TLL5|A0A8B7TLL5_CASCN, tr|A0A8B7UAC1|A0A8B7UAC1_CASCN, tr|A0A8B7V8W9|A0A8B7V8W9_CASCN, tr|A0A8B7UVU7|A0A8B7UVU7_CASCN, tr|A0A8B7TRL2|A0A8B7TRL2_CASCN, tr|A0A8B7UFE7|A0A8B7UFE7_CASCN, tr|A0A8B7WJD4|A0A8B7WJD4_CASCN, tr|A0A8B7W613|A0A8B7W613_CASCN, tr|A0A8B7W6R4|A0A8B7W6R4_CASCN, tr|A0A8B7W741|A0A8B7W741_CASCN, tr|A0A8B7TIQ6|A0A8B7TIQ6_CASCN, tr|A0A8B7TRV2|A0A8B7TRV2_CASCN, tr|A0A8B7WCT6|A0A8B7WCT6_CASCN
OG0000027	sp|B2RUI1|ZN551_MOUSE	tr|A0A8B7TGS7|A0A8B7TGS7_CASCN
OG0000027	tr|Q8BFS8|Q8BFS8_MOUSE	tr|A0A8B7THR7|A0A8B7THR7_CASCN, tr|A0A8B7TN66|A0A8B7TN66_CASCN, tr|A0A8B7TSF8|A0A8B7TSF8_CASCN, tr|A0A8B7WH80|A0A8B7WH80_CASCN, tr|A0A8B7TT24|A0A8B7TT24_CASCN, tr|A0A8B7TX62|A0A8B7TX62_CASCN, tr|A0A8B7TT18|A0A8B7TT18_CASCN, tr|A0A8B7W9Z6|A0A8B7W9Z6_CASCN, tr|A0A8B7THQ7|A0A8B7THQ7_CASCN, tr|A0A8B7TP89|A0A8B7TP89_CASCN
OG0000027	sp|Q80YP6|ZIK1_MOUSE	tr|A0A8B7VW55|A0A8B7VW55_CASCN
OG0000031	tr|A2CGC2|A2CGC2_MOUSE, tr|L7MU83|L7MU83_MOUSE, tr|L7MU81|L7MU81_MOUSE, tr|A2BFZ7|A2BFZ7_MOUSE, tr|A0A087WSN2|A0A087WSN2_MOUSE, tr|A0A571BD55|A0A571BD55_MOUSE, tr|A2CG71|A2CG71_MOUSE, tr|Q5FWA1|Q5FWA1_MOUSE, tr|A0A087WR44|A0A087WR44_MOUSE, tr|A2CG92|A2CG92_MOUSE, tr|B8JKF6|B8JKF6_MOUSE, tr|Q1LZI5|Q1LZI5_MOUSE, tr|A0A0A0MQP3|A0A0A0MQP3_MOUSE, tr|A0A571BG45|A0A571BG45_MOUSE, sp|Q99N64|GMCL2_MOUSE, tr|J3QMS5|J3QMS5_MOUSE, tr|J3QMW9|J3QMW9_MOUSE, tr|A0A571BG86|A0A571BG86_MOUSE, tr|A2BHG6|A2BHG6_MOUSE, tr|J3QNQ5|J3QNQ5_MOUSE, tr|J3QN64|J3QN64_MOUSE, tr|J3QML3|J3QML3_MOUSE, tr|A2CFD5|A2CFD5_MOUSE, tr|A0A140T8Q5|A0A140T8Q5_MOUSE, tr|A0A0R4J2B9|A0A0R4J2B9_MOUSE	tr|A0A8B7WK60|A0A8B7WK60_CASCN
OG0000036	tr|Q8R265|Q8R265_MOUSE, tr|Q8R266|Q8R266_MOUSE, tr|Q5SVD5|Q5SVD5_MOUSE, tr|Q8K3N2|Q8K3N2_MOUSE, tr|Q8R269|Q8R269_MOUSE, tr|Q8R270|Q8R270_MOUSE, tr|Q8R272|Q8R272_MOUSE, tr|Q8R271|Q8R271_MOUSE, tr|Q8R268|Q8R268_MOUSE, tr|Q8K4D0|Q8K4D0_MOUSE, tr|Q8R278|Q8R278_MOUSE, tr|Q8R280|Q8R280_MOUSE, tr|Q8R279|Q8R279_MOUSE, tr|Q8R273|Q8R273_MOUSE, tr|Q8R275|Q8R275_MOUSE, tr|Q8R276|Q8R276_MOUSE, tr|Q8R274|Q8R274_MOUSE, tr|Q8R281|Q8R281_MOUSE, tr|A0A494B935|A0A494B935_MOUSE, tr|Q8K3N3|Q8K3N3_MOUSE, tr|A0A494BA14|A0A494BA14_MOUSE, tr|Q8R277|Q8R277_MOUSE, tr|Q5NC97|Q5NC97_MOUSE	tr|A0A8C0WEB0|A0A8C0WEB0_CASCN
OG0000037	tr|Q91XX6|Q91XX6_MOUSE	tr|A0A8B7TVS0|A0A8B7TVS0_CASCN
OG0000037	tr|Q91XX7|Q91XX7_MOUSE	tr|A0A8B7TVM7|A0A8B7TVM7_CASCN
OG0000037	tr|Q91XX8|Q91XX8_MOUSE	tr|A0A8B7TX10|A0A8B7TX10_CASCN
OG0000038	tr|E9PVR6|E9PVR6_MOUSE	tr|A0A8B7TR36|A0A8B7TR36_CASCN
OG0000038	sp|Q9EP93|V1R53_MOUSE, sp|Q9EQ47|V1R44_MOUSE, tr|A0A494BA90|A0A494BA90_MOUSE, sp|Q9EQ44|V1R41_MOUSE, sp|Q9EQ46|V1R40_MOUSE, sp|Q9WUF1|V1R49_MOUSE, sp|Q9EP51|V1R50_MOUSE, sp|Q9EQ45|V1R46_MOUSE, sp|Q9EPB8|V1R54_MOUSE, sp|Q9EP79|V1R52_MOUSE, sp|Q9EQ48|VN1A8_MOUSE, sp|Q8VBS7|V1R42_MOUSE, sp|Q8VIC9|V1R43_MOUSE, sp|Q8VIC6|V1R51_MOUSE, sp|Q8VIC7|V1R45_MOUSE, sp|Q8R2E6|V1A11_MOUSE, sp|Q9EQ52|V1R48_MOUSE, sp|Q9EQ51|V1R47_MOUSE	tr|A0A8B7TSM7|A0A8B7TSM7_CASCN, tr|A0A8B7TQ43|A0A8B7TQ43_CASCN
OG0000040	tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF84|Q8VF84_MOUSE	tr|A0A8C0W9N4|A0A8C0W9N4_CASCN
OG0000040	tr|Q8VET0|Q8VET0_MOUSE	tr|A0A8C0WK39|A0A8C0WK39_CASCN
OG0000040	tr|A2AVW3|A2AVW3_MOUSE, tr|Q8VF83|Q8VF83_MOUSE, tr|Q8VF85|Q8VF85_MOUSE	tr|A0A8B7TPB4|A0A8B7TPB4_CASCN
OG0000049	tr|Q8VGC2|Q8VGC2_MOUSE	tr|A0A8C0ZS32|A0A8C0ZS32_CASCN
OG0000049	tr|Q8VF26|Q8VF26_MOUSE	tr|A0A8B7U0K3|A0A8B7U0K3_CASCN
OG0000049	tr|Q8K501|Q8K501_MOUSE, tr|Q8VGC4|Q8VGC4_MOUSE, tr|Q8VGJ0|Q8VGJ0_MOUSE	tr|A0A8B7TJT5|A0A8B7TJT5_CASCN
OG0000049	tr|Q8VEU0|Q8VEU0_MOUSE	tr|A0A8B7TSN1|A0A8B7TSN1_CASCN
OG0000049	tr|Q8VFH7|Q8VFH7_MOUSE, tr|Q8VFH3|Q8VFH3_MOUSE	tr|A0A8B7TMS1|A0A8B7TMS1_CASCN, tr|A0A8C0VWC6|A0A8C0VWC6_CASCN
OG0000054	sp|Q9JM71|K1B27_MOUSE, sp|Q61754|K1B24_MOUSE, sp|Q61759|K1B21_MOUSE, sp|P15946|K1B11_MOUSE, sp|P36369|K1B26_MOUSE, sp|P36368|EGFB2_MOUSE, sp|P04071|K1B16_MOUSE, sp|P07628|K1KB8_MOUSE, sp|P15948|K1B22_MOUSE, sp|P15949|K1KB9_MOUSE, sp|P00755|K1KB1_MOUSE, sp|P00756|K1KB3_MOUSE, sp|P15945|K1KB5_MOUSE, sp|P15947|KLK1_MOUSE, sp|P00757|K1KB4_MOUSE	tr|A0A8B7U7T3|A0A8B7U7T3_CASCN, tr|A0A8B7U8F0|A0A8B7U8F0_CASCN, tr|A0A8B7U704|A0A8B7U704_CASCN
OG0000055	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A8C0X634|A0A8C0X634_CASCN
OG0000055	sp|Q8BFU2|H2A3_MOUSE	tr|A0A8C0XV99|A0A8C0XV99_CASCN
OG0000055	sp|C0HKE1|H2A1B_MOUSE	tr|A0A8B7TMZ6|A0A8B7TMZ6_CASCN
OG0000055	sp|C0HKE3|H2A1D_MOUSE	tr|A0A250XV11|A0A250XV11_CASCN
OG0000055	sp|C0HKE8|H2A1O_MOUSE	tr|A0A8B7TMP6|A0A8B7TMP6_CASCN
OG0000056	tr|Q8R284|Q8R284_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|K7N608|K7N608_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|Q8R290|Q8R290_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE	tr|A0A8B7TIG6|A0A8B7TIG6_CASCN
OG0000061	sp|A2ASI5|SCN3A_MOUSE	tr|A0A8B7TIH4|A0A8B7TIH4_CASCN
OG0000061	sp|A2APX8|SCN1A_MOUSE	tr|A0A8B7U057|A0A8B7U057_CASCN
OG0000061	sp|B1AWN6|SCN2A_MOUSE	tr|A0A8C0WLS4|A0A8C0WLS4_CASCN
OG0000061	sp|Q62205|SCN9A_MOUSE	tr|A0A8B7TY71|A0A8B7TY71_CASCN
OG0000061	sp|Q9WTU3|SCN8A_MOUSE	tr|A0A8B7TKS5|A0A8B7TKS5_CASCN
OG0000061	sp|Q6QIY3|SCNAA_MOUSE	tr|A0A8B7VS25|A0A8B7VS25_CASCN
OG0000061	sp|Q9JJV9|SCN5A_MOUSE	tr|A0A8B7VPZ7|A0A8B7VPZ7_CASCN
OG0000061	sp|Q9ER60|SCN4A_MOUSE	tr|A0A8B7WBP6|A0A8B7WBP6_CASCN, tr|A0A8B7TWC8|A0A8B7TWC8_CASCN
OG0000062	sp|Q8BJE2|BTNL9_MOUSE	tr|A0A8B7TVX5|A0A8B7TVX5_CASCN, tr|A0A8B7UWE0|A0A8B7UWE0_CASCN, tr|A0A8B7TXY1|A0A8B7TXY1_CASCN, tr|A0A8B7V986|A0A8B7V986_CASCN, tr|A0A8B7UY57|A0A8B7UY57_CASCN, tr|A0A8B7VBU5|A0A8B7VBU5_CASCN, tr|A0A8B7TRP9|A0A8B7TRP9_CASCN, tr|A0A8B7TXZ9|A0A8B7TXZ9_CASCN, tr|A0A8B7TPM4|A0A8B7TPM4_CASCN, tr|A0A8B7WJB4|A0A8B7WJB4_CASCN, tr|A0A8B7TZ43|A0A8B7TZ43_CASCN, tr|A0A8B7TQ41|A0A8B7TQ41_CASCN, tr|A0A8B7TS13|A0A8B7TS13_CASCN, tr|A0A8B7TWF1|A0A8B7TWF1_CASCN, tr|A0A8B7V9A8|A0A8B7V9A8_CASCN, tr|A0A8B7VBM6|A0A8B7VBM6_CASCN
OG0000070	sp|Q8BW94|DYH3_MOUSE	tr|A0A8B7W3W3|A0A8B7W3W3_CASCN
OG0000070	tr|L7N1Y0|L7N1Y0_MOUSE, tr|A0A087WR13|A0A087WR13_MOUSE, tr|E9Q0T8|E9Q0T8_MOUSE	tr|A0A8B7WHQ5|A0A8B7WHQ5_CASCN, tr|A0A8B7TQS0|A0A8B7TQS0_CASCN, tr|A0A8B7THT2|A0A8B7THT2_CASCN
OG0000070	sp|E9Q8T7|DYH1_MOUSE	tr|A0A8B7VD09|A0A8B7VD09_CASCN
OG0000070	sp|P0C6F1|DYH2_MOUSE, tr|E9Q0B6|E9Q0B6_MOUSE	tr|A0A8B7WIF1|A0A8B7WIF1_CASCN
OG0000070	sp|Q3V0Q1|DYH12_MOUSE	tr|A0A8B7TYD2|A0A8B7TYD2_CASCN
OG0000071	tr|Q7TRL3|Q7TRL3_MOUSE	tr|A0A8B7W3Y3|A0A8B7W3Y3_CASCN
OG0000071	tr|Q0VEL5|Q0VEL5_MOUSE	tr|A0A8B7W3B2|A0A8B7W3B2_CASCN, tr|A0A8B7W3E1|A0A8B7W3E1_CASCN, tr|A0A8C0ZQH5|A0A8C0ZQH5_CASCN
OG0000071	tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE	tr|A0A8B7TQ36|A0A8B7TQ36_CASCN, tr|A0A8B7TIF8|A0A8B7TIF8_CASCN, tr|A0A8C0VYK9|A0A8C0VYK9_CASCN, tr|A0A8B7TKD2|A0A8B7TKD2_CASCN, tr|A0A8B7TZP8|A0A8B7TZP8_CASCN
OG0000073	tr|D3Z7A9|D3Z7A9_MOUSE	tr|A0A8B7UE31|A0A8B7UE31_CASCN, tr|A0A8B7TKN7|A0A8B7TKN7_CASCN, tr|A0A8B7WK74|A0A8B7WK74_CASCN, tr|A0A8B7TNU9|A0A8B7TNU9_CASCN, tr|A0A8B7WK65|A0A8B7WK65_CASCN, tr|A0A8B7UEV3|A0A8B7UEV3_CASCN, tr|A0A8B7UCT7|A0A8B7UCT7_CASCN, tr|A0A250YDY2|A0A250YDY2_CASCN, tr|A0A8B7TT54|A0A8B7TT54_CASCN, tr|A0A8B7VTN4|A0A8B7VTN4_CASCN, tr|A0A8B7VX96|A0A8B7VX96_CASCN, tr|A0A8B7UIF5|A0A8B7UIF5_CASCN, tr|A0A8B7VCK2|A0A8B7VCK2_CASCN, tr|A0A8B7W8R7|A0A8B7W8R7_CASCN
OG0000074	sp|P29319|EPHA3_MOUSE	tr|A0A8B7UTW5|A0A8B7UTW5_CASCN
OG0000074	sp|Q03137|EPHA4_MOUSE	tr|A0A8B7UQB4|A0A8B7UQB4_CASCN
OG0000074	sp|Q61772|EPHA7_MOUSE	tr|A0A8B7TQ88|A0A8B7TQ88_CASCN
OG0000074	sp|Q60629|EPHA5_MOUSE	tr|A0A8B7WIH9|A0A8B7WIH9_CASCN
OG0000074	sp|Q8CBF3|EPHB1_MOUSE	tr|A0A8B7TGL1|A0A8B7TGL1_CASCN
OG0000074	sp|P54763|EPHB2_MOUSE	tr|A0A8B7TXS5|A0A8B7TXS5_CASCN
OG0000074	sp|P54754|EPHB3_MOUSE	tr|A0A8B7W0M4|A0A8B7W0M4_CASCN
