Orthogroup	Mus_musculus	Camelus_ferus 
OG0000008	sp|P29391|FRIL1_MOUSE, sp|P49945|FRIL2_MOUSE	tr|S9W5U1|S9W5U1_CAMFR, tr|S9XPB8|S9XPB8_CAMFR, tr|T0NN88|T0NN88_CAMFR, tr|S9XSR2|S9XSR2_CAMFR, tr|S9WSM1|S9WSM1_CAMFR, tr|S9Y8C3|S9Y8C3_CAMFR, tr|S9W8B7|S9W8B7_CAMFR, tr|S9WFY9|S9WFY9_CAMFR, tr|T0MI73|T0MI73_CAMFR, tr|S9WAD5|S9WAD5_CAMFR, tr|S9XQW7|S9XQW7_CAMFR, tr|S9W5J3|S9W5J3_CAMFR, tr|S9YBU5|S9YBU5_CAMFR, tr|S9XJX2|S9XJX2_CAMFR, tr|T0M999|T0M999_CAMFR, tr|S9XN66|S9XN66_CAMFR, tr|S9XPV4|S9XPV4_CAMFR, tr|S9WRU0|S9WRU0_CAMFR, tr|S9WJU6|S9WJU6_CAMFR, tr|S9WDC0|S9WDC0_CAMFR, tr|T0M944|T0M944_CAMFR, tr|T0NP77|T0NP77_CAMFR, tr|S9YK97|S9YK97_CAMFR, tr|S9XS03|S9XS03_CAMFR, tr|S9WN82|S9WN82_CAMFR, tr|S9XDM8|S9XDM8_CAMFR, tr|S9XVI6|S9XVI6_CAMFR, tr|S9WS69|S9WS69_CAMFR, tr|S9XB46|S9XB46_CAMFR, tr|S9XLU8|S9XLU8_CAMFR, tr|S9WFC9|S9WFC9_CAMFR, tr|S9XRY5|S9XRY5_CAMFR, tr|S9XR69|S9XR69_CAMFR, tr|S9WU59|S9WU59_CAMFR, tr|S9XVQ6|S9XVQ6_CAMFR, tr|S9X7R7|S9X7R7_CAMFR, tr|S9WL66|S9WL66_CAMFR, tr|S9X900|S9X900_CAMFR, tr|S9WE13|S9WE13_CAMFR, tr|S9WPW7|S9WPW7_CAMFR, tr|S9X8L7|S9X8L7_CAMFR, tr|S9W9Y4|S9W9Y4_CAMFR, tr|S9XM15|S9XM15_CAMFR
OG0000010	sp|Q9JJZ2|TBA8_MOUSE	tr|S9YDR6|S9YDR6_CAMFR
OG0000010	sp|P68368|TBA4A_MOUSE	tr|S9WLQ6|S9WLQ6_CAMFR
OG0000010	sp|P05214|TBA3_MOUSE	tr|S9WTB7|S9WTB7_CAMFR, tr|S9WF34|S9WF34_CAMFR, tr|S9WGQ2|S9WGQ2_CAMFR, tr|S9Y940|S9Y940_CAMFR, tr|S9WXU8|S9WXU8_CAMFR, tr|T0NSI0|T0NSI0_CAMFR, tr|S9WPV4|S9WPV4_CAMFR, tr|S9XPR1|S9XPR1_CAMFR, tr|S9X757|S9X757_CAMFR, tr|S9XEG9|S9XEG9_CAMFR, tr|S9W7X2|S9W7X2_CAMFR, tr|S9YFL3|S9YFL3_CAMFR, tr|S9X6H9|S9X6H9_CAMFR, tr|S9XUP0|S9XUP0_CAMFR, tr|S9W4Z0|S9W4Z0_CAMFR, tr|S9WRL9|S9WRL9_CAMFR, tr|S9WTE3|S9WTE3_CAMFR, tr|S9XZQ0|S9XZQ0_CAMFR, tr|S9X2W9|S9X2W9_CAMFR, tr|S9WK19|S9WK19_CAMFR, tr|S9X337|S9X337_CAMFR, tr|S9Y0W1|S9Y0W1_CAMFR, tr|S9XEX0|S9XEX0_CAMFR, tr|S9WCM6|S9WCM6_CAMFR, tr|S9XLA2|S9XLA2_CAMFR, tr|S9XG46|S9XG46_CAMFR
OG0000011	tr|A0A075B5N3|A0A075B5N3_MOUSE, tr|A0A140T8M4|A0A140T8M4_MOUSE, tr|A0A075B5N2|A0A075B5N2_MOUSE, tr|A0A140T8P2|A0A140T8P2_MOUSE, sp|P01634|KV5A2_MOUSE, tr|A0A140T8M5|A0A140T8M5_MOUSE, tr|A0A140T8P1|A0A140T8P1_MOUSE, tr|A0A140T8N5|A0A140T8N5_MOUSE, tr|A0A140T8N7|A0A140T8N7_MOUSE, sp|P01633|KV5A1_MOUSE, sp|P84750|KVM5_MOUSE, tr|A0A075B5N7|A0A075B5N7_MOUSE, tr|A0A140T8N9|A0A140T8N9_MOUSE, sp|P01632|KV1A1_MOUSE, tr|A0A075B5N4|A0A075B5N4_MOUSE, tr|A0A075B5N5|A0A075B5N5_MOUSE, tr|A0A0B4J1J3|A0A0B4J1J3_MOUSE, tr|A0A0G2JGT0|A0A0G2JGT0_MOUSE, tr|A0A075B5N6|A0A075B5N6_MOUSE, tr|A0A0G2JDU0|A0A0G2JDU0_MOUSE, tr|A0A140T8P5|A0A140T8P5_MOUSE, tr|A0A140T8M3|A0A140T8M3_MOUSE, tr|A0A140T8P7|A0A140T8P7_MOUSE, tr|A0A0B4J1H7|A0A0B4J1H7_MOUSE, tr|A0A0B4J1H9|A0A0B4J1H9_MOUSE, tr|A0A140T8M8|A0A140T8M8_MOUSE, tr|A0A0B4J1H8|A0A0B4J1H8_MOUSE, tr|A0A075B5N0|A0A075B5N0_MOUSE, sp|P01627|KV2A2_MOUSE, tr|A0A075B5K6|A0A075B5K6_MOUSE, sp|P01630|KV2A6_MOUSE, sp|P01629|KV2A4_MOUSE, sp|P03976|KV2A5_MOUSE, tr|A0A075B5J6|A0A075B5J6_MOUSE, tr|A0A0B4J1H6|A0A0B4J1H6_MOUSE, tr|A0A075B5K8|A0A075B5K8_MOUSE, tr|A0A140T8N1|A0A140T8N1_MOUSE, tr|A0A140T8M9|A0A140T8M9_MOUSE, tr|A0A140T8M0|A0A140T8M0_MOUSE, sp|P01631|KV2A7_MOUSE, tr|A0A0B4J1I0|A0A0B4J1I0_MOUSE	tr|S9X3E8|S9X3E8_CAMFR
OG0000018	tr|Q8R2D2|Q8R2D2_MOUSE, tr|H3BLP0|H3BLP0_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE, tr|Q14C10|Q14C10_MOUSE, tr|G5E8I3|G5E8I3_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|Q8R2D6|Q8R2D6_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|G3XA52|G3XA52_MOUSE, tr|Q8R2E0|Q8R2E0_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|K7N775|K7N775_MOUSE, tr|Q8R2C2|Q8R2C2_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE, tr|Q8R2C7|Q8R2C7_MOUSE, tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|H3BKW5|H3BKW5_MOUSE, tr|K7N778|K7N778_MOUSE, tr|K7N688|K7N688_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE	tr|T0M615|T0M615_CAMFR
OG0000020	sp|P47915|RL29_MOUSE, tr|W4VSN7|W4VSN7_MOUSE	tr|S9Y7L9|S9Y7L9_CAMFR, tr|S9WC50|S9WC50_CAMFR, tr|S9YKY0|S9YKY0_CAMFR, tr|S9W5N8|S9W5N8_CAMFR, tr|S9YP02|S9YP02_CAMFR, tr|S9YCJ8|S9YCJ8_CAMFR, tr|S9YVA8|S9YVA8_CAMFR, tr|S9WU85|S9WU85_CAMFR, tr|S9Y4Q3|S9Y4Q3_CAMFR, tr|S9X188|S9X188_CAMFR, tr|S9X6X1|S9X6X1_CAMFR, tr|S9X567|S9X567_CAMFR, tr|S9YHZ2|S9YHZ2_CAMFR, tr|S9X1X5|S9X1X5_CAMFR, tr|S9WLR9|S9WLR9_CAMFR, tr|S9XHP3|S9XHP3_CAMFR, tr|S9WAT0|S9WAT0_CAMFR, tr|S9WPD0|S9WPD0_CAMFR, tr|S9XPB7|S9XPB7_CAMFR, tr|S9Y0N3|S9Y0N3_CAMFR, tr|S9WMK9|S9WMK9_CAMFR, tr|S9WY17|S9WY17_CAMFR, tr|S9XLP7|S9XLP7_CAMFR, tr|S9XUS9|S9XUS9_CAMFR, tr|S9XHM2|S9XHM2_CAMFR, tr|S9XNR0|S9XNR0_CAMFR, tr|S9XU29|S9XU29_CAMFR, tr|S9WC19|S9WC19_CAMFR, tr|S9XUY3|S9XUY3_CAMFR, tr|S9YC46|S9YC46_CAMFR, tr|S9WEA9|S9WEA9_CAMFR, tr|S9XD42|S9XD42_CAMFR, tr|S9YCX2|S9YCX2_CAMFR
OG0000021	sp|P62911|RL32_MOUSE	tr|T0MH89|T0MH89_CAMFR, tr|S9Y0E8|S9Y0E8_CAMFR, tr|S9XI63|S9XI63_CAMFR, tr|T0M4B9|T0M4B9_CAMFR, tr|S9XI36|S9XI36_CAMFR, tr|S9WEP5|S9WEP5_CAMFR, tr|T0MK79|T0MK79_CAMFR, tr|S9WVS0|S9WVS0_CAMFR, tr|S9XCM9|S9XCM9_CAMFR, tr|S9YQS8|S9YQS8_CAMFR, tr|S9WDX1|S9WDX1_CAMFR, tr|T0NKY6|T0NKY6_CAMFR, tr|T0MGD5|T0MGD5_CAMFR, tr|S9WEE1|S9WEE1_CAMFR, tr|T0MC83|T0MC83_CAMFR, tr|S9X5F8|S9X5F8_CAMFR, tr|S9XZ57|S9XZ57_CAMFR, tr|S9XGC5|S9XGC5_CAMFR, tr|S9WFM1|S9WFM1_CAMFR, tr|S9XEY5|S9XEY5_CAMFR, tr|S9YDZ9|S9YDZ9_CAMFR, tr|S9XDE5|S9XDE5_CAMFR, tr|S9XF66|S9XF66_CAMFR, tr|S9WSQ7|S9WSQ7_CAMFR, tr|S9YIH8|S9YIH8_CAMFR, tr|S9WCX1|S9WCX1_CAMFR, tr|S9XNY4|S9XNY4_CAMFR, tr|S9XP69|S9XP69_CAMFR, tr|S9XAL5|S9XAL5_CAMFR, tr|S9Y0F9|S9Y0F9_CAMFR, tr|T0MH42|T0MH42_CAMFR, tr|S9W2S5|S9W2S5_CAMFR, tr|S9XF07|S9XF07_CAMFR
OG0000023	tr|Q8VGP1|Q8VGP1_MOUSE	tr|S9XYZ4|S9XYZ4_CAMFR
OG0000023	tr|Q8VGN6|Q8VGN6_MOUSE	tr|S9WL94|S9WL94_CAMFR
OG0000023	tr|Q8VGP0|Q8VGP0_MOUSE	tr|S9X3K6|S9X3K6_CAMFR
OG0000023	tr|Q8VGN9|Q8VGN9_MOUSE	tr|S9XYZ2|S9XYZ2_CAMFR
OG0000023	tr|Q8VGN4|Q8VGN4_MOUSE	tr|S9WMQ4|S9WMQ4_CAMFR
OG0000023	tr|Q8VGM8|Q8VGM8_MOUSE	tr|S9YX13|S9YX13_CAMFR, tr|S9WFC1|S9WFC1_CAMFR, tr|S9XBE2|S9XBE2_CAMFR, tr|S9XK85|S9XK85_CAMFR, tr|S9XLB5|S9XLB5_CAMFR
OG0000023	tr|A2AVK5|A2AVK5_MOUSE	tr|S9XLH1|S9XLH1_CAMFR, tr|S9XLG5|S9XLG5_CAMFR
OG0000024	tr|V9GXR0|V9GXR0_MOUSE, sp|P14431|HA19_MOUSE, sp|P14429|HA17_MOUSE, tr|P79568|P79568_MOUSE, sp|P14430|HA18_MOUSE, tr|Q8HWB2|Q8HWB2_MOUSE, sp|P01898|HA10_MOUSE, tr|Q85ZW8|Q85ZW8_MOUSE, tr|Q85ZW5|Q85ZW5_MOUSE, tr|Q85ZW9|Q85ZW9_MOUSE, tr|Q85ZW6|Q85ZW6_MOUSE, tr|Q85ZW7|Q85ZW7_MOUSE, tr|O19443|O19443_MOUSE, tr|O19442|O19442_MOUSE, tr|F7CXU4|F7CXU4_MOUSE, tr|F6U8V3|F6U8V3_MOUSE, tr|A7VMS3|A7VMS3_MOUSE, sp|P14432|HA1T_MOUSE, tr|Q6W9L1|Q6W9L1_MOUSE, tr|F6T1I5|F6T1I5_MOUSE, tr|Q31615|Q31615_MOUSE, tr|Q31093|Q31093_MOUSE, tr|A7VMS2|A7VMS2_MOUSE, tr|Q0WXH6|Q0WXH6_MOUSE, sp|P06339|HA15_MOUSE, tr|Q4KN81|Q4KN81_MOUSE, tr|O19441|O19441_MOUSE, tr|G3UXE9|G3UXE9_MOUSE, sp|P01901|HA1B_MOUSE, sp|P14427|HA14_MOUSE, sp|P01896|HA1Z_MOUSE, sp|P01897|HA1L_MOUSE	tr|S9WCF5|S9WCF5_CAMFR
OG0000025	tr|Q8VFQ1|Q8VFQ1_MOUSE	tr|S9XMC2|S9XMC2_CAMFR
OG0000025	tr|E9PWF9|E9PWF9_MOUSE	tr|S9XE15|S9XE15_CAMFR
OG0000025	tr|Q8VFH0|Q8VFH0_MOUSE	tr|S9WBA5|S9WBA5_CAMFR
OG0000025	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|S9X5R8|S9X5R8_CAMFR
OG0000025	sp|Q60890|OLF11_MOUSE	tr|S9WCR3|S9WCR3_CAMFR
OG0000025	tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE	tr|S9XBF1|S9XBF1_CAMFR, tr|S9WG98|S9WG98_CAMFR
OG0000025	tr|Q8VGW6|Q8VGW6_MOUSE	tr|S9WAA2|S9WAA2_CAMFR
OG0000025	tr|Q7TQU0|Q7TQU0_MOUSE	tr|S9XUS5|S9XUS5_CAMFR
OG0000026	sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE1|H2A1B_MOUSE	tr|S9X3T8|S9X3T8_CAMFR
OG0000026	sp|Q8BFU2|H2A3_MOUSE	tr|S9Z0I4|S9Z0I4_CAMFR
OG0000026	sp|Q6GSS7|H2A2A_MOUSE	tr|S9XWY5|S9XWY5_CAMFR
OG0000026	sp|Q64523|H2A2C_MOUSE	tr|S9WM44|S9WM44_CAMFR
OG0000026	sp|Q8R1M2|H2AJ_MOUSE	tr|T0MID9|T0MID9_CAMFR
OG0000026	sp|Q64522|H2A2B_MOUSE	tr|S9WX96|S9WX96_CAMFR, tr|S9X6L0|S9X6L0_CAMFR, tr|S9WTT9|S9WTT9_CAMFR
OG0000029	tr|Q8VGG6|Q8VGG6_MOUSE	tr|T0M5F1|T0M5F1_CAMFR
OG0000029	tr|Q7TQU8|Q7TQU8_MOUSE	tr|S9Y0M8|S9Y0M8_CAMFR
OG0000029	sp|Q9JHB2|OLF19_MOUSE	tr|S9XR61|S9XR61_CAMFR, tr|S9WN68|S9WN68_CAMFR, tr|S9WPM5|S9WPM5_CAMFR, tr|S9WN72|S9WN72_CAMFR, tr|S9WGI0|S9WGI0_CAMFR, tr|S9XR50|S9XR50_CAMFR
OG0000029	tr|Q8VGX5|Q8VGX5_MOUSE, tr|Q8VGU8|Q8VGU8_MOUSE	tr|S9Y0L9|S9Y0L9_CAMFR
OG0000029	tr|E9PVX1|E9PVX1_MOUSE	tr|T0NJB0|T0NJB0_CAMFR, tr|T0MEC9|T0MEC9_CAMFR
OG0000030	sp|Q6PGE4|ZF316_MOUSE	tr|S9XLS7|S9XLS7_CAMFR
OG0000030	sp|Q80YP6|ZIK1_MOUSE	tr|S9XYY8|S9XYY8_CAMFR, tr|S9XRL6|S9XRL6_CAMFR, tr|S9XG19|S9XG19_CAMFR, tr|S9XVK8|S9XVK8_CAMFR, tr|S9WFA2|S9WFA2_CAMFR, tr|S9XES4|S9XES4_CAMFR, tr|S9W6B5|S9W6B5_CAMFR, tr|S9Y4J4|S9Y4J4_CAMFR, tr|S9XV02|S9XV02_CAMFR, tr|S9WXM2|S9WXM2_CAMFR, tr|S9XPR9|S9XPR9_CAMFR
OG0000030	tr|Q9CXH3|Q9CXH3_MOUSE	tr|S9YA52|S9YA52_CAMFR, tr|S9YUF1|S9YUF1_CAMFR, tr|S9WF98|S9WF98_CAMFR, tr|S9WB82|S9WB82_CAMFR
OG0000030	tr|Q640N4|Q640N4_MOUSE	tr|S9YE60|S9YE60_CAMFR
OG0000030	sp|Q61967|ZFP90_MOUSE	tr|S9XN25|S9XN25_CAMFR
OG0000030	sp|Q2TL60|ZN667_MOUSE	tr|S9X7L4|S9X7L4_CAMFR
OG0000031	sp|Q8VED5|K2C79_MOUSE	tr|S9Y6I3|S9Y6I3_CAMFR
OG0000031	sp|P07744|K2C4_MOUSE	tr|S9WX00|S9WX00_CAMFR
OG0000031	sp|Q3UV17|K22O_MOUSE	tr|S9X688|S9X688_CAMFR
OG0000031	sp|Q9R0H5|K2C71_MOUSE	tr|S9YFM0|S9YFM0_CAMFR
OG0000031	sp|Q6NXH9|K2C73_MOUSE	tr|S9X697|S9X697_CAMFR
OG0000031	sp|P11679|K2C8_MOUSE	tr|S9X684|S9X684_CAMFR
OG0000031	sp|Q9DCV7|K2C7_MOUSE	tr|S9XNI4|S9XNI4_CAMFR, tr|S9W9S8|S9W9S8_CAMFR, tr|S9XHK0|S9XHK0_CAMFR, tr|S9XRD4|S9XRD4_CAMFR, tr|S9W8Y8|S9W8Y8_CAMFR, tr|S9Y668|S9Y668_CAMFR, tr|S9WFX5|S9WFX5_CAMFR
OG0000031	tr|E9Q1Z0|E9Q1Z0_MOUSE	tr|S9Y6J1|S9Y6J1_CAMFR, tr|S9XI90|S9XI90_CAMFR, tr|S9WX11|S9WX11_CAMFR, tr|S9XT90|S9XT90_CAMFR
OG0000033	tr|A0A0B4J1K5|A0A0B4J1K5_MOUSE	tr|S9X089|S9X089_CAMFR, tr|S9XPX9|S9XPX9_CAMFR, tr|S9WYF3|S9WYF3_CAMFR, tr|S9YAV5|S9YAV5_CAMFR, tr|S9YCZ2|S9YCZ2_CAMFR, tr|S9WUC8|S9WUC8_CAMFR, tr|S9YGT7|S9YGT7_CAMFR, tr|S9XR91|S9XR91_CAMFR, tr|S9XHT6|S9XHT6_CAMFR, tr|S9XLA3|S9XLA3_CAMFR, tr|S9WYA3|S9WYA3_CAMFR, tr|S9WUJ0|S9WUJ0_CAMFR, tr|S9Y3X1|S9Y3X1_CAMFR, tr|S9WRM9|S9WRM9_CAMFR, tr|S9YAP3|S9YAP3_CAMFR, tr|S9WYF7|S9WYF7_CAMFR, tr|S9YD96|S9YD96_CAMFR, tr|S9X033|S9X033_CAMFR, tr|S9WRJ0|S9WRJ0_CAMFR, tr|S9W2X1|S9W2X1_CAMFR, tr|S9YAP8|S9YAP8_CAMFR, tr|S9Y0L8|S9Y0L8_CAMFR, tr|S9W9E0|S9W9E0_CAMFR, tr|S9WYA8|S9WYA8_CAMFR, tr|S9XLB1|S9XLB1_CAMFR, tr|S9X114|S9X114_CAMFR, tr|S9X094|S9X094_CAMFR
OG0000034	sp|Q7TQA7|TA2R3_MOUSE, sp|P59530|TA2R7_MOUSE, tr|Q7M708|Q7M708_MOUSE, sp|Q7M713|TR116_MOUSE, sp|Q7M711|TR113_MOUSE, sp|Q7M715|TR117_MOUSE, sp|Q7M707|TR109_MOUSE, sp|Q7M709|TR129_MOUSE, sp|Q9JKA3|TR103_MOUSE, sp|Q7TQA4|TR140_MOUSE, sp|Q7M710|TR125_MOUSE, tr|Q7M719|Q7M719_MOUSE, sp|Q7M712|TR110_MOUSE, sp|P59528|TR123_MOUSE, sp|Q7M717|TR102_MOUSE, sp|Q7M718|TR124_MOUSE, sp|Q7M720|T2R13_MOUSE, sp|Q7TQA8|TR136_MOUSE, sp|Q7M721|TR120_MOUSE, tr|D3YU55|D3YU55_MOUSE, sp|Q7M722|TR114_MOUSE, sp|Q7M725|TR107_MOUSE, sp|Q7M724|TR106_MOUSE, sp|Q7M723|TR104_MOUSE, sp|Q9JKT4|TR105_MOUSE	tr|S9WX73|S9WX73_CAMFR
OG0000038	tr|G3UW88|G3UW88_MOUSE	tr|S9WB18|S9WB18_CAMFR, tr|S9XNB6|S9XNB6_CAMFR
OG0000038	tr|A2AMW4|A2AMW4_MOUSE	tr|S9XMZ4|S9XMZ4_CAMFR, tr|S9XPF6|S9XPF6_CAMFR, tr|S9XL54|S9XL54_CAMFR, tr|S9XQH2|S9XQH2_CAMFR, tr|S9W779|S9W779_CAMFR
OG0000038	tr|Q99PA7|Q99PA7_MOUSE	tr|S9XJZ9|S9XJZ9_CAMFR, tr|S9WL37|S9WL37_CAMFR, tr|S9WE98|S9WE98_CAMFR
OG0000038	sp|Q8BQR7|MAGBI_MOUSE	tr|S9XWC9|S9XWC9_CAMFR, tr|S9XLK7|S9XLK7_CAMFR, tr|S9WKF5|S9WKF5_CAMFR, tr|S9XIE1|S9XIE1_CAMFR, tr|S9XN46|S9XN46_CAMFR, tr|S9W4X5|S9W4X5_CAMFR
OG0000040	sp|Q61772|EPHA7_MOUSE	tr|S9Y4L2|S9Y4L2_CAMFR
OG0000040	sp|Q03137|EPHA4_MOUSE, sp|Q62413|EPHA6_MOUSE, sp|O09127|EPHA8_MOUSE	tr|S9X220|S9X220_CAMFR
OG0000040	sp|P54761|EPHB4_MOUSE	tr|S9WI79|S9WI79_CAMFR, tr|S9Y3B1|S9Y3B1_CAMFR
OG0000040	sp|P54754|EPHB3_MOUSE	tr|S9Y4Q0|S9Y4Q0_CAMFR
OG0000040	sp|Q8CBF3|EPHB1_MOUSE, sp|P54763|EPHB2_MOUSE	tr|S9X229|S9X229_CAMFR
OG0000040	sp|Q60629|EPHA5_MOUSE, sp|P29319|EPHA3_MOUSE	tr|S9WPX9|S9WPX9_CAMFR
OG0000045	sp|Q8BFZ3|ACTBL_MOUSE	tr|S9X844|S9X844_CAMFR
