Orthogroup	Mus_musculus	Mandrillus_leucophaeus
OG0000007	tr|Q8VGY4|Q8VGY4_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE	tr|A0A2K5YEM0|A0A2K5YEM0_MANLE
OG0000007	tr|E9Q407|E9Q407_MOUSE, tr|E9Q544|E9Q544_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|K7N609|K7N609_MOUSE, tr|L7N462|L7N462_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE	tr|A0A2K6AJA4|A0A2K6AJA4_MANLE
OG0000007	tr|Q8VH14|Q8VH14_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|Q8VGX6|Q8VGX6_MOUSE, tr|E9Q7P5|E9Q7P5_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q8VH21|Q8VH21_MOUSE	tr|A0A2K5YTW6|A0A2K5YTW6_MANLE
OG0000008	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A2K5ZAY0|A0A2K5ZAY0_MANLE
OG0000008	tr|Q7TQU0|Q7TQU0_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, sp|Q60890|OLF11_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE	tr|A0A2K5YFN5|A0A2K5YFN5_MANLE
OG0000009	sp|P17141|ZFP37_MOUSE	tr|A0A2K5XS25|A0A2K5XS25_MANLE
OG0000009	tr|Q640N4|Q640N4_MOUSE	tr|A0A2K5ZLR5|A0A2K5ZLR5_MANLE, tr|A0A2K6ACY1|A0A2K6ACY1_MANLE, tr|A0A2K5ZDM8|A0A2K5ZDM8_MANLE, tr|A0A2K5Z157|A0A2K5Z157_MANLE, tr|A0A2K5YT28|A0A2K5YT28_MANLE, tr|A0A2K5Y8G1|A0A2K5Y8G1_MANLE, tr|A0A2K5Y3C9|A0A2K5Y3C9_MANLE, tr|A0A2K5YDQ8|A0A2K5YDQ8_MANLE
OG0000009	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2K5XWI3|A0A2K5XWI3_MANLE, tr|A0A2K5YQS2|A0A2K5YQS2_MANLE
OG0000009	sp|B2RXC5|ZN382_MOUSE	tr|A0A2K6ABE2|A0A2K6ABE2_MANLE, tr|A0A2K5ZVG2|A0A2K5ZVG2_MANLE
OG0000009	sp|Q80W31|ZN569_MOUSE	tr|A0A2K5ZN11|A0A2K5ZN11_MANLE, tr|A0A2K5Y4P1|A0A2K5Y4P1_MANLE, tr|A0A2K5Y2G6|A0A2K5Y2G6_MANLE, tr|A0A2K5YUH9|A0A2K5YUH9_MANLE
OG0000009	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A2K5YHA9|A0A2K5YHA9_MANLE, tr|A0A2K5Z3I6|A0A2K5Z3I6_MANLE, tr|A0A2K6ACT8|A0A2K6ACT8_MANLE, tr|A0A2K5YMH9|A0A2K5YMH9_MANLE, tr|A0A2K5XHS0|A0A2K5XHS0_MANLE, tr|A0A2K5XP56|A0A2K5XP56_MANLE, tr|A0A2K5XCR1|A0A2K5XCR1_MANLE, tr|A0A2K6A5A8|A0A2K6A5A8_MANLE, tr|A0A2K5YAY2|A0A2K5YAY2_MANLE, tr|A0A2K6AAT3|A0A2K6AAT3_MANLE, tr|A0A2K6AK43|A0A2K6AK43_MANLE, tr|A0A2K5XDI1|A0A2K5XDI1_MANLE
OG0000010	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A2K5ZR87|A0A2K5ZR87_MANLE
OG0000010	sp|Q60585|ZFP30_MOUSE	tr|A0A2K6A534|A0A2K6A534_MANLE
OG0000010	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A2K5YC82|A0A2K5YC82_MANLE
OG0000010	sp|P10755|ZFP14_MOUSE	tr|A0A2K5Z7Y4|A0A2K5Z7Y4_MANLE, tr|A0A2K6ABG1|A0A2K6ABG1_MANLE, tr|A0A2K5ZTE5|A0A2K5ZTE5_MANLE, tr|A0A2K5ZW36|A0A2K5ZW36_MANLE, tr|A0A2K5YEE6|A0A2K5YEE6_MANLE, tr|A0A2K5YGT5|A0A2K5YGT5_MANLE
OG0000010	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A2K5ZVP5|A0A2K5ZVP5_MANLE
OG0000010	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A2K5YUD4|A0A2K5YUD4_MANLE, tr|A0A2K5ZQH5|A0A2K5ZQH5_MANLE
OG0000010	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A2K5YBB4|A0A2K5YBB4_MANLE
OG0000010	tr|Q5U406|Q5U406_MOUSE	tr|A0A2K6ALL0|A0A2K6ALL0_MANLE
OG0000010	sp|Q3V080|ZN583_MOUSE	tr|A0A2K5YYZ6|A0A2K5YYZ6_MANLE, tr|A0A2K5XF38|A0A2K5XF38_MANLE
OG0000010	sp|Q7TSH9|ZN184_MOUSE	tr|A0A2K5ZDV9|A0A2K5ZDV9_MANLE, tr|A0A2K6AA17|A0A2K6AA17_MANLE, tr|A0A2K5ZI69|A0A2K5ZI69_MANLE, tr|A0A2K5XL98|A0A2K5XL98_MANLE, tr|A0A2K5XY05|A0A2K5XY05_MANLE
OG0000010	tr|Q9D654|Q9D654_MOUSE	tr|A0A2K5XL93|A0A2K5XL93_MANLE, tr|A0A2K5YU37|A0A2K5YU37_MANLE, tr|A0A2K5XTD7|A0A2K5XTD7_MANLE, tr|A0A2K5XBU1|A0A2K5XBU1_MANLE, tr|A0A2K5YNL7|A0A2K5YNL7_MANLE, tr|A0A2K5Z2S2|A0A2K5Z2S2_MANLE, tr|A0A2K6AGB2|A0A2K6AGB2_MANLE, tr|A0A2K5ZPK0|A0A2K5ZPK0_MANLE, tr|A0A2K5YMU4|A0A2K5YMU4_MANLE
OG0000012	tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|Q8VF83|Q8VF83_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|F8VQB9|F8VQB9_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE	tr|A0A2K5Y4I2|A0A2K5Y4I2_MANLE
OG0000015	tr|Q91W94|Q91W94_MOUSE	tr|A0A2K5ZFH9|A0A2K5ZFH9_MANLE, tr|A0A2K5Z784|A0A2K5Z784_MANLE, tr|A0A2K5Z2M8|A0A2K5Z2M8_MANLE, tr|A0A2K5XET6|A0A2K5XET6_MANLE, tr|A0A2K5YBB3|A0A2K5YBB3_MANLE, tr|A0A2K5Y8J0|A0A2K5Y8J0_MANLE, tr|A0A2K5Z580|A0A2K5Z580_MANLE, tr|A0A2K5XKQ3|A0A2K5XKQ3_MANLE, tr|A0A2K5XC20|A0A2K5XC20_MANLE, tr|A0A2K5XE57|A0A2K5XE57_MANLE, tr|A0A2K5ZNW3|A0A2K5ZNW3_MANLE, tr|A0A2K5YG57|A0A2K5YG57_MANLE, tr|A0A2K5XAH2|A0A2K5XAH2_MANLE, tr|A0A2K6A3M2|A0A2K6A3M2_MANLE, tr|A0A2K5ZAP5|A0A2K5ZAP5_MANLE, tr|A0A2K6AB31|A0A2K6AB31_MANLE, tr|A0A2K5YHX8|A0A2K5YHX8_MANLE, tr|A0A2K5YT73|A0A2K5YT73_MANLE, tr|A0A2K5Z1I2|A0A2K5Z1I2_MANLE, tr|A0A2K5ZFA2|A0A2K5ZFA2_MANLE, tr|A0A2K5XS97|A0A2K5XS97_MANLE, tr|A0A2K5XGU5|A0A2K5XGU5_MANLE, tr|A0A2K5ZA45|A0A2K5ZA45_MANLE, tr|A0A2K5ZBJ0|A0A2K5ZBJ0_MANLE, tr|A0A2K5Z9M0|A0A2K5Z9M0_MANLE, tr|A0A2K6AA19|A0A2K6AA19_MANLE, tr|A0A2K5XF27|A0A2K5XF27_MANLE, tr|A0A2K5ZUH5|A0A2K5ZUH5_MANLE, tr|A0A2K5ZEU7|A0A2K5ZEU7_MANLE, tr|A0A2K5ZCW2|A0A2K5ZCW2_MANLE, tr|A0A2K5YGH0|A0A2K5YGH0_MANLE, tr|A0A2K5YI52|A0A2K5YI52_MANLE, tr|A0A2K5XGF7|A0A2K5XGF7_MANLE, tr|A0A2K5Z2K3|A0A2K5Z2K3_MANLE, tr|A0A2K5XTX8|A0A2K5XTX8_MANLE, tr|A0A2K6ADH3|A0A2K6ADH3_MANLE, tr|A0A2K5Z1D8|A0A2K5Z1D8_MANLE, tr|A0A2K5ZTY7|A0A2K5ZTY7_MANLE, tr|A0A2K6A4V8|A0A2K6A4V8_MANLE, tr|A0A2K5YNA2|A0A2K5YNA2_MANLE, tr|A0A2K5ZP88|A0A2K5ZP88_MANLE, tr|A0A2K5YLF0|A0A2K5YLF0_MANLE, tr|A0A2K5Y7Q5|A0A2K5Y7Q5_MANLE, tr|A0A2K5YPD3|A0A2K5YPD3_MANLE, tr|A0A2K5Z2J6|A0A2K5Z2J6_MANLE
OG0000016	tr|E9PWK2|E9PWK2_MOUSE, tr|Q8R2A3|Q8R2A3_MOUSE, tr|Q8R2A2|Q8R2A2_MOUSE, tr|A2RTT5|A2RTT5_MOUSE, tr|Q8R2A9|Q8R2A9_MOUSE, tr|A0A3B2W3R4|A0A3B2W3R4_MOUSE, tr|Q8R2A7|Q8R2A7_MOUSE, tr|Q8R2A8|Q8R2A8_MOUSE, tr|Q8R2A5|Q8R2A5_MOUSE, tr|Q8K4I0|Q8K4I0_MOUSE, tr|E9Q0V3|E9Q0V3_MOUSE, tr|Q8VIC1|Q8VIC1_MOUSE, tr|G5E8C1|G5E8C1_MOUSE, tr|Q8VIC0|Q8VIC0_MOUSE, tr|E9Q2N4|E9Q2N4_MOUSE, tr|Q8R299|Q8R299_MOUSE, tr|Q05A06|Q05A06_MOUSE, tr|Q8R294|Q8R294_MOUSE, tr|Q8R296|Q8R296_MOUSE, tr|Q8R298|Q8R298_MOUSE, tr|Q8R254|Q8R254_MOUSE, tr|A0A494B9T5|A0A494B9T5_MOUSE	tr|A0A2K5ZBJ8|A0A2K5ZBJ8_MANLE
OG0000016	tr|Q8R289|Q8R289_MOUSE, tr|Q8R290|Q8R290_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|K7N608|K7N608_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|Q8R284|Q8R284_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE, tr|Q8VIB8|Q8VIB8_MOUSE, tr|L7N213|L7N213_MOUSE, tr|E9Q235|E9Q235_MOUSE, tr|Q8R256|Q8R256_MOUSE, tr|Q8R255|Q8R255_MOUSE	tr|A0A2K6AK29|A0A2K6AK29_MANLE
OG0000019	tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE	tr|A0A2K5XKY6|A0A2K5XKY6_MANLE
OG0000019	tr|Q7TQR3|Q7TQR3_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q8VFX5|Q8VFX5_MOUSE, tr|Q8VGC6|Q8VGC6_MOUSE, tr|Q7TRA1|Q7TRA1_MOUSE, tr|Q7TRA2|Q7TRA2_MOUSE, tr|Q8VF75|Q8VF75_MOUSE, tr|Q8VF74|Q8VF74_MOUSE, tr|Q8VF73|Q8VF73_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q7TS13|Q7TS13_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, sp|Q8VFX2|O1444_MOUSE	tr|A0A2K5XSI1|A0A2K5XSI1_MANLE
OG0000025	tr|Q7TR79|Q7TR79_MOUSE, tr|Q8VGS0|Q8VGS0_MOUSE, tr|Q7TR63|Q7TR63_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, tr|A2AVY0|A2AVY0_MOUSE, tr|A2AVX9|A2AVX9_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|Q7TR76|Q7TR76_MOUSE, tr|Q8VGC7|Q8VGC7_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q7TR71|Q7TR71_MOUSE, tr|Q7TR80|Q7TR80_MOUSE, tr|Q8VFK4|Q8VFK4_MOUSE, tr|A2ARY0|A2ARY0_MOUSE, tr|A2ARY1|A2ARY1_MOUSE, tr|Q7TR81|Q7TR81_MOUSE, tr|Q7TR84|Q7TR84_MOUSE, tr|Q8VFL0|Q8VFL0_MOUSE, sp|Q8VGR9|O1044_MOUSE, sp|Q8VGS1|O1038_MOUSE	tr|A0A2K5XF69|A0A2K5XF69_MANLE
