Orthogroup	Mus_musculus	Vicugna_pacos
OG0000014	tr|Q8VGW6|Q8VGW6_MOUSE	tr|A0A6I9ILS6|A0A6I9ILS6_VICPA
OG0000014	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A6I9ILU1|A0A6I9ILU1_VICPA, tr|A0A6J0B0K3|A0A6J0B0K3_VICPA, tr|A0A6I9IKM7|A0A6I9IKM7_VICPA, tr|A0A6I9ILK8|A0A6I9ILK8_VICPA, tr|A0A6I9IPG1|A0A6I9IPG1_VICPA
OG0000015	tr|Q8VFI0|Q8VFI0_MOUSE	tr|A0A6I9IUM2|A0A6I9IUM2_VICPA, tr|A0A6I9IR74|A0A6I9IR74_VICPA
OG0000015	tr|A0A1L1SV77|A0A1L1SV77_MOUSE	tr|A0A6I9IR18|A0A6I9IR18_VICPA
OG0000015	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A6I9I761|A0A6I9I761_VICPA, tr|A0A6J0B4M0|A0A6J0B4M0_VICPA, tr|A0A6I9IRW8|A0A6I9IRW8_VICPA, tr|A0A6I9I739|A0A6I9I739_VICPA, tr|A0A6J3A8K0|A0A6J3A8K0_VICPA, tr|A0A6J0B4P5|A0A6J0B4P5_VICPA, tr|A0A6I9IS39|A0A6I9IS39_VICPA, tr|A0A6I9I708|A0A6I9I708_VICPA, tr|A0A6I9IUE7|A0A6I9IUE7_VICPA, tr|A0A6J0B1S1|A0A6J0B1S1_VICPA, tr|A0A6J0B1P5|A0A6J0B1P5_VICPA, tr|A0A6J0B1F7|A0A6J0B1F7_VICPA, tr|A0A6J3ACT7|A0A6J3ACT7_VICPA, tr|A0A6I9IRJ1|A0A6I9IRJ1_VICPA, tr|A0A6J3AEC8|A0A6J3AEC8_VICPA, tr|A0A6J0B434|A0A6J0B434_VICPA, tr|A0A6I9IQP1|A0A6I9IQP1_VICPA, tr|A0A6J3AEE7|A0A6J3AEE7_VICPA, tr|A0A6J0B1Y9|A0A6J0B1Y9_VICPA, tr|A0A6J3AFT7|A0A6J3AFT7_VICPA, tr|A0A6I9IUN7|A0A6I9IUN7_VICPA, tr|A0A6I9IQY7|A0A6I9IQY7_VICPA, tr|A0A6I9IRT7|A0A6I9IRT7_VICPA, tr|A0A6J0B487|A0A6J0B487_VICPA, tr|A0A6J3A9S1|A0A6J3A9S1_VICPA, tr|A0A6J0ARE0|A0A6J0ARE0_VICPA, tr|A0A6I9IV21|A0A6I9IV21_VICPA, tr|A0A6J0B157|A0A6J0B157_VICPA, tr|A0A6J3AD82|A0A6J3AD82_VICPA, tr|A0A6J0B635|A0A6J0B635_VICPA, tr|A0A6I9IUW9|A0A6I9IUW9_VICPA, tr|A0A6I9IRQ1|A0A6I9IRQ1_VICPA, tr|A0A6J3AFX5|A0A6J3AFX5_VICPA, tr|A0A6J3A618|A0A6J3A618_VICPA, tr|A0A6I9I3X3|A0A6I9I3X3_VICPA
OG0000027	tr|Q9D5T2|Q9D5T2_MOUSE	tr|A0A6J3A6H2|A0A6J3A6H2_VICPA, tr|A0A6J3B6X4|A0A6J3B6X4_VICPA, tr|A0A6J3AF38|A0A6J3AF38_VICPA, tr|A0A6J3AIB2|A0A6J3AIB2_VICPA, tr|A0A6J3A6J7|A0A6J3A6J7_VICPA, tr|A0A6J3BTJ6|A0A6J3BTJ6_VICPA, tr|A0A6J3BCF3|A0A6J3BCF3_VICPA, tr|A0A6J3ADE6|A0A6J3ADE6_VICPA, tr|A0A6J3B6W4|A0A6J3B6W4_VICPA, tr|A0A6J3A5Y8|A0A6J3A5Y8_VICPA, tr|A0A6J2ZYQ0|A0A6J2ZYQ0_VICPA, tr|A0A6J3A3Y3|A0A6J3A3Y3_VICPA, tr|A0A6J0B1V7|A0A6J0B1V7_VICPA, tr|A0A6J3AC17|A0A6J3AC17_VICPA, tr|A0A6J3AC99|A0A6J3AC99_VICPA, tr|A0A6J3AES8|A0A6J3AES8_VICPA, tr|A0A6J3AIC5|A0A6J3AIC5_VICPA, tr|A0A6J2ZXS3|A0A6J2ZXS3_VICPA, tr|A0A6J3A488|A0A6J3A488_VICPA, tr|A0A6J3BET5|A0A6J3BET5_VICPA, tr|A0A6J3AAK8|A0A6J3AAK8_VICPA
OG0000027	sp|Q811D2|ANR26_MOUSE	tr|A0A6J3AI02|A0A6J3AI02_VICPA
OG0000027	tr|E9PVZ3|E9PVZ3_MOUSE	tr|A0A6J3A179|A0A6J3A179_VICPA, tr|A0A6J3AC33|A0A6J3AC33_VICPA
OG0000027	tr|Q8CEQ9|Q8CEQ9_MOUSE	tr|A0A6I9I9K8|A0A6I9I9K8_VICPA
OG0000029	sp|Q80YP6|ZIK1_MOUSE	tr|A0A6J0B347|A0A6J0B347_VICPA, tr|A0A6J3AVZ7|A0A6J3AVZ7_VICPA, tr|A0A6I9IVK7|A0A6I9IVK7_VICPA, tr|A0A6J3AWJ1|A0A6J3AWJ1_VICPA, tr|A0A6J3AZV4|A0A6J3AZV4_VICPA, tr|A0A6J0AXC4|A0A6J0AXC4_VICPA, tr|A0A6J3ASG7|A0A6J3ASG7_VICPA, tr|A0A6J3ADZ2|A0A6J3ADZ2_VICPA, tr|A0A6J3A170|A0A6J3A170_VICPA, tr|A0A6J3AGX4|A0A6J3AGX4_VICPA, tr|A0A6J3AC65|A0A6J3AC65_VICPA, tr|A0A6J3AFD5|A0A6J3AFD5_VICPA, tr|A0A6J0B4S5|A0A6J0B4S5_VICPA, tr|A0A6J3AFE0|A0A6J3AFE0_VICPA, tr|A0A6J3AEB8|A0A6J3AEB8_VICPA, tr|A0A6J3AYD4|A0A6J3AYD4_VICPA, tr|A0A6I9ILQ2|A0A6I9ILQ2_VICPA, tr|A0A6I9ITQ1|A0A6I9ITQ1_VICPA, tr|A0A6J3AUJ6|A0A6J3AUJ6_VICPA, tr|A0A6J3A227|A0A6J3A227_VICPA, tr|A0A6J3AWX8|A0A6J3AWX8_VICPA, tr|A0A6J3AWJ6|A0A6J3AWJ6_VICPA, tr|A0A6J0AZV6|A0A6J0AZV6_VICPA, tr|A0A6J0AXC8|A0A6J0AXC8_VICPA, tr|A0A6J3A3P7|A0A6J3A3P7_VICPA, tr|A0A6J3AFF2|A0A6J3AFF2_VICPA, tr|A0A6J3AFE9|A0A6J3AFE9_VICPA, tr|A0A6J3A747|A0A6J3A747_VICPA, tr|A0A6J3A428|A0A6J3A428_VICPA
OG0000030	tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE	tr|A0A6J3A998|A0A6J3A998_VICPA
OG0000031	sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE3|H2A1D_MOUSE	tr|A0A6J3BED7|A0A6J3BED7_VICPA
OG0000031	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A6I9HZY4|A0A6I9HZY4_VICPA
OG0000031	sp|Q64523|H2A2C_MOUSE	tr|A0A6I9INK2|A0A6I9INK2_VICPA
OG0000031	sp|Q64522|H2A2B_MOUSE	tr|A0A6J3BCT3|A0A6J3BCT3_VICPA, tr|A0A6I9HZX3|A0A6I9HZX3_VICPA, tr|A0A6J3BEV9|A0A6J3BEV9_VICPA
OG0000031	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A6I9IUV8|A0A6I9IUV8_VICPA
OG0000031	sp|Q8BFU2|H2A3_MOUSE	tr|A0A6J0B381|A0A6J0B381_VICPA
OG0000033	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A6J3A1D0|A0A6J3A1D0_VICPA, tr|A0A6J3A188|A0A6J3A188_VICPA
OG0000033	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A6J3A666|A0A6J3A666_VICPA, tr|A0A6I9ISP3|A0A6I9ISP3_VICPA, tr|A0A6J3A5X6|A0A6J3A5X6_VICPA
OG0000033	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A6J3A5X1|A0A6J3A5X1_VICPA, tr|A0A6J3A4J4|A0A6J3A4J4_VICPA, tr|A0A6J3A4I5|A0A6J3A4I5_VICPA, tr|A0A6J0ANW0|A0A6J0ANW0_VICPA, tr|A0A6J3A676|A0A6J3A676_VICPA, tr|A0A6J3A8V4|A0A6J3A8V4_VICPA, tr|A0A6J3A8M4|A0A6J3A8M4_VICPA, tr|A0A6J3A7A0|A0A6J3A7A0_VICPA, tr|A0A6J0B0A9|A0A6J0B0A9_VICPA, tr|A0A6J3A661|A0A6J3A661_VICPA, tr|A0A6I9IRY6|A0A6I9IRY6_VICPA
OG0000034	tr|Q5NC45|Q5NC45_MOUSE	tr|A0A6J0B1J0|A0A6J0B1J0_VICPA, tr|A0A6J0B1S5|A0A6J0B1S5_VICPA, tr|A0A6J0B4B5|A0A6J0B4B5_VICPA, tr|A0A6J0B686|A0A6J0B686_VICPA
OG0000034	tr|Q8VGD7|Q8VGD7_MOUSE	tr|A0A6I9IJ87|A0A6I9IJ87_VICPA
OG0000034	sp|Q8VGD6|OLF56_MOUSE	tr|A0A6I9IJ80|A0A6I9IJ80_VICPA
OG0000034	tr|Q7TQS8|Q7TQS8_MOUSE	tr|A0A6I9IGQ6|A0A6I9IGQ6_VICPA
OG0000035	sp|P06879|PRL_MOUSE, tr|A0A0M6L0J6|A0A0M6L0J6_MOUSE, tr|F6R3P9|F6R3P9_MOUSE, sp|P18121|PR3D1_MOUSE, sp|P09586|PR3B1_MOUSE, tr|Q78Y73|Q78Y73_MOUSE, sp|Q9QUN5|PR3C1_MOUSE, tr|Q9DAV8|Q9DAV8_MOUSE, tr|O54832|O54832_MOUSE, sp|Q9DAY2|PR8A6_MOUSE, sp|Q9DAS4|PR8A8_MOUSE, sp|Q9CQ58|PR8A9_MOUSE, sp|P04769|PR7D1_MOUSE, sp|Q9CRB5|PR7C1_MOUSE, sp|Q8CGZ9|PR7B1_MOUSE, sp|O54830|PR7A1_MOUSE, sp|O54831|PR7A2_MOUSE, sp|O35257|PR6A1_MOUSE, sp|Q9JII2|PR5A1_MOUSE, sp|O35256|PR4A1_MOUSE, sp|Q9DAZ2|PR2B1_MOUSE, sp|Q9JHK0|PR2A1_MOUSE, tr|Q5SVL9|Q5SVL9_MOUSE, sp|P04095|PR2C2_MOUSE, sp|P04768|PR2C3_MOUSE, sp|Q9JLV9|PR2C5_MOUSE	tr|A7K7W0|A7K7W0_VICPA
OG0000038	sp|Q8VFM9|OLF24_MOUSE	tr|A0A6I9IBJ8|A0A6I9IBJ8_VICPA
OG0000038	tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A6I9IRS0|A0A6I9IRS0_VICPA, tr|A0A6I9IFD4|A0A6I9IFD4_VICPA, tr|A0A6I9I902|A0A6I9I902_VICPA, tr|A0A6J0AC45|A0A6J0AC45_VICPA, tr|A0A6J0AKY3|A0A6J0AKY3_VICPA, tr|A0A6I9I8U9|A0A6I9I8U9_VICPA, tr|A0A6J0B490|A0A6J0B490_VICPA, tr|A0A6J0B2L0|A0A6J0B2L0_VICPA, tr|A0A6J0B4A4|A0A6J0B4A4_VICPA, tr|A0A6J0B2P3|A0A6J0B2P3_VICPA, tr|A0A6J3BE36|A0A6J3BE36_VICPA, tr|A0A6J3BH82|A0A6J3BH82_VICPA, tr|A0A6I9I4M3|A0A6I9I4M3_VICPA, tr|A0A6I9I8M5|A0A6I9I8M5_VICPA, tr|A0A6I9IBY5|A0A6I9IBY5_VICPA, tr|A0A6I9IPF3|A0A6I9IPF3_VICPA, tr|A0A6I9IBY3|A0A6I9IBY3_VICPA, tr|A0A6J3AD76|A0A6J3AD76_VICPA, tr|A0A6I9IA82|A0A6I9IA82_VICPA, tr|A0A6J3AEV2|A0A6J3AEV2_VICPA, tr|A0A6J0AL48|A0A6J0AL48_VICPA, tr|A0A6J0AJM3|A0A6J0AJM3_VICPA, tr|A0A6J3BIL8|A0A6J3BIL8_VICPA
OG0000043	tr|A0A0G2JDX5|A0A0G2JDX5_MOUSE, tr|A0A075B605|A0A075B605_MOUSE, tr|A0A075B643|A0A075B643_MOUSE, tr|A0A075B648|A0A075B648_MOUSE, tr|A0A075B6A4|A0A075B6A4_MOUSE, tr|A0A075B626|A0A075B626_MOUSE, sp|P06323|TVA3_MOUSE, tr|A0N8N6|A0N8N6_MOUSE, tr|A0A075B621|A0A075B621_MOUSE, tr|A0A075B6D4|A0A075B6D4_MOUSE, tr|A0A075B6B9|A0A075B6B9_MOUSE, tr|A0A075B603|A0A075B603_MOUSE, tr|A0A075B623|A0A075B623_MOUSE, tr|A0A075B6A6|A0A075B6A6_MOUSE, tr|A0A075B6B0|A0A075B6B0_MOUSE, tr|A0A075B639|A0A075B639_MOUSE, tr|A0A075B6D2|A0A075B6D2_MOUSE, tr|A0A075B6D6|A0A075B6D6_MOUSE, tr|A0A075B5Z9|A0A075B5Z9_MOUSE, tr|A0A075B5Z8|A0A075B5Z8_MOUSE, tr|A0A075B6D3|A0A075B6D3_MOUSE, tr|A0A075B6D0|A0A075B6D0_MOUSE	tr|A0A6J3ALH1|A0A6J3ALH1_VICPA
OG0000045	sp|P70458|IPSP_MOUSE	tr|A0A6I9ICJ3|A0A6I9ICJ3_VICPA
OG0000045	sp|Q9D7D2|SPA9_MOUSE, sp|Q5I2A0|SPA3G_MOUSE, sp|Q80X76|SPA3F_MOUSE, tr|D3Z450|D3Z450_MOUSE, sp|P07759|SPA3K_MOUSE, sp|Q03734|SPA3M_MOUSE, sp|P29621|SPA3C_MOUSE, sp|Q91WP6|SPA3N_MOUSE, sp|Q6P4P1|SPA3A_MOUSE, tr|D3Z451|D3Z451_MOUSE, sp|Q8BYY9|SPA3B_MOUSE, sp|P07758|A1AT1_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00898|A1AT5_MOUSE, sp|Q9DCQ7|A1AT6_MOUSE, tr|D3Z660|D3Z660_MOUSE, sp|Q8CIE0|SPA11_MOUSE	tr|A0A6J3ANR6|A0A6J3ANR6_VICPA
OG0000047	tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE	tr|A0A6I9I6E1|A0A6I9I6E1_VICPA
