Orthogroup	Mus_musculus	Felis_catus
OG0000008	tr|Q8VGB8|Q8VGB8_MOUSE	tr|M3W659|M3W659_FELCA, tr|A0A5F5Y432|A0A5F5Y432_FELCA, tr|M3WWR1|M3WWR1_FELCA, tr|A0A2I2UN07|A0A2I2UN07_FELCA, tr|A0A5F5XQF2|A0A5F5XQF2_FELCA, tr|A0A2I2UA89|A0A2I2UA89_FELCA, tr|M3WL97|M3WL97_FELCA, tr|M3WVM7|M3WVM7_FELCA, tr|M3WPW1|M3WPW1_FELCA, tr|M3WSR4|M3WSR4_FELCA, tr|A0A337S974|A0A337S974_FELCA, tr|M3XAA9|M3XAA9_FELCA, tr|M3WSL2|M3WSL2_FELCA, tr|M3X957|M3X957_FELCA, tr|A0A337SKK2|A0A337SKK2_FELCA, tr|M3X8B9|M3X8B9_FELCA, tr|A0A5F5XYW9|A0A5F5XYW9_FELCA, tr|M3WSR1|M3WSR1_FELCA, tr|A0A337SET4|A0A337SET4_FELCA, tr|M3X7Y8|M3X7Y8_FELCA, tr|M3X1U1|M3X1U1_FELCA, tr|A0A2I2UR03|A0A2I2UR03_FELCA, tr|M3WQZ0|M3WQZ0_FELCA, tr|A0A2I2U7V5|A0A2I2U7V5_FELCA, tr|A0A5F5XWN1|A0A5F5XWN1_FELCA, tr|A0A337SMC8|A0A337SMC8_FELCA, tr|A0A337SG28|A0A337SG28_FELCA, tr|A0A2I2URS3|A0A2I2URS3_FELCA, tr|M3X1N4|M3X1N4_FELCA, tr|A0A5F5XRQ9|A0A5F5XRQ9_FELCA, tr|A0A337S6T2|A0A337S6T2_FELCA, tr|A0A337S2D9|A0A337S2D9_FELCA, tr|A0A2I2UBW1|A0A2I2UBW1_FELCA, tr|A0A2I2UJ24|A0A2I2UJ24_FELCA, tr|A0A2I2USQ7|A0A2I2USQ7_FELCA, tr|A0A337SR25|A0A337SR25_FELCA, tr|A0A337SNZ3|A0A337SNZ3_FELCA, tr|A0A5F5XYQ3|A0A5F5XYQ3_FELCA, tr|A0A5F5XXF4|A0A5F5XXF4_FELCA, tr|A0A2I2US12|A0A2I2US12_FELCA, tr|A0A2I2UGH3|A0A2I2UGH3_FELCA, tr|M3WTX8|M3WTX8_FELCA
OG0000011	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A337SQ27|A0A337SQ27_FELCA
OG0000011	sp|P10755|ZFP14_MOUSE	tr|A0A2I2U4V4|A0A2I2U4V4_FELCA
OG0000011	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A337SKN3|A0A337SKN3_FELCA, tr|M3XDI7|M3XDI7_FELCA
OG0000011	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A2I2UKT5|A0A2I2UKT5_FELCA, tr|A0A2I2UU23|A0A2I2UU23_FELCA, tr|M3XCN7|M3XCN7_FELCA, tr|A0A5F5Y695|A0A5F5Y695_FELCA, tr|A0A337SGZ6|A0A337SGZ6_FELCA, tr|M3W3M9|M3W3M9_FELCA
OG0000011	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A337SIH1|A0A337SIH1_FELCA
OG0000011	sp|Q3V080|ZN583_MOUSE	tr|A0A337SDT6|A0A337SDT6_FELCA
OG0000011	tr|Q5U406|Q5U406_MOUSE	tr|A0A2I2UC02|A0A2I2UC02_FELCA, tr|A0A2I2V0B6|A0A2I2V0B6_FELCA, tr|A0A2I2U3L0|A0A2I2U3L0_FELCA
OG0000020	tr|Q8VGW6|Q8VGW6_MOUSE	tr|M3XFN1|M3XFN1_FELCA
OG0000020	tr|Q5SZS9|Q5SZS9_MOUSE	tr|M3XAP6|M3XAP6_FELCA, tr|M3WZ13|M3WZ13_FELCA, tr|A0A337SGG4|A0A337SGG4_FELCA, tr|M3WRQ1|M3WRQ1_FELCA, tr|M3XDJ7|M3XDJ7_FELCA, tr|M3WCP2|M3WCP2_FELCA, tr|A0A337SN81|A0A337SN81_FELCA, tr|A0A2I2UTL2|A0A2I2UTL2_FELCA
OG0000020	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A337SBF0|A0A337SBF0_FELCA, tr|A0A2I2UW35|A0A2I2UW35_FELCA, tr|M3X403|M3X403_FELCA, tr|M3X125|M3X125_FELCA, tr|M3X0Y8|M3X0Y8_FELCA, tr|M3WSR3|M3WSR3_FELCA, tr|M3WYS2|M3WYS2_FELCA
OG0000020	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A337RTQ7|A0A337RTQ7_FELCA, tr|A0A337SMX3|A0A337SMX3_FELCA, tr|A0A337SAG5|A0A337SAG5_FELCA
OG0000021	tr|Q8VET4|Q8VET4_MOUSE	tr|M3W2E2|M3W2E2_FELCA
OG0000021	tr|Q7TQY0|Q7TQY0_MOUSE	tr|M3WI07|M3WI07_FELCA, tr|A0A337S9N0|A0A337S9N0_FELCA, tr|M3WUJ6|M3WUJ6_FELCA, tr|A0A2I2U524|A0A2I2U524_FELCA, tr|M3X6Z4|M3X6Z4_FELCA, tr|A0A2I2UBX2|A0A2I2UBX2_FELCA, tr|A0A5F5Y6B4|A0A5F5Y6B4_FELCA
OG0000021	tr|A2AVW1|A2AVW1_MOUSE	tr|M3WWS9|M3WWS9_FELCA, tr|A0A2I2UQE1|A0A2I2UQE1_FELCA, tr|M3WX87|M3WX87_FELCA, tr|A0A337SCX4|A0A337SCX4_FELCA, tr|A0A2I2URR7|A0A2I2URR7_FELCA, tr|A0A2I2UWX4|A0A2I2UWX4_FELCA, tr|A0A337RY24|A0A337RY24_FELCA, tr|M3X2L5|M3X2L5_FELCA, tr|M3WYR3|M3WYR3_FELCA
OG0000021	tr|F8VQB9|F8VQB9_MOUSE	tr|M3WSC1|M3WSC1_FELCA
OG0000021	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A5F5XJ56|A0A5F5XJ56_FELCA
OG0000021	tr|Q7TRM6|Q7TRM6_MOUSE	tr|M3WSC2|M3WSC2_FELCA, tr|M3XBP8|M3XBP8_FELCA
OG0000022	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A2I2UG91|A0A2I2UG91_FELCA
OG0000022	tr|E9Q0Z1|E9Q0Z1_MOUSE	tr|A0A337SHT4|A0A337SHT4_FELCA, tr|M3X8U1|M3X8U1_FELCA, tr|M3X2C4|M3X2C4_FELCA, tr|A0A337S6C0|A0A337S6C0_FELCA, tr|A0A5F5XH17|A0A5F5XH17_FELCA
OG0000022	tr|Q8VFN6|Q8VFN6_MOUSE	tr|A0A5F5Y5F8|A0A5F5Y5F8_FELCA, tr|M3WYQ3|M3WYQ3_FELCA, tr|A0A5F5XLL7|A0A5F5XLL7_FELCA
OG0000034	sp|Q8R1M2|H2AJ_MOUSE	tr|M3X2B2|M3X2B2_FELCA
OG0000034	sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE8|H2A1O_MOUSE	tr|A0A337SD17|A0A337SD17_FELCA
OG0000034	sp|Q8BFU2|H2A3_MOUSE	tr|M3XAG6|M3XAG6_FELCA, tr|M3XAE0|M3XAE0_FELCA
OG0000035	tr|Q8R265|Q8R265_MOUSE, tr|Q8R266|Q8R266_MOUSE, tr|Q5SVD5|Q5SVD5_MOUSE, tr|Q8K3N2|Q8K3N2_MOUSE, tr|Q8R269|Q8R269_MOUSE, tr|Q8R270|Q8R270_MOUSE, tr|Q8R272|Q8R272_MOUSE, tr|Q8R271|Q8R271_MOUSE, tr|A0A494B935|A0A494B935_MOUSE, tr|Q8K3N3|Q8K3N3_MOUSE, tr|Q8R277|Q8R277_MOUSE, tr|Q5NC97|Q5NC97_MOUSE, tr|A0A494BA14|A0A494BA14_MOUSE, tr|Q8R281|Q8R281_MOUSE, tr|Q8R273|Q8R273_MOUSE, tr|Q8R274|Q8R274_MOUSE, tr|Q8R276|Q8R276_MOUSE, tr|Q8R275|Q8R275_MOUSE, tr|Q8R280|Q8R280_MOUSE, tr|Q8R279|Q8R279_MOUSE, tr|Q8R278|Q8R278_MOUSE, tr|Q8K4D0|Q8K4D0_MOUSE, tr|Q8R268|Q8R268_MOUSE	tr|M3XAN2|M3XAN2_FELCA
OG0000037	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A2I2V3L2|A0A2I2V3L2_FELCA, tr|A0A2I2UE10|A0A2I2UE10_FELCA, tr|A0A2I2U7C1|A0A2I2U7C1_FELCA
OG0000037	tr|A0A1W2P740|A0A1W2P740_MOUSE	tr|M3X2L0|M3X2L0_FELCA, tr|M3X944|M3X944_FELCA
OG0000037	tr|Q7TRY6|Q7TRY6_MOUSE	tr|M3X6M1|M3X6M1_FELCA, tr|M3WQ48|M3WQ48_FELCA, tr|M3WAW9|M3WAW9_FELCA, tr|M3WVM5|M3WVM5_FELCA, tr|M3W7S7|M3W7S7_FELCA, tr|M3XD10|M3XD10_FELCA, tr|M3XF42|M3XF42_FELCA, tr|M3X457|M3X457_FELCA, tr|M3X0M5|M3X0M5_FELCA, tr|M3WR48|M3WR48_FELCA, tr|M3WPD7|M3WPD7_FELCA, tr|A0A337S8T9|A0A337S8T9_FELCA, tr|M3XFC1|M3XFC1_FELCA
OG0000043	tr|Q8VGV8|Q8VGV8_MOUSE	tr|A0A2I2U793|A0A2I2U793_FELCA
OG0000043	tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE	tr|M3WQA7|M3WQA7_FELCA
OG0000043	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A337S806|A0A337S806_FELCA
OG0000043	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE	tr|A0A337S595|A0A337S595_FELCA, tr|M3WS81|M3WS81_FELCA, tr|A0A5F5XF44|A0A5F5XF44_FELCA, tr|M3VWG6|M3VWG6_FELCA
OG0000043	tr|Q8VF06|Q8VF06_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE	tr|M3WSC9|M3WSC9_FELCA
OG0000044	sp|Q3UG61|MRGB1_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q91ZB7|MRGRE_MOUSE, sp|Q91ZB5|MRGRG_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, sp|Q91WW5|MRGA1_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW4|MRGA2_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91ZC5|MRGA7_MOUSE	tr|M3XBY5|M3XBY5_FELCA
OG0000055	tr|Q9EQA9|Q9EQA9_MOUSE	tr|M3X5R9|M3X5R9_FELCA
OG0000055	tr|Q8VF62|Q8VF62_MOUSE	tr|A0A2I2UVX4|A0A2I2UVX4_FELCA, tr|M3X6P4|M3X6P4_FELCA, tr|M3WRL7|M3WRL7_FELCA, tr|M3X6J3|M3X6J3_FELCA, tr|A0A337RWI7|A0A337RWI7_FELCA, tr|M3XC67|M3XC67_FELCA, tr|M3WWR8|M3WWR8_FELCA, tr|M3WQ61|M3WQ61_FELCA, tr|A0A337S079|A0A337S079_FELCA, tr|A0A337S367|A0A337S367_FELCA, tr|A0A337SI80|A0A337SI80_FELCA, tr|M3W928|M3W928_FELCA, tr|A0A337SWS3|A0A337SWS3_FELCA, tr|A0A337SUV0|A0A337SUV0_FELCA, tr|M3X6M5|M3X6M5_FELCA
OG0000056	tr|A2AVK5|A2AVK5_MOUSE	tr|A0A5F5XV57|A0A5F5XV57_FELCA
OG0000056	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A5F5XZM7|A0A5F5XZM7_FELCA
OG0000056	tr|Q9R0K2|Q9R0K2_MOUSE	tr|M3W1V4|M3W1V4_FELCA, tr|M3WQ35|M3WQ35_FELCA, tr|M3X469|M3X469_FELCA, tr|M3WW05|M3WW05_FELCA, tr|M3WVI2|M3WVI2_FELCA, tr|M3WUH8|M3WUH8_FELCA, tr|M3WBV5|M3WBV5_FELCA, tr|M3WBV6|M3WBV6_FELCA, tr|M3WY34|M3WY34_FELCA
OG0000060	sp|Q91VN1|ZNF24_MOUSE	tr|A0A2I2U772|A0A2I2U772_FELCA
OG0000060	sp|Q07231|ZSC21_MOUSE	tr|M3X697|M3X697_FELCA
OG0000060	sp|Q9Z1D7|ZSC12_MOUSE	tr|A0A2I2UHS9|A0A2I2UHS9_FELCA, tr|A0A2I2UNI5|A0A2I2UNI5_FELCA, tr|M3WUR8|M3WUR8_FELCA, tr|M3W0N3|M3W0N3_FELCA, tr|A0A2I2U797|A0A2I2U797_FELCA, tr|M3XC63|M3XC63_FELCA
OG0000062	sp|P10854|H2B1M_MOUSE	tr|A0A5F5XI95|A0A5F5XI95_FELCA
OG0000062	sp|Q8CGP0|H2B3B_MOUSE	tr|A0A337SW00|A0A337SW00_FELCA, tr|M3X164|M3X164_FELCA
OG0000062	sp|Q6ZWY9|H2B1C_MOUSE	tr|A0A337S6L6|A0A337S6L6_FELCA, tr|M3X6Y3|M3X6Y3_FELCA, tr|M3WCZ9|M3WCZ9_FELCA, tr|M3XDD6|M3XDD6_FELCA, tr|A0A5F5Y3T4|A0A5F5Y3T4_FELCA, tr|M3W104|M3W104_FELCA, tr|A0A2I2U8P7|A0A2I2U8P7_FELCA, tr|M3WZR5|M3WZR5_FELCA, tr|A0A337SLP0|A0A337SLP0_FELCA, tr|M3X6T1|M3X6T1_FELCA, tr|A0A2I2USF3|A0A2I2USF3_FELCA
OG0000063	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A337SHV3|A0A337SHV3_FELCA
OG0000063	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A337SKN5|A0A337SKN5_FELCA, tr|A0A5F5XP99|A0A5F5XP99_FELCA, tr|A0A5F5XHS8|A0A5F5XHS8_FELCA, tr|A0A5F5XPP0|A0A5F5XPP0_FELCA, tr|A0A5F5XCV8|A0A5F5XCV8_FELCA, tr|A0A5F5XZU8|A0A5F5XZU8_FELCA, tr|A0A2I2UF80|A0A2I2UF80_FELCA, tr|A0A337RWB8|A0A337RWB8_FELCA, tr|M3XET9|M3XET9_FELCA, tr|A0A5F5Y2T0|A0A5F5Y2T0_FELCA, tr|A0A337SRX8|A0A337SRX8_FELCA, tr|A0A5F5Y820|A0A5F5Y820_FELCA, tr|A0A5F5XYE8|A0A5F5XYE8_FELCA, tr|M3X1H6|M3X1H6_FELCA
OG0000065	sp|Q9CPP7|LIPG_MOUSE	tr|M3W796|M3W796_FELCA
OG0000065	sp|Q8BM14|LIPK_MOUSE	tr|M3W797|M3W797_FELCA
OG0000065	sp|Q8K2A6|LIPM_MOUSE	tr|M3W798|M3W798_FELCA
OG0000065	sp|Q9Z0M5|LICH_MOUSE	tr|M3VXL3|M3VXL3_FELCA
OG0000065	sp|Q3U4B4|LIPN_MOUSE	tr|M3X930|M3X930_FELCA
OG0000066	tr|Q8VFT6|Q8VFT6_MOUSE	tr|M3WZT8|M3WZT8_FELCA
OG0000066	tr|Q7TRL9|Q7TRL9_MOUSE	tr|M3X401|M3X401_FELCA, tr|M3WXU4|M3WXU4_FELCA, tr|M3XDS3|M3XDS3_FELCA, tr|A0A337S9P4|A0A337S9P4_FELCA, tr|M3WXN5|M3WXN5_FELCA, tr|M3WVG1|M3WVG1_FELCA, tr|M3WZU8|M3WZU8_FELCA, tr|M3WYW6|M3WYW6_FELCA, tr|M3X6H9|M3X6H9_FELCA, tr|M3WW92|M3WW92_FELCA, tr|M3WQR8|M3WQR8_FELCA, tr|A0A337RX52|A0A337RX52_FELCA, tr|M3X6C7|M3X6C7_FELCA
OG0000067	sp|Q8C262|IIGP5_MOUSE	tr|A0A5K1U2F4|A0A5K1U2F4_FELCA
OG0000067	tr|E9QAA8|E9QAA8_MOUSE, tr|G3UWE2|G3UWE2_MOUSE, sp|Q9QZ85|IIGP1_MOUSE, tr|Q3UED7|Q3UED7_MOUSE, tr|Q5NCB2|Q5NCB2_MOUSE, tr|Q5SVP0|Q5SVP0_MOUSE, tr|Q5NCB3|Q5NCB3_MOUSE, sp|Q3T9E4|TGTP2_MOUSE, sp|Q62293|TGTP1_MOUSE, tr|Q61635|Q61635_MOUSE, tr|Q9DCE9|Q9DCE9_MOUSE, tr|A0A140LIF8|A0A140LIF8_MOUSE, sp|Q60766|IRGM1_MOUSE	tr|A0A5F5XK96|A0A5F5XK96_FELCA
OG0000068	tr|Q8CFE8|Q8CFE8_MOUSE, tr|Q3TSA9|Q3TSA9_MOUSE, tr|Q8BI38|Q8BI38_MOUSE, tr|Q8BI57|Q8BI57_MOUSE, tr|Q8BI58|Q8BI58_MOUSE, tr|Q497Z0|Q497Z0_MOUSE, tr|Q5XG67|Q5XG67_MOUSE, tr|Q8C2Y5|Q8C2Y5_MOUSE, tr|E9Q8A4|E9Q8A4_MOUSE, tr|Q8C2W8|Q8C2W8_MOUSE, tr|Q5U467|Q5U467_MOUSE, tr|E9PXM9|E9PXM9_MOUSE, tr|A0A1D5RLF0|A0A1D5RLF0_MOUSE, tr|F7C9P2|F7C9P2_MOUSE, sp|L7N1X6|FBW15_MOUSE	tr|A0A5F5XLR9|A0A5F5XLR9_FELCA
OG0000075	tr|Q923D1|Q923D1_MOUSE	tr|A0A337STB4|A0A337STB4_FELCA
OG0000075	sp|Q0VAW7|ZN112_MOUSE	tr|A0A337SJ49|A0A337SJ49_FELCA, tr|M3WY57|M3WY57_FELCA, tr|A0A2I2UJK2|A0A2I2UJK2_FELCA, tr|A0A2I2U2X0|A0A2I2U2X0_FELCA, tr|A0A2I2U1W9|A0A2I2U1W9_FELCA, tr|M3XEK8|M3XEK8_FELCA
OG0000075	tr|Q9CXH3|Q9CXH3_MOUSE, tr|A2ANU7|A2ANU7_MOUSE	tr|M3X0V4|M3X0V4_FELCA, tr|A0A5F5Y2I9|A0A5F5Y2I9_FELCA, tr|A0A337RU69|A0A337RU69_FELCA, tr|M3X7Q3|M3X7Q3_FELCA
OG0000076	sp|Q91VJ1|AIM2_MOUSE	tr|A0A5F5Y387|A0A5F5Y387_FELCA
OG0000076	tr|D3Z5G0|D3Z5G0_MOUSE, sp|Q3V3Q4|IFI8_MOUSE, tr|G3UZV2|G3UZV2_MOUSE, sp|D0QMC3|MNDAL_MOUSE, sp|P0DOV1|IFI5B_MOUSE, sp|Q8CGE8|IFI5A_MOUSE, sp|P0DOV2|IFI4_MOUSE, sp|Q9R002|IFI2_MOUSE, sp|Q8BV49|IFIX_MOUSE, sp|Q504N7|IFIXL_MOUSE, sp|O35368|IFI3_MOUSE, tr|E9Q3L4|E9Q3L4_MOUSE	tr|A0A5F5Y4S6|A0A5F5Y4S6_FELCA
OG0000077	sp|P10400|POL1_MOUSE	tr|A0A5F5Y4Q3|A0A5F5Y4Q3_FELCA, tr|A0A5F5Y5P9|A0A5F5Y5P9_FELCA, tr|A0A5F5XE26|A0A5F5XE26_FELCA, tr|A0A5F5XCN1|A0A5F5XCN1_FELCA, tr|A0A5F5Y2J1|A0A5F5Y2J1_FELCA, tr|A0A5F5XEX3|A0A5F5XEX3_FELCA, tr|A0A5F5XYP2|A0A5F5XYP2_FELCA, tr|A0A5F5XT87|A0A5F5XT87_FELCA, tr|A0A5F5XH84|A0A5F5XH84_FELCA, tr|M3XFF7|M3XFF7_FELCA, tr|A0A5F5XT86|A0A5F5XT86_FELCA, tr|A0A5F5XFA6|A0A5F5XFA6_FELCA, tr|A0A5F5XI78|A0A5F5XI78_FELCA, tr|A0A5F5Y5Q6|A0A5F5Y5Q6_FELCA
OG0000078	sp|B1AUS7|SSXA1_MOUSE, tr|F6XK35|F6XK35_MOUSE, tr|Q8C5Z3|Q8C5Z3_MOUSE, tr|A2BI93|A2BI93_MOUSE, tr|Q6XAS3|Q6XAS3_MOUSE, tr|A2BI73|A2BI73_MOUSE, tr|Q6XAS4|Q6XAS4_MOUSE, tr|Q6XAS2|Q6XAS2_MOUSE, tr|A2AHC8|A2AHC8_MOUSE, tr|A2AHC7|A2AHC7_MOUSE, tr|Q6XAR7|Q6XAR7_MOUSE, tr|Q9CPU1|Q9CPU1_MOUSE, tr|A2BI74|A2BI74_MOUSE, tr|B1AY40|B1AY40_MOUSE	tr|A0A5F5XF96|A0A5F5XF96_FELCA
OG0000083	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|A0A337SQR6|A0A337SQR6_FELCA
OG0000083	tr|E9Q3K2|E9Q3K2_MOUSE	tr|M3X9U6|M3X9U6_FELCA
OG0000083	tr|Q8VF37|Q8VF37_MOUSE	tr|A0A2I2UMZ8|A0A2I2UMZ8_FELCA
OG0000084	sp|P49312|ROA1_MOUSE	tr|A0A2I2V4I0|A0A2I2V4I0_FELCA
OG0000084	sp|Q8BG05|ROA3_MOUSE	tr|A0A5F5XFC1|A0A5F5XFC1_FELCA, tr|M3X7W8|M3X7W8_FELCA, tr|A0A2I2UJE2|A0A2I2UJE2_FELCA, tr|A0A5F5XNR1|A0A5F5XNR1_FELCA, tr|M3WWE3|M3WWE3_FELCA, tr|A0A2I2UQL3|A0A2I2UQL3_FELCA, tr|A0A5F5XJV6|A0A5F5XJV6_FELCA, tr|A0A5F5XXV6|A0A5F5XXV6_FELCA, tr|M3X3M7|M3X3M7_FELCA, tr|A0A2I2UPY2|A0A2I2UPY2_FELCA, tr|M3WGE6|M3WGE6_FELCA
OG0000085	sp|Q91Y20|PCDAA_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, sp|O88689|PCDA4_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, sp|Q91Y13|PCDA7_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, tr|Q91Y17|Q91Y17_MOUSE	tr|A0A2I2V372|A0A2I2V372_FELCA
OG0000086	sp|Q6UGQ3|SG2B2_MOUSE, sp|Q7M747|S2B24_MOUSE, tr|D2XZ38|D2XZ38_MOUSE, tr|Q8R1E9|Q8R1E9_MOUSE, tr|Q8JZX1|Q8JZX1_MOUSE, tr|S4R2V3|S4R2V3_MOUSE, tr|D3YYY1|D3YYY1_MOUSE, sp|Q9JI02|S2B20_MOUSE, tr|A0A087WPA9|A0A087WPA9_MOUSE, tr|A0A087WR49|A0A087WR49_MOUSE, tr|S4R2L0|S4R2L0_MOUSE, tr|J3QM75|J3QM75_MOUSE, tr|A0A087WQA9|A0A087WQA9_MOUSE	sp|P30440|FEL1B_FELCA
OG0000094	tr|Q9CPN9|Q9CPN9_MOUSE, tr|Q9CPN7|Q9CPN7_MOUSE, tr|F6R7E8|F6R7E8_MOUSE	tr|M3WP64|M3WP64_FELCA
