Orthogroup	Mus_musculus	Balaenoptera_musculus
OG0000010	tr|Q8VH20|Q8VH20_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|A0A1B0GSF4|A0A1B0GSF4_MOUSE, tr|E9Q382|E9Q382_MOUSE, tr|F8VQ01|F8VQ01_MOUSE, tr|F8VPZ8|F8VPZ8_MOUSE, tr|Q9EPN9|Q9EPN9_MOUSE, tr|F8VQI7|F8VQI7_MOUSE, tr|E9PZ66|E9PZ66_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|Q8VH17|Q8VH17_MOUSE, tr|Q8VH11|Q8VH11_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|L7N462|L7N462_MOUSE, tr|K7N609|K7N609_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VF02|Q8VF02_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|Q8VGX6|Q8VGX6_MOUSE, tr|E9Q7P5|E9Q7P5_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|Q8VH21|Q8VH21_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE	tr|A0A8B8Y4J1|A0A8B8Y4J1_BALMU
OG0000015	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A8B8VYR0|A0A8B8VYR0_BALMU
OG0000015	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A8C0E715|A0A8C0E715_BALMU
OG0000015	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A8C0I742|A0A8C0I742_BALMU, tr|A0A8B8VWG6|A0A8B8VWG6_BALMU
OG0000015	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A8B8VXH5|A0A8B8VXH5_BALMU, tr|A0A8B8VUU7|A0A8B8VUU7_BALMU, tr|A0A8B8VVH7|A0A8B8VVH7_BALMU
OG0000015	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A8B8VV34|A0A8B8VV34_BALMU, tr|A0A8C0E1T1|A0A8C0E1T1_BALMU
OG0000015	sp|P10755|ZFP14_MOUSE	tr|A0A8B8VW55|A0A8B8VW55_BALMU, tr|A0A8B8VTN5|A0A8B8VTN5_BALMU, tr|A0A8B8VTM7|A0A8B8VTM7_BALMU, tr|A0A8B8VV46|A0A8B8VV46_BALMU, tr|A0A8B8VWJ7|A0A8B8VWJ7_BALMU, tr|A0A8B8VVK6|A0A8B8VVK6_BALMU, tr|A0A8C0E5C4|A0A8C0E5C4_BALMU
OG0000015	tr|Q5U406|Q5U406_MOUSE	tr|A0A8B8VTW5|A0A8B8VTW5_BALMU
OG0000015	sp|Q3V080|ZN583_MOUSE	tr|A0A8B8VT92|A0A8B8VT92_BALMU, tr|A0A8B8VV39|A0A8B8VV39_BALMU, tr|A0A8B8VTB6|A0A8B8VTB6_BALMU
OG0000015	tr|Q9D654|Q9D654_MOUSE	tr|A0A8B8VYY1|A0A8B8VYY1_BALMU, tr|A0A8B8VVY3|A0A8B8VVY3_BALMU, tr|A0A8B8V7L5|A0A8B8V7L5_BALMU, tr|A0A8B8YB91|A0A8B8YB91_BALMU, tr|A0A8B8VPU4|A0A8B8VPU4_BALMU, tr|A0A8C0E7S4|A0A8C0E7S4_BALMU, tr|A0A8B8VVT9|A0A8B8VVT9_BALMU, tr|A0A8B8VV53|A0A8B8VV53_BALMU
OG0000016	tr|Q8VGD8|Q8VGD8_MOUSE	tr|A0A8B8X152|A0A8B8X152_BALMU
OG0000016	tr|G5E8J1|G5E8J1_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|Q8VF37|Q8VF37_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE, tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, sp|Q8VGD6|OLF56_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q7TRZ7|Q7TRZ7_MOUSE, tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE	tr|A0A8B8X0U7|A0A8B8X0U7_BALMU
OG0000016	tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q5NC45|Q5NC45_MOUSE	tr|A0A8B8X0Z0|A0A8B8X0Z0_BALMU
OG0000021	tr|Q8BFS8|Q8BFS8_MOUSE, sp|Q80YP6|ZIK1_MOUSE	tr|A0A8B8VXI0|A0A8B8VXI0_BALMU, tr|A0A8B8VTX5|A0A8B8VTX5_BALMU, tr|A0A8B8W107|A0A8B8W107_BALMU, tr|A0A8B8VTX2|A0A8B8VTX2_BALMU, tr|A0A8C0DU75|A0A8C0DU75_BALMU, tr|A0A8B8VYK7|A0A8B8VYK7_BALMU, tr|A0A8B8VUH4|A0A8B8VUH4_BALMU, tr|A0A8B8VXT8|A0A8B8VXT8_BALMU, tr|A0A8B8VXV9|A0A8B8VXV9_BALMU, tr|A0A8B8VTW8|A0A8B8VTW8_BALMU, tr|A0A8B8W245|A0A8B8W245_BALMU, tr|A0A8C0I1E4|A0A8C0I1E4_BALMU, tr|A0A8B8VVT3|A0A8B8VVT3_BALMU, tr|A0A8B8VX72|A0A8B8VX72_BALMU, tr|A0A8B8V8E7|A0A8B8V8E7_BALMU, tr|A0A8B8VX65|A0A8B8VX65_BALMU, tr|A0A8B8VXT6|A0A8B8VXT6_BALMU, tr|A0A8B8VXJ0|A0A8B8VXJ0_BALMU, tr|A0A8B8VVV8|A0A8B8VVV8_BALMU, tr|A0A8B8VXW7|A0A8B8VXW7_BALMU, tr|A0A8B8VXX3|A0A8B8VXX3_BALMU, tr|A0A8B8VXW8|A0A8B8VXW8_BALMU, tr|A0A8B8W1G7|A0A8B8W1G7_BALMU, tr|A0A8B8VX77|A0A8B8VX77_BALMU, tr|A0A8B8VWB2|A0A8B8VWB2_BALMU, tr|A0A8B8VXX4|A0A8B8VXX4_BALMU, tr|A0A8B8VXV8|A0A8B8VXV8_BALMU, tr|A0A8C0DNC3|A0A8C0DNC3_BALMU, tr|A0A8B8VXW0|A0A8B8VXW0_BALMU, tr|A0A8B8VXW3|A0A8B8VXW3_BALMU, tr|A0A8B8VXW4|A0A8B8VXW4_BALMU, tr|A0A8B8W1F0|A0A8B8W1F0_BALMU, tr|A0A8B8W1G5|A0A8B8W1G5_BALMU, tr|A0A8B8W1F5|A0A8B8W1F5_BALMU, tr|A0A8B8W1G6|A0A8B8W1G6_BALMU, tr|A0A8B8W1F4|A0A8B8W1F4_BALMU, tr|A0A8C0DP81|A0A8C0DP81_BALMU
OG0000028	sp|Q9D816|CP255_MOUSE	tr|A0A8B8VGL1|A0A8B8VGL1_BALMU
OG0000028	tr|Q9WV19|Q9WV19_MOUSE	tr|A0A8B8VYZ7|A0A8B8VYZ7_BALMU
OG0000028	tr|B2RXZ2|B2RXZ2_MOUSE, sp|P56593|CP2AC_MOUSE, sp|P15392|CP2A4_MOUSE, sp|P20852|CP2A5_MOUSE	tr|A0A8B8VY79|A0A8B8VY79_BALMU
OG0000028	sp|P33267|CP2F2_MOUSE	tr|A0A8B8VYX4|A0A8B8VYX4_BALMU
OG0000028	sp|E9Q816|CP2W1_MOUSE, tr|E9PWV0|E9PWV0_MOUSE	tr|A0A8B8VYX0|A0A8B8VYX0_BALMU
OG0000028	sp|Q05421|CP2E1_MOUSE	tr|A0A8B8VJL9|A0A8B8VJL9_BALMU
OG0000029	tr|Q5NC55|Q5NC55_MOUSE, tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q8VF34|Q8VF34_MOUSE	tr|A0A8B8VYK8|A0A8B8VYK8_BALMU
OG0000029	tr|Q8VFX6|Q8VFX6_MOUSE, tr|Q8VFX7|Q8VFX7_MOUSE, tr|Q8VFX8|Q8VFX8_MOUSE, tr|Q7TRW8|Q7TRW8_MOUSE, sp|Q60891|OL139_MOUSE, tr|Q7TRX3|Q7TRX3_MOUSE, tr|Q8VET1|Q8VET1_MOUSE, tr|Q8VGL4|Q8VGL4_MOUSE, tr|Q8VGL9|Q8VGL9_MOUSE, tr|Q8VGM1|Q8VGM1_MOUSE, tr|Q8VGL8|Q8VGL8_MOUSE, tr|Q8VGM0|Q8VGM0_MOUSE, tr|Q8VGM2|Q8VGM2_MOUSE, tr|Q7TRT5|Q7TRT5_MOUSE, tr|Q8VGJ4|Q8VGJ4_MOUSE, tr|Q8VGL3|Q8VGL3_MOUSE, tr|Q8VGH2|Q8VGH2_MOUSE, tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q7TS01|Q7TS01_MOUSE, tr|Q8VGL2|Q8VGL2_MOUSE, tr|Q7TRT9|Q7TRT9_MOUSE, tr|Q7TS13|Q7TS13_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q7TRK1|Q7TRK1_MOUSE, tr|A2RT31|A2RT31_MOUSE	tr|A0A8B8YU41|A0A8B8YU41_BALMU
OG0000030	sp|Q60882|OL145_MOUSE, tr|Q8VF62|Q8VF62_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q9EQA9|Q9EQA9_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE, sp|Q60886|OL147_MOUSE	tr|A0A8B8Y519|A0A8B8Y519_BALMU
OG0000033	tr|A0A075B5S4|A0A075B5S4_MOUSE, sp|P01823|HVM47_MOUSE, tr|A0A075B5T0|A0A075B5T0_MOUSE, sp|P01822|HVM46_MOUSE, sp|P18531|HVM60_MOUSE, tr|A0A075B5S6|A0A075B5S6_MOUSE, sp|P18532|HVM61_MOUSE, tr|A0A0A6YXF1|A0A0A6YXF1_MOUSE, sp|P18533|HVM62_MOUSE, tr|A0A075B5T1|A0A075B5T1_MOUSE	tr|A0A8B8Z727|A0A8B8Z727_BALMU
OG0000033	tr|A0A0A6YW58|A0A0A6YW58_MOUSE, tr|A0A0A6YY60|A0A0A6YY60_MOUSE, tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE, tr|A0A075B5X4|A0A075B5X4_MOUSE, tr|A0A075B5W4|A0A075B5W4_MOUSE, tr|A0A075B5X1|A0A075B5X1_MOUSE, tr|A0A075B5Y0|A0A075B5Y0_MOUSE, tr|A0A075B693|A0A075B693_MOUSE, tr|A0A075B5X8|A0A075B5X8_MOUSE, tr|A0A075B5Q8|A0A075B5Q8_MOUSE, sp|P01821|HVM45_MOUSE, tr|A0A075B5P8|A0A075B5P8_MOUSE, tr|A0A075B5Q3|A0A075B5Q3_MOUSE, tr|A0A075B5Q7|A0A075B5Q7_MOUSE, tr|A0A075B5Q5|A0A075B5Q5_MOUSE, tr|A0A075B6A7|A0A075B6A7_MOUSE, tr|A0A075B697|A0A075B697_MOUSE, tr|A0A075B696|A0A075B696_MOUSE, sp|P01819|HVM43_MOUSE, sp|P01820|HVM44_MOUSE	tr|A0A8B8Z1L6|A0A8B8Z1L6_BALMU
OG0000034	tr|Q8VF22|Q8VF22_MOUSE	tr|A0A8B8XKR9|A0A8B8XKR9_BALMU
OG0000034	tr|Q8VG97|Q8VG97_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE	tr|A0A8B8XZ66|A0A8B8XZ66_BALMU
OG0000038	tr|A0A075B5M9|A0A075B5M9_MOUSE, tr|A0A140T8N4|A0A140T8N4_MOUSE, tr|A0A0B4J1J2|A0A0B4J1J2_MOUSE, tr|A0A0B4J1J1|A0A0B4J1J1_MOUSE, sp|P01642|KV5A9_MOUSE, tr|A0A140T8M3|A0A140T8M3_MOUSE, tr|A0A075B5N3|A0A075B5N3_MOUSE, tr|A0A140T8M4|A0A140T8M4_MOUSE, sp|P01632|KV1A1_MOUSE, tr|A0A075B5N4|A0A075B5N4_MOUSE, tr|A0A075B5N5|A0A075B5N5_MOUSE, tr|A0A0B4J1J3|A0A0B4J1J3_MOUSE, tr|A0A0G2JGT0|A0A0G2JGT0_MOUSE, tr|A0A075B5N6|A0A075B5N6_MOUSE, tr|A0A0G2JDU0|A0A0G2JDU0_MOUSE, tr|A0A140T8P7|A0A140T8P7_MOUSE, tr|A0A140T8P5|A0A140T8P5_MOUSE, sp|P01634|KV5A2_MOUSE, tr|A0A075B5N2|A0A075B5N2_MOUSE, tr|A0A140T8P2|A0A140T8P2_MOUSE, tr|A0A140T8N9|A0A140T8N9_MOUSE, tr|A0A140T8N7|A0A140T8N7_MOUSE, sp|P01633|KV5A1_MOUSE, tr|A0A140T8N5|A0A140T8N5_MOUSE, tr|A0A140T8P1|A0A140T8P1_MOUSE, tr|A0A140T8M5|A0A140T8M5_MOUSE, tr|A0A075B5N7|A0A075B5N7_MOUSE, sp|P84750|KVM5_MOUSE	tr|A0A8B8ZAB2|A0A8B8ZAB2_BALMU
OG0000040	tr|Q8VFT2|Q8VFT2_MOUSE, tr|A0A140T8Q2|A0A140T8Q2_MOUSE, tr|Q8VFP6|Q8VFP6_MOUSE, tr|Q7TRY4|Q7TRY4_MOUSE, tr|Q8VFP4|Q8VFP4_MOUSE, tr|Q8VFP3|Q8VFP3_MOUSE, tr|Q8VF16|Q8VF16_MOUSE, tr|Q7TRY5|Q7TRY5_MOUSE, sp|Q8VFM9|OLF24_MOUSE, tr|Q8VGK1|Q8VGK1_MOUSE, tr|B9EHG2|B9EHG2_MOUSE, tr|Q8VFE6|Q8VFE6_MOUSE, tr|A0A0N4SUP0|A0A0N4SUP0_MOUSE, tr|Q7TRW7|Q7TRW7_MOUSE, tr|Q8VGJ8|Q8VGJ8_MOUSE, tr|Q7TRY0|Q7TRY0_MOUSE, tr|Q8VFP5|Q8VFP5_MOUSE, tr|Q8VFD9|Q8VFD9_MOUSE, tr|Q8VFE1|Q8VFE1_MOUSE, tr|Q8VFA1|Q8VFA1_MOUSE, tr|Q7TRK4|Q7TRK4_MOUSE, tr|Q8VFE4|Q8VFE4_MOUSE, tr|Q7TRX2|Q7TRX2_MOUSE, tr|Q7TRX1|Q7TRX1_MOUSE, tr|Q8VGH0|Q8VGH0_MOUSE, tr|Q8VGH1|Q8VGH1_MOUSE, tr|Q8VGG9|Q8VGG9_MOUSE	tr|A0A8B8WWM9|A0A8B8WWM9_BALMU
OG0000041	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A8C0E6K4|A0A8C0E6K4_BALMU
OG0000041	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A8B8WGP9|A0A8B8WGP9_BALMU, tr|A0A8B8WGQ4|A0A8B8WGQ4_BALMU, tr|A0A8B8WJB8|A0A8B8WJB8_BALMU, tr|A0A8B8WGT3|A0A8B8WGT3_BALMU, tr|A0A8B8WGV2|A0A8B8WGV2_BALMU, tr|A0A8B8WGV1|A0A8B8WGV1_BALMU, tr|A0A8B8WGY2|A0A8B8WGY2_BALMU, tr|A0A8B8WGM8|A0A8B8WGM8_BALMU, tr|A0A8B8WGI8|A0A8B8WGI8_BALMU, tr|A0A8B8WDK2|A0A8B8WDK2_BALMU, tr|A0A8B8WDG8|A0A8B8WDG8_BALMU, tr|A0A8C0I688|A0A8C0I688_BALMU, tr|A0A8B8WDK5|A0A8B8WDK5_BALMU, tr|A0A8B8WFC7|A0A8B8WFC7_BALMU, tr|A0A8B8WGF1|A0A8B8WGF1_BALMU, tr|A0A8B8WGI1|A0A8B8WGI1_BALMU, tr|A0A8B8WL09|A0A8B8WL09_BALMU, tr|A0A8B8WGQ0|A0A8B8WGQ0_BALMU, tr|A0A8B8WDL3|A0A8B8WDL3_BALMU, tr|A0A8C0E3B0|A0A8C0E3B0_BALMU, tr|A0A8B8WD12|A0A8B8WD12_BALMU, tr|A0A8B8WDJ4|A0A8B8WDJ4_BALMU, tr|A0A8B8WH45|A0A8B8WH45_BALMU, tr|A0A8B8WGZ1|A0A8B8WGZ1_BALMU
OG0000042	tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, tr|Q62056|Q62056_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, sp|Q61400|CEAMA_MOUSE, tr|Q3TQ88|Q3TQ88_MOUSE, sp|P31809|CEAM1_MOUSE, sp|Q925P2|CEAM2_MOUSE	tr|A0A8B8VXK5|A0A8B8VXK5_BALMU
OG0000044	sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE2|H2A1C_MOUSE	tr|A0A8B8YN95|A0A8B8YN95_BALMU
