Orthogroup	Mus_musculus	Suricata_suricatta
OG0000000	sp|Q3V080|ZN583_MOUSE	tr|A0A673VBE4|A0A673VBE4_SURSU, tr|A0A673V672|A0A673V672_SURSU, tr|A0A673UVQ4|A0A673UVQ4_SURSU, tr|A0A673V2I4|A0A673V2I4_SURSU, tr|A0A673UV59|A0A673UV59_SURSU, tr|A0A673VBX2|A0A673VBX2_SURSU, tr|A0A673V1T5|A0A673V1T5_SURSU
OG0000000	sp|P17141|ZFP37_MOUSE	tr|A0A673VJP7|A0A673VJP7_SURSU, tr|A0A673VLU3|A0A673VLU3_SURSU, tr|A0A673UVC3|A0A673UVC3_SURSU, tr|A0A673V3A0|A0A673V3A0_SURSU, tr|A0A673V2Z3|A0A673V2Z3_SURSU, tr|A0A673VMM8|A0A673VMM8_SURSU, tr|A0A673UYY9|A0A673UYY9_SURSU, tr|A0A673V8I6|A0A673V8I6_SURSU, tr|A0A673UZV8|A0A673UZV8_SURSU
OG0000000	tr|Q640N4|Q640N4_MOUSE	tr|A0A673UC37|A0A673UC37_SURSU, tr|A0A673UDD0|A0A673UDD0_SURSU, tr|A0A673UCZ6|A0A673UCZ6_SURSU, tr|A0A673TUC6|A0A673TUC6_SURSU
OG0000009	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A673STY9|A0A673STY9_SURSU, tr|A0A673STY0|A0A673STY0_SURSU, tr|A0A673STR6|A0A673STR6_SURSU
OG0000009	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A673T6S1|A0A673T6S1_SURSU, tr|A0A673T6H3|A0A673T6H3_SURSU, tr|A0A673T6M2|A0A673T6M2_SURSU, tr|A0A673STU1|A0A673STU1_SURSU
OG0000009	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A673TR31|A0A673TR31_SURSU
OG0000009	tr|Q5SZS9|Q5SZS9_MOUSE	tr|A0A673U431|A0A673U431_SURSU, tr|A0A673TRM4|A0A673TRM4_SURSU, tr|A0A673TDY6|A0A673TDY6_SURSU
OG0000009	tr|Q8VGC8|Q8VGC8_MOUSE	tr|A0A673SXS1|A0A673SXS1_SURSU
OG0000009	tr|Q8VGW6|Q8VGW6_MOUSE	tr|A0A673UL64|A0A673UL64_SURSU, tr|A0A673TRB3|A0A673TRB3_SURSU, tr|A0A673TRN6|A0A673TRN6_SURSU, tr|A0A673TRA5|A0A673TRA5_SURSU, tr|A0A673T654|A0A673T654_SURSU
OG0000014	tr|Q8VG45|Q8VG45_MOUSE	tr|A0A673TQN5|A0A673TQN5_SURSU
OG0000014	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|A0A673TGX0|A0A673TGX0_SURSU, tr|A0A673TPK8|A0A673TPK8_SURSU, tr|A0A673TCP6|A0A673TCP6_SURSU, tr|A0A673TD61|A0A673TD61_SURSU, tr|A0A673TD36|A0A673TD36_SURSU, tr|A0A673TH57|A0A673TH57_SURSU, tr|A0A673TPW6|A0A673TPW6_SURSU, tr|A0A673TQ58|A0A673TQ58_SURSU, tr|A0A673TQ20|A0A673TQ20_SURSU
OG0000014	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A673TBD3|A0A673TBD3_SURSU, tr|A0A673THC9|A0A673THC9_SURSU, tr|A0A673TP18|A0A673TP18_SURSU, tr|A0A673TNL0|A0A673TNL0_SURSU, tr|A0A673TM30|A0A673TM30_SURSU, tr|A0A673TF44|A0A673TF44_SURSU, tr|A0A673TNB7|A0A673TNB7_SURSU, tr|A0A673TMJ2|A0A673TMJ2_SURSU, tr|A0A673TP51|A0A673TP51_SURSU, tr|A0A673TPJ1|A0A673TPJ1_SURSU, tr|A0A673SYN7|A0A673SYN7_SURSU, tr|A0A673V3H4|A0A673V3H4_SURSU, tr|A0A673V375|A0A673V375_SURSU, tr|A0A673U2F2|A0A673U2F2_SURSU, tr|A0A673TUF9|A0A673TUF9_SURSU, tr|A0A673TLQ4|A0A673TLQ4_SURSU, tr|A0A673TMZ1|A0A673TMZ1_SURSU, tr|A0A673TF04|A0A673TF04_SURSU, tr|A0A673TAD5|A0A673TAD5_SURSU, tr|A0A673TRV1|A0A673TRV1_SURSU, tr|A0A673TRX2|A0A673TRX2_SURSU
OG0000017	tr|Q8R269|Q8R269_MOUSE, tr|Q8K3N2|Q8K3N2_MOUSE, tr|Q8R274|Q8R274_MOUSE, tr|Q8R275|Q8R275_MOUSE, tr|Q8R276|Q8R276_MOUSE, tr|Q8R273|Q8R273_MOUSE, tr|A0A494B935|A0A494B935_MOUSE, tr|Q8K3N3|Q8K3N3_MOUSE, tr|A0A494BA14|A0A494BA14_MOUSE, tr|Q5NC97|Q5NC97_MOUSE, tr|Q8R277|Q8R277_MOUSE, tr|Q8R281|Q8R281_MOUSE, tr|Q8R278|Q8R278_MOUSE, tr|Q8R279|Q8R279_MOUSE, tr|Q8R280|Q8R280_MOUSE, tr|Q8K4D0|Q8K4D0_MOUSE, tr|Q8R268|Q8R268_MOUSE, tr|Q8R270|Q8R270_MOUSE, tr|Q8R272|Q8R272_MOUSE, tr|Q8R271|Q8R271_MOUSE, tr|Q5SVD5|Q5SVD5_MOUSE, tr|Q8R265|Q8R265_MOUSE, tr|Q8R266|Q8R266_MOUSE, tr|Q8R261|Q8R261_MOUSE, tr|Q8R262|Q8R262_MOUSE, tr|J3JS27|J3JS27_MOUSE, tr|I7HIK1|I7HIK1_MOUSE, tr|Q8R258|Q8R258_MOUSE, tr|Q8R259|Q8R259_MOUSE, tr|Q5SSA0|Q5SSA0_MOUSE, tr|Q5SVD6|Q5SVD6_MOUSE, tr|Q8R263|Q8R263_MOUSE, tr|Q8K4C9|Q8K4C9_MOUSE, tr|Q8R264|Q8R264_MOUSE	tr|A0A673TSM4|A0A673TSM4_SURSU
OG0000024	sp|Q8VFM9|OLF24_MOUSE	tr|A0A673U020|A0A673U020_SURSU, tr|A0A673U101|A0A673U101_SURSU
OG0000024	tr|Q8VGB8|Q8VGB8_MOUSE	tr|A0A673V9X1|A0A673V9X1_SURSU
OG0000024	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A673TDV8|A0A673TDV8_SURSU
OG0000024	tr|Q8VGB9|Q8VGB9_MOUSE, tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A673TKI1|A0A673TKI1_SURSU
OG0000027	tr|Q4KL66|Q4KL66_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, tr|Q62056|Q62056_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, sp|Q61400|CEAMA_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, sp|Q925P2|CEAM2_MOUSE, sp|P31809|CEAM1_MOUSE	tr|A0A673VR47|A0A673VR47_SURSU
OG0000028	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A673TF85|A0A673TF85_SURSU
OG0000028	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A673T3D7|A0A673T3D7_SURSU
OG0000028	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A673T3C3|A0A673T3C3_SURSU
OG0000031	sp|Q60878|OL140_MOUSE	tr|A0A673UA75|A0A673UA75_SURSU
OG0000031	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A673U9Q2|A0A673U9Q2_SURSU
OG0000031	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A673U9E0|A0A673U9E0_SURSU, tr|A0A673TXI7|A0A673TXI7_SURSU
OG0000031	tr|A2AVK5|A2AVK5_MOUSE	tr|A0A673U979|A0A673U979_SURSU, tr|A0A673U0S5|A0A673U0S5_SURSU, tr|A0A673U0Q0|A0A673U0Q0_SURSU
OG0000031	tr|Q8VGN4|Q8VGN4_MOUSE	tr|A0A673U1K2|A0A673U1K2_SURSU, tr|A0A673U9K6|A0A673U9K6_SURSU, tr|A0A673U8T5|A0A673U8T5_SURSU, tr|A0A673U7I7|A0A673U7I7_SURSU, tr|A0A673TW77|A0A673TW77_SURSU, tr|A0A673U799|A0A673U799_SURSU, tr|A0A673TZZ4|A0A673TZZ4_SURSU, tr|A0A673U9N7|A0A673U9N7_SURSU, tr|A0A673U1D7|A0A673U1D7_SURSU, tr|A0A673TXL7|A0A673TXL7_SURSU
OG0000032	tr|Q8VG87|Q8VG87_MOUSE	tr|A0A673VFL6|A0A673VFL6_SURSU
OG0000032	tr|A0A1L1SQH2|A0A1L1SQH2_MOUSE	tr|A0A673VQA0|A0A673VQA0_SURSU, tr|A0A673VFF5|A0A673VFF5_SURSU, tr|A0A673VD92|A0A673VD92_SURSU, tr|A0A673VD78|A0A673VD78_SURSU, tr|A0A673VFB1|A0A673VFB1_SURSU, tr|A0A673VFD0|A0A673VFD0_SURSU, tr|A0A673VDB3|A0A673VDB3_SURSU, tr|A0A673VQ59|A0A673VQ59_SURSU, tr|A0A673VNU2|A0A673VNU2_SURSU, tr|A0A673VQK8|A0A673VQK8_SURSU, tr|A0A673V102|A0A673V102_SURSU, tr|A0A673VFK3|A0A673VFK3_SURSU, tr|A0A673V8L6|A0A673V8L6_SURSU, tr|A0A673V8F0|A0A673V8F0_SURSU, tr|A0A673V8S7|A0A673V8S7_SURSU, tr|A0A673VIU7|A0A673VIU7_SURSU, tr|A0A673VIG6|A0A673VIG6_SURSU, tr|A0A673VHB9|A0A673VHB9_SURSU, tr|A0A673VID9|A0A673VID9_SURSU, tr|A0A673VQH4|A0A673VQH4_SURSU, tr|A0A673VDG1|A0A673VDG1_SURSU, tr|A0A673VQ69|A0A673VQ69_SURSU
OG0000034	tr|E9QAW0|E9QAW0_MOUSE	tr|A0A673UVT1|A0A673UVT1_SURSU
OG0000034	sp|Q91VN1|ZNF24_MOUSE	tr|A0A673SZ80|A0A673SZ80_SURSU, tr|A0A673T6P7|A0A673T6P7_SURSU, tr|A0A673T8A5|A0A673T8A5_SURSU, tr|A0A673TFG3|A0A673TFG3_SURSU, tr|A0A673TJ72|A0A673TJ72_SURSU, tr|A0A673TJD7|A0A673TJD7_SURSU
OG0000034	sp|Q5RJ54|ZSC26_MOUSE	tr|A0A673T6D1|A0A673T6D1_SURSU, tr|A0A673TMK1|A0A673TMK1_SURSU, tr|A0A673T7U7|A0A673T7U7_SURSU
OG0000034	tr|E9PVW1|E9PVW1_MOUSE	tr|A0A673ULQ0|A0A673ULQ0_SURSU, tr|A0A673UXQ5|A0A673UXQ5_SURSU, tr|A0A673TNK9|A0A673TNK9_SURSU, tr|A0A673TF58|A0A673TF58_SURSU
OG0000035	sp|Q91ZB7|MRGRE_MOUSE, sp|Q99MT8|MRGRH_MOUSE, sp|P30554|MAS_MOUSE, sp|Q91ZB8|MRGRD_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, sp|Q91WW5|MRGA1_MOUSE, sp|Q91WW4|MRGA2_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE	tr|A0A673US50|A0A673US50_SURSU
OG0000040	tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE	tr|A0A673UVD3|A0A673UVD3_SURSU
OG0000041	sp|Q9QWL7|K1C17_MOUSE	tr|A0A673VGW7|A0A673VGW7_SURSU
OG0000041	sp|P08730|K1C13_MOUSE	tr|A0A673VEI6|A0A673VEI6_SURSU
OG0000041	sp|Q61414|K1C15_MOUSE	tr|A0A673V3A1|A0A673V3A1_SURSU
OG0000041	sp|A1L317|K1C24_MOUSE	tr|A0A673UV62|A0A673UV62_SURSU
OG0000041	sp|Q64291|K1C12_MOUSE	tr|A0A673V7B3|A0A673V7B3_SURSU
OG0000041	sp|P02535|K1C10_MOUSE	tr|A0A673V7K0|A0A673V7K0_SURSU
OG0000041	sp|Q6RHW0|K1C9_MOUSE	tr|A0A673V653|A0A673V653_SURSU
OG0000041	sp|P19001|K1C19_MOUSE	tr|A0A673VEV3|A0A673VEV3_SURSU
OG0000041	sp|Q61781|K1C14_MOUSE	tr|A0A673VFH8|A0A673VFH8_SURSU
OG0000041	sp|Q9Z2K1|K1C16_MOUSE	tr|A0A673VGB9|A0A673VGB9_SURSU
OG0000041	sp|Q6IFX2|K1C42_MOUSE	tr|A0A673VH11|A0A673VH11_SURSU
OG0000042	sp|Q8BFU2|H2A3_MOUSE	tr|A0A673TW85|A0A673TW85_SURSU
OG0000042	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A673TJY0|A0A673TJY0_SURSU
OG0000042	sp|Q64522|H2A2B_MOUSE	tr|A0A673TVF6|A0A673TVF6_SURSU, tr|A0A673V832|A0A673V832_SURSU, tr|A0A673TJP1|A0A673TJP1_SURSU
OG0000042	sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE8|H2A1O_MOUSE	tr|A0A673TQJ7|A0A673TQJ7_SURSU, tr|A0A673TTY4|A0A673TTY4_SURSU, tr|A0A673THW4|A0A673THW4_SURSU
OG0000042	sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE5|H2A1G_MOUSE	tr|A0A673TU27|A0A673TU27_SURSU
OG0000042	sp|C0HKE3|H2A1D_MOUSE	tr|A0A673TF42|A0A673TF42_SURSU
OG0000043	tr|Q8CF20|Q8CF20_MOUSE	tr|A0A673UCB0|A0A673UCB0_SURSU, tr|A0A673UQU5|A0A673UQU5_SURSU, tr|A0A673V4G9|A0A673V4G9_SURSU, tr|A0A673VDQ7|A0A673VDQ7_SURSU, tr|A0A673VDN1|A0A673VDN1_SURSU, tr|A0A673V4M5|A0A673V4M5_SURSU, tr|A0A673VEQ7|A0A673VEQ7_SURSU, tr|A0A673V401|A0A673V401_SURSU, tr|A0A673VFX3|A0A673VFX3_SURSU, tr|A0A673UJK6|A0A673UJK6_SURSU, tr|A0A673UUK9|A0A673UUK9_SURSU, tr|A0A673USY4|A0A673USY4_SURSU, tr|A0A673U6K5|A0A673U6K5_SURSU, tr|A0A673V383|A0A673V383_SURSU, tr|A0A673V575|A0A673V575_SURSU, tr|A0A673VEY6|A0A673VEY6_SURSU, tr|A0A673V4S4|A0A673V4S4_SURSU, tr|A0A673VFK4|A0A673VFK4_SURSU, tr|A0A673UJX3|A0A673UJX3_SURSU, tr|A0A673UJD7|A0A673UJD7_SURSU, tr|A0A673UVF2|A0A673UVF2_SURSU
OG0000044	tr|Q8VFG7|Q8VFG7_MOUSE	tr|A0A673U449|A0A673U449_SURSU
OG0000044	tr|Q7TRZ7|Q7TRZ7_MOUSE	tr|A0A673U2Y0|A0A673U2Y0_SURSU
OG0000044	tr|Q8VF37|Q8VF37_MOUSE	tr|A0A673SPA2|A0A673SPA2_SURSU
OG0000044	tr|E9Q3K2|E9Q3K2_MOUSE	tr|A0A673SVD1|A0A673SVD1_SURSU
OG0000044	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|A0A673SWN2|A0A673SWN2_SURSU, tr|A0A673SVF8|A0A673SVF8_SURSU
OG0000046	sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, sp|P02762|MUP6_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, sp|B5X0G2|MUP17_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|Q5FW60|MUP20_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE	tr|A0A673UND8|A0A673UND8_SURSU
OG0000047	sp|Q3UV17|K22O_MOUSE	tr|A0A673THJ7|A0A673THJ7_SURSU
OG0000047	sp|P11679|K2C8_MOUSE	tr|A0A673THC4|A0A673THC4_SURSU, tr|A0A673TFS3|A0A673TFS3_SURSU, tr|A0A673T5U3|A0A673T5U3_SURSU, tr|A0A673T5L2|A0A673T5L2_SURSU, tr|A0A673TGV1|A0A673TGV1_SURSU, tr|A0A673TBC5|A0A673TBC5_SURSU, tr|A0A673TIE4|A0A673TIE4_SURSU, tr|A0A673TJP3|A0A673TJP3_SURSU, tr|A0A673TAX3|A0A673TAX3_SURSU, tr|A0A673TFD3|A0A673TFD3_SURSU, tr|A0A673T7L7|A0A673T7L7_SURSU, tr|A0A673TIR6|A0A673TIR6_SURSU, tr|A0A673TKJ5|A0A673TKJ5_SURSU, tr|A0A673TJ05|A0A673TJ05_SURSU, tr|A0A673TIC9|A0A673TIC9_SURSU, tr|A0A673TM03|A0A673TM03_SURSU, tr|A0A673T446|A0A673T446_SURSU
OG0000048	sp|Q03145|EPHA2_MOUSE	tr|A0A673TKV3|A0A673TKV3_SURSU
OG0000048	sp|O09127|EPHA8_MOUSE	tr|A0A673T901|A0A673T901_SURSU
OG0000048	sp|Q62413|EPHA6_MOUSE	tr|A0A673V9S9|A0A673V9S9_SURSU
OG0000048	sp|Q03137|EPHA4_MOUSE	tr|A0A673SNK0|A0A673SNK0_SURSU
OG0000048	sp|P54763|EPHB2_MOUSE	tr|A0A673TJK5|A0A673TJK5_SURSU
OG0000048	sp|Q8CBF3|EPHB1_MOUSE	tr|A0A673U6C9|A0A673U6C9_SURSU
OG0000048	sp|P54754|EPHB3_MOUSE	tr|A0A673TS15|A0A673TS15_SURSU
OG0000048	sp|Q61772|EPHA7_MOUSE	tr|A0A673UD03|A0A673UD03_SURSU
OG0000048	sp|Q60629|EPHA5_MOUSE	tr|A0A673T787|A0A673T787_SURSU
OG0000048	sp|P29319|EPHA3_MOUSE	tr|A0A673V8P4|A0A673V8P4_SURSU
OG0000050	tr|Q8VGW1|Q8VGW1_MOUSE	tr|A0A673U2B2|A0A673U2B2_SURSU
OG0000050	tr|Q8VG19|Q8VG19_MOUSE	tr|A0A673U272|A0A673U272_SURSU
OG0000050	tr|Q8VG78|Q8VG78_MOUSE	tr|A0A673TRQ0|A0A673TRQ0_SURSU
OG0000050	tr|E9Q542|E9Q542_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE	tr|A0A673UCR0|A0A673UCR0_SURSU
OG0000050	tr|F8VPJ8|F8VPJ8_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE	tr|A0A673TRU0|A0A673TRU0_SURSU
OG0000053	tr|Q7TRT9|Q7TRT9_MOUSE, tr|Q8VGL2|Q8VGL2_MOUSE, tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VGL8|Q8VGL8_MOUSE, tr|Q8VGM1|Q8VGM1_MOUSE, tr|Q8VGL9|Q8VGL9_MOUSE, tr|Q8VGM0|Q8VGM0_MOUSE, tr|Q8VGL4|Q8VGL4_MOUSE, tr|Q8VGM2|Q8VGM2_MOUSE, tr|Q8VGJ4|Q8VGJ4_MOUSE, tr|Q7TRT5|Q7TRT5_MOUSE, tr|Q8VGL3|Q8VGL3_MOUSE, tr|Q8VGH2|Q8VGH2_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE	tr|A0A673SYY0|A0A673SYY0_SURSU
OG0000060	tr|E9PXM9|E9PXM9_MOUSE, sp|L7N1X6|FBW15_MOUSE, tr|F7C9P2|F7C9P2_MOUSE, tr|A0A1D5RLF0|A0A1D5RLF0_MOUSE, tr|Q8BI38|Q8BI38_MOUSE, tr|Q8BI57|Q8BI57_MOUSE, tr|Q3TSA9|Q3TSA9_MOUSE, tr|Q497Z0|Q497Z0_MOUSE, tr|Q8BI58|Q8BI58_MOUSE, tr|E9Q8A4|E9Q8A4_MOUSE, tr|Q8C2Y5|Q8C2Y5_MOUSE, tr|Q5XG67|Q5XG67_MOUSE, tr|Q8C2W8|Q8C2W8_MOUSE, tr|Q5U467|Q5U467_MOUSE	tr|A0A673TZK8|A0A673TZK8_SURSU
OG0000060	tr|Q8CFE8|Q8CFE8_MOUSE	tr|A0A673VKE5|A0A673VKE5_SURSU
OG0000065	sp|O08800|SPB8_MOUSE	tr|A0A673VFR0|A0A673VFR0_SURSU
OG0000065	tr|Q80UK5|Q80UK5_MOUSE, tr|F6V5V4|F6V5V4_MOUSE, tr|Q8VHQ1|Q8VHQ1_MOUSE, tr|O08806|O08806_MOUSE, tr|Q8BMT0|Q8BMT0_MOUSE, tr|Q9DAV6|Q9DAV6_MOUSE, tr|O08797|O08797_MOUSE, tr|I7HJI5|I7HJI5_MOUSE, sp|Q60854|SPB6_MOUSE, tr|O08804|O08804_MOUSE, tr|I7HJI3|I7HJI3_MOUSE, tr|Q3UWK8|Q3UWK8_MOUSE, tr|W4VSP4|W4VSP4_MOUSE	tr|A0A673SXD5|A0A673SXD5_SURSU
OG0000067	sp|P00755|K1KB1_MOUSE, sp|P15949|K1KB9_MOUSE, sp|P00756|K1KB3_MOUSE, sp|P15945|K1KB5_MOUSE, sp|P15947|KLK1_MOUSE, sp|P00757|K1KB4_MOUSE, sp|Q61754|K1B24_MOUSE, sp|Q9JM71|K1B27_MOUSE, sp|Q61759|K1B21_MOUSE, sp|P15946|K1B11_MOUSE, sp|P15948|K1B22_MOUSE, sp|P07628|K1KB8_MOUSE, sp|P36369|K1B26_MOUSE, sp|P36368|EGFB2_MOUSE, sp|P04071|K1B16_MOUSE	tr|A0A673VL90|A0A673VL90_SURSU
OG0000069	sp|Q60879|OLF3_MOUSE	tr|A0A673TKD6|A0A673TKD6_SURSU
OG0000069	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A673TFY1|A0A673TFY1_SURSU, tr|A0A673TS54|A0A673TS54_SURSU, tr|A0A673TTF2|A0A673TTF2_SURSU, tr|A0A673V9G4|A0A673V9G4_SURSU, tr|A0A673V9I5|A0A673V9I5_SURSU, tr|A0A673TSU1|A0A673TSU1_SURSU, tr|A0A673TY07|A0A673TY07_SURSU, tr|A0A673UI66|A0A673UI66_SURSU, tr|A0A673TJA7|A0A673TJA7_SURSU, tr|A0A673TGF5|A0A673TGF5_SURSU, tr|A0A673TKS9|A0A673TKS9_SURSU, tr|A0A673TTQ2|A0A673TTQ2_SURSU
OG0000070	sp|Q8K2A6|LIPM_MOUSE	tr|A0A673TV49|A0A673TV49_SURSU
OG0000070	sp|Q9Z0M5|LICH_MOUSE	tr|A0A673TLI4|A0A673TLI4_SURSU
OG0000070	sp|Q9CPP7|LIPG_MOUSE	tr|A0A673TXD6|A0A673TXD6_SURSU
