Orthogroup	Mus_musculus	Gorilla_gorilla_gorilla
OG0000031	sp|P18528|HVM57_MOUSE, sp|P18527|HVM56_MOUSE	tr|A0A2I2YT20|A0A2I2YT20_GORGO, tr|A0A2I2YUN9|A0A2I2YUN9_GORGO, tr|G3S5G6|G3S5G6_GORGO, tr|A0A2I2YES4|A0A2I2YES4_GORGO, tr|G3SB96|G3SB96_GORGO, tr|A0A2I2YGM2|A0A2I2YGM2_GORGO, tr|A0A2I2Z579|A0A2I2Z579_GORGO, tr|G3S690|G3S690_GORGO, tr|G3S1K9|G3S1K9_GORGO, tr|A0A2I2ZD90|A0A2I2ZD90_GORGO, tr|A0A2I2YHI0|A0A2I2YHI0_GORGO, tr|A0A2I2ZBV0|A0A2I2ZBV0_GORGO, tr|A0A2I2YFL0|A0A2I2YFL0_GORGO, tr|A0A2I2ZTK3|A0A2I2ZTK3_GORGO, tr|A0A2I2YUS0|A0A2I2YUS0_GORGO, tr|G3RUG5|G3RUG5_GORGO, tr|A0A2I2ZLZ4|A0A2I2ZLZ4_GORGO, tr|G3S6R7|G3S6R7_GORGO, tr|A0A2I2YFG4|A0A2I2YFG4_GORGO, tr|A0A2I2ZKB9|A0A2I2ZKB9_GORGO, tr|A0A2I2YNF3|A0A2I2YNF3_GORGO, tr|G3S3W8|G3S3W8_GORGO, tr|G3S7D0|G3S7D0_GORGO
OG0000032	sp|Q80YP6|ZIK1_MOUSE	tr|A0A2I2YB18|A0A2I2YB18_GORGO, tr|G3QNF8|G3QNF8_GORGO, tr|G3QRE0|G3QRE0_GORGO, tr|G3QLF6|G3QLF6_GORGO, tr|A0A2I2YDE8|A0A2I2YDE8_GORGO, tr|G3SBT7|G3SBT7_GORGO, tr|A0A2I2ZFQ3|A0A2I2ZFQ3_GORGO, tr|G3S8F9|G3S8F9_GORGO, tr|G3QJM7|G3QJM7_GORGO, tr|G3RC97|G3RC97_GORGO, tr|A0A2I2ZQI8|A0A2I2ZQI8_GORGO, tr|G3QGV2|G3QGV2_GORGO, tr|G3RKT2|G3RKT2_GORGO, tr|G3RCN8|G3RCN8_GORGO, tr|A0A2I2ZXA5|A0A2I2ZXA5_GORGO, tr|G3S2T2|G3S2T2_GORGO, tr|G3RV70|G3RV70_GORGO, tr|G3QIB4|G3QIB4_GORGO, tr|A0A2I2ZX88|A0A2I2ZX88_GORGO, tr|G3QD02|G3QD02_GORGO, tr|A0A2I2YCW1|A0A2I2YCW1_GORGO, tr|G3QD32|G3QD32_GORGO, tr|G3RFW9|G3RFW9_GORGO, tr|A0A2I2ZY94|A0A2I2ZY94_GORGO
OG0000033	tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|Q8VF83|Q8VF83_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q8VG12|Q8VG12_MOUSE	tr|A0A2I2YJ77|A0A2I2YJ77_GORGO
OG0000037	tr|Q8VG19|Q8VG19_MOUSE	tr|G3SKD4|G3SKD4_GORGO
OG0000037	tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|F8VPJ8|F8VPJ8_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|E9PX47|E9PX47_MOUSE, tr|Q9WU94|Q9WU94_MOUSE, tr|E9PWI5|E9PWI5_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|Q8VGW2|Q8VGW2_MOUSE	tr|G3QI19|G3QI19_GORGO
OG0000037	tr|E9Q542|E9Q542_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|E9PXN3|E9PXN3_MOUSE	tr|G3QUH1|G3QUH1_GORGO
OG0000038	tr|Q8R284|Q8R284_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|Q8R290|Q8R290_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|K7N608|K7N608_MOUSE, tr|Q8R254|Q8R254_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE, tr|Q8R255|Q8R255_MOUSE, tr|E9Q235|E9Q235_MOUSE, tr|L7N213|L7N213_MOUSE, tr|Q8R256|Q8R256_MOUSE, tr|Q8VIB8|Q8VIB8_MOUSE	tr|A0A2I2YS64|A0A2I2YS64_GORGO
OG0000039	sp|Q6NXH9|K2C73_MOUSE	tr|G3QWI7|G3QWI7_GORGO
OG0000039	sp|Q9R0H5|K2C71_MOUSE	tr|G3QKU5|G3QKU5_GORGO
OG0000039	sp|Q8VED5|K2C79_MOUSE	tr|G3QMQ3|G3QMQ3_GORGO
OG0000039	sp|Q6IFZ6|K2C1B_MOUSE	tr|G3QLP7|G3QLP7_GORGO, tr|G3SAV9|G3SAV9_GORGO
OG0000039	sp|Q9DCV7|K2C7_MOUSE	tr|A0A2I2YY18|A0A2I2YY18_GORGO, tr|G3QKU2|G3QKU2_GORGO, tr|G3QK06|G3QK06_GORGO, tr|G3QK01|G3QK01_GORGO, tr|G3QUQ0|G3QUQ0_GORGO
OG0000039	sp|Q6IFZ9|K2C74_MOUSE	tr|G3QKU7|G3QKU7_GORGO
OG0000039	sp|Q6IME9|K2C72_MOUSE	tr|G3S9Q8|G3S9Q8_GORGO
OG0000040	tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE	tr|A0A2I2YQ66|A0A2I2YQ66_GORGO
OG0000041	sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY5|Q91XY5_MOUSE	tr|A0A2I2ZXP0|A0A2I2ZXP0_GORGO
OG0000042	sp|Q9D267|LCN9_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P02762|MUP6_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE	tr|G3QXX4|G3QXX4_GORGO
OG0000043	sp|Q8VG04|OL478_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VG13|OL507_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE	tr|A0A2I2YEY7|A0A2I2YEY7_GORGO
OG0000047	sp|Q0VAW7|ZN112_MOUSE	tr|G3R333|G3R333_GORGO
OG0000047	tr|Q923D1|Q923D1_MOUSE	tr|G3R0U0|G3R0U0_GORGO, tr|G3RDJ1|G3RDJ1_GORGO, tr|G3RSY1|G3RSY1_GORGO, tr|G3SC97|G3SC97_GORGO, tr|G3SI18|G3SI18_GORGO, tr|A0A2I2ZF74|A0A2I2ZF74_GORGO, tr|G3RM79|G3RM79_GORGO, tr|G3QHP9|G3QHP9_GORGO, tr|A0A2I2Z0C1|A0A2I2Z0C1_GORGO, tr|A0A2I2YAP6|A0A2I2YAP6_GORGO, tr|G3QUI6|G3QUI6_GORGO, tr|G3QVF3|G3QVF3_GORGO, tr|G3QGN0|G3QGN0_GORGO, tr|A0A2I2Z296|A0A2I2Z296_GORGO, tr|A0A2I2Y4T4|A0A2I2Y4T4_GORGO, tr|G3QUI9|G3QUI9_GORGO, tr|G3QQC7|G3QQC7_GORGO, tr|G3RLH2|G3RLH2_GORGO
OG0000049	tr|Q9EPG6|Q9EPG6_MOUSE, tr|A0A1L1SSB4|A0A1L1SSB4_MOUSE, tr|A2ACY8|A2ACY8_MOUSE, tr|Q8VEY6|Q8VEY6_MOUSE, tr|A0A1L1SQF6|A0A1L1SQF6_MOUSE, tr|Q7TQV7|Q7TQV7_MOUSE, tr|K7N684|K7N684_MOUSE, tr|B2RVY8|B2RVY8_MOUSE, tr|L7MTV4|L7MTV4_MOUSE, tr|Q7TQV4|Q7TQV4_MOUSE, tr|Q8VGB1|Q8VGB1_MOUSE, tr|L7MU75|L7MU75_MOUSE, tr|Q3KPC7|Q3KPC7_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE, tr|Q8VF43|Q8VF43_MOUSE, tr|Q9EP55|Q9EP55_MOUSE, tr|Q920Z2|Q920Z2_MOUSE, tr|A0A140T8J9|A0A140T8J9_MOUSE, tr|K7N662|K7N662_MOUSE, tr|A0A0R4J8U2|A0A0R4J8U2_MOUSE	tr|G3QF00|G3QF00_GORGO
OG0000054	sp|Q8BQR7|MAGBI_MOUSE	tr|G3QN18|G3QN18_GORGO
OG0000054	sp|Q9CWV4|MAGBG_MOUSE	tr|G3R6L0|G3R6L0_GORGO, tr|G3QDD0|G3QDD0_GORGO, tr|A0A2I2Y824|A0A2I2Y824_GORGO, tr|G3QRL9|G3QRL9_GORGO, tr|G3R9C6|G3R9C6_GORGO, tr|G3QRM6|G3QRM6_GORGO, tr|G3R1X2|G3R1X2_GORGO, tr|G3S8I8|G3S8I8_GORGO, tr|G3SCB5|G3SCB5_GORGO, tr|G3S3L3|G3S3L3_GORGO, tr|G3S9U2|G3S9U2_GORGO, tr|G3RGY0|G3RGY0_GORGO, tr|G3S9W8|G3S9W8_GORGO, tr|G3R5P4|G3R5P4_GORGO, tr|G3SBS2|G3SBS2_GORGO, tr|G3QLW3|G3QLW3_GORGO
OG0000055	tr|A0A140T8P3|A0A140T8P3_MOUSE	tr|G3RYF4|G3RYF4_GORGO, tr|A0A2I2YV72|A0A2I2YV72_GORGO, tr|A0A2I2Z455|A0A2I2Z455_GORGO, tr|A0A2I2Y8Q4|A0A2I2Y8Q4_GORGO, tr|G3RS17|G3RS17_GORGO, tr|A0A2I2Z7R7|A0A2I2Z7R7_GORGO, tr|A0A2I2YSS5|A0A2I2YSS5_GORGO, tr|A0A2I2YT27|A0A2I2YT27_GORGO, tr|G3S1A2|G3S1A2_GORGO, tr|A0A2I2Z5H7|A0A2I2Z5H7_GORGO, tr|A0A2I2ZRI3|A0A2I2ZRI3_GORGO, tr|A0A2I2Y8B7|A0A2I2Y8B7_GORGO, tr|A0A2I2Y6P2|A0A2I2Y6P2_GORGO, tr|A0A2I2YAH1|A0A2I2YAH1_GORGO, tr|A0A2I2YMS6|A0A2I2YMS6_GORGO, tr|A0A2I2Z159|A0A2I2Z159_GORGO, tr|A0A2I2YQM2|A0A2I2YQM2_GORGO, tr|A0A2I2Z4M6|A0A2I2Z4M6_GORGO
OG0000057	tr|Q7TRY6|Q7TRY6_MOUSE, tr|Q8VGH0|Q8VGH0_MOUSE, tr|Q8VGG9|Q8VGG9_MOUSE	tr|A0A2I2ZHV3|A0A2I2ZHV3_GORGO
OG0000057	tr|Q8VFP8|Q8VFP8_MOUSE, tr|Q8VGJ9|Q8VGJ9_MOUSE, tr|Q8VGK3|Q8VGK3_MOUSE, sp|Q8VGK5|OLF50_MOUSE, tr|Q8VGK7|Q8VGK7_MOUSE, tr|Q8VGK9|Q8VGK9_MOUSE, tr|Q8VGK2|Q8VGK2_MOUSE, tr|Q8VGK6|Q8VGK6_MOUSE, tr|Q8VGK8|Q8VGK8_MOUSE, tr|Q8VGJ7|Q8VGJ7_MOUSE, tr|Q8VFP9|Q8VFP9_MOUSE, tr|Q8VGL0|Q8VGL0_MOUSE, tr|Q8VGK4|Q8VGK4_MOUSE, sp|Q60879|OLF3_MOUSE	tr|G3RM01|G3RM01_GORGO
OG0000062	tr|Q8C393|Q8C393_MOUSE	tr|G3RT78|G3RT78_GORGO, tr|A0A2I2ZHD5|A0A2I2ZHD5_GORGO, tr|A0A2I2ZKB4|A0A2I2ZKB4_GORGO
