Orthogroup	Mus_musculus	Loxodonta_africana
OG0000020	sp|Q07231|ZSC21_MOUSE	tr|G3TGG1|G3TGG1_LOXAF
OG0000020	tr|Q8CB76|Q8CB76_MOUSE	tr|G3TXC6|G3TXC6_LOXAF, tr|G3UF78|G3UF78_LOXAF, tr|G3TIZ1|G3TIZ1_LOXAF, tr|G3UID1|G3UID1_LOXAF, tr|G3TIA5|G3TIA5_LOXAF
OG0000020	tr|A2ALW2|A2ALW2_MOUSE	tr|G3T2M0|G3T2M0_LOXAF, tr|G3TCP4|G3TCP4_LOXAF
OG0000020	tr|E9PUD6|E9PUD6_MOUSE	tr|G3T3H6|G3T3H6_LOXAF
OG0000020	sp|Q9Z1D8|ZKSC5_MOUSE	tr|G3U3R8|G3U3R8_LOXAF, tr|G3T224|G3T224_LOXAF, tr|G3TJ08|G3TJ08_LOXAF
OG0000023	tr|Q14AJ9|Q14AJ9_MOUSE	tr|G3SWR7|G3SWR7_LOXAF
OG0000023	tr|A0A0U1RPZ4|A0A0U1RPZ4_MOUSE	tr|G3TX91|G3TX91_LOXAF, tr|G3TTM3|G3TTM3_LOXAF, tr|G3UNC3|G3UNC3_LOXAF, tr|G3UGP7|G3UGP7_LOXAF, tr|G3U8L4|G3U8L4_LOXAF, tr|G3U3K0|G3U3K0_LOXAF, tr|G3UAJ2|G3UAJ2_LOXAF, tr|G3UEN3|G3UEN3_LOXAF, tr|G3STE4|G3STE4_LOXAF, tr|G3UGY2|G3UGY2_LOXAF, tr|G3UN13|G3UN13_LOXAF, tr|G3U470|G3U470_LOXAF, tr|G3TR01|G3TR01_LOXAF, tr|G3U9G2|G3U9G2_LOXAF, tr|G3U652|G3U652_LOXAF, tr|G3UAJ4|G3UAJ4_LOXAF, tr|G3U6J7|G3U6J7_LOXAF, tr|G3UCD0|G3UCD0_LOXAF, tr|G3UK52|G3UK52_LOXAF, tr|G3UIF5|G3UIF5_LOXAF, tr|G3U7I8|G3U7I8_LOXAF, tr|G3TN14|G3TN14_LOXAF, tr|G3U904|G3U904_LOXAF, tr|G3UFZ7|G3UFZ7_LOXAF, tr|G3UIA8|G3UIA8_LOXAF, tr|G3U7F4|G3U7F4_LOXAF, tr|G3U7N8|G3U7N8_LOXAF, tr|G3TDY2|G3TDY2_LOXAF, tr|G3UFZ0|G3UFZ0_LOXAF, tr|G3U1C8|G3U1C8_LOXAF, tr|G3U4V3|G3U4V3_LOXAF, tr|G3ULW6|G3ULW6_LOXAF
OG0000024	tr|Q8VGC2|Q8VGC2_MOUSE	tr|G3UEP2|G3UEP2_LOXAF, tr|G3UD19|G3UD19_LOXAF
OG0000024	tr|Q8VF26|Q8VF26_MOUSE	tr|G3TW83|G3TW83_LOXAF, tr|G3TRZ4|G3TRZ4_LOXAF, tr|G3U0N1|G3U0N1_LOXAF, tr|G3UEM8|G3UEM8_LOXAF, tr|G3U757|G3U757_LOXAF, tr|G3U7Q7|G3U7Q7_LOXAF, tr|G3U5J9|G3U5J9_LOXAF, tr|G3UFF9|G3UFF9_LOXAF, tr|G3TXS6|G3TXS6_LOXAF, tr|G3U2W1|G3U2W1_LOXAF, tr|G3TZ33|G3TZ33_LOXAF, tr|G3TDB2|G3TDB2_LOXAF, tr|G3U4A9|G3U4A9_LOXAF, tr|G3UI40|G3UI40_LOXAF, tr|G3SQK9|G3SQK9_LOXAF, tr|G3U7I9|G3U7I9_LOXAF
OG0000024	tr|Q8VFH6|Q8VFH6_MOUSE	tr|G3UFZ1|G3UFZ1_LOXAF, tr|G3TQK9|G3TQK9_LOXAF, tr|G3U5H3|G3U5H3_LOXAF, tr|G3TYU0|G3TYU0_LOXAF, tr|G3U2I8|G3U2I8_LOXAF, tr|G3T5C5|G3T5C5_LOXAF, tr|G3TTU8|G3TTU8_LOXAF, tr|G3U0K3|G3U0K3_LOXAF
OG0000026	tr|F8VQB9|F8VQB9_MOUSE	tr|G3UK15|G3UK15_LOXAF
OG0000026	tr|E9Q8M3|E9Q8M3_MOUSE	tr|G3U0V8|G3U0V8_LOXAF, tr|G3UJX6|G3UJX6_LOXAF
OG0000026	tr|Q7TRM6|Q7TRM6_MOUSE	tr|G3U7E1|G3U7E1_LOXAF, tr|G3U4J5|G3U4J5_LOXAF, tr|G3U0Y0|G3U0Y0_LOXAF, tr|G3TT05|G3TT05_LOXAF
OG0000026	tr|Q8VET4|Q8VET4_MOUSE	tr|G3UBS6|G3UBS6_LOXAF, tr|G3UJA3|G3UJA3_LOXAF, tr|G3TVU9|G3TVU9_LOXAF, tr|G3U9N4|G3U9N4_LOXAF, tr|G3UKM3|G3UKM3_LOXAF, tr|G3TXM9|G3TXM9_LOXAF, tr|G3UF98|G3UF98_LOXAF, tr|G3UKD0|G3UKD0_LOXAF, tr|G3UMB7|G3UMB7_LOXAF, tr|G3UDG8|G3UDG8_LOXAF, tr|G3UFN7|G3UFN7_LOXAF, tr|G3TRH5|G3TRH5_LOXAF, tr|G5E7A6|G5E7A6_LOXAF, tr|G3TB73|G3TB73_LOXAF
OG0000033	tr|E9Q3K2|E9Q3K2_MOUSE	tr|G3ST93|G3ST93_LOXAF, tr|G3TW16|G3TW16_LOXAF
OG0000033	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|G5E739|G5E739_LOXAF, tr|G3U0Z4|G3U0Z4_LOXAF, tr|G3SML1|G3SML1_LOXAF, tr|G3TVW3|G3TVW3_LOXAF, tr|G3UDC2|G3UDC2_LOXAF, tr|G3U4T9|G3U4T9_LOXAF, tr|G3UHI4|G3UHI4_LOXAF, tr|G3TFW6|G3TFW6_LOXAF, tr|G3U513|G3U513_LOXAF, tr|G3TSD5|G3TSD5_LOXAF, tr|G3UBE1|G3UBE1_LOXAF, tr|G3TXE1|G3TXE1_LOXAF, tr|G3UN39|G3UN39_LOXAF, tr|G3U017|G3U017_LOXAF, tr|G3UAA8|G3UAA8_LOXAF, tr|G3TSX9|G3TSX9_LOXAF, tr|G3UKN9|G3UKN9_LOXAF, tr|G3TSB9|G3TSB9_LOXAF, tr|G3TNT3|G3TNT3_LOXAF, tr|G3ST96|G3ST96_LOXAF, tr|G3TRG1|G3TRG1_LOXAF, tr|G3TQA1|G3TQA1_LOXAF, tr|G3UCT9|G3UCT9_LOXAF
OG0000036	tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q497W1|Q497W1_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q62056|Q62056_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, sp|Q61400|CEAMA_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, sp|P31809|CEAM1_MOUSE, sp|Q925P2|CEAM2_MOUSE	tr|G3TTV3|G3TTV3_LOXAF
OG0000044	sp|P70458|IPSP_MOUSE	tr|G3T0X8|G3T0X8_LOXAF
OG0000044	sp|Q8CIE0|SPA11_MOUSE	tr|G3UMW8|G3UMW8_LOXAF
OG0000044	tr|D3Z660|D3Z660_MOUSE, sp|Q9DCQ7|A1AT6_MOUSE, sp|Q00898|A1AT5_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|P07758|A1AT1_MOUSE	tr|G3TDW3|G3TDW3_LOXAF
OG0000046	tr|Q8VGJ5|Q8VGJ5_MOUSE	tr|G3UB96|G3UB96_LOXAF, tr|G3U903|G3U903_LOXAF, tr|G3U390|G3U390_LOXAF, tr|G3UIQ5|G3UIQ5_LOXAF, tr|G3TN24|G3TN24_LOXAF, tr|G3T6W2|G3T6W2_LOXAF, tr|G3T4Z4|G3T4Z4_LOXAF, tr|G3ULJ4|G3ULJ4_LOXAF
OG0000046	tr|Q8VF05|Q8VF05_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE	tr|G3T008|G3T008_LOXAF, tr|G3SXS8|G3SXS8_LOXAF, tr|G3TVZ0|G3TVZ0_LOXAF, tr|G3T7Y5|G3T7Y5_LOXAF, tr|G3U2A0|G3U2A0_LOXAF, tr|G3UCT0|G3UCT0_LOXAF, tr|G3UBN2|G3UBN2_LOXAF, tr|G3TYK8|G3TYK8_LOXAF, tr|G3UJC2|G3UJC2_LOXAF, tr|G3TSC6|G3TSC6_LOXAF, tr|G3THZ9|G3THZ9_LOXAF
OG0000047	sp|Q9ESN2|TRI39_MOUSE	tr|G3TDE8|G3TDE8_LOXAF, tr|G3TWW1|G3TWW1_LOXAF, tr|G3U6Q1|G3U6Q1_LOXAF, tr|G3UNN1|G3UNN1_LOXAF, tr|G3TN81|G3TN81_LOXAF, tr|G3UI05|G3UI05_LOXAF, tr|G3U1A1|G3U1A1_LOXAF, tr|G3TY34|G3TY34_LOXAF, tr|G3TZ63|G3TZ63_LOXAF, tr|G3UMU8|G3UMU8_LOXAF, tr|G3TWF6|G3TWF6_LOXAF, tr|G3UJL4|G3UJL4_LOXAF, tr|G3UJI2|G3UJI2_LOXAF, tr|G3UMH6|G3UMH6_LOXAF, tr|G3UFS5|G3UFS5_LOXAF, tr|G3UGM6|G3UGM6_LOXAF, tr|G3U368|G3U368_LOXAF, tr|G3U8I7|G3U8I7_LOXAF, tr|G3UCC4|G3UCC4_LOXAF, tr|G3U656|G3U656_LOXAF, tr|G3U042|G3U042_LOXAF
OG0000049	tr|Q7TRZ7|Q7TRZ7_MOUSE	tr|G3UJY9|G3UJY9_LOXAF, tr|G3TZQ9|G3TZQ9_LOXAF, tr|G3U2U2|G3U2U2_LOXAF, tr|G3U439|G3U439_LOXAF, tr|G3TRU1|G3TRU1_LOXAF, tr|G3UG30|G3UG30_LOXAF
OG0000049	tr|Q8VFG7|Q8VFG7_MOUSE	tr|G3UEL0|G3UEL0_LOXAF, tr|G3TXU4|G3TXU4_LOXAF, tr|G3U6I9|G3U6I9_LOXAF, tr|G3UMN0|G3UMN0_LOXAF, tr|G3U4I3|G3U4I3_LOXAF, tr|G3UGI1|G3UGI1_LOXAF, tr|G3U734|G3U734_LOXAF, tr|G3SP93|G3SP93_LOXAF, tr|G3T496|G3T496_LOXAF, tr|G3UKP5|G3UKP5_LOXAF, tr|G3TP63|G3TP63_LOXAF, tr|G3TBF1|G3TBF1_LOXAF, tr|G3TS64|G3TS64_LOXAF, tr|G3UF35|G3UF35_LOXAF
OG0000052	sp|Q91VE3|KLK7_MOUSE, tr|Q8CGR6|Q8CGR6_MOUSE, sp|Q8CGR5|KLK14_MOUSE, sp|Q61955|KLK8_MOUSE, tr|Q32M27|Q32M27_MOUSE, sp|Q9QYN3|KLK11_MOUSE, sp|P15949|K1KB9_MOUSE, sp|P00755|K1KB1_MOUSE, sp|Q61754|K1B24_MOUSE, sp|Q9JM71|K1B27_MOUSE, sp|Q61759|K1B21_MOUSE, sp|P15946|K1B11_MOUSE, sp|P07628|K1KB8_MOUSE, sp|P36369|K1B26_MOUSE, sp|P36368|EGFB2_MOUSE, sp|P04071|K1B16_MOUSE, sp|P15948|K1B22_MOUSE, sp|P15945|K1KB5_MOUSE, sp|P15947|KLK1_MOUSE, sp|P00757|K1KB4_MOUSE, sp|P00756|K1KB3_MOUSE	tr|G3UDE5|G3UDE5_LOXAF
OG0000053	tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE	tr|G3T087|G3T087_LOXAF
OG0000056	tr|E9Q0Z1|E9Q0Z1_MOUSE	tr|G3TYN7|G3TYN7_LOXAF
