Orthogroup	Homo_sapiens	Rattus_norvegicus
OG0000008	sp|Q9Y2G7|ZFP30_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q9HCL3|ZFP14_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q8TAQ5|ZN420_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q9NQX6|ZN331_HUMAN, sp|Q8N7M2|ZN283_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q8TAF7|ZN461_HUMAN, sp|Q6PG37|ZN790_HUMAN, sp|Q8N9K5|ZN565_HUMAN, sp|A8MQ14|ZN850_HUMAN, sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN, sp|P17039|ZNF30_HUMAN, sp|Q96SK3|ZN607_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q5EBM4|ZN542_HUMAN, sp|Q8NCK3|ZN485_HUMAN, sp|Q8N9F8|ZN454_HUMAN, sp|Q14585|ZN345_HUMAN, sp|P52738|ZN140_HUMAN, sp|Q9NR11|ZN302_HUMAN, sp|Q2M3W8|ZN181_HUMAN, sp|Q8NHY6|ZFP28_HUMAN, sp|Q8NB42|ZN527_HUMAN, sp|Q96NI8|ZN570_HUMAN, sp|Q6ECI4|ZN470_HUMAN, sp|Q9BX82|ZN471_HUMAN, sp|Q96NG8|ZN582_HUMAN, sp|Q969W8|ZN566_HUMAN	tr|A0A8I6G6C2|A0A8I6G6C2_RAT
OG0000009	sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN	tr|A0A0G2JZL1|A0A0G2JZL1_RAT
OG0000009	sp|P0DTE2|HV511_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P01762|HV311_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01772|HV333_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01766|HV313_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01780|HV307_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|P01764|HV323_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN	tr|A0A8I6AP25|A0A8I6AP25_RAT
OG0000011	sp|Q9H606|PRORY_HUMAN	tr|Q7TMB2|Q7TMB2_RAT
OG0000011	sp|O00370|LORF2_HUMAN	tr|Q7TPJ9|Q7TPJ9_RAT, tr|A0A8I5ZU39|A0A8I5ZU39_RAT, tr|Q6QI08|Q6QI08_RAT, tr|A0A8I6ABW9|A0A8I6ABW9_RAT, tr|Q6QI36|Q6QI36_RAT, tr|A0A8I6ADL8|A0A8I6ADL8_RAT, tr|Q6QI20|Q6QI20_RAT, tr|A0A8I6G8A9|A0A8I6G8A9_RAT, tr|A0A8I5ZYH8|A0A8I5ZYH8_RAT, tr|Q6QI10|Q6QI10_RAT, tr|Q6TUG9|Q6TUG9_RAT, tr|Q6TXH8|Q6TXH8_RAT, tr|A0A8I5XVA7|A0A8I5XVA7_RAT, tr|A0A8I5ZXX0|A0A8I5ZXX0_RAT, tr|A0A8I5ZKB7|A0A8I5ZKB7_RAT, tr|A0A8I6APR2|A0A8I6APR2_RAT, tr|A0A8I6AMX4|A0A8I6AMX4_RAT, tr|A0A8I5ZRG1|A0A8I5ZRG1_RAT, tr|A0A8I6AD22|A0A8I6AD22_RAT, tr|Q6QI37|Q6QI37_RAT, tr|Q6TXG3|Q6TXG3_RAT, tr|A0A8I6G6K4|A0A8I6G6K4_RAT, tr|A0A8I5ZJJ5|A0A8I5ZJJ5_RAT, tr|Q6QI92|Q6QI92_RAT, tr|Q6QI53|Q6QI53_RAT, tr|Q6QI58|Q6QI58_RAT, tr|Q7TQ81|Q7TQ81_RAT, tr|A0A8I6APX0|A0A8I6APX0_RAT, tr|Q6TXI5|Q6TXI5_RAT, tr|A0A8I5ZWR7|A0A8I5ZWR7_RAT, tr|Q6TUH2|Q6TUH2_RAT, tr|A0A8I5ZKZ9|A0A8I5ZKZ9_RAT, tr|M0R7G2|M0R7G2_RAT
OG0000014	tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A075B6S5|KV127_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A075B6H8|KVD42_HUMAN	tr|A0A0G2K1F0|A0A0G2K1F0_RAT
OG0000017	sp|Q08379|GOGA2_HUMAN	sp|Q62839|GOGA2_RAT
OG0000017	sp|A6NDK9|GOG6C_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN	tr|M0R5N1|M0R5N1_RAT
OG0000018	sp|Q8NGH3|OR2D3_HUMAN	tr|D3ZN10|D3ZN10_RAT, tr|M0RE20|M0RE20_RAT, tr|D4A8F8|D4A8F8_RAT, tr|A0A8I6AQI1|A0A8I6AQI1_RAT, tr|A0A8I6AI46|A0A8I6AI46_RAT, tr|A0A8I6ACQ4|A0A8I6ACQ4_RAT, tr|D4ABA2|D4ABA2_RAT, tr|D4AD10|D4AD10_RAT, tr|D4AEF3|D4AEF3_RAT, tr|D4A9M3|D4A9M3_RAT, tr|D3ZFA4|D3ZFA4_RAT, tr|D4AD00|D4AD00_RAT, tr|A0A0G2JYA1|A0A0G2JYA1_RAT, tr|D4AEF2|D4AEF2_RAT, tr|A0A8I5Y681|A0A8I5Y681_RAT, tr|M0R4F0|M0R4F0_RAT, tr|M0R8L6|M0R8L6_RAT, tr|F1M060|F1M060_RAT, tr|D3ZMZ6|D3ZMZ6_RAT, tr|O35434|O35434_RAT, tr|M0R571|M0R571_RAT, tr|A0A8I5Y173|A0A8I5Y173_RAT, tr|A0A8I6GED5|A0A8I6GED5_RAT, tr|A0A8I6AIV8|A0A8I6AIV8_RAT, tr|D3ZL56|D3ZL56_RAT, tr|M0RC25|M0RC25_RAT, tr|M0RAJ2|M0RAJ2_RAT, tr|D4AEN3|D4AEN3_RAT, tr|D3ZIZ3|D3ZIZ3_RAT, tr|A0A8I6AIJ7|A0A8I6AIJ7_RAT, tr|A0A8I5Y5U5|A0A8I5Y5U5_RAT
OG0000021	sp|Q96M61|MAGBI_HUMAN	tr|G3V932|G3V932_RAT
OG0000021	sp|O15480|MAGB3_HUMAN	tr|A0A8I6AWU5|A0A8I6AWU5_RAT
OG0000021	sp|Q9BZ81|MAGB5_HUMAN	tr|D4A972|D4A972_RAT
OG0000021	tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|Q8N7X4|MAGB6_HUMAN	tr|A0A8I6AD33|A0A8I6AD33_RAT
OG0000021	sp|Q8TD91|MAGC3_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|A6NCF6|MA13P_HUMAN, sp|P43363|MAGAA_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43362|MAGA9_HUMAN, sp|A2A368|MAGBG_HUMAN	sp|Q6AY37|MAGBG_RAT
OG0000022	sp|Q3SY52|ZIK1_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q6PK81|ZN773_HUMAN, sp|Q96HQ0|ZN419_HUMAN, sp|Q8IVC4|ZN584_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|P52740|ZN132_HUMAN, sp|P52741|ZN134_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|Q68DY9|ZN772_HUMAN, sp|Q3KQV3|ZN792_HUMAN	tr|M0RA43|M0RA43_RAT
OG0000023	sp|Q8NGJ3|O52E1_HUMAN	tr|D3ZQM4|D3ZQM4_RAT
OG0000023	sp|Q8NH55|O52E5_HUMAN	tr|D3ZAJ3|D3ZAJ3_RAT
OG0000023	sp|Q8NGH9|O52E4_HUMAN	tr|A0A8I6AFQ6|A0A8I6AFQ6_RAT, tr|D3ZV48|D3ZV48_RAT, tr|D3ZY06|D3ZY06_RAT, tr|D4ACY0|D4ACY0_RAT, tr|D3ZCE8|D3ZCE8_RAT, tr|D4A9S9|D4A9S9_RAT, tr|D4ACZ7|D4ACZ7_RAT, tr|D4ACZ6|D4ACZ6_RAT, tr|D3ZVA3|D3ZVA3_RAT, tr|D3ZYI9|D3ZYI9_RAT, tr|D4ACI1|D4ACI1_RAT, tr|A0A0G2JUH1|A0A0G2JUH1_RAT, tr|D3ZMW6|D3ZMW6_RAT, tr|D3Z9U9|D3Z9U9_RAT, tr|D4A7Y8|D4A7Y8_RAT, tr|D4A3F2|D4A3F2_RAT, tr|D3ZXV3|D3ZXV3_RAT, tr|D4A3G1|D4A3G1_RAT, tr|D4A3G5|D4A3G5_RAT, tr|D3ZGP3|D3ZGP3_RAT, tr|D4A2W3|D4A2W3_RAT
OG0000023	sp|Q8NGJ4|O52E2_HUMAN	tr|D4AA74|D4AA74_RAT, tr|F1M8Z7|F1M8Z7_RAT
OG0000024	sp|Q8NGP0|OR4CD_HUMAN, sp|A6NHA9|O4C46_HUMAN	tr|A0A8I6GKZ5|A0A8I6GKZ5_RAT
OG0000024	sp|Q96R67|OR4CC_HUMAN	tr|D3ZGY9|D3ZGY9_RAT, tr|D4ADX2|D4ADX2_RAT, tr|A0A8I6AKF4|A0A8I6AKF4_RAT, tr|A0A8I5ZQH4|A0A8I5ZQH4_RAT, tr|D4A9N2|D4A9N2_RAT, tr|A0A8I6AI72|A0A8I6AI72_RAT, tr|A0A8I6AAI7|A0A8I6AAI7_RAT, tr|A0A8I6AUF8|A0A8I6AUF8_RAT, tr|A0A8I6ALE0|A0A8I6ALE0_RAT, tr|A0A8I6GM08|A0A8I6GM08_RAT, tr|A0A8I5Y742|A0A8I5Y742_RAT, tr|A0A8I5ZTY0|A0A8I5ZTY0_RAT, tr|D3ZC17|D3ZC17_RAT, tr|A0A8I6GH85|A0A8I6GH85_RAT, tr|A0A0G2K1A7|A0A0G2K1A7_RAT, tr|A0A8I6GAX7|A0A8I6GAX7_RAT, tr|D3ZLQ2|D3ZLQ2_RAT, tr|A0A8I6GDH2|A0A8I6GDH2_RAT, tr|A0A8I5ZQ18|A0A8I5ZQ18_RAT, tr|A0A8I6A5Z9|A0A8I6A5Z9_RAT, tr|A0A8I5ZK29|A0A8I5ZK29_RAT, tr|A0A8I5ZYU3|A0A8I5ZYU3_RAT, tr|A0A8I6AEV3|A0A8I6AEV3_RAT, tr|D3Z928|D3Z928_RAT, tr|D3ZGG1|D3ZGG1_RAT
OG0000025	sp|Q8NH61|O51F2_HUMAN	tr|D3ZZ77|D3ZZ77_RAT
OG0000025	sp|Q9H342|O51J1_HUMAN	tr|D4ABG3|D4ABG3_RAT, tr|D4ACT9|D4ACT9_RAT, tr|D4A084|D4A084_RAT, tr|D3ZCZ7|D3ZCZ7_RAT
OG0000025	sp|Q8NH63|O51H1_HUMAN	tr|D4AD74|D4AD74_RAT, tr|D4AD64|D4AD64_RAT, tr|D4AA80|D4AA80_RAT, tr|D4ACH0|D4ACH0_RAT, tr|A0A8I6AMD8|A0A8I6AMD8_RAT, tr|M0RB48|M0RB48_RAT, tr|M0R7V2|M0R7V2_RAT
OG0000025	sp|Q9H344|O51I2_HUMAN	tr|D3ZLR2|D3ZLR2_RAT
OG0000025	sp|Q9H343|O51I1_HUMAN	tr|M0R4M9|M0R4M9_RAT, tr|D3ZLN8|D3ZLN8_RAT, tr|D3ZLS3|D3ZLS3_RAT
OG0000025	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|D3ZGN9|D3ZGN9_RAT, tr|A0A0G2JUQ7|A0A0G2JUQ7_RAT, tr|A0A0G2JTQ4|A0A0G2JTQ4_RAT, tr|A0A8I6A7V2|A0A8I6A7V2_RAT
OG0000027	sp|Q9H7L2|KI3X1_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q99706|KI2L4_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, sp|P43631|KI2S2_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14954|KI2S1_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43627|KI2L2_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN	sp|P83556|KI3L1_RAT
OG0000036	sp|Q8NGF4|O5AP2_HUMAN	tr|A0A0G2JYX3|A0A0G2JYX3_RAT, tr|A0A0G2JUZ9|A0A0G2JUZ9_RAT
OG0000036	sp|Q8NH18|OR5J2_HUMAN	tr|F1M4E1|F1M4E1_RAT, tr|A0A8I6AMB2|A0A8I6AMB2_RAT, tr|D4A438|D4A438_RAT, tr|A0A8I5ZUV6|A0A8I5ZUV6_RAT, tr|A0A8I6AVD6|A0A8I6AVD6_RAT, tr|G3V9E6|G3V9E6_RAT, tr|A0A8I6AK52|A0A8I6AK52_RAT, tr|D3ZYQ1|D3ZYQ1_RAT, tr|D4AA37|D4AA37_RAT, tr|D4AAG7|D4AAG7_RAT, tr|D3Z961|D3Z961_RAT, tr|D4ACV6|D4ACV6_RAT, tr|D3Z7Y3|D3Z7Y3_RAT, tr|D3Z9F3|D3Z9F3_RAT, tr|A0A8I6A3X3|A0A8I6A3X3_RAT, tr|A0A8I5Y7T3|A0A8I5Y7T3_RAT, tr|A0A8I6AGS9|A0A8I6AGS9_RAT, tr|A0A8I6A1I5|A0A8I6A1I5_RAT, tr|D3ZQW9|D3ZQW9_RAT, tr|D3ZTP7|D3ZTP7_RAT
OG0000037	sp|P19013|K2C4_HUMAN	sp|Q6IG00|K2C4_RAT
OG0000037	sp|Q14CN4|K2C72_HUMAN	sp|Q6IG04|K2C72_RAT
OG0000037	sp|Q86Y46|K2C73_HUMAN	sp|Q6IG03|K2C73_RAT
OG0000037	sp|Q3SY84|K2C71_HUMAN	tr|D3ZXB7|D3ZXB7_RAT
