Orthogroup	Homo_sapiens	Colobus_angolensis_palliatus
OG0000001	sp|Q8NH53|O52N1_HUMAN, sp|Q8NGI0|O52N2_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q8NGI2|O52N4_HUMAN, sp|Q9H2C5|O52A5_HUMAN, sp|A6NMU1|O52A4_HUMAN, sp|Q9UKL2|O52A1_HUMAN, sp|Q8NGF1|O52R1_HUMAN, sp|Q8NH60|O52J3_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NH55|O52E5_HUMAN	tr|A0A2K5HM76|A0A2K5HM76_COLAP
OG0000001	sp|Q8NGF3|O51D1_HUMAN, sp|Q8TCB6|O51E1_HUMAN, sp|Q9H255|O51E2_HUMAN	tr|A0A2K5HLP6|A0A2K5HLP6_COLAP
OG0000001	sp|A6NGY5|O51F1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN	tr|A0A2K5IFR2|A0A2K5IFR2_COLAP
OG0000002	sp|P47887|OR1E2_HUMAN	tr|A0A2K5IW53|A0A2K5IW53_COLAP
OG0000002	sp|P30953|OR1E1_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|O60431|OR1I1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|O76100|OR7AA_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|O60412|OR7C2_HUMAN, sp|O76099|OR7C1_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q15612|OR1Q1_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS2|OR1J2_HUMAN	tr|A0A2K5INK0|A0A2K5INK0_COLAP
OG0000003	sp|Q8NGB8|O4F15_HUMAN	tr|A0A2K5HJL6|A0A2K5HJL6_COLAP
OG0000003	sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8NGD1|OR4N2_HUMAN	tr|A0A2K5IJD6|A0A2K5IJD6_COLAP
OG0000003	sp|Q8NGN0|OR4D5_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGE8|OR4D9_HUMAN, sp|P58180|OR4D2_HUMAN, sp|Q15615|OR4D1_HUMAN	tr|A0A2K5HFS4|A0A2K5HFS4_COLAP
OG0000003	sp|Q8NH05|OR4Q3_HUMAN	tr|A0A2K5JKJ1|A0A2K5JKJ1_COLAP
OG0000003	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2K5HJN4|A0A2K5HJN4_COLAP
OG0000003	sp|Q96R69|OR4F4_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGA8|O4F17_HUMAN	tr|A0A2K5HPW9|A0A2K5HPW9_COLAP
OG0000005	sp|Q8NGX2|O2T35_HUMAN	tr|A0A2K5K9S1|A0A2K5K9S1_COLAP
OG0000005	sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGX1|O2T34_HUMAN	tr|A0A2K5HZU5|A0A2K5HZU5_COLAP
OG0000005	sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH00|OR2T4_HUMAN	tr|A0A2K5J412|A0A2K5J412_COLAP
OG0000007	sp|O15481|MAGB4_HUMAN	tr|A0A2K5JIZ2|A0A2K5JIZ2_COLAP
OG0000007	sp|O60732|MAGC1_HUMAN	tr|A0A2K5HS03|A0A2K5HS03_COLAP
OG0000007	sp|Q9UBF1|MAGC2_HUMAN	tr|A0A2K5HIM1|A0A2K5HIM1_COLAP
OG0000007	sp|P43364|MAGAB_HUMAN	tr|A0A2K5JHV4|A0A2K5JHV4_COLAP
OG0000007	sp|P43355|MAGA1_HUMAN	tr|A0A2K5K8P1|A0A2K5K8P1_COLAP
OG0000007	sp|P43358|MAGA4_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43357|MAGA3_HUMAN	tr|A0A2K5I7K9|A0A2K5I7K9_COLAP
OG0000007	sp|Q8N7X4|MAGB6_HUMAN, tr|A0A0J9YX57|A0A0J9YX57_HUMAN	tr|A0A2K5JL52|A0A2K5JL52_COLAP
OG0000008	sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A577|TVB41_HUMAN, sp|A0A539|TVB42_HUMAN, sp|A0A589|TVB43_HUMAN, sp|A0A576|TVB31_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A087X0M5|TVB18_HUMAN	tr|A0A2K5HIB5|A0A2K5HIB5_COLAP
OG0000009	sp|O95780|ZN682_HUMAN	tr|A0A2K5JDX3|A0A2K5JDX3_COLAP, tr|A0A2K5HDQ0|A0A2K5HDQ0_COLAP, tr|A0A2K5K6G3|A0A2K5K6G3_COLAP, tr|A0A2K5HAI2|A0A2K5HAI2_COLAP, tr|A0A2K5H7X3|A0A2K5H7X3_COLAP, tr|A0A2K5JQG2|A0A2K5JQG2_COLAP, tr|A0A2K5IBE0|A0A2K5IBE0_COLAP, tr|A0A2K5HS36|A0A2K5HS36_COLAP, tr|A0A2K5IDX5|A0A2K5IDX5_COLAP, tr|A0A2K5JPW3|A0A2K5JPW3_COLAP, tr|A0A2K5JQJ7|A0A2K5JQJ7_COLAP, tr|A0A2K5IKY4|A0A2K5IKY4_COLAP, tr|A0A2K5HYJ3|A0A2K5HYJ3_COLAP, tr|A0A2K5HFQ7|A0A2K5HFQ7_COLAP, tr|A0A2K5HDU0|A0A2K5HDU0_COLAP, tr|A0A2K5JSX9|A0A2K5JSX9_COLAP, tr|A0A2K5H6W5|A0A2K5H6W5_COLAP, tr|A0A2K5HCC4|A0A2K5HCC4_COLAP, tr|A0A2K5HZL5|A0A2K5HZL5_COLAP, tr|A0A2K5HNM1|A0A2K5HNM1_COLAP, tr|A0A2K5J5F4|A0A2K5J5F4_COLAP, tr|A0A2K5I1Y6|A0A2K5I1Y6_COLAP, tr|A0A2K5HMT4|A0A2K5HMT4_COLAP, tr|A0A2K5IED4|A0A2K5IED4_COLAP, tr|A0A2K5IJ89|A0A2K5IJ89_COLAP, tr|A0A2K5HZG0|A0A2K5HZG0_COLAP, tr|A0A2K5HIU1|A0A2K5HIU1_COLAP, tr|A0A2K5H944|A0A2K5H944_COLAP, tr|A0A2K5K6J4|A0A2K5K6J4_COLAP
OG0000010	tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN	tr|A0A2K5IKV9|A0A2K5IKV9_COLAP
OG0000010	sp|P43629|KI3L1_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43630|KI3L2_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, sp|P43631|KI2S2_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14952|KI2S3_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN	tr|A0A2K5IJW5|A0A2K5IJW5_COLAP
OG0000010	sp|Q8N743|KI3L3_HUMAN	tr|A0A2K5HM13|A0A2K5HM13_COLAP
OG0000012	sp|P60709|ACTB_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P63267|ACTH_HUMAN, sp|Q8TDY3|ACTT2_HUMAN, sp|Q8TDG2|ACTT1_HUMAN, sp|Q8TC94|ACTL9_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN	tr|A0A2K5HZI0|A0A2K5HZI0_COLAP
OG0000012	sp|Q86YR6|POTED_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|Q6S8J7|POTEA_HUMAN	tr|A0A2K5JPH9|A0A2K5JPH9_COLAP
OG0000013	sp|Q5TZ20|OR2G6_HUMAN	tr|A0A2K5KC93|A0A2K5KC93_COLAP
OG0000013	sp|Q8NGZ5|OR2G2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76001|OR2J3_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q8NGH3|OR2D3_HUMAN, sp|Q8NGT1|OR2K2_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|O76000|OR2B3_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN	tr|A0A2K5HE52|A0A2K5HE52_COLAP
OG0000014	sp|Q9H9J4|UBP42_HUMAN	tr|A0A2K5I2N7|A0A2K5I2N7_COLAP
OG0000014	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|A0A2K5KFJ5|A0A2K5KFJ5_COLAP
OG0000016	sp|P0C623|OR4Q2_HUMAN, sp|Q8NGL7|OR4P4_HUMAN, sp|Q8NH73|OR4S2_HUMAN, sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NGF8|OR4B1_HUMAN, sp|Q8NGF9|OR4X2_HUMAN, sp|Q8NH49|OR4X1_HUMAN, sp|Q8NH70|O4A16_HUMAN, sp|P0C604|OR4A8_HUMAN, sp|Q8NH83|OR4A5_HUMAN, sp|Q8NGN8|OR4A4_HUMAN, sp|Q6IF82|O4A47_HUMAN, sp|Q8NGL6|O4A15_HUMAN, sp|A6NHA9|O4C46_HUMAN, sp|Q8NGP0|OR4CD_HUMAN, sp|Q96R67|OR4CC_HUMAN, sp|Q8NH72|OR4C6_HUMAN, sp|A6NMZ5|O4C45_HUMAN, sp|Q8NGB2|OR4C5_HUMAN, sp|Q8NH37|OR4C3_HUMAN, sp|Q8NGM1|OR4CF_HUMAN, sp|Q8NGL9|OR4CG_HUMAN, sp|Q6IEV9|OR4CB_HUMAN	tr|A0A2K5HQI0|A0A2K5HQI0_COLAP
OG0000017	sp|P30405|PPIF_HUMAN	tr|A0A2K5KAU0|A0A2K5KAU0_COLAP, tr|A0A2K5HNK5|A0A2K5HNK5_COLAP, tr|A0A2K5HFH1|A0A2K5HFH1_COLAP, tr|A0A2K5H8F1|A0A2K5H8F1_COLAP, tr|A0A2K5JI65|A0A2K5JI65_COLAP, tr|A0A2K5HEI4|A0A2K5HEI4_COLAP, tr|A0A2K5I0M4|A0A2K5I0M4_COLAP, tr|A0A2K5IDI6|A0A2K5IDI6_COLAP, tr|A0A2K5HPT5|A0A2K5HPT5_COLAP, tr|A0A2K5JKN2|A0A2K5JKN2_COLAP, tr|A0A2K5H9P4|A0A2K5H9P4_COLAP, tr|A0A2K5H9A3|A0A2K5H9A3_COLAP, tr|A0A2K5IRF1|A0A2K5IRF1_COLAP, tr|A0A2K5HIR8|A0A2K5HIR8_COLAP, tr|A0A2K5HHH1|A0A2K5HHH1_COLAP, tr|A0A2K5HDF8|A0A2K5HDF8_COLAP, tr|A0A2K5HGA6|A0A2K5HGA6_COLAP, tr|A0A2K5HBM3|A0A2K5HBM3_COLAP, tr|A0A2K5HB45|A0A2K5HB45_COLAP, tr|A0A2K5HMG0|A0A2K5HMG0_COLAP, tr|A0A2K5I8P6|A0A2K5I8P6_COLAP, tr|A0A2K5HCJ5|A0A2K5HCJ5_COLAP
OG0000018	sp|A6NLX3|SPDE4_HUMAN	tr|A0A2K5I6I3|A0A2K5I6I3_COLAP
OG0000018	sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|Q495Y7|SPDE7_HUMAN	tr|A0A2K5KCG6|A0A2K5KCG6_COLAP
OG0000019	sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9UN70|PCDGK_HUMAN	tr|A0A2K5JFN2|A0A2K5JFN2_COLAP
OG0000020	sp|Q8NHC4|O10J5_HUMAN	tr|A0A2K5J936|A0A2K5J936_COLAP
OG0000020	sp|P30954|O10J1_HUMAN	tr|A0A2K5IPD4|A0A2K5IPD4_COLAP
OG0000020	sp|Q8NGX3|O10T2_HUMAN, sp|Q8NGX6|O10R2_HUMAN	tr|A0A2K5IY02|A0A2K5IY02_COLAP
OG0000020	sp|Q8NGX5|O10K1_HUMAN, sp|Q6IF99|O10K2_HUMAN, sp|Q8NGY0|O10X1_HUMAN, sp|Q9Y4A9|O10H1_HUMAN, sp|Q8NGA6|O10H5_HUMAN, sp|O60403|O10H2_HUMAN, sp|Q8NGA5|O10H4_HUMAN, sp|O60404|O10H3_HUMAN	tr|A0A2K5HC63|A0A2K5HC63_COLAP
OG0000021	sp|A6NCV1|O6C74_HUMAN	tr|A0A2K5HCY2|A0A2K5HCY2_COLAP
OG0000021	sp|Q8NGE1|OR6C4_HUMAN	tr|A0A2K5HCF9|A0A2K5HCF9_COLAP
OG0000021	sp|Q8NGE2|O2AP1_HUMAN	tr|A0A2K5HCJ1|A0A2K5HCJ1_COLAP
OG0000021	sp|Q9NZP2|OR6C2_HUMAN, sp|A6NDL8|O6C68_HUMAN	tr|A0A2K5JTJ1|A0A2K5JTJ1_COLAP
OG0000022	sp|Q9UC07|ZNF69_HUMAN	tr|A0A2K5IZE5|A0A2K5IZE5_COLAP
OG0000022	sp|Q9H0M5|ZN700_HUMAN	tr|A0A2K5IG16|A0A2K5IG16_COLAP
OG0000022	sp|P52737|ZN136_HUMAN	tr|A0A2K5J986|A0A2K5J986_COLAP
OG0000022	sp|Q7L945|ZN627_HUMAN	tr|A0A2K5I650|A0A2K5I650_COLAP
OG0000022	sp|C9JN71|ZN878_HUMAN, sp|Q8N7K0|ZN433_HUMAN	tr|A0A2K5JPW6|A0A2K5JPW6_COLAP
OG0000022	sp|P17024|ZNF20_HUMAN	tr|A0A2K5H8C9|A0A2K5H8C9_COLAP
OG0000022	sp|Q08AG5|ZN844_HUMAN	tr|A0A2K5IPA7|A0A2K5IPA7_COLAP
OG0000022	sp|Q8IYI8|ZN440_HUMAN	tr|A0A2K5HEJ8|A0A2K5HEJ8_COLAP
OG0000025	sp|Q86UQ0|ZN589_HUMAN	tr|A0A2K5KCP1|A0A2K5KCP1_COLAP
OG0000025	sp|Q09FC8|ZN415_HUMAN	tr|A0A2K5H9V4|A0A2K5H9V4_COLAP, tr|A0A2K5KBJ7|A0A2K5KBJ7_COLAP, tr|A0A2K5JPH0|A0A2K5JPH0_COLAP, tr|A0A2K5JBY9|A0A2K5JBY9_COLAP, tr|A0A2K5JXP5|A0A2K5JXP5_COLAP, tr|A0A2K5IFK6|A0A2K5IFK6_COLAP, tr|A0A2K5K3K9|A0A2K5K3K9_COLAP, tr|A0A2K5HKY7|A0A2K5HKY7_COLAP, tr|A0A2K5IXY7|A0A2K5IXY7_COLAP, tr|A0A2K5IKD0|A0A2K5IKD0_COLAP, tr|A0A2K5I322|A0A2K5I322_COLAP, tr|A0A2K5JNW0|A0A2K5JNW0_COLAP, tr|A0A2K5J3V9|A0A2K5J3V9_COLAP, tr|A0A2K5HXI5|A0A2K5HXI5_COLAP, tr|A0A2K5HMK5|A0A2K5HMK5_COLAP, tr|A0A2K5KBU3|A0A2K5KBU3_COLAP, tr|A0A2K5JPT3|A0A2K5JPT3_COLAP
OG0000026	sp|A0A0C4DH33|HV124_HUMAN, sp|A0A0G2JMI3|HV692_HUMAN	tr|A0A2K5JIF9|A0A2K5JIF9_COLAP
OG0000026	tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, sp|P01743|HV146_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P23083|HV102_HUMAN, sp|P0DP01|HV108_HUMAN, sp|A0A0C4DH29|HV103_HUMAN, sp|A0A0B4J1V7|HV781_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, sp|P0DTW3|HV384_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN, sp|P01742|HV169_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0A0MS14|HV145_HUMAN	tr|A0A2K5JHG7|A0A2K5JHG7_COLAP
OG0000028	sp|P48668|K2C6C_HUMAN	tr|A0A2K5IVH9|A0A2K5IVH9_COLAP, tr|A0A2K5I572|A0A2K5I572_COLAP, tr|A0A2K5JR92|A0A2K5JR92_COLAP
OG0000028	sp|P12035|K2C3_HUMAN	tr|A0A2K5IBT7|A0A2K5IBT7_COLAP
OG0000028	sp|Q01546|K22O_HUMAN	tr|A0A2K5HS00|A0A2K5HS00_COLAP
OG0000028	sp|P04264|K2C1_HUMAN	tr|A0A2K5JBW5|A0A2K5JBW5_COLAP
OG0000028	sp|P35908|K22E_HUMAN	tr|A0A2K5K4C8|A0A2K5K4C8_COLAP
OG0000028	sp|P13647|K2C5_HUMAN	tr|A0A2K5ITF7|A0A2K5ITF7_COLAP
OG0000028	sp|O95678|K2C75_HUMAN	tr|A0A2K5JLV4|A0A2K5JLV4_COLAP
OG0000029	sp|Q15375|EPHA7_HUMAN	tr|A0A2K5K3N3|A0A2K5K3N3_COLAP
OG0000029	sp|P54756|EPHA5_HUMAN	tr|A0A2K5I5L6|A0A2K5I5L6_COLAP
OG0000029	sp|P29320|EPHA3_HUMAN	tr|A0A2K5I3J4|A0A2K5I3J4_COLAP
OG0000029	sp|Q9UF33|EPHA6_HUMAN	tr|A0A2K5IQU9|A0A2K5IQU9_COLAP
OG0000029	sp|P29322|EPHA8_HUMAN	tr|A0A2K5JX02|A0A2K5JX02_COLAP
OG0000029	sp|P54753|EPHB3_HUMAN	tr|A0A2K5IAW4|A0A2K5IAW4_COLAP
OG0000029	sp|P54762|EPHB1_HUMAN	tr|A0A2K5IE78|A0A2K5IE78_COLAP
OG0000029	sp|P29323|EPHB2_HUMAN	tr|A0A2K5JS30|A0A2K5JS30_COLAP
OG0000029	sp|P54764|EPHA4_HUMAN	tr|A0A2K5JZD4|A0A2K5JZD4_COLAP
