Orthogroup	Homo_sapiens	Vulpes_vulpes
OG0000004	sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|P12018|VPREB_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|Q99603|TRGV9_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P01721|LV657_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|P01709|LV208_HUMAN, sp|P01706|LV211_HUMAN, sp|P01705|LV223_HUMAN, sp|P01704|LV214_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01701|LV151_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN	tr|A0A3Q7QZ73|A0A3Q7QZ73_VULVU
OG0000005	sp|Q9H343|O51I1_HUMAN	tr|A0A3Q7REU6|A0A3Q7REU6_VULVU
OG0000005	sp|Q9H344|O51I2_HUMAN	tr|A0A3Q7RFZ2|A0A3Q7RFZ2_VULVU
OG0000005	sp|A6NGY5|O51F1_HUMAN, sp|Q8NH61|O51F2_HUMAN	tr|A0A3Q7RG22|A0A3Q7RG22_VULVU
OG0000005	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A3Q7UFI7|A0A3Q7UFI7_VULVU, tr|A0A3Q7ST34|A0A3Q7ST34_VULVU, tr|A0A3Q7T9X8|A0A3Q7T9X8_VULVU
OG0000005	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A3Q7RH62|A0A3Q7RH62_VULVU
OG0000005	sp|Q8NGK0|O51G2_HUMAN	tr|A0A3Q7RH96|A0A3Q7RH96_VULVU
OG0000005	sp|Q8NH59|O51Q1_HUMAN	tr|A0A3Q7SRQ9|A0A3Q7SRQ9_VULVU, tr|A0A3Q7SRR4|A0A3Q7SRR4_VULVU, tr|A0A3Q7RG10|A0A3Q7RG10_VULVU, tr|A0A3Q7RED9|A0A3Q7RED9_VULVU, tr|A0A3Q7RED4|A0A3Q7RED4_VULVU
OG0000005	sp|Q8NH63|O51H1_HUMAN	tr|A0A3Q7RH72|A0A3Q7RH72_VULVU, tr|A0A3Q7RR06|A0A3Q7RR06_VULVU, tr|A0A3Q7SR02|A0A3Q7SR02_VULVU, tr|A0A3Q7RR01|A0A3Q7RR01_VULVU, tr|A0A3Q7RFQ9|A0A3Q7RFQ9_VULVU
OG0000006	tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, sp|P01762|HV311_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01780|HV307_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|P01764|HV323_HUMAN, sp|P0DTE1|HV383_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|A0JD37|TRDV3_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|P01766|HV313_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P01767|HV353_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN	tr|A0A3Q7RHI1|A0A3Q7RHI1_VULVU
OG0000008	sp|Q8NGH9|O52E4_HUMAN	tr|A0A3Q7SM03|A0A3Q7SM03_VULVU, tr|A0A3Q7RAM6|A0A3Q7RAM6_VULVU
OG0000008	sp|Q8NH55|O52E5_HUMAN	tr|A0A3Q7RCG8|A0A3Q7RCG8_VULVU
OG0000008	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A3Q7RH91|A0A3Q7RH91_VULVU, tr|A0A3Q7RH86|A0A3Q7RH86_VULVU, tr|A0A3Q7SR27|A0A3Q7SR27_VULVU
OG0000008	sp|Q8NH60|O52J3_HUMAN	tr|A0A3Q7RI31|A0A3Q7RI31_VULVU, tr|A0A3Q7SQ35|A0A3Q7SQ35_VULVU, tr|A0A3Q7REV5|A0A3Q7REV5_VULVU, tr|A0A3Q7UFW1|A0A3Q7UFW1_VULVU, tr|A0A3Q7RL30|A0A3Q7RL30_VULVU, tr|A0A3Q7RR12|A0A3Q7RR12_VULVU, tr|A0A3Q7RQZ0|A0A3Q7RQZ0_VULVU, tr|A0A3Q7RFS0|A0A3Q7RFS0_VULVU, tr|A0A3Q7SR23|A0A3Q7SR23_VULVU, tr|A0A3Q7RR17|A0A3Q7RR17_VULVU, tr|A0A3Q7RG25|A0A3Q7RG25_VULVU, tr|A0A3Q7RG33|A0A3Q7RG33_VULVU, tr|A0A3Q7RR21|A0A3Q7RR21_VULVU, tr|A0A3Q7RG38|A0A3Q7RG38_VULVU
OG0000008	sp|Q8NGJ3|O52E1_HUMAN	tr|A0A3Q7SR31|A0A3Q7SR31_VULVU, tr|A0A3Q7RHS9|A0A3Q7RHS9_VULVU
OG0000011	sp|Q8NH43|OR4L1_HUMAN	tr|A0A3Q7R576|A0A3Q7R576_VULVU
OG0000011	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A3Q7RI06|A0A3Q7RI06_VULVU, tr|A0A3Q7TE00|A0A3Q7TE00_VULVU
OG0000011	sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN	tr|A0A3Q7S590|A0A3Q7S590_VULVU, tr|A0A3Q7T2E5|A0A3Q7T2E5_VULVU, tr|A0A3Q7TG13|A0A3Q7TG13_VULVU, tr|A0A3Q7SFT8|A0A3Q7SFT8_VULVU, tr|A0A3Q7SDA4|A0A3Q7SDA4_VULVU, tr|A0A3Q7TFZ0|A0A3Q7TFZ0_VULVU, tr|A0A3Q7T2E9|A0A3Q7T2E9_VULVU, tr|A0A3Q7SDA8|A0A3Q7SDA8_VULVU, tr|A0A3Q7SFU4|A0A3Q7SFU4_VULVU, tr|A0A3Q7TFZ5|A0A3Q7TFZ5_VULVU, tr|A0A3Q7T2D0|A0A3Q7T2D0_VULVU, tr|A0A3Q7S576|A0A3Q7S576_VULVU
OG0000011	sp|Q8NH05|OR4Q3_HUMAN	tr|A0A3Q7SSF5|A0A3Q7SSF5_VULVU, tr|A0A3Q7S0H3|A0A3Q7S0H3_VULVU, tr|A0A3Q7RQL4|A0A3Q7RQL4_VULVU
OG0000011	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A3Q7SD78|A0A3Q7SD78_VULVU
OG0000011	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A3Q7TFY4|A0A3Q7TFY4_VULVU
OG0000011	sp|Q8NH41|OR4KF_HUMAN	tr|A0A3Q7SFR6|A0A3Q7SFR6_VULVU
OG0000011	sp|Q8NGD3|OR4K5_HUMAN	tr|A0A3Q7S571|A0A3Q7S571_VULVU, tr|A0A3Q7SFS1|A0A3Q7SFS1_VULVU
OG0000012	sp|Q8NGG6|OR8BC_HUMAN	tr|A0A3Q7T3Q2|A0A3Q7T3Q2_VULVU
OG0000012	sp|Q15620|OR8B8_HUMAN	tr|A0A3Q7SH36|A0A3Q7SH36_VULVU
OG0000012	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A3Q7S686|A0A3Q7S686_VULVU
OG0000012	sp|Q8WZ84|OR8D1_HUMAN	tr|A0A3Q7S677|A0A3Q7S677_VULVU
OG0000012	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A3Q7SEK0|A0A3Q7SEK0_VULVU
OG0000012	sp|Q96RC9|OR8B4_HUMAN	tr|A0A3Q7T3S9|A0A3Q7T3S9_VULVU, tr|A0A3Q7S668|A0A3Q7S668_VULVU, tr|A0A3Q7THD5|A0A3Q7THD5_VULVU, tr|A0A3Q7SH08|A0A3Q7SH08_VULVU, tr|A0A3Q7SH40|A0A3Q7SH40_VULVU, tr|A0A3Q7THH2|A0A3Q7THH2_VULVU, tr|A0A3Q7SH44|A0A3Q7SH44_VULVU, tr|A0A3Q7THH7|A0A3Q7THH7_VULVU, tr|A0A3Q7SEJ1|A0A3Q7SEJ1_VULVU, tr|A0A3Q7T3R2|A0A3Q7T3R2_VULVU, tr|A0A3Q7S673|A0A3Q7S673_VULVU, tr|A0A3Q7SEI7|A0A3Q7SEI7_VULVU, tr|A0A3Q7T3Q5|A0A3Q7T3Q5_VULVU
OG0000013	sp|Q08379|GOGA2_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN	tr|A0A3Q7TIK4|A0A3Q7TIK4_VULVU
OG0000014	sp|Q9BZ81|MAGB5_HUMAN	tr|A0A3Q7SAV7|A0A3Q7SAV7_VULVU, tr|A0A3Q7SQ21|A0A3Q7SQ21_VULVU, tr|A0A3Q7SPU3|A0A3Q7SPU3_VULVU, tr|A0A3Q7R421|A0A3Q7R421_VULVU, tr|A0A3Q7SDF6|A0A3Q7SDF6_VULVU, tr|A0A3Q7SAV2|A0A3Q7SAV2_VULVU, tr|A0A3Q7RJ52|A0A3Q7RJ52_VULVU, tr|A0A3Q7S3H3|A0A3Q7S3H3_VULVU, tr|A0A3Q7S3G8|A0A3Q7S3G8_VULVU, tr|A0A3Q7SDH0|A0A3Q7SDH0_VULVU, tr|A0A3Q7TD36|A0A3Q7TD36_VULVU, tr|A0A3Q7SDE8|A0A3Q7SDE8_VULVU, tr|A0A3Q7SPC3|A0A3Q7SPC3_VULVU, tr|A0A3Q7THJ6|A0A3Q7THJ6_VULVU, tr|A0A3Q7THK1|A0A3Q7THK1_VULVU, tr|A0A3Q7THF0|A0A3Q7THF0_VULVU, tr|A0A3Q7R879|A0A3Q7R879_VULVU, tr|A0A3Q7R877|A0A3Q7R877_VULVU, tr|A0A3Q7RGQ2|A0A3Q7RGQ2_VULVU, tr|A0A3Q7R897|A0A3Q7R897_VULVU, tr|A0A3Q7SIL1|A0A3Q7SIL1_VULVU, tr|A0A3Q7RHI6|A0A3Q7RHI6_VULVU, tr|A0A3Q7RIT0|A0A3Q7RIT0_VULVU, tr|A0A3Q7RH09|A0A3Q7RH09_VULVU, tr|A0A3Q7RGL1|A0A3Q7RGL1_VULVU, tr|A0A3Q7RI11|A0A3Q7RI11_VULVU, tr|A0A3Q7SSB1|A0A3Q7SSB1_VULVU, tr|A0A3Q7SSE1|A0A3Q7SSE1_VULVU, tr|A0A3Q7RRU1|A0A3Q7RRU1_VULVU
OG0000016	sp|Q3KQV3|ZN792_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|Q6PK81|ZN773_HUMAN, sp|Q96HQ0|ZN419_HUMAN, sp|Q68DY9|ZN772_HUMAN	tr|A0A3Q7SSH5|A0A3Q7SSH5_VULVU
OG0000019	sp|P78395|PRAME_HUMAN, sp|A3QJZ6|PRA22_HUMAN, sp|Q5VWM3|PRA18_HUMAN, sp|Q5SWL8|PRA19_HUMAN, sp|O60809|PRA10_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN, sp|Q5VTA0|PRA17_HUMAN, sp|Q5SWL7|PRA14_HUMAN, sp|Q5VWM6|PRA13_HUMAN, sp|O95521|PRAM1_HUMAN, sp|O60811|PRAM2_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|Q5VXH5|PRAM7_HUMAN, sp|O95522|PRA12_HUMAN, sp|Q5VT98|PRA20_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|O60810|PRAM4_HUMAN, sp|O60813|PRA11_HUMAN, sp|H0Y7S4|PRA26_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|A3QJZ7|PRA27_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN	tr|A0A3Q7SRK6|A0A3Q7SRK6_VULVU
OG0000020	sp|P19013|K2C4_HUMAN	tr|A0A3Q7TL30|A0A3Q7TL30_VULVU
OG0000020	sp|Q3SY84|K2C71_HUMAN	tr|A0A3Q7S8H3|A0A3Q7S8H3_VULVU
OG0000020	sp|Q86Y46|K2C73_HUMAN	tr|A0A3Q7SHL3|A0A3Q7SHL3_VULVU
OG0000020	sp|Q7RTS7|K2C74_HUMAN	tr|A0A3Q7T6C0|A0A3Q7T6C0_VULVU
OG0000020	sp|Q14CN4|K2C72_HUMAN	tr|A0A3Q7TMD6|A0A3Q7TMD6_VULVU
OG0000020	sp|Q7Z794|K2C1B_HUMAN	tr|A0A3Q7T6C3|A0A3Q7T6C3_VULVU, tr|A0A3Q7SHL9|A0A3Q7SHL9_VULVU, tr|A0A3Q7S8I1|A0A3Q7S8I1_VULVU, tr|A0A3Q7T779|A0A3Q7T779_VULVU, tr|A0A3Q7SK76|A0A3Q7SK76_VULVU, tr|A0A3Q7S8H7|A0A3Q7S8H7_VULVU, tr|A0A3Q7TL25|A0A3Q7TL25_VULVU, tr|A0A3Q7T705|A0A3Q7T705_VULVU
OG0000020	sp|P08729|K2C7_HUMAN	tr|A0A3Q7T6B8|A0A3Q7T6B8_VULVU, tr|A0A3Q7SK60|A0A3Q7SK60_VULVU, tr|A0A3Q7S8H0|A0A3Q7S8H0_VULVU, tr|A0A3Q7SHK8|A0A3Q7SHK8_VULVU, tr|A0A3Q7TL15|A0A3Q7TL15_VULVU, tr|A0A3Q7SL26|A0A3Q7SL26_VULVU
OG0000022	sp|Q8NGS7|O13C8_HUMAN	tr|A0A3Q7RPD7|A0A3Q7RPD7_VULVU
OG0000022	sp|Q8NGS6|O13C3_HUMAN	tr|A0A3Q7SPQ1|A0A3Q7SPQ1_VULVU
OG0000022	sp|Q8NGS5|O13C4_HUMAN	tr|A0A3Q7RFM0|A0A3Q7RFM0_VULVU
OG0000022	sp|Q8NGV5|O13D1_HUMAN	tr|A0A3Q7RE47|A0A3Q7RE47_VULVU, tr|A0A3Q7RE42|A0A3Q7RE42_VULVU, tr|A0A3Q7REL8|A0A3Q7REL8_VULVU, tr|A0A3Q7U6G8|A0A3Q7U6G8_VULVU, tr|A0A3Q7QXD9|A0A3Q7QXD9_VULVU, tr|A0A3Q7R058|A0A3Q7R058_VULVU, tr|A0A3Q7SPD5|A0A3Q7SPD5_VULVU, tr|A0A3Q7SDK1|A0A3Q7SDK1_VULVU, tr|A0A3Q7TTN9|A0A3Q7TTN9_VULVU
OG0000023	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A3Q7T942|A0A3Q7T942_VULVU
OG0000023	sp|Q8N141|ZFP82_HUMAN	tr|A0A3Q7TL97|A0A3Q7TL97_VULVU
OG0000023	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A3Q7TLB0|A0A3Q7TLB0_VULVU
OG0000023	sp|Q86YE8|ZN573_HUMAN, sp|Q96SK3|ZN607_HUMAN	tr|A0A3Q7TXS0|A0A3Q7TXS0_VULVU
OG0000023	sp|P17039|ZNF30_HUMAN	tr|A0A3Q7TLJ1|A0A3Q7TLJ1_VULVU
OG0000023	sp|Q7Z3V5|ZN571_HUMAN	tr|A0A3Q7T901|A0A3Q7T901_VULVU
OG0000023	sp|Q8NA42|ZN383_HUMAN	tr|A0A3Q7SSM2|A0A3Q7SSM2_VULVU
OG0000023	sp|Q969W8|ZN566_HUMAN, sp|Q96NG8|ZN582_HUMAN	tr|A0A3Q7RG64|A0A3Q7RG64_VULVU
OG0000026	sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUX0|SPD10_HUMAN	tr|A0A3Q7R7D7|A0A3Q7R7D7_VULVU
OG0000031	sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN, sp|O76000|OR2B3_HUMAN	tr|A0A3Q7RHC1|A0A3Q7RHC1_VULVU
OG0000033	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A3Q7RFS1|A0A3Q7RFS1_VULVU
OG0000033	sp|Q8NH73|OR4S2_HUMAN	tr|A0A3Q7RH05|A0A3Q7RH05_VULVU
OG0000033	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A3Q7RG79|A0A3Q7RG79_VULVU, tr|A0A3Q7SSC4|A0A3Q7SSC4_VULVU, tr|A0A3Q7SSE7|A0A3Q7SSE7_VULVU
OG0000034	sp|Q8NH09|OR8S1_HUMAN	tr|A0A3Q7SIR2|A0A3Q7SIR2_VULVU
