Orthogroup	Homo_sapiens	Dipodomys_ordii
OG0000004	sp|Q8N141|ZFP82_HUMAN, sp|Q9HCL3|ZFP14_HUMAN	tr|A0A1S3G066|A0A1S3G066_DIPOR
OG0000004	sp|P52738|ZN140_HUMAN	tr|A0A1S3FPH8|A0A1S3FPH8_DIPOR
OG0000004	sp|Q96ND8|ZN583_HUMAN	tr|A0A1S3GPV4|A0A1S3GPV4_DIPOR
OG0000004	sp|Q6ECI4|ZN470_HUMAN, sp|Q9BX82|ZN471_HUMAN	tr|A0A1S3GMG5|A0A1S3GMG5_DIPOR
OG0000005	sp|Q8NGL6|O4A15_HUMAN	tr|A0A1S3GSE8|A0A1S3GSE8_DIPOR
OG0000005	sp|Q8NH37|OR4C3_HUMAN	tr|A0A1S3G9B4|A0A1S3G9B4_DIPOR, tr|A0A1S3G994|A0A1S3G994_DIPOR
OG0000005	sp|Q96R67|OR4CC_HUMAN	tr|A0A1S3GUW5|A0A1S3GUW5_DIPOR, tr|A0A1S3GSS6|A0A1S3GSS6_DIPOR, tr|A0A1S3GUV0|A0A1S3GUV0_DIPOR, tr|A0A1S3GU05|A0A1S3GU05_DIPOR, tr|A0A1S3GSS1|A0A1S3GSS1_DIPOR, tr|A0A1S3GS76|A0A1S3GS76_DIPOR
OG0000005	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A1S3GTZ6|A0A1S3GTZ6_DIPOR, tr|A0A1S3GTE3|A0A1S3GTE3_DIPOR, tr|A0A1S3GT51|A0A1S3GT51_DIPOR, tr|A0A1S3GSF3|A0A1S3GSF3_DIPOR
OG0000005	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A1S3GTZ0|A0A1S3GTZ0_DIPOR
OG0000005	sp|Q8NH72|OR4C6_HUMAN	tr|A0A1S3GUT5|A0A1S3GUT5_DIPOR
OG0000005	sp|A6NMZ5|O4C45_HUMAN	tr|A0A1S3GUW0|A0A1S3GUW0_DIPOR, tr|A0A1S3GSU1|A0A1S3GSU1_DIPOR, tr|A0A1S3GSH3|A0A1S3GSH3_DIPOR, tr|A0A1S3G9S5|A0A1S3G9S5_DIPOR, tr|A0A1S3GU20|A0A1S3GU20_DIPOR, tr|A0A1S3GS90|A0A1S3GS90_DIPOR, tr|A0A1S3GTX0|A0A1S3GTX0_DIPOR, tr|A0A1S3GSP7|A0A1S3GSP7_DIPOR, tr|A0A1S3GU15|A0A1S3GU15_DIPOR, tr|A0A1S3GB07|A0A1S3GB07_DIPOR
OG0000006	sp|P12018|VPREB_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|P01701|LV151_HUMAN, sp|P01700|LV147_HUMAN, sp|P01699|LV144_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|P01703|LV140_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01721|LV657_HUMAN, sp|P01715|LV301_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|P04211|LV743_HUMAN	tr|A0A1S3GDW3|A0A1S3GDW3_DIPOR
OG0000007	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A1S3EYA7|A0A1S3EYA7_DIPOR, tr|A0A1S3F0V7|A0A1S3F0V7_DIPOR
OG0000007	sp|Q9H344|O51I2_HUMAN	tr|A0A1S3GS07|A0A1S3GS07_DIPOR
OG0000007	sp|Q9H343|O51I1_HUMAN	tr|A0A1S3GQC8|A0A1S3GQC8_DIPOR, tr|A0A1S3GQH3|A0A1S3GQH3_DIPOR, tr|A0A1S3GQR1|A0A1S3GQR1_DIPOR, tr|A0A1S3GQA2|A0A1S3GQA2_DIPOR
OG0000007	sp|Q9H342|O51J1_HUMAN	tr|A0A1S3F035|A0A1S3F035_DIPOR, tr|A0A1S3EZL4|A0A1S3EZL4_DIPOR, tr|A0A1S3GQI3|A0A1S3GQI3_DIPOR
OG0000007	sp|Q8NGK0|O51G2_HUMAN	tr|A0A1S3EZW4|A0A1S3EZW4_DIPOR
OG0000007	sp|Q8NGK1|O51G1_HUMAN	tr|A0A1S3F0U7|A0A1S3F0U7_DIPOR, tr|A0A1S3F001|A0A1S3F001_DIPOR, tr|A0A1S3F000|A0A1S3F000_DIPOR
OG0000007	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A1S3EY99|A0A1S3EY99_DIPOR
OG0000007	sp|Q8NH63|O51H1_HUMAN	tr|A0A1S3EZL9|A0A1S3EZL9_DIPOR, tr|A0A1S3EYB7|A0A1S3EYB7_DIPOR, tr|A0A1S3EZL7|A0A1S3EZL7_DIPOR, tr|A0A1S3EYN3|A0A1S3EYN3_DIPOR, tr|A0A1S3EZQ5|A0A1S3EZQ5_DIPOR
OG0000007	sp|A6NGY5|O51F1_HUMAN, sp|Q8NH61|O51F2_HUMAN	tr|A0A1S3EYA4|A0A1S3EYA4_DIPOR
OG0000008	sp|P0DP04|HV43D_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|P01763|HV348_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01766|HV313_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01780|HV307_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01772|HV333_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|P01764|HV323_HUMAN, sp|P01767|HV353_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|A0JD37|TRDV3_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN	tr|A0A1S3GTT2|A0A1S3GTT2_DIPOR, tr|A0A1S3GVW3|A0A1S3GVW3_DIPOR
OG0000012	sp|A0A584|TVBK2_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN	tr|A0A1S3FLY0|A0A1S3FLY0_DIPOR
OG0000012	sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A577|TVB41_HUMAN, sp|A0A589|TVB43_HUMAN, sp|A0A539|TVB42_HUMAN, sp|A0A576|TVB31_HUMAN	tr|A0A1S3FKC2|A0A1S3FKC2_DIPOR
OG0000014	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A1S3GCQ6|A0A1S3GCQ6_DIPOR, tr|A0A1S3GCP4|A0A1S3GCP4_DIPOR, tr|A0A1S3GCP9|A0A1S3GCP9_DIPOR, tr|A0A1S3GF56|A0A1S3GF56_DIPOR
OG0000014	sp|Q8N628|OR2C3_HUMAN	tr|A0A1S3F2P0|A0A1S3F2P0_DIPOR, tr|A0A1S3F5A1|A0A1S3F5A1_DIPOR, tr|A0A1S3GD08|A0A1S3GD08_DIPOR, tr|A0A1S3GEM7|A0A1S3GEM7_DIPOR, tr|A0A1S3GCS8|A0A1S3GCS8_DIPOR, tr|A0A1S3GX67|A0A1S3GX67_DIPOR, tr|A0A1S3GFJ5|A0A1S3GFJ5_DIPOR, tr|A0A1S3GED9|A0A1S3GED9_DIPOR, tr|A0A1S3GD41|A0A1S3GD41_DIPOR, tr|A0A1S3F407|A0A1S3F407_DIPOR, tr|A0A1S3F2T8|A0A1S3F2T8_DIPOR, tr|A0A1S3F4V3|A0A1S3F4V3_DIPOR, tr|A0A1S3GD03|A0A1S3GD03_DIPOR, tr|A0A1S3F4C5|A0A1S3F4C5_DIPOR, tr|A0A1S3GCP6|A0A1S3GCP6_DIPOR, tr|A0A1S3GCM6|A0A1S3GCM6_DIPOR, tr|A0A1S3GD04|A0A1S3GD04_DIPOR, tr|A0A1S3GVN7|A0A1S3GVN7_DIPOR, tr|A0A1S3GF33|A0A1S3GF33_DIPOR, tr|A0A1S3GCQ1|A0A1S3GCQ1_DIPOR, tr|A0A1S3GD60|A0A1S3GD60_DIPOR, tr|A0A1S3GD23|A0A1S3GD23_DIPOR, tr|A0A1S3GD14|A0A1S3GD14_DIPOR, tr|A0A1S3GF42|A0A1S3GF42_DIPOR, tr|A0A1S3GDG7|A0A1S3GDG7_DIPOR, tr|A0A1S3GDH2|A0A1S3GDH2_DIPOR, tr|A0A1S3F2U9|A0A1S3F2U9_DIPOR, tr|A0A1S3F513|A0A1S3F513_DIPOR
OG0000015	sp|Q3KQV3|ZN792_HUMAN	tr|A0A1S3FYI7|A0A1S3FYI7_DIPOR
OG0000015	sp|P52741|ZN134_HUMAN	tr|A0A1S3GPP9|A0A1S3GPP9_DIPOR
OG0000015	sp|Q8IVP9|ZN547_HUMAN, sp|O43361|ZN749_HUMAN, sp|P17021|ZNF17_HUMAN, sp|Q8NEK5|ZN548_HUMAN	tr|A0A1S3GMS6|A0A1S3GMS6_DIPOR
OG0000015	sp|Q9HCX3|ZN304_HUMAN	tr|A0A1S3GMA3|A0A1S3GMA3_DIPOR
OG0000015	sp|Q13398|ZN211_HUMAN	tr|A0A1S3G370|A0A1S3G370_DIPOR
OG0000015	sp|Q9Y2P7|ZN256_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9NXT0|ZN586_HUMAN	tr|A0A1S3G5D7|A0A1S3G5D7_DIPOR
OG0000018	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A1S3F4A9|A0A1S3F4A9_DIPOR
OG0000018	sp|O76000|OR2B3_HUMAN	tr|A0A1S3F2V3|A0A1S3F2V3_DIPOR, tr|A0A1S3GD55|A0A1S3GD55_DIPOR, tr|A0A1S3GF60|A0A1S3GF60_DIPOR, tr|A0A1S3F4D0|A0A1S3F4D0_DIPOR, tr|A0A1S3F518|A0A1S3F518_DIPOR, tr|A0A1S3GD44|A0A1S3GD44_DIPOR, tr|A0A1S3GCN1|A0A1S3GCN1_DIPOR, tr|A0A1S3GE72|A0A1S3GE72_DIPOR, tr|A0A1S3GD37|A0A1S3GD37_DIPOR, tr|A0A1S3GED5|A0A1S3GED5_DIPOR, tr|A0A1S3GD38|A0A1S3GD38_DIPOR, tr|A0A1S3GDI8|A0A1S3GDI8_DIPOR, tr|A0A1S3GD71|A0A1S3GD71_DIPOR, tr|A0A1S3GF50|A0A1S3GF50_DIPOR, tr|A0A1S3GED0|A0A1S3GED0_DIPOR, tr|A0A1S3GD32|A0A1S3GD32_DIPOR, tr|A0A1S3GD54|A0A1S3GD54_DIPOR, tr|A0A1S3GDJ8|A0A1S3GDJ8_DIPOR, tr|A0A1S3GFL9|A0A1S3GFL9_DIPOR, tr|A0A1S3GDK3|A0A1S3GDK3_DIPOR, tr|A0A1S3GEV6|A0A1S3GEV6_DIPOR, tr|A0A1S3GEU4|A0A1S3GEU4_DIPOR, tr|A0A1S3GCN9|A0A1S3GCN9_DIPOR, tr|A0A1S3GFJ0|A0A1S3GFJ0_DIPOR, tr|A0A1S3GCY1|A0A1S3GCY1_DIPOR, tr|A0A1S3GFE4|A0A1S3GFE4_DIPOR, tr|A0A1S3GET9|A0A1S3GET9_DIPOR, tr|A0A1S3GEV0|A0A1S3GEV0_DIPOR
OG0000020	sp|Q5XKE5|K2C79_HUMAN	tr|A0A1S3GGB5|A0A1S3GGB5_DIPOR
OG0000020	sp|Q3SY84|K2C71_HUMAN	tr|A0A1S3GGA6|A0A1S3GGA6_DIPOR
OG0000020	sp|Q86Y46|K2C73_HUMAN	tr|A0A1S3GI51|A0A1S3GI51_DIPOR
OG0000020	sp|Q7RTS7|K2C74_HUMAN	tr|A0A1S3GGH3|A0A1S3GGH3_DIPOR
OG0000020	sp|Q14CN4|K2C72_HUMAN	tr|A0A1S3GI54|A0A1S3GI54_DIPOR
OG0000020	sp|P04264|K2C1_HUMAN	tr|A0A1S3GGC0|A0A1S3GGC0_DIPOR
OG0000020	sp|P35908|K22E_HUMAN	tr|A0A1S3GGI2|A0A1S3GGI2_DIPOR
OG0000020	sp|P12035|K2C3_HUMAN, sp|Q01546|K22O_HUMAN	tr|A0A1S3GGE6|A0A1S3GGE6_DIPOR
OG0000020	sp|P19013|K2C4_HUMAN	tr|A0A1S3GIS4|A0A1S3GIS4_DIPOR
OG0000020	sp|O95678|K2C75_HUMAN	tr|A0A1S3GGB0|A0A1S3GGB0_DIPOR
OG0000020	sp|P13647|K2C5_HUMAN	tr|A0A1S3GGQ0|A0A1S3GGQ0_DIPOR
OG0000020	sp|P04259|K2C6B_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P02538|K2C6A_HUMAN	tr|A0A1S3GI24|A0A1S3GI24_DIPOR, tr|A0A1S3GI46|A0A1S3GI46_DIPOR
OG0000020	sp|P08729|K2C7_HUMAN	tr|A0A1S3GI40|A0A1S3GI40_DIPOR, tr|A0A1S3GGZ4|A0A1S3GGZ4_DIPOR
OG0000021	sp|Q9HCZ1|ZN334_HUMAN	tr|A0A1S3ESY8|A0A1S3ESY8_DIPOR
OG0000021	sp|Q8N184|ZN567_HUMAN, sp|Q96SR6|ZN382_HUMAN, sp|B1APH4|ZN487_HUMAN, sp|Q06730|ZN33A_HUMAN, sp|Q06732|ZN33B_HUMAN	tr|A0A1S3GMK7|A0A1S3GMK7_DIPOR
OG0000021	sp|P17014|ZNF12_HUMAN, sp|Q9NYW8|RBAK_HUMAN	tr|A0A1S3FT35|A0A1S3FT35_DIPOR
OG0000022	sp|Q8WZ92|OR5P2_HUMAN	tr|A0A1S3G5U9|A0A1S3G5U9_DIPOR
OG0000022	sp|Q8WZ94|OR5P3_HUMAN	tr|A0A1S3G7Y6|A0A1S3G7Y6_DIPOR, tr|A0A1S3G840|A0A1S3G840_DIPOR, tr|A0A1S3G5U8|A0A1S3G5U8_DIPOR, tr|A0A1S3G7D9|A0A1S3G7D9_DIPOR, tr|A0A1S3G696|A0A1S3G696_DIPOR, tr|A0A1S3G7G8|A0A1S3G7G8_DIPOR, tr|A0A1S3G5U3|A0A1S3G5U3_DIPOR, tr|A0A1S3G640|A0A1S3G640_DIPOR, tr|A0A1S3G669|A0A1S3G669_DIPOR, tr|A0A1S3G850|A0A1S3G850_DIPOR, tr|A0A1S3G7E8|A0A1S3G7E8_DIPOR, tr|A0A1S3G6A8|A0A1S3G6A8_DIPOR, tr|A0A1S3G5S4|A0A1S3G5S4_DIPOR, tr|A0A1S3G845|A0A1S3G845_DIPOR, tr|A0A1S3G5V3|A0A1S3G5V3_DIPOR, tr|A0A1S3G7F8|A0A1S3G7F8_DIPOR, tr|A0A1S3G5P5|A0A1S3G5P5_DIPOR, tr|A0A1S3G5V4|A0A1S3G5V4_DIPOR, tr|A0A1S3G7F3|A0A1S3G7F3_DIPOR, tr|A0A1S3G5W4|A0A1S3G5W4_DIPOR, tr|A0A1S3G5W3|A0A1S3G5W3_DIPOR, tr|A0A1S3G6C2|A0A1S3G6C2_DIPOR, tr|A0A1S3G692|A0A1S3G692_DIPOR, tr|A0A1S3G5P8|A0A1S3G5P8_DIPOR, tr|A0A1S3G5X7|A0A1S3G5X7_DIPOR, tr|A0A1S3G7I3|A0A1S3G7I3_DIPOR, tr|A0A1S3G620|A0A1S3G620_DIPOR
OG0000024	sp|Q8NGS3|OR1J1_HUMAN	tr|A0A1S3G9P9|A0A1S3G9P9_DIPOR
OG0000024	sp|Q8NGS1|OR1J4_HUMAN	tr|A0A1S3G9S3|A0A1S3G9S3_DIPOR
OG0000024	sp|Q8NGS2|OR1J2_HUMAN	tr|A0A1S3GA61|A0A1S3GA61_DIPOR, tr|A0A1S3GD76|A0A1S3GD76_DIPOR, tr|A0A1S3FJK7|A0A1S3FJK7_DIPOR, tr|A0A1S3FKF2|A0A1S3FKF2_DIPOR, tr|A0A1S3GDT6|A0A1S3GDT6_DIPOR, tr|A0A1S3ETP4|A0A1S3ETP4_DIPOR, tr|A0A1S3ETD2|A0A1S3ETD2_DIPOR, tr|A0A1S3GC38|A0A1S3GC38_DIPOR, tr|A0A1S3GC17|A0A1S3GC17_DIPOR, tr|A0A1S3FLB5|A0A1S3FLB5_DIPOR, tr|A0A1S3FAD8|A0A1S3FAD8_DIPOR, tr|A0A1S3GC01|A0A1S3GC01_DIPOR, tr|A0A1S3F684|A0A1S3F684_DIPOR, tr|A0A1S3F7G9|A0A1S3F7G9_DIPOR, tr|A0A1S3F5B1|A0A1S3F5B1_DIPOR, tr|A0A1S3F6E4|A0A1S3F6E4_DIPOR, tr|A0A1S3F5A3|A0A1S3F5A3_DIPOR, tr|A0A1S3EW84|A0A1S3EW84_DIPOR, tr|A0A1S3F5F9|A0A1S3F5F9_DIPOR
OG0000025	sp|Q9UGF5|O14J1_HUMAN	tr|A0A1S3GDI2|A0A1S3GDI2_DIPOR
OG0000025	sp|Q8NHC6|O14L1_HUMAN	tr|A0A1S3F2U5|A0A1S3F2U5_DIPOR
OG0000025	sp|Q8NHC5|O14AG_HUMAN	tr|A0A1S3F3X9|A0A1S3F3X9_DIPOR
OG0000025	sp|Q96R54|O14A2_HUMAN	tr|A0A1S3F4B0|A0A1S3F4B0_DIPOR
OG0000025	sp|Q8NGZ2|O14K1_HUMAN	tr|A0A1S3F3Y8|A0A1S3F3Y8_DIPOR, tr|A0A1S3F2N4|A0A1S3F2N4_DIPOR, tr|A0A1S3F2R6|A0A1S3F2R6_DIPOR, tr|A0A1S3F2M8|A0A1S3F2M8_DIPOR, tr|A0A1S3F4Z2|A0A1S3F4Z2_DIPOR, tr|A0A1S3F2R8|A0A1S3F2R8_DIPOR, tr|A0A1S3F2T1|A0A1S3F2T1_DIPOR, tr|A0A1S3F3A6|A0A1S3F3A6_DIPOR
OG0000025	sp|A6ND48|O14I1_HUMAN	tr|A0A1S3F3X4|A0A1S3F3X4_DIPOR, tr|A0A1S3GW40|A0A1S3GW40_DIPOR
OG0000027	sp|Q8NH19|O10AG_HUMAN	tr|A0A1S3G921|A0A1S3G921_DIPOR, tr|A0A1S3G6T3|A0A1S3G6T3_DIPOR, tr|A0A1S3G763|A0A1S3G763_DIPOR, tr|A0A1S3G990|A0A1S3G990_DIPOR, tr|A0A1S3G726|A0A1S3G726_DIPOR
