Orthogroup	Homo_sapiens	Tursiops_truncatus
OG0000003	sp|O60431|OR1I1_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|P47887|OR1E2_HUMAN, sp|P30953|OR1E1_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|Q9Y585|OR1A2_HUMAN, sp|Q9P1Q5|OR1A1_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q15612|OR1Q1_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|P47888|OR3A3_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN, sp|P58170|OR1D5_HUMAN, sp|P47884|OR1D4_HUMAN, sp|P34982|OR1D2_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|O14581|OR7AH_HUMAN, sp|O76100|OR7AA_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|O60412|OR7C2_HUMAN, sp|O76099|OR7C1_HUMAN	tr|A0A2U4CMN3|A0A2U4CMN3_TURTR
OG0000004	sp|Q8NGC2|OR4E2_HUMAN, sp|P0C645|OR4E1_HUMAN, sp|P0C623|OR4Q2_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|Q8NGE8|OR4D9_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|P58180|OR4D2_HUMAN, sp|Q8NGN0|OR4D5_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NGD4|OR4K1_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q8NH43|OR4L1_HUMAN, sp|Q8NGD2|OR4K2_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|Q8NH05|OR4Q3_HUMAN, sp|Q8NH80|O10D3_HUMAN, sp|Q8NGN7|O10D4_HUMAN, sp|Q8NGN2|O10S1_HUMAN, sp|Q8NH81|O10G6_HUMAN, sp|Q8NGC3|O10G2_HUMAN, sp|Q8NGC4|O10G3_HUMAN, sp|Q8NGN5|O10G8_HUMAN, sp|Q8NGN6|O10G7_HUMAN, sp|Q8NGN4|O10G9_HUMAN, sp|Q8NGN3|O10G4_HUMAN	tr|A0A2U4BBU7|A0A2U4BBU7_TURTR
OG0000005	sp|O95371|OR2C1_HUMAN	tr|A0A6J3PY57|A0A6J3PY57_TURTR
OG0000005	sp|A6NFC9|OR2W5_HUMAN	tr|A0A2U4C0R8|A0A2U4C0R8_TURTR
OG0000005	sp|Q9NQN1|OR2S1_HUMAN	tr|A0A6J3RKP2|A0A6J3RKP2_TURTR
OG0000005	sp|P0DN81|O13C7_HUMAN, sp|Q8NH95|O13C6_HUMAN	tr|A0A6J3RKF3|A0A6J3RKF3_TURTR
OG0000005	sp|Q8NGS6|O13C3_HUMAN, sp|Q8NGS5|O13C4_HUMAN	tr|A0A2U4CGI2|A0A2U4CGI2_TURTR
OG0000005	sp|O76000|OR2B3_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q5JQS5|OR2BB_HUMAN	tr|A0A2U4C4Q9|A0A2U4C4Q9_TURTR
OG0000007	sp|P01764|HV323_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01768|HV330_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, sp|P01780|HV307_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|P01766|HV313_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P0DTE2|HV511_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, sp|A0JD37|TRDV3_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN	tr|A0A6J3R162|A0A6J3R162_TURTR
OG0000008	sp|Q8TAW3|ZN671_HUMAN	tr|A0A2U4AU15|A0A2U4AU15_TURTR
OG0000008	sp|Q68DY9|ZN772_HUMAN	tr|A0A2U4AU34|A0A2U4AU34_TURTR
OG0000008	sp|Q9HCX3|ZN304_HUMAN	tr|A0A6J3QEQ1|A0A6J3QEQ1_TURTR, tr|A0A6J3QIG1|A0A6J3QIG1_TURTR
OG0000008	sp|P52740|ZN132_HUMAN	tr|A0A6J3QES8|A0A6J3QES8_TURTR, tr|A0A2U4AUL1|A0A2U4AUL1_TURTR
OG0000009	sp|Q8NH55|O52E5_HUMAN	tr|A0A2U4CE22|A0A2U4CE22_TURTR
OG0000009	sp|Q8NGH6|O52L2_HUMAN, sp|Q8NGH7|O52L1_HUMAN, sp|Q6IF63|O52W1_HUMAN, sp|Q8NGF1|O52R1_HUMAN, sp|Q9H2C5|O52A5_HUMAN, sp|Q9UKL2|O52A1_HUMAN, sp|A6NMU1|O52A4_HUMAN, sp|Q8NGK5|O52M1_HUMAN	tr|A0A2U4BPN6|A0A2U4BPN6_TURTR
OG0000009	sp|Q8NH57|O52P1_HUMAN, sp|Q8NGH5|O56A1_HUMAN, sp|P0C7T3|O56A5_HUMAN, sp|Q8NGH8|O56A4_HUMAN, sp|Q8NH54|O56A3_HUMAN, sp|Q8NGI1|O56B2_HUMAN, sp|Q8NGI3|O56B1_HUMAN, sp|Q8NH76|O56B4_HUMAN, sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK4|O52K1_HUMAN	tr|A0A6J3RSG2|A0A6J3RSG2_TURTR
OG0000010	sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN	tr|A0A6J3R887|A0A6J3R887_TURTR
OG0000010	sp|A6NM03|O2AG2_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|Q8NHB1|OR2V1_HUMAN	tr|A0A6J3R4K3|A0A6J3R4K3_TURTR
OG0000013	sp|Q92764|KRT35_HUMAN	tr|A0A6J3QQP3|A0A6J3QQP3_TURTR
OG0000013	sp|Q14532|K1H2_HUMAN	tr|A0A6J3QMG6|A0A6J3QMG6_TURTR
OG0000013	sp|O76013|KRT36_HUMAN	tr|A0A2U3V665|A0A2U3V665_TURTR
OG0000013	sp|P35900|K1C20_HUMAN, sp|P08727|K1C19_HUMAN, sp|P19012|K1C15_HUMAN, sp|P13646|K1C13_HUMAN, sp|P08779|K1C16_HUMAN, sp|P02533|K1C14_HUMAN, sp|Q04695|K1C17_HUMAN, sp|Q99456|K1C12_HUMAN, sp|P13645|K1C10_HUMAN, sp|Q7Z3Y8|K1C27_HUMAN, sp|Q7Z3Z0|K1C25_HUMAN, sp|Q7Z3Y7|K1C28_HUMAN, sp|Q7Z3Y9|K1C26_HUMAN, sp|Q9C075|K1C23_HUMAN, sp|P35527|K1C9_HUMAN, sp|Q2M2I5|K1C24_HUMAN	tr|A0A2U3VAG8|A0A2U3VAG8_TURTR
OG0000013	sp|Q6A162|K1C40_HUMAN, sp|Q6A163|K1C39_HUMAN, sp|O76015|KRT38_HUMAN, sp|O76014|KRT37_HUMAN, sp|O76009|KT33A_HUMAN, sp|Q14525|KT33B_HUMAN, sp|Q15323|K1H1_HUMAN, tr|A0A140TA62|A0A140TA62_HUMAN, sp|O76011|KRT34_HUMAN	tr|A0A6J3QMB6|A0A6J3QMB6_TURTR
OG0000014	sp|Q08379|GOGA2_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN	tr|A0A6J3RIX2|A0A6J3RIX2_TURTR
OG0000016	sp|Q8TAF7|ZN461_HUMAN	tr|A0A2U4BU51|A0A2U4BU51_TURTR
OG0000016	sp|Q969W8|ZN566_HUMAN	tr|A0A6J3QF65|A0A6J3QF65_TURTR
OG0000016	sp|Q8NA42|ZN383_HUMAN	tr|A0A2U4BUA5|A0A2U4BUA5_TURTR
OG0000016	sp|Q96NG8|ZN582_HUMAN	tr|A0A2U4ATX9|A0A2U4ATX9_TURTR
OG0000016	sp|Q8N141|ZFP82_HUMAN	tr|A0A2U3V7J4|A0A2U3V7J4_TURTR
OG0000016	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A6J3QCR3|A0A6J3QCR3_TURTR
OG0000016	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A2U4BU81|A0A2U4BU81_TURTR
OG0000016	sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN	tr|A0A2U4BTV6|A0A2U4BTV6_TURTR
OG0000016	sp|Q6PG37|ZN790_HUMAN	tr|A0A6J3QCQ5|A0A6J3QCQ5_TURTR, tr|A0A2U4BTY2|A0A2U4BTY2_TURTR
OG0000016	sp|Q8N9K5|ZN565_HUMAN	tr|A0A2U4BU95|A0A2U4BU95_TURTR
OG0000016	sp|A8MQ14|ZN850_HUMAN	tr|A0A6J3QEI6|A0A6J3QEI6_TURTR
OG0000017	sp|Q9BTM1|H2AJ_HUMAN	tr|A0A2U4BHY7|A0A2U4BHY7_TURTR
OG0000017	sp|Q16777|H2A2C_HUMAN	tr|A0A2U3V1H4|A0A2U3V1H4_TURTR
OG0000017	sp|Q8IUE6|H2A2B_HUMAN	tr|A0A2U3V1P2|A0A2U3V1P2_TURTR
OG0000017	sp|Q96QV6|H2A1A_HUMAN	tr|A0A6J3RYW4|A0A6J3RYW4_TURTR, tr|A0A2U3V8I1|A0A2U3V8I1_TURTR
OG0000017	sp|P20671|H2A1D_HUMAN	tr|A0A2U3V2V0|A0A2U3V2V0_TURTR
OG0000017	sp|P04908|H2A1B_HUMAN	tr|A0A2U4C5H0|A0A2U4C5H0_TURTR
OG0000017	sp|Q93077|H2A1C_HUMAN	tr|A0A2U3V217|A0A2U3V217_TURTR
OG0000017	sp|Q7L7L0|H2A3_HUMAN	tr|A0A2U3V9Z4|A0A2U3V9Z4_TURTR
OG0000017	sp|P0C0S8|H2A1_HUMAN	tr|A0A2U3VAE8|A0A2U3VAE8_TURTR, tr|A0A6J3RY33|A0A6J3RY33_TURTR, tr|A0A2U3V308|A0A2U3V308_TURTR
OG0000017	sp|Q6FI13|H2A2A_HUMAN	tr|A0A2U3V213|A0A2U3V213_TURTR
OG0000017	sp|Q99878|H2A1J_HUMAN	tr|A0A2U4C4T8|A0A2U4C4T8_TURTR
OG0000017	sp|Q96KK5|H2A1H_HUMAN	tr|A0A6J3RY59|A0A6J3RY59_TURTR
OG0000018	sp|Q9NYW7|TA2R1_HUMAN	tr|A0A2U4CMK0|A0A2U4CMK0_TURTR
OG0000018	sp|Q9NYW4|TA2R5_HUMAN	tr|A0A6J3RVL3|A0A6J3RVL3_TURTR
OG0000018	sp|P59533|T2R38_HUMAN	tr|A0A2U4B868|A0A2U4B868_TURTR
OG0000019	sp|Q8TCB6|O51E1_HUMAN	tr|A0A2U3V6W5|A0A2U3V6W5_TURTR
OG0000019	sp|Q8NGJ8|O51S1_HUMAN, sp|Q8NH63|O51H1_HUMAN, sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NGK0|O51G2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NH61|O51F2_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|A6NGY5|O51F1_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|Q9H343|O51I1_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q9H342|O51J1_HUMAN, sp|Q9H341|O51M1_HUMAN, sp|Q8NGK1|O51G1_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9H340|O51B6_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H2C8|O51V1_HUMAN, sp|Q8NGF3|O51D1_HUMAN, sp|Q9H255|O51E2_HUMAN	tr|A0A2U4CEV0|A0A2U4CEV0_TURTR
OG0000022	sp|Q9P275|UBP36_HUMAN	tr|A0A6J3QKM9|A0A6J3QKM9_TURTR
OG0000022	sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|Q9H9J4|UBP42_HUMAN	tr|A0A2U4AZ53|A0A2U4AZ53_TURTR
OG0000023	sp|Q8NGM8|OR6M1_HUMAN	tr|A0A2U4BWG1|A0A2U4BWG1_TURTR
OG0000023	sp|Q8NGC5|OR6J1_HUMAN, sp|Q8N148|OR6V1_HUMAN, sp|Q8NGT5|OR9A2_HUMAN, sp|Q8NGU1|OR9A1_HUMAN, sp|Q8NGU2|OR9A4_HUMAN, sp|Q8NH40|OR6S1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NH79|OR6X1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN, sp|Q8NGE2|O2AP1_HUMAN, sp|Q8NGE1|OR6C4_HUMAN, sp|Q96RD1|OR6C1_HUMAN, sp|Q9NZP0|OR6C3_HUMAN, sp|A6NL08|O6C75_HUMAN, sp|A6NCV1|O6C74_HUMAN, sp|Q9NZP2|OR6C2_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NF89|OR6C6_HUMAN	tr|A0A2U4CF79|A0A2U4CF79_TURTR
OG0000024	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|P60709|ACTB_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN	tr|A0A2U3V8K6|A0A2U3V8K6_TURTR
OG0000026	sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN	tr|A0A6J3R5I0|A0A6J3R5I0_TURTR
OG0000027	sp|Q8N257|H2B3B_HUMAN	tr|A0A2U4BI75|A0A2U4BI75_TURTR
