Orthogroup	Homo_sapiens	Heterocephalus_glaber
OG0000018	sp|Q3SY52|ZIK1_HUMAN	tr|G5B7M4|G5B7M4_HETGA
OG0000018	sp|Q9BWM5|ZN416_HUMAN	tr|G5B7M5|G5B7M5_HETGA
OG0000018	sp|Q7Z340|ZN551_HUMAN	tr|G5B7L9|G5B7L9_HETGA
OG0000018	sp|Q13106|ZN154_HUMAN	tr|G5B7M0|G5B7M0_HETGA
OG0000018	sp|Q9NXT0|ZN586_HUMAN	tr|G5AT80|G5AT80_HETGA
OG0000018	sp|Q9Y2P7|ZN256_HUMAN, sp|Q13398|ZN211_HUMAN	tr|G5B7M3|G5B7M3_HETGA
OG0000018	sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN	tr|G5C8I0|G5C8I0_HETGA
OG0000024	sp|O95678|K2C75_HUMAN	tr|G5B3P5|G5B3P5_HETGA
OG0000024	sp|P13647|K2C5_HUMAN	tr|G5ALS3|G5ALS3_HETGA
OG0000024	sp|P48668|K2C6C_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P02538|K2C6A_HUMAN	tr|G5ALS1|G5ALS1_HETGA
OG0000024	sp|Q14CN4|K2C72_HUMAN	tr|G5ALS6|G5ALS6_HETGA
OG0000024	sp|Q3SY84|K2C71_HUMAN	tr|G5ALS4|G5ALS4_HETGA
OG0000024	sp|Q86Y46|K2C73_HUMAN	tr|G5ALS7|G5ALS7_HETGA
OG0000024	sp|Q7RTS7|K2C74_HUMAN	tr|G5ALS5|G5ALS5_HETGA
OG0000024	sp|P19013|K2C4_HUMAN	tr|G5BJ36|G5BJ36_HETGA
OG0000024	sp|P04264|K2C1_HUMAN	tr|G5ALS8|G5ALS8_HETGA
OG0000024	sp|Q7Z794|K2C1B_HUMAN	tr|G5ALS9|G5ALS9_HETGA
OG0000024	sp|Q5XKE5|K2C79_HUMAN	tr|G5BJ37|G5BJ37_HETGA
OG0000024	sp|Q01546|K22O_HUMAN, sp|P12035|K2C3_HUMAN	tr|G5ALT2|G5ALT2_HETGA, tr|G5ALT1|G5ALT1_HETGA
OG0000025	sp|Q08379|GOGA2_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN	tr|G5ASF3|G5ASF3_HETGA
OG0000026	sp|Q8TBC4|UBA3_HUMAN	tr|G5AVQ6|G5AVQ6_HETGA, tr|G5C805|G5C805_HETGA, tr|G5C1E3|G5C1E3_HETGA, tr|G5B7Y4|G5B7Y4_HETGA, tr|G5BI31|G5BI31_HETGA, tr|G5BLE2|G5BLE2_HETGA, tr|G5B9X2|G5B9X2_HETGA, tr|G5ATP1|G5ATP1_HETGA, tr|G5BCZ2|G5BCZ2_HETGA, tr|G5AY79|G5AY79_HETGA, tr|G5BCL5|G5BCL5_HETGA, tr|G5ALT5|G5ALT5_HETGA, tr|G5BX74|G5BX74_HETGA, tr|G5B8R9|G5B8R9_HETGA, tr|G5B1B7|G5B1B7_HETGA, tr|G5B568|G5B568_HETGA, tr|G5C0U5|G5C0U5_HETGA, tr|G5AS27|G5AS27_HETGA, tr|G5BV61|G5BV61_HETGA, tr|G5CA87|G5CA87_HETGA, tr|G5BC78|G5BC78_HETGA, tr|G5B7E8|G5B7E8_HETGA, tr|G5AUL7|G5AUL7_HETGA, tr|G5C6J5|G5C6J5_HETGA, tr|G5C2C2|G5C2C2_HETGA, tr|G5C272|G5C272_HETGA, tr|G5BP52|G5BP52_HETGA, tr|G5BJU9|G5BJU9_HETGA, tr|G5C8M1|G5C8M1_HETGA
OG0000027	sp|Q8TBZ8|ZN564_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q9ULM2|ZN490_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|O60384|ZN861_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|P16415|ZN823_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q7L945|ZN627_HUMAN	tr|G5AJT4|G5AJT4_HETGA
OG0000028	sp|Q9H7R5|ZN665_HUMAN, sp|P0CJ79|ZN888_HUMAN, sp|Q6ZN06|ZN813_HUMAN, sp|Q7L2R6|ZN765_HUMAN, sp|Q86XN6|ZN761_HUMAN, sp|Q96IR2|ZN845_HUMAN, sp|Q8N4W9|ZN808_HUMAN, sp|Q8N823|ZN611_HUMAN, sp|Q8N8H1|ZN321_HUMAN, sp|Q6ZNG1|ZN600_HUMAN, sp|Q96N58|ZN578_HUMAN, sp|A6NHJ4|ZN860_HUMAN, sp|Q0VGE8|ZN816_HUMAN, tr|A0A7P0TAN4|A0A7P0TAN4_HUMAN, sp|Q8N782|ZN525_HUMAN, sp|Q9NV72|ZN701_HUMAN, sp|P17035|ZNF28_HUMAN, sp|Q5VIY5|ZN468_HUMAN, sp|A2RRD8|ZN320_HUMAN, sp|Q96SE7|ZN347_HUMAN, sp|Q9HCG1|ZN160_HUMAN, sp|Q09FC8|ZN415_HUMAN, sp|P51522|ZNF83_HUMAN, sp|Q86XU0|ZN677_HUMAN, sp|Q08AN1|ZN616_HUMAN, sp|Q6ZNA1|ZN836_HUMAN, sp|Q6ZN19|ZN841_HUMAN	tr|G5CBE3|G5CBE3_HETGA
OG0000030	sp|Q8TDG2|ACTT1_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q92527|ANKR7_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|Q8TC94|ACTL9_HUMAN, sp|Q8TDY3|ACTT2_HUMAN	tr|G5BG07|G5BG07_HETGA
OG0000034	sp|Q8N628|OR2C3_HUMAN	tr|G5BRI4|G5BRI4_HETGA, tr|G5C2P4|G5C2P4_HETGA
OG0000034	sp|O76001|OR2J3_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|O76000|OR2B3_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN	tr|G5AKF5|G5AKF5_HETGA
OG0000034	sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN	tr|G5AL09|G5AL09_HETGA, tr|G5B1U8|G5B1U8_HETGA
OG0000035	sp|Q6IF00|OR2T2_HUMAN, sp|Q8NGX2|O2T35_HUMAN	tr|G5ALR6|G5ALR6_HETGA, tr|G5BIJ3|G5BIJ3_HETGA, tr|G5BCR9|G5BCR9_HETGA
OG0000035	sp|Q8NH01|O2T11_HUMAN	tr|G5B072|G5B072_HETGA, tr|G5BIJ4|G5BIJ4_HETGA, tr|G5B078|G5B078_HETGA
OG0000035	sp|O43869|OR2T1_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN	tr|G5AXU3|G5AXU3_HETGA, tr|G5B077|G5B077_HETGA, tr|G5BUV0|G5BUV0_HETGA
OG0000035	sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NGZ9|O2T10_HUMAN	tr|G5B1G4|G5B1G4_HETGA
OG0000037	sp|A6NHG9|O5H14_HUMAN, sp|A6NDH6|O5H15_HUMAN, sp|A6NKK0|OR5H1_HUMAN, sp|Q8NGV6|OR5H6_HUMAN, sp|P0DN80|OR5H8_HUMAN, sp|Q8NGV7|OR5H2_HUMAN, sp|Q9NZP5|O5AC2_HUMAN, sp|P0C628|O5AC1_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q9UGF7|O12D3_HUMAN, sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|O95221|OR5F1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|A6NMS3|OR5K4_HUMAN, sp|A6NET4|OR5K3_HUMAN, sp|Q8NHB7|OR5K1_HUMAN, sp|Q8NHB8|OR5K2_HUMAN	tr|G5BXD8|G5BXD8_HETGA
OG0000040	sp|O60829|PAGE4_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|A1L429|GG12C_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|A6NGK3|GAG10_HUMAN, sp|O75459|PAGE1_HUMAN, sp|Q8WTP9|XAGE3_HUMAN, sp|Q96GT9|XAGE2_HUMAN, sp|Q8WWM1|XAGE5_HUMAN	tr|G5BJK5|G5BJK5_HETGA
OG0000043	sp|P08727|K1C19_HUMAN	tr|G5B0M7|G5B0M7_HETGA, tr|G5B0M8|G5B0M8_HETGA
OG0000043	sp|P13646|K1C13_HUMAN	tr|G5B0N0|G5B0N0_HETGA
OG0000043	sp|P19012|K1C15_HUMAN	tr|G5B0M9|G5B0M9_HETGA
OG0000043	sp|P08779|K1C16_HUMAN	tr|G5B0M5|G5B0M5_HETGA
OG0000043	sp|P02533|K1C14_HUMAN	tr|G5B0M6|G5B0M6_HETGA
OG0000043	sp|Q04695|K1C17_HUMAN	tr|G5B0M4|G5B0M4_HETGA
OG0000043	sp|Q99456|K1C12_HUMAN	tr|G5AX65|G5AX65_HETGA
OG0000043	sp|Q2M2I5|K1C24_HUMAN	tr|G5AX71|G5AX71_HETGA
OG0000043	sp|P35527|K1C9_HUMAN, sp|P13645|K1C10_HUMAN	tr|G5AX66|G5AX66_HETGA
OG0000044	sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|D6RJB6|U17LK_HUMAN	tr|G5B7F3|G5B7F3_HETGA
OG0000045	sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|P59533|T2R38_HUMAN, sp|Q9NYW7|TA2R1_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59541|T2R30_HUMAN, sp|P59544|T2R50_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN	tr|G5BE06|G5BE06_HETGA
