Orthogroup	Homo_sapiens	Chinchilla_lanigera
OG0000004	sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A589|TVB43_HUMAN, sp|A0A539|TVB42_HUMAN, sp|A0A577|TVB41_HUMAN, sp|A0A576|TVB31_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A597|TVB55_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN	tr|A0A8C2UIS2|A0A8C2UIS2_CHILA
OG0000005	sp|O60431|OR1I1_HUMAN	tr|A0A8C2W6H2|A0A8C2W6H2_CHILA
OG0000005	sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN	tr|A0A8C2W6I2|A0A8C2W6I2_CHILA, tr|A0A8C2YV79|A0A8C2YV79_CHILA
OG0000005	sp|Q8NGR8|OR1L8_HUMAN	tr|A0A8C2W332|A0A8C2W332_CHILA
OG0000005	sp|Q8NH94|OR1L1_HUMAN, sp|Q8NH93|OR1L3_HUMAN	tr|A0A8C2W5Y8|A0A8C2W5Y8_CHILA
OG0000006	sp|Q08379|GOGA2_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN	tr|A0A8C2UQ14|A0A8C2UQ14_CHILA
OG0000007	sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN	tr|A0A8C2UHK8|A0A8C2UHK8_CHILA
OG0000007	sp|Q6P9A1|ZN530_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN	tr|A0A8C2UJL3|A0A8C2UJL3_CHILA
OG0000007	sp|Q9Y2P7|ZN256_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q13398|ZN211_HUMAN	tr|A0A8C2UJ94|A0A8C2UJ94_CHILA
OG0000008	sp|P17014|ZNF12_HUMAN	tr|A0A8C2VAG0|A0A8C2VAG0_CHILA
OG0000008	sp|Q9NYW8|RBAK_HUMAN	tr|A0A8C2VPN8|A0A8C2VPN8_CHILA
OG0000008	sp|Q06732|ZN33B_HUMAN, sp|Q06730|ZN33A_HUMAN	tr|A0A8C2UTL6|A0A8C2UTL6_CHILA
OG0000008	sp|Q6ZMW2|ZN782_HUMAN, sp|Q9Y2H8|ZN510_HUMAN, sp|Q9HCZ1|ZN334_HUMAN, sp|Q4V348|Z658B_HUMAN, sp|Q5TYW1|ZN658_HUMAN, sp|P17032|ZN37A_HUMAN, sp|Q52M93|Z585B_HUMAN, sp|Q6P3V2|Z585A_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q6ZN11|ZN793_HUMAN, sp|Q96PE6|ZIM3_HUMAN, sp|Q5T5D7|ZN684_HUMAN, sp|Q2M3X9|ZN674_HUMAN, sp|Q5JUW0|KRBX4_HUMAN, sp|Q2M218|ZN630_HUMAN, sp|Q96RE9|ZN300_HUMAN	tr|A0A8C2VFJ3|A0A8C2VFJ3_CHILA
OG0000008	sp|Q9BY31|ZN717_HUMAN, sp|Q8NDW4|ZN248_HUMAN	tr|A0A8C2UNV4|A0A8C2UNV4_CHILA
OG0000009	sp|O76100|OR7AA_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|O76099|OR7C1_HUMAN, sp|O60412|OR7C2_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NH06|OR1P1_HUMAN	tr|A0A8C2WAQ3|A0A8C2WAQ3_CHILA
OG0000012	sp|P78395|PRAME_HUMAN	tr|A0A8C2V6Q5|A0A8C2V6Q5_CHILA
OG0000012	sp|H0Y7S4|PRA26_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|O60813|PRA11_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|O60810|PRAM4_HUMAN, sp|A3QJZ7|PRA27_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, sp|Q5VT98|PRA20_HUMAN, sp|O95522|PRA12_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|Q5VXH5|PRAM7_HUMAN, sp|Q5SWL8|PRA19_HUMAN, sp|A3QJZ6|PRA22_HUMAN, sp|Q5VWM3|PRA18_HUMAN, sp|O95521|PRAM1_HUMAN, sp|Q5VWM6|PRA13_HUMAN, sp|Q5SWL7|PRA14_HUMAN, sp|O60811|PRAM2_HUMAN, sp|Q5VTA0|PRA17_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN, sp|O60809|PRA10_HUMAN	tr|A0A8C2UM78|A0A8C2UM78_CHILA
OG0000014	sp|A6NMZ5|O4C45_HUMAN	tr|A0A8C2WEV1|A0A8C2WEV1_CHILA, tr|A0A8C2WAY8|A0A8C2WAY8_CHILA
OG0000014	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A8C2UPG9|A0A8C2UPG9_CHILA
OG0000014	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A8C2UQ20|A0A8C2UQ20_CHILA
OG0000014	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A8C2YS27|A0A8C2YS27_CHILA, tr|A0A8C2VPX3|A0A8C2VPX3_CHILA, tr|A0A8C2VRV1|A0A8C2VRV1_CHILA
OG0000014	sp|Q8NH73|OR4S2_HUMAN	tr|A0A8C2WE12|A0A8C2WE12_CHILA
OG0000015	sp|Q8NA42|ZN383_HUMAN	tr|A0A8C2YS15|A0A8C2YS15_CHILA
OG0000015	sp|Q969W8|ZN566_HUMAN	tr|A0A8C2VTL1|A0A8C2VTL1_CHILA
OG0000015	sp|Q96NG8|ZN582_HUMAN	tr|A0A8C2UHD8|A0A8C2UHD8_CHILA
OG0000015	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A8C2VQC0|A0A8C2VQC0_CHILA
OG0000015	sp|Q8N141|ZFP82_HUMAN	tr|A0A8C2VLH7|A0A8C2VLH7_CHILA
OG0000015	sp|Q8N7M2|ZN283_HUMAN, sp|Q9NQX6|ZN331_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q8TAQ5|ZN420_HUMAN	tr|A0A8C2VW01|A0A8C2VW01_CHILA
OG0000017	sp|Q9UN70|PCDGK_HUMAN	tr|A0A8C2VJP4|A0A8C2VJP4_CHILA
OG0000017	sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9NPG4|PCD12_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN	tr|A0A8C2VP66|A0A8C2VP66_CHILA
OG0000018	sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|P59534|T2R39_HUMAN, sp|P59535|T2R40_HUMAN, sp|Q9NYW5|TA2R4_HUMAN, sp|P59551|T2R60_HUMAN, sp|Q9NYW7|TA2R1_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|P59544|T2R50_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN, sp|P59541|T2R30_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN	tr|A0A8C2YU93|A0A8C2YU93_CHILA
OG0000019	sp|Q9H9J4|UBP42_HUMAN	tr|A0A8C2YL21|A0A8C2YL21_CHILA
OG0000019	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|A0A8C2VTX7|A0A8C2VTX7_CHILA
OG0000023	sp|Q8NGF1|O52R1_HUMAN	tr|A0A8C2WDG2|A0A8C2WDG2_CHILA, tr|A0A8C2YV89|A0A8C2YV89_CHILA
OG0000023	sp|Q96RD2|O52B2_HUMAN	tr|A0A8C2WDI3|A0A8C2WDI3_CHILA
OG0000023	sp|Q8NGK2|O52B4_HUMAN	tr|A0A8C2WF32|A0A8C2WF32_CHILA
OG0000023	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A8C2WCJ4|A0A8C2WCJ4_CHILA, tr|A0A8C2YV74|A0A8C2YV74_CHILA
OG0000023	sp|Q9H346|O52D1_HUMAN	tr|A0A8C2W743|A0A8C2W743_CHILA, tr|A0A8C2W763|A0A8C2W763_CHILA, tr|A0A8C2YV94|A0A8C2YV94_CHILA, tr|A0A8C2W6A3|A0A8C2W6A3_CHILA, tr|A0A8C2YV82|A0A8C2YV82_CHILA
OG0000025	sp|A6NLX3|SPDE4_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN	tr|A0A8C2VDH9|A0A8C2VDH9_CHILA
OG0000026	sp|A0A0K0K1G8|TVBJ2_HUMAN, sp|A0A0K0K1A3|TVBJ1_HUMAN, sp|A0A0K0K1G6|TVBJ3_HUMAN, sp|P01850|TRBC1_HUMAN, sp|A0A5B9|TRBC2_HUMAN, sp|P0DTU4|TRBR2_HUMAN, sp|A0A075B6N4|TVBY1_HUMAN, sp|A0A075B6N3|TVBX1_HUMAN, sp|A0A0K0K1B3|TVB30_HUMAN, sp|A0A0K0K1C4|TVB27_HUMAN, sp|A0A5B6|TVB28_HUMAN, sp|A0A075B6N1|TVB19_HUMAN, sp|A0A1B0GX49|TVB64_HUMAN, sp|A0A0A0MS04|TVB67_HUMAN, sp|A0A0J9YX75|TVB69_HUMAN, sp|A0A0A6YYG3|TVB68_HUMAN, sp|A0A0K0K1A5|TVB65_HUMAN, sp|A0A0A6YYG2|TVB66_HUMAN, sp|A0A0K0K1D8|TVB61_HUMAN, sp|P0DPF7|TVB63_HUMAN, sp|A0A0J9YXY3|TVB62_HUMAN	tr|A0A8C2YIQ1|A0A8C2YIQ1_CHILA
OG0000028	sp|Q6A162|K1C40_HUMAN	tr|A0A8C2W3W6|A0A8C2W3W6_CHILA
OG0000028	sp|Q14525|KT33B_HUMAN, sp|O76009|KT33A_HUMAN, sp|Q15323|K1H1_HUMAN, sp|O76011|KRT34_HUMAN, tr|A0A140TA62|A0A140TA62_HUMAN, sp|O76015|KRT38_HUMAN, sp|O76014|KRT37_HUMAN, sp|O76013|KRT36_HUMAN, sp|Q04695|K1C17_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN, sp|P19012|K1C15_HUMAN, sp|P08727|K1C19_HUMAN, sp|P35900|K1C20_HUMAN, sp|Q92764|KRT35_HUMAN, sp|Q14532|K1H2_HUMAN, sp|Q6A163|K1C39_HUMAN	tr|A0A8C2VV97|A0A8C2VV97_CHILA
OG0000029	sp|A0A0G2JMI3|HV692_HUMAN, sp|A0A0C4DH33|HV124_HUMAN, sp|A0A0C4DH38|HV551_HUMAN, sp|A0A0J9YXX1|HV5X1_HUMAN, sp|P01742|HV169_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, sp|P01743|HV146_HUMAN, tr|A0A0J9YW62|A0A0J9YW62_HUMAN, sp|A0A0A0MS14|HV145_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0C4DH29|HV103_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, sp|A0A0B4J1V7|HV781_HUMAN, sp|P0DTW3|HV384_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, sp|P0DP01|HV108_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P23083|HV102_HUMAN	tr|A0A8C2UL04|A0A8C2UL04_CHILA
OG0000032	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A8C2W5J2|A0A8C2W5J2_CHILA
OG0000032	sp|O95371|OR2C1_HUMAN	tr|A0A8C2V8W9|A0A8C2V8W9_CHILA, tr|A0A8C2WAA4|A0A8C2WAA4_CHILA, tr|A0A8C2WDN5|A0A8C2WDN5_CHILA, tr|A0A8C2WDU2|A0A8C2WDU2_CHILA, tr|A0A8C2UUQ3|A0A8C2UUQ3_CHILA, tr|A0A8C2UM11|A0A8C2UM11_CHILA, tr|A0A8C2VKN5|A0A8C2VKN5_CHILA, tr|A0A8C2W7C1|A0A8C2W7C1_CHILA, tr|A0A8C2USK0|A0A8C2USK0_CHILA, tr|A0A8C2UTG8|A0A8C2UTG8_CHILA, tr|A0A8C2W5B5|A0A8C2W5B5_CHILA, tr|A0A8C2W806|A0A8C2W806_CHILA, tr|A0A8C2UH50|A0A8C2UH50_CHILA, tr|A0A8C2YV45|A0A8C2YV45_CHILA, tr|A0A8C2YV10|A0A8C2YV10_CHILA, tr|A0A8C2W5Q4|A0A8C2W5Q4_CHILA, tr|A0A8C2W673|A0A8C2W673_CHILA
OG0000033	sp|P13688|CEAM1_HUMAN, sp|P06731|CEAM5_HUMAN, sp|P40199|CEAM6_HUMAN, sp|A8MTB9|CEA18_HUMAN, sp|P31997|CEAM8_HUMAN, sp|Q00887|PSG9_HUMAN, sp|Q00889|PSG6_HUMAN, sp|Q13046|PSG7_HUMAN, sp|Q00888|PSG4_HUMAN, sp|Q9UQ74|PSG8_HUMAN, sp|P11464|PSG1_HUMAN, sp|Q16557|PSG3_HUMAN, sp|Q15238|PSG5_HUMAN, sp|Q9UQ72|PSG11_HUMAN, sp|P11465|PSG2_HUMAN, sp|Q14002|CEAM7_HUMAN, sp|Q3KPI0|CEA21_HUMAN, sp|P40198|CEAM3_HUMAN, sp|O75871|CEAM4_HUMAN	tr|A0A8C2UP23|A0A8C2UP23_CHILA
OG0000035	sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q8NH43|OR4L1_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN, sp|P0C645|OR4E1_HUMAN, sp|Q8NH05|OR4Q3_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGA8|O4F17_HUMAN	tr|A0A8C2YV04|A0A8C2YV04_CHILA
OG0000036	sp|Q02386|ZNF45_HUMAN	tr|A0A8C2UV78|A0A8C2UV78_CHILA
OG0000036	sp|Q9UJU3|ZN112_HUMAN	tr|A0A8C2YKB0|A0A8C2YKB0_CHILA
OG0000036	sp|Q9NYT6|ZN226_HUMAN	tr|A0A8C2URV6|A0A8C2URV6_CHILA
OG0000039	sp|Q99676|ZN184_HUMAN	tr|A0A8C2UPR8|A0A8C2UPR8_CHILA
OG0000039	sp|A6NM28|ZFP92_HUMAN	tr|A0A8C2V8M9|A0A8C2V8M9_CHILA, tr|A0A8C2US00|A0A8C2US00_CHILA, tr|A0A8C2VDK1|A0A8C2VDK1_CHILA, tr|A0A8C2UVF9|A0A8C2UVF9_CHILA, tr|A0A8C2VDI1|A0A8C2VDI1_CHILA, tr|A0A8C2VHF0|A0A8C2VHF0_CHILA, tr|A0A8C2UK14|A0A8C2UK14_CHILA, tr|A0A8C2UV43|A0A8C2UV43_CHILA, tr|A0A8C2US55|A0A8C2US55_CHILA, tr|A0A8C2YJ29|A0A8C2YJ29_CHILA, tr|A0A8C2UVR5|A0A8C2UVR5_CHILA, tr|A0A8C2YRL6|A0A8C2YRL6_CHILA, tr|A0A8C2V2L6|A0A8C2V2L6_CHILA, tr|A0A8C2YUL4|A0A8C2YUL4_CHILA, tr|A0A8C2YJQ5|A0A8C2YJQ5_CHILA
