Orthogroup	Homo_sapiens	Ornithorhynchus_anatinus
OG0000011	sp|Q8WZ92|OR5P2_HUMAN	tr|A0A6I8PMM7|A0A6I8PMM7_ORNAN, tr|A0A6I8N4Y5|A0A6I8N4Y5_ORNAN, tr|A0A6I8P5R7|A0A6I8P5R7_ORNAN
OG0000011	sp|Q8NH18|OR5J2_HUMAN	tr|F7CP40|F7CP40_ORNAN, tr|F7CQ28|F7CQ28_ORNAN
OG0000011	sp|P0C617|O5AL1_HUMAN	tr|F6YBU1|F6YBU1_ORNAN, tr|F6YBW6|F6YBW6_ORNAN, tr|F6YBX5|F6YBX5_ORNAN
OG0000012	sp|Q96PL5|ERMAP_HUMAN	tr|A0A6I8PBE6|A0A6I8PBE6_ORNAN, tr|A0A6I8PQ38|A0A6I8PQ38_ORNAN, tr|A0A6I8N343|A0A6I8N343_ORNAN, tr|F6WIH6|F6WIH6_ORNAN, tr|A0A6I8PCW6|A0A6I8PCW6_ORNAN, tr|F7AQR5|F7AQR5_ORNAN, tr|F7DI50|F7DI50_ORNAN, tr|F6YNW1|F6YNW1_ORNAN, tr|F6Y3V3|F6Y3V3_ORNAN, tr|A0A6I8PRE5|A0A6I8PRE5_ORNAN, tr|A0A6I8NVJ1|A0A6I8NVJ1_ORNAN, tr|A0A6I8PAV7|A0A6I8PAV7_ORNAN, tr|F6S7D2|F6S7D2_ORNAN, tr|F7CMQ1|F7CMQ1_ORNAN, tr|A0A6I8P2D6|A0A6I8P2D6_ORNAN, tr|F6SV30|F6SV30_ORNAN, tr|A0A6I8P1Y0|A0A6I8P1Y0_ORNAN, tr|A0A6I8PES9|A0A6I8PES9_ORNAN, tr|F6RHH8|F6RHH8_ORNAN, tr|F6YMH0|F6YMH0_ORNAN, tr|A0A6I8P8X9|A0A6I8P8X9_ORNAN, tr|A0A6I8NUB3|A0A6I8NUB3_ORNAN, tr|A0A6I8NLD7|A0A6I8NLD7_ORNAN, tr|A0A6I8NN50|A0A6I8NN50_ORNAN, tr|F6SEY3|F6SEY3_ORNAN, tr|A0A6I8NA71|A0A6I8NA71_ORNAN, tr|K7E998|K7E998_ORNAN, tr|A0A6I8N617|A0A6I8N617_ORNAN, tr|A0A6I8NTH2|A0A6I8NTH2_ORNAN, tr|A0A6I8NNJ9|A0A6I8NNJ9_ORNAN, tr|F7CME7|F7CME7_ORNAN, tr|F6TC93|F6TC93_ORNAN, tr|F6UAL4|F6UAL4_ORNAN
OG0000013	sp|Q9UJ55|MAGL2_HUMAN, sp|P43366|MAGB1_HUMAN, sp|O15481|MAGB4_HUMAN, sp|O15479|MAGB2_HUMAN, tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|Q8N7X4|MAGB6_HUMAN, sp|O15480|MAGB3_HUMAN, sp|Q9BZ81|MAGB5_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|Q96M61|MAGBI_HUMAN, sp|Q96LZ2|MAGBA_HUMAN, sp|A2A368|MAGBG_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43363|MAGAA_HUMAN, sp|A6NCF6|MA13P_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|Q9H213|MAGH1_HUMAN, sp|Q8TD90|MAGE2_HUMAN, sp|Q9HCI5|MAGE1_HUMAN, sp|Q96MG7|NSE3_HUMAN, sp|Q9HAY2|MAGF1_HUMAN	tr|F7CAS5|F7CAS5_ORNAN
OG0000016	sp|O95125|ZN202_HUMAN	tr|A0A6I8P6C8|A0A6I8P6C8_ORNAN
OG0000016	sp|O60304|ZN500_HUMAN	tr|F7AMF4|F7AMF4_ORNAN
OG0000016	sp|O14771|ZN213_HUMAN	tr|A0A6I8P9B1|A0A6I8P9B1_ORNAN
OG0000016	sp|Q9GZW5|SCND2_HUMAN	tr|A0A6I8PP53|A0A6I8PP53_ORNAN
OG0000018	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN	tr|A0A6I8P9W3|A0A6I8P9W3_ORNAN
OG0000020	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A6I8NL95|A0A6I8NL95_ORNAN, tr|A0A6I8NT20|A0A6I8NT20_ORNAN, tr|A0A6I8P4Y0|A0A6I8P4Y0_ORNAN, tr|A0A6I8P1A9|A0A6I8P1A9_ORNAN
OG0000020	sp|Q8NGF8|OR4B1_HUMAN	tr|F7GAK3|F7GAK3_ORNAN
OG0000020	sp|Q8NH49|OR4X1_HUMAN, sp|Q8NGF9|OR4X2_HUMAN	tr|F7GAJ9|F7GAJ9_ORNAN
OG0000020	sp|Q8NGM1|OR4CF_HUMAN	tr|F7GA92|F7GA92_ORNAN, tr|F7GAD8|F7GAD8_ORNAN, tr|F7GAD4|F7GAD4_ORNAN, tr|F7GAI8|F7GAI8_ORNAN, tr|A0A6I8N3W0|A0A6I8N3W0_ORNAN, tr|A0A6I8NBS9|A0A6I8NBS9_ORNAN, tr|F7GAJ5|F7GAJ5_ORNAN, tr|F7GAE5|F7GAE5_ORNAN, tr|F7GAE8|F7GAE8_ORNAN, tr|F7GAF1|F7GAF1_ORNAN, tr|F6XEE2|F6XEE2_ORNAN, tr|F7GAE1|F7GAE1_ORNAN
OG0000020	sp|Q8NH73|OR4S2_HUMAN	tr|A0A6I8NUL3|A0A6I8NUL3_ORNAN, tr|F7GAK6|F7GAK6_ORNAN, tr|F7GA89|F7GA89_ORNAN
OG0000024	sp|Q8NGK5|O52M1_HUMAN	tr|A0A6I8PB75|A0A6I8PB75_ORNAN
OG0000024	sp|Q8NH57|O52P1_HUMAN	tr|A0A6I8PMI2|A0A6I8PMI2_ORNAN, tr|A0A6I8NH64|A0A6I8NH64_ORNAN, tr|A0A6I8NKW1|A0A6I8NKW1_ORNAN, tr|F7E3X8|F7E3X8_ORNAN, tr|F6UWZ9|F6UWZ9_ORNAN, tr|F7FIJ0|F7FIJ0_ORNAN, tr|A0A6I8NLV2|A0A6I8NLV2_ORNAN, tr|A0A6I8N0R5|A0A6I8N0R5_ORNAN, tr|F7ELE1|F7ELE1_ORNAN, tr|A0A6I8N8P0|A0A6I8N8P0_ORNAN, tr|A0A6I8P4E9|A0A6I8P4E9_ORNAN, tr|A0A6I8PA37|A0A6I8PA37_ORNAN, tr|F7B9U4|F7B9U4_ORNAN, tr|F7G650|F7G650_ORNAN, tr|F7CW36|F7CW36_ORNAN, tr|A0A6I8N3I8|A0A6I8N3I8_ORNAN, tr|A0A6I8NHN4|A0A6I8NHN4_ORNAN, tr|A0A6I8NWI2|A0A6I8NWI2_ORNAN, tr|A0A6I8P940|A0A6I8P940_ORNAN, tr|A0A6I8P6I5|A0A6I8P6I5_ORNAN, tr|F6YQR6|F6YQR6_ORNAN, tr|F6ZFK8|F6ZFK8_ORNAN, tr|F7FM08|F7FM08_ORNAN, tr|A0A6I8PKP8|A0A6I8PKP8_ORNAN, tr|F6Z1C8|F6Z1C8_ORNAN
OG0000025	sp|Q8NF86|PRS33_HUMAN	tr|F7G998|F7G998_ORNAN
OG0000025	sp|Q7RTY5|PRS48_HUMAN	tr|A0A6I8NIU4|A0A6I8NIU4_ORNAN
OG0000025	sp|A8MTI9|PRS47_HUMAN, sp|A1L453|PRS38_HUMAN, sp|Q9UI38|TSP50_HUMAN, sp|Q7RTY3|PRS45_HUMAN	tr|A0A6I8N3H3|A0A6I8N3H3_ORNAN, tr|F6ZA93|F6ZA93_ORNAN, tr|A0A6I8NHV4|A0A6I8NHV4_ORNAN, tr|A0A6I8NSC4|A0A6I8NSC4_ORNAN, tr|A0A6I8PFC5|A0A6I8PFC5_ORNAN, tr|F7D219|F7D219_ORNAN, tr|F7DMQ4|F7DMQ4_ORNAN
OG0000025	sp|Q9GZN4|BSSP4_HUMAN	tr|F7A447|F7A447_ORNAN
OG0000025	sp|Q9BQR3|PRS27_HUMAN	tr|A0A6I8NBK6|A0A6I8NBK6_ORNAN
OG0000025	sp|Q16651|PRSS8_HUMAN	tr|A0A6I8NRP8|A0A6I8NRP8_ORNAN
OG0000026	sp|Q9H2C8|O51V1_HUMAN	tr|F7ELX8|F7ELX8_ORNAN
OG0000026	sp|Q9Y5P0|O51B4_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9H340|O51B6_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H341|O51M1_HUMAN, sp|Q8NGK0|O51G2_HUMAN, sp|Q8NGK1|O51G1_HUMAN, sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|Q8NH61|O51F2_HUMAN, sp|A6NGY5|O51F1_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q9H343|O51I1_HUMAN, sp|Q8NH63|O51H1_HUMAN, sp|Q8NGJ8|O51S1_HUMAN, sp|Q9H342|O51J1_HUMAN, sp|Q8NGF3|O51D1_HUMAN, sp|Q9H255|O51E2_HUMAN, sp|Q8TCB6|O51E1_HUMAN	tr|F6X350|F6X350_ORNAN
OG0000028	sp|Q9UPS8|ANR26_HUMAN, sp|A6QL64|AN36A_HUMAN, sp|Q5JPF3|AN36C_HUMAN, sp|Q8N2N9|AN36B_HUMAN, sp|A6NC57|ANR62_HUMAN, sp|Q96IX9|A26L1_HUMAN, sp|Q3MJ40|C144B_HUMAN, sp|A2RUR9|C144A_HUMAN, sp|Q8IYA2|C144C_HUMAN, sp|Q6NUI1|C144L_HUMAN, sp|Q9BXX3|AN30A_HUMAN, sp|Q9BXX2|AN30B_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q92527|ANKR7_HUMAN, sp|Q9H560|ANR19_HUMAN, sp|Q8IVF6|AN18A_HUMAN, sp|A2A2Z9|AN18B_HUMAN, sp|Q8NF67|A2012_HUMAN, sp|A0PJZ0|A20A5_HUMAN, sp|Q5CZ79|AN20B_HUMAN, sp|Q5SQ80|A20A2_HUMAN, sp|Q5VUR7|A20A3_HUMAN, sp|Q5TYW2|A20A1_HUMAN, sp|Q4UJ75|A20A4_HUMAN	tr|F6XFH5|F6XFH5_ORNAN
OG0000032	sp|P41180|CASR_HUMAN	tr|A0A6I8N380|A0A6I8N380_ORNAN, tr|F6WAH1|F6WAH1_ORNAN, tr|F7D910|F7D910_ORNAN, tr|F6R6S4|F6R6S4_ORNAN, tr|F7AIA9|F7AIA9_ORNAN, tr|F7EGZ6|F7EGZ6_ORNAN, tr|F7AIC5|F7AIC5_ORNAN, tr|F6VYP8|F6VYP8_ORNAN, tr|F7D0B3|F7D0B3_ORNAN, tr|F7AIE3|F7AIE3_ORNAN, tr|F6Y3E0|F6Y3E0_ORNAN, tr|F6PIH3|F6PIH3_ORNAN, tr|F6PSX5|F6PSX5_ORNAN, tr|F6ZF63|F6ZF63_ORNAN, tr|F6ZZZ1|F6ZZZ1_ORNAN, tr|F7DM83|F7DM83_ORNAN, tr|F6RCS1|F6RCS1_ORNAN, tr|F6TQL0|F6TQL0_ORNAN, tr|F7CLU5|F7CLU5_ORNAN, tr|A0A6I8NH72|A0A6I8NH72_ORNAN, tr|F6XZ41|F6XZ41_ORNAN, tr|F7FWG5|F7FWG5_ORNAN, tr|F7ANL5|F7ANL5_ORNAN, tr|A0A6I8PMC8|A0A6I8PMC8_ORNAN
