Orthogroup	Homo_sapiens	Phascolarctos_cinereus
OG0000002	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A6P5IQX0|A0A6P5IQX0_PHACI, tr|A0A6P5IMY7|A0A6P5IMY7_PHACI, tr|A0A6P5IQG2|A0A6P5IQG2_PHACI, tr|A0A6P5IXU9|A0A6P5IXU9_PHACI, tr|A0A6P5IN33|A0A6P5IN33_PHACI, tr|A0A6P5IQV8|A0A6P5IQV8_PHACI
OG0000002	sp|Q8NH63|O51H1_HUMAN	tr|A0A6P5IY32|A0A6P5IY32_PHACI, tr|A0A6P5IXW9|A0A6P5IXW9_PHACI, tr|A0A6P5IMS8|A0A6P5IMS8_PHACI, tr|A0A6P5IMY5|A0A6P5IMY5_PHACI, tr|A0A6P5IWS6|A0A6P5IWS6_PHACI
OG0000004	sp|P20813|CP2B6_HUMAN	tr|A0A6P5JAN2|A0A6P5JAN2_PHACI, tr|A0A6P5JRE5|A0A6P5JRE5_PHACI, tr|A0A6P5J119|A0A6P5J119_PHACI, tr|A0A6P5JX42|A0A6P5JX42_PHACI
OG0000004	sp|Q96SQ9|CP2S1_HUMAN	tr|A0A6P5JL00|A0A6P5JL00_PHACI, tr|A0A6P5JVC2|A0A6P5JVC2_PHACI, tr|A0A6P5JUC7|A0A6P5JUC7_PHACI, tr|A0A6P5JAK5|A0A6P5JAK5_PHACI, tr|A0A6P5L3V6|A0A6P5L3V6_PHACI, tr|A0A6P5JX40|A0A6P5JX40_PHACI, tr|A0A6P5JPL8|A0A6P5JPL8_PHACI, tr|A0A6P5JNW8|A0A6P5JNW8_PHACI, tr|A0A6P5IC60|A0A6P5IC60_PHACI, tr|A0A6P5ICS6|A0A6P5ICS6_PHACI, tr|A0A6P5IC87|A0A6P5IC87_PHACI, tr|A0A6P5L4J9|A0A6P5L4J9_PHACI, tr|A0A6P5IC97|A0A6P5IC97_PHACI, tr|A0A6P5JPX4|A0A6P5JPX4_PHACI, tr|A0A6P5L4H5|A0A6P5L4H5_PHACI, tr|A0A6P5JQK3|A0A6P5JQK3_PHACI, tr|A0A6P5JPX7|A0A6P5JPX7_PHACI, tr|A0A6P5JX90|A0A6P5JX90_PHACI, tr|A0A6P5JWI5|A0A6P5JWI5_PHACI, tr|A0A6P5JKP5|A0A6P5JKP5_PHACI, tr|A0A6P5JX95|A0A6P5JX95_PHACI, tr|A0A6P5JE46|A0A6P5JE46_PHACI, tr|A0A6P5JPW9|A0A6P5JPW9_PHACI, tr|A0A6P5JQ93|A0A6P5JQ93_PHACI, tr|A0A6P5JX50|A0A6P5JX50_PHACI, tr|A0A6P5JXG3|A0A6P5JXG3_PHACI, tr|A0A6P5JQ42|A0A6P5JQ42_PHACI, tr|A0A6P5JQA1|A0A6P5JQA1_PHACI, tr|A0A6P5JSG2|A0A6P5JSG2_PHACI, tr|A0A6P5JQ90|A0A6P5JQ90_PHACI, tr|A0A6P5JQ95|A0A6P5JQ95_PHACI, tr|A0A6P5L4I2|A0A6P5L4I2_PHACI, tr|A0A6P5LYV1|A0A6P5LYV1_PHACI, tr|A0A6P5JQN0|A0A6P5JQN0_PHACI, tr|A0A6P5JSJ8|A0A6P5JSJ8_PHACI, tr|A0A6P5JSJ2|A0A6P5JSJ2_PHACI, tr|A0A6P5JLK3|A0A6P5JLK3_PHACI, tr|A0A6P5JBU2|A0A6P5JBU2_PHACI, tr|A0A6P5JWM6|A0A6P5JWM6_PHACI, tr|A0A6P5JPY4|A0A6P5JPY4_PHACI, tr|A0A6P5JSK3|A0A6P5JSK3_PHACI, tr|A0A6P5JWJ0|A0A6P5JWJ0_PHACI, tr|A0A6P5JQ83|A0A6P5JQ83_PHACI, tr|A0A6P5JBF4|A0A6P5JBF4_PHACI, tr|A0A6P5L0C2|A0A6P5L0C2_PHACI, tr|A0A6P5KWW0|A0A6P5KWW0_PHACI, tr|A0A6P5JLX1|A0A6P5JLX1_PHACI, tr|A0A6P5KW97|A0A6P5KW97_PHACI, tr|A0A6P5JW46|A0A6P5JW46_PHACI, tr|A0A6P5JT45|A0A6P5JT45_PHACI
OG0000006	sp|P01615|KVD28_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P06310|KV230_HUMAN, sp|P06312|KV401_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P06315|KV502_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S5|KV127_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN	tr|A0A6P5JNG7|A0A6P5JNG7_PHACI
OG0000007	sp|Q9BSG1|ZNF2_HUMAN	tr|A0A6P5KE74|A0A6P5KE74_PHACI, tr|A0A6P5KHK3|A0A6P5KHK3_PHACI, tr|A0A6P5KHL0|A0A6P5KHL0_PHACI, tr|A0A6P5KFX2|A0A6P5KFX2_PHACI, tr|A0A6P5KEA1|A0A6P5KEA1_PHACI, tr|A0A6P5KED9|A0A6P5KED9_PHACI, tr|A0A6P5KE46|A0A6P5KE46_PHACI
OG0000007	sp|P17036|ZNF3_HUMAN	tr|A0A6P5KWX0|A0A6P5KWX0_PHACI, tr|A0A6P5KX55|A0A6P5KX55_PHACI, tr|A0A6P5KXT3|A0A6P5KXT3_PHACI, tr|A0A6P5KX41|A0A6P5KX41_PHACI, tr|A0A6P5L4A2|A0A6P5L4A2_PHACI, tr|A0A6P5KWT8|A0A6P5KWT8_PHACI, tr|A0A6P5L4A8|A0A6P5L4A8_PHACI, tr|A0A6P5L605|A0A6P5L605_PHACI, tr|A0A6P5KXV6|A0A6P5KXV6_PHACI, tr|A0A6P5KYI8|A0A6P5KYI8_PHACI, tr|A0A6P5JWE5|A0A6P5JWE5_PHACI, tr|A0A6P5L5T5|A0A6P5L5T5_PHACI, tr|A0A6P5KYY6|A0A6P5KYY6_PHACI, tr|A0A6P5KX94|A0A6P5KX94_PHACI, tr|A0A6P5KX97|A0A6P5KX97_PHACI, tr|A0A6P5L2G4|A0A6P5L2G4_PHACI, tr|A0A6P5KYB7|A0A6P5KYB7_PHACI, tr|A0A6P5L5V1|A0A6P5L5V1_PHACI, tr|A0A6P5L2E5|A0A6P5L2E5_PHACI, tr|A0A6P5L2G0|A0A6P5L2G0_PHACI, tr|A0A6P5JQJ7|A0A6P5JQJ7_PHACI, tr|A0A6P5JBI0|A0A6P5JBI0_PHACI, tr|A0A6P5JBF0|A0A6P5JBF0_PHACI, tr|A0A6P5ILV5|A0A6P5ILV5_PHACI, tr|A0A6P5JKR8|A0A6P5JKR8_PHACI
OG0000007	sp|P17020|ZNF16_HUMAN	tr|A0A6P5J913|A0A6P5J913_PHACI, tr|A0A6P5JJV4|A0A6P5JJV4_PHACI, tr|A0A6P5JMD8|A0A6P5JMD8_PHACI, tr|A0A6P5K5R3|A0A6P5K5R3_PHACI, tr|A0A6P5KES7|A0A6P5KES7_PHACI, tr|A0A6P5KZX6|A0A6P5KZX6_PHACI, tr|A0A6P5KYZ1|A0A6P5KYZ1_PHACI, tr|A0A6P5L109|A0A6P5L109_PHACI, tr|A0A6P5KX52|A0A6P5KX52_PHACI
OG0000010	sp|Q8NGR9|OR1N2_HUMAN	tr|A0A6P5IWB0|A0A6P5IWB0_PHACI
OG0000010	sp|Q8NGS0|OR1N1_HUMAN	tr|A0A6P5IEA2|A0A6P5IEA2_PHACI, tr|A0A6P5IHI1|A0A6P5IHI1_PHACI
OG0000010	sp|P47890|OR1G1_HUMAN	tr|A0A6P5IPK0|A0A6P5IPK0_PHACI
OG0000010	sp|O60431|OR1I1_HUMAN	tr|A0A6P5IS89|A0A6P5IS89_PHACI
OG0000010	sp|Q8NGA1|OR1M1_HUMAN	tr|A0A6P5M1M9|A0A6P5M1M9_PHACI
OG0000011	sp|Q8NH73|OR4S2_HUMAN	tr|A0A6P5JG51|A0A6P5JG51_PHACI
OG0000011	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A6P5M426|A0A6P5M426_PHACI
OG0000011	sp|Q8NH49|OR4X1_HUMAN	tr|A0A6P5M6A7|A0A6P5M6A7_PHACI
OG0000011	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A6P5M3Y9|A0A6P5M3Y9_PHACI, tr|A0A6P5M466|A0A6P5M466_PHACI
OG0000011	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A6P5JG34|A0A6P5JG34_PHACI, tr|A0A6P5J6U9|A0A6P5J6U9_PHACI, tr|A0A6P5JG26|A0A6P5JG26_PHACI, tr|A0A6P5JG58|A0A6P5JG58_PHACI, tr|A0A6P5J9J1|A0A6P5J9J1_PHACI, tr|A0A6P5J6W8|A0A6P5J6W8_PHACI, tr|A0A6P5JQB5|A0A6P5JQB5_PHACI, tr|A0A6P5MBD3|A0A6P5MBD3_PHACI, tr|A0A6P5M4I2|A0A6P5M4I2_PHACI, tr|A0A6P5M6E7|A0A6P5M6E7_PHACI, tr|A0A6P5JG31|A0A6P5JG31_PHACI, tr|A0A6P5M6H6|A0A6P5M6H6_PHACI, tr|A0A6P5M458|A0A6P5M458_PHACI, tr|A0A6P5J6V3|A0A6P5J6V3_PHACI, tr|A0A6P5J740|A0A6P5J740_PHACI, tr|A0A6P5J7D3|A0A6P5J7D3_PHACI, tr|A0A6P5J9H3|A0A6P5J9H3_PHACI, tr|A0A6P5MB99|A0A6P5MB99_PHACI, tr|A0A6P5JGH1|A0A6P5JGH1_PHACI, tr|A0A6P5J7C7|A0A6P5J7C7_PHACI, tr|A0A6P5J7E4|A0A6P5J7E4_PHACI, tr|A0A6P5JG45|A0A6P5JG45_PHACI, tr|A0A6P5J9J6|A0A6P5J9J6_PHACI, tr|A0A6P5J7S8|A0A6P5J7S8_PHACI, tr|A0A6P5J7E3|A0A6P5J7E3_PHACI, tr|A0A6P5JG05|A0A6P5JG05_PHACI, tr|A0A6P5JFZ5|A0A6P5JFZ5_PHACI, tr|A0A6P5J7F1|A0A6P5J7F1_PHACI, tr|A0A6P5JG72|A0A6P5JG72_PHACI, tr|A0A6P5J6X7|A0A6P5J6X7_PHACI
OG0000016	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A6P5LE58|A0A6P5LE58_PHACI
OG0000016	sp|Q8WZ84|OR8D1_HUMAN	tr|A0A6P5LDF6|A0A6P5LDF6_PHACI, tr|A0A6P5LE99|A0A6P5LE99_PHACI
OG0000016	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A6P5LHV5|A0A6P5LHV5_PHACI, tr|A0A6P5LE14|A0A6P5LE14_PHACI, tr|A0A6P5LDA6|A0A6P5LDA6_PHACI
OG0000016	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A6P5LE09|A0A6P5LE09_PHACI, tr|A0A6P5LKF0|A0A6P5LKF0_PHACI, tr|A0A6P5LD55|A0A6P5LD55_PHACI, tr|A0A6P5K530|A0A6P5K530_PHACI, tr|A0A6P5JPX9|A0A6P5JPX9_PHACI, tr|A0A6P5K4V0|A0A6P5K4V0_PHACI, tr|A0A6P5K600|A0A6P5K600_PHACI, tr|A0A6P5K4T2|A0A6P5K4T2_PHACI, tr|A0A6P5K5X6|A0A6P5K5X6_PHACI, tr|A0A6P5K6Q4|A0A6P5K6Q4_PHACI, tr|A0A6P5LKF7|A0A6P5LKF7_PHACI, tr|A0A6P5LEG1|A0A6P5LEG1_PHACI, tr|A0A6P5LHZ3|A0A6P5LHZ3_PHACI, tr|A0A6P5LE28|A0A6P5LE28_PHACI, tr|A0A6P5LHW0|A0A6P5LHW0_PHACI, tr|A0A6P5LD64|A0A6P5LD64_PHACI, tr|A0A6P5K5U6|A0A6P5K5U6_PHACI
OG0000019	sp|Q8NGT1|OR2K2_HUMAN	tr|A0A6P5LVS2|A0A6P5LVS2_PHACI
OG0000019	sp|Q8NGT2|O13J1_HUMAN	tr|A0A6P5L0A7|A0A6P5L0A7_PHACI
OG0000019	sp|Q8NG92|O13H1_HUMAN	tr|A0A6P5J3K7|A0A6P5J3K7_PHACI, tr|A0A6P5ITQ8|A0A6P5ITQ8_PHACI, tr|A0A6P5IWW2|A0A6P5IWW2_PHACI, tr|A0A6P5JD57|A0A6P5JD57_PHACI, tr|A0A6P5JB18|A0A6P5JB18_PHACI, tr|A0A6P5LP00|A0A6P5LP00_PHACI, tr|A0A6P5LS75|A0A6P5LS75_PHACI, tr|A0A6P5LP21|A0A6P5LP21_PHACI, tr|A0A6P5LLH6|A0A6P5LLH6_PHACI, tr|A0A6P5J2R6|A0A6P5J2R6_PHACI
OG0000019	sp|Q8NGV5|O13D1_HUMAN	tr|A0A6P5KZ69|A0A6P5KZ69_PHACI, tr|A0A6P5KZ14|A0A6P5KZ14_PHACI, tr|A0A6P5L6Z9|A0A6P5L6Z9_PHACI, tr|A0A6P5L6L7|A0A6P5L6L7_PHACI, tr|A0A6P5L382|A0A6P5L382_PHACI, tr|A0A6P5KYZ8|A0A6P5KYZ8_PHACI, tr|A0A6P5KZ48|A0A6P5KZ48_PHACI, tr|A0A6P5KZ07|A0A6P5KZ07_PHACI, tr|A0A6P5L398|A0A6P5L398_PHACI, tr|A0A6P5KYV6|A0A6P5KYV6_PHACI, tr|A0A6P5L6K1|A0A6P5L6K1_PHACI, tr|A0A6P5KZ67|A0A6P5KZ67_PHACI, tr|A0A6P5L3A8|A0A6P5L3A8_PHACI, tr|A0A6P5KZA6|A0A6P5KZA6_PHACI, tr|A0A6P5L6N1|A0A6P5L6N1_PHACI, tr|A0A6P5L6L2|A0A6P5L6L2_PHACI
OG0000022	sp|Q8NH43|OR4L1_HUMAN	tr|A0A6P5KKC2|A0A6P5KKC2_PHACI, tr|A0A6P5J284|A0A6P5J284_PHACI, tr|A0A6P5KGL9|A0A6P5KGL9_PHACI, tr|A0A6P5KJM1|A0A6P5KJM1_PHACI, tr|A0A6P5J229|A0A6P5J229_PHACI, tr|A0A6P5J583|A0A6P5J583_PHACI, tr|A0A6P5KJ36|A0A6P5KJ36_PHACI, tr|A0A6P5KI98|A0A6P5KI98_PHACI, tr|A0A6P5KLA8|A0A6P5KLA8_PHACI, tr|A0A6P5L8E0|A0A6P5L8E0_PHACI, tr|A0A6P5IZB0|A0A6P5IZB0_PHACI, tr|A0A6P5IXI8|A0A6P5IXI8_PHACI, tr|A0A6P5IT38|A0A6P5IT38_PHACI, tr|A0A6P5IUG9|A0A6P5IUG9_PHACI, tr|A0A6P5LEE9|A0A6P5LEE9_PHACI, tr|A0A6P5LGU6|A0A6P5LGU6_PHACI, tr|A0A6P5LE45|A0A6P5LE45_PHACI, tr|A0A6P5LC89|A0A6P5LC89_PHACI, tr|A0A6P5L9X8|A0A6P5L9X8_PHACI, tr|A0A6P5LCL8|A0A6P5LCL8_PHACI, tr|A0A6P5L6R5|A0A6P5L6R5_PHACI, tr|A0A6P5KJ23|A0A6P5KJ23_PHACI, tr|A0A6P5M2R5|A0A6P5M2R5_PHACI, tr|A0A6P5LXH2|A0A6P5LXH2_PHACI, tr|A0A6P5M2C5|A0A6P5M2C5_PHACI, tr|A0A6P5IRB1|A0A6P5IRB1_PHACI, tr|A0A6P5IMG0|A0A6P5IMG0_PHACI, tr|A0A6P5KKM0|A0A6P5KKM0_PHACI, tr|A0A6P5JB70|A0A6P5JB70_PHACI, tr|A0A6P5JAV0|A0A6P5JAV0_PHACI, tr|A0A6P5KIX5|A0A6P5KIX5_PHACI, tr|A0A6P5LFU7|A0A6P5LFU7_PHACI
OG0000023	sp|Q9UH99|SUN2_HUMAN	tr|A0A6P5JZN9|A0A6P5JZN9_PHACI, tr|A0A6P5JHU6|A0A6P5JHU6_PHACI, tr|A0A6P5JNI0|A0A6P5JNI0_PHACI, tr|A0A6P5JWA3|A0A6P5JWA3_PHACI, tr|A0A6P5IT06|A0A6P5IT06_PHACI, tr|A0A6P5J6J8|A0A6P5J6J8_PHACI, tr|A0A6P5JSN2|A0A6P5JSN2_PHACI, tr|A0A6P5ILM9|A0A6P5ILM9_PHACI, tr|A0A6P5JNY6|A0A6P5JNY6_PHACI, tr|A0A6P5JWI4|A0A6P5JWI4_PHACI, tr|A0A6P5JNX9|A0A6P5JNX9_PHACI, tr|A0A6P5JPS9|A0A6P5JPS9_PHACI, tr|A0A6P5JPC1|A0A6P5JPC1_PHACI, tr|A0A6P5JST6|A0A6P5JST6_PHACI, tr|A0A6P5JRA1|A0A6P5JRA1_PHACI, tr|A0A6P5JRV3|A0A6P5JRV3_PHACI, tr|A0A6P5JRX3|A0A6P5JRX3_PHACI, tr|A0A6P5JPS4|A0A6P5JPS4_PHACI, tr|A0A6P5JWD3|A0A6P5JWD3_PHACI, tr|A0A6P5KJY2|A0A6P5KJY2_PHACI, tr|A0A6P5JWC4|A0A6P5JWC4_PHACI, tr|A0A6P5JRT8|A0A6P5JRT8_PHACI, tr|A0A6P5KK09|A0A6P5KK09_PHACI, tr|A0A6P5JX54|A0A6P5JX54_PHACI, tr|A0A6P5JPG9|A0A6P5JPG9_PHACI, tr|A0A6P5KKU0|A0A6P5KKU0_PHACI, tr|A0A6P5JW58|A0A6P5JW58_PHACI, tr|A0A6P5ILF8|A0A6P5ILF8_PHACI, tr|A0A6P5KLT9|A0A6P5KLT9_PHACI, tr|A0A6P5JNU1|A0A6P5JNU1_PHACI, tr|A0A6P5JS08|A0A6P5JS08_PHACI
OG0000024	sp|Q08379|GOGA2_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN	tr|A0A6P5IJ75|A0A6P5IJ75_PHACI
OG0000025	sp|Q8NH85|OR5R1_HUMAN	tr|A0A6P5J7D5|A0A6P5J7D5_PHACI
