Orthogroup	Homo_sapiens	Pipistrellus_kuhlii
OG0000003	sp|Q53H47|SETMR_HUMAN	tr|A0A7J7XB59|A0A7J7XB59_PIPKU, tr|A0A7J8A7R4|A0A7J8A7R4_PIPKU, tr|A0A7J7S183|A0A7J7S183_PIPKU, tr|A0A7J7XB14|A0A7J7XB14_PIPKU, tr|A0A7J7YWL0|A0A7J7YWL0_PIPKU, tr|A0A7J7R2R4|A0A7J7R2R4_PIPKU, tr|A0A7J7WDC3|A0A7J7WDC3_PIPKU, tr|A0A7J7RKC8|A0A7J7RKC8_PIPKU, tr|A0A7J8A854|A0A7J8A854_PIPKU, tr|A0A7J7TXG1|A0A7J7TXG1_PIPKU, tr|A0A7J8A8E0|A0A7J8A8E0_PIPKU, tr|A0A7J7ZIY4|A0A7J7ZIY4_PIPKU, tr|A0A7J7WLI9|A0A7J7WLI9_PIPKU, tr|A0A7J7RCP2|A0A7J7RCP2_PIPKU, tr|A0A7J7QXE3|A0A7J7QXE3_PIPKU, tr|A0A7J8B1T3|A0A7J8B1T3_PIPKU, tr|A0A7J7XAY7|A0A7J7XAY7_PIPKU, tr|A0A7J7WLI0|A0A7J7WLI0_PIPKU, tr|A0A7J7ZJ26|A0A7J7ZJ26_PIPKU, tr|A0A7J7UGC3|A0A7J7UGC3_PIPKU, tr|A0A7J7QTI5|A0A7J7QTI5_PIPKU, tr|A0A7J8B2B1|A0A7J8B2B1_PIPKU, tr|A0A7J7XV41|A0A7J7XV41_PIPKU, tr|A0A7J8B1V2|A0A7J8B1V2_PIPKU, tr|A0A7J7ZJV9|A0A7J7ZJV9_PIPKU, tr|A0A7J7VMF4|A0A7J7VMF4_PIPKU, tr|A0A7J7W3P6|A0A7J7W3P6_PIPKU, tr|A0A7J7TAD5|A0A7J7TAD5_PIPKU, tr|A0A7J7QWM6|A0A7J7QWM6_PIPKU, tr|A0A7J8A7Q8|A0A7J8A7Q8_PIPKU, tr|A0A7J7XAW3|A0A7J7XAW3_PIPKU, tr|A0A7J8A8K5|A0A7J8A8K5_PIPKU, tr|A0A7J7ZJD0|A0A7J7ZJD0_PIPKU, tr|A0A7J8A891|A0A7J8A891_PIPKU, tr|A0A7J8A7N6|A0A7J8A7N6_PIPKU, tr|A0A7J7XB54|A0A7J7XB54_PIPKU, tr|A0A7J7TKQ2|A0A7J7TKQ2_PIPKU, tr|A0A7J7YNJ4|A0A7J7YNJ4_PIPKU, tr|A0A7J7ZJH9|A0A7J7ZJH9_PIPKU, tr|A0A7J7YM22|A0A7J7YM22_PIPKU, tr|A0A7J7XUM9|A0A7J7XUM9_PIPKU, tr|A0A7J7WD72|A0A7J7WD72_PIPKU, tr|A0A7J8A8L1|A0A7J8A8L1_PIPKU, tr|A0A7J8A7B3|A0A7J8A7B3_PIPKU, tr|A0A7J7ZJY9|A0A7J7ZJY9_PIPKU, tr|A0A7J7VBK3|A0A7J7VBK3_PIPKU, tr|A0A7J8B5F9|A0A7J8B5F9_PIPKU, tr|A0A7J8B2T5|A0A7J8B2T5_PIPKU, tr|A0A7J8A8Z1|A0A7J8A8Z1_PIPKU, tr|A0A7J7ZJD7|A0A7J7ZJD7_PIPKU, tr|A0A7J7V091|A0A7J7V091_PIPKU, tr|A0A7J7X078|A0A7J7X078_PIPKU, tr|A0A7J7ZJT7|A0A7J7ZJT7_PIPKU
OG0000005	sp|Q8NGS2|OR1J2_HUMAN	tr|A0A7J7W3E7|A0A7J7W3E7_PIPKU
OG0000005	sp|Q8NG98|OR7D4_HUMAN, sp|Q96RA2|OR7D2_HUMAN	tr|A0A7J7TAD6|A0A7J7TAD6_PIPKU
OG0000005	sp|O76099|OR7C1_HUMAN, sp|O60412|OR7C2_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NG95|OR7G3_HUMAN	tr|A0A7J7TAB2|A0A7J7TAB2_PIPKU
OG0000007	sp|P12018|VPREB_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|P01717|LV325_HUMAN, sp|P01718|LV327_HUMAN, sp|P01715|LV301_HUMAN, sp|P01721|LV657_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P01700|LV147_HUMAN, sp|P01699|LV144_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01701|LV151_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|P01709|LV208_HUMAN, sp|P01706|LV211_HUMAN, sp|P01705|LV223_HUMAN, sp|P01704|LV214_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN	tr|A0A7J7UHH3|A0A7J7UHH3_PIPKU
OG0000010	sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN	tr|A0A7J8B335|A0A7J8B335_PIPKU
OG0000010	sp|Q8NGB8|O4F15_HUMAN	tr|A0A7J8B2W6|A0A7J8B2W6_PIPKU
OG0000010	sp|Q8NH41|OR4KF_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NGD4|OR4K1_HUMAN	tr|A0A7J8B3Q5|A0A7J8B3Q5_PIPKU
OG0000010	sp|Q8NH42|OR4KD_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|Q8NH05|OR4Q3_HUMAN, sp|Q8NGC2|OR4E2_HUMAN, sp|P0C645|OR4E1_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGE8|OR4D9_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|Q8NGN0|OR4D5_HUMAN, sp|P0C623|OR4Q2_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A7J8B467|A0A7J8B467_PIPKU
OG0000011	sp|O00370|LORF2_HUMAN	tr|A0A7J7VVD5|A0A7J7VVD5_PIPKU
OG0000011	sp|Q9H606|PRORY_HUMAN	tr|A0A7J7UM39|A0A7J7UM39_PIPKU, tr|A0A7J7V0A1|A0A7J7V0A1_PIPKU, tr|A0A7J7ZJF0|A0A7J7ZJF0_PIPKU, tr|A0A7J7VN80|A0A7J7VN80_PIPKU, tr|A0A7J7VMN7|A0A7J7VMN7_PIPKU, tr|A0A7J8B156|A0A7J8B156_PIPKU, tr|A0A7J7YMA6|A0A7J7YMA6_PIPKU, tr|A0A7J8B1D8|A0A7J8B1D8_PIPKU, tr|A0A7J8B1N3|A0A7J8B1N3_PIPKU, tr|A0A7J7VV37|A0A7J7VV37_PIPKU, tr|A0A7J7X0I3|A0A7J7X0I3_PIPKU, tr|A0A7J8A837|A0A7J8A837_PIPKU, tr|A0A7J7XV96|A0A7J7XV96_PIPKU, tr|A0A7J7VV86|A0A7J7VV86_PIPKU, tr|A0A7J7YMM7|A0A7J7YMM7_PIPKU, tr|A0A7J7ZKK5|A0A7J7ZKK5_PIPKU, tr|A0A7J7YWZ8|A0A7J7YWZ8_PIPKU, tr|A0A7J7UTJ9|A0A7J7UTJ9_PIPKU, tr|A0A7J7ZJ92|A0A7J7ZJ92_PIPKU, tr|A0A7J7WLK2|A0A7J7WLK2_PIPKU, tr|A0A7J7QT48|A0A7J7QT48_PIPKU, tr|A0A7J7T1K7|A0A7J7T1K7_PIPKU, tr|A0A7J7ULZ5|A0A7J7ULZ5_PIPKU, tr|A0A7J7T203|A0A7J7T203_PIPKU, tr|A0A7J8A7P1|A0A7J8A7P1_PIPKU, tr|A0A7J8A7U7|A0A7J8A7U7_PIPKU, tr|A0A7J7YX85|A0A7J7YX85_PIPKU, tr|A0A7J7ZJ71|A0A7J7ZJ71_PIPKU, tr|A0A7J7ULX5|A0A7J7ULX5_PIPKU, tr|A0A7J7ULZ1|A0A7J7ULZ1_PIPKU, tr|A0A7J8B260|A0A7J8B260_PIPKU, tr|A0A7J8B2K9|A0A7J8B2K9_PIPKU, tr|A0A7J7SNS8|A0A7J7SNS8_PIPKU
OG0000012	sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A576|TVB31_HUMAN, sp|A0A589|TVB43_HUMAN, sp|A0A539|TVB42_HUMAN, sp|A0A577|TVB41_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN	tr|A0A7J7WLG4|A0A7J7WLG4_PIPKU
OG0000016	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN	tr|A0A7J7S459|A0A7J7S459_PIPKU
OG0000017	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A7J7V0T6|A0A7J7V0T6_PIPKU
OG0000017	sp|Q8TAF7|ZN461_HUMAN, sp|Q6PG37|ZN790_HUMAN, sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A7J7V1U7|A0A7J7V1U7_PIPKU
OG0000017	sp|Q969W8|ZN566_HUMAN, sp|Q9BX82|ZN471_HUMAN, sp|Q6ECI4|ZN470_HUMAN, sp|Q96NG8|ZN582_HUMAN, sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN	tr|A0A7J7SNT5|A0A7J7SNT5_PIPKU
OG0000019	sp|P52741|ZN134_HUMAN, sp|Q3KQV3|ZN792_HUMAN, sp|Q68DY9|ZN772_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|O43361|ZN749_HUMAN, sp|P17021|ZNF17_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q8IVC4|ZN584_HUMAN, sp|Q6PK81|ZN773_HUMAN, sp|Q96HQ0|ZN419_HUMAN, sp|P52740|ZN132_HUMAN	tr|A0A7J7R984|A0A7J7R984_PIPKU
OG0000020	sp|Q8NGY1|O10Z1_HUMAN	tr|A0A7J7UTX1|A0A7J7UTX1_PIPKU
OG0000020	sp|Q8NGX3|O10T2_HUMAN, sp|Q8NGX6|O10R2_HUMAN, sp|P0C629|O10J4_HUMAN, sp|Q5JRS4|O10J3_HUMAN, sp|P30954|O10J1_HUMAN, sp|Q8NHC4|O10J5_HUMAN, sp|Q8NGY7|O10J6_HUMAN, sp|Q8NGX5|O10K1_HUMAN, sp|Q6IF99|O10K2_HUMAN, sp|Q8NGY0|O10X1_HUMAN, sp|Q8NGA5|O10H4_HUMAN, sp|O60404|O10H3_HUMAN, sp|O60403|O10H2_HUMAN, sp|Q8NGA6|O10H5_HUMAN, sp|Q9Y4A9|O10H1_HUMAN, sp|Q8NGI7|O10V1_HUMAN, sp|Q8NHC6|O14L1_HUMAN, sp|Q96R54|O14A2_HUMAN, sp|Q8NHC7|O14CZ_HUMAN, sp|Q8NGE0|O10AD_HUMAN, sp|Q96KK4|O10C1_HUMAN, sp|P58181|O10A3_HUMAN, sp|Q8NH74|O10A6_HUMAN, sp|Q8NGE5|O10A7_HUMAN, sp|Q9H207|O10A5_HUMAN, sp|Q9H208|O10A2_HUMAN, sp|Q9H209|O10A4_HUMAN	tr|A0A7J7X0S6|A0A7J7X0S6_PIPKU
OG0000023	sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A0B4J248|TVA11_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN	tr|A0A7J8B146|A0A7J8B146_PIPKU
OG0000025	sp|Q8NDW4|ZN248_HUMAN	tr|A0A7J7VCX7|A0A7J7VCX7_PIPKU
OG0000025	sp|Q6ZMW2|ZN782_HUMAN, sp|Q06732|ZN33B_HUMAN, sp|Q06730|ZN33A_HUMAN	tr|A0A7J7VD44|A0A7J7VD44_PIPKU
OG0000025	sp|Q9Y2H8|ZN510_HUMAN, sp|Q4V348|Z658B_HUMAN, sp|Q5TYW1|ZN658_HUMAN, sp|Q9HCZ1|ZN334_HUMAN, sp|Q2M218|ZN630_HUMAN, sp|Q96RE9|ZN300_HUMAN, sp|Q5JUW0|KRBX4_HUMAN, sp|Q2M3X9|ZN674_HUMAN, sp|Q3ZCX4|ZN568_HUMAN, sp|Q5MCW4|ZN569_HUMAN, sp|Q6ZN11|ZN793_HUMAN, sp|Q96PE6|ZIM3_HUMAN, sp|P17030|ZNF25_HUMAN, sp|P17032|ZN37A_HUMAN, sp|Q9NYW8|RBAK_HUMAN, sp|P17014|ZNF12_HUMAN	tr|A0A7J7XDA8|A0A7J7XDA8_PIPKU
OG0000027	sp|Q9H9J4|UBP42_HUMAN	tr|A0A7J7XD66|A0A7J7XD66_PIPKU
OG0000027	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|A0A7J7SFA0|A0A7J7SFA0_PIPKU
OG0000028	sp|Q8NH73|OR4S2_HUMAN	tr|A0A7J7X1M8|A0A7J7X1M8_PIPKU
OG0000028	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A7J7X171|A0A7J7X171_PIPKU
OG0000028	sp|Q8NGB2|OR4C5_HUMAN, sp|A6NMZ5|O4C45_HUMAN, sp|Q8NH72|OR4C6_HUMAN, sp|A6NHA9|O4C46_HUMAN, sp|Q8NGP0|OR4CD_HUMAN, sp|Q96R67|OR4CC_HUMAN	tr|A0A7J7X1G9|A0A7J7X1G9_PIPKU
OG0000028	sp|Q8NH37|OR4C3_HUMAN, sp|Q8NGM1|OR4CF_HUMAN	tr|A0A7J7X0T7|A0A7J7X0T7_PIPKU
OG0000029	sp|Q9Y5G4|PCDG9_HUMAN	tr|A0A7J7XCC4|A0A7J7XCC4_PIPKU
OG0000029	sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN	tr|A0A7J7XBR6|A0A7J7XBR6_PIPKU
