Orthogroup	Homo_sapiens	Phyllostomus_discolor
OG0000010	sp|P19013|K2C4_HUMAN	tr|A0A6J2N855|A0A6J2N855_9CHIR
OG0000010	sp|Q86Y46|K2C73_HUMAN	tr|A0A6J2N8W1|A0A6J2N8W1_9CHIR
OG0000010	sp|Q3SY84|K2C71_HUMAN	tr|A0A6J2N8P2|A0A6J2N8P2_9CHIR
OG0000010	sp|Q7RTS7|K2C74_HUMAN	tr|A0A6J2N6R9|A0A6J2N6R9_9CHIR
OG0000010	sp|Q14CN4|K2C72_HUMAN	tr|A0A6J2ND43|A0A6J2ND43_9CHIR
OG0000010	sp|P35908|K22E_HUMAN	tr|A0A6J2NDH8|A0A6J2NDH8_9CHIR
OG0000010	sp|P04264|K2C1_HUMAN	tr|A0A6J2N6D9|A0A6J2N6D9_9CHIR
OG0000010	sp|Q7Z794|K2C1B_HUMAN	tr|A0A7E6D756|A0A7E6D756_9CHIR
OG0000010	sp|P48668|K2C6C_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P02538|K2C6A_HUMAN	tr|A0A6J2NCW0|A0A6J2NCW0_9CHIR, tr|A0A6J2N7D2|A0A6J2N7D2_9CHIR
OG0000010	sp|P13647|K2C5_HUMAN	tr|A0A6J2NDY2|A0A6J2NDY2_9CHIR
OG0000010	sp|O95678|K2C75_HUMAN	tr|A0A7E6D6G1|A0A7E6D6G1_9CHIR
OG0000010	sp|P08729|K2C7_HUMAN	tr|A0A6J2NDC3|A0A6J2NDC3_9CHIR
OG0000010	sp|Q5XKE5|K2C79_HUMAN	tr|A0A6J2NCP2|A0A6J2NCP2_9CHIR
OG0000010	sp|P12035|K2C3_HUMAN, sp|Q01546|K22O_HUMAN	tr|A0A6J2N7R9|A0A6J2N7R9_9CHIR
OG0000013	sp|Q9HBQ8|GGA2B_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q08379|GOGA2_HUMAN	tr|A0A7E6DGS9|A0A7E6DGS9_9CHIR
OG0000014	sp|Q6PG37|ZN790_HUMAN	tr|A0A7E6CRI6|A0A7E6CRI6_9CHIR
OG0000014	sp|Q9Y2G7|ZFP30_HUMAN, sp|Q8N141|ZFP82_HUMAN	tr|A0A6J2N5Q7|A0A6J2N5Q7_9CHIR
OG0000014	sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q9HCL3|ZFP14_HUMAN	tr|A0A6J2MZB3|A0A6J2MZB3_9CHIR
OG0000014	sp|Q969W8|ZN566_HUMAN	tr|A0A6J2N5E5|A0A6J2N5E5_9CHIR
OG0000014	sp|Q96NG8|ZN582_HUMAN	tr|A0A6J2MZ04|A0A6J2MZ04_9CHIR
OG0000014	sp|Q8N9K5|ZN565_HUMAN	tr|A0A6J2N4J4|A0A6J2N4J4_9CHIR
OG0000014	sp|A8MQ14|ZN850_HUMAN	tr|A0A6J2N5A9|A0A6J2N5A9_9CHIR, tr|A0A7E6CPF2|A0A7E6CPF2_9CHIR
OG0000015	sp|O95221|OR5F1_HUMAN	tr|A0A6J2L2R3|A0A6J2L2R3_9CHIR, tr|A0A6J2KXH6|A0A6J2KXH6_9CHIR
OG0000015	sp|P0C626|OR5G3_HUMAN	tr|A0A7E6E1V0|A0A7E6E1V0_9CHIR, tr|A0A7E6E2Q1|A0A7E6E2Q1_9CHIR, tr|A0A6J2LTX8|A0A6J2LTX8_9CHIR, tr|A0A6J2M543|A0A6J2M543_9CHIR, tr|A0A6J2M1G4|A0A6J2M1G4_9CHIR, tr|A0A6J2LZQ3|A0A6J2LZQ3_9CHIR
OG0000015	sp|Q8NH18|OR5J2_HUMAN	tr|A0A6J2KZ47|A0A6J2KZ47_9CHIR, tr|A0A6J2L2Q1|A0A6J2L2Q1_9CHIR, tr|A0A6J2KZ54|A0A6J2KZ54_9CHIR, tr|A0A6J2L0S2|A0A6J2L0S2_9CHIR, tr|A0A6J2KZ41|A0A6J2KZ41_9CHIR, tr|A0A6J2L0T1|A0A6J2L0T1_9CHIR, tr|A0A6J2KZ48|A0A6J2KZ48_9CHIR, tr|A0A6J2KWY9|A0A6J2KWY9_9CHIR, tr|A0A6J2L2S7|A0A6J2L2S7_9CHIR, tr|A0A6J2L0W3|A0A6J2L0W3_9CHIR, tr|A0A6J2KWX1|A0A6J2KWX1_9CHIR, tr|A0A6J2L2P1|A0A6J2L2P1_9CHIR, tr|A0A6J2KWW6|A0A6J2KWW6_9CHIR, tr|A0A6J2KZ74|A0A6J2KZ74_9CHIR, tr|A0A6J2LXW9|A0A6J2LXW9_9CHIR
OG0000020	tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|P43631|KI2S2_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43627|KI2L2_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|Q9H7L2|KI3X1_HUMAN	tr|A0A7E6CR03|A0A7E6CR03_9CHIR
OG0000022	sp|Q68DY9|ZN772_HUMAN	tr|A0A7E6CR49|A0A7E6CR49_9CHIR
OG0000022	sp|Q9HCX3|ZN304_HUMAN	tr|A0A7E6CR27|A0A7E6CR27_9CHIR
OG0000022	sp|P52740|ZN132_HUMAN	tr|A0A6J2N356|A0A6J2N356_9CHIR
OG0000022	sp|Q6P9A3|ZN549_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q9BWM5|ZN416_HUMAN	tr|A0A7E6CQW5|A0A7E6CQW5_9CHIR
OG0000027	sp|Q8NH55|O52E5_HUMAN	tr|A0A6J2LSJ8|A0A6J2LSJ8_9CHIR
OG0000027	sp|Q8NGF1|O52R1_HUMAN	tr|A0A6J2M4F2|A0A6J2M4F2_9CHIR, tr|A0A6J2LYW2|A0A6J2LYW2_9CHIR, tr|A0A6J2M015|A0A6J2M015_9CHIR, tr|A0A6J2LTS7|A0A6J2LTS7_9CHIR, tr|A0A6J2M0Y5|A0A6J2M0Y5_9CHIR, tr|A0A6J2LZQ6|A0A6J2LZQ6_9CHIR, tr|A0A6J2M1M3|A0A6J2M1M3_9CHIR, tr|A0A6J2LWW4|A0A6J2LWW4_9CHIR, tr|A0A6J2LSG8|A0A6J2LSG8_9CHIR, tr|A0A6J2LSH2|A0A6J2LSH2_9CHIR, tr|A0A6J2LWY3|A0A6J2LWY3_9CHIR, tr|A0A6J2LSJ2|A0A6J2LSJ2_9CHIR, tr|A0A6J2LTS2|A0A6J2LTS2_9CHIR, tr|A0A6J2LXJ7|A0A6J2LXJ7_9CHIR, tr|A0A7E6E168|A0A7E6E168_9CHIR, tr|A0A6J2LSE8|A0A6J2LSE8_9CHIR, tr|A0A7E6E513|A0A7E6E513_9CHIR, tr|A0A6J2M025|A0A6J2M025_9CHIR, tr|A0A6J2M5R8|A0A6J2M5R8_9CHIR, tr|A0A7E6DXK6|A0A7E6DXK6_9CHIR, tr|A0A6J2LUK2|A0A6J2LUK2_9CHIR, tr|A0A6J2LTQ2|A0A6J2LTQ2_9CHIR, tr|A0A6J2M4P6|A0A6J2M4P6_9CHIR, tr|A0A6J2M446|A0A6J2M446_9CHIR
OG0000029	sp|Q9P275|UBP36_HUMAN	tr|A0A6J2ME50|A0A6J2ME50_9CHIR
OG0000029	sp|Q6QN14|U17L6_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|Q9H9J4|UBP42_HUMAN	tr|A0A7E6CT09|A0A7E6CT09_9CHIR
OG0000031	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN	tr|A0A6J2MSU3|A0A6J2MSU3_9CHIR
OG0000032	sp|P58876|H2B1D_HUMAN	tr|A0A6J2KYL1|A0A6J2KYL1_9CHIR
OG0000032	sp|P62807|H2B1C_HUMAN	tr|A0A6J2L0Q6|A0A6J2L0Q6_9CHIR
OG0000032	sp|P06899|H2B1J_HUMAN, sp|O60814|H2B1K_HUMAN, sp|P57053|H2BFS_HUMAN	tr|A0A6J2L148|A0A6J2L148_9CHIR
OG0000032	sp|Q6DRA6|H2B2D_HUMAN, sp|Q6DN03|H2B2C_HUMAN	tr|A0A6J2KV50|A0A6J2KV50_9CHIR
OG0000032	sp|Q8N257|H2B3B_HUMAN, sp|Q99880|H2B1L_HUMAN, sp|P0C1H6|H2BFM_HUMAN, sp|P0DW85|H2BN1_HUMAN, sp|P23527|H2B1O_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q5QNW6|H2B2F_HUMAN	tr|A0A6J2KUK5|A0A6J2KUK5_9CHIR
OG0000033	sp|Q4V348|Z658B_HUMAN, sp|Q5TYW1|ZN658_HUMAN	tr|A0A6J2N619|A0A6J2N619_9CHIR
OG0000033	sp|Q9NYW8|RBAK_HUMAN	tr|A0A7E6CV74|A0A7E6CV74_9CHIR
OG0000033	sp|P17014|ZNF12_HUMAN	tr|A0A6J2MWN6|A0A6J2MWN6_9CHIR
OG0000033	sp|B1APH4|ZN487_HUMAN, sp|Q8N184|ZN567_HUMAN	tr|A0A7E6CPG4|A0A7E6CPG4_9CHIR
OG0000033	sp|Q9BY31|ZN717_HUMAN, sp|Q8NDW4|ZN248_HUMAN	tr|A0A7E6DUU7|A0A7E6DUU7_9CHIR
OG0000034	sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN	tr|A0A6J2MZN6|A0A6J2MZN6_9CHIR
OG0000040	sp|Q96RB7|OR5MB_HUMAN	tr|A0A6J2M3G2|A0A6J2M3G2_9CHIR, tr|A0A6J2M3C7|A0A6J2M3C7_9CHIR, tr|A0A6J2LZM9|A0A6J2LZM9_9CHIR
OG0000040	sp|Q8NH85|OR5R1_HUMAN	tr|A0A6J2LYD7|A0A6J2LYD7_9CHIR, tr|A0A6J2LZR8|A0A6J2LZR8_9CHIR, tr|A0A6J2LZE4|A0A6J2LZE4_9CHIR, tr|A0A6J2M2X2|A0A6J2M2X2_9CHIR, tr|A0A6J2LZT7|A0A6J2LZT7_9CHIR, tr|A0A6J2LYL1|A0A6J2LYL1_9CHIR, tr|A0A6J2LSV9|A0A6J2LSV9_9CHIR, tr|A0A6J2LZN8|A0A6J2LZN8_9CHIR, tr|A0A6J2LZA7|A0A6J2LZA7_9CHIR, tr|A0A6J2LZD7|A0A6J2LZD7_9CHIR, tr|A0A6J2LU19|A0A6J2LU19_9CHIR, tr|A0A6J2LXP9|A0A6J2LXP9_9CHIR, tr|A0A6J2LY48|A0A6J2LY48_9CHIR, tr|A0A6J2LY85|A0A6J2LY85_9CHIR, tr|A0A6J2LXJ3|A0A6J2LXJ3_9CHIR, tr|A0A6J2LXC4|A0A6J2LXC4_9CHIR
OG0000045	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A6J2L1H6|A0A6J2L1H6_9CHIR
OG0000045	sp|Q8NGD5|OR4KE_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q8NH43|OR4L1_HUMAN	tr|A0A7E6E6C4|A0A7E6E6C4_9CHIR
OG0000045	sp|Q96R72|OR4K3_HUMAN	tr|A0A7E6E6S5|A0A7E6E6S5_9CHIR
OG0000047	sp|P17028|ZNF24_HUMAN	tr|A0A6J2MMK0|A0A6J2MMK0_9CHIR
OG0000047	sp|Q499Z4|ZN672_HUMAN, sp|Q9GZW5|SCND2_HUMAN	tr|A0A6J2MP83|A0A6J2MP83_9CHIR
OG0000047	sp|Q8NF99|ZN397_HUMAN	tr|A0A7E6CFT7|A0A7E6CFT7_9CHIR
OG0000047	sp|O15535|ZSC9_HUMAN, sp|Q9H4T2|ZSC16_HUMAN	tr|A0A6J2KZ08|A0A6J2KZ08_9CHIR
OG0000048	sp|Q15544|TAF11_HUMAN	tr|A0A6J2LLK6|A0A6J2LLK6_9CHIR
OG0000048	sp|A0A1W2PQ09|TFKLK_HUMAN, sp|A0A1W2PPW3|TFKLL_HUMAN, sp|A0A1W2PPL8|TFKLN_HUMAN, tr|A0A1W2PRN6|A0A1W2PRN6_HUMAN, sp|A6NLC8|TFKL2_HUMAN, sp|A0A1W2PPH5|TFLM_HUMAN, sp|P0DW14|TFKLJ_HUMAN, sp|P0DW13|TFKL8_HUMAN, sp|A0A1W2PR64|TFKL9_HUMAN, sp|A0A1W2PPE2|TFKL4_HUMAN, sp|A0A1W2PP81|TFKL5_HUMAN, sp|P0DW11|TFKL6_HUMAN, sp|A0A1W2PRV1|TFKL3_HUMAN, sp|P0DW12|TFKL7_HUMAN	tr|A0A7E6D9R4|A0A7E6D9R4_9CHIR
OG0000050	sp|Q86XG9|NBPF5_HUMAN, sp|Q96M43|NBPF4_HUMAN, sp|Q5VWK0|NBPF6_HUMAN, sp|P0C2Y1|NBPF7_HUMAN, sp|Q9H094|NBPF3_HUMAN, sp|Q8N660|NBPFF_HUMAN, sp|Q5TI25|NBPFE_HUMAN, sp|B4DH59|NBPFP_HUMAN, sp|A0A087WUL8|NBPFJ_HUMAN, sp|P0DPF2|NBPFK_HUMAN, sp|Q6P3W6|NBPFA_HUMAN, sp|P0DPF3|NBPF9_HUMAN, sp|Q86T75|NBPFB_HUMAN, sp|Q3BBV2|NBPF8_HUMAN, sp|Q3BBV0|NBPF1_HUMAN, sp|Q5TAG4|NBPFC_HUMAN	tr|A0A6J2KUC8|A0A6J2KUC8_9CHIR
OG0000051	sp|Q04695|K1C17_HUMAN	tr|A0A7E6EF24|A0A7E6EF24_9CHIR
OG0000051	sp|P02533|K1C14_HUMAN	tr|A0A6J2MAN0|A0A6J2MAN0_9CHIR
OG0000051	sp|P08779|K1C16_HUMAN	tr|A0A6J2MA44|A0A6J2MA44_9CHIR
OG0000051	sp|P08727|K1C19_HUMAN	tr|A0A6J2MHD5|A0A6J2MHD5_9CHIR
OG0000051	sp|Q99456|K1C12_HUMAN	tr|A0A6J2ME78|A0A6J2ME78_9CHIR
OG0000051	sp|P35527|K1C9_HUMAN	tr|A0A7E6EEL6|A0A7E6EEL6_9CHIR
OG0000051	sp|P19012|K1C15_HUMAN	tr|A0A6J2MDN7|A0A6J2MDN7_9CHIR
OG0000051	sp|P13646|K1C13_HUMAN	tr|A0A6J2MAL7|A0A6J2MAL7_9CHIR
OG0000052	sp|Q7Z2F6|KRBX5_HUMAN, sp|Q14586|ZN267_HUMAN	tr|A0A7E6CYC9|A0A7E6CYC9_9CHIR, tr|A0A7E6D103|A0A7E6D103_9CHIR, tr|A0A6J2L7C8|A0A6J2L7C8_9CHIR, tr|A0A6J2KVD4|A0A6J2KVD4_9CHIR, tr|A0A6J2L173|A0A6J2L173_9CHIR, tr|A0A6J2KXH5|A0A6J2KXH5_9CHIR, tr|A0A7E6CPJ0|A0A7E6CPJ0_9CHIR, tr|A0A6J2KZ56|A0A6J2KZ56_9CHIR, tr|A0A6J2KVC0|A0A6J2KVC0_9CHIR, tr|A0A7E6CQ87|A0A7E6CQ87_9CHIR, tr|A0A7E6CSP2|A0A7E6CSP2_9CHIR, tr|A0A7E6CPH3|A0A7E6CPH3_9CHIR, tr|A0A6J2N6L3|A0A6J2N6L3_9CHIR, tr|A0A7E6CQD7|A0A7E6CQD7_9CHIR, tr|A0A6J2N5U4|A0A6J2N5U4_9CHIR
OG0000055	sp|Q8NGR9|OR1N2_HUMAN	tr|A0A6J2N4Q7|A0A6J2N4Q7_9CHIR
OG0000055	sp|P30953|OR1E1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN	tr|A0A6J2MW61|A0A6J2MW61_9CHIR
OG0000057	sp|Q8NGE2|O2AP1_HUMAN	tr|A0A6J2N879|A0A6J2N879_9CHIR
OG0000057	sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NH79|OR6X1_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|Q9NZP2|OR6C2_HUMAN, sp|A6NCV1|O6C74_HUMAN, sp|A6NL08|O6C75_HUMAN, sp|Q9NZP0|OR6C3_HUMAN, sp|Q96RD1|OR6C1_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NF89|OR6C6_HUMAN, sp|Q8NGE1|OR6C4_HUMAN	tr|A0A6J2N7U9|A0A6J2N7U9_9CHIR
OG0000061	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A7E6CV71|A0A7E6CV71_9CHIR
