Orthogroup	Homo_sapiens	Ictidomys_tridecemlineatus
OG0000016	sp|P04437|TVA29_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A0B4J248|TVA11_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN	tr|I3N7N9|I3N7N9_ICTTR
OG0000017	sp|P0C646|O52Z1_HUMAN	tr|I3MX61|I3MX61_ICTTR, tr|I3N0A0|I3N0A0_ICTTR, tr|I3N5E4|I3N5E4_ICTTR, tr|I3NBJ6|I3NBJ6_ICTTR, tr|I3N5K0|I3N5K0_ICTTR, tr|I3N0S9|I3N0S9_ICTTR, tr|I3NDP0|I3NDP0_ICTTR, tr|I3MIT3|I3MIT3_ICTTR, tr|I3NF22|I3NF22_ICTTR, tr|I3NFI6|I3NFI6_ICTTR, tr|I3MPI5|I3MPI5_ICTTR, tr|I3N533|I3N533_ICTTR, tr|I3N8F9|I3N8F9_ICTTR, tr|I3NGB7|I3NGB7_ICTTR, tr|A0A287CSW5|A0A287CSW5_ICTTR, tr|I3N5V0|I3N5V0_ICTTR, tr|I3MVL2|I3MVL2_ICTTR, tr|I3N642|I3N642_ICTTR, tr|I3N4V3|I3N4V3_ICTTR, tr|I3MUM0|I3MUM0_ICTTR, tr|I3NHC8|I3NHC8_ICTTR, tr|I3NHJ4|I3NHJ4_ICTTR, tr|A0A287D182|A0A287D182_ICTTR, tr|A0A287D9S5|A0A287D9S5_ICTTR, tr|I3MXL0|I3MXL0_ICTTR, tr|I3N8B4|I3N8B4_ICTTR
OG0000018	sp|P78395|PRAME_HUMAN, sp|A3QJZ6|PRA22_HUMAN, sp|Q5VWM3|PRA18_HUMAN, sp|Q5SWL8|PRA19_HUMAN, sp|O60809|PRA10_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN, sp|Q5VTA0|PRA17_HUMAN, sp|O60811|PRAM2_HUMAN, sp|O95521|PRAM1_HUMAN, sp|Q5VWM6|PRA13_HUMAN, sp|Q5SWL7|PRA14_HUMAN, sp|Q5VXH5|PRAM7_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|O95522|PRA12_HUMAN, sp|Q5VT98|PRA20_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|A3QJZ7|PRA27_HUMAN, sp|O60810|PRAM4_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|O60813|PRA11_HUMAN, sp|H0Y7S4|PRA26_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, sp|Q5TYX0|PRAM5_HUMAN	tr|I3N2X3|I3N2X3_ICTTR
OG0000019	sp|Q8NGA1|OR1M1_HUMAN	tr|A0A287DAS7|A0A287DAS7_ICTTR
OG0000019	sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|O76099|OR7C1_HUMAN, sp|O60412|OR7C2_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN	tr|I3NFR2|I3NFR2_ICTTR
OG0000021	sp|Q8NGB2|OR4C5_HUMAN	tr|I3NC74|I3NC74_ICTTR
OG0000021	sp|A6NMZ5|O4C45_HUMAN	tr|I3N758|I3N758_ICTTR, tr|I3N1D2|I3N1D2_ICTTR
OG0000021	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A287CYY2|A0A287CYY2_ICTTR, tr|I3MSL8|I3MSL8_ICTTR, tr|I3NGG7|I3NGG7_ICTTR, tr|I3MS38|I3MS38_ICTTR, tr|I3N2X0|I3N2X0_ICTTR, tr|A0A287DBI8|A0A287DBI8_ICTTR, tr|I3N4Q8|I3N4Q8_ICTTR, tr|I3NGB2|I3NGB2_ICTTR, tr|I3NDX9|I3NDX9_ICTTR, tr|A0A287DEM9|A0A287DEM9_ICTTR, tr|A0A287CSM5|A0A287CSM5_ICTTR, tr|I3N3W5|I3N3W5_ICTTR, tr|A0A287DGB7|A0A287DGB7_ICTTR, tr|I3N693|I3N693_ICTTR, tr|A0A287DCS4|A0A287DCS4_ICTTR, tr|A0A287D4C8|A0A287D4C8_ICTTR, tr|A0A287D7T6|A0A287D7T6_ICTTR, tr|I3N7U6|I3N7U6_ICTTR
OG0000022	sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN	tr|A0A287D3P5|A0A287D3P5_ICTTR
OG0000023	sp|Q2WEN9|CEA16_HUMAN, sp|A8MTB9|CEA18_HUMAN, sp|Q7Z692|CEA19_HUMAN, sp|Q6UY09|CEA20_HUMAN, sp|Q3KPI0|CEA21_HUMAN, sp|P40198|CEAM3_HUMAN, sp|O75871|CEAM4_HUMAN, sp|Q14002|CEAM7_HUMAN, sp|P40199|CEAM6_HUMAN, sp|P13688|CEAM1_HUMAN, sp|P06731|CEAM5_HUMAN, sp|P31997|CEAM8_HUMAN, sp|P11465|PSG2_HUMAN, sp|Q9UQ72|PSG11_HUMAN, sp|Q15238|PSG5_HUMAN, sp|Q00889|PSG6_HUMAN, sp|Q00887|PSG9_HUMAN, sp|P11464|PSG1_HUMAN, sp|Q9UQ74|PSG8_HUMAN, sp|Q00888|PSG4_HUMAN, sp|Q13046|PSG7_HUMAN, sp|Q16557|PSG3_HUMAN	tr|I3NGL3|I3NGL3_ICTTR
OG0000024	sp|Q99880|H2B1L_HUMAN	tr|I3N8F0|I3N8F0_ICTTR
OG0000024	sp|Q99879|H2B1M_HUMAN, sp|P58876|H2B1D_HUMAN	tr|I3MUG9|I3MUG9_ICTTR
OG0000024	sp|Q99877|H2B1N_HUMAN, sp|P33778|H2B1B_HUMAN	tr|A0A287D2B9|A0A287D2B9_ICTTR
OG0000024	sp|P57053|H2BFS_HUMAN, sp|P0DW85|H2BN1_HUMAN	tr|I3N1N4|I3N1N4_ICTTR
OG0000024	sp|O60814|H2B1K_HUMAN	tr|I3MZB0|I3MZB0_ICTTR
OG0000024	sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|P23527|H2B1O_HUMAN, sp|Q16778|H2B2E_HUMAN	tr|I3NAA7|I3NAA7_ICTTR
OG0000027	sp|Q8NH73|OR4S2_HUMAN	tr|I3ND13|I3ND13_ICTTR, tr|I3MXG3|I3MXG3_ICTTR, tr|I3MYZ8|I3MYZ8_ICTTR
OG0000027	sp|Q8NGL7|OR4P4_HUMAN	tr|I3N3N4|I3N3N4_ICTTR, tr|I3MU65|I3MU65_ICTTR, tr|I3N5U5|I3N5U5_ICTTR, tr|I3N170|I3N170_ICTTR, tr|I3MJ96|I3MJ96_ICTTR, tr|I3N5N1|I3N5N1_ICTTR, tr|I3N6S0|I3N6S0_ICTTR, tr|I3N215|I3N215_ICTTR, tr|I3NEU4|I3NEU4_ICTTR, tr|A0A287CU75|A0A287CU75_ICTTR, tr|I3MXY9|I3MXY9_ICTTR, tr|I3N8F4|I3N8F4_ICTTR, tr|A0A287DB34|A0A287DB34_ICTTR, tr|A0A287D8R0|A0A287D8R0_ICTTR, tr|A0A287D6G9|A0A287D6G9_ICTTR, tr|I3ND76|I3ND76_ICTTR, tr|I3N7I2|I3N7I2_ICTTR
OG0000031	sp|Q86WZ6|ZN227_HUMAN	tr|I3M5W8|I3M5W8_ICTTR
OG0000031	sp|Q9UJU3|ZN112_HUMAN	tr|A0A287CVB6|A0A287CVB6_ICTTR
OG0000031	sp|Q14590|ZN235_HUMAN, sp|Q9NYT6|ZN226_HUMAN	tr|A0A287CYU7|A0A287CYU7_ICTTR
OG0000031	sp|Q9UJW7|ZN229_HUMAN, sp|Q96NJ3|ZN285_HUMAN, sp|Q14588|ZN234_HUMAN, sp|Q9UK12|ZN222_HUMAN, sp|Q9UK13|ZN221_HUMAN, sp|Q9UK11|ZN223_HUMAN, sp|Q9UIE0|ZN230_HUMAN, sp|Q12901|ZN155_HUMAN, sp|Q2VY69|ZN284_HUMAN, sp|Q9UK10|ZN225_HUMAN, sp|Q9NZL3|ZN224_HUMAN, sp|Q02386|ZNF45_HUMAN	tr|I3M7K4|I3M7K4_ICTTR
OG0000035	sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|P59533|T2R38_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN, sp|P59544|T2R50_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59541|T2R30_HUMAN	tr|I3N9D5|I3N9D5_ICTTR
OG0000036	sp|P19013|K2C4_HUMAN	tr|I3MYV8|I3MYV8_ICTTR
OG0000036	sp|P05787|K2C8_HUMAN	tr|I3M840|I3M840_ICTTR, tr|I3M820|I3M820_ICTTR, tr|I3M9X8|I3M9X8_ICTTR, tr|I3M806|I3M806_ICTTR, tr|I3MA58|I3MA58_ICTTR, tr|I3M7X5|I3M7X5_ICTTR, tr|I3MA76|I3MA76_ICTTR, tr|A0A287CUB5|A0A287CUB5_ICTTR, tr|A0A287DED5|A0A287DED5_ICTTR, tr|A0A287CVY0|A0A287CVY0_ICTTR, tr|I3LXE1|I3LXE1_ICTTR, tr|I3MJ79|I3MJ79_ICTTR, tr|I3MA46|I3MA46_ICTTR, tr|I3MKD9|I3MKD9_ICTTR, tr|I3N859|I3N859_ICTTR, tr|I3MVD0|I3MVD0_ICTTR, tr|I3ND60|I3ND60_ICTTR
OG0000039	sp|Q96KK5|H2A1H_HUMAN	tr|I3M9B7|I3M9B7_ICTTR
OG0000039	sp|Q99878|H2A1J_HUMAN	tr|I3MU77|I3MU77_ICTTR, tr|I3N7H2|I3N7H2_ICTTR
OG0000039	sp|Q96QV6|H2A1A_HUMAN	tr|I3MJV5|I3MJV5_ICTTR
OG0000039	sp|P0C0S8|H2A1_HUMAN	tr|I3MT31|I3MT31_ICTTR
OG0000039	sp|P20671|H2A1D_HUMAN, sp|P04908|H2A1B_HUMAN	tr|I3MZM1|I3MZM1_ICTTR
OG0000039	sp|Q6FI13|H2A2A_HUMAN	tr|I3NAV2|I3NAV2_ICTTR
OG0000039	sp|Q7L7L0|H2A3_HUMAN, sp|Q93077|H2A1C_HUMAN	tr|I3MGW7|I3MGW7_ICTTR
OG0000040	sp|P43363|MAGAA_HUMAN	tr|I3MW33|I3MW33_ICTTR
OG0000040	sp|A2A368|MAGBG_HUMAN	tr|I3MCD7|I3MCD7_ICTTR
OG0000040	sp|P43364|MAGAB_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN	tr|I3MN03|I3MN03_ICTTR
OG0000041	sp|Q5TZ20|OR2G6_HUMAN	tr|I3N1C0|I3N1C0_ICTTR
