Orthogroup	Homo_sapiens	Microcebus_murinus
OG0000005	tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P01764|HV323_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01780|HV307_HUMAN, sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P01782|HV309_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN	tr|A0A8C5Y9S1|A0A8C5Y9S1_MICMU, tr|A0A8C5Y581|A0A8C5Y581_MICMU
OG0000006	sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|P01602|KV105_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN	tr|A0A8C5VUP8|A0A8C5VUP8_MICMU
OG0000007	sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|Q8NHB1|OR2V1_HUMAN	tr|A0A8C5W0P3|A0A8C5W0P3_MICMU
OG0000008	sp|Q08379|GOGA2_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN	tr|A0A8C5VS57|A0A8C5VS57_MICMU
OG0000009	sp|Q92527|ANKR7_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q5JWF8|ACL10_HUMAN, sp|Q8TC94|ACTL9_HUMAN, sp|Q9Y614|ACL7B_HUMAN, sp|Q9Y615|ACL7A_HUMAN, sp|Q8TDY3|ACTT2_HUMAN, sp|Q8TDG2|ACTT1_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63267|ACTH_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P62736|ACTA_HUMAN	tr|A0A8C5XPP5|A0A8C5XPP5_MICMU
OG0000010	sp|Q9HCX3|ZN304_HUMAN	tr|A0A8C5VXE2|A0A8C5VXE2_MICMU
OG0000010	sp|Q13398|ZN211_HUMAN	tr|A0A8B7G988|A0A8B7G988_MICMU
OG0000010	sp|Q9Y2P7|ZN256_HUMAN, sp|Q13106|ZN154_HUMAN	tr|A0A8B7EPA8|A0A8B7EPA8_MICMU
OG0000010	sp|Q3SY52|ZIK1_HUMAN	tr|A0A8B7WUI4|A0A8B7WUI4_MICMU
OG0000010	sp|Q9BWM5|ZN416_HUMAN	tr|A0A8B7FFW8|A0A8B7FFW8_MICMU, tr|A0A8C5XVK7|A0A8C5XVK7_MICMU
OG0000010	sp|Q6P9A1|ZN530_HUMAN	tr|A0A8C5Y4Q5|A0A8C5Y4Q5_MICMU
OG0000010	sp|Q68DY9|ZN772_HUMAN	tr|A0A8C5VZZ0|A0A8C5VZZ0_MICMU
OG0000010	sp|Q8NEK5|ZN548_HUMAN	tr|A0A8C5YES6|A0A8C5YES6_MICMU
OG0000010	sp|O43361|ZN749_HUMAN, sp|P17021|ZNF17_HUMAN, sp|Q8IVP9|ZN547_HUMAN	tr|A0A8C5WAV6|A0A8C5WAV6_MICMU
OG0000011	sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A578|TVB51_HUMAN	tr|A0A8C5XJE5|A0A8C5XJE5_MICMU
OG0000013	sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59541|T2R30_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN, sp|P59544|T2R50_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|P59533|T2R38_HUMAN, sp|P59535|T2R40_HUMAN, sp|P59534|T2R39_HUMAN, sp|Q9NYW5|TA2R4_HUMAN, sp|Q9NYW7|TA2R1_HUMAN, sp|Q9NYV7|T2R16_HUMAN, sp|P59551|T2R60_HUMAN, sp|P59536|T2R41_HUMAN, sp|Q9NYW4|TA2R5_HUMAN	tr|A0A8C5XNZ7|A0A8C5XNZ7_MICMU
OG0000014	sp|Q9H7L2|KI3X1_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|P43631|KI2S2_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN	tr|A0A8C5XEQ2|A0A8C5XEQ2_MICMU
OG0000016	sp|D6RBM5|U17LN_HUMAN	tr|A0A8C5XMB3|A0A8C5XMB3_MICMU
OG0000016	sp|Q6QN14|U17L6_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q6R6M4|U17L2_HUMAN	tr|A0A8C5XYB8|A0A8C5XYB8_MICMU
OG0000017	sp|A1L429|GG12C_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|A6NGK3|GAG10_HUMAN, sp|O75459|PAGE1_HUMAN, sp|Q96GT9|XAGE2_HUMAN, sp|Q8WWM1|XAGE5_HUMAN, sp|Q8WTP9|XAGE3_HUMAN	tr|A0A8C5Y882|A0A8C5Y882_MICMU, tr|A0A8C5Y265|A0A8C5Y265_MICMU
OG0000018	sp|P19013|K2C4_HUMAN	tr|A0A8C5XB85|A0A8C5XB85_MICMU
OG0000018	sp|Q14CN4|K2C72_HUMAN	tr|A0A8C5UM81|A0A8C5UM81_MICMU
OG0000018	sp|Q7RTS7|K2C74_HUMAN	tr|A0A8C5XK54|A0A8C5XK54_MICMU
OG0000018	sp|Q3SY84|K2C71_HUMAN	tr|A0A8B7G856|A0A8B7G856_MICMU
OG0000018	sp|Q86Y46|K2C73_HUMAN	tr|A0A8C5UTK5|A0A8C5UTK5_MICMU
OG0000018	sp|Q7Z794|K2C1B_HUMAN	tr|A0A8C5UND9|A0A8C5UND9_MICMU, tr|A0A8C5UR56|A0A8C5UR56_MICMU, tr|A0A8C5UL28|A0A8C5UL28_MICMU
OG0000018	sp|Q5XKE5|K2C79_HUMAN	tr|A0A8B7G8J5|A0A8B7G8J5_MICMU
OG0000019	sp|A6NLX3|SPDE4_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD3|SPD14_HUMAN	tr|A0A8C5Y8E3|A0A8C5Y8E3_MICMU
OG0000022	sp|A6NL08|O6C75_HUMAN	tr|A0A8C5Y5S5|A0A8C5Y5S5_MICMU
OG0000022	sp|Q8NH79|OR6X1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|Q8N148|OR6V1_HUMAN, sp|Q8NH40|OR6S1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN	tr|A0A8C5VXJ3|A0A8C5VXJ3_MICMU
OG0000022	sp|Q8NGE2|O2AP1_HUMAN, sp|Q8NGE1|OR6C4_HUMAN	tr|A0A8B7FNS0|A0A8B7FNS0_MICMU
OG0000023	sp|Q96KK5|H2A1H_HUMAN	tr|A0A8C5UVD5|A0A8C5UVD5_MICMU
OG0000023	sp|Q7L7L0|H2A3_HUMAN	tr|A0A8C6EKS6|A0A8C6EKS6_MICMU
OG0000023	sp|Q93077|H2A1C_HUMAN	tr|A0A8B7ERD5|A0A8B7ERD5_MICMU
OG0000023	sp|Q6FI13|H2A2A_HUMAN	tr|A0A8B7FLG8|A0A8B7FLG8_MICMU
OG0000023	sp|P04908|H2A1B_HUMAN	tr|A0A8C5YBL7|A0A8C5YBL7_MICMU
OG0000023	sp|P20671|H2A1D_HUMAN	tr|A0A8B7ER28|A0A8B7ER28_MICMU
OG0000023	sp|P0C0S8|H2A1_HUMAN	tr|A0A8C5XTV1|A0A8C5XTV1_MICMU
OG0000024	sp|Q5JQS5|OR2BB_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN, sp|O76000|OR2B3_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN	tr|A0A8C6EJY8|A0A8C6EJY8_MICMU
OG0000026	sp|P06331|HV434_HUMAN, sp|P01825|HV459_HUMAN, sp|A0A0C4DH41|HV461_HUMAN, tr|A0A0J9YWU9|A0A0J9YWU9_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P0DP07|HV431_HUMAN, sp|A0A087WSY4|HV432_HUMAN, sp|P01824|HV439_HUMAN, sp|A0A0C4DH34|HV428_HUMAN, sp|A0A075B6R2|HV404_HUMAN, tr|A0A087WW49|A0A087WW49_HUMAN, tr|A0A075B7B6|A0A075B7B6_HUMAN, sp|P0DP08|HVD82_HUMAN, tr|A0A0B4J2B6|A0A0B4J2B6_HUMAN, sp|A0A0B4J1V2|HV226_HUMAN, sp|A0A0C4DH43|HV70D_HUMAN, sp|P01814|HV270_HUMAN, sp|P01817|HV205_HUMAN, sp|A0A0B4J1U7|HV601_HUMAN	tr|A0A8C5Y4A2|A0A8C5Y4A2_MICMU
OG0000028	sp|P09651|ROA1_HUMAN	tr|A0A8C5VMJ7|A0A8C5VMJ7_MICMU
OG0000028	sp|A0A2R8Y4L2|RA1L3_HUMAN	tr|A0A8C5VB39|A0A8C5VB39_MICMU, tr|A0A8C5VFY0|A0A8C5VFY0_MICMU
OG0000028	sp|Q32P51|RA1L2_HUMAN	tr|A0A8C5XGJ0|A0A8C5XGJ0_MICMU, tr|A0A8C5W729|A0A8C5W729_MICMU, tr|A0A8C5Y7B2|A0A8C5Y7B2_MICMU
OG0000028	sp|P51991|ROA3_HUMAN	tr|A0A8C5YF66|A0A8C5YF66_MICMU, tr|A0A8C5VEB6|A0A8C5VEB6_MICMU, tr|A0A8C5YDU2|A0A8C5YDU2_MICMU, tr|A0A8C5W1V7|A0A8C5W1V7_MICMU, tr|A0A8C6EDF9|A0A8C6EDF9_MICMU
OG0000028	sp|Q13151|ROA0_HUMAN	tr|A0A8C5VSG3|A0A8C5VSG3_MICMU, tr|A0A8C5VZ29|A0A8C5VZ29_MICMU
OG0000029	sp|Q99677|LPAR4_HUMAN, sp|P43657|LPAR6_HUMAN, sp|O00398|P2Y10_HUMAN, sp|Q9BXC1|GP174_HUMAN, sp|Q9H1C0|LPAR5_HUMAN, sp|Q9HC97|GPR35_HUMAN, sp|Q9Y2T6|GPR55_HUMAN, sp|Q99678|GPR20_HUMAN, sp|P32249|GP183_HUMAN, sp|Q9NS75|CLTR2_HUMAN, sp|Q9Y271|CLTR1_HUMAN, sp|Q13304|GPR17_HUMAN, sp|Q14330|GPR18_HUMAN, sp|O00270|GPR31_HUMAN, sp|Q8TDS4|HCAR2_HUMAN, sp|P49019|HCAR3_HUMAN, sp|Q9BXC0|HCAR1_HUMAN, sp|Q8TDS5|OXER1_HUMAN	tr|A0A8B7FPQ3|A0A8B7FPQ3_MICMU
