Orthogroup	Homo_sapiens	Marmota_monax
OG0000010	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A5E4CJB1|A0A5E4CJB1_MARMO, tr|A0A5E4CJJ9|A0A5E4CJJ9_MARMO, tr|A0A5E4CIA1|A0A5E4CIA1_MARMO
OG0000010	sp|Q8NH63|O51H1_HUMAN	tr|A0A5E4CPL0|A0A5E4CPL0_MARMO, tr|A0A5E4CPX4|A0A5E4CPX4_MARMO, tr|A0A5E4CUK9|A0A5E4CUK9_MARMO, tr|A0A5E4CGW0|A0A5E4CGW0_MARMO, tr|A0A5E4CGK6|A0A5E4CGK6_MARMO, tr|A0A5E4CRQ5|A0A5E4CRQ5_MARMO, tr|A0A5E4CJI8|A0A5E4CJI8_MARMO, tr|A0A5E4CJA1|A0A5E4CJA1_MARMO
OG0000010	sp|Q8NH59|O51Q1_HUMAN	tr|A0A5E4CPW0|A0A5E4CPW0_MARMO, tr|A0A5E4CWK5|A0A5E4CWK5_MARMO
OG0000010	sp|Q9H342|O51J1_HUMAN	tr|A0A5E4CWI6|A0A5E4CWI6_MARMO, tr|A0A5E4CWM3|A0A5E4CWM3_MARMO
OG0000014	sp|Q96R67|OR4CC_HUMAN	tr|A0A5E4CYS0|A0A5E4CYS0_MARMO
OG0000014	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A5E4CYL3|A0A5E4CYL3_MARMO, tr|A0A5E4D166|A0A5E4D166_MARMO, tr|A0A5E4CYK2|A0A5E4CYK2_MARMO, tr|A0A5E4CAJ6|A0A5E4CAJ6_MARMO, tr|A0A5E4D116|A0A5E4D116_MARMO, tr|A0A5E4CAV1|A0A5E4CAV1_MARMO, tr|A0A5E4D0B2|A0A5E4D0B2_MARMO, tr|A0A5E4D165|A0A5E4D165_MARMO, tr|A0A5E4D5Y3|A0A5E4D5Y3_MARMO, tr|A0A5E4D5H9|A0A5E4D5H9_MARMO, tr|A0A5E4CT56|A0A5E4CT56_MARMO, tr|A0A5E4DD24|A0A5E4DD24_MARMO, tr|A0A5E4D5C0|A0A5E4D5C0_MARMO, tr|A0A5E4CYS6|A0A5E4CYS6_MARMO, tr|A0A5E4CYQ6|A0A5E4CYQ6_MARMO, tr|A0A5E4DDJ7|A0A5E4DDJ7_MARMO, tr|A0A5E4DBH8|A0A5E4DBH8_MARMO, tr|A0A5E4D3M4|A0A5E4D3M4_MARMO, tr|A0A5E4D366|A0A5E4D366_MARMO, tr|A0A5E4D9W3|A0A5E4D9W3_MARMO, tr|A0A5E4D3F3|A0A5E4D3F3_MARMO, tr|A0A5E4D4L6|A0A5E4D4L6_MARMO, tr|A0A5E4D6Y9|A0A5E4D6Y9_MARMO, tr|A0A5E4D8A1|A0A5E4D8A1_MARMO, tr|A0A5E4CAI5|A0A5E4CAI5_MARMO, tr|A0A5E4CAT8|A0A5E4CAT8_MARMO, tr|A0A5E4D5Y4|A0A5E4D5Y4_MARMO, tr|A0A5E4D8V9|A0A5E4D8V9_MARMO, tr|A0A5E4D9D3|A0A5E4D9D3_MARMO, tr|A0A5E4D6Z8|A0A5E4D6Z8_MARMO, tr|A0A5E4DB56|A0A5E4DB56_MARMO, tr|A0A5E4CB80|A0A5E4CB80_MARMO, tr|A0A5E4D608|A0A5E4D608_MARMO, tr|A0A5E4D325|A0A5E4D325_MARMO, tr|A0A5E4CB57|A0A5E4CB57_MARMO
OG0000018	sp|Q8NH55|O52E5_HUMAN	tr|A0A5E4CJ53|A0A5E4CJ53_MARMO, tr|A0A5E4AXT8|A0A5E4AXT8_MARMO, tr|A0A5E4D8S5|A0A5E4D8S5_MARMO
OG0000018	sp|Q8NH57|O52P1_HUMAN	tr|A0A5E4CLR5|A0A5E4CLR5_MARMO, tr|A0A5E4D9E3|A0A5E4D9E3_MARMO
OG0000018	sp|Q8NGK5|O52M1_HUMAN	tr|A0A5E4CRB5|A0A5E4CRB5_MARMO, tr|A0A5E4CPW4|A0A5E4CPW4_MARMO, tr|A0A5E4CPK0|A0A5E4CPK0_MARMO, tr|A0A5E4CPW5|A0A5E4CPW5_MARMO, tr|A0A5E4DFP1|A0A5E4DFP1_MARMO, tr|A0A5E4CW11|A0A5E4CW11_MARMO, tr|A0A5E4CJB9|A0A5E4CJB9_MARMO
OG0000018	sp|Q8NGF1|O52R1_HUMAN	tr|A0A5E4CI81|A0A5E4CI81_MARMO, tr|A0A5E4CGL6|A0A5E4CGL6_MARMO, tr|A0A5E4DJM4|A0A5E4DJM4_MARMO, tr|A0A5E4CGW7|A0A5E4CGW7_MARMO, tr|A0A5E4CGM5|A0A5E4CGM5_MARMO
OG0000018	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A5E4CJ91|A0A5E4CJ91_MARMO, tr|A0A5E4CS13|A0A5E4CS13_MARMO, tr|A0A5E4CJH8|A0A5E4CJH8_MARMO
OG0000019	sp|Q96RC9|OR8B4_HUMAN	tr|A0A5E4D7F6|A0A5E4D7F6_MARMO, tr|A0A5E4D7P3|A0A5E4D7P3_MARMO, tr|A0A5E4D841|A0A5E4D841_MARMO, tr|A0A5E4D3D1|A0A5E4D3D1_MARMO, tr|A0A5E4D8S8|A0A5E4D8S8_MARMO, tr|A0A5E4D8A5|A0A5E4D8A5_MARMO, tr|A0A5E4DCH2|A0A5E4DCH2_MARMO, tr|A0A5E4D3Q4|A0A5E4D3Q4_MARMO, tr|A0A5E4D640|A0A5E4D640_MARMO, tr|A0A5E4D4N3|A0A5E4D4N3_MARMO, tr|A0A5E4CU95|A0A5E4CU95_MARMO, tr|A0A5E4CN79|A0A5E4CN79_MARMO, tr|A0A5E4D8W3|A0A5E4D8W3_MARMO, tr|A0A5E4D7F7|A0A5E4D7F7_MARMO, tr|A0A5E4D720|A0A5E4D720_MARMO, tr|A0A5E4DBG5|A0A5E4DBG5_MARMO, tr|A0A5E4DBY9|A0A5E4DBY9_MARMO, tr|A0A5E4CU78|A0A5E4CU78_MARMO, tr|A0A5E4CWP8|A0A5E4CWP8_MARMO, tr|A0A5E4CV20|A0A5E4CV20_MARMO, tr|A0A5E4CSL7|A0A5E4CSL7_MARMO, tr|A0A5E4CWE8|A0A5E4CWE8_MARMO, tr|A0A5E4DDL3|A0A5E4DDL3_MARMO, tr|A0A5E4CVD2|A0A5E4CVD2_MARMO, tr|A0A5E4CSX8|A0A5E4CSX8_MARMO, tr|A0A5E4CSV3|A0A5E4CSV3_MARMO, tr|A0A5E4CU88|A0A5E4CU88_MARMO, tr|A0A5E4CU75|A0A5E4CU75_MARMO, tr|A0A5E4CSX5|A0A5E4CSX5_MARMO, tr|A0A5E4CWN9|A0A5E4CWN9_MARMO, tr|A0A5E4CSW7|A0A5E4CSW7_MARMO, tr|A0A5E4CU69|A0A5E4CU69_MARMO
OG0000020	sp|Q3KQV3|ZN792_HUMAN	tr|A0A5E4AFY9|A0A5E4AFY9_MARMO
OG0000020	sp|Q9HCX3|ZN304_HUMAN	tr|A0A5E4D5U5|A0A5E4D5U5_MARMO
OG0000020	sp|Q3SY52|ZIK1_HUMAN	tr|A0A5E4CP34|A0A5E4CP34_MARMO
OG0000020	sp|Q9BWM5|ZN416_HUMAN	tr|A0A5E4CP50|A0A5E4CP50_MARMO
OG0000020	sp|Q9NXT0|ZN586_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13106|ZN154_HUMAN	tr|A0A5E4CP43|A0A5E4CP43_MARMO
OG0000020	sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN	tr|A0A5E4D4G3|A0A5E4D4G3_MARMO
OG0000020	sp|P52740|ZN132_HUMAN, sp|Q6P9A3|ZN549_HUMAN	tr|A0A5E4CNT3|A0A5E4CNT3_MARMO
OG0000022	sp|Q63HN8|RN213_HUMAN	tr|A0A5E4D439|A0A5E4D439_MARMO, tr|A0A5E4CZH9|A0A5E4CZH9_MARMO, tr|A0A5E4BZY2|A0A5E4BZY2_MARMO, tr|A0A5E4CIE2|A0A5E4CIE2_MARMO, tr|A0A5E4CM77|A0A5E4CM77_MARMO, tr|A0A5E4CYD8|A0A5E4CYD8_MARMO, tr|A0A5E4CLX6|A0A5E4CLX6_MARMO, tr|A0A5E4D8F8|A0A5E4D8F8_MARMO, tr|A0A5E4BCJ8|A0A5E4BCJ8_MARMO, tr|A0A5E4AKM2|A0A5E4AKM2_MARMO, tr|A0A5E4BX07|A0A5E4BX07_MARMO, tr|A0A5E4D5R3|A0A5E4D5R3_MARMO, tr|A0A5E4BY28|A0A5E4BY28_MARMO, tr|A0A5E4D4F4|A0A5E4D4F4_MARMO, tr|A0A5E4CJE9|A0A5E4CJE9_MARMO, tr|A0A5E4AFP7|A0A5E4AFP7_MARMO, tr|A0A5E4CM46|A0A5E4CM46_MARMO, tr|A0A5E4BCF1|A0A5E4BCF1_MARMO, tr|A0A5E4CJ83|A0A5E4CJ83_MARMO, tr|A0A5E4BYU4|A0A5E4BYU4_MARMO, tr|A0A5E4DBH5|A0A5E4DBH5_MARMO, tr|A0A5E4CPL6|A0A5E4CPL6_MARMO, tr|A0A5E4CY92|A0A5E4CY92_MARMO, tr|A0A5E4D0U8|A0A5E4D0U8_MARMO, tr|A0A5E4BRD9|A0A5E4BRD9_MARMO, tr|A0A5E4BX41|A0A5E4BX41_MARMO, tr|A0A5E4BXG6|A0A5E4BXG6_MARMO, tr|A0A5E4D465|A0A5E4D465_MARMO, tr|A0A5E4BX21|A0A5E4BX21_MARMO
OG0000024	sp|Q8NGH3|OR2D3_HUMAN	tr|A0A5E4D3U5|A0A5E4D3U5_MARMO, tr|A0A5E4D2R2|A0A5E4D2R2_MARMO, tr|A0A5E4D2D4|A0A5E4D2D4_MARMO, tr|A0A5E4D2F0|A0A5E4D2F0_MARMO, tr|A0A5E4AVF5|A0A5E4AVF5_MARMO, tr|A0A5E4AVU7|A0A5E4AVU7_MARMO, tr|A0A5E4AWC8|A0A5E4AWC8_MARMO, tr|A0A5E4DHH2|A0A5E4DHH2_MARMO, tr|A0A5E4AVP8|A0A5E4AVP8_MARMO, tr|A0A5E4ATR4|A0A5E4ATR4_MARMO, tr|A0A5E4AUL9|A0A5E4AUL9_MARMO, tr|A0A5E4AU55|A0A5E4AU55_MARMO, tr|A0A5E4CVA0|A0A5E4CVA0_MARMO, tr|A0A5E4C478|A0A5E4C478_MARMO, tr|A0A5E4BDJ7|A0A5E4BDJ7_MARMO, tr|A0A5E4CLT2|A0A5E4CLT2_MARMO, tr|A0A5E4CJY1|A0A5E4CJY1_MARMO, tr|A0A5E4CLU5|A0A5E4CLU5_MARMO, tr|A0A5E4CMT6|A0A5E4CMT6_MARMO, tr|A0A5E4B028|A0A5E4B028_MARMO, tr|A0A5E4B1R7|A0A5E4B1R7_MARMO, tr|A0A5E4AZW7|A0A5E4AZW7_MARMO, tr|A0A5E4B0X0|A0A5E4B0X0_MARMO, tr|A0A5E4B013|A0A5E4B013_MARMO, tr|A0A5E4B2N0|A0A5E4B2N0_MARMO, tr|A0A5E4B1T2|A0A5E4B1T2_MARMO, tr|A0A5E4AZW2|A0A5E4AZW2_MARMO, tr|A0A5E4B2Y6|A0A5E4B2Y6_MARMO
OG0000030	sp|Q969W8|ZN566_HUMAN	tr|A0A5E4AEH6|A0A5E4AEH6_MARMO
OG0000030	sp|Q8N141|ZFP82_HUMAN	tr|A0A5E4AGW6|A0A5E4AGW6_MARMO
OG0000030	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A5E4AFY8|A0A5E4AFY8_MARMO
OG0000030	sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q8NDQ6|ZN540_HUMAN	tr|A0A5E4AG13|A0A5E4AG13_MARMO
OG0000030	sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN	tr|A0A5E4D9Y2|A0A5E4D9Y2_MARMO
OG0000030	sp|Q9NQX6|ZN331_HUMAN, sp|Q8TAQ5|ZN420_HUMAN, sp|Q7Z3V5|ZN571_HUMAN	tr|A0A5E4AGJ3|A0A5E4AGJ3_MARMO, tr|A0A5E4AFJ1|A0A5E4AFJ1_MARMO, tr|A0A5E4BXY5|A0A5E4BXY5_MARMO
OG0000030	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A5E4AFP3|A0A5E4AFP3_MARMO
OG0000035	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN	tr|A0A5E4CU01|A0A5E4CU01_MARMO
OG0000037	sp|P56730|NETR_HUMAN	tr|A0A5E4CXZ1|A0A5E4CXZ1_MARMO
OG0000037	sp|A1L4H1|SRCRL_HUMAN	tr|A0A5E4CFV4|A0A5E4CFV4_MARMO
OG0000037	sp|Q8WTU2|SRB4D_HUMAN	tr|A0A5E4C0S6|A0A5E4C0S6_MARMO, tr|A0A5E4C0M2|A0A5E4C0M2_MARMO, tr|A0A5E4BZ52|A0A5E4BZ52_MARMO, tr|A0A5E4AIQ6|A0A5E4AIQ6_MARMO
OG0000042	sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|P59533|T2R38_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|P59544|T2R50_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59541|T2R30_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59540|T2R46_HUMAN	tr|A0A5E4C007|A0A5E4C007_MARMO
OG0000045	sp|Q6ZR08|DYH12_HUMAN	tr|A0A5E4B7G0|A0A5E4B7G0_MARMO
OG0000045	sp|Q9C0G6|DYH6_HUMAN	tr|A0A5E4AX38|A0A5E4AX38_MARMO, tr|A0A5E4AWU3|A0A5E4AWU3_MARMO, tr|A0A5E4AW94|A0A5E4AW94_MARMO
OG0000045	sp|Q0VDD8|DYH14_HUMAN	tr|A0A5E4AIU5|A0A5E4AIU5_MARMO, tr|A0A5E4ANP3|A0A5E4ANP3_MARMO, tr|A0A5E4APV3|A0A5E4APV3_MARMO, tr|A0A5E4AQM1|A0A5E4AQM1_MARMO, tr|A0A5E4AQG0|A0A5E4AQG0_MARMO
OG0000045	sp|Q9P225|DYH2_HUMAN	tr|A0A5E4BB19|A0A5E4BB19_MARMO
OG0000045	sp|Q9P2D7|DYH1_HUMAN	tr|A0A5E4BVG6|A0A5E4BVG6_MARMO
