Orthogroup	Homo_sapiens	Nyctereutes_procyonoides
OG0000009	sp|P35908|K22E_HUMAN	tr|A0A811YVB7|A0A811YVB7_NYCPR
OG0000009	sp|Q5XKE5|K2C79_HUMAN	tr|A0A811YVC7|A0A811YVC7_NYCPR
OG0000009	sp|O95678|K2C75_HUMAN	tr|A0A811YY13|A0A811YY13_NYCPR
OG0000009	sp|P04259|K2C6B_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P02538|K2C6A_HUMAN	tr|A0A811YYQ4|A0A811YYQ4_NYCPR, tr|A0A811YVM0|A0A811YVM0_NYCPR
OG0000009	sp|P13647|K2C5_HUMAN	tr|A0A811YW08|A0A811YW08_NYCPR
OG0000009	sp|P08729|K2C7_HUMAN	tr|A0A811Z270|A0A811Z270_NYCPR, tr|A0A812A064|A0A812A064_NYCPR, tr|A0A811YV96|A0A811YV96_NYCPR
OG0000009	sp|P12035|K2C3_HUMAN, sp|Q01546|K22O_HUMAN	tr|A0A811YW18|A0A811YW18_NYCPR, tr|A0A811YVN0|A0A811YVN0_NYCPR, tr|A0A811YYD9|A0A811YYD9_NYCPR, tr|A0A811YYS5|A0A811YYS5_NYCPR
OG0000010	sp|Q9H342|O51J1_HUMAN	tr|A0A811Y2B3|A0A811Y2B3_NYCPR
OG0000010	sp|Q9H344|O51I2_HUMAN	tr|A0A811Y292|A0A811Y292_NYCPR, tr|A0A811Y7V8|A0A811Y7V8_NYCPR
OG0000010	sp|Q9H343|O51I1_HUMAN	tr|A0A811Y683|A0A811Y683_NYCPR, tr|A0A811Y247|A0A811Y247_NYCPR, tr|A0A811YBM4|A0A811YBM4_NYCPR, tr|A0A811Y410|A0A811Y410_NYCPR
OG0000010	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A811Y705|A0A811Y705_NYCPR, tr|A0A811Y9I6|A0A811Y9I6_NYCPR, tr|A0A811YAZ7|A0A811YAZ7_NYCPR
OG0000010	sp|Q8NH59|O51Q1_HUMAN	tr|A0A811Y7J7|A0A811Y7J7_NYCPR, tr|A0A811YBV8|A0A811YBV8_NYCPR, tr|A0A811Y8E7|A0A811Y8E7_NYCPR, tr|A0A811Y3T1|A0A811Y3T1_NYCPR, tr|A0A811Y4X7|A0A811Y4X7_NYCPR, tr|A0A811Y4D5|A0A811Y4D5_NYCPR
OG0000010	sp|Q8NH63|O51H1_HUMAN	tr|A0A811YBT3|A0A811YBT3_NYCPR, tr|A0A811Y6E0|A0A811Y6E0_NYCPR, tr|A0A811Y2A8|A0A811Y2A8_NYCPR, tr|A0A811Y8F7|A0A811Y8F7_NYCPR, tr|A0A811Y464|A0A811Y464_NYCPR, tr|A0A811Y2E1|A0A811Y2E1_NYCPR, tr|A0A811YBX3|A0A811YBX3_NYCPR, tr|A0A811Y2J5|A0A811Y2J5_NYCPR, tr|A0A811Y2F0|A0A811Y2F0_NYCPR
OG0000011	sp|B2RD01|CENP1_HUMAN	tr|A0A811ZKR8|A0A811ZKR8_NYCPR
OG0000011	sp|Q96MW7|TIGD1_HUMAN	tr|A0A811ZU43|A0A811ZU43_NYCPR, tr|A0A811Z2U1|A0A811Z2U1_NYCPR, tr|A0A811ZKC8|A0A811ZKC8_NYCPR, tr|A0A811ZGY4|A0A811ZGY4_NYCPR, tr|A0A811Z399|A0A811Z399_NYCPR, tr|A0A811YEG1|A0A811YEG1_NYCPR, tr|A0A811ZCW6|A0A811ZCW6_NYCPR, tr|A0A811Z5R5|A0A811Z5R5_NYCPR, tr|A0A811Y970|A0A811Y970_NYCPR, tr|A0A811Z411|A0A811Z411_NYCPR, tr|A0A811YW37|A0A811YW37_NYCPR, tr|A0A811YXE8|A0A811YXE8_NYCPR, tr|A0A811XWS7|A0A811XWS7_NYCPR, tr|A0A811Y209|A0A811Y209_NYCPR, tr|A0A811ZE71|A0A811ZE71_NYCPR, tr|A0A811Z5L3|A0A811Z5L3_NYCPR, tr|A0A811YGU8|A0A811YGU8_NYCPR, tr|A0A811ZH21|A0A811ZH21_NYCPR, tr|A0A811ZQA9|A0A811ZQA9_NYCPR, tr|A0A811ZEB7|A0A811ZEB7_NYCPR, tr|A0A811YTZ9|A0A811YTZ9_NYCPR, tr|A0A811YEJ8|A0A811YEJ8_NYCPR, tr|A0A811ZH29|A0A811ZH29_NYCPR, tr|A0A811YDQ3|A0A811YDQ3_NYCPR, tr|A0A811Y0D7|A0A811Y0D7_NYCPR, tr|A0A811Z2S7|A0A811Z2S7_NYCPR, tr|A0A811Z8P5|A0A811Z8P5_NYCPR, tr|A0A811ZF94|A0A811ZF94_NYCPR, tr|A0A811Y7X5|A0A811Y7X5_NYCPR, tr|A0A811Y5G6|A0A811Y5G6_NYCPR, tr|A0A811ZNH9|A0A811ZNH9_NYCPR, tr|A0A811YWE5|A0A811YWE5_NYCPR
OG0000012	sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN	tr|A0A811Z414|A0A811Z414_NYCPR
OG0000012	sp|Q8NG98|OR7D4_HUMAN	tr|A0A811ZAA4|A0A811ZAA4_NYCPR, tr|A0A811ZA97|A0A811ZA97_NYCPR
OG0000012	sp|Q96RA2|OR7D2_HUMAN	tr|A0A811ZAB0|A0A811ZAB0_NYCPR
OG0000012	sp|O14581|OR7AH_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|O60412|OR7C2_HUMAN, sp|O76099|OR7C1_HUMAN	tr|A0A811Z9S4|A0A811Z9S4_NYCPR, tr|A0A811Z9R8|A0A811Z9R8_NYCPR, tr|A0A811Z9Q9|A0A811Z9Q9_NYCPR
OG0000012	sp|Q15619|OR1C1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN	tr|A0A811Z5C7|A0A811Z5C7_NYCPR
OG0000013	sp|O75368|SH3L1_HUMAN	tr|A0A811Z4F5|A0A811Z4F5_NYCPR, tr|A0A811Y572|A0A811Y572_NYCPR, tr|A0A811ZIK8|A0A811ZIK8_NYCPR, tr|A0A811YU22|A0A811YU22_NYCPR, tr|A0A811YAG5|A0A811YAG5_NYCPR, tr|A0A811Y322|A0A811Y322_NYCPR, tr|A0A811ZG51|A0A811ZG51_NYCPR, tr|A0A811Y8A8|A0A811Y8A8_NYCPR, tr|A0A811ZN25|A0A811ZN25_NYCPR, tr|A0A811ZH75|A0A811ZH75_NYCPR, tr|A0A811ZBB3|A0A811ZBB3_NYCPR, tr|A0A811YEC7|A0A811YEC7_NYCPR, tr|A0A811YFJ7|A0A811YFJ7_NYCPR, tr|A0A811YKC1|A0A811YKC1_NYCPR, tr|A0A811ZEF5|A0A811ZEF5_NYCPR, tr|A0A811YF34|A0A811YF34_NYCPR, tr|A0A811Z8X1|A0A811Z8X1_NYCPR, tr|A0A811YF35|A0A811YF35_NYCPR, tr|A0A811ZFT5|A0A811ZFT5_NYCPR, tr|A0A811Z0H9|A0A811Z0H9_NYCPR, tr|A0A811ZHB1|A0A811ZHB1_NYCPR, tr|A0A811Z6C0|A0A811Z6C0_NYCPR, tr|A0A811Z4K0|A0A811Z4K0_NYCPR, tr|A0A811ZT13|A0A811ZT13_NYCPR, tr|A0A811YAD8|A0A811YAD8_NYCPR, tr|A0A811ZZQ9|A0A811ZZQ9_NYCPR, tr|A0A811ZJX9|A0A811ZJX9_NYCPR, tr|A0A811YZQ6|A0A811YZQ6_NYCPR, tr|A0A811YS82|A0A811YS82_NYCPR, tr|A0A811ZI95|A0A811ZI95_NYCPR
OG0000018	sp|Q6ZN92|DUTL_HUMAN	tr|A0A811XXP2|A0A811XXP2_NYCPR, tr|A0A811YC50|A0A811YC50_NYCPR, tr|A0A811XZT5|A0A811XZT5_NYCPR, tr|A0A811YZP5|A0A811YZP5_NYCPR, tr|A0A811XVD4|A0A811XVD4_NYCPR, tr|A0A811ZGJ2|A0A811ZGJ2_NYCPR, tr|A0A811Z041|A0A811Z041_NYCPR, tr|A0A811ZP75|A0A811ZP75_NYCPR, tr|A0A811Z005|A0A811Z005_NYCPR, tr|A0A811ZE34|A0A811ZE34_NYCPR, tr|A0A811ZYF7|A0A811ZYF7_NYCPR, tr|A0A811Z4X0|A0A811Z4X0_NYCPR, tr|A0A811Y3H2|A0A811Y3H2_NYCPR, tr|A0A811ZC68|A0A811ZC68_NYCPR, tr|A0A811ZNY6|A0A811ZNY6_NYCPR, tr|A0A811YF39|A0A811YF39_NYCPR, tr|A0A811ZI82|A0A811ZI82_NYCPR, tr|A0A811YM53|A0A811YM53_NYCPR, tr|A0A811ZIA6|A0A811ZIA6_NYCPR, tr|A0A811ZLJ0|A0A811ZLJ0_NYCPR, tr|A0A811YP09|A0A811YP09_NYCPR, tr|A0A811ZP73|A0A811ZP73_NYCPR, tr|A0A811XTG1|A0A811XTG1_NYCPR, tr|A0A811Z6F0|A0A811Z6F0_NYCPR, tr|A0A811ZY27|A0A811ZY27_NYCPR, tr|A0A811ZLS3|A0A811ZLS3_NYCPR, tr|A0A811Z000|A0A811Z000_NYCPR
OG0000019	sp|A2A368|MAGBG_HUMAN	tr|A0A811YW92|A0A811YW92_NYCPR
OG0000019	sp|P43364|MAGAB_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43363|MAGAA_HUMAN, sp|A6NCF6|MA13P_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|Q96M61|MAGBI_HUMAN, sp|Q96LZ2|MAGBA_HUMAN, tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|Q8N7X4|MAGB6_HUMAN, sp|O15479|MAGB2_HUMAN, sp|O15481|MAGB4_HUMAN, sp|P43366|MAGB1_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|O15480|MAGB3_HUMAN	tr|A0A811Z522|A0A811Z522_NYCPR
OG0000021	sp|A6NGN4|PRA25_HUMAN, sp|H0Y7S4|PRA26_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|O60810|PRAM4_HUMAN, sp|O60813|PRA11_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|A3QJZ7|PRA27_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VT98|PRA20_HUMAN, sp|Q5VXH5|PRAM7_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|O95522|PRA12_HUMAN, sp|Q5VTA0|PRA17_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN, sp|O60809|PRA10_HUMAN, sp|Q5SWL8|PRA19_HUMAN, sp|Q5VWM3|PRA18_HUMAN, sp|A3QJZ6|PRA22_HUMAN, sp|O60811|PRAM2_HUMAN, sp|Q5VWM6|PRA13_HUMAN, sp|Q5SWL7|PRA14_HUMAN, sp|O95521|PRAM1_HUMAN	tr|A0A811Y967|A0A811Y967_NYCPR
OG0000021	sp|P78395|PRAME_HUMAN	tr|A0A811YFL3|A0A811YFL3_NYCPR
OG0000022	sp|P08865|RSSA_HUMAN	tr|A0A811YD30|A0A811YD30_NYCPR, tr|A0A811YXE3|A0A811YXE3_NYCPR, tr|A0A811Y8B7|A0A811Y8B7_NYCPR
OG0000022	tr|A0A8I5KQE6|A0A8I5KQE6_HUMAN	tr|A0A811YPT1|A0A811YPT1_NYCPR, tr|A0A811ZQX9|A0A811ZQX9_NYCPR, tr|A0A811ZBF9|A0A811ZBF9_NYCPR, tr|A0A811Y0R2|A0A811Y0R2_NYCPR, tr|A0A811ZXE7|A0A811ZXE7_NYCPR, tr|A0A811XZ55|A0A811XZ55_NYCPR, tr|A0A811YLB7|A0A811YLB7_NYCPR, tr|A0A811ZC74|A0A811ZC74_NYCPR, tr|A0A811YHT7|A0A811YHT7_NYCPR, tr|A0A811Z478|A0A811Z478_NYCPR, tr|A0A811YGL9|A0A811YGL9_NYCPR, tr|A0A811YAG0|A0A811YAG0_NYCPR, tr|A0A811Z7P1|A0A811Z7P1_NYCPR, tr|A0A811YU00|A0A811YU00_NYCPR, tr|A0A811YWF5|A0A811YWF5_NYCPR, tr|A0A811YMS5|A0A811YMS5_NYCPR, tr|A0A811ZED7|A0A811ZED7_NYCPR, tr|A0A811Y7Z7|A0A811Y7Z7_NYCPR, tr|A0A811YRI6|A0A811YRI6_NYCPR, tr|A0A811YBB1|A0A811YBB1_NYCPR, tr|A0A811Z078|A0A811Z078_NYCPR, tr|A0A811XX19|A0A811XX19_NYCPR
OG0000025	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A811XUI8|A0A811XUI8_NYCPR
OG0000025	sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|P59922|OR2B8_HUMAN	tr|A0A811YGZ3|A0A811YGZ3_NYCPR
OG0000025	sp|Q9Y3N9|OR2W1_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|O76001|OR2J3_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|Q8N628|OR2C3_HUMAN	tr|A0A811XS37|A0A811XS37_NYCPR
OG0000025	sp|O76000|OR2B3_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN	tr|A0A811Y9I2|A0A811Y9I2_NYCPR
OG0000027	sp|Q15973|ZN124_HUMAN	tr|A0A811ZAV3|A0A811ZAV3_NYCPR, tr|A0A811Z0H7|A0A811Z0H7_NYCPR, tr|A0A811ZA22|A0A811ZA22_NYCPR, tr|A0A811ZA05|A0A811ZA05_NYCPR
OG0000027	sp|Q8IZ26|ZNF34_HUMAN	tr|A0A811ZY16|A0A811ZY16_NYCPR
OG0000027	sp|P15622|ZN250_HUMAN	tr|A0A812A027|A0A812A027_NYCPR
OG0000027	sp|P17020|ZNF16_HUMAN	tr|A0A811ZT83|A0A811ZT83_NYCPR, tr|A0A811ZZW7|A0A811ZZW7_NYCPR
OG0000027	sp|Q7Z3V5|ZN571_HUMAN	tr|A0A811ZVT6|A0A811ZVT6_NYCPR
OG0000027	sp|Q6PG37|ZN790_HUMAN	tr|A0A811ZVP1|A0A811ZVP1_NYCPR, tr|A0A811ZX68|A0A811ZX68_NYCPR
OG0000027	sp|Q9P2J8|ZN624_HUMAN	tr|A0A811ZU22|A0A811ZU22_NYCPR, tr|A0A811ZSI1|A0A811ZSI1_NYCPR, tr|A0A811ZN04|A0A811ZN04_NYCPR
OG0000028	sp|Q96RC9|OR8B4_HUMAN	tr|A0A811ZNA1|A0A811ZNA1_NYCPR
OG0000028	sp|Q15620|OR8B8_HUMAN	tr|A0A811ZM83|A0A811ZM83_NYCPR
OG0000028	sp|Q8NGG6|OR8BC_HUMAN	tr|A0A811ZN96|A0A811ZN96_NYCPR, tr|A0A811ZMH1|A0A811ZMH1_NYCPR, tr|A0A811ZNK9|A0A811ZNK9_NYCPR
OG0000030	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|P60709|ACTB_HUMAN	tr|A0A812A0M2|A0A812A0M2_NYCPR
OG0000031	sp|Q96HQ0|ZN419_HUMAN, sp|Q6PK81|ZN773_HUMAN	tr|A0A811YZN5|A0A811YZN5_NYCPR
OG0000031	sp|Q68DY9|ZN772_HUMAN	tr|A0A811ZTW6|A0A811ZTW6_NYCPR
OG0000031	sp|Q8TAW3|ZN671_HUMAN, sp|Q3KQV3|ZN792_HUMAN	tr|A0A811ZW12|A0A811ZW12_NYCPR
OG0000032	sp|Q14586|ZN267_HUMAN, sp|Q7Z2F6|KRBX5_HUMAN	tr|A0A811ZUH0|A0A811ZUH0_NYCPR, tr|A0A811ZVR5|A0A811ZVR5_NYCPR, tr|A0A811ZU54|A0A811ZU54_NYCPR, tr|A0A811ZUE5|A0A811ZUE5_NYCPR, tr|A0A811YA81|A0A811YA81_NYCPR, tr|A0A811ZST4|A0A811ZST4_NYCPR, tr|A0A811ZTK7|A0A811ZTK7_NYCPR, tr|A0A811ZUD0|A0A811ZUD0_NYCPR, tr|A0A811ZTL5|A0A811ZTL5_NYCPR, tr|A0A811YTD8|A0A811YTD8_NYCPR, tr|A0A811ZQ09|A0A811ZQ09_NYCPR, tr|A0A811ZUE6|A0A811ZUE6_NYCPR, tr|A0A811ZTK5|A0A811ZTK5_NYCPR, tr|A0A811ZSS8|A0A811ZSS8_NYCPR, tr|A0A811ZTJ2|A0A811ZTJ2_NYCPR, tr|A0A811Z0U7|A0A811Z0U7_NYCPR, tr|A0A811Z1Z6|A0A811Z1Z6_NYCPR, tr|A0A811ZUC3|A0A811ZUC3_NYCPR, tr|A0A811ZUD8|A0A811ZUD8_NYCPR, tr|A0A811ZVN4|A0A811ZVN4_NYCPR, tr|A0A811YWM9|A0A811YWM9_NYCPR, tr|A0A811YKW5|A0A811YKW5_NYCPR
OG0000033	sp|O00370|LORF2_HUMAN	tr|A0A811Z1W8|A0A811Z1W8_NYCPR, tr|A0A811ZU57|A0A811ZU57_NYCPR, tr|A0A811XZH6|A0A811XZH6_NYCPR, tr|A0A811YY52|A0A811YY52_NYCPR, tr|A0A811YT68|A0A811YT68_NYCPR, tr|A0A811Y4R3|A0A811Y4R3_NYCPR, tr|A0A811Z4Z8|A0A811Z4Z8_NYCPR, tr|A0A811Y365|A0A811Y365_NYCPR, tr|A0A811ZX09|A0A811ZX09_NYCPR, tr|A0A811YB08|A0A811YB08_NYCPR
OG0000033	sp|Q9H606|PRORY_HUMAN	tr|A0A811XUC6|A0A811XUC6_NYCPR, tr|A0A811ZLL5|A0A811ZLL5_NYCPR, tr|A0A811YDB6|A0A811YDB6_NYCPR, tr|A0A811YNE7|A0A811YNE7_NYCPR, tr|A0A811Y411|A0A811Y411_NYCPR, tr|A0A811Y5V7|A0A811Y5V7_NYCPR, tr|A0A811YXC6|A0A811YXC6_NYCPR, tr|A0A811Z0K6|A0A811Z0K6_NYCPR, tr|A0A811YKU4|A0A811YKU4_NYCPR, tr|A0A811ZNK8|A0A811ZNK8_NYCPR, tr|A0A811YZI1|A0A811YZI1_NYCPR, tr|A0A811ZZY0|A0A811ZZY0_NYCPR
OG0000035	sp|A6NMZ5|O4C45_HUMAN	tr|A0A811Y2F1|A0A811Y2F1_NYCPR, tr|A0A811XZL1|A0A811XZL1_NYCPR
OG0000035	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A811XTU1|A0A811XTU1_NYCPR
OG0000035	sp|Q96R67|OR4CC_HUMAN	tr|A0A811XY76|A0A811XY76_NYCPR, tr|A0A811XYY6|A0A811XYY6_NYCPR
OG0000035	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A811XY56|A0A811XY56_NYCPR
OG0000035	sp|Q8NGL6|O4A15_HUMAN	tr|A0A811XYZ8|A0A811XYZ8_NYCPR, tr|A0A811XYX6|A0A811XYX6_NYCPR, tr|A0A811Y0Q1|A0A811Y0Q1_NYCPR, tr|A0A811Y2H7|A0A811Y2H7_NYCPR, tr|A0A811XY66|A0A811XY66_NYCPR, tr|A0A811XZ08|A0A811XZ08_NYCPR, tr|A0A811Y0R1|A0A811Y0R1_NYCPR, tr|A0A811Y6A3|A0A811Y6A3_NYCPR, tr|A0A811Y694|A0A811Y694_NYCPR, tr|A0A811XXQ4|A0A811XXQ4_NYCPR, tr|A0A811XWB1|A0A811XWB1_NYCPR, tr|A0A811XWL6|A0A811XWL6_NYCPR
OG0000038	sp|A6NNH2|F90AR_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MXZ1|F90AN_HUMAN	tr|A0A811ZSV3|A0A811ZSV3_NYCPR
