Orthogroup	Homo_sapiens	Macaca_nemestrina
OG0000003	sp|P0C623|OR4Q2_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8NGD1|OR4N2_HUMAN	tr|A0A2K6AZT1|A0A2K6AZT1_MACNE
OG0000003	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2K6ALX9|A0A2K6ALX9_MACNE
OG0000007	sp|Q96R27|OR2M4_HUMAN	tr|A0A2K6AN20|A0A2K6AN20_MACNE
OG0000007	sp|Q8NG81|OR2M7_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q96R28|OR2M2_HUMAN	tr|A0A2K6BG35|A0A2K6BG35_MACNE
OG0000007	sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NGZ9|O2T10_HUMAN	tr|A0A2K6CXJ0|A0A2K6CXJ0_MACNE
OG0000007	sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN	tr|A0A2K6CHL7|A0A2K6CHL7_MACNE
OG0000007	sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN	tr|A0A2K6BY99|A0A2K6BY99_MACNE
OG0000007	sp|A6NM03|O2AG2_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|Q8NG84|O2AK2_HUMAN	tr|A0A2K6AMI3|A0A2K6AMI3_MACNE
OG0000008	sp|Q3SY84|K2C71_HUMAN	tr|A0A2K6E7G3|A0A2K6E7G3_MACNE
OG0000008	sp|Q86Y46|K2C73_HUMAN	tr|A0A2K6BPE2|A0A2K6BPE2_MACNE
OG0000008	sp|Q7RTS7|K2C74_HUMAN	tr|A0A2K6BIH7|A0A2K6BIH7_MACNE
OG0000008	sp|Q14CN4|K2C72_HUMAN	tr|A0A2K6DEK3|A0A2K6DEK3_MACNE
OG0000008	sp|P04264|K2C1_HUMAN	tr|A0A2K6CZV9|A0A2K6CZV9_MACNE
OG0000008	sp|P35908|K22E_HUMAN	tr|A0A2K6E1L5|A0A2K6E1L5_MACNE
OG0000008	sp|P08729|K2C7_HUMAN	tr|A0A2K6CG12|A0A2K6CG12_MACNE
OG0000008	sp|O95678|K2C75_HUMAN	tr|A0A2K6CXE7|A0A2K6CXE7_MACNE
OG0000008	sp|P48668|K2C6C_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P02538|K2C6A_HUMAN, sp|P13647|K2C5_HUMAN	tr|A0A2K6CR37|A0A2K6CR37_MACNE
OG0000008	sp|P19013|K2C4_HUMAN	tr|A0A2K6DMD1|A0A2K6DMD1_MACNE
OG0000008	sp|Q5XKE5|K2C79_HUMAN	tr|A0A2K6DJD7|A0A2K6DJD7_MACNE
OG0000008	sp|Q01546|K22O_HUMAN	tr|A0A2K6E515|A0A2K6E515_MACNE
OG0000008	sp|P12035|K2C3_HUMAN	tr|A0A2K6D660|A0A2K6D660_MACNE
OG0000009	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A2K6D011|A0A2K6D011_MACNE
OG0000009	sp|A6NFC9|OR2W5_HUMAN, sp|Q9H210|OR2D2_HUMAN, sp|Q8NGH3|OR2D3_HUMAN, sp|O76000|OR2B3_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|Q5JQS5|OR2BB_HUMAN	tr|A0A2K6AW88|A0A2K6AW88_MACNE
OG0000009	sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95371|OR2C1_HUMAN	tr|A0A2K6E7V3|A0A2K6E7V3_MACNE
OG0000009	sp|Q8NGZ4|OR2G3_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN	tr|A0A2K6AUG3|A0A2K6AUG3_MACNE
OG0000009	sp|P59922|OR2B8_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN	tr|A0A2K6B2V7|A0A2K6B2V7_MACNE
OG0000009	sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A2K6ARK3|A0A2K6ARK3_MACNE
OG0000013	sp|P0C604|OR4A8_HUMAN	tr|A0A2K6BX90|A0A2K6BX90_MACNE
OG0000013	sp|Q8NH73|OR4S2_HUMAN	tr|A0A2K6CYN1|A0A2K6CYN1_MACNE
OG0000013	sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NGL7|OR4P4_HUMAN	tr|A0A2K6BF07|A0A2K6BF07_MACNE
OG0000013	sp|Q8NH49|OR4X1_HUMAN, sp|Q8NGF9|OR4X2_HUMAN	tr|A0A2K6AZ41|A0A2K6AZ41_MACNE
OG0000014	sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN	tr|A0A2K6BFH0|A0A2K6BFH0_MACNE
OG0000014	sp|P43355|MAGA1_HUMAN	tr|A0A2K6BPU5|A0A2K6BPU5_MACNE
OG0000014	sp|P43361|MAGA8_HUMAN	tr|A0A2K6CBH7|A0A2K6CBH7_MACNE
OG0000014	sp|P43362|MAGA9_HUMAN, sp|P43363|MAGAA_HUMAN, sp|A6NCF6|MA13P_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|A2A368|MAGBG_HUMAN, sp|Q96LZ2|MAGBA_HUMAN, sp|Q96M61|MAGBI_HUMAN, sp|O15480|MAGB3_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|O15479|MAGB2_HUMAN, sp|P43366|MAGB1_HUMAN, sp|O15481|MAGB4_HUMAN	tr|A0A2K6BLD9|A0A2K6BLD9_MACNE
OG0000015	sp|A0A075B6S5|KV127_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN	tr|A0A2K6BQV0|A0A2K6BQV0_MACNE
OG0000016	sp|P0DUD1|SPD8_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUX1|SPD12_HUMAN	tr|A0A2K6DGD1|A0A2K6DGD1_MACNE
OG0000016	sp|A6NLX3|SPDE4_HUMAN	tr|A0A2K6CY21|A0A2K6CY21_MACNE
OG0000016	sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN	tr|A0A2K6D0S9|A0A2K6D0S9_MACNE
OG0000018	sp|O60404|O10H3_HUMAN	tr|A0A2K6B3Z5|A0A2K6B3Z5_MACNE
OG0000018	sp|P30954|O10J1_HUMAN	tr|A0A2K6BXU6|A0A2K6BXU6_MACNE
OG0000018	sp|Q8NGY7|O10J6_HUMAN, sp|Q8NHC4|O10J5_HUMAN	tr|A0A2K6CWL9|A0A2K6CWL9_MACNE
OG0000018	sp|P0C629|O10J4_HUMAN, sp|Q5JRS4|O10J3_HUMAN	tr|A0A2K6DRU4|A0A2K6DRU4_MACNE
OG0000018	sp|Q8NGX3|O10T2_HUMAN, sp|Q8NGX6|O10R2_HUMAN	tr|A0A2K6E5J6|A0A2K6E5J6_MACNE
OG0000019	sp|Q8NGE1|OR6C4_HUMAN, sp|Q8NGE2|O2AP1_HUMAN, sp|Q8N148|OR6V1_HUMAN, sp|Q8NH40|OR6S1_HUMAN, sp|Q8NGU2|OR9A4_HUMAN, sp|Q8NGT5|OR9A2_HUMAN, sp|Q8NGU1|OR9A1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NH79|OR6X1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|A6NF89|OR6C6_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NL08|O6C75_HUMAN, sp|Q9NZP0|OR6C3_HUMAN, sp|Q96RD1|OR6C1_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|Q9NZP2|OR6C2_HUMAN, sp|A6NCV1|O6C74_HUMAN	tr|A0A2K6B332|A0A2K6B332_MACNE
OG0000020	sp|Q6S8J7|POTEA_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|Q8TC94|ACTL9_HUMAN, sp|P63261|ACTG_HUMAN, sp|P60709|ACTB_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN	tr|A0A2K6AYT1|A0A2K6AYT1_MACNE
OG0000023	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN	tr|A0A2K6C543|A0A2K6C543_MACNE
OG0000025	sp|D6RGX4|F90AP_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|A6NNH2|F90AR_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MWA6|F90AM_HUMAN	tr|A0A2K6DR46|A0A2K6DR46_MACNE
OG0000026	sp|Q9H0M5|ZN700_HUMAN	tr|A0A2K6BNB0|A0A2K6BNB0_MACNE
OG0000026	sp|Q08AG5|ZN844_HUMAN	tr|A0A2K6CKS2|A0A2K6CKS2_MACNE
OG0000026	sp|P17024|ZNF20_HUMAN	tr|A0A2K6DH55|A0A2K6DH55_MACNE
OG0000026	sp|Q8N7K0|ZN433_HUMAN	tr|A0A2K6AN60|A0A2K6AN60_MACNE
OG0000026	sp|Q96I27|ZN625_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|O60384|ZN861_HUMAN	tr|A0A2K6CCF6|A0A2K6CCF6_MACNE
OG0000026	sp|C9JN71|ZN878_HUMAN	tr|A0A2K6E1C3|A0A2K6E1C3_MACNE
OG0000026	sp|Q3KP31|ZN791_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|P52737|ZN136_HUMAN	tr|A0A2K6CV10|A0A2K6CV10_MACNE
OG0000027	sp|A0A0B4J1V7|HV781_HUMAN	tr|A0A2K6ARA2|A0A2K6ARA2_MACNE, tr|A0A2K6CYY4|A0A2K6CYY4_MACNE
OG0000027	sp|A0A0J9YVY3|HV741_HUMAN, sp|P0DTW3|HV384_HUMAN, sp|A0A0C4DH29|HV103_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0A0MS14|HV145_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN, sp|P01742|HV169_HUMAN, sp|P0DP01|HV108_HUMAN, sp|P23083|HV102_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P01743|HV146_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, sp|A0A0C4DH33|HV124_HUMAN, sp|A0A0G2JMI3|HV692_HUMAN	tr|A0A2K6ALL6|A0A2K6ALL6_MACNE, tr|A0A2K6AW97|A0A2K6AW97_MACNE
OG0000028	sp|A0A0B4J1W7|NPIA9_HUMAN, sp|E9PJI5|NPIA7_HUMAN, sp|P0DM63|NPIA8_HUMAN, sp|E9PKD4|NPIA5_HUMAN, sp|F8WFD2|NPIA3_HUMAN, sp|Q9UND3|NPIA1_HUMAN, sp|E9PIF3|NPIA2_HUMAN, sp|A6NJ64|NPIB2_HUMAN, sp|A6NJU9|NPB13_HUMAN, sp|F8W0I5|NPB12_HUMAN, sp|C9JG80|NPIB4_HUMAN, sp|A8MRT5|NPIB5_HUMAN, sp|Q92617|NPIB3_HUMAN, sp|E5RHQ5|NPB11_HUMAN, sp|E9PJ23|NPIB6_HUMAN, sp|E9PQR5|NPIB8_HUMAN, sp|F8W1W9|NPIB9_HUMAN, sp|A6NHN6|NPB15_HUMAN, sp|O75200|NPIB7_HUMAN	tr|A0A2K6BX26|A0A2K6BX26_MACNE
OG0000029	sp|A0A2R8Y4L2|RA1L3_HUMAN	tr|A0A2K6D2S4|A0A2K6D2S4_MACNE
OG0000029	sp|P22626|ROA2_HUMAN	tr|A0A2K6BDJ1|A0A2K6BDJ1_MACNE
OG0000029	sp|P51991|ROA3_HUMAN	tr|A0A2K6D3V1|A0A2K6D3V1_MACNE, tr|A0A2K6D516|A0A2K6D516_MACNE, tr|A0A2K6B3E5|A0A2K6B3E5_MACNE, tr|A0A2K6CFW9|A0A2K6CFW9_MACNE, tr|A0A2K6DT22|A0A2K6DT22_MACNE, tr|A0A2K6CS49|A0A2K6CS49_MACNE, tr|A0A2K6D9Q3|A0A2K6D9Q3_MACNE
OG0000029	sp|Q32P51|RA1L2_HUMAN	tr|A0A2K6D2N3|A0A2K6D2N3_MACNE, tr|A0A2K6DF89|A0A2K6DF89_MACNE, tr|A0A2K6E7F8|A0A2K6E7F8_MACNE
OG0000029	sp|P09651|ROA1_HUMAN	tr|A0A2K6DUP3|A0A2K6DUP3_MACNE, tr|A0A2K6DWA3|A0A2K6DWA3_MACNE
OG0000030	sp|P15880|RS2_HUMAN	tr|A0A2K6BZ08|A0A2K6BZ08_MACNE, tr|A0A2K6C2I6|A0A2K6C2I6_MACNE, tr|A0A2K6BXZ2|A0A2K6BXZ2_MACNE, tr|A0A2K6DX38|A0A2K6DX38_MACNE, tr|A0A2K6DRW3|A0A2K6DRW3_MACNE, tr|A0A2K6B3S0|A0A2K6B3S0_MACNE, tr|A0A2K6CGS3|A0A2K6CGS3_MACNE, tr|A0A2K6B3N3|A0A2K6B3N3_MACNE, tr|A0A2K6BGJ2|A0A2K6BGJ2_MACNE, tr|A0A2K6AVG6|A0A2K6AVG6_MACNE, tr|A0A2K6CBT4|A0A2K6CBT4_MACNE, tr|A0A2K6E6P0|A0A2K6E6P0_MACNE, tr|A0A2K6CHY6|A0A2K6CHY6_MACNE, tr|A0A2K6DMR3|A0A2K6DMR3_MACNE, tr|A0A2K6ANF8|A0A2K6ANF8_MACNE, tr|A0A2K6DTZ5|A0A2K6DTZ5_MACNE, tr|A0A2K6DHD9|A0A2K6DHD9_MACNE, tr|A0A2K6CXD1|A0A2K6CXD1_MACNE, tr|A0A2K6BV11|A0A2K6BV11_MACNE
OG0000031	sp|Q09FC8|ZN415_HUMAN	tr|A0A2K6C0P0|A0A2K6C0P0_MACNE
OG0000031	sp|Q08AN1|ZN616_HUMAN	tr|A0A2K6DH52|A0A2K6DH52_MACNE
OG0000031	sp|Q6ZNA1|ZN836_HUMAN	tr|A0A2K6BUH3|A0A2K6BUH3_MACNE
OG0000031	sp|Q6ZN19|ZN841_HUMAN	tr|A0A2K6E4J5|A0A2K6E4J5_MACNE
OG0000034	sp|Q15375|EPHA7_HUMAN	tr|A0A2K6CFV5|A0A2K6CFV5_MACNE
OG0000034	sp|Q9UF33|EPHA6_HUMAN	tr|A0A2K6BY18|A0A2K6BY18_MACNE
OG0000034	sp|P54756|EPHA5_HUMAN	tr|A0A2K6AUI6|A0A2K6AUI6_MACNE
OG0000034	sp|P29320|EPHA3_HUMAN	tr|A0A2K6CN86|A0A2K6CN86_MACNE
OG0000034	sp|P29322|EPHA8_HUMAN	tr|A0A2K6AWI7|A0A2K6AWI7_MACNE
OG0000034	sp|P54764|EPHA4_HUMAN	tr|A0A2K6C6N7|A0A2K6C6N7_MACNE
OG0000034	sp|P54753|EPHB3_HUMAN	tr|A0A2K6DPE2|A0A2K6DPE2_MACNE
OG0000034	sp|P54762|EPHB1_HUMAN	tr|A0A2K6EB70|A0A2K6EB70_MACNE
OG0000034	sp|P29323|EPHB2_HUMAN	tr|A0A2K6DNT3|A0A2K6DNT3_MACNE
