Orthogroup	Homo_sapiens	Acinonyx_jubatus
OG0000000	sp|Q96R67|OR4CC_HUMAN	tr|A0A6J0A4P0|A0A6J0A4P0_ACIJB, tr|A0A6J0A7K6|A0A6J0A7K6_ACIJB, tr|A0A6I9ZUY9|A0A6I9ZUY9_ACIJB, tr|A0A6I9ZWG3|A0A6I9ZWG3_ACIJB, tr|A0A6I9ZW03|A0A6I9ZW03_ACIJB
OG0000002	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A6I9ZDX9|A0A6I9ZDX9_ACIJB, tr|A0A6I9ZVW2|A0A6I9ZVW2_ACIJB, tr|A0A6I9ZY51|A0A6I9ZY51_ACIJB, tr|A0A6I9ZVN9|A0A6I9ZVN9_ACIJB, tr|A0A6I9ZSH9|A0A6I9ZSH9_ACIJB, tr|A0A6J0A3H5|A0A6J0A3H5_ACIJB, tr|A0A6I9ZY64|A0A6I9ZY64_ACIJB, tr|A0A6I9ZY58|A0A6I9ZY58_ACIJB, tr|A0A6J1YRA6|A0A6J1YRA6_ACIJB, tr|A0A6J1YUF9|A0A6J1YUF9_ACIJB, tr|A0A6I9ZH33|A0A6I9ZH33_ACIJB, tr|A0A6J0ABD3|A0A6J0ABD3_ACIJB, tr|A0A6I9ZQ79|A0A6I9ZQ79_ACIJB, tr|A0A6J0A7F7|A0A6J0A7F7_ACIJB, tr|A0A6I9ZUP0|A0A6I9ZUP0_ACIJB, tr|A0A6I9ZVW8|A0A6I9ZVW8_ACIJB, tr|A0A6I9ZMN6|A0A6I9ZMN6_ACIJB, tr|A0A6I9ZY55|A0A6I9ZY55_ACIJB, tr|A0A6I9ZH74|A0A6I9ZH74_ACIJB, tr|A0A6I9ZTI7|A0A6I9ZTI7_ACIJB, tr|A0A6J1Y2M5|A0A6J1Y2M5_ACIJB, tr|A0A6I9ZH17|A0A6I9ZH17_ACIJB, tr|A0A6I9ZSA1|A0A6I9ZSA1_ACIJB, tr|A0A6I9ZGZ8|A0A6I9ZGZ8_ACIJB, tr|A0A6I9ZH75|A0A6I9ZH75_ACIJB, tr|A0A6I9ZUL4|A0A6I9ZUL4_ACIJB, tr|A0A6I9ZT76|A0A6I9ZT76_ACIJB, tr|A0A6I9ZTQ1|A0A6I9ZTQ1_ACIJB, tr|A0A6I9ZZ67|A0A6I9ZZ67_ACIJB, tr|A0A6I9ZZ42|A0A6I9ZZ42_ACIJB, tr|A0A6I9ZFG9|A0A6I9ZFG9_ACIJB, tr|A0A6I9ZCI5|A0A6I9ZCI5_ACIJB, tr|A0A6I9ZW61|A0A6I9ZW61_ACIJB, tr|A0A6J0A6G4|A0A6J0A6G4_ACIJB, tr|A0A6J0A3F1|A0A6J0A3F1_ACIJB, tr|A0A6J0A3I0|A0A6J0A3I0_ACIJB, tr|A0A6J0A653|A0A6J0A653_ACIJB, tr|A0A6I9ZZ63|A0A6I9ZZ63_ACIJB, tr|A0A6I9ZZ37|A0A6I9ZZ37_ACIJB, tr|A0A6J0A3F7|A0A6J0A3F7_ACIJB, tr|A0A6J0A781|A0A6J0A781_ACIJB, tr|A0A6I9ZDT9|A0A6I9ZDT9_ACIJB, tr|A0A6J0A601|A0A6J0A601_ACIJB, tr|A0A6J0A640|A0A6J0A640_ACIJB, tr|A0A6J1Z3N5|A0A6J1Z3N5_ACIJB, tr|A0A6J1XTR0|A0A6J1XTR0_ACIJB, tr|A0A6J1YXQ5|A0A6J1YXQ5_ACIJB, tr|A0A6J1YR98|A0A6J1YR98_ACIJB, tr|A0A6J0A1I1|A0A6J0A1I1_ACIJB, tr|A0A6J0A8K7|A0A6J0A8K7_ACIJB, tr|A0A6J0A1P1|A0A6J0A1P1_ACIJB, tr|A0A6J0A5C6|A0A6J0A5C6_ACIJB, tr|A0A6J0A1H6|A0A6J0A1H6_ACIJB
OG0000003	sp|Q8TCB6|O51E1_HUMAN	tr|A0A6I9ZD72|A0A6I9ZD72_ACIJB
OG0000003	sp|Q8NH61|O51F2_HUMAN	tr|A0A6I9ZER2|A0A6I9ZER2_ACIJB
OG0000003	sp|A6NGY5|O51F1_HUMAN	tr|A0A6I9ZEK8|A0A6I9ZEK8_ACIJB
OG0000003	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A6I9ZG41|A0A6I9ZG41_ACIJB, tr|A0A6J1XSN5|A0A6J1XSN5_ACIJB, tr|A0A6I9ZG68|A0A6I9ZG68_ACIJB, tr|A0A6I9ZD22|A0A6I9ZD22_ACIJB
OG0000003	sp|Q9H344|O51I2_HUMAN	tr|A0A6I9ZG60|A0A6I9ZG60_ACIJB
OG0000003	sp|Q9H343|O51I1_HUMAN	tr|A0A6I9ZG90|A0A6I9ZG90_ACIJB, tr|A0A6I9ZEN2|A0A6I9ZEN2_ACIJB, tr|A0A6I9ZBQ0|A0A6I9ZBQ0_ACIJB, tr|A0A6I9ZD41|A0A6I9ZD41_ACIJB
OG0000003	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A6I9ZEK2|A0A6I9ZEK2_ACIJB
OG0000003	sp|Q9H2C8|O51V1_HUMAN	tr|A0A6I9ZG92|A0A6I9ZG92_ACIJB, tr|A0A6J1XSB6|A0A6J1XSB6_ACIJB, tr|A0A6I9ZG48|A0A6I9ZG48_ACIJB, tr|A0A6I9ZEJ2|A0A6I9ZEJ2_ACIJB, tr|A0A6I9ZG21|A0A6I9ZG21_ACIJB, tr|A0A6I9ZD50|A0A6I9ZD50_ACIJB, tr|A0A6I9ZCZ8|A0A6I9ZCZ8_ACIJB
OG0000003	sp|Q8NH59|O51Q1_HUMAN	tr|A0A6I9ZEN6|A0A6I9ZEN6_ACIJB, tr|A0A6I9ZEI1|A0A6I9ZEI1_ACIJB
OG0000003	sp|Q8NGK0|O51G2_HUMAN	tr|A0A6I9ZBS4|A0A6I9ZBS4_ACIJB
OG0000003	sp|Q8NGK1|O51G1_HUMAN	tr|A0A6I9ZG36|A0A6I9ZG36_ACIJB
OG0000003	sp|Q8NH63|O51H1_HUMAN	tr|A0A6I9ZG82|A0A6I9ZG82_ACIJB, tr|A0A6I9ZD18|A0A6I9ZD18_ACIJB, tr|A0A6I9ZBM9|A0A6I9ZBM9_ACIJB
OG0000005	sp|Q6IFN5|O7E24_HUMAN	tr|A0A6I9ZZM2|A0A6I9ZZM2_ACIJB, tr|A0A6I9ZV69|A0A6I9ZV69_ACIJB, tr|A0A6I9ZYM7|A0A6I9ZYM7_ACIJB, tr|A0A6I9ZWG0|A0A6I9ZWG0_ACIJB, tr|A0A6J1YN89|A0A6J1YN89_ACIJB, tr|A0A6J1YN84|A0A6J1YN84_ACIJB, tr|A0A6J0A7F1|A0A6J0A7F1_ACIJB, tr|A0A6J1YLY9|A0A6J1YLY9_ACIJB, tr|A0A6J1YNC1|A0A6J1YNC1_ACIJB, tr|A0A6J1YLX4|A0A6J1YLX4_ACIJB, tr|A0A6J1YPQ7|A0A6J1YPQ7_ACIJB, tr|A0A6J0A4U7|A0A6J0A4U7_ACIJB, tr|A0A6J0A0R8|A0A6J0A0R8_ACIJB, tr|A0A6J1YNK9|A0A6J1YNK9_ACIJB, tr|A0A6J1YPT3|A0A6J1YPT3_ACIJB, tr|A0A6J0A8I6|A0A6J0A8I6_ACIJB, tr|A0A6J1YMY7|A0A6J1YMY7_ACIJB, tr|A0A6J0A458|A0A6J0A458_ACIJB, tr|A0A6J1YMV6|A0A6J1YMV6_ACIJB, tr|A0A6J0A8H5|A0A6J0A8H5_ACIJB, tr|A0A6J1YPE3|A0A6J1YPE3_ACIJB, tr|A0A6J0A101|A0A6J0A101_ACIJB, tr|A0A6J0A4M7|A0A6J0A4M7_ACIJB, tr|A0A6J0A0S3|A0A6J0A0S3_ACIJB, tr|A0A6I9ZB00|A0A6I9ZB00_ACIJB, tr|A0A6I9ZFZ4|A0A6I9ZFZ4_ACIJB, tr|A0A6I9ZUP6|A0A6I9ZUP6_ACIJB, tr|A0A6I9ZCT0|A0A6I9ZCT0_ACIJB, tr|A0A6J0A496|A0A6J0A496_ACIJB, tr|A0A6J1YN92|A0A6J1YN92_ACIJB, tr|A0A6J1YPF3|A0A6J1YPF3_ACIJB, tr|A0A6J1YLM7|A0A6J1YLM7_ACIJB, tr|A0A6J1YLM6|A0A6J1YLM6_ACIJB, tr|A0A6J1YN90|A0A6J1YN90_ACIJB, tr|A0A6I9ZZL4|A0A6I9ZZL4_ACIJB, tr|A0A6I9ZZK6|A0A6I9ZZK6_ACIJB, tr|A0A6I9ZZN2|A0A6I9ZZN2_ACIJB, tr|A0A6I9ZZL9|A0A6I9ZZL9_ACIJB, tr|A0A6I9ZZM4|A0A6I9ZZM4_ACIJB, tr|A0A6I9ZZL8|A0A6I9ZZL8_ACIJB, tr|A0A6I9ZZL2|A0A6I9ZZL2_ACIJB, tr|A0A6I9ZV84|A0A6I9ZV84_ACIJB, tr|A0A6I9ZYN9|A0A6I9ZYN9_ACIJB, tr|A0A6I9ZZM9|A0A6I9ZZM9_ACIJB, tr|A0A6I9ZV79|A0A6I9ZV79_ACIJB, tr|A0A6J1YMT8|A0A6J1YMT8_ACIJB, tr|A0A6I9ZWE4|A0A6I9ZWE4_ACIJB
OG0000006	sp|Q8NGK2|O52B4_HUMAN	tr|A0A6I9ZD31|A0A6I9ZD31_ACIJB, tr|A0A6J1YWM5|A0A6J1YWM5_ACIJB
OG0000006	sp|Q8NH55|O52E5_HUMAN	tr|A0A6I9ZY04|A0A6I9ZY04_ACIJB, tr|A0A6I9ZY14|A0A6I9ZY14_ACIJB, tr|A0A6I9ZXS4|A0A6I9ZXS4_ACIJB, tr|A0A6I9ZWT3|A0A6I9ZWT3_ACIJB, tr|A0A6I9ZBM4|A0A6I9ZBM4_ACIJB, tr|A0A6I9ZD55|A0A6I9ZD55_ACIJB, tr|A0A6J1XSU3|A0A6J1XSU3_ACIJB, tr|A0A6I9ZUJ7|A0A6I9ZUJ7_ACIJB
OG0000006	sp|Q8NH60|O52J3_HUMAN	tr|A0A6I9ZG31|A0A6I9ZG31_ACIJB, tr|A0A6I9ZEQ1|A0A6I9ZEQ1_ACIJB, tr|A0A6I9ZBR9|A0A6I9ZBR9_ACIJB
OG0000006	sp|Q8NGF0|O52B6_HUMAN	tr|A0A6I9ZWQ6|A0A6I9ZWQ6_ACIJB, tr|A0A6J0A2L3|A0A6J0A2L3_ACIJB, tr|A0A6I9ZXZ5|A0A6I9ZXZ5_ACIJB, tr|A0A6I9ZWS2|A0A6I9ZWS2_ACIJB, tr|A0A6I9ZXR9|A0A6I9ZXR9_ACIJB, tr|A0A6I9ZXQ4|A0A6I9ZXQ4_ACIJB, tr|A0A6J1XSC6|A0A6J1XSC6_ACIJB, tr|A0A6J1YWM1|A0A6J1YWM1_ACIJB
OG0000007	sp|Q9Y5E2|PCDB7_HUMAN, sp|Q9UN67|PCDBA_HUMAN, sp|Q9Y5E1|PCDB9_HUMAN, sp|Q9Y5F2|PCDBB_HUMAN, sp|Q9Y5F1|PCDBC_HUMAN, sp|Q9Y5E9|PCDBE_HUMAN, sp|Q96TA0|PCDBI_HUMAN, sp|Q9Y5E6|PCDB3_HUMAN, sp|Q9Y5E8|PCDBF_HUMAN, sp|Q9Y5E5|PCDB4_HUMAN, sp|Q9Y5E3|PCDB6_HUMAN, sp|Q9Y5E4|PCDB5_HUMAN, sp|Q9UN66|PCDB8_HUMAN, sp|Q9Y5F0|PCDBD_HUMAN, sp|Q9NRJ7|PCDBG_HUMAN, sp|Q9Y5E7|PCDB2_HUMAN	tr|A0A6J1YVP0|A0A6J1YVP0_ACIJB
OG0000007	sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F3|PCDB1_HUMAN	tr|A0A6I9ZGS7|A0A6I9ZGS7_ACIJB
OG0000008	sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01701|LV151_HUMAN, sp|P01721|LV657_HUMAN	tr|A0A6J1Y3W4|A0A6J1Y3W4_ACIJB
OG0000008	sp|A0A075B6I4|LVX54_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|P01718|LV327_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|P12018|VPREB_HUMAN	tr|A0A6J0A7K4|A0A6J0A7K4_ACIJB
OG0000013	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A6J1Y6S8|A0A6J1Y6S8_ACIJB
OG0000013	sp|Q86UE3|ZN546_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN	tr|A0A6J1Y6R4|A0A6J1Y6R4_ACIJB
OG0000013	sp|P17039|ZNF30_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q96SK3|ZN607_HUMAN	tr|A0A6J0A1A2|A0A6J0A1A2_ACIJB
OG0000013	sp|Q6PG37|ZN790_HUMAN	tr|A0A6J1Y7B5|A0A6J1Y7B5_ACIJB
OG0000013	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A6I9ZS55|A0A6I9ZS55_ACIJB
OG0000013	sp|Q8TAF7|ZN461_HUMAN	tr|A0A6I9ZS49|A0A6I9ZS49_ACIJB
OG0000013	sp|Q96NG8|ZN582_HUMAN	tr|A0A6J1XL78|A0A6J1XL78_ACIJB
OG0000013	sp|Q969W8|ZN566_HUMAN	tr|A0A6I9ZQB6|A0A6I9ZQB6_ACIJB
OG0000013	sp|Q14585|ZN345_HUMAN	tr|A0A6J1Y659|A0A6J1Y659_ACIJB
OG0000013	sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN	tr|A0A6J1Y6K8|A0A6J1Y6K8_ACIJB
OG0000013	sp|Q7Z3V5|ZN571_HUMAN	tr|A0A6I9ZU49|A0A6I9ZU49_ACIJB, tr|A0A6J1Y6B7|A0A6J1Y6B7_ACIJB
OG0000015	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN	tr|A0A6J1XEY4|A0A6J1XEY4_ACIJB
OG0000018	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A6I9ZV13|A0A6I9ZV13_ACIJB
OG0000018	sp|Q15620|OR8B8_HUMAN	tr|A0A6I9ZSZ9|A0A6I9ZSZ9_ACIJB
OG0000018	sp|Q8NGG6|OR8BC_HUMAN	tr|A0A6I9ZW35|A0A6I9ZW35_ACIJB, tr|A0A6I9ZWK3|A0A6I9ZWK3_ACIJB, tr|A0A6I9ZRH2|A0A6I9ZRH2_ACIJB
OG0000018	sp|Q96RC9|OR8B4_HUMAN	tr|A0A6J1XIC8|A0A6J1XIC8_ACIJB, tr|A0A6J1XI48|A0A6J1XI48_ACIJB, tr|A0A6J1XIC3|A0A6J1XIC3_ACIJB, tr|A0A6I9ZV24|A0A6I9ZV24_ACIJB, tr|A0A6I9ZT04|A0A6I9ZT04_ACIJB, tr|A0A6I9ZRJ3|A0A6I9ZRJ3_ACIJB, tr|A0A6I9ZWK6|A0A6I9ZWK6_ACIJB, tr|A0A6I9ZW40|A0A6I9ZW40_ACIJB, tr|A0A6I9ZRI9|A0A6I9ZRI9_ACIJB, tr|A0A6I9ZWI9|A0A6I9ZWI9_ACIJB
OG0000019	sp|Q8N184|ZN567_HUMAN	tr|A0A6I9ZS34|A0A6I9ZS34_ACIJB
OG0000019	sp|P17014|ZNF12_HUMAN	tr|A0A6J1Y080|A0A6J1Y080_ACIJB
OG0000019	sp|Q9NYW8|RBAK_HUMAN	tr|A0A6J1Y0R3|A0A6J1Y0R3_ACIJB
OG0000019	sp|P17032|ZN37A_HUMAN	tr|A0A6J1XDT8|A0A6J1XDT8_ACIJB, tr|A0A6J1Y0S4|A0A6J1Y0S4_ACIJB, tr|A0A6J2ATG9|A0A6J2ATG9_ACIJB, tr|A0A6J1XYQ3|A0A6J1XYQ3_ACIJB
OG0000019	sp|Q9BY31|ZN717_HUMAN	tr|A0A6J0A6M9|A0A6J0A6M9_ACIJB
OG0000019	sp|Q9Y2H8|ZN510_HUMAN	tr|A0A6J1YGS0|A0A6J1YGS0_ACIJB
OG0000019	sp|Q5TYW1|ZN658_HUMAN, sp|Q4V348|Z658B_HUMAN	tr|A0A6I9ZPU9|A0A6I9ZPU9_ACIJB
OG0000019	sp|Q6ZMW2|ZN782_HUMAN	tr|A0A6J1YKT8|A0A6J1YKT8_ACIJB, tr|A0A6I9ZPU4|A0A6I9ZPU4_ACIJB
OG0000019	sp|Q8NDW4|ZN248_HUMAN	tr|A0A6J1YKR9|A0A6J1YKR9_ACIJB
OG0000019	sp|Q06730|ZN33A_HUMAN, sp|Q06732|ZN33B_HUMAN	tr|A0A6J0A2C2|A0A6J0A2C2_ACIJB, tr|A0A6J1YU96|A0A6J1YU96_ACIJB
OG0000021	sp|Q9H7L2|KI3X1_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, sp|P43631|KI2S2_HUMAN, sp|P43632|KI2S4_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN	tr|A0A6I9ZYU8|A0A6I9ZYU8_ACIJB
OG0000024	sp|Q8NGC1|O11G2_HUMAN	tr|A0A6I9ZGR5|A0A6I9ZGR5_ACIJB
OG0000024	sp|Q8NGC9|O11H4_HUMAN	tr|A0A6I9ZIF5|A0A6I9ZIF5_ACIJB
OG0000024	sp|Q8NGC8|O11H7_HUMAN	tr|A0A6I9ZIF3|A0A6I9ZIF3_ACIJB
OG0000024	sp|Q8NGC7|O11H6_HUMAN	tr|A0A6J1ZYH5|A0A6J1ZYH5_ACIJB
OG0000025	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN	tr|A0A6I9ZI93|A0A6I9ZI93_ACIJB
OG0000026	sp|Q9GZP7|VN1R1_HUMAN	tr|A0A6J0ACJ5|A0A6J0ACJ5_ACIJB, tr|A0A6J0A3L2|A0A6J0A3L2_ACIJB, tr|A0A6J0A743|A0A6J0A743_ACIJB, tr|A0A6J0A6M1|A0A6J0A6M1_ACIJB, tr|A0A6I9ZQH5|A0A6I9ZQH5_ACIJB, tr|A0A6J0A201|A0A6J0A201_ACIJB, tr|A0A6J0AAV1|A0A6J0AAV1_ACIJB, tr|A0A6J1YW01|A0A6J1YW01_ACIJB, tr|A0A6I9ZM61|A0A6I9ZM61_ACIJB, tr|A0A6J1XKV7|A0A6J1XKV7_ACIJB, tr|A0A6J1XKD2|A0A6J1XKD2_ACIJB, tr|A0A6J1XKB7|A0A6J1XKB7_ACIJB, tr|A0A0A0Y3S6|A0A0A0Y3S6_ACIJB, tr|A0A6I9ZQL1|A0A6I9ZQL1_ACIJB, tr|A0A6J1XJW1|A0A6J1XJW1_ACIJB, tr|A0A6J1XJU4|A0A6J1XJU4_ACIJB, tr|A0A6J0A5H2|A0A6J0A5H2_ACIJB, tr|A0A6I9ZTP6|A0A6I9ZTP6_ACIJB, tr|A0A6J1XJU8|A0A6J1XJU8_ACIJB, tr|A0A6J1XKK5|A0A6J1XKK5_ACIJB, tr|A0A6J1XJY1|A0A6J1XJY1_ACIJB, tr|A0A6J1XKH4|A0A6J1XKH4_ACIJB
OG0000027	sp|A6NLX3|SPDE4_HUMAN	tr|A0A6J1XZ13|A0A6J1XZ13_ACIJB
