Orthogroup	Homo_sapiens	Rousettus_aegyptiacus
OG0000008	sp|Q8NGE5|O10A7_HUMAN	tr|A0A7J8JIT8|A0A7J8JIT8_ROUAE
OG0000008	sp|Q9H208|O10A2_HUMAN, sp|Q9H207|O10A5_HUMAN, sp|Q9H209|O10A4_HUMAN	tr|A0A7J8H3W4|A0A7J8H3W4_ROUAE
OG0000008	sp|Q8NGY7|O10J6_HUMAN, sp|Q8NHC4|O10J5_HUMAN, sp|P30954|O10J1_HUMAN, sp|Q5JRS4|O10J3_HUMAN, sp|P0C629|O10J4_HUMAN, sp|Q8NGX3|O10T2_HUMAN, sp|Q8NGX6|O10R2_HUMAN, sp|Q8NGY1|O10Z1_HUMAN	tr|A0A7J8BG88|A0A7J8BG88_ROUAE
OG0000009	sp|Q9UN81|LORF1_HUMAN	tr|A0A7J8DXK6|A0A7J8DXK6_ROUAE, tr|A0A7J8EJW5|A0A7J8EJW5_ROUAE, tr|A0A7J8HR76|A0A7J8HR76_ROUAE, tr|A0A7J8EK44|A0A7J8EK44_ROUAE, tr|A0A7J8KB32|A0A7J8KB32_ROUAE, tr|A0A7J8GA72|A0A7J8GA72_ROUAE, tr|A0A7J8DIL6|A0A7J8DIL6_ROUAE, tr|A0A7J8GAS5|A0A7J8GAS5_ROUAE, tr|A0A7J8ILA4|A0A7J8ILA4_ROUAE
OG0000009	sp|Q5T7N2|LITD1_HUMAN	tr|A0A7J8D687|A0A7J8D687_ROUAE, tr|A0A7J8ILL3|A0A7J8ILL3_ROUAE, tr|A0A7J8H1J4|A0A7J8H1J4_ROUAE, tr|A0A7J8FIN5|A0A7J8FIN5_ROUAE, tr|A0A7J8H1E0|A0A7J8H1E0_ROUAE, tr|A0A7J8BFI5|A0A7J8BFI5_ROUAE, tr|A0A7J8EJQ7|A0A7J8EJQ7_ROUAE, tr|A0A7J8H213|A0A7J8H213_ROUAE, tr|A0A7J8F0N7|A0A7J8F0N7_ROUAE, tr|A0A7J8JHQ2|A0A7J8JHQ2_ROUAE, tr|A0A7J8D702|A0A7J8D702_ROUAE, tr|A0A7J8F0R7|A0A7J8F0R7_ROUAE, tr|A0A7J8C2G8|A0A7J8C2G8_ROUAE, tr|A0A7J8DXS4|A0A7J8DXS4_ROUAE, tr|A0A7J8F0Q3|A0A7J8F0Q3_ROUAE, tr|A0A7J8DIU2|A0A7J8DIU2_ROUAE, tr|A0A7J8EJX0|A0A7J8EJX0_ROUAE, tr|A0A7J8E8J8|A0A7J8E8J8_ROUAE, tr|A0A7J8KB09|A0A7J8KB09_ROUAE, tr|A0A7J8DX99|A0A7J8DX99_ROUAE, tr|A0A7J8H0L2|A0A7J8H0L2_ROUAE, tr|A0A7J8EAL5|A0A7J8EAL5_ROUAE, tr|A0A7J8KAE4|A0A7J8KAE4_ROUAE
OG0000010	sp|Q8NGB8|O4F15_HUMAN, sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|P0C623|OR4Q2_HUMAN, sp|Q8NGE8|OR4D9_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|Q8NGN0|OR4D5_HUMAN, sp|Q8NGC2|OR4E2_HUMAN, sp|P0C645|OR4E1_HUMAN, sp|Q8NH05|OR4Q3_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN	tr|A0A7J8INW0|A0A7J8INW0_ROUAE
OG0000014	sp|Q8N9K5|ZN565_HUMAN	tr|A0A7J8CNM9|A0A7J8CNM9_ROUAE
OG0000014	sp|Q96NG8|ZN582_HUMAN	tr|A0A7J8CNQ6|A0A7J8CNQ6_ROUAE
OG0000014	sp|Q969W8|ZN566_HUMAN	tr|A0A7J8CIE5|A0A7J8CIE5_ROUAE
OG0000014	sp|Q8N141|ZFP82_HUMAN, sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A7J8CN97|A0A7J8CN97_ROUAE
OG0000014	sp|Q8NDQ6|ZN540_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|Q86UE3|ZN546_HUMAN	tr|A0A7J8CNZ8|A0A7J8CNZ8_ROUAE
OG0000014	sp|A6NDX5|ZN840_HUMAN, sp|Q5EBM4|ZN542_HUMAN, sp|Q96SK3|ZN607_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|P17039|ZNF30_HUMAN, sp|Q8NA42|ZN383_HUMAN, sp|Q3KNS6|ZN829_HUMAN	tr|A0A7J8CP03|A0A7J8CP03_ROUAE
OG0000018	sp|P17030|ZNF25_HUMAN	tr|A0A7J8GIT4|A0A7J8GIT4_ROUAE
OG0000018	sp|Q3ZCT1|ZN260_HUMAN	tr|A0A7J8CP84|A0A7J8CP84_ROUAE, tr|A0A7J8FKJ7|A0A7J8FKJ7_ROUAE, tr|A0A7J8IXA0|A0A7J8IXA0_ROUAE
OG0000018	sp|Q3ZCX4|ZN568_HUMAN	tr|A0A7J8FJP2|A0A7J8FJP2_ROUAE, tr|A0A7J8CNP3|A0A7J8CNP3_ROUAE
OG0000018	sp|P17032|ZN37A_HUMAN, sp|Q6P3V2|Z585A_HUMAN, sp|Q52M93|Z585B_HUMAN, sp|P51786|ZN157_HUMAN	tr|A0A7J8ENL2|A0A7J8ENL2_ROUAE
OG0000018	sp|Q9Y2H8|ZN510_HUMAN	tr|A0A7J8IVD0|A0A7J8IVD0_ROUAE
OG0000018	sp|Q4V348|Z658B_HUMAN, sp|Q5TYW1|ZN658_HUMAN	tr|A0A7J8IVG6|A0A7J8IVG6_ROUAE
OG0000018	sp|Q6ZMW2|ZN782_HUMAN	tr|A0A7J8IVA6|A0A7J8IVA6_ROUAE, tr|A0A7J8IVD9|A0A7J8IVD9_ROUAE
OG0000018	sp|Q8NDW4|ZN248_HUMAN	tr|A0A7J8GJZ9|A0A7J8GJZ9_ROUAE
OG0000018	sp|Q9BY31|ZN717_HUMAN	tr|A0A7J8GBD8|A0A7J8GBD8_ROUAE
OG0000020	sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A0B4J248|TVA11_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J274|TVA20_HUMAN	tr|A0A7J8ITU9|A0A7J8ITU9_ROUAE
OG0000022	sp|Q9H9J4|UBP42_HUMAN	tr|A0A7J8FQ87|A0A7J8FQ87_ROUAE
OG0000022	sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|A0A7J8GI82|A0A7J8GI82_ROUAE
OG0000023	sp|Q8NH57|O52P1_HUMAN, sp|Q8NH53|O52N1_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q6IF63|O52W1_HUMAN, sp|Q8NGF1|O52R1_HUMAN, sp|Q8NGH7|O52L1_HUMAN, sp|Q8NGH6|O52L2_HUMAN, sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK4|O52K1_HUMAN, sp|Q9H255|O51E2_HUMAN, sp|Q9UKL2|O52A1_HUMAN, sp|Q9H2C5|O52A5_HUMAN, sp|A6NMU1|O52A4_HUMAN, sp|Q8NH67|O52I2_HUMAN, sp|Q8NGK6|O52I1_HUMAN, sp|Q9H346|O52D1_HUMAN, sp|Q96RD2|O52B2_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NH55|O52E5_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q8NH60|O52J3_HUMAN	tr|A0A7J8H3J2|A0A7J8H3J2_ROUAE
OG0000025	sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q9UGF5|O14J1_HUMAN, sp|Q8NH19|O10AG_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|O76000|OR2B3_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q5JQS5|OR2BB_HUMAN	tr|A0A7J8FKW7|A0A7J8FKW7_ROUAE
OG0000026	sp|Q8NH40|OR6S1_HUMAN, sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NF89|OR6C6_HUMAN, sp|A6NL08|O6C75_HUMAN, sp|Q9NZP0|OR6C3_HUMAN, sp|Q96RD1|OR6C1_HUMAN, sp|A6NCV1|O6C74_HUMAN, sp|Q9NZP2|OR6C2_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|Q8NGE2|O2AP1_HUMAN, sp|Q8NGE1|OR6C4_HUMAN, sp|Q8NGN1|OR6T1_HUMAN, sp|Q8N148|OR6V1_HUMAN, sp|Q8NGU2|OR9A4_HUMAN, sp|Q8NGT5|OR9A2_HUMAN, sp|Q8NGU1|OR9A1_HUMAN, sp|Q8NH79|OR6X1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN	tr|A0A7J8IP65|A0A7J8IP65_ROUAE
OG0000029	tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN	tr|A0A7J8D6T6|A0A7J8D6T6_ROUAE
OG0000030	sp|Q9H606|PRORY_HUMAN	tr|A0A7J8HRR7|A0A7J8HRR7_ROUAE
OG0000030	sp|O00370|LORF2_HUMAN	tr|A0A7J8H0X1|A0A7J8H0X1_ROUAE, tr|A0A7J8ILN7|A0A7J8ILN7_ROUAE, tr|A0A7J8EKM6|A0A7J8EKM6_ROUAE, tr|A0A7J8KBG3|A0A7J8KBG3_ROUAE, tr|A0A7J8FIS1|A0A7J8FIS1_ROUAE, tr|A0A7J8GAZ4|A0A7J8GAZ4_ROUAE, tr|A0A7J8EK79|A0A7J8EK79_ROUAE, tr|A0A7J8EK24|A0A7J8EK24_ROUAE, tr|A0A7J8HRB7|A0A7J8HRB7_ROUAE, tr|A0A7J8DYC9|A0A7J8DYC9_ROUAE, tr|A0A7J8CIJ4|A0A7J8CIJ4_ROUAE, tr|A0A7J8CI74|A0A7J8CI74_ROUAE, tr|A0A7J8H1X8|A0A7J8H1X8_ROUAE, tr|A0A7J8E8H9|A0A7J8E8H9_ROUAE, tr|A0A7J8DIC2|A0A7J8DIC2_ROUAE, tr|A0A7J8HSJ9|A0A7J8HSJ9_ROUAE, tr|A0A7J8E8F6|A0A7J8E8F6_ROUAE, tr|A0A7J8E8Q1|A0A7J8E8Q1_ROUAE, tr|A0A7J8KB56|A0A7J8KB56_ROUAE
OG0000036	sp|Q15375|EPHA7_HUMAN	tr|A0A7J8K7U4|A0A7J8K7U4_ROUAE
OG0000036	sp|P29322|EPHA8_HUMAN	tr|A0A7J8K7W7|A0A7J8K7W7_ROUAE
OG0000036	sp|Q9UF33|EPHA6_HUMAN	tr|A0A7J8HPK2|A0A7J8HPK2_ROUAE
OG0000036	sp|P29320|EPHA3_HUMAN	tr|A0A7J8HQ59|A0A7J8HQ59_ROUAE
OG0000036	sp|P54756|EPHA5_HUMAN	tr|A0A7J8E747|A0A7J8E747_ROUAE
OG0000036	sp|P54764|EPHA4_HUMAN	tr|A0A7J8JE34|A0A7J8JE34_ROUAE
OG0000036	sp|P54760|EPHB4_HUMAN	tr|A0A7J8EYF1|A0A7J8EYF1_ROUAE
OG0000036	sp|P29323|EPHB2_HUMAN	tr|A0A7J8K7X8|A0A7J8K7X8_ROUAE
OG0000036	sp|P54762|EPHB1_HUMAN	tr|A0A7J8HNZ8|A0A7J8HNZ8_ROUAE
OG0000036	sp|P54753|EPHB3_HUMAN	tr|A0A7J8HQ92|A0A7J8HQ92_ROUAE
OG0000038	sp|Q92876|KLK6_HUMAN	tr|A0A7J8CHG0|A0A7J8CHG0_ROUAE
OG0000038	sp|Q9P0G3|KLK14_HUMAN	tr|A0A7J8CHI1|A0A7J8CHI1_ROUAE
OG0000038	sp|O60259|KLK8_HUMAN	tr|A0A7J8CHB1|A0A7J8CHB1_ROUAE
OG0000038	sp|Q9UBX7|KLK11_HUMAN	tr|A0A7J8CHJ8|A0A7J8CHJ8_ROUAE
OG0000038	sp|Q9H2R5|KLK15_HUMAN	tr|A0A7J8CHC4|A0A7J8CHC4_ROUAE
OG0000038	sp|P07478|TRY2_HUMAN, sp|P07477|TRY1_HUMAN, sp|Q8NHM4|TRY6_HUMAN, sp|P35030|TRY3_HUMAN, sp|P20151|KLK2_HUMAN, sp|P07288|KLK3_HUMAN, sp|P06870|KLK1_HUMAN, sp|Q9Y5K2|KLK4_HUMAN, sp|Q9Y337|KLK5_HUMAN	tr|A0A7J8CHC1|A0A7J8CHC1_ROUAE
OG0000043	sp|P55287|CAD11_HUMAN	tr|A0A7J8CEK6|A0A7J8CEK6_ROUAE
OG0000043	sp|P55286|CADH8_HUMAN	tr|A0A7J8CET1|A0A7J8CET1_ROUAE
OG0000043	sp|Q9ULB5|CADH7_HUMAN	tr|A0A7J8DFR8|A0A7J8DFR8_ROUAE
OG0000043	sp|Q9HBT6|CAD20_HUMAN	tr|A0A7J8DFJ3|A0A7J8DFJ3_ROUAE
OG0000043	sp|Q13634|CAD18_HUMAN	tr|A0A7J8EXH3|A0A7J8EXH3_ROUAE
OG0000043	sp|Q9Y6N8|CAD10_HUMAN	tr|A0A7J8EXF3|A0A7J8EXF3_ROUAE
OG0000043	sp|P55285|CADH6_HUMAN	tr|A0A7J8EXC2|A0A7J8EXC2_ROUAE
OG0000043	sp|Q9ULB4|CADH9_HUMAN	tr|A0A7J8EYC5|A0A7J8EYC5_ROUAE
OG0000043	sp|P55289|CAD12_HUMAN	tr|A0A7J8EY55|A0A7J8EY55_ROUAE
OG0000044	sp|Q9NYW3|TA2R7_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59541|T2R30_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59544|T2R50_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW2|TA2R8_HUMAN	tr|A0A7J8JNT1|A0A7J8JNT1_ROUAE
OG0000045	sp|P19012|K1C15_HUMAN	tr|A0A7J8GB54|A0A7J8GB54_ROUAE
OG0000045	sp|P13646|K1C13_HUMAN	tr|A0A7J8G9R2|A0A7J8G9R2_ROUAE
OG0000045	sp|P08727|K1C19_HUMAN	tr|A0A7J8GAK0|A0A7J8GAK0_ROUAE
OG0000045	sp|P08779|K1C16_HUMAN	tr|A0A7J8G9H8|A0A7J8G9H8_ROUAE
OG0000045	sp|P02533|K1C14_HUMAN	tr|A0A7J8GA69|A0A7J8GA69_ROUAE
