Orthogroup	Homo_sapiens	Canis_lupus_familiaris
OG0000008	tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|Q8N7X4|MAGB6_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|P43366|MAGB1_HUMAN, sp|O15481|MAGB4_HUMAN, sp|O15479|MAGB2_HUMAN	tr|A0A8I3NWW6|A0A8I3NWW6_CANLF, tr|A0A8I3NKT6|A0A8I3NKT6_CANLF
OG0000009	sp|Q08379|GOGA2_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEF3|GG6L4_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN	tr|A0A8I3QS42|A0A8I3QS42_CANLF
OG0000011	sp|Q3SY84|K2C71_HUMAN	tr|D6BR72|D6BR72_CANLF
OG0000011	sp|Q86Y46|K2C73_HUMAN	tr|A0A8I3S8A6|A0A8I3S8A6_CANLF
OG0000011	sp|Q7RTS7|K2C74_HUMAN	tr|A0A8I3PMV1|A0A8I3PMV1_CANLF, tr|A0A8P0TM03|A0A8P0TM03_CANLF
OG0000011	sp|Q01546|K22O_HUMAN, sp|P12035|K2C3_HUMAN	tr|A0A8I3PYF6|A0A8I3PYF6_CANLF
OG0000011	sp|P19013|K2C4_HUMAN	tr|A0A8I3Q072|A0A8I3Q072_CANLF
OG0000011	sp|Q8N1N4|K2C78_HUMAN	tr|A0A8I3S7M3|A0A8I3S7M3_CANLF
OG0000011	sp|P08729|K2C7_HUMAN, sp|P05787|K2C8_HUMAN	tr|A0A8I3ML75|A0A8I3ML75_CANLF
OG0000011	sp|P02538|K2C6A_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P13647|K2C5_HUMAN, sp|O95678|K2C75_HUMAN	tr|A0A8I3PK78|A0A8I3PK78_CANLF
OG0000011	sp|P35908|K22E_HUMAN, sp|P04264|K2C1_HUMAN	sp|Q6EIY9|K2C1_CANLF
OG0000013	sp|P68032|ACTC_HUMAN	tr|A0A8I3QWF2|A0A8I3QWF2_CANLF
OG0000013	sp|P62736|ACTA_HUMAN	tr|A0A8I3Q4M4|A0A8I3Q4M4_CANLF
OG0000013	sp|P63267|ACTH_HUMAN	tr|A0A8I3PAR6|A0A8I3PAR6_CANLF
OG0000013	sp|Q562R1|ACTBL_HUMAN	tr|A0A8I3Q739|A0A8I3Q739_CANLF
OG0000013	sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|P60709|ACTB_HUMAN	sp|O18840|ACTB_CANLF
OG0000014	sp|Q8NHA8|OR1FC_HUMAN	tr|A0A8I3RSQ1|A0A8I3RSQ1_CANLF
OG0000014	sp|Q8NG98|OR7D4_HUMAN, sp|Q96RA2|OR7D2_HUMAN	tr|A0A8I3PYA1|A0A8I3PYA1_CANLF
OG0000014	sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|O60412|OR7C2_HUMAN, sp|O76099|OR7C1_HUMAN	tr|A0A8I3PI73|A0A8I3PI73_CANLF
OG0000016	sp|P59922|OR2B8_HUMAN	tr|A0A8I3S1Z1|A0A8I3S1Z1_CANLF
OG0000016	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A8I3N8S2|A0A8I3N8S2_CANLF
OG0000016	sp|Q8NHA6|OR2W6_HUMAN	tr|A0A8I3NZ93|A0A8I3NZ93_CANLF
OG0000016	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A8I3P3A9|A0A8I3P3A9_CANLF
OG0000016	sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95371|OR2C1_HUMAN	tr|A0A8I3MPS5|A0A8I3MPS5_CANLF
OG0000018	sp|Q7Z2F6|KRBX5_HUMAN, sp|Q14586|ZN267_HUMAN	tr|A0A8I3RTL3|A0A8I3RTL3_CANLF, tr|A0A8P0NPQ8|A0A8P0NPQ8_CANLF, tr|A0A8I3MQU5|A0A8I3MQU5_CANLF, tr|A0A8I3MV09|A0A8I3MV09_CANLF, tr|A0A8I3MV54|A0A8I3MV54_CANLF, tr|A0A8P0PMU5|A0A8P0PMU5_CANLF, tr|A0A8I3MSW4|A0A8I3MSW4_CANLF, tr|A0A8I3NFT1|A0A8I3NFT1_CANLF, tr|A0A8I3MSC0|A0A8I3MSC0_CANLF, tr|A0A8I3RS26|A0A8I3RS26_CANLF, tr|A0A8P0TG00|A0A8P0TG00_CANLF, tr|A0A8I3MEU5|A0A8I3MEU5_CANLF, tr|A0A8I3MT66|A0A8I3MT66_CANLF, tr|A0A8P0S8I1|A0A8P0S8I1_CANLF, tr|A0A8I3MTG6|A0A8I3MTG6_CANLF, tr|A0A8I3ML65|A0A8I3ML65_CANLF, tr|A0A8I3MUU5|A0A8I3MUU5_CANLF, tr|A0A8I3MYD1|A0A8I3MYD1_CANLF, tr|A0A8I3PEM3|A0A8I3PEM3_CANLF, tr|A0A8P0TV84|A0A8P0TV84_CANLF, tr|A0A8P0P1U2|A0A8P0P1U2_CANLF
