Orthogroup	Homo_sapiens	Felis_catus
OG0000002	sp|Q8NGL9|OR4CG_HUMAN	tr|M3WZH3|M3WZH3_FELCA
OG0000002	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A337S572|A0A337S572_FELCA, tr|A0A337S261|A0A337S261_FELCA, tr|A0A2I2U5H1|A0A2I2U5H1_FELCA, tr|A0A2I2V115|A0A2I2V115_FELCA
OG0000002	sp|Q8NGL6|O4A15_HUMAN	tr|A0A5F5XZM7|A0A5F5XZM7_FELCA, tr|A0A337ST39|A0A337ST39_FELCA, tr|A0A337RUH3|A0A337RUH3_FELCA, tr|A0A2I2UTE7|A0A2I2UTE7_FELCA, tr|A0A5F5XJA8|A0A5F5XJA8_FELCA, tr|A0A5F5XV57|A0A5F5XV57_FELCA
OG0000002	sp|Q96R67|OR4CC_HUMAN, sp|A6NHA9|O4C46_HUMAN, sp|Q8NGP0|OR4CD_HUMAN	tr|M3WW05|M3WW05_FELCA, tr|M3X469|M3X469_FELCA
OG0000002	sp|Q8NH37|OR4C3_HUMAN	tr|M3WY34|M3WY34_FELCA
OG0000002	sp|Q8NGM1|OR4CF_HUMAN	tr|M3WBV6|M3WBV6_FELCA
OG0000003	sp|Q6IFN5|O7E24_HUMAN	tr|A0A5F5Y432|A0A5F5Y432_FELCA, tr|M3W659|M3W659_FELCA, tr|A0A2I2UA89|A0A2I2UA89_FELCA, tr|A0A5F5XQF2|A0A5F5XQF2_FELCA, tr|M3WL97|M3WL97_FELCA, tr|A0A2I2UN07|A0A2I2UN07_FELCA, tr|M3WWR1|M3WWR1_FELCA, tr|M3WVM7|M3WVM7_FELCA, tr|M3WPW1|M3WPW1_FELCA, tr|A0A2I2URS3|A0A2I2URS3_FELCA, tr|A0A337SG28|A0A337SG28_FELCA, tr|A0A2I2UBW1|A0A2I2UBW1_FELCA, tr|A0A337S2D9|A0A337S2D9_FELCA, tr|A0A2I2UJ24|A0A2I2UJ24_FELCA, tr|M3X1N4|M3X1N4_FELCA, tr|A0A5F5XRQ9|A0A5F5XRQ9_FELCA, tr|A0A337S6T2|A0A337S6T2_FELCA, tr|A0A337SR25|A0A337SR25_FELCA, tr|A0A2I2USQ7|A0A2I2USQ7_FELCA, tr|A0A337SNZ3|A0A337SNZ3_FELCA, tr|A0A5F5XYQ3|A0A5F5XYQ3_FELCA, tr|A0A5F5XXF4|A0A5F5XXF4_FELCA, tr|A0A2I2US12|A0A2I2US12_FELCA, tr|A0A2I2UGH3|A0A2I2UGH3_FELCA, tr|M3WQZ0|M3WQZ0_FELCA, tr|A0A2I2UR03|A0A2I2UR03_FELCA, tr|A0A2I2U7V5|A0A2I2U7V5_FELCA, tr|A0A5F5XWN1|A0A5F5XWN1_FELCA, tr|A0A337SMC8|A0A337SMC8_FELCA, tr|M3X1U1|M3X1U1_FELCA, tr|M3X8B9|M3X8B9_FELCA, tr|M3X7Y8|M3X7Y8_FELCA, tr|M3WSR1|M3WSR1_FELCA, tr|A0A5F5XYW9|A0A5F5XYW9_FELCA, tr|A0A337SET4|A0A337SET4_FELCA, tr|A0A337SKK2|A0A337SKK2_FELCA, tr|A0A5F5XUX9|A0A5F5XUX9_FELCA, tr|M3WAR5|M3WAR5_FELCA, tr|M3WTX8|M3WTX8_FELCA, tr|M3X957|M3X957_FELCA, tr|M3WRU0|M3WRU0_FELCA, tr|M3XAA9|M3XAA9_FELCA, tr|A0A337S974|A0A337S974_FELCA, tr|M3WSL2|M3WSL2_FELCA
OG0000006	sp|Q8NH63|O51H1_HUMAN	tr|M3WEA9|M3WEA9_FELCA
OG0000006	sp|Q9H2C8|O51V1_HUMAN	tr|M3WXS6|M3WXS6_FELCA, tr|M3W975|M3W975_FELCA, tr|A0A2I2U891|A0A2I2U891_FELCA, tr|M3XE81|M3XE81_FELCA, tr|M3W0A3|M3W0A3_FELCA, tr|M3XB10|M3XB10_FELCA, tr|M3X6C8|M3X6C8_FELCA
OG0000006	sp|Q8NH59|O51Q1_HUMAN	tr|A0A2I2USS6|A0A2I2USS6_FELCA, tr|M3X913|M3X913_FELCA, tr|A0A337S8D2|A0A337S8D2_FELCA
OG0000006	sp|Q8NGK1|O51G1_HUMAN	tr|M3WEB1|M3WEB1_FELCA, tr|M3WQY9|M3WQY9_FELCA
OG0000006	sp|Q9H342|O51J1_HUMAN	tr|M3X2U1|M3X2U1_FELCA, tr|M3WVE6|M3WVE6_FELCA, tr|M3X2L9|M3X2L9_FELCA
OG0000006	sp|Q9H343|O51I1_HUMAN	tr|A0A2I2UJC5|A0A2I2UJC5_FELCA, tr|A0A2I2UWX6|A0A2I2UWX6_FELCA, tr|M3WW03|M3WW03_FELCA, tr|M3XG15|M3XG15_FELCA
OG0000007	sp|Q8NH18|OR5J2_HUMAN	tr|M3WT72|M3WT72_FELCA
OG0000007	sp|Q8NGP4|OR5M3_HUMAN	tr|M3WIW8|M3WIW8_FELCA
OG0000007	sp|Q8NGP3|OR5M9_HUMAN	tr|M3WEW9|M3WEW9_FELCA
OG0000007	sp|Q8NGP6|OR5M8_HUMAN	tr|M3VUZ6|M3VUZ6_FELCA
OG0000007	sp|Q96RB7|OR5MB_HUMAN	tr|A0A2I2UXW8|A0A2I2UXW8_FELCA, tr|A0A2I2U1P5|A0A2I2U1P5_FELCA, tr|A0A2I2UGC6|A0A2I2UGC6_FELCA, tr|A0A2I2UCD5|A0A2I2UCD5_FELCA, tr|A0A2I2UXN4|A0A2I2UXN4_FELCA, tr|M3X1U8|M3X1U8_FELCA, tr|M3XA92|M3XA92_FELCA, tr|A0A5F5XRW1|A0A5F5XRW1_FELCA, tr|A0A2I2UB32|A0A2I2UB32_FELCA
OG0000007	sp|Q8NH85|OR5R1_HUMAN	tr|M3WQI3|M3WQI3_FELCA, tr|M3WCM6|M3WCM6_FELCA
OG0000007	sp|P0C626|OR5G3_HUMAN	tr|A0A337S6H3|A0A337S6H3_FELCA, tr|M3X7I4|M3X7I4_FELCA, tr|M3WTS6|M3WTS6_FELCA, tr|M3XEZ2|M3XEZ2_FELCA, tr|A0A2I2UF16|A0A2I2UF16_FELCA, tr|A0A337SQ84|A0A337SQ84_FELCA
OG0000009	sp|Q8NGB8|O4F15_HUMAN	tr|A0A337SCX4|A0A337SCX4_FELCA, tr|M3WX87|M3WX87_FELCA, tr|M3WYR3|M3WYR3_FELCA, tr|M3X2L5|M3X2L5_FELCA, tr|A0A337RY24|A0A337RY24_FELCA, tr|A0A2I2URR7|A0A2I2URR7_FELCA, tr|A0A2I2UWX4|A0A2I2UWX4_FELCA, tr|M3W2E2|M3W2E2_FELCA, tr|A0A5F5XT49|A0A5F5XT49_FELCA, tr|M3WSC2|M3WSC2_FELCA, tr|M3XBP8|M3XBP8_FELCA, tr|M3X3H0|M3X3H0_FELCA, tr|M3WSC1|M3WSC1_FELCA, tr|A0A5F5XJ56|A0A5F5XJ56_FELCA, tr|A0A337SM43|A0A337SM43_FELCA, tr|M3X9F7|M3X9F7_FELCA, tr|M3X437|M3X437_FELCA, tr|M3XET7|M3XET7_FELCA, tr|A0A337RWZ4|A0A337RWZ4_FELCA, tr|A0A337SA89|A0A337SA89_FELCA, tr|A0A5F5Y7C5|A0A5F5Y7C5_FELCA, tr|M3VXP1|M3VXP1_FELCA, tr|M3WUJ6|M3WUJ6_FELCA, tr|A0A2I2U524|A0A2I2U524_FELCA, tr|A0A2I2UBX2|A0A2I2UBX2_FELCA, tr|M3X6Z4|M3X6Z4_FELCA, tr|A0A5F5Y6B4|A0A5F5Y6B4_FELCA, tr|M3WI07|M3WI07_FELCA, tr|A0A337S9N0|A0A337S9N0_FELCA, tr|M3WWS9|M3WWS9_FELCA, tr|A0A2I2UQE1|A0A2I2UQE1_FELCA
OG0000010	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN	tr|A0A2I2UP36|A0A2I2UP36_FELCA
OG0000011	sp|Q8NGK5|O52M1_HUMAN	tr|M3XDC1|M3XDC1_FELCA
OG0000011	sp|Q8NGF1|O52R1_HUMAN	tr|A0A337S595|A0A337S595_FELCA, tr|A0A2I2V0W8|A0A2I2V0W8_FELCA, tr|A0A337SAS5|A0A337SAS5_FELCA
OG0000011	sp|Q8NH60|O52J3_HUMAN	tr|M3XAQ9|M3XAQ9_FELCA, tr|M3WRZ0|M3WRZ0_FELCA, tr|A0A337S6X0|A0A337S6X0_FELCA, tr|A0A337SDR4|A0A337SDR4_FELCA, tr|A0A2I2UJB2|A0A2I2UJB2_FELCA, tr|A0A2I2U6H7|A0A2I2U6H7_FELCA, tr|M3X5R3|M3X5R3_FELCA, tr|M3WU20|M3WU20_FELCA, tr|A0A2I2V3Z8|A0A2I2V3Z8_FELCA, tr|M3W5Z4|M3W5Z4_FELCA, tr|M3WSC9|M3WSC9_FELCA, tr|M3WQA7|M3WQA7_FELCA, tr|A0A2I2U0B2|A0A2I2U0B2_FELCA, tr|A0A2I2U793|A0A2I2U793_FELCA, tr|A0A337S806|A0A337S806_FELCA, tr|M3WS81|M3WS81_FELCA, tr|A0A5F5XF44|A0A5F5XF44_FELCA, tr|M3VWG6|M3VWG6_FELCA
OG0000012	sp|O60384|ZN861_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q9ULM2|ZN490_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q8TBZ8|ZN564_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q9BS34|ZN670_HUMAN	tr|A0A2I2UBB3|A0A2I2UBB3_FELCA
OG0000013	sp|Q9H7L2|KI3X1_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14952|KI2S3_HUMAN	tr|A0A5F5Y803|A0A5F5Y803_FELCA
OG0000014	sp|Q8NHA8|OR1FC_HUMAN	tr|M3X944|M3X944_FELCA
OG0000014	sp|Q8NH06|OR1P1_HUMAN	tr|M3WPD7|M3WPD7_FELCA, tr|A0A337S8T9|A0A337S8T9_FELCA, tr|M3XFC1|M3XFC1_FELCA, tr|M3X0M5|M3X0M5_FELCA, tr|M3WR48|M3WR48_FELCA, tr|M3X457|M3X457_FELCA, tr|M3XF42|M3XF42_FELCA, tr|M3XD10|M3XD10_FELCA, tr|A0A5F5Y6X9|A0A5F5Y6X9_FELCA
OG0000014	sp|Q8NGA1|OR1M1_HUMAN	tr|M3X7Q2|M3X7Q2_FELCA, tr|M3WVM5|M3WVM5_FELCA, tr|A0A337SQF8|A0A337SQF8_FELCA, tr|M3WR61|M3WR61_FELCA
OG0000015	sp|Q8NHC8|OR2T6_HUMAN	tr|A0A2I2UMZ8|A0A2I2UMZ8_FELCA
OG0000015	sp|O43869|OR2T1_HUMAN	tr|M3X5N6|M3X5N6_FELCA, tr|M3WYS4|M3WYS4_FELCA, tr|A0A337SQR6|A0A337SQR6_FELCA, tr|M3WUE8|M3WUE8_FELCA, tr|M3WSJ9|M3WSJ9_FELCA, tr|M3X3C3|M3X3C3_FELCA, tr|M3XFD9|M3XFD9_FELCA, tr|M3XDL7|M3XDL7_FELCA, tr|M3WWE1|M3WWE1_FELCA, tr|M3WVN6|M3WVN6_FELCA, tr|M3X9B4|M3X9B4_FELCA, tr|M3X731|M3X731_FELCA, tr|A0A5F5XMK8|A0A5F5XMK8_FELCA, tr|M3X296|M3X296_FELCA, tr|A0A2I2UKK0|A0A2I2UKK0_FELCA, tr|A0A2I2V0W4|A0A2I2V0W4_FELCA, tr|M3WU68|M3WU68_FELCA, tr|M3WJ79|M3WJ79_FELCA, tr|A0A5F5XXM2|A0A5F5XXM2_FELCA, tr|M3X5F4|M3X5F4_FELCA, tr|M3XEZ4|M3XEZ4_FELCA, tr|M3WRG1|M3WRG1_FELCA, tr|A0A5F5XEU1|A0A5F5XEU1_FELCA, tr|M3X9U6|M3X9U6_FELCA
OG0000016	sp|Q6NSI1|AR26L_HUMAN	tr|A0A5F5XIX4|A0A5F5XIX4_FELCA
OG0000016	sp|A7E2S9|A30BL_HUMAN, sp|Q9BXX3|AN30A_HUMAN, sp|Q9BXX2|AN30B_HUMAN, sp|Q96IX9|A26L1_HUMAN, sp|Q8N2N9|AN36B_HUMAN, sp|A6QL64|AN36A_HUMAN, sp|Q5JPF3|AN36C_HUMAN, sp|A6NC57|ANR62_HUMAN, sp|Q9UPS8|ANR26_HUMAN, sp|Q6NUI1|C144L_HUMAN, sp|A2RUR9|C144A_HUMAN, sp|Q3MJ40|C144B_HUMAN, sp|Q8IYA2|C144C_HUMAN, sp|Q9H560|ANR19_HUMAN, sp|Q8IVF6|AN18A_HUMAN, sp|A2A2Z9|AN18B_HUMAN, sp|Q8NF67|A2012_HUMAN, sp|A0PJZ0|A20A5_HUMAN, sp|Q5CZ79|AN20B_HUMAN, sp|Q5VUR7|A20A3_HUMAN, sp|Q4UJ75|A20A4_HUMAN, sp|Q5TYW2|A20A1_HUMAN, sp|Q5SQ80|A20A2_HUMAN, sp|Q92527|ANKR7_HUMAN	tr|A0A5F5XCV9|A0A5F5XCV9_FELCA
OG0000017	sp|Q8NFZ6|VN1R2_HUMAN	tr|M3X9B0|M3X9B0_FELCA
OG0000017	sp|Q9GZP7|VN1R1_HUMAN	tr|M3XG92|M3XG92_FELCA, tr|M3WZ61|M3WZ61_FELCA, tr|M3WW79|M3WW79_FELCA, tr|M3WW21|M3WW21_FELCA, tr|M3XAN2|M3XAN2_FELCA, tr|M3WS89|M3WS89_FELCA, tr|A0A337S5K1|A0A337S5K1_FELCA, tr|A0A5F5XUT6|A0A5F5XUT6_FELCA, tr|M3WXH7|M3WXH7_FELCA
OG0000017	sp|Q7Z5H5|VN1R4_HUMAN	tr|A0A0A0Y877|A0A0A0Y877_FELCA, tr|A0A0A0Y3P0|A0A0A0Y3P0_FELCA, tr|M3WJE8|M3WJE8_FELCA, tr|M3X8C7|M3X8C7_FELCA, tr|M3XCI6|M3XCI6_FELCA, tr|M3WR80|M3WR80_FELCA, tr|M3WW12|M3WW12_FELCA, tr|A0A337SL01|A0A337SL01_FELCA, tr|A0A337SG26|A0A337SG26_FELCA, tr|A0A337STV1|A0A337STV1_FELCA, tr|M3WYF1|M3WYF1_FELCA
OG0000021	sp|Q8NGG7|OR8A1_HUMAN	tr|M3X988|M3X988_FELCA, tr|A0A5F5XL81|A0A5F5XL81_FELCA, tr|M3WPS2|M3WPS2_FELCA
OG0000021	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A5F5XDI9|A0A5F5XDI9_FELCA
OG0000021	sp|Q96RC9|OR8B4_HUMAN	tr|M3WW58|M3WW58_FELCA, tr|M3X6J3|M3X6J3_FELCA, tr|A0A337RWI7|A0A337RWI7_FELCA, tr|M3XC67|M3XC67_FELCA, tr|M3WWR8|M3WWR8_FELCA, tr|A0A337S367|A0A337S367_FELCA, tr|A0A337SI80|A0A337SI80_FELCA, tr|M3WRL7|M3WRL7_FELCA, tr|A0A337S079|A0A337S079_FELCA, tr|M3WQ61|M3WQ61_FELCA, tr|A0A337SUV0|A0A337SUV0_FELCA, tr|M3X6M5|M3X6M5_FELCA, tr|A0A337SWS3|A0A337SWS3_FELCA, tr|M3W928|M3W928_FELCA, tr|A0A2I2UVX4|A0A2I2UVX4_FELCA, tr|M3X6P4|M3X6P4_FELCA, tr|M3X5R9|M3X5R9_FELCA
OG0000022	sp|A6NLX3|SPDE4_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN	tr|A0A5F5XND6|A0A5F5XND6_FELCA, tr|M3VXC4|M3VXC4_FELCA
OG0000023	sp|Q8WTP9|XAGE3_HUMAN, sp|Q96GT9|XAGE2_HUMAN, sp|Q8WWM1|XAGE5_HUMAN, sp|O75459|PAGE1_HUMAN, sp|A6NGK3|GAG10_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|A1L429|GG12C_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|A6NER3|GG12J_HUMAN	tr|A0A5F5Y4M5|A0A5F5Y4M5_FELCA
OG0000026	sp|A0A0K0K1C4|TVB27_HUMAN	tr|A0A5F5XLZ0|A0A5F5XLZ0_FELCA
OG0000026	sp|A0A075B6N1|TVB19_HUMAN	tr|A0A5F5XYK5|A0A5F5XYK5_FELCA
OG0000026	sp|A0A5B6|TVB28_HUMAN	tr|A0A5F5Y1C3|A0A5F5Y1C3_FELCA
OG0000026	sp|A0A075B6N3|TVBX1_HUMAN	tr|A0A5F5XT08|A0A5F5XT08_FELCA
OG0000026	sp|A0A0K0K1A3|TVBJ1_HUMAN, sp|A0A0K0K1G8|TVBJ2_HUMAN, sp|A0A0K0K1G6|TVBJ3_HUMAN, sp|A0A1B0GX49|TVB64_HUMAN, sp|P0DPF7|TVB63_HUMAN, sp|A0A0J9YXY3|TVB62_HUMAN, sp|A0A0K0K1D8|TVB61_HUMAN, sp|A0A0J9YX75|TVB69_HUMAN, sp|A0A0A6YYG3|TVB68_HUMAN, sp|A0A0A0MS04|TVB67_HUMAN, sp|A0A0K0K1A5|TVB65_HUMAN, sp|A0A0A6YYG2|TVB66_HUMAN	tr|A0A5F5XY85|A0A5F5XY85_FELCA
OG0000027	sp|Q8N7M2|ZN283_HUMAN	tr|M3X5K8|M3X5K8_FELCA
OG0000027	sp|Q86XU0|ZN677_HUMAN	tr|A0A5F5XWM7|A0A5F5XWM7_FELCA, tr|A0A5F5Y6F3|A0A5F5Y6F3_FELCA, tr|A0A5F5XMZ3|A0A5F5XMZ3_FELCA, tr|A0A337SH12|A0A337SH12_FELCA, tr|A0A337SCU0|A0A337SCU0_FELCA, tr|A0A5F5XSJ6|A0A5F5XSJ6_FELCA, tr|A0A5F5Y3I0|A0A5F5Y3I0_FELCA, tr|M3WY03|M3WY03_FELCA, tr|A0A337SA45|A0A337SA45_FELCA, tr|M3X6S0|M3X6S0_FELCA, tr|A0A337RWQ9|A0A337RWQ9_FELCA, tr|A0A5F5Y1H4|A0A5F5Y1H4_FELCA, tr|A0A337S3F4|A0A337S3F4_FELCA, tr|M3WUG0|M3WUG0_FELCA, tr|A0A5F5Y178|A0A5F5Y178_FELCA, tr|A0A5F5Y7B9|A0A5F5Y7B9_FELCA, tr|A0A5F5XM36|A0A5F5XM36_FELCA, tr|A0A5F5Y6F8|A0A5F5Y6F8_FELCA
