Orthogroup	Homo_sapiens	Pongo_abelii
OG0000002	sp|Q86U02|CN165_HUMAN	tr|A0A8I5TP92|A0A8I5TP92_PONAB, tr|A0A8I5TNW3|A0A8I5TNW3_PONAB, tr|A0A8I5TMY3|A0A8I5TMY3_PONAB, tr|A0A8I5YQ17|A0A8I5YQ17_PONAB, tr|A0A8I5UPD5|A0A8I5UPD5_PONAB, tr|A0A8I5THH8|A0A8I5THH8_PONAB, tr|A0A8I5YN59|A0A8I5YN59_PONAB, tr|A0A8I5SZ51|A0A8I5SZ51_PONAB, tr|A0A8I5YRH6|A0A8I5YRH6_PONAB, tr|A0A8I5TQD7|A0A8I5TQD7_PONAB, tr|A0A8I5TSE4|A0A8I5TSE4_PONAB, tr|A0A8I5TJA6|A0A8I5TJA6_PONAB, tr|A0A8I5TZJ6|A0A8I5TZJ6_PONAB, tr|A0A8I5TJ25|A0A8I5TJ25_PONAB, tr|A0A8I5YK27|A0A8I5YK27_PONAB, tr|A0A8I5TBJ4|A0A8I5TBJ4_PONAB, tr|A0A8I5TJE1|A0A8I5TJE1_PONAB, tr|A0A8I5UVM5|A0A8I5UVM5_PONAB, tr|A0A8I5TXM3|A0A8I5TXM3_PONAB, tr|A0A8I5TMN1|A0A8I5TMN1_PONAB, tr|A0A8I5YNP5|A0A8I5YNP5_PONAB, tr|A0A8I5YU15|A0A8I5YU15_PONAB, tr|A0A8I5TCV7|A0A8I5TCV7_PONAB, tr|A0A8I5T3H5|A0A8I5T3H5_PONAB, tr|A0A8I5U7P1|A0A8I5U7P1_PONAB, tr|H2PAE0|H2PAE0_PONAB, tr|A0A8I5T311|A0A8I5T311_PONAB, tr|A0A8I5T3W7|A0A8I5T3W7_PONAB, tr|A0A8I5THT6|A0A8I5THT6_PONAB, tr|A0A8I5TA80|A0A8I5TA80_PONAB, tr|A0A8I5TVI7|A0A8I5TVI7_PONAB, tr|A0A8I5YS72|A0A8I5YS72_PONAB, tr|A0A8I5UQG5|A0A8I5UQG5_PONAB, tr|A0A8I5UAV7|A0A8I5UAV7_PONAB, tr|A0A8I5TUP4|A0A8I5TUP4_PONAB, tr|A0A8I5T7W1|A0A8I5T7W1_PONAB, tr|A0A8I5US30|A0A8I5US30_PONAB, tr|H2N509|H2N509_PONAB, tr|A0A8I5U3G1|A0A8I5U3G1_PONAB, tr|A0A8I5TLE6|A0A8I5TLE6_PONAB, tr|A0A8I5T152|A0A8I5T152_PONAB, tr|A0A8I5UPA5|A0A8I5UPA5_PONAB, tr|H2NK45|H2NK45_PONAB, tr|A0A8I5UQL1|A0A8I5UQL1_PONAB, tr|A0A8I5TBG2|A0A8I5TBG2_PONAB, tr|A0A8I5UVA5|A0A8I5UVA5_PONAB, tr|H2NHY4|H2NHY4_PONAB, tr|A0A8I5TGI0|A0A8I5TGI0_PONAB
OG0000005	sp|Q8NGI2|O52N4_HUMAN	tr|A0A2J8SVU5|A0A2J8SVU5_PONAB
OG0000005	sp|Q8NGK3|O52K2_HUMAN	tr|H2NEH3|H2NEH3_PONAB
OG0000005	sp|Q8NGK4|O52K1_HUMAN	tr|H2NEH2|H2NEH2_PONAB
OG0000005	sp|Q8NGJ2|O52H1_HUMAN	tr|H2NEC6|H2NEC6_PONAB
OG0000005	sp|Q96RD2|O52B2_HUMAN	tr|A0A8I5TUN2|A0A8I5TUN2_PONAB
OG0000005	sp|Q8NGF1|O52R1_HUMAN, sp|Q9H2C5|O52A5_HUMAN	tr|A0A6D2XLU3|A0A6D2XLU3_PONAB
OG0000005	sp|Q8NH53|O52N1_HUMAN	tr|A0A2J8SVU9|A0A2J8SVU9_PONAB
OG0000005	sp|Q8NGI0|O52N2_HUMAN, sp|Q8NH56|O52N5_HUMAN	tr|A0A8I5URT4|A0A8I5URT4_PONAB
OG0000006	sp|Q96R69|OR4F4_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGA8|O4F17_HUMAN	tr|H2NPD0|H2NPD0_PONAB
OG0000006	sp|Q8NGC6|OR4KH_HUMAN	tr|H2NKG7|H2NKG7_PONAB
OG0000006	sp|Q8IXE1|OR4N5_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN	tr|A0A8I5YQ54|A0A8I5YQ54_PONAB
OG0000006	sp|Q8NGD0|OR4M1_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN	tr|A0A8I5SZT1|A0A8I5SZT1_PONAB, tr|H2NKG3|H2NKG3_PONAB
OG0000006	sp|Q8NGN0|OR4D5_HUMAN	tr|A0A8I5TWF2|A0A8I5TWF2_PONAB
OG0000006	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|H2NMJ3|H2NMJ3_PONAB
OG0000006	sp|Q8NH43|OR4L1_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q8NH41|OR4KF_HUMAN	tr|H2PUC4|H2PUC4_PONAB
OG0000007	sp|Q99706|KI2L4_HUMAN	tr|A0A8I5YK95|A0A8I5YK95_PONAB
OG0000007	sp|P43628|KI2L3_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43627|KI2L2_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, sp|Q9H7L2|KI3X1_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN	tr|H2P052|H2P052_PONAB
OG0000008	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A8I5YQR7|A0A8I5YQR7_PONAB
OG0000008	sp|O76000|OR2B3_HUMAN	tr|H2PL34|H2PL34_PONAB
OG0000008	sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN	tr|H2PI95|H2PI95_PONAB
OG0000008	sp|O95371|OR2C1_HUMAN	tr|H2NPY7|H2NPY7_PONAB
OG0000008	sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN	tr|A0A2J8SJX7|A0A2J8SJX7_PONAB
OG0000008	sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q8N628|OR2C3_HUMAN	tr|H2N367|H2N367_PONAB
OG0000008	sp|P59922|OR2B8_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN	tr|H2P0U8|H2P0U8_PONAB
OG0000010	sp|Q7L945|ZN627_HUMAN	tr|H2NXM6|H2NXM6_PONAB
OG0000010	sp|Q9BS34|ZN670_HUMAN	tr|H2N372|H2N372_PONAB
OG0000010	sp|Q3KP31|ZN791_HUMAN	sp|Q5REI6|ZN791_PONAB, tr|A0A8I5TPS4|A0A8I5TPS4_PONAB
OG0000010	sp|P52737|ZN136_HUMAN	sp|Q5REK1|ZN136_PONAB, tr|A0A8I5UQ37|A0A8I5UQ37_PONAB
OG0000010	sp|P17024|ZNF20_HUMAN	tr|H2NXN1|H2NXN1_PONAB
OG0000010	sp|C9JN71|ZN878_HUMAN	tr|H2NXN5|H2NXN5_PONAB
OG0000010	sp|Q96I27|ZN625_HUMAN	tr|K7ETZ7|K7ETZ7_PONAB, tr|A0A8I5U7W0|A0A8I5U7W0_PONAB, tr|K7ESV5|K7ESV5_PONAB
OG0000011	sp|A6NIJ9|O6C70_HUMAN	tr|H2NHL6|H2NHL6_PONAB
OG0000011	sp|A6NF89|OR6C6_HUMAN	tr|A0A8I5TRH1|A0A8I5TRH1_PONAB
OG0000011	sp|A6NL08|O6C75_HUMAN	tr|A0A2J8UI85|A0A2J8UI85_PONAB
OG0000011	sp|Q96RD1|OR6C1_HUMAN, sp|Q9NZP0|OR6C3_HUMAN	tr|A0A6D2XBG5|A0A6D2XBG5_PONAB
OG0000011	sp|A6NCV1|O6C74_HUMAN	tr|H2NJ95|H2NJ95_PONAB
OG0000011	sp|A6NDL8|O6C68_HUMAN, sp|Q9NZP2|OR6C2_HUMAN	tr|H2NHL5|H2NHL5_PONAB
OG0000011	sp|Q8NH40|OR6S1_HUMAN, sp|Q8N148|OR6V1_HUMAN, sp|Q8NGU1|OR9A1_HUMAN, sp|Q8NGT5|OR9A2_HUMAN, sp|Q8NGU2|OR9A4_HUMAN, sp|Q8NGN1|OR6T1_HUMAN	tr|A0A8I5TVP5|A0A8I5TVP5_PONAB
OG0000011	sp|Q8NGE2|O2AP1_HUMAN, sp|Q8NGE1|OR6C4_HUMAN	tr|A0A6D2X413|A0A6D2X413_PONAB
OG0000012	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A8I5T3I3|A0A8I5T3I3_PONAB
OG0000012	sp|Q8NH49|OR4X1_HUMAN, sp|Q8NGF8|OR4B1_HUMAN, sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NGL7|OR4P4_HUMAN, sp|Q8NH73|OR4S2_HUMAN, sp|Q8NGL9|OR4CG_HUMAN, sp|Q6IEV9|OR4CB_HUMAN, sp|Q8NH83|OR4A5_HUMAN, sp|P0C604|OR4A8_HUMAN, sp|Q8NH70|O4A16_HUMAN, sp|Q6IF82|O4A47_HUMAN, sp|Q8NGN8|OR4A4_HUMAN, sp|Q8NGL6|O4A15_HUMAN, sp|Q96R67|OR4CC_HUMAN, sp|Q8NGP0|OR4CD_HUMAN, sp|A6NHA9|O4C46_HUMAN, sp|A6NMZ5|O4C45_HUMAN, sp|Q8NGB2|OR4C5_HUMAN, sp|Q8NH72|OR4C6_HUMAN, sp|Q8NGM1|OR4CF_HUMAN, sp|Q8NH37|OR4C3_HUMAN	tr|H2NDH6|H2NDH6_PONAB
OG0000013	sp|Q8NFV5|SPDE1_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN	tr|H2PLD7|H2PLD7_PONAB
OG0000013	sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|A6NLX3|SPDE4_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN	tr|H2PXG2|H2PXG2_PONAB
OG0000014	sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9UN70|PCDGK_HUMAN	tr|K7ESZ1|K7ESZ1_PONAB
OG0000016	sp|A6NNH2|F90AR_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A8MX19|F90AC_HUMAN	tr|H2NZZ8|H2NZZ8_PONAB
OG0000017	sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|Q6QN14|U17L6_HUMAN	tr|A0A8I5TBA5|A0A8I5TBA5_PONAB
OG0000018	sp|A0A0B4J2H0|HV69D_HUMAN, sp|P01742|HV169_HUMAN	tr|A0A8I5U2H3|A0A8I5U2H3_PONAB
OG0000018	sp|A0A0C4DH39|HV158_HUMAN	tr|A0A8I5TER4|A0A8I5TER4_PONAB
OG0000018	tr|A0A0J9YW62|A0A0J9YW62_HUMAN, sp|P0DTW3|HV384_HUMAN	tr|A0A8I5UV38|A0A8I5UV38_PONAB
OG0000018	sp|P0DP01|HV108_HUMAN, sp|P23083|HV102_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN	tr|A0A8I5YK86|A0A8I5YK86_PONAB
OG0000020	sp|A6NGK3|GAG10_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|A1L429|GG12C_HUMAN, sp|A6NDE8|GG12H_HUMAN	tr|H2PVM5|H2PVM5_PONAB, tr|H2PVM4|H2PVM4_PONAB
OG0000024	sp|P63133|POK8_HUMAN, sp|P63136|POK25_HUMAN, sp|Q9BXR3|POK6_HUMAN, sp|Q9WJR5|POK19_HUMAN, sp|P63132|PO113_HUMAN, sp|Q9QC07|POK18_HUMAN, sp|Q9UQG0|POK11_HUMAN, sp|P10266|POK10_HUMAN, sp|P63135|POK7_HUMAN, sp|P61574|RE113_HUMAN, sp|P61576|REC04_HUMAN, sp|P61578|REC16_HUMAN, sp|Q9NX77|ENK13_HUMAN, sp|P61565|ENK21_HUMAN, sp|Q902F9|EN113_HUMAN, sp|P61568|ENK11_HUMAN	tr|A0A8I5TH56|A0A8I5TH56_PONAB
OG0000025	sp|O75022|LIRB3_HUMAN	tr|H2P0M7|H2P0M7_PONAB
OG0000025	sp|Q8N149|LIRA2_HUMAN	tr|A0A2J8XRE3|A0A2J8XRE3_PONAB
OG0000025	sp|Q8N6C8|LIRA3_HUMAN, sp|O75019|LIRA1_HUMAN	tr|A0A8I5U6Y4|A0A8I5U6Y4_PONAB
OG0000025	sp|P59901|LIRA4_HUMAN	tr|H2P029|H2P029_PONAB
OG0000025	sp|Q6PI73|LIRA6_HUMAN	tr|K7EVB9|K7EVB9_PONAB
OG0000025	sp|O75023|LIRB5_HUMAN	tr|H2P0K3|H2P0K3_PONAB
OG0000025	sp|Q8NHL6|LIRB1_HUMAN, sp|Q8N423|LIRB2_HUMAN	tr|A0A2J8XRB6|A0A2J8XRB6_PONAB
OG0000026	sp|P01709|LV208_HUMAN	tr|K7EVZ0|K7EVZ0_PONAB
OG0000026	sp|P01721|LV657_HUMAN	tr|H2P3Q4|H2P3Q4_PONAB
OG0000026	sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P01701|LV151_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN	tr|H2P3Q6|H2P3Q6_PONAB
OG0000026	sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN	tr|A0A8I5TRP8|A0A8I5TRP8_PONAB
OG0000027	sp|Q96QV6|H2A1A_HUMAN	tr|H2PI41|H2PI41_PONAB
OG0000027	sp|A0A3B3IU63|H2AL3_HUMAN, tr|A0A8Q3WKH5|A0A8Q3WKH5_HUMAN, sp|P0C0S8|H2A1_HUMAN, sp|Q6FI13|H2A2A_HUMAN, sp|Q7L7L0|H2A3_HUMAN, sp|P04908|H2A1B_HUMAN, sp|P20671|H2A1D_HUMAN, sp|Q93077|H2A1C_HUMAN, sp|Q99878|H2A1J_HUMAN, sp|Q96KK5|H2A1H_HUMAN, sp|Q9BTM1|H2AJ_HUMAN, sp|Q16777|H2A2C_HUMAN, sp|Q8IUE6|H2A2B_HUMAN	tr|H2N611|H2N611_PONAB
OG0000028	sp|Q99879|H2B1M_HUMAN, sp|P0DW85|H2BN1_HUMAN, sp|Q99880|H2B1L_HUMAN, sp|Q8N257|H2B3B_HUMAN, sp|P23527|H2B1O_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|P58876|H2B1D_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|P33778|H2B1B_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q16778|H2B2E_HUMAN, sp|P06899|H2B1J_HUMAN, sp|P57053|H2BFS_HUMAN, sp|O60814|H2B1K_HUMAN	tr|H2PI87|H2PI87_PONAB
OG0000029	sp|Q9Y5I4|PCDC2_HUMAN, sp|Q9H158|PCDC1_HUMAN, sp|Q9Y5H7|PCDA5_HUMAN, sp|Q9Y5H9|PCDA2_HUMAN, sp|Q9Y5I3|PCDA1_HUMAN, sp|Q9Y5I0|PCDAD_HUMAN, sp|Q9UN73|PCDA6_HUMAN, sp|Q9Y5H6|PCDA8_HUMAN, sp|Q9UN75|PCDAC_HUMAN, sp|Q9Y5I2|PCDAA_HUMAN, sp|Q9Y5I1|PCDAB_HUMAN, sp|Q9UN74|PCDA4_HUMAN, sp|Q9Y5H5|PCDA9_HUMAN, sp|Q9UN72|PCDA7_HUMAN, sp|Q9Y5H8|PCDA3_HUMAN	tr|H2PGU6|H2PGU6_PONAB
OG0000030	tr|A0A126GWB0|A0A126GWB0_HUMAN, sp|Q6IF42|OR2A2_HUMAN	tr|A0A8I5TW66|A0A8I5TW66_PONAB
OG0000030	tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN, sp|Q96R47|O2A14_HUMAN, sp|Q8NGT7|O2A12_HUMAN, sp|Q96R48|OR2A5_HUMAN, tr|A0A2R8YEV3|A0A2R8YEV3_HUMAN, sp|Q8NGT9|OR2A1_HUMAN, tr|A0A2R8YEG4|A0A2R8YEG4_HUMAN, tr|A0A2R8YEH3|A0A2R8YEH3_HUMAN, sp|Q96R45|OR2A7_HUMAN, sp|O95047|OR2A4_HUMAN, sp|A4D2G3|O2A25_HUMAN, tr|A0A126GWI2|A0A126GWI2_HUMAN	tr|A0A2J8RNE5|A0A2J8RNE5_PONAB
OG0000032	sp|P60014|KR10A_HUMAN, sp|P60368|KR102_HUMAN	tr|H2P3E0|H2P3E0_PONAB
OG0000032	sp|P60369|KR103_HUMAN, sp|P60412|KR10B_HUMAN, sp|P60411|KR109_HUMAN	tr|H2P3E1|H2P3E1_PONAB
OG0000032	sp|P60331|KR101_HUMAN, sp|P60409|KR107_HUMAN, sp|P60413|KR10C_HUMAN, sp|P60371|KR106_HUMAN, sp|P60372|KR104_HUMAN	tr|H2P3E4|H2P3E4_PONAB
OG0000032	sp|P60370|KR105_HUMAN	tr|A0A8I5TSQ2|A0A8I5TSQ2_PONAB
OG0000038	sp|B4DXR9|ZN732_HUMAN	tr|A0A8I5U0B0|A0A8I5U0B0_PONAB
OG0000038	sp|Q8IYB9|ZN595_HUMAN	tr|K7EVJ7|K7EVJ7_PONAB
OG0000038	sp|Q3SXZ3|ZN718_HUMAN	tr|H2PCL3|H2PCL3_PONAB
OG0000039	sp|Q52M93|Z585B_HUMAN	sp|Q5RB30|Z585B_PONAB, tr|A0A8I5TJF3|A0A8I5TJF3_PONAB
OG0000039	sp|Q6P3V2|Z585A_HUMAN	tr|A0A8I5TYN2|A0A8I5TYN2_PONAB
OG0000039	sp|Q06730|ZN33A_HUMAN	tr|H2NA66|H2NA66_PONAB
OG0000039	sp|Q06732|ZN33B_HUMAN	tr|A0A8I5TIA7|A0A8I5TIA7_PONAB
OG0000039	sp|Q2M218|ZN630_HUMAN	tr|A0A8I5TQF8|A0A8I5TQF8_PONAB, tr|A0A8I5SYQ4|A0A8I5SYQ4_PONAB, tr|A0A8I5UTL2|A0A8I5UTL2_PONAB
OG0000040	sp|P59541|T2R30_HUMAN	tr|H2NGL0|H2NGL0_PONAB
OG0000040	sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN	tr|H2NGL6|H2NGL6_PONAB
OG0000040	sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN	tr|H2NGL3|H2NGL3_PONAB
OG0000040	sp|P59539|T2R45_HUMAN	tr|H2NJ88|H2NJ88_PONAB
OG0000040	sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN	tr|H2NGL4|H2NGL4_PONAB
OG0000041	sp|P02538|K2C6A_HUMAN	tr|A0A8I5YP16|A0A8I5YP16_PONAB
OG0000041	sp|Q01546|K22O_HUMAN	tr|H2NHE5|H2NHE5_PONAB
OG0000041	sp|P12035|K2C3_HUMAN	tr|H2NHE6|H2NHE6_PONAB
OG0000041	sp|P13647|K2C5_HUMAN	tr|H2NHD7|H2NHD7_PONAB
OG0000041	sp|O95678|K2C75_HUMAN	tr|H2NHD5|H2NHD5_PONAB
OG0000041	sp|P48668|K2C6C_HUMAN	tr|A0A8I5TWA0|A0A8I5TWA0_PONAB
OG0000042	sp|Q16695|H31T_HUMAN	tr|H2N3G5|H2N3G5_PONAB
