Orthogroup	Homo_sapiens	Enhydra_lutris_kenyoni
OG0000002	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A2Y9IJW1|A0A2Y9IJW1_ENHLU, tr|A0A2Y9IJG0|A0A2Y9IJG0_ENHLU, tr|A0A2Y9IL36|A0A2Y9IL36_ENHLU, tr|A0A2Y9IM79|A0A2Y9IM79_ENHLU, tr|A0A2Y9LFT0|A0A2Y9LFT0_ENHLU
OG0000002	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A2Y9LHH1|A0A2Y9LHH1_ENHLU, tr|A0A2Y9LJ96|A0A2Y9LJ96_ENHLU
OG0000004	sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN, sp|P01615|KVD28_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P06312|KV401_HUMAN, sp|P06315|KV502_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN	tr|A0A2Y9KQV0|A0A2Y9KQV0_ENHLU
OG0000005	sp|O60431|OR1I1_HUMAN	tr|A0A2Y9J199|A0A2Y9J199_ENHLU, tr|A0A2Y9JWB0|A0A2Y9JWB0_ENHLU, tr|A0A2Y9ILT4|A0A2Y9ILT4_ENHLU, tr|A0A2Y9L8P2|A0A2Y9L8P2_ENHLU, tr|A0A2Y9LGP1|A0A2Y9LGP1_ENHLU, tr|A0A2Y9II34|A0A2Y9II34_ENHLU, tr|A0A2Y9IJP3|A0A2Y9IJP3_ENHLU, tr|A0A2Y9LBD1|A0A2Y9LBD1_ENHLU, tr|A0A2Y9L9K0|A0A2Y9L9K0_ENHLU, tr|A0A2Y9LLZ2|A0A2Y9LLZ2_ENHLU, tr|A0A2Y9L9C3|A0A2Y9L9C3_ENHLU, tr|A0A2Y9IZY0|A0A2Y9IZY0_ENHLU, tr|A0A2Y9L9B6|A0A2Y9L9B6_ENHLU, tr|A0A2Y9LLN1|A0A2Y9LLN1_ENHLU, tr|A0A2Y9L8P6|A0A2Y9L8P6_ENHLU, tr|A0A2Y9LBD5|A0A2Y9LBD5_ENHLU, tr|A0A2Y9LGE0|A0A2Y9LGE0_ENHLU, tr|A0A2Y9LGD6|A0A2Y9LGD6_ENHLU, tr|A0A2Y9LLI8|A0A2Y9LLI8_ENHLU, tr|A0A2Y9LLB8|A0A2Y9LLB8_ENHLU, tr|A0A2Y9LG19|A0A2Y9LG19_ENHLU, tr|A0A2Y9LC07|A0A2Y9LC07_ENHLU, tr|A0A2Y9IZ54|A0A2Y9IZ54_ENHLU, tr|A0A2Y9IZS6|A0A2Y9IZS6_ENHLU, tr|A0A2Y9IZ31|A0A2Y9IZ31_ENHLU, tr|A0A2Y9IZL2|A0A2Y9IZL2_ENHLU, tr|A0A2Y9L8Y6|A0A2Y9L8Y6_ENHLU, tr|A0A2Y9IYI7|A0A2Y9IYI7_ENHLU, tr|A0A2Y9IYG9|A0A2Y9IYG9_ENHLU, tr|A0A2Y9L8N7|A0A2Y9L8N7_ENHLU, tr|A0A2Y9J1V2|A0A2Y9J1V2_ENHLU, tr|A0A2Y9JD76|A0A2Y9JD76_ENHLU, tr|A0A2Y9J9H2|A0A2Y9J9H2_ENHLU, tr|A0A2Y9J9G2|A0A2Y9J9G2_ENHLU, tr|A0A2Y9J802|A0A2Y9J802_ENHLU, tr|A0A2Y9JWY1|A0A2Y9JWY1_ENHLU, tr|A0A2Y9KI10|A0A2Y9KI10_ENHLU, tr|A0A2Y9IIF2|A0A2Y9IIF2_ENHLU, tr|A0A2Y9IYK1|A0A2Y9IYK1_ENHLU, tr|A0A2Y9JEW6|A0A2Y9JEW6_ENHLU, tr|A0A2Y9L986|A0A2Y9L986_ENHLU, tr|A0A2Y9LLC5|A0A2Y9LLC5_ENHLU
OG0000006	sp|P12018|VPREB_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|Q99603|TRGV9_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|P04211|LV743_HUMAN, sp|P01705|LV223_HUMAN, sp|P01704|LV214_HUMAN, sp|P01709|LV208_HUMAN, sp|P01706|LV211_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|P01701|LV151_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P01721|LV657_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN	tr|A0A2Y9ISG2|A0A2Y9ISG2_ENHLU
OG0000007	sp|Q8NH72|OR4C6_HUMAN	tr|A0A2Y9JZK7|A0A2Y9JZK7_ENHLU, tr|A0A2Y9JYJ6|A0A2Y9JYJ6_ENHLU
OG0000007	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A2Y9KTM6|A0A2Y9KTM6_ENHLU, tr|A0A2Y9KUG2|A0A2Y9KUG2_ENHLU, tr|A0A2Y9JYY5|A0A2Y9JYY5_ENHLU, tr|A0A2Y9JNS4|A0A2Y9JNS4_ENHLU
OG0000007	sp|Q8NH37|OR4C3_HUMAN	tr|A0A2Y9JNK6|A0A2Y9JNK6_ENHLU, tr|A0A2Y9JPV5|A0A2Y9JPV5_ENHLU
OG0000007	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A2Y9JY07|A0A2Y9JY07_ENHLU
OG0000007	sp|A6NMZ5|O4C45_HUMAN	tr|A0A2Y9JTQ6|A0A2Y9JTQ6_ENHLU, tr|A0A2Y9JV43|A0A2Y9JV43_ENHLU, tr|A0A2Y9JNC0|A0A2Y9JNC0_ENHLU, tr|A0A2Y9JN14|A0A2Y9JN14_ENHLU, tr|A0A2Y9JTP2|A0A2Y9JTP2_ENHLU, tr|A0A2Y9JNV5|A0A2Y9JNV5_ENHLU, tr|A0A2Y9JYS3|A0A2Y9JYS3_ENHLU, tr|A0A2Y9JQI0|A0A2Y9JQI0_ENHLU, tr|A0A2Y9JPJ5|A0A2Y9JPJ5_ENHLU
OG0000008	sp|A6NGY5|O51F1_HUMAN	tr|A0A2Y9KWD7|A0A2Y9KWD7_ENHLU
OG0000008	sp|Q8NH61|O51F2_HUMAN	tr|A0A2Y9KVT1|A0A2Y9KVT1_ENHLU
OG0000008	sp|Q9H342|O51J1_HUMAN	tr|A0A2Y9KTT6|A0A2Y9KTT6_ENHLU
OG0000008	sp|Q8NGK1|O51G1_HUMAN	tr|A0A2Y9KTV4|A0A2Y9KTV4_ENHLU
OG0000008	sp|Q8NGK0|O51G2_HUMAN	tr|A0A2Y9KVG2|A0A2Y9KVG2_ENHLU
OG0000008	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A2Y9L8J7|A0A2Y9L8J7_ENHLU
OG0000008	sp|Q8NH59|O51Q1_HUMAN	tr|A0A2Y9KWB8|A0A2Y9KWB8_ENHLU, tr|A0A2Y9KV56|A0A2Y9KV56_ENHLU, tr|A0A2Y9KVN7|A0A2Y9KVN7_ENHLU, tr|A0A2Y9L1H5|A0A2Y9L1H5_ENHLU, tr|A0A2Y9KUK9|A0A2Y9KUK9_ENHLU
OG0000008	sp|Q8NH63|O51H1_HUMAN	tr|A0A2Y9L7K8|A0A2Y9L7K8_ENHLU, tr|A0A2Y9KUY7|A0A2Y9KUY7_ENHLU, tr|A0A2Y9L7M3|A0A2Y9L7M3_ENHLU, tr|A0A2Y9KUR5|A0A2Y9KUR5_ENHLU
OG0000008	sp|Q9H344|O51I2_HUMAN	tr|A0A2Y9KUU4|A0A2Y9KUU4_ENHLU, tr|A0A2Y9KUT5|A0A2Y9KUT5_ENHLU, tr|A0A2Y9KVL7|A0A2Y9KVL7_ENHLU, tr|A0A2Y9L8L4|A0A2Y9L8L4_ENHLU, tr|A0A2Y9L2D7|A0A2Y9L2D7_ENHLU
OG0000008	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A2Y9KVP4|A0A2Y9KVP4_ENHLU, tr|A0A2Y9L1I6|A0A2Y9L1I6_ENHLU, tr|A0A2Y9L8S7|A0A2Y9L8S7_ENHLU, tr|A0A2Y9KXN3|A0A2Y9KXN3_ENHLU, tr|A0A2Y9KX83|A0A2Y9KX83_ENHLU
OG0000010	sp|Q8N141|ZFP82_HUMAN	tr|A0A2Y9LBB5|A0A2Y9LBB5_ENHLU
OG0000010	sp|Q8TAQ5|ZN420_HUMAN	tr|A0A2Y9L647|A0A2Y9L647_ENHLU
OG0000010	sp|Q7Z3V5|ZN571_HUMAN	tr|A0A2Y9L4J4|A0A2Y9L4J4_ENHLU, tr|A0A2Y9LB52|A0A2Y9LB52_ENHLU
OG0000010	sp|A6NDX5|ZN840_HUMAN	tr|A0A2Y9IUF9|A0A2Y9IUF9_ENHLU
OG0000010	sp|Q7Z2F6|KRBX5_HUMAN, sp|Q14586|ZN267_HUMAN	tr|A0A2Y9ILL1|A0A2Y9ILL1_ENHLU, tr|A0A2Y9L1Q4|A0A2Y9L1Q4_ENHLU, tr|A0A2Y9IHY5|A0A2Y9IHY5_ENHLU, tr|A0A2Y9L0N4|A0A2Y9L0N4_ENHLU, tr|A0A2Y9INJ6|A0A2Y9INJ6_ENHLU, tr|A0A2Y9L288|A0A2Y9L288_ENHLU, tr|A0A2Y9L899|A0A2Y9L899_ENHLU, tr|A0A2Y9IIY9|A0A2Y9IIY9_ENHLU, tr|A0A2Y9LE39|A0A2Y9LE39_ENHLU, tr|A0A2Y9L370|A0A2Y9L370_ENHLU, tr|A0A2Y9II53|A0A2Y9II53_ENHLU, tr|A0A2Y9IJD0|A0A2Y9IJD0_ENHLU, tr|A0A2Y9II25|A0A2Y9II25_ENHLU, tr|A0A2Y9L0I6|A0A2Y9L0I6_ENHLU, tr|A0A2Y9IQB9|A0A2Y9IQB9_ENHLU, tr|A0A2Y9IQH2|A0A2Y9IQH2_ENHLU, tr|A0A2Y9IIY4|A0A2Y9IIY4_ENHLU, tr|A0A2Y9IJ48|A0A2Y9IJ48_ENHLU, tr|A0A2Y9IIH1|A0A2Y9IIH1_ENHLU, tr|A0A2Y9IQB3|A0A2Y9IQB3_ENHLU, tr|A0A2Y9ILW0|A0A2Y9ILW0_ENHLU
OG0000013	sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q08379|GOGA2_HUMAN	tr|A0A2Y9J8A9|A0A2Y9J8A9_ENHLU
OG0000015	sp|Q96RC9|OR8B4_HUMAN	tr|A0A2Y9K6R4|A0A2Y9K6R4_ENHLU
OG0000015	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A2Y9KAX2|A0A2Y9KAX2_ENHLU, tr|A0A2Y9KHE2|A0A2Y9KHE2_ENHLU, tr|A0A2Y9KBU4|A0A2Y9KBU4_ENHLU, tr|A0A2Y9KI89|A0A2Y9KI89_ENHLU, tr|A0A2Y9K5D5|A0A2Y9K5D5_ENHLU, tr|A0A2Y9K5X6|A0A2Y9K5X6_ENHLU, tr|A0A2Y9K6X4|A0A2Y9K6X4_ENHLU, tr|A0A2Y9KH71|A0A2Y9KH71_ENHLU, tr|A0A2Y9KB03|A0A2Y9KB03_ENHLU, tr|A0A2Y9KHD7|A0A2Y9KHD7_ENHLU, tr|A0A2Y9K582|A0A2Y9K582_ENHLU, tr|A0A2Y9KB09|A0A2Y9KB09_ENHLU, tr|A0A2Y9K5Z1|A0A2Y9K5Z1_ENHLU, tr|A0A2Y9K5G0|A0A2Y9K5G0_ENHLU, tr|A0A2Y9K5V9|A0A2Y9K5V9_ENHLU, tr|A0A2Y9KB57|A0A2Y9KB57_ENHLU, tr|A0A2Y9K6V2|A0A2Y9K6V2_ENHLU, tr|A0A2Y9K7F9|A0A2Y9K7F9_ENHLU, tr|A0A2Y9KAZ4|A0A2Y9KAZ4_ENHLU, tr|A0A2Y9KB24|A0A2Y9KB24_ENHLU, tr|A0A2Y9KI94|A0A2Y9KI94_ENHLU, tr|A0A2Y9K7G4|A0A2Y9K7G4_ENHLU, tr|A0A2Y9K5C1|A0A2Y9K5C1_ENHLU, tr|A0A2Y9K5A8|A0A2Y9K5A8_ENHLU, tr|A0A2Y9KB75|A0A2Y9KB75_ENHLU, tr|A0A2Y9K5J0|A0A2Y9K5J0_ENHLU
OG0000016	sp|P17014|ZNF12_HUMAN	tr|A0A2Y9J9T1|A0A2Y9J9T1_ENHLU
OG0000016	sp|Q9NYW8|RBAK_HUMAN	tr|A0A2Y9J8R6|A0A2Y9J8R6_ENHLU
OG0000016	sp|B1APH4|ZN487_HUMAN	tr|A0A2Y9J2T2|A0A2Y9J2T2_ENHLU
OG0000016	sp|Q06732|ZN33B_HUMAN, sp|Q06730|ZN33A_HUMAN	tr|A0A2Y9J8R8|A0A2Y9J8R8_ENHLU, tr|A0A2Y9J6A5|A0A2Y9J6A5_ENHLU
OG0000016	sp|Q8NDW4|ZN248_HUMAN	tr|A0A2Y9J1W9|A0A2Y9J1W9_ENHLU
OG0000016	sp|Q3ZCT1|ZN260_HUMAN	tr|A0A2Y9L1N5|A0A2Y9L1N5_ENHLU
OG0000016	sp|Q9BY31|ZN717_HUMAN	tr|A0A2Y9JCN0|A0A2Y9JCN0_ENHLU
OG0000016	sp|Q6ZMW2|ZN782_HUMAN	tr|A0A2Y9J2R7|A0A2Y9J2R7_ENHLU, tr|A0A2Y9J4B9|A0A2Y9J4B9_ENHLU, tr|A0A2Y9ILP0|A0A2Y9ILP0_ENHLU
OG0000016	sp|Q9Y2H8|ZN510_HUMAN, sp|Q5TYW1|ZN658_HUMAN, sp|Q4V348|Z658B_HUMAN	tr|A0A2Y9IE24|A0A2Y9IE24_ENHLU
OG0000017	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A2Y9JP63|A0A2Y9JP63_ENHLU, tr|A0A2Y9JTP6|A0A2Y9JTP6_ENHLU, tr|A0A2Y9JPH7|A0A2Y9JPH7_ENHLU, tr|A0A2Y9JZF7|A0A2Y9JZF7_ENHLU
OG0000017	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A2Y9JNV8|A0A2Y9JNV8_ENHLU, tr|A0A2Y9JZD1|A0A2Y9JZD1_ENHLU
OG0000017	sp|Q8NH73|OR4S2_HUMAN	tr|A0A2Y9JNY0|A0A2Y9JNY0_ENHLU
OG0000022	sp|Q9Y5F6|PCDGM_HUMAN	tr|A0A2Y9KX84|A0A2Y9KX84_ENHLU
OG0000022	sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9UN70|PCDGK_HUMAN	tr|A0A2Y9KR75|A0A2Y9KR75_ENHLU
OG0000023	sp|Q8NHA4|O2AE1_HUMAN	tr|A0A2Y9J6W5|A0A2Y9J6W5_ENHLU, tr|A0A2Y9IK66|A0A2Y9IK66_ENHLU, tr|A0A2Y9IQ71|A0A2Y9IQ71_ENHLU, tr|A0A2Y9IMQ2|A0A2Y9IMQ2_ENHLU, tr|A0A2Y9IJB3|A0A2Y9IJB3_ENHLU, tr|A0A2Y9IFB3|A0A2Y9IFB3_ENHLU, tr|A0A2Y9IMQ9|A0A2Y9IMQ9_ENHLU, tr|A0A2Y9IIU9|A0A2Y9IIU9_ENHLU, tr|A0A2Y9IHD0|A0A2Y9IHD0_ENHLU, tr|A0A2Y9IG75|A0A2Y9IG75_ENHLU, tr|A0A2Y9INU9|A0A2Y9INU9_ENHLU, tr|A0A2Y9IHD6|A0A2Y9IHD6_ENHLU, tr|A0A2Y9IG93|A0A2Y9IG93_ENHLU, tr|A0A2Y9IHJ1|A0A2Y9IHJ1_ENHLU, tr|A0A2Y9IMW2|A0A2Y9IMW2_ENHLU, tr|A0A2Y9IG85|A0A2Y9IG85_ENHLU, tr|A0A2Y9INR6|A0A2Y9INR6_ENHLU, tr|A0A2Y9IGA1|A0A2Y9IGA1_ENHLU, tr|A0A2Y9IK82|A0A2Y9IK82_ENHLU, tr|A0A2Y9INR1|A0A2Y9INR1_ENHLU, tr|A0A2Y9IGE5|A0A2Y9IGE5_ENHLU, tr|A0A2Y9IHE6|A0A2Y9IHE6_ENHLU
OG0000025	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A2Y9KVK4|A0A2Y9KVK4_ENHLU
OG0000025	sp|Q8NGJ3|O52E1_HUMAN	tr|A0A2Y9KX88|A0A2Y9KX88_ENHLU, tr|A0A2Y9L2D5|A0A2Y9L2D5_ENHLU
OG0000025	sp|Q8NH55|O52E5_HUMAN	tr|A0A2Y9L8F4|A0A2Y9L8F4_ENHLU
OG0000025	sp|Q8NH60|O52J3_HUMAN	tr|A0A2Y9L8A3|A0A2Y9L8A3_ENHLU, tr|A0A2Y9KUI8|A0A2Y9KUI8_ENHLU, tr|A0A2Y9L294|A0A2Y9L294_ENHLU, tr|A0A2Y9L2A6|A0A2Y9L2A6_ENHLU, tr|A0A2Y9KX77|A0A2Y9KX77_ENHLU, tr|A0A2Y9KUM4|A0A2Y9KUM4_ENHLU, tr|A0A2Y9KUJ9|A0A2Y9KUJ9_ENHLU, tr|A0A2Y9L2B6|A0A2Y9L2B6_ENHLU, tr|A0A2Y9KUQ3|A0A2Y9KUQ3_ENHLU, tr|A0A2Y9KXD8|A0A2Y9KXD8_ENHLU, tr|A0A2Y9KVG5|A0A2Y9KVG5_ENHLU, tr|A0A2Y9KXF4|A0A2Y9KXF4_ENHLU, tr|A0A2Y9KX93|A0A2Y9KX93_ENHLU
