Orthogroup	Homo_sapiens	Capra_hircus
OG0000003	sp|P04433|KV311_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, sp|P06312|KV401_HUMAN, sp|P06315|KV502_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN	tr|A0A452FKS7|A0A452FKS7_CAPHI, tr|A0A452F6Q6|A0A452F6Q6_CAPHI
OG0000005	sp|Q9H343|O51I1_HUMAN	tr|A0A452DSC9|A0A452DSC9_CAPHI
OG0000005	sp|Q9H344|O51I2_HUMAN	tr|A0A452DNY7|A0A452DNY7_CAPHI
OG0000005	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A452E1C5|A0A452E1C5_CAPHI, tr|A0A452DWH5|A0A452DWH5_CAPHI
OG0000005	sp|A6NGY5|O51F1_HUMAN, sp|Q8NH61|O51F2_HUMAN	tr|A0A452E802|A0A452E802_CAPHI
OG0000005	sp|Q9H341|O51M1_HUMAN	tr|A0A452DRM2|A0A452DRM2_CAPHI, tr|A0A452DMN0|A0A452DMN0_CAPHI
OG0000005	sp|Q8NH59|O51Q1_HUMAN	tr|A0A452FV34|A0A452FV34_CAPHI, tr|A0A452DV96|A0A452DV96_CAPHI, tr|A0A452DQC1|A0A452DQC1_CAPHI, tr|A0A452DPF3|A0A452DPF3_CAPHI, tr|A0A452EQL9|A0A452EQL9_CAPHI
OG0000008	sp|Q3KQV3|ZN792_HUMAN	tr|A0A452G1H1|A0A452G1H1_CAPHI
OG0000008	sp|Q9HCX3|ZN304_HUMAN	tr|A0A452F095|A0A452F095_CAPHI
OG0000008	sp|P52740|ZN132_HUMAN	tr|A0A452EK37|A0A452EK37_CAPHI
OG0000008	sp|Q9NXT0|ZN586_HUMAN, sp|Q8IVC4|ZN584_HUMAN, sp|Q96HQ0|ZN419_HUMAN, sp|Q6PK81|ZN773_HUMAN	tr|A0A452FSF3|A0A452FSF3_CAPHI
OG0000009	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN	tr|A0A452DW36|A0A452DW36_CAPHI
OG0000012	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A452EJ93|A0A452EJ93_CAPHI
OG0000012	sp|Q8N141|ZFP82_HUMAN	tr|A0A452F472|A0A452F472_CAPHI
OG0000012	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A452FI83|A0A452FI83_CAPHI
OG0000012	sp|Q969W8|ZN566_HUMAN	tr|A0A452DMJ3|A0A452DMJ3_CAPHI
OG0000012	sp|Q96NG8|ZN582_HUMAN	tr|A0A452EVJ1|A0A452EVJ1_CAPHI
OG0000012	sp|Q6PG37|ZN790_HUMAN, sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A452GAW2|A0A452GAW2_CAPHI
OG0000012	sp|Q14585|ZN345_HUMAN, sp|Q8NCK3|ZN485_HUMAN, sp|P17039|ZNF30_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q96SK3|ZN607_HUMAN	tr|A0A452G6F6|A0A452G6F6_CAPHI
OG0000012	sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN	tr|A0A452EAK8|A0A452EAK8_CAPHI
OG0000013	sp|A6NCF6|MA13P_HUMAN, sp|O15480|MAGB3_HUMAN, sp|Q9BZ81|MAGB5_HUMAN, tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|Q8N7X4|MAGB6_HUMAN, sp|O15481|MAGB4_HUMAN, sp|P43366|MAGB1_HUMAN, sp|O15479|MAGB2_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|Q96LZ2|MAGBA_HUMAN, sp|Q96M61|MAGBI_HUMAN, sp|A2A368|MAGBG_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|P43363|MAGAA_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43361|MAGA8_HUMAN	tr|A0A452ENA6|A0A452ENA6_CAPHI
OG0000015	sp|O15439|MRP4_HUMAN	tr|A0A452E0S7|A0A452E0S7_CAPHI, tr|A0A452E7W5|A0A452E7W5_CAPHI, tr|A0A452DP86|A0A452DP86_CAPHI, tr|A0A452FMN9|A0A452FMN9_CAPHI, tr|A0A452DKL4|A0A452DKL4_CAPHI, tr|A0A452DLU3|A0A452DLU3_CAPHI, tr|A0A452EWE1|A0A452EWE1_CAPHI, tr|A0A452ENG0|A0A452ENG0_CAPHI, tr|A0A452DRN9|A0A452DRN9_CAPHI, tr|A0A452ETF5|A0A452ETF5_CAPHI, tr|A0A452FNI3|A0A452FNI3_CAPHI, tr|A0A452FEI7|A0A452FEI7_CAPHI, tr|A0A452FTA1|A0A452FTA1_CAPHI, tr|A0A452EWP3|A0A452EWP3_CAPHI, tr|A0A452EWL9|A0A452EWL9_CAPHI, tr|A0A452DVR8|A0A452DVR8_CAPHI, tr|A0A452EG50|A0A452EG50_CAPHI, tr|A0A452EET7|A0A452EET7_CAPHI, tr|A0A452DJN4|A0A452DJN4_CAPHI, tr|A0A452E1X9|A0A452E1X9_CAPHI, tr|A0A452EAR3|A0A452EAR3_CAPHI, tr|A0A452EPU5|A0A452EPU5_CAPHI, tr|A0A452F0T3|A0A452F0T3_CAPHI, tr|A0A452EAJ0|A0A452EAJ0_CAPHI, tr|A0A452EV10|A0A452EV10_CAPHI
OG0000019	sp|P05000|IFNW1_HUMAN	tr|A0A452FXH9|A0A452FXH9_CAPHI, tr|A0A452F846|A0A452F846_CAPHI, tr|A0A452DR89|A0A452DR89_CAPHI, tr|A0A452DN00|A0A452DN00_CAPHI, tr|A0A452DLW9|A0A452DLW9_CAPHI, tr|A0A452DNQ7|A0A452DNQ7_CAPHI, tr|A0A452DWM0|A0A452DWM0_CAPHI, tr|A0A452E1Z8|A0A452E1Z8_CAPHI, tr|A0A452E3H0|A0A452E3H0_CAPHI, tr|A0A452FCS6|A0A452FCS6_CAPHI, tr|A0A452FEI4|A0A452FEI4_CAPHI, tr|A0A452F458|A0A452F458_CAPHI, tr|A0A452E0E0|A0A452E0E0_CAPHI, tr|A0A452FA61|A0A452FA61_CAPHI, tr|Q6UZ47|Q6UZ47_CAPHI, sp|P28171|IFNT_CAPHI, tr|A0A452EMN1|A0A452EMN1_CAPHI, tr|A0A452DL97|A0A452DL97_CAPHI, tr|A0A452EM92|A0A452EM92_CAPHI, tr|A0A452F9M7|A0A452F9M7_CAPHI, tr|A0A452E0W9|A0A452E0W9_CAPHI, tr|A0A452F943|A0A452F943_CAPHI, tr|A0A452DYA5|A0A452DYA5_CAPHI, tr|A0A452EDS7|A0A452EDS7_CAPHI
OG0000020	sp|Q9H9J4|UBP42_HUMAN	tr|A0A452F0V7|A0A452F0V7_CAPHI
OG0000020	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|A0A452FPZ4|A0A452FPZ4_CAPHI
OG0000023	sp|Q8NGE7|OR9K2_HUMAN	tr|A0A452F4J4|A0A452F4J4_CAPHI, tr|A0A452G225|A0A452G225_CAPHI, tr|A0A452EDN9|A0A452EDN9_CAPHI
OG0000023	sp|O95221|OR5F1_HUMAN	tr|A0A452EBL5|A0A452EBL5_CAPHI, tr|A0A452E9E6|A0A452E9E6_CAPHI, tr|A0A452E476|A0A452E476_CAPHI, tr|A0A452G9Q4|A0A452G9Q4_CAPHI, tr|A0A452DT85|A0A452DT85_CAPHI, tr|A0A452EXZ9|A0A452EXZ9_CAPHI, tr|A0A452G4I1|A0A452G4I1_CAPHI, tr|A0A452EM06|A0A452EM06_CAPHI, tr|A0A452FCY8|A0A452FCY8_CAPHI, tr|A0A452E4G8|A0A452E4G8_CAPHI, tr|A0A452G9E5|A0A452G9E5_CAPHI, tr|A0A452FL52|A0A452FL52_CAPHI, tr|A0A452EBZ2|A0A452EBZ2_CAPHI, tr|A0A452EK82|A0A452EK82_CAPHI, tr|A0A452FJZ0|A0A452FJZ0_CAPHI, tr|A0A452DZL7|A0A452DZL7_CAPHI, tr|A0A452ECN8|A0A452ECN8_CAPHI, tr|A0A452DQH1|A0A452DQH1_CAPHI, tr|A0A452E8D2|A0A452E8D2_CAPHI
OG0000024	sp|Q5QNW6|H2B2F_HUMAN	tr|A0A452DUW4|A0A452DUW4_CAPHI
OG0000024	sp|Q99877|H2B1N_HUMAN	tr|A0A452DZ62|A0A452DZ62_CAPHI
OG0000024	sp|P33778|H2B1B_HUMAN	tr|A0A452E691|A0A452E691_CAPHI
OG0000024	sp|P58876|H2B1D_HUMAN	tr|A0A452E068|A0A452E068_CAPHI
OG0000024	sp|O60814|H2B1K_HUMAN, sp|P57053|H2BFS_HUMAN	tr|A0A452DMP9|A0A452DMP9_CAPHI
OG0000024	sp|P06899|H2B1J_HUMAN	tr|A0A452E721|A0A452E721_CAPHI
OG0000024	sp|Q16778|H2B2E_HUMAN	tr|A0A452EER2|A0A452EER2_CAPHI
OG0000025	sp|A0A075B6V5|TVA36_HUMAN	tr|A0A452ERP7|A0A452ERP7_CAPHI
OG0000025	sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|P04437|TVA29_HUMAN	tr|A0A452EKG1|A0A452EKG1_CAPHI
OG0000026	sp|Q86UP6|CUZD1_HUMAN	tr|A0A452E6T8|A0A452E6T8_CAPHI, tr|A0A452E606|A0A452E606_CAPHI, tr|A0A452FMF6|A0A452FMF6_CAPHI, tr|A0A452EDE6|A0A452EDE6_CAPHI, tr|A0A452ETI2|A0A452ETI2_CAPHI, tr|A0A452E769|A0A452E769_CAPHI, tr|A0A452EDT6|A0A452EDT6_CAPHI, tr|A0A452EEH9|A0A452EEH9_CAPHI, tr|A0A452FV05|A0A452FV05_CAPHI, tr|A0A452EKI1|A0A452EKI1_CAPHI, tr|A0A452EIM9|A0A452EIM9_CAPHI, tr|A0A452F725|A0A452F725_CAPHI, tr|A0A452ED16|A0A452ED16_CAPHI, tr|A0A452EC83|A0A452EC83_CAPHI, tr|A0A452DWG7|A0A452DWG7_CAPHI, tr|A0A452EGB6|A0A452EGB6_CAPHI, tr|A0A452G5K4|A0A452G5K4_CAPHI, tr|A0A452EQA3|A0A452EQA3_CAPHI, tr|A0A452EFI5|A0A452EFI5_CAPHI, tr|A0A452EIZ8|A0A452EIZ8_CAPHI, tr|A0A452ERU6|A0A452ERU6_CAPHI
OG0000027	sp|P30825|CTR1_HUMAN	tr|A0A452EYM5|A0A452EYM5_CAPHI
OG0000027	sp|Q8WY07|CTR3_HUMAN	tr|A0A452E1L9|A0A452E1L9_CAPHI, tr|A0A452EMK2|A0A452EMK2_CAPHI, tr|A0A452FAX5|A0A452FAX5_CAPHI, tr|A0A452DM13|A0A452DM13_CAPHI, tr|A0A452ECQ8|A0A452ECQ8_CAPHI, tr|A0A452DL12|A0A452DL12_CAPHI, tr|A0A452EQ34|A0A452EQ34_CAPHI, tr|A0A452EHE0|A0A452EHE0_CAPHI, tr|A0A452DMG5|A0A452DMG5_CAPHI, tr|A0A452FTM1|A0A452FTM1_CAPHI, tr|A0A452F3R0|A0A452F3R0_CAPHI, tr|A0A452G892|A0A452G892_CAPHI, tr|A0A452G966|A0A452G966_CAPHI, tr|A0A452DKD4|A0A452DKD4_CAPHI, tr|A0A452EAZ2|A0A452EAZ2_CAPHI, tr|A0A452E2D6|A0A452E2D6_CAPHI, tr|A0A452GA26|A0A452GA26_CAPHI, tr|A0A452E539|A0A452E539_CAPHI, tr|A0A452EEP2|A0A452EEP2_CAPHI
OG0000028	sp|O75459|PAGE1_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|A1L429|GG12C_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|A6NGK3|GAG10_HUMAN, sp|Q8WTP9|XAGE3_HUMAN, sp|Q96GT9|XAGE2_HUMAN, sp|Q8WWM1|XAGE5_HUMAN	tr|A0A452EHU5|A0A452EHU5_CAPHI
OG0000029	sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN	tr|A0A452F8P9|A0A452F8P9_CAPHI
OG0000030	sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN	tr|A0A452G484|A0A452G484_CAPHI
OG0000034	sp|Q3SY84|K2C71_HUMAN	tr|A0A452EP69|A0A452EP69_CAPHI
OG0000034	sp|Q86Y46|K2C73_HUMAN	tr|A0A452FQ73|A0A452FQ73_CAPHI
OG0000034	sp|Q7RTS7|K2C74_HUMAN	tr|A0A452FHZ7|A0A452FHZ7_CAPHI
OG0000034	sp|Q14CN4|K2C72_HUMAN	tr|A0A452G821|A0A452G821_CAPHI
OG0000034	sp|O95678|K2C75_HUMAN, sp|P13647|K2C5_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P02538|K2C6A_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|P12035|K2C3_HUMAN, sp|Q01546|K22O_HUMAN, sp|P35908|K22E_HUMAN, sp|P04264|K2C1_HUMAN, sp|Q7Z794|K2C1B_HUMAN	tr|A0A452ELA7|A0A452ELA7_CAPHI
OG0000035	sp|Q8NGP9|O5AR1_HUMAN	tr|A0A452DPM4|A0A452DPM4_CAPHI
OG0000035	sp|Q8NGF4|O5AP2_HUMAN	tr|A0A452DPV0|A0A452DPV0_CAPHI
OG0000035	sp|Q8NH87|OR9G1_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|P0C617|O5AL1_HUMAN	tr|A0A452E1H3|A0A452E1H3_CAPHI
