Orthogroup	Homo_sapiens	Jaculus_jaculus
OG0000004	sp|Q15622|OR7A5_HUMAN, sp|O60412|OR7C2_HUMAN, sp|O76099|OR7C1_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|O60431|OR1I1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|P47887|OR1E2_HUMAN, sp|P30953|OR1E1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NGR8|OR1L8_HUMAN	tr|A0A8C5K7H5|A0A8C5K7H5_JACJA
OG0000005	sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q9UGF6|OR5V1_HUMAN, sp|Q8NGT2|O13J1_HUMAN, sp|Q8NGS5|O13C4_HUMAN, sp|Q8NGS6|O13C3_HUMAN, sp|P0DN81|O13C7_HUMAN, sp|Q8NH95|O13C6_HUMAN, sp|Q9NQN1|OR2S1_HUMAN, sp|Q8NGS7|O13C8_HUMAN, sp|Q8NGS9|O13C2_HUMAN, sp|Q8NGS8|O13C5_HUMAN, sp|Q8NGT0|O13C9_HUMAN, sp|Q8NGV5|O13D1_HUMAN, sp|Q8NGS4|O13F1_HUMAN, sp|Q8NGT1|OR2K2_HUMAN, sp|Q8NG92|O13H1_HUMAN, sp|Q13607|OR2F1_HUMAN, sp|O95006|OR2F2_HUMAN, sp|Q8NH19|O10AG_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|O76000|OR2B3_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN	tr|A0A8C5NUZ2|A0A8C5NUZ2_JACJA
OG0000006	sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, sp|P01762|HV311_HUMAN, sp|P01780|HV307_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0JD37|TRDV3_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P01767|HV353_HUMAN, sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN	tr|A0A8C5LJR3|A0A8C5LJR3_JACJA
OG0000007	sp|Q8NDW4|ZN248_HUMAN	tr|A0A8C5KUW5|A0A8C5KUW5_JACJA
OG0000007	sp|Q9NYW8|RBAK_HUMAN	tr|A0A8C5KM53|A0A8C5KM53_JACJA
OG0000007	sp|P17014|ZNF12_HUMAN	tr|A0A8C5NUP0|A0A8C5NUP0_JACJA
OG0000007	sp|Q9HCZ1|ZN334_HUMAN, sp|Q8N184|ZN567_HUMAN, sp|Q96SR6|ZN382_HUMAN	tr|A0A8C5LL76|A0A8C5LL76_JACJA
OG0000008	sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK4|O52K1_HUMAN	tr|A0A8C5NYF1|A0A8C5NYF1_JACJA
OG0000008	sp|Q8NGF1|O52R1_HUMAN, sp|Q9H2C5|O52A5_HUMAN, sp|A6NMU1|O52A4_HUMAN, sp|Q9UKL2|O52A1_HUMAN, sp|Q8NGK5|O52M1_HUMAN	tr|A0A8C5KJX1|A0A8C5KJX1_JACJA
OG0000008	sp|Q6IF63|O52W1_HUMAN, sp|Q8NGH6|O52L2_HUMAN, sp|Q8NGH7|O52L1_HUMAN	tr|A0A8C5KG73|A0A8C5KG73_JACJA
OG0000008	sp|Q9H346|O52D1_HUMAN	tr|A0A8C5KD56|A0A8C5KD56_JACJA
OG0000008	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A8C5L004|A0A8C5L004_JACJA
OG0000008	sp|Q8NGK2|O52B4_HUMAN, sp|Q8NGF0|O52B6_HUMAN, sp|P0C646|O52Z1_HUMAN, sp|Q96RD2|O52B2_HUMAN	tr|A0A8C5L8W5|A0A8C5L8W5_JACJA
OG0000009	sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NG97|OR2Z1_HUMAN	tr|A0A8C5K5E1|A0A8C5K5E1_JACJA
OG0000009	sp|Q8NG76|O2T33_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|A6NH00|OR2T8_HUMAN	tr|A0A8C5KW48|A0A8C5KW48_JACJA
OG0000009	sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NGX2|O2T35_HUMAN	tr|A0A8C5KLW1|A0A8C5KLW1_JACJA
OG0000011	sp|Q8N972|ZN709_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q9ULM2|ZN490_HUMAN, sp|Q8TBZ8|ZN564_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|Q9HAH1|ZN556_HUMAN, sp|Q68EA5|ZNF57_HUMAN, sp|Q8NEP9|ZN555_HUMAN, sp|Q15935|ZNF77_HUMAN, sp|O60384|ZN861_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|P17024|ZNF20_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|P16415|ZN823_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|Q8TA94|ZN563_HUMAN	tr|A0A8C5K6B1|A0A8C5K6B1_JACJA
OG0000013	sp|Q9BX82|ZN471_HUMAN	tr|A0A8C5K7E0|A0A8C5K7E0_JACJA
OG0000013	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A8C5KXV3|A0A8C5KXV3_JACJA, tr|A0A8C5NXF4|A0A8C5NXF4_JACJA, tr|A0A8C5LJ76|A0A8C5LJ76_JACJA, tr|A0A8C5KC49|A0A8C5KC49_JACJA, tr|A0A8C5LI00|A0A8C5LI00_JACJA
OG0000013	sp|P17097|ZNF7_HUMAN	tr|A0A8C5K7M8|A0A8C5K7M8_JACJA, tr|A0A8C5NWR2|A0A8C5NWR2_JACJA, tr|A0A8C5P184|A0A8C5P184_JACJA, tr|A0A8C5L5D0|A0A8C5L5D0_JACJA, tr|A0A8C5LDD6|A0A8C5LDD6_JACJA, tr|A0A8C5KP58|A0A8C5KP58_JACJA, tr|A0A8C5NYY7|A0A8C5NYY7_JACJA, tr|A0A8C5KSA3|A0A8C5KSA3_JACJA, tr|A0A8C5K1J2|A0A8C5K1J2_JACJA, tr|A0A8C5KF61|A0A8C5KF61_JACJA, tr|A0A8C5KYZ9|A0A8C5KYZ9_JACJA, tr|A0A8C5KDE7|A0A8C5KDE7_JACJA, tr|A0A8C5KLA9|A0A8C5KLA9_JACJA, tr|A0A8C5KA96|A0A8C5KA96_JACJA, tr|A0A8C5KRM7|A0A8C5KRM7_JACJA, tr|A0A8C5KH34|A0A8C5KH34_JACJA, tr|A0A8C5KIL9|A0A8C5KIL9_JACJA, tr|A0A8C5NZ18|A0A8C5NZ18_JACJA, tr|A0A8C5KMY4|A0A8C5KMY4_JACJA, tr|A0A8C5K198|A0A8C5K198_JACJA
OG0000014	sp|Q08379|GOGA2_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN	tr|A0A8C5NVT4|A0A8C5NVT4_JACJA
OG0000015	sp|Q3SY52|ZIK1_HUMAN	tr|A0A8C5KMI9|A0A8C5KMI9_JACJA
OG0000015	sp|Q9BWM5|ZN416_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|P52741|ZN134_HUMAN, sp|Q3KQV3|ZN792_HUMAN, sp|Q68DY9|ZN772_HUMAN, sp|Q8IVC4|ZN584_HUMAN, sp|Q96HQ0|ZN419_HUMAN, sp|Q6PK81|ZN773_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q7Z340|ZN551_HUMAN	tr|A0A8C5KJN3|A0A8C5KJN3_JACJA
OG0000016	sp|Q8N7X4|MAGB6_HUMAN, tr|A0A0J9YX57|A0A0J9YX57_HUMAN	tr|A0A8C5L3P0|A0A8C5L3P0_JACJA
OG0000016	sp|A2A368|MAGBG_HUMAN	tr|A0A8C5P175|A0A8C5P175_JACJA
OG0000016	sp|P43361|MAGA8_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43363|MAGAA_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|A6NCF6|MA13P_HUMAN	tr|A0A8C5KB05|A0A8C5KB05_JACJA
OG0000018	sp|Q92527|ANKR7_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q5JWF8|ACL10_HUMAN, sp|Q8TC94|ACTL9_HUMAN, sp|Q9H568|ACTL8_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN	tr|A0A8C5KG20|A0A8C5KG20_JACJA
OG0000021	sp|Q8NGK1|O51G1_HUMAN	tr|A0A8C5NYA1|A0A8C5NYA1_JACJA
OG0000021	sp|Q8NGK0|O51G2_HUMAN	tr|A0A8C5KIC1|A0A8C5KIC1_JACJA
OG0000021	sp|Q8NH63|O51H1_HUMAN, sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NGJ8|O51S1_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q9H342|O51J1_HUMAN, sp|Q9H341|O51M1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NH61|O51F2_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8C5L4E7|A0A8C5L4E7_JACJA
OG0000022	sp|Q9NYV8|T2R14_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|P59536|T2R41_HUMAN, sp|P59551|T2R60_HUMAN, sp|Q9NYW7|TA2R1_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|P59533|T2R38_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59541|T2R30_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN, sp|P59544|T2R50_HUMAN	tr|A0A8C5KU21|A0A8C5KU21_JACJA
OG0000023	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A8C5LHB9|A0A8C5LHB9_JACJA
OG0000023	sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NH73|OR4S2_HUMAN, sp|Q8NGF8|OR4B1_HUMAN, sp|Q8NGF9|OR4X2_HUMAN, sp|Q8NH49|OR4X1_HUMAN, sp|Q6IEV9|OR4CB_HUMAN, sp|Q8NGL9|OR4CG_HUMAN, sp|Q8NH70|O4A16_HUMAN, sp|P0C604|OR4A8_HUMAN, sp|Q8NH83|OR4A5_HUMAN, sp|Q8NGN8|OR4A4_HUMAN, sp|Q6IF82|O4A47_HUMAN, sp|Q8NGL6|O4A15_HUMAN, sp|A6NHA9|O4C46_HUMAN, sp|Q8NGP0|OR4CD_HUMAN, sp|Q96R67|OR4CC_HUMAN, sp|Q8NH37|OR4C3_HUMAN, sp|Q8NGM1|OR4CF_HUMAN, sp|A6NMZ5|O4C45_HUMAN, sp|Q8NGB2|OR4C5_HUMAN, sp|Q8NH72|OR4C6_HUMAN	tr|A0A8C5LJC9|A0A8C5LJC9_JACJA
OG0000024	sp|A6NLX3|SPDE4_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN	tr|A0A8C5KKM9|A0A8C5KKM9_JACJA
OG0000025	sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN	tr|A0A8C5KNK4|A0A8C5KNK4_JACJA
OG0000028	sp|Q9Y5A6|ZSC21_HUMAN	tr|A0A8C5K2E3|A0A8C5K2E3_JACJA
OG0000028	sp|Q9UNY5|ZN232_HUMAN, sp|Q8NF99|ZN397_HUMAN	tr|A0A8C5KAQ1|A0A8C5KAQ1_JACJA
OG0000028	sp|Q96LW9|ZSC31_HUMAN, sp|O43309|ZSC12_HUMAN, sp|O15535|ZSC9_HUMAN, sp|Q9H4T2|ZSC16_HUMAN, sp|Q3MJ62|ZSC23_HUMAN, sp|Q96N95|ZN396_HUMAN, sp|P17028|ZNF24_HUMAN	tr|A0A8C5KC34|A0A8C5KC34_JACJA
OG0000028	sp|P57086|SCND1_HUMAN	tr|A0A8C5LMM7|A0A8C5LMM7_JACJA
