Orthogroup	Homo_sapiens	Otolemur_garnettii
OG0000004	sp|O95918|OR2H2_HUMAN	tr|H0XQB3|H0XQB3_OTOGA, tr|H0XYG2|H0XYG2_OTOGA, tr|H0WUT8|H0WUT8_OTOGA, tr|H0XUL0|H0XUL0_OTOGA, tr|H0XY39|H0XY39_OTOGA, tr|H0XLY7|H0XLY7_OTOGA, tr|H0XHV3|H0XHV3_OTOGA, tr|H0XXH8|H0XXH8_OTOGA, tr|H0Y2G8|H0Y2G8_OTOGA, tr|H0XPA4|H0XPA4_OTOGA, tr|H0XNK4|H0XNK4_OTOGA, tr|H0X160|H0X160_OTOGA, tr|H0Y0F1|H0Y0F1_OTOGA, tr|H0XN23|H0XN23_OTOGA, tr|H0XVM0|H0XVM0_OTOGA, tr|H0XRU7|H0XRU7_OTOGA, tr|H0XIP8|H0XIP8_OTOGA, tr|H0XBZ4|H0XBZ4_OTOGA, tr|H0XIN5|H0XIN5_OTOGA, tr|H0XQE3|H0XQE3_OTOGA, tr|H0XLQ6|H0XLQ6_OTOGA, tr|H0WQ48|H0WQ48_OTOGA, tr|H0XZ30|H0XZ30_OTOGA
OG0000005	sp|Q8NGA1|OR1M1_HUMAN	tr|H0XIZ2|H0XIZ2_OTOGA
OG0000005	sp|Q8NH06|OR1P1_HUMAN	tr|H0XNZ7|H0XNZ7_OTOGA
OG0000005	sp|Q8NGS0|OR1N1_HUMAN	tr|H0XHV7|H0XHV7_OTOGA
OG0000005	sp|Q8NGR9|OR1N2_HUMAN	tr|H0XI07|H0XI07_OTOGA, tr|H0WLP9|H0WLP9_OTOGA, tr|H0XMY1|H0XMY1_OTOGA
OG0000005	sp|O60431|OR1I1_HUMAN	tr|H0XXI0|H0XXI0_OTOGA
OG0000005	sp|P47890|OR1G1_HUMAN	tr|H0XYE7|H0XYE7_OTOGA, tr|H0XJV6|H0XJV6_OTOGA, tr|H0XEF5|H0XEF5_OTOGA, tr|H0XUE8|H0XUE8_OTOGA, tr|H0XUI8|H0XUI8_OTOGA, tr|H0XHF0|H0XHF0_OTOGA, tr|H0XJC0|H0XJC0_OTOGA, tr|H0XR40|H0XR40_OTOGA, tr|H0XQQ7|H0XQQ7_OTOGA, tr|H0WXQ2|H0WXQ2_OTOGA, tr|H0WTV8|H0WTV8_OTOGA, tr|H0XRZ9|H0XRZ9_OTOGA, tr|H0XJY0|H0XJY0_OTOGA, tr|H0XVN0|H0XVN0_OTOGA
OG0000005	sp|Q8NHA8|OR1FC_HUMAN	tr|H0XUL1|H0XUL1_OTOGA, tr|H0XUD5|H0XUD5_OTOGA
OG0000007	sp|Q9HCX3|ZN304_HUMAN	tr|H0XB78|H0XB78_OTOGA
OG0000007	sp|Q8IVP9|ZN547_HUMAN	tr|H0XB81|H0XB81_OTOGA
OG0000007	sp|O43361|ZN749_HUMAN, sp|P17021|ZNF17_HUMAN, sp|Q8NEK5|ZN548_HUMAN	tr|H0XSW3|H0XSW3_OTOGA
OG0000007	sp|Q68DY9|ZN772_HUMAN	tr|H0Y178|H0Y178_OTOGA
OG0000007	sp|Q3KQV3|ZN792_HUMAN	tr|H0Y047|H0Y047_OTOGA
OG0000007	sp|Q8TAW3|ZN671_HUMAN	tr|H0XWK6|H0XWK6_OTOGA
OG0000007	sp|Q9BWM5|ZN416_HUMAN	tr|H0XCX1|H0XCX1_OTOGA
OG0000007	sp|Q3SY52|ZIK1_HUMAN	tr|H0XLL0|H0XLL0_OTOGA
OG0000007	sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A1|ZN530_HUMAN	tr|H0X6I2|H0X6I2_OTOGA
OG0000007	sp|Q13398|ZN211_HUMAN	tr|H0WU01|H0WU01_OTOGA
OG0000007	sp|Q9NXT0|ZN586_HUMAN, sp|Q13106|ZN154_HUMAN	tr|H0WNQ4|H0WNQ4_OTOGA
OG0000007	sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q68DI1|ZN776_HUMAN	tr|H0X2E2|H0X2E2_OTOGA
OG0000010	sp|Q08379|GOGA2_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEF3|GG6L4_HUMAN	tr|H0WMW7|H0WMW7_OTOGA
OG0000011	sp|Q8NH60|O52J3_HUMAN	tr|H0XWK3|H0XWK3_OTOGA, tr|H0WLA5|H0WLA5_OTOGA
OG0000011	sp|Q8NH55|O52E5_HUMAN	tr|H0Y0H0|H0Y0H0_OTOGA
OG0000011	sp|Q8NGJ3|O52E1_HUMAN	tr|H0XQF4|H0XQF4_OTOGA
OG0000011	sp|Q8NGJ4|O52E2_HUMAN	tr|B4USL9|B4USL9_OTOGA, tr|H0XJF5|H0XJF5_OTOGA
OG0000011	sp|Q8NGH9|O52E4_HUMAN	tr|H0XP51|H0XP51_OTOGA, tr|B4UST6|B4UST6_OTOGA
OG0000012	sp|P23497|SP100_HUMAN	tr|H0XSZ1|H0XSZ1_OTOGA
OG0000012	sp|B2RPK0|HGB1A_HUMAN	tr|H0XH72|H0XH72_OTOGA, tr|H0Y263|H0Y263_OTOGA, tr|H0XKE0|H0XKE0_OTOGA, tr|H0XTG0|H0XTG0_OTOGA, tr|H0XMR3|H0XMR3_OTOGA, tr|H0X3W6|H0X3W6_OTOGA, tr|H0Y104|H0Y104_OTOGA, tr|H0XVV0|H0XVV0_OTOGA, tr|H0XRX4|H0XRX4_OTOGA, tr|H0XK32|H0XK32_OTOGA, tr|H0Y0Y2|H0Y0Y2_OTOGA
OG0000012	sp|P09429|HMGB1_HUMAN	tr|H0X3Y0|H0X3Y0_OTOGA, tr|H0XSB1|H0XSB1_OTOGA, tr|H0XNZ8|H0XNZ8_OTOGA, tr|H0XSV4|H0XSV4_OTOGA, tr|H0X3R9|H0X3R9_OTOGA, tr|H0XIH4|H0XIH4_OTOGA, tr|H0Y0B1|H0Y0B1_OTOGA, tr|H0WMA9|H0WMA9_OTOGA
OG0000013	sp|A6NMZ5|O4C45_HUMAN	tr|H0XZ03|H0XZ03_OTOGA, tr|H0XWM3|H0XWM3_OTOGA, tr|H0X842|H0X842_OTOGA, tr|H0XZ40|H0XZ40_OTOGA, tr|H0X840|H0X840_OTOGA, tr|H0XJJ9|H0XJJ9_OTOGA, tr|H0XSD1|H0XSD1_OTOGA, tr|H0WIG5|H0WIG5_OTOGA, tr|H0XMK3|H0XMK3_OTOGA, tr|H0XIH5|H0XIH5_OTOGA, tr|H0XLS6|H0XLS6_OTOGA, tr|H0XQN0|H0XQN0_OTOGA, tr|H0XW93|H0XW93_OTOGA, tr|H0XVA3|H0XVA3_OTOGA, tr|H0XZA7|H0XZA7_OTOGA, tr|H0XSJ8|H0XSJ8_OTOGA, tr|H0XI26|H0XI26_OTOGA, tr|H0XUF3|H0XUF3_OTOGA, tr|H0XPF0|H0XPF0_OTOGA, tr|H0XPK6|H0XPK6_OTOGA, tr|H0XQX0|H0XQX0_OTOGA, tr|H0Y0L2|H0Y0L2_OTOGA, tr|H0XI25|H0XI25_OTOGA, tr|H0XJ10|H0XJ10_OTOGA, tr|H0Y1Y5|H0Y1Y5_OTOGA, tr|H0XTT4|H0XTT4_OTOGA, tr|H0XXK5|H0XXK5_OTOGA, tr|H0XMW3|H0XMW3_OTOGA
OG0000014	sp|P59282|TPPP2_HUMAN	tr|H0WN73|H0WN73_OTOGA, tr|H0XJQ0|H0XJQ0_OTOGA, tr|H0WVY9|H0WVY9_OTOGA, tr|H0XCE1|H0XCE1_OTOGA, tr|H0WIQ7|H0WIQ7_OTOGA, tr|H0XA43|H0XA43_OTOGA, tr|H0Y033|H0Y033_OTOGA, tr|H0XXQ3|H0XXQ3_OTOGA, tr|H0XB38|H0XB38_OTOGA, tr|H0XSZ4|H0XSZ4_OTOGA, tr|H0XQN2|H0XQN2_OTOGA, tr|H0XC53|H0XC53_OTOGA, tr|H0XY63|H0XY63_OTOGA, tr|H0XLK0|H0XLK0_OTOGA, tr|H0XXL4|H0XXL4_OTOGA, tr|H0XTB5|H0XTB5_OTOGA, tr|H0XLN7|H0XLN7_OTOGA, tr|H0WH61|H0WH61_OTOGA, tr|H0XB97|H0XB97_OTOGA, tr|H0XY32|H0XY32_OTOGA, tr|H0XVJ2|H0XVJ2_OTOGA, tr|H0XSW2|H0XSW2_OTOGA, tr|H0WRT5|H0WRT5_OTOGA, tr|H0XQZ9|H0XQZ9_OTOGA, tr|H0XM66|H0XM66_OTOGA, tr|H0XUZ2|H0XUZ2_OTOGA, tr|H0XXU2|H0XXU2_OTOGA
OG0000016	sp|Q7Z5H5|VN1R4_HUMAN	tr|H0WG45|H0WG45_OTOGA
OG0000016	sp|Q8NFZ6|VN1R2_HUMAN	tr|H0XQG4|H0XQG4_OTOGA
OG0000016	sp|Q9BXE9|VN1R3_HUMAN	tr|H0XQ32|H0XQ32_OTOGA, tr|H0XVM7|H0XVM7_OTOGA
OG0000016	sp|Q9GZP7|VN1R1_HUMAN	tr|H0XLS4|H0XLS4_OTOGA, tr|H0XSJ9|H0XSJ9_OTOGA, tr|H0XHN2|H0XHN2_OTOGA, tr|H0XPL0|H0XPL0_OTOGA, tr|H0XQD8|H0XQD8_OTOGA, tr|H0Y1F1|H0Y1F1_OTOGA, tr|H0XXN7|H0XXN7_OTOGA, tr|H0XTS3|H0XTS3_OTOGA, tr|H0XLU8|H0XLU8_OTOGA, tr|H0Y1F6|H0Y1F6_OTOGA, tr|H0XZ97|H0XZ97_OTOGA
OG0000017	sp|P46778|RL21_HUMAN	tr|H0WXW4|H0WXW4_OTOGA, tr|H0XIJ1|H0XIJ1_OTOGA, tr|H0XHY4|H0XHY4_OTOGA, tr|H0XTW3|H0XTW3_OTOGA, tr|H0XKD4|H0XKD4_OTOGA, tr|H0XT41|H0XT41_OTOGA, tr|H0XHD6|H0XHD6_OTOGA, tr|H0XVF2|H0XVF2_OTOGA, tr|H0XTU1|H0XTU1_OTOGA, tr|H0XV64|H0XV64_OTOGA, tr|H0Y2A5|H0Y2A5_OTOGA, tr|H0XP37|H0XP37_OTOGA, tr|H0XQF9|H0XQF9_OTOGA, tr|H0XMT9|H0XMT9_OTOGA, tr|H0XIY0|H0XIY0_OTOGA, tr|H0XPN0|H0XPN0_OTOGA, tr|H0XSG8|H0XSG8_OTOGA, tr|H0XR49|H0XR49_OTOGA, tr|H0XTF0|H0XTF0_OTOGA, tr|H0XZQ3|H0XZQ3_OTOGA, tr|H0XRH9|H0XRH9_OTOGA, tr|H0XN32|H0XN32_OTOGA, tr|H0XTD1|H0XTD1_OTOGA, tr|H0XHH6|H0XHH6_OTOGA, tr|H0XWV3|H0XWV3_OTOGA, tr|H0XQ15|H0XQ15_OTOGA
OG0000018	sp|Q8NGB9|OR4F6_HUMAN	tr|H0XLU5|H0XLU5_OTOGA, tr|H0XQC5|H0XQC5_OTOGA, tr|H0XY62|H0XY62_OTOGA, tr|H0XLB5|H0XLB5_OTOGA, tr|H0X6W6|H0X6W6_OTOGA, tr|H0X6X0|H0X6X0_OTOGA, tr|H0XWA6|H0XWA6_OTOGA, tr|H0WJ24|H0WJ24_OTOGA, tr|H0XYW7|H0XYW7_OTOGA, tr|H0Y1H8|H0Y1H8_OTOGA, tr|H0X5K1|H0X5K1_OTOGA, tr|H0XWW4|H0XWW4_OTOGA, tr|H0X0M4|H0X0M4_OTOGA, tr|H0XJD5|H0XJD5_OTOGA, tr|H0X0M7|H0X0M7_OTOGA, tr|H0XI81|H0XI81_OTOGA, tr|H0WNS1|H0WNS1_OTOGA
OG0000018	sp|Q8NGB8|O4F15_HUMAN	tr|H0WTK0|H0WTK0_OTOGA
OG0000018	sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN	tr|H0WTJ9|H0WTJ9_OTOGA, tr|H0XQ41|H0XQ41_OTOGA, tr|H0WTK1|H0WTK1_OTOGA, tr|H0XZF8|H0XZF8_OTOGA
OG0000019	sp|Q9NQN1|OR2S1_HUMAN	tr|H0XD49|H0XD49_OTOGA
OG0000019	sp|P0DN81|O13C7_HUMAN	tr|H0XSR2|H0XSR2_OTOGA
OG0000019	sp|Q8NH95|O13C6_HUMAN	tr|H0XHX8|H0XHX8_OTOGA, tr|H0XP84|H0XP84_OTOGA, tr|H0XI85|H0XI85_OTOGA, tr|H0Y0D7|H0Y0D7_OTOGA, tr|H0XHD8|H0XHD8_OTOGA, tr|H0XHZ2|H0XHZ2_OTOGA
OG0000019	sp|Q8NGV5|O13D1_HUMAN	tr|H0XZY8|H0XZY8_OTOGA, tr|H0XV15|H0XV15_OTOGA, tr|H0XV21|H0XV21_OTOGA, tr|H0Y240|H0Y240_OTOGA, tr|H0XHL5|H0XHL5_OTOGA
OG0000019	sp|Q8NGS7|O13C8_HUMAN	tr|H0XND7|H0XND7_OTOGA, tr|H0X5Q2|H0X5Q2_OTOGA
OG0000021	sp|Q9H9J4|UBP42_HUMAN	tr|H0WNE7|H0WNE7_OTOGA
OG0000021	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|H0WV71|H0WV71_OTOGA
OG0000022	sp|Q9UN70|PCDGK_HUMAN	tr|H0Y1L9|H0Y1L9_OTOGA
OG0000022	sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN	tr|H0WGS8|H0WGS8_OTOGA
OG0000023	sp|P06731|CEAM5_HUMAN	tr|H0X789|H0X789_OTOGA
OG0000023	sp|P40199|CEAM6_HUMAN, sp|P31997|CEAM8_HUMAN, sp|P0DP72|VSXL2_HUMAN, sp|Q6UY09|CEA20_HUMAN, sp|Q00887|PSG9_HUMAN, sp|Q00889|PSG6_HUMAN, sp|Q00888|PSG4_HUMAN, sp|Q13046|PSG7_HUMAN, sp|P11464|PSG1_HUMAN, sp|Q9UQ74|PSG8_HUMAN, sp|Q16557|PSG3_HUMAN, sp|Q15238|PSG5_HUMAN, sp|Q9UQ72|PSG11_HUMAN, sp|P11465|PSG2_HUMAN, sp|Q14002|CEAM7_HUMAN, sp|Q3KPI0|CEA21_HUMAN, sp|O75871|CEAM4_HUMAN, sp|P40198|CEAM3_HUMAN	tr|H0XYK9|H0XYK9_OTOGA
OG0000023	sp|P13688|CEAM1_HUMAN	tr|H0WLQ3|H0WLQ3_OTOGA
OG0000024	sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NLX3|SPDE4_HUMAN	tr|H0XJM7|H0XJM7_OTOGA
OG0000027	sp|A6NNH2|F90AR_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|A6NNJ1|F90A9_HUMAN	tr|H0XR54|H0XR54_OTOGA
OG0000028	sp|A2A368|MAGBG_HUMAN	tr|H0XRY1|H0XRY1_OTOGA, tr|H0Y1R1|H0Y1R1_OTOGA, tr|H0XUR4|H0XUR4_OTOGA, tr|H0X576|H0X576_OTOGA, tr|H0Y0X3|H0Y0X3_OTOGA, tr|H0XYD9|H0XYD9_OTOGA, tr|H0WZQ0|H0WZQ0_OTOGA, tr|H0XJK1|H0XJK1_OTOGA, tr|H0XRP3|H0XRP3_OTOGA, tr|H0WFN2|H0WFN2_OTOGA, tr|H0XHG8|H0XHG8_OTOGA, tr|H0XFA7|H0XFA7_OTOGA, tr|H0XAB7|H0XAB7_OTOGA, tr|H0XJS6|H0XJS6_OTOGA, tr|H0XKW2|H0XKW2_OTOGA, tr|H0WV02|H0WV02_OTOGA, tr|H0XMD9|H0XMD9_OTOGA, tr|H0XT37|H0XT37_OTOGA, tr|H0XZX7|H0XZX7_OTOGA, tr|H0XDY4|H0XDY4_OTOGA, tr|H0XWU0|H0XWU0_OTOGA
OG0000030	sp|Q16778|H2B2E_HUMAN	tr|H0XQD2|H0XQD2_OTOGA
OG0000030	sp|O60814|H2B1K_HUMAN, sp|P57053|H2BFS_HUMAN	tr|H0XT51|H0XT51_OTOGA
OG0000030	sp|P06899|H2B1J_HUMAN	tr|H0XPT8|H0XPT8_OTOGA
OG0000030	sp|P62807|H2B1C_HUMAN, sp|Q99880|H2B1L_HUMAN, sp|Q6DN03|H2B2C_HUMAN, sp|Q6DRA6|H2B2D_HUMAN, sp|P0DW85|H2BN1_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|P33778|H2B1B_HUMAN, sp|P58876|H2B1D_HUMAN	tr|H0WXH8|H0WXH8_OTOGA
OG0000031	sp|B1APH4|ZN487_HUMAN	tr|H0XTW8|H0XTW8_OTOGA
OG0000031	sp|Q06732|ZN33B_HUMAN, sp|Q06730|ZN33A_HUMAN	tr|H0XWN5|H0XWN5_OTOGA, tr|H0WNW6|H0WNW6_OTOGA
OG0000031	sp|Q4V348|Z658B_HUMAN, sp|Q5TYW1|ZN658_HUMAN	tr|H0XLE3|H0XLE3_OTOGA
OG0000031	sp|Q9Y2H8|ZN510_HUMAN	tr|H0WPC0|H0WPC0_OTOGA
OG0000031	sp|P17032|ZN37A_HUMAN	tr|H0X339|H0X339_OTOGA
OG0000031	sp|P17030|ZNF25_HUMAN	tr|H0XRG9|H0XRG9_OTOGA
OG0000031	sp|Q9BY31|ZN717_HUMAN	tr|H0XVJ0|H0XVJ0_OTOGA
OG0000033	sp|Q9NYW6|TA2R3_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59541|T2R30_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59544|T2R50_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW3|TA2R7_HUMAN	tr|H0Y1M1|H0Y1M1_OTOGA
OG0000034	sp|Q8NGM9|OR8D4_HUMAN	tr|H0XKD2|H0XKD2_OTOGA
OG0000034	sp|Q15620|OR8B8_HUMAN	tr|H0XYS8|H0XYS8_OTOGA
OG0000034	sp|Q8NGG6|OR8BC_HUMAN	tr|H0Y1V2|H0Y1V2_OTOGA, tr|H0XV53|H0XV53_OTOGA, tr|H0WGB2|H0WGB2_OTOGA
