Orthogroup	Homo_sapiens	Panthera_leo
OG0000003	sp|Q8NGF1|O52R1_HUMAN	tr|A0A8C9D7J6|A0A8C9D7J6_PANLE, tr|A0A8C8Y038|A0A8C8Y038_PANLE, tr|A0A8C8XV56|A0A8C8XV56_PANLE, tr|A0A8C8Y364|A0A8C8Y364_PANLE, tr|A0A8C8Y6I3|A0A8C8Y6I3_PANLE, tr|A0A8C8WRB0|A0A8C8WRB0_PANLE, tr|A0A8C8Y0Y7|A0A8C8Y0Y7_PANLE, tr|A0A8C8XX46|A0A8C8XX46_PANLE, tr|A0A8C8Y5I5|A0A8C8Y5I5_PANLE, tr|A0A8C8Y320|A0A8C8Y320_PANLE, tr|A0A8C8X0G0|A0A8C8X0G0_PANLE, tr|A0A8C8X4F1|A0A8C8X4F1_PANLE
OG0000003	sp|Q9H346|O52D1_HUMAN	tr|A0A8C8XZY2|A0A8C8XZY2_PANLE, tr|A0A8C8XWT7|A0A8C8XWT7_PANLE, tr|A0A8C9D9L8|A0A8C9D9L8_PANLE
OG0000004	sp|Q8NH37|OR4C3_HUMAN	tr|A0A8C8X6J0|A0A8C8X6J0_PANLE
OG0000004	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A8C8XW69|A0A8C8XW69_PANLE
OG0000004	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A8C8X7S0|A0A8C8X7S0_PANLE
OG0000004	sp|Q96R67|OR4CC_HUMAN	tr|A0A8C8Y1Q6|A0A8C8Y1Q6_PANLE, tr|A0A8C8Y2F4|A0A8C8Y2F4_PANLE, tr|A0A8C8X7V4|A0A8C8X7V4_PANLE, tr|A0A8C9D480|A0A8C9D480_PANLE
OG0000004	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A8C8Y458|A0A8C8Y458_PANLE
OG0000004	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A8C8XZ13|A0A8C8XZ13_PANLE
OG0000004	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A8C8X779|A0A8C8X779_PANLE
OG0000004	sp|Q8NH49|OR4X1_HUMAN	tr|A0A8C8X2P0|A0A8C8X2P0_PANLE
OG0000004	sp|Q8NH73|OR4S2_HUMAN	tr|A0A8C9DAX0|A0A8C9DAX0_PANLE
OG0000004	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A8C8X4Z8|A0A8C8X4Z8_PANLE, tr|A0A8C8X7L3|A0A8C8X7L3_PANLE, tr|A0A8C9D450|A0A8C9D450_PANLE
OG0000004	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A8C8Y5E1|A0A8C8Y5E1_PANLE, tr|A0A8C8Y6H4|A0A8C8Y6H4_PANLE, tr|A0A8C8XVY7|A0A8C8XVY7_PANLE, tr|A0A8C9D945|A0A8C9D945_PANLE, tr|A0A8C8XXY2|A0A8C8XXY2_PANLE
OG0000007	sp|Q9H342|O51J1_HUMAN	tr|A0A8C9D3Z5|A0A8C9D3Z5_PANLE
OG0000007	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A8C8X4A2|A0A8C8X4A2_PANLE
OG0000007	sp|Q8NGK1|O51G1_HUMAN, sp|Q8NGK0|O51G2_HUMAN	tr|A0A8C8X237|A0A8C8X237_PANLE
OG0000007	sp|Q9H2C8|O51V1_HUMAN	tr|A0A8C8Y406|A0A8C8Y406_PANLE, tr|A0A8C8X816|A0A8C8X816_PANLE
OG0000007	sp|Q8NH59|O51Q1_HUMAN	tr|A0A8C9DAM1|A0A8C9DAM1_PANLE, tr|A0A8C8X544|A0A8C8X544_PANLE, tr|A0A8C8X300|A0A8C8X300_PANLE, tr|A0A8C8X489|A0A8C8X489_PANLE
OG0000007	sp|Q8NH63|O51H1_HUMAN	tr|A0A8C8WNQ2|A0A8C8WNQ2_PANLE, tr|A0A8C8X167|A0A8C8X167_PANLE, tr|A0A8C9D3R9|A0A8C9D3R9_PANLE, tr|A0A8C8X1X5|A0A8C8X1X5_PANLE, tr|A0A8C8X3S1|A0A8C8X3S1_PANLE
OG0000007	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8C8X3Z7|A0A8C8X3Z7_PANLE, tr|A0A8C8X403|A0A8C8X403_PANLE
OG0000007	sp|Q8NH61|O51F2_HUMAN, sp|A6NGY5|O51F1_HUMAN	tr|A0A8C8X3D7|A0A8C8X3D7_PANLE
OG0000007	sp|Q9H344|O51I2_HUMAN	tr|A0A8C8Y5N8|A0A8C8Y5N8_PANLE
OG0000007	sp|Q9H343|O51I1_HUMAN	tr|A0A8C8X5E7|A0A8C8X5E7_PANLE
OG0000008	sp|Q96I27|ZN625_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|O60384|ZN861_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|Q9ULM2|ZN490_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q8TBZ8|ZN564_HUMAN	tr|A0A8C8XH88|A0A8C8XH88_PANLE, tr|A0A8C9D6J8|A0A8C9D6J8_PANLE
OG0000009	sp|Q08379|GOGA2_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN	tr|A0A8C8XZC7|A0A8C8XZC7_PANLE
OG0000011	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A8C8X4B9|A0A8C8X4B9_PANLE
OG0000011	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A8C8X2F2|A0A8C8X2F2_PANLE, tr|A0A8C9D2U4|A0A8C9D2U4_PANLE, tr|A0A8C8X2H6|A0A8C8X2H6_PANLE
OG0000011	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A8C9D443|A0A8C9D443_PANLE
OG0000011	sp|Q8WZ84|OR8D1_HUMAN	tr|A0A8C9D3Z7|A0A8C9D3Z7_PANLE
OG0000011	sp|Q96RC9|OR8B4_HUMAN	tr|A0A8C8X1J6|A0A8C8X1J6_PANLE, tr|A0A8C8X2P4|A0A8C8X2P4_PANLE, tr|A0A8C8X4P1|A0A8C8X4P1_PANLE, tr|A0A8C8X6D7|A0A8C8X6D7_PANLE, tr|A0A8C8X7A1|A0A8C8X7A1_PANLE, tr|A0A8C8X2G1|A0A8C8X2G1_PANLE, tr|A0A8C8X5N6|A0A8C8X5N6_PANLE, tr|A0A8C8X6K7|A0A8C8X6K7_PANLE, tr|A0A8C8X1P7|A0A8C8X1P7_PANLE, tr|A0A8C8X6E1|A0A8C8X6E1_PANLE, tr|A0A8C8X741|A0A8C8X741_PANLE, tr|A0A8C8X1X4|A0A8C8X1X4_PANLE, tr|A0A8C8X4Z1|A0A8C8X4Z1_PANLE, tr|A0A8C8X356|A0A8C8X356_PANLE, tr|A0A8C8X6T2|A0A8C8X6T2_PANLE, tr|A0A8C8X4M2|A0A8C8X4M2_PANLE, tr|A0A8C8X2B8|A0A8C8X2B8_PANLE, tr|A0A8C8X719|A0A8C8X719_PANLE
OG0000012	sp|Q6IFN5|O7E24_HUMAN	tr|A0A8C8WHI3|A0A8C8WHI3_PANLE, tr|A0A8C9DB26|A0A8C9DB26_PANLE, tr|A0A8C8XTW7|A0A8C8XTW7_PANLE, tr|A0A8C8XX83|A0A8C8XX83_PANLE, tr|A0A8C8XZD8|A0A8C8XZD8_PANLE, tr|A0A8C8XRK9|A0A8C8XRK9_PANLE, tr|A0A8C8XRS5|A0A8C8XRS5_PANLE, tr|A0A8C8XS35|A0A8C8XS35_PANLE, tr|A0A8C8XSR0|A0A8C8XSR0_PANLE, tr|A0A8C8XW00|A0A8C8XW00_PANLE, tr|A0A8C8XPM8|A0A8C8XPM8_PANLE, tr|A0A8C8XRD9|A0A8C8XRD9_PANLE, tr|A0A8C9CUE2|A0A8C9CUE2_PANLE, tr|A0A8C8XV98|A0A8C8XV98_PANLE, tr|A0A8C8Y5A4|A0A8C8Y5A4_PANLE, tr|A0A8C8W934|A0A8C8W934_PANLE, tr|A0A8C9DB63|A0A8C9DB63_PANLE, tr|A0A8C8W8X3|A0A8C8W8X3_PANLE, tr|A0A8C9D8Z3|A0A8C9D8Z3_PANLE, tr|A0A8C8XWX2|A0A8C8XWX2_PANLE, tr|A0A8C8W8X5|A0A8C8W8X5_PANLE, tr|A0A8C8XIF9|A0A8C8XIF9_PANLE, tr|A0A8C8Y7P0|A0A8C8Y7P0_PANLE, tr|A0A8C8W912|A0A8C8W912_PANLE, tr|A0A8C8Y0G0|A0A8C8Y0G0_PANLE, tr|A0A8C9CUA0|A0A8C9CUA0_PANLE, tr|A0A8C8W966|A0A8C8W966_PANLE, tr|A0A8C8Y4F2|A0A8C8Y4F2_PANLE
OG0000014	sp|Q9H7L2|KI3X1_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q99706|KI2L4_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14954|KI2S1_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, sp|P43628|KI2L3_HUMAN, sp|P43627|KI2L2_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN	tr|A0A8C8YCB8|A0A8C8YCB8_PANLE
OG0000015	sp|Q8NFZ6|VN1R2_HUMAN	tr|A0A8C8YC57|A0A8C8YC57_PANLE
OG0000015	sp|Q7Z5H5|VN1R4_HUMAN	tr|A0A8C8WVM7|A0A8C8WVM7_PANLE, tr|A0A0A0Y6N9|A0A0A0Y6N9_PANLE, tr|A0A8C8WSG3|A0A8C8WSG3_PANLE, tr|A0A8C8WS19|A0A8C8WS19_PANLE, tr|A0A8C8WV80|A0A8C8WV80_PANLE, tr|A0A8C8WSZ0|A0A8C8WSZ0_PANLE, tr|A0A8C8WSV4|A0A8C8WSV4_PANLE, tr|A0A8C8XMB1|A0A8C8XMB1_PANLE, tr|A0A8C8XUD1|A0A8C8XUD1_PANLE
OG0000015	sp|Q9GZP7|VN1R1_HUMAN	tr|A0A8C8WR12|A0A8C8WR12_PANLE, tr|A0A8C8Y024|A0A8C8Y024_PANLE, tr|A0A8C8Y1F9|A0A8C8Y1F9_PANLE, tr|A0A8C8Y0U8|A0A8C8Y0U8_PANLE, tr|A0A0A0Y1E1|A0A0A0Y1E1_PANLE, tr|A0A8C8Y6D2|A0A8C8Y6D2_PANLE, tr|A0A8C8WSE3|A0A8C8WSE3_PANLE, tr|A0A8C8XWC0|A0A8C8XWC0_PANLE, tr|A0A8C8WSJ9|A0A8C8WSJ9_PANLE, tr|A0A8C8WSJ2|A0A8C8WSJ2_PANLE, tr|A0A8C8WS80|A0A8C8WS80_PANLE
OG0000015	sp|Q9BXE9|VN1R3_HUMAN	tr|A0A0A0Y7Y9|A0A0A0Y7Y9_PANLE
OG0000016	sp|Q8NH06|OR1P1_HUMAN	tr|A0A8C8X4P9|A0A8C8X4P9_PANLE
OG0000016	sp|Q8NHA8|OR1FC_HUMAN	tr|A0A8C8YD25|A0A8C8YD25_PANLE, tr|A0A8C8YBD7|A0A8C8YBD7_PANLE, tr|A0A8C9DC78|A0A8C9DC78_PANLE, tr|A0A8C8XRD1|A0A8C8XRD1_PANLE
OG0000016	sp|Q8NGA1|OR1M1_HUMAN	tr|A0A8C8XVW2|A0A8C8XVW2_PANLE, tr|A0A8C8XYB0|A0A8C8XYB0_PANLE, tr|A0A8C8XTS2|A0A8C8XTS2_PANLE
OG0000016	sp|P47890|OR1G1_HUMAN	tr|A0A8C8XT56|A0A8C8XT56_PANLE, tr|A0A8C9D4N5|A0A8C9D4N5_PANLE
OG0000016	sp|Q8NGS3|OR1J1_HUMAN	tr|A0A8C9D9F9|A0A8C9D9F9_PANLE
OG0000016	sp|Q8NGS2|OR1J2_HUMAN	tr|A0A8C8XTJ9|A0A8C8XTJ9_PANLE
OG0000016	sp|Q8NGS1|OR1J4_HUMAN	tr|A0A8C8XVG7|A0A8C8XVG7_PANLE
OG0000019	sp|Q14CN4|K2C72_HUMAN	tr|A0A8C8WJ21|A0A8C8WJ21_PANLE
OG0000019	sp|Q86Y46|K2C73_HUMAN	tr|A0A8C8WJA3|A0A8C8WJA3_PANLE
OG0000019	sp|Q3SY84|K2C71_HUMAN	tr|A0A8C8WHT9|A0A8C8WHT9_PANLE
OG0000019	sp|Q7RTS7|K2C74_HUMAN	tr|A0A8C8WI98|A0A8C8WI98_PANLE
OG0000019	sp|Q5XKE5|K2C79_HUMAN	tr|A0A8C8WIW5|A0A8C8WIW5_PANLE
OG0000019	sp|P19013|K2C4_HUMAN	tr|A0A8C8WHF1|A0A8C8WHF1_PANLE, tr|A0A8C8WJ88|A0A8C8WJ88_PANLE, tr|A0A8C9CZG1|A0A8C9CZG1_PANLE, tr|A0A8C9CZH3|A0A8C9CZH3_PANLE, tr|A0A8C8WHV1|A0A8C8WHV1_PANLE, tr|A0A8C8WIU4|A0A8C8WIU4_PANLE, tr|A0A8C9CZQ8|A0A8C9CZQ8_PANLE, tr|A0A8C8WKC4|A0A8C8WKC4_PANLE, tr|A0A8C8WKG9|A0A8C8WKG9_PANLE
OG0000019	sp|Q7Z794|K2C1B_HUMAN	tr|A0A8C9CZR5|A0A8C9CZR5_PANLE, tr|A0A8C8WIF9|A0A8C8WIF9_PANLE, tr|A0A8C8WIP3|A0A8C8WIP3_PANLE
OG0000020	sp|A6NLX3|SPDE4_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DTA3|SPD11_HUMAN	tr|A0A8C8XPL0|A0A8C8XPL0_PANLE, tr|A0A8C9DCL3|A0A8C9DCL3_PANLE
OG0000021	sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN	tr|A0A8C8WBI6|A0A8C8WBI6_PANLE
OG0000022	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN	tr|A0A8C8XBK6|A0A8C8XBK6_PANLE
OG0000023	sp|P51786|ZN157_HUMAN	tr|A0A8C8YD88|A0A8C8YD88_PANLE
OG0000023	sp|Q9Y2H8|ZN510_HUMAN	tr|A0A8C9D9K0|A0A8C9D9K0_PANLE
OG0000023	sp|Q6ZMW2|ZN782_HUMAN	tr|A0A8C8XZF5|A0A8C8XZF5_PANLE
OG0000023	sp|Q9BY31|ZN717_HUMAN	tr|A0A8C8YCI4|A0A8C8YCI4_PANLE
OG0000023	sp|P17032|ZN37A_HUMAN	tr|A0A8C8XR09|A0A8C8XR09_PANLE, tr|A0A8C8XQC5|A0A8C8XQC5_PANLE, tr|A0A8C8XID5|A0A8C8XID5_PANLE
OG0000023	sp|P17030|ZNF25_HUMAN	tr|A0A8C8WTX0|A0A8C8WTX0_PANLE, tr|A0A8C8XS53|A0A8C8XS53_PANLE
OG0000026	sp|O95371|OR2C1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|O76000|OR2B3_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN	tr|A0A8C8WSC2|A0A8C8WSC2_PANLE
OG0000029	sp|Q86XU0|ZN677_HUMAN	tr|A0A8C8Y2F6|A0A8C8Y2F6_PANLE, tr|A0A8C8XI28|A0A8C8XI28_PANLE, tr|A0A8C8XUW1|A0A8C8XUW1_PANLE
OG0000029	sp|Q8N7M2|ZN283_HUMAN	tr|A0A8C8X6J2|A0A8C8X6J2_PANLE
