Orthogroup	Homo_sapiens	Balaenoptera_physalus
OG0000002	sp|Q15116|PDCD1_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P06315|KV502_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN	tr|A0A6A1QC56|A0A6A1QC56_BALPH
OG0000003	sp|P01709|LV208_HUMAN, sp|P01706|LV211_HUMAN, sp|P01705|LV223_HUMAN, sp|P01704|LV214_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN	tr|A0A6A1QF66|A0A6A1QF66_BALPH
OG0000003	sp|P01721|LV657_HUMAN	tr|A0A6A1QNG3|A0A6A1QNG3_BALPH
OG0000003	sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A075B6I7|LV548_HUMAN	tr|A0A6A1QIR1|A0A6A1QIR1_BALPH
OG0000003	sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|P12018|VPREB_HUMAN	tr|A0A643BTY9|A0A643BTY9_BALPH
OG0000003	sp|Q99603|TRGV9_HUMAN, sp|A0A075B6L2|TVG11_HUMAN, sp|A0A0A0MS01|TVG10_HUMAN	tr|A0A643BUS0|A0A643BUS0_BALPH
OG0000004	sp|Q8NH94|OR1L1_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NGZ3|O13G1_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47888|OR3A3_HUMAN, sp|Q9P1Q5|OR1A1_HUMAN, sp|Q9Y585|OR1A2_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|P30953|OR1E1_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|O60431|OR1I1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|P47884|OR1D4_HUMAN, sp|P58170|OR1D5_HUMAN, sp|P34982|OR1D2_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|O60412|OR7C2_HUMAN, sp|O76099|OR7C1_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN	tr|A0A6A1Q7B2|A0A6A1Q7B2_BALPH
OG0000005	sp|P02792|FRIL_HUMAN	tr|A0A643BVI3|A0A643BVI3_BALPH, tr|A0A6A1Q178|A0A6A1Q178_BALPH, tr|A0A6A1Q7N1|A0A6A1Q7N1_BALPH, tr|A0A6A1QMP3|A0A6A1QMP3_BALPH, tr|A0A643BLW1|A0A643BLW1_BALPH, tr|A0A6A1Q9L7|A0A6A1Q9L7_BALPH, tr|A0A6A1QB79|A0A6A1QB79_BALPH, tr|A0A643C0R2|A0A643C0R2_BALPH, tr|A0A643CFG1|A0A643CFG1_BALPH, tr|A0A643BXI2|A0A643BXI2_BALPH, tr|A0A643C604|A0A643C604_BALPH, tr|A0A6A1QBR2|A0A6A1QBR2_BALPH, tr|A0A643BLG7|A0A643BLG7_BALPH, tr|A0A643CGW3|A0A643CGW3_BALPH, tr|A0A643BL77|A0A643BL77_BALPH, tr|A0A643BXQ6|A0A643BXQ6_BALPH, tr|A0A643BP91|A0A643BP91_BALPH, tr|A0A643C6B9|A0A643C6B9_BALPH, tr|A0A643C7H5|A0A643C7H5_BALPH, tr|A0A643ATF3|A0A643ATF3_BALPH, tr|A0A643C6U2|A0A643C6U2_BALPH, tr|A0A643C326|A0A643C326_BALPH, tr|A0A6A1PXB4|A0A6A1PXB4_BALPH, tr|A0A643CIQ0|A0A643CIQ0_BALPH, tr|A0A6A1PZR1|A0A6A1PZR1_BALPH, tr|A0A6A1Q6P4|A0A6A1Q6P4_BALPH, tr|A0A643C8E5|A0A643C8E5_BALPH, tr|A0A6A1PXD7|A0A6A1PXD7_BALPH, tr|A0A643CBQ2|A0A643CBQ2_BALPH, tr|A0A643BRN2|A0A643BRN2_BALPH, tr|A0A643BS27|A0A643BS27_BALPH, tr|A0A643BPK9|A0A643BPK9_BALPH, tr|A0A6A1QKP3|A0A6A1QKP3_BALPH, tr|A0A6A1Q8U6|A0A6A1Q8U6_BALPH, tr|A0A6A1Q8W4|A0A6A1Q8W4_BALPH, tr|A0A643CCM3|A0A643CCM3_BALPH, tr|A0A643BSI1|A0A643BSI1_BALPH, tr|A0A6A1QEY5|A0A6A1QEY5_BALPH, tr|A0A643C7Q2|A0A643C7Q2_BALPH, tr|A0A643C6K6|A0A643C6K6_BALPH, tr|A0A6A1Q9Z1|A0A6A1Q9Z1_BALPH, tr|A0A643CAP5|A0A643CAP5_BALPH, tr|A0A643C068|A0A643C068_BALPH, tr|A0A6A1Q3V2|A0A6A1Q3V2_BALPH
OG0000006	sp|Q9UNY5|ZN232_HUMAN	tr|A0A6A1QGX1|A0A6A1QGX1_BALPH
OG0000006	sp|P49910|ZN165_HUMAN	tr|A0A6A1Q644|A0A6A1Q644_BALPH
OG0000006	sp|Q96N95|ZN396_HUMAN	tr|A0A643CD81|A0A643CD81_BALPH
OG0000006	sp|Q86W11|ZSC30_HUMAN	tr|A0A643CDW2|A0A643CDW2_BALPH
OG0000006	sp|Q9H4T2|ZSC16_HUMAN	tr|A0A6A1Q7Q4|A0A6A1Q7Q4_BALPH
OG0000006	sp|O15535|ZSC9_HUMAN	tr|A0A6A1Q396|A0A6A1Q396_BALPH
OG0000006	sp|Q3MJ62|ZSC23_HUMAN	tr|A0A6A1Q7R3|A0A6A1Q7R3_BALPH
OG0000006	sp|O43309|ZSC12_HUMAN	tr|A0A6A1Q3A7|A0A6A1Q3A7_BALPH, tr|A0A6A1Q5B0|A0A6A1Q5B0_BALPH, tr|A0A6A1Q5H7|A0A6A1Q5H7_BALPH
OG0000006	sp|O14978|ZN263_HUMAN	tr|A0A6A1QAV6|A0A6A1QAV6_BALPH
OG0000006	sp|Q15776|ZKSC8_HUMAN	tr|A0A6A1Q9L3|A0A6A1Q9L3_BALPH
OG0000006	sp|Q96LW9|ZSC31_HUMAN	tr|A0A6A1Q3X3|A0A6A1Q3X3_BALPH
OG0000006	sp|Q9P0L1|ZKSC7_HUMAN, sp|Q6ZMS4|ZN852_HUMAN	tr|A0A643BMF5|A0A643BMF5_BALPH
OG0000006	sp|P59923|ZN445_HUMAN	tr|A0A643BLQ5|A0A643BLQ5_BALPH
OG0000006	sp|Q9NWS9|ZN446_HUMAN	tr|A0A643BU10|A0A643BU10_BALPH
OG0000006	sp|Q9HBT7|ZN287_HUMAN	tr|A0A643CIM2|A0A643CIM2_BALPH
OG0000006	sp|Q8TF39|ZN483_HUMAN	tr|A0A643ATD8|A0A643ATD8_BALPH
OG0000006	sp|Q9NZV7|ZIM2_HUMAN	tr|A0A643BSU1|A0A643BSU1_BALPH
OG0000006	tr|A0A8I5KTY6|A0A8I5KTY6_HUMAN, sp|Q9GZU2|PEG3_HUMAN	tr|A0A643BSZ5|A0A643BSZ5_BALPH
OG0000006	sp|Q9Y5A6|ZSC21_HUMAN	tr|A0A6A1Q966|A0A6A1Q966_BALPH, tr|A0A643CEW0|A0A643CEW0_BALPH
OG0000007	sp|Q32M78|ZN699_HUMAN, sp|Q68EA5|ZNF57_HUMAN, sp|Q8NEP9|ZN555_HUMAN, sp|Q9HAH1|ZN556_HUMAN, sp|Q15935|ZNF77_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|O60384|ZN861_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q15973|ZN124_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q8TBZ8|ZN564_HUMAN, sp|Q9ULM2|ZN490_HUMAN, sp|P17017|ZNF14_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q8IYI8|ZN440_HUMAN	tr|A0A6A1QEU3|A0A6A1QEU3_BALPH
OG0000009	sp|Q86XU0|ZN677_HUMAN, sp|Q9HCG1|ZN160_HUMAN, sp|Q76KX8|ZN534_HUMAN, sp|Q3MIS6|ZN528_HUMAN, sp|Q6PDB4|ZN880_HUMAN, sp|Q8N9Z0|ZN610_HUMAN, sp|Q8WV37|ZN480_HUMAN, sp|Q5HY98|ZN766_HUMAN, sp|Q96SE7|ZN347_HUMAN, sp|A2RRD8|ZN320_HUMAN, sp|P0CJ79|ZN888_HUMAN, sp|Q9NV72|ZN701_HUMAN, sp|Q86XN6|ZN761_HUMAN, sp|Q7L2R6|ZN765_HUMAN, sp|Q6ZN06|ZN813_HUMAN, sp|Q96IR2|ZN845_HUMAN, sp|Q6ZNG1|ZN600_HUMAN, sp|Q8N8H1|ZN321_HUMAN, sp|Q8N4W9|ZN808_HUMAN, sp|Q8N823|ZN611_HUMAN, sp|Q96N58|ZN578_HUMAN, sp|Q0VGE8|ZN816_HUMAN, tr|A0A7P0TAN4|A0A7P0TAN4_HUMAN, sp|A6NHJ4|ZN860_HUMAN, sp|Q8N782|ZN525_HUMAN, sp|Q5VIY5|ZN468_HUMAN, sp|P17035|ZNF28_HUMAN, sp|Q9H7R5|ZN665_HUMAN, sp|Q6ZN19|ZN841_HUMAN, sp|Q6ZNA1|ZN836_HUMAN, sp|Q08AN1|ZN616_HUMAN, sp|P51522|ZNF83_HUMAN, sp|Q09FC8|ZN415_HUMAN	tr|A0A643BN94|A0A643BN94_BALPH, tr|A0A6A1QEF8|A0A6A1QEF8_BALPH
OG0000010	tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A589|TVB43_HUMAN, sp|A0A539|TVB42_HUMAN, sp|A0A577|TVB41_HUMAN, sp|A0A576|TVB31_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN	tr|A0A6A1Q7N5|A0A6A1Q7N5_BALPH
OG0000011	sp|Q96R28|OR2M2_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|Q8NHB1|OR2V1_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|A6NM03|O2AG2_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NGZ9|O2T10_HUMAN	tr|A0A6A1Q4Y6|A0A6A1Q4Y6_BALPH
OG0000013	sp|Q8NGK5|O52M1_HUMAN	tr|A0A643C266|A0A643C266_BALPH
OG0000013	sp|Q8NGK2|O52B4_HUMAN	tr|A0A643CGB9|A0A643CGB9_BALPH
OG0000013	sp|P0C646|O52Z1_HUMAN, sp|Q8NGF0|O52B6_HUMAN	tr|A0A643CAS9|A0A643CAS9_BALPH
OG0000014	sp|Q7Z3Z0|K1C25_HUMAN	tr|A0A643C8B8|A0A643C8B8_BALPH
OG0000014	sp|Q2M2I5|K1C24_HUMAN	tr|A0A643CFN6|A0A643CFN6_BALPH
OG0000014	sp|O76014|KRT37_HUMAN, sp|O76015|KRT38_HUMAN, sp|Q15323|K1H1_HUMAN, sp|O76009|KT33A_HUMAN, sp|Q14525|KT33B_HUMAN, sp|O76011|KRT34_HUMAN, tr|A0A140TA62|A0A140TA62_HUMAN	tr|A0A643BQX9|A0A643BQX9_BALPH
OG0000014	sp|Q6A162|K1C40_HUMAN, sp|Q6A163|K1C39_HUMAN	tr|A0A643CEI0|A0A643CEI0_BALPH
OG0000015	sp|Q9H342|O51J1_HUMAN	tr|A0A643CGT5|A0A643CGT5_BALPH
OG0000015	sp|Q8TCB6|O51E1_HUMAN	tr|A0A643C277|A0A643C277_BALPH
OG0000015	sp|Q8NGF3|O51D1_HUMAN, sp|Q9H255|O51E2_HUMAN	tr|A0A643C2V5|A0A643C2V5_BALPH
OG0000015	sp|Q8NGJ8|O51S1_HUMAN	tr|A0A643CGB1|A0A643CGB1_BALPH, tr|A0A643BL90|A0A643BL90_BALPH
OG0000015	tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|Q8NH61|O51F2_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN	tr|A0A643C268|A0A643C268_BALPH
OG0000016	sp|Q08379|GOGA2_HUMAN, sp|A6NEM1|GG6L9_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN	tr|A0A6A1QDV4|A0A6A1QDV4_BALPH
OG0000017	sp|A0A0B4J279|TVA21_HUMAN	tr|A0A643BL20|A0A643BL20_BALPH
OG0000017	sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J275|TVA17_HUMAN	tr|A0A643BLR6|A0A643BLR6_BALPH
OG0000017	sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J266|TVA41_HUMAN	tr|A0A643BM14|A0A643BM14_BALPH
OG0000021	sp|Q6IFN5|O7E24_HUMAN	tr|A0A643ATM7|A0A643ATM7_BALPH, tr|A0A643BL94|A0A643BL94_BALPH, tr|A0A643C389|A0A643C389_BALPH, tr|A0A643C499|A0A643C499_BALPH, tr|A0A643C3J5|A0A643C3J5_BALPH, tr|A0A643C4N6|A0A643C4N6_BALPH, tr|A0A643BNT6|A0A643BNT6_BALPH, tr|A0A643AUB7|A0A643AUB7_BALPH, tr|A0A643C3F6|A0A643C3F6_BALPH, tr|A0A643BNJ5|A0A643BNJ5_BALPH, tr|A0A643C464|A0A643C464_BALPH, tr|A0A643BNL9|A0A643BNL9_BALPH, tr|A0A643C394|A0A643C394_BALPH, tr|A0A643CJ94|A0A643CJ94_BALPH, tr|A0A6A1Q7H0|A0A6A1Q7H0_BALPH, tr|A0A6A1QGP0|A0A6A1QGP0_BALPH, tr|A0A643BMT5|A0A643BMT5_BALPH, tr|A0A6A1Q5B8|A0A6A1Q5B8_BALPH, tr|A0A643CAU1|A0A643CAU1_BALPH, tr|A0A643C4B7|A0A643C4B7_BALPH, tr|A0A6A1Q1I4|A0A6A1Q1I4_BALPH, tr|A0A643BKQ5|A0A643BKQ5_BALPH, tr|A0A643BSR1|A0A643BSR1_BALPH, tr|A0A6A1Q808|A0A6A1Q808_BALPH
OG0000022	sp|Q9NYV7|T2R16_HUMAN, sp|P59551|T2R60_HUMAN, sp|P59536|T2R41_HUMAN	tr|A0A643C7B2|A0A643C7B2_BALPH
OG0000022	sp|Q9NYW7|TA2R1_HUMAN, sp|Q9NYW5|TA2R4_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|P59544|T2R50_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59541|T2R30_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN	tr|A0A643CG40|A0A643CG40_BALPH
OG0000023	sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN	tr|A0A6A1Q3W4|A0A6A1Q3W4_BALPH
OG0000023	sp|O95371|OR2C1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN	tr|A0A6A1Q6B7|A0A6A1Q6B7_BALPH
OG0000023	sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN	tr|A0A643BLL6|A0A643BLL6_BALPH
OG0000025	sp|Q86W25|NAL13_HUMAN	tr|A0A6A1QBE4|A0A6A1QBE4_BALPH
OG0000025	sp|Q8WX94|NALP7_HUMAN, sp|Q9NX02|NALP2_HUMAN	tr|A0A643C9G8|A0A643C9G8_BALPH
OG0000025	sp|Q86W28|NALP8_HUMAN, sp|Q86W24|NAL14_HUMAN, sp|Q96MN2|NALP4_HUMAN, sp|P59045|NAL11_HUMAN, sp|Q7RTR0|NLRP9_HUMAN	tr|A0A643ATU4|A0A643ATU4_BALPH
