Orthogroup	Homo_sapiens	Carlito_syrichta
OG0000002	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A1U7U2C8|A0A1U7U2C8_CARSF, tr|A0A1U7UCD9|A0A1U7UCD9_CARSF, tr|A0A1U7UKL2|A0A1U7UKL2_CARSF, tr|A0A1U7UM50|A0A1U7UM50_CARSF
OG0000002	sp|Q9H344|O51I2_HUMAN	tr|A0A1U7SY61|A0A1U7SY61_CARSF
OG0000002	sp|Q9H343|O51I1_HUMAN	tr|A0A1U7USK2|A0A1U7USK2_CARSF, tr|A0A1U7SY67|A0A1U7SY67_CARSF, tr|A0A1U7T8T1|A0A1U7T8T1_CARSF
OG0000002	sp|Q9H342|O51J1_HUMAN	tr|A0A1U7U8L7|A0A1U7U8L7_CARSF, tr|A0A1U7TYK2|A0A1U7TYK2_CARSF, tr|A0A1U7TYN6|A0A1U7TYN6_CARSF, tr|A0A1U7U8M2|A0A1U7U8M2_CARSF, tr|A0A1U7TII6|A0A1U7TII6_CARSF, tr|A0A1U7T8T2|A0A1U7T8T2_CARSF, tr|A0A1U7URX7|A0A1U7URX7_CARSF, tr|A0A1U7T4Q7|A0A1U7T4Q7_CARSF
OG0000002	sp|Q8NH63|O51H1_HUMAN	tr|A0A3Q0E5W7|A0A3Q0E5W7_CARSF, tr|A0A1U7UKY9|A0A1U7UKY9_CARSF, tr|A0A1U7TK35|A0A1U7TK35_CARSF, tr|A0A1U7TK45|A0A1U7TK45_CARSF
OG0000002	sp|Q8NH59|O51Q1_HUMAN	tr|A0A1U7TGA6|A0A1U7TGA6_CARSF, tr|A0A1U7TK81|A0A1U7TK81_CARSF, tr|A0A1U7TGA0|A0A1U7TGA0_CARSF
OG0000004	sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP8|OR5M1_HUMAN	tr|A0A1U7TQ49|A0A1U7TQ49_CARSF
OG0000004	sp|Q96RB7|OR5MB_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|Q8NGC0|O5AU1_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|P0C7N8|OR9G9_HUMAN, sp|Q8NH87|OR9G1_HUMAN, sp|O95221|OR5F1_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8N127|O5AS1_HUMAN	tr|A0A1U7SYH7|A0A1U7SYH7_CARSF
OG0000006	sp|A6NDL8|O6C68_HUMAN	tr|A0A1U7UJV0|A0A1U7UJV0_CARSF
OG0000006	sp|Q9NZP2|OR6C2_HUMAN	tr|A0A1U7UIA7|A0A1U7UIA7_CARSF
OG0000006	sp|A6NCV1|O6C74_HUMAN	tr|A0A1U7T8T6|A0A1U7T8T6_CARSF
OG0000006	sp|A6NIJ9|O6C70_HUMAN	tr|A0A1U7U671|A0A1U7U671_CARSF
OG0000006	sp|A6NF89|OR6C6_HUMAN	tr|A0A1U7TWF4|A0A1U7TWF4_CARSF, tr|A0A1U7TQ83|A0A1U7TQ83_CARSF
OG0000006	sp|A6NM76|O6C76_HUMAN	tr|A0A1U7UA21|A0A1U7UA21_CARSF
OG0000006	sp|A6NJZ3|O6C65_HUMAN	tr|A0A1U7U675|A0A1U7U675_CARSF
OG0000006	sp|A6NL08|O6C75_HUMAN	tr|A0A1U7U025|A0A1U7U025_CARSF
OG0000006	sp|Q96RD1|OR6C1_HUMAN	tr|A0A1U7U0C0|A0A1U7U0C0_CARSF
OG0000006	sp|Q9NZP0|OR6C3_HUMAN	tr|A0A3Q0EBN2|A0A3Q0EBN2_CARSF, tr|A0A1U7U8B7|A0A1U7U8B7_CARSF, tr|A0A1U7UA62|A0A1U7UA62_CARSF, tr|A0A1U7U2U4|A0A1U7U2U4_CARSF
OG0000007	sp|P58173|OR2B6_HUMAN	tr|A0A1U7UDU1|A0A1U7UDU1_CARSF
OG0000007	sp|O76000|OR2B3_HUMAN	tr|A0A1U7U9N2|A0A1U7U9N2_CARSF
OG0000007	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A1U7U2A2|A0A1U7U2A2_CARSF
OG0000007	sp|O95371|OR2C1_HUMAN	tr|A0A1U7UGM9|A0A1U7UGM9_CARSF
OG0000007	sp|Q8N628|OR2C3_HUMAN	tr|A0A1U7U0K2|A0A1U7U0K2_CARSF
OG0000007	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A3Q0E662|A0A3Q0E662_CARSF
OG0000007	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A1U7UNX5|A0A1U7UNX5_CARSF, tr|A0A1U7TCP0|A0A1U7TCP0_CARSF, tr|A0A1U7T075|A0A1U7T075_CARSF
OG0000007	sp|Q8NHA6|OR2W6_HUMAN	tr|A0A1U7UJU5|A0A1U7UJU5_CARSF
OG0000007	sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A1U7THB2|A0A1U7THB2_CARSF
OG0000007	sp|Q5TZ20|OR2G6_HUMAN	tr|A0A1U7TMV4|A0A1U7TMV4_CARSF
OG0000007	sp|Q8NGZ5|OR2G2_HUMAN	tr|A0A1U7TNM5|A0A1U7TNM5_CARSF, tr|A0A1U7TNN7|A0A1U7TNN7_CARSF
OG0000007	sp|P59922|OR2B8_HUMAN	tr|A0A1U7SLH3|A0A1U7SLH3_CARSF, tr|A0A1U7TF05|A0A1U7TF05_CARSF
OG0000009	sp|A0A0B4J276|TVA25_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A0B4J248|TVA11_HUMAN, sp|A0A0A6YYK7|TVA19_HUMAN, sp|A0A1B0GX56|TRDV1_HUMAN, sp|A0A0A6YYC5|TVA14_HUMAN, sp|A0A0B4J264|TV381_HUMAN, sp|P0DTU3|TRAR2_HUMAN, sp|A0JD32|TV382_HUMAN, sp|P01848|TRAC_HUMAN	tr|A0A3Q0DZI9|A0A3Q0DZI9_CARSF
OG0000011	sp|B1APH4|ZN487_HUMAN	tr|A0A1U7TMQ7|A0A1U7TMQ7_CARSF
OG0000011	sp|Q5TYW1|ZN658_HUMAN, sp|Q4V348|Z658B_HUMAN	tr|A0A1U7T431|A0A1U7T431_CARSF, tr|A0A3Q0DPP4|A0A3Q0DPP4_CARSF, tr|A0A3Q0DHY0|A0A3Q0DHY0_CARSF, tr|A0A1U7TAW1|A0A1U7TAW1_CARSF, tr|A0A1U7T4I1|A0A1U7T4I1_CARSF, tr|A0A1U7U7G2|A0A1U7U7G2_CARSF, tr|A0A1U7THX5|A0A1U7THX5_CARSF, tr|A0A3Q0EFT9|A0A3Q0EFT9_CARSF, tr|A0A3Q0EJ24|A0A3Q0EJ24_CARSF, tr|A0A3Q0DSQ3|A0A3Q0DSQ3_CARSF
OG0000011	sp|Q9Y2H8|ZN510_HUMAN	tr|A0A1U7UHF9|A0A1U7UHF9_CARSF, tr|A0A1U7SXE6|A0A1U7SXE6_CARSF, tr|A0A1U7T957|A0A1U7T957_CARSF, tr|A0A1U7UBC9|A0A1U7UBC9_CARSF, tr|A0A1U7T4Y1|A0A1U7T4Y1_CARSF, tr|A0A1U7TSY6|A0A1U7TSY6_CARSF, tr|A0A1U7THS5|A0A1U7THS5_CARSF, tr|A0A3Q0DQ40|A0A3Q0DQ40_CARSF, tr|A0A1U7T0H1|A0A1U7T0H1_CARSF, tr|A0A1U7T5B4|A0A1U7T5B4_CARSF, tr|A0A3Q0E5N8|A0A3Q0E5N8_CARSF, tr|A0A1U7U2Y8|A0A1U7U2Y8_CARSF, tr|A0A3Q0DT21|A0A3Q0DT21_CARSF, tr|A0A1U7U8I7|A0A1U7U8I7_CARSF, tr|A0A3Q0DW86|A0A3Q0DW86_CARSF, tr|A0A3Q0EHH4|A0A3Q0EHH4_CARSF
OG0000012	sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN	tr|A0A3Q0DSK4|A0A3Q0DSK4_CARSF
OG0000012	sp|Q08379|GOGA2_HUMAN	tr|A0A1U7TFM1|A0A1U7TFM1_CARSF
OG0000013	sp|Q8NGQ1|OR9G4_HUMAN	tr|A0A1U7T9F7|A0A1U7T9F7_CARSF
OG0000013	sp|Q96RC9|OR8B4_HUMAN	tr|A0A1U7TDY0|A0A1U7TDY0_CARSF, tr|A0A1U7TQK4|A0A1U7TQK4_CARSF, tr|A0A1U7TDX5|A0A1U7TDX5_CARSF, tr|A0A1U7TXE4|A0A1U7TXE4_CARSF, tr|A0A1U7UKG6|A0A1U7UKG6_CARSF, tr|A0A1U7U3D7|A0A1U7U3D7_CARSF, tr|A0A1U7TTC9|A0A1U7TTC9_CARSF, tr|A0A1U7UDB3|A0A1U7UDB3_CARSF, tr|A0A1U7TAM8|A0A1U7TAM8_CARSF, tr|A0A1U7TRD6|A0A1U7TRD6_CARSF
OG0000013	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A1U7T7L7|A0A1U7T7L7_CARSF, tr|A0A3Q0ECE9|A0A3Q0ECE9_CARSF, tr|A0A1U7TTC4|A0A1U7TTC4_CARSF, tr|A0A1U7TZI0|A0A1U7TZI0_CARSF, tr|A0A1U7UBJ3|A0A1U7UBJ3_CARSF
OG0000014	sp|P0C0S8|H2A1_HUMAN	tr|A0A1U7UNX0|A0A1U7UNX0_CARSF
OG0000014	sp|Q93077|H2A1C_HUMAN	tr|A0A1U7TRT3|A0A1U7TRT3_CARSF
OG0000014	sp|Q7L7L0|H2A3_HUMAN	tr|A0A1U7U3C4|A0A1U7U3C4_CARSF
OG0000014	sp|Q6FI13|H2A2A_HUMAN	tr|A0A1U7TBM8|A0A1U7TBM8_CARSF
OG0000014	sp|Q96KK5|H2A1H_HUMAN	tr|A0A1U7UX04|A0A1U7UX04_CARSF
OG0000014	sp|Q99878|H2A1J_HUMAN	tr|A0A1U7ULF5|A0A1U7ULF5_CARSF
OG0000014	sp|Q9BTM1|H2AJ_HUMAN	tr|A0A1U7UU50|A0A1U7UU50_CARSF
OG0000014	sp|Q16777|H2A2C_HUMAN	tr|A0A1U7T3Z0|A0A1U7T3Z0_CARSF
OG0000014	sp|Q96QV6|H2A1A_HUMAN	tr|A0A1U7TF09|A0A1U7TF09_CARSF
OG0000014	sp|Q8IUE6|H2A2B_HUMAN	tr|A0A1U7SXB2|A0A1U7SXB2_CARSF
OG0000014	sp|P04908|H2A1B_HUMAN	tr|A0A1U7V1X2|A0A1U7V1X2_CARSF, tr|A0A1U7T6X1|A0A1U7T6X1_CARSF
OG0000014	sp|P20671|H2A1D_HUMAN	tr|A0A1U7UDS4|A0A1U7UDS4_CARSF
OG0000017	sp|Q8NGB8|O4F15_HUMAN	tr|A0A1U7UE91|A0A1U7UE91_CARSF
OG0000017	sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN	tr|A0A1U7UCJ1|A0A1U7UCJ1_CARSF, tr|A0A1U7U0J3|A0A1U7U0J3_CARSF
OG0000017	sp|Q8NGC2|OR4E2_HUMAN	tr|A0A1U7U109|A0A1U7U109_CARSF, tr|A0A1U7TZ90|A0A1U7TZ90_CARSF, tr|A0A1U7TMD1|A0A1U7TMD1_CARSF, tr|A0A1U7TF37|A0A1U7TF37_CARSF, tr|A0A1U7U562|A0A1U7U562_CARSF, tr|A0A1U7UIT6|A0A1U7UIT6_CARSF, tr|A0A1U7U909|A0A1U7U909_CARSF, tr|A0A1U7UH77|A0A1U7UH77_CARSF, tr|A0A1U7UIU5|A0A1U7UIU5_CARSF, tr|A0A1U7UH72|A0A1U7UH72_CARSF, tr|A0A1U7U568|A0A1U7U568_CARSF, tr|A0A3Q0E9E6|A0A3Q0E9E6_CARSF, tr|A0A1U7TZ31|A0A1U7TZ31_CARSF, tr|A0A1U7U573|A0A1U7U573_CARSF, tr|A0A1U7SMJ5|A0A1U7SMJ5_CARSF
OG0000017	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A1U7U4D0|A0A1U7U4D0_CARSF
OG0000018	sp|P63261|ACTG_HUMAN, sp|P60709|ACTB_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|Q9BYD9|ACTT3_HUMAN, sp|Q5JWF8|ACL10_HUMAN, sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S8J7|POTEA_HUMAN	tr|A0A1U7TD10|A0A1U7TD10_CARSF
OG0000020	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A1U7T463|A0A1U7T463_CARSF
OG0000020	sp|Q8NH49|OR4X1_HUMAN	tr|A0A1U7SLF5|A0A1U7SLF5_CARSF
OG0000020	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A1U7V3T1|A0A1U7V3T1_CARSF
OG0000023	sp|A6NLX3|SPDE4_HUMAN	tr|A0A1U7T2K1|A0A1U7T2K1_CARSF
OG0000023	sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN	tr|A0A3Q0DSC7|A0A3Q0DSC7_CARSF
OG0000024	sp|Q8NGA1|OR1M1_HUMAN	tr|A0A1U7SMA9|A0A1U7SMA9_CARSF
OG0000024	sp|O60431|OR1I1_HUMAN	tr|A0A1U7T0I6|A0A1U7T0I6_CARSF, tr|A0A1U7UZ04|A0A1U7UZ04_CARSF, tr|A0A1U7SRI6|A0A1U7SRI6_CARSF, tr|A0A1U7THQ2|A0A1U7THQ2_CARSF, tr|A0A1U7TN68|A0A1U7TN68_CARSF, tr|A0A1U7TIQ8|A0A1U7TIQ8_CARSF, tr|A0A1U7T0I5|A0A1U7T0I5_CARSF, tr|A0A3Q0E0J3|A0A3Q0E0J3_CARSF, tr|A0A1U7SUH0|A0A1U7SUH0_CARSF, tr|A0A1U7U9B7|A0A1U7U9B7_CARSF, tr|A0A3Q0E3Z8|A0A3Q0E3Z8_CARSF, tr|A0A1U7U7I2|A0A1U7U7I2_CARSF, tr|A0A1U7STP5|A0A1U7STP5_CARSF, tr|A0A1U7THW7|A0A1U7THW7_CARSF, tr|A0A1U7UJW1|A0A1U7UJW1_CARSF, tr|A0A1U7U1M5|A0A1U7U1M5_CARSF, tr|A0A3Q0DZS3|A0A3Q0DZS3_CARSF, tr|A0A1U7T4E3|A0A1U7T4E3_CARSF, tr|A0A1U7UPN3|A0A1U7UPN3_CARSF
OG0000025	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A3Q0DZS7|A0A3Q0DZS7_CARSF, tr|A0A1U7U099|A0A1U7U099_CARSF
OG0000025	sp|Q8NGH9|O52E4_HUMAN	tr|A0A1U7TYD2|A0A1U7TYD2_CARSF
OG0000025	sp|Q8NH55|O52E5_HUMAN	tr|A0A1U7TXN8|A0A1U7TXN8_CARSF, tr|A0A1U7UA72|A0A1U7UA72_CARSF, tr|A0A1U7U0C5|A0A1U7U0C5_CARSF, tr|A0A1U7TQ87|A0A1U7TQ87_CARSF, tr|A0A1U7UAC4|A0A1U7UAC4_CARSF, tr|A0A1U7TS79|A0A1U7TS79_CARSF
OG0000027	sp|Q3KP31|ZN791_HUMAN	tr|A0A1U7SS32|A0A1U7SS32_CARSF
OG0000027	sp|Q8N972|ZN709_HUMAN	tr|A0A3Q0E3D0|A0A3Q0E3D0_CARSF
