Orthogroup	Homo_sapiens	Sciurus_vulgaris
OG0000011	sp|A6NGY5|O51F1_HUMAN	tr|A0A8D2AY79|A0A8D2AY79_SCIVU, tr|A0A8D2AYS8|A0A8D2AYS8_SCIVU, tr|A0A8D2AY29|A0A8D2AY29_SCIVU
OG0000011	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8D2AYA5|A0A8D2AYA5_SCIVU, tr|A0A8D2B4X1|A0A8D2B4X1_SCIVU
OG0000014	sp|Q147U1|ZN846_HUMAN	tr|A0A8D2DBE2|A0A8D2DBE2_SCIVU
OG0000014	sp|Q96PE6|ZIM3_HUMAN	tr|A0A8D2CS53|A0A8D2CS53_SCIVU, tr|A0A8D2D7S4|A0A8D2D7S4_SCIVU
OG0000014	sp|P51508|ZNF81_HUMAN	tr|A0A8D2BB55|A0A8D2BB55_SCIVU
OG0000014	sp|Q9Y473|ZN175_HUMAN	tr|A0A8D2DZV4|A0A8D2DZV4_SCIVU
OG0000014	sp|Q5JVG2|ZN484_HUMAN	tr|A0A8D2B9B1|A0A8D2B9B1_SCIVU
OG0000014	sp|Q2M218|ZN630_HUMAN, sp|Q96RE9|ZN300_HUMAN	tr|A0A8D2B374|A0A8D2B374_SCIVU, tr|A0A8D2BE07|A0A8D2BE07_SCIVU
OG0000014	sp|Q2M3X9|ZN674_HUMAN, sp|Q5JUW0|KRBX4_HUMAN	tr|A0A8D2D1H7|A0A8D2D1H7_SCIVU, tr|A0A8D2D0S7|A0A8D2D0S7_SCIVU
OG0000014	sp|Q5T5D7|ZN684_HUMAN	tr|A0A8D2DJS9|A0A8D2DJS9_SCIVU, tr|A0A8D2DL29|A0A8D2DL29_SCIVU
OG0000015	sp|Q96R67|OR4CC_HUMAN	tr|A0A8D2CYW5|A0A8D2CYW5_SCIVU, tr|A0A8D2CVG7|A0A8D2CVG7_SCIVU, tr|A0A8D2CSY5|A0A8D2CSY5_SCIVU, tr|A0A8D2JIQ0|A0A8D2JIQ0_SCIVU, tr|A0A8D2CSY7|A0A8D2CSY7_SCIVU, tr|A0A8D2JIL6|A0A8D2JIL6_SCIVU, tr|A0A8D2CZT9|A0A8D2CZT9_SCIVU, tr|A0A8D2CYZ7|A0A8D2CYZ7_SCIVU, tr|A0A8D2CTT1|A0A8D2CTT1_SCIVU, tr|A0A8D2JJT1|A0A8D2JJT1_SCIVU, tr|A0A8D2CZX1|A0A8D2CZX1_SCIVU, tr|A0A8D2CX96|A0A8D2CX96_SCIVU, tr|A0A8D2CN26|A0A8D2CN26_SCIVU, tr|A0A8D2CZL5|A0A8D2CZL5_SCIVU, tr|A0A8D2JKL5|A0A8D2JKL5_SCIVU, tr|A0A8D2CUR8|A0A8D2CUR8_SCIVU, tr|A0A8D2AWR7|A0A8D2AWR7_SCIVU, tr|A0A8D2CXS7|A0A8D2CXS7_SCIVU, tr|A0A8D2CXC1|A0A8D2CXC1_SCIVU, tr|A0A8D2CXS4|A0A8D2CXS4_SCIVU, tr|A0A8D2JFX5|A0A8D2JFX5_SCIVU, tr|A0A8D2CUG0|A0A8D2CUG0_SCIVU, tr|A0A8D2CY88|A0A8D2CY88_SCIVU, tr|A0A8D2CXG8|A0A8D2CXG8_SCIVU, tr|A0A8D2B2J5|A0A8D2B2J5_SCIVU, tr|A0A8D2CSI0|A0A8D2CSI0_SCIVU
OG0000016	sp|Q9UPS8|ANR26_HUMAN	tr|A0A8D2CU19|A0A8D2CU19_SCIVU
OG0000016	sp|A6QL64|AN36A_HUMAN, sp|Q5JPF3|AN36C_HUMAN, sp|Q8N2N9|AN36B_HUMAN, sp|A6NC57|ANR62_HUMAN, sp|Q96IX9|A26L1_HUMAN, sp|Q8IYA2|C144C_HUMAN, sp|A2RUR9|C144A_HUMAN, sp|Q3MJ40|C144B_HUMAN, sp|Q6NUI1|C144L_HUMAN, sp|Q5VUR7|A20A3_HUMAN, sp|Q4UJ75|A20A4_HUMAN, sp|Q5TYW2|A20A1_HUMAN, sp|Q5SQ80|A20A2_HUMAN, sp|Q5CZ79|AN20B_HUMAN, sp|A0PJZ0|A20A5_HUMAN, sp|A2A2Z9|AN18B_HUMAN, sp|Q8IVF6|AN18A_HUMAN, sp|Q8NF67|A2012_HUMAN, sp|Q9H560|ANR19_HUMAN, sp|Q9BXX3|AN30A_HUMAN, sp|Q9BXX2|AN30B_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|Q6NSI1|AR26L_HUMAN	tr|A0A8D2CU35|A0A8D2CU35_SCIVU
OG0000020	sp|Q8NGV0|OR2Y1_HUMAN	tr|A0A8D2AZM7|A0A8D2AZM7_SCIVU, tr|A0A8D2AVV0|A0A8D2AVV0_SCIVU, tr|A0A8D2AYB8|A0A8D2AYB8_SCIVU, tr|A0A8D2AUD2|A0A8D2AUD2_SCIVU, tr|A0A8D2ATZ0|A0A8D2ATZ0_SCIVU, tr|A0A8D2B085|A0A8D2B085_SCIVU, tr|A0A8D2CSZ5|A0A8D2CSZ5_SCIVU, tr|A0A8D2AU65|A0A8D2AU65_SCIVU, tr|A0A8D2ASK4|A0A8D2ASK4_SCIVU, tr|A0A8D2AQT2|A0A8D2AQT2_SCIVU, tr|A0A8D2JGB7|A0A8D2JGB7_SCIVU, tr|A0A8D2CTQ9|A0A8D2CTQ9_SCIVU, tr|A0A8D2CVF9|A0A8D2CVF9_SCIVU, tr|A0A8D2CTU0|A0A8D2CTU0_SCIVU, tr|A0A8D2CUD5|A0A8D2CUD5_SCIVU, tr|A0A8D2CUI3|A0A8D2CUI3_SCIVU, tr|A0A8D2JGX2|A0A8D2JGX2_SCIVU, tr|A0A8D2JI63|A0A8D2JI63_SCIVU, tr|A0A8D2CVG5|A0A8D2CVG5_SCIVU, tr|A0A8D2CV84|A0A8D2CV84_SCIVU, tr|A0A8D2CUR1|A0A8D2CUR1_SCIVU, tr|A0A8D2CU90|A0A8D2CU90_SCIVU, tr|A0A8D2CXX2|A0A8D2CXX2_SCIVU, tr|A0A8D2CSV3|A0A8D2CSV3_SCIVU
OG0000021	sp|Q09FC8|ZN415_HUMAN, sp|Q6ZN19|ZN841_HUMAN, sp|Q6ZNA1|ZN836_HUMAN, sp|Q08AN1|ZN616_HUMAN, sp|Q86XU0|ZN677_HUMAN, sp|Q9H7R5|ZN665_HUMAN, sp|A2RRD8|ZN320_HUMAN, sp|Q8N782|ZN525_HUMAN, sp|Q5VIY5|ZN468_HUMAN, sp|P17035|ZNF28_HUMAN, sp|P0CJ79|ZN888_HUMAN, sp|Q9NV72|ZN701_HUMAN, sp|Q6ZN06|ZN813_HUMAN, sp|Q86XN6|ZN761_HUMAN, sp|Q7L2R6|ZN765_HUMAN, sp|Q96IR2|ZN845_HUMAN, sp|Q8N8H1|ZN321_HUMAN, sp|Q6ZNG1|ZN600_HUMAN, sp|Q8N823|ZN611_HUMAN, sp|Q8N4W9|ZN808_HUMAN, sp|Q96N58|ZN578_HUMAN, sp|A6NHJ4|ZN860_HUMAN, sp|Q0VGE8|ZN816_HUMAN, tr|A0A7P0TAN4|A0A7P0TAN4_HUMAN	tr|A0A8D2DNK1|A0A8D2DNK1_SCIVU
OG0000022	sp|P62807|H2B1C_HUMAN	tr|A0A8D2DAW2|A0A8D2DAW2_SCIVU
OG0000022	sp|Q8N257|H2B3B_HUMAN	tr|A0A8D2AU42|A0A8D2AU42_SCIVU, tr|A0A8D2APJ8|A0A8D2APJ8_SCIVU
OG0000022	sp|P33778|H2B1B_HUMAN	tr|A0A8D2D1T1|A0A8D2D1T1_SCIVU
OG0000022	sp|O60814|H2B1K_HUMAN, sp|P57053|H2BFS_HUMAN	tr|A0A8D2D9M1|A0A8D2D9M1_SCIVU
OG0000022	sp|P06899|H2B1J_HUMAN	tr|A0A8D2DA41|A0A8D2DA41_SCIVU
OG0000022	sp|Q93079|H2B1H_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|P23527|H2B1O_HUMAN, sp|Q16778|H2B2E_HUMAN	tr|A0A8D2CJV1|A0A8D2CJV1_SCIVU
OG0000023	sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9UN70|PCDGK_HUMAN	tr|A0A8D2DE04|A0A8D2DE04_SCIVU
OG0000024	sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A5A6|TVBK3_HUMAN	tr|A0A8D2JJA0|A0A8D2JJA0_SCIVU
OG0000024	sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|P04435|TVB79_HUMAN	tr|A0A8D2CZR3|A0A8D2CZR3_SCIVU
OG0000024	sp|A0A5B0|TVB14_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN	tr|A0A8D2CZU3|A0A8D2CZU3_SCIVU
OG0000028	sp|Q14586|ZN267_HUMAN, sp|Q7Z2F6|KRBX5_HUMAN	tr|A0A8D2JNK5|A0A8D2JNK5_SCIVU
OG0000028	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A8D2D3B9|A0A8D2D3B9_SCIVU
OG0000028	sp|P17039|ZNF30_HUMAN	tr|A0A8D2CUS5|A0A8D2CUS5_SCIVU, tr|A0A8D2JNF0|A0A8D2JNF0_SCIVU, tr|A0A8D2DVD3|A0A8D2DVD3_SCIVU
OG0000028	sp|Q5HYK9|ZN667_HUMAN	tr|A0A8D2E178|A0A8D2E178_SCIVU, tr|A0A8D2BEV7|A0A8D2BEV7_SCIVU, tr|A0A8D2ALE8|A0A8D2ALE8_SCIVU, tr|A0A8D2JTH4|A0A8D2JTH4_SCIVU, tr|A0A8D2D9C6|A0A8D2D9C6_SCIVU, tr|A0A8D2E1K4|A0A8D2E1K4_SCIVU, tr|A0A8D2JTH6|A0A8D2JTH6_SCIVU, tr|A0A8D2D4G8|A0A8D2D4G8_SCIVU, tr|A0A8D2CVU7|A0A8D2CVU7_SCIVU, tr|A0A8D2DEA4|A0A8D2DEA4_SCIVU, tr|A0A8D2DXC5|A0A8D2DXC5_SCIVU, tr|A0A8D2DYT0|A0A8D2DYT0_SCIVU
OG0000038	sp|Q8NEK5|ZN548_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q13106|ZN154_HUMAN	tr|A0A8D2E281|A0A8D2E281_SCIVU
OG0000040	sp|Q8NHA6|OR2W6_HUMAN	tr|A0A8D2CLZ4|A0A8D2CLZ4_SCIVU
OG0000040	sp|O95371|OR2C1_HUMAN	tr|A0A8D2D911|A0A8D2D911_SCIVU
OG0000040	sp|Q8N628|OR2C3_HUMAN	tr|A0A8D2B0T9|A0A8D2B0T9_SCIVU
OG0000042	sp|A0A0K0K1C4|TVB27_HUMAN	tr|A0A8D2CZ51|A0A8D2CZ51_SCIVU
