Orthogroup	Homo_sapiens	Lipotes_vexillifer
OG0000011	sp|Q8IUE6|H2A2B_HUMAN	tr|A0A340XQD7|A0A340XQD7_LIPVE
OG0000011	sp|P16104|H2AX_HUMAN	tr|A0A340YFX3|A0A340YFX3_LIPVE, tr|A0A340X470|A0A340X470_LIPVE
OG0000011	sp|Q16777|H2A2C_HUMAN	tr|A0A340XWJ5|A0A340XWJ5_LIPVE
OG0000011	sp|Q9BTM1|H2AJ_HUMAN	tr|A0A340X057|A0A340X057_LIPVE
OG0000011	sp|Q6FI13|H2A2A_HUMAN	tr|A0A340XTN9|A0A340XTN9_LIPVE
OG0000011	sp|P20671|H2A1D_HUMAN	tr|A0A340WQG8|A0A340WQG8_LIPVE
OG0000011	sp|Q93077|H2A1C_HUMAN	tr|A0A340YIN7|A0A340YIN7_LIPVE
OG0000011	sp|Q7L7L0|H2A3_HUMAN	tr|A0A340XC20|A0A340XC20_LIPVE, tr|A0A340X4S1|A0A340X4S1_LIPVE
OG0000011	sp|P04908|H2A1B_HUMAN	tr|A0A340YIN2|A0A340YIN2_LIPVE, tr|A0A340YEB1|A0A340YEB1_LIPVE
OG0000012	sp|Q08379|GOGA2_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN	tr|A0A340YFY7|A0A340YFY7_LIPVE
OG0000015	sp|Q9NYV7|T2R16_HUMAN, sp|P59551|T2R60_HUMAN, sp|P59536|T2R41_HUMAN, sp|Q9NYW7|TA2R1_HUMAN, sp|P59535|T2R40_HUMAN, sp|P59534|T2R39_HUMAN, sp|Q9NYW5|TA2R4_HUMAN, sp|P59533|T2R38_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59541|T2R30_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59544|T2R50_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYW6|TA2R3_HUMAN	tr|A0A340Y2Q3|A0A340Y2Q3_LIPVE
OG0000016	sp|Q8N1N4|K2C78_HUMAN	tr|A0A340WL32|A0A340WL32_LIPVE
OG0000016	sp|P19013|K2C4_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|P04264|K2C1_HUMAN, sp|P35908|K22E_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q01546|K22O_HUMAN, sp|P12035|K2C3_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P02538|K2C6A_HUMAN, sp|P13647|K2C5_HUMAN, sp|O95678|K2C75_HUMAN, sp|P08729|K2C7_HUMAN, sp|P05787|K2C8_HUMAN, sp|Q9NSB4|KRT82_HUMAN, sp|P78386|KRT85_HUMAN, sp|A6NCN2|KR87P_HUMAN, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|Q14533|KRT81_HUMAN, sp|Q9NSB2|KRT84_HUMAN	tr|A0A340WXP3|A0A340WXP3_LIPVE
OG0000018	sp|O95006|OR2F2_HUMAN, sp|Q13607|OR2F1_HUMAN, sp|Q8NGH3|OR2D3_HUMAN, sp|Q9H210|OR2D2_HUMAN, sp|Q8NH19|O10AG_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN, sp|O76000|OR2B3_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|O76001|OR2J3_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN	tr|A0A340Y5G9|A0A340Y5G9_LIPVE
OG0000019	sp|Q6ZQV5|ZN788_HUMAN	tr|A0A340XHB5|A0A340XHB5_LIPVE, tr|A0A340XKZ6|A0A340XKZ6_LIPVE, tr|A0A340Y9G8|A0A340Y9G8_LIPVE
OG0000019	sp|Q8N7M2|ZN283_HUMAN	tr|A0A340XHY4|A0A340XHY4_LIPVE
OG0000019	sp|Q2M3X9|ZN674_HUMAN, sp|Q5JUW0|KRBX4_HUMAN	tr|A0A340WIQ8|A0A340WIQ8_LIPVE, tr|A0A340WMW4|A0A340WMW4_LIPVE
OG0000019	sp|Q9NZV7|ZIM2_HUMAN	tr|A0A340XZM4|A0A340XZM4_LIPVE, tr|A0A340WSS7|A0A340WSS7_LIPVE, tr|A0A340Y812|A0A340Y812_LIPVE
OG0000019	sp|Q96K75|ZN514_HUMAN	tr|A0A340YFR2|A0A340YFR2_LIPVE
OG0000024	sp|Q9H208|O10A2_HUMAN, sp|Q9H207|O10A5_HUMAN	tr|A0A340XIG7|A0A340XIG7_LIPVE
OG0000024	sp|Q9H209|O10A4_HUMAN, sp|Q8NH74|O10A6_HUMAN, sp|P58181|O10A3_HUMAN, sp|Q8NGE5|O10A7_HUMAN, sp|Q96KK4|O10C1_HUMAN, sp|Q8NGE3|O10P1_HUMAN, sp|Q8NHC7|O14CZ_HUMAN, sp|Q8NHC6|O14L1_HUMAN, sp|Q96R54|O14A2_HUMAN, sp|Q8NGF6|O10W1_HUMAN, sp|Q8NGC8|O11H7_HUMAN, sp|Q8NGC9|O11H4_HUMAN, sp|Q8NGC7|O11H6_HUMAN, sp|Q8NGC1|O11G2_HUMAN, sp|Q9GZK7|O11A1_HUMAN, sp|Q8NGY3|OR6K3_HUMAN, sp|Q8NGY2|OR6K2_HUMAN, sp|Q8NGY6|OR6N2_HUMAN, sp|Q8NGY5|OR6N1_HUMAN, sp|Q8NGX0|O11L1_HUMAN, sp|Q8NGX9|OR6P1_HUMAN, sp|Q8NGE0|O10AD_HUMAN	tr|A0A340X5H6|A0A340X5H6_LIPVE
OG0000025	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A340YGF8|A0A340YGF8_LIPVE
OG0000025	sp|Q6PG37|ZN790_HUMAN	tr|A0A340YBS0|A0A340YBS0_LIPVE
OG0000025	sp|Q96NG8|ZN582_HUMAN	tr|A0A340X7H6|A0A340X7H6_LIPVE
OG0000025	sp|Q969W8|ZN566_HUMAN	tr|A0A340YBN7|A0A340YBN7_LIPVE
OG0000025	sp|Q8TAF7|ZN461_HUMAN	tr|A0A340YBU0|A0A340YBU0_LIPVE
OG0000025	sp|Q86YE8|ZN573_HUMAN, sp|Q96SK3|ZN607_HUMAN, sp|P17039|ZNF30_HUMAN	tr|A0A340YDT9|A0A340YDT9_LIPVE
OG0000025	sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN	tr|A0A340XI74|A0A340XI74_LIPVE
OG0000025	sp|Q8N141|ZFP82_HUMAN, sp|Q9HCL3|ZFP14_HUMAN	tr|A0A340YDN6|A0A340YDN6_LIPVE
OG0000027	sp|Q9P275|UBP36_HUMAN	tr|A0A340XLZ9|A0A340XLZ9_LIPVE
OG0000027	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q9H9J4|UBP42_HUMAN	tr|A0A340WPN8|A0A340WPN8_LIPVE
OG0000030	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN	tr|A0A340Y0Y3|A0A340Y0Y3_LIPVE
OG0000033	sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN	tr|A0A340YB59|A0A340YB59_LIPVE
OG0000039	sp|Q8N257|H2B3B_HUMAN	tr|A0A340X941|A0A340X941_LIPVE, tr|A0A340YEA0|A0A340YEA0_LIPVE, tr|A0A340YFV1|A0A340YFV1_LIPVE, tr|A0A340WQS0|A0A340WQS0_LIPVE, tr|A0A340WNT6|A0A340WNT6_LIPVE, tr|A0A340WQS4|A0A340WQS4_LIPVE, tr|A0A340YC91|A0A340YC91_LIPVE, tr|A0A340YFT1|A0A340YFT1_LIPVE, tr|A0A340YCC0|A0A340YCC0_LIPVE, tr|A0A340Y9Y9|A0A340Y9Y9_LIPVE, tr|A0A340Y8Y2|A0A340Y8Y2_LIPVE, tr|A0A340XW08|A0A340XW08_LIPVE, tr|A0A340YCA7|A0A340YCA7_LIPVE, tr|A0A340YIQ3|A0A340YIQ3_LIPVE, tr|A0A340YED1|A0A340YED1_LIPVE, tr|A0A340YFT7|A0A340YFT7_LIPVE, tr|A0A340WQG4|A0A340WQG4_LIPVE, tr|A0A340YE94|A0A340YE94_LIPVE, tr|A0A340XW13|A0A340XW13_LIPVE, tr|A0A340XTP4|A0A340XTP4_LIPVE
OG0000040	sp|Q8NGA6|O10H5_HUMAN, sp|Q9Y4A9|O10H1_HUMAN, sp|O60403|O10H2_HUMAN	tr|A0A340XLM7|A0A340XLM7_LIPVE
OG0000040	sp|O60404|O10H3_HUMAN, sp|Q8NGA5|O10H4_HUMAN, sp|Q8NGY0|O10X1_HUMAN, sp|Q8NGX6|O10R2_HUMAN, sp|Q8NGX3|O10T2_HUMAN, sp|Q8NGI7|O10V1_HUMAN, sp|Q8NGQ4|O10Q1_HUMAN, sp|Q8NGY1|O10Z1_HUMAN, sp|Q8NGY7|O10J6_HUMAN, sp|Q8NHC4|O10J5_HUMAN, sp|P30954|O10J1_HUMAN, sp|Q5JRS4|O10J3_HUMAN, sp|P0C629|O10J4_HUMAN, sp|Q6IF99|O10K2_HUMAN, sp|Q8NGX5|O10K1_HUMAN	tr|A0A340XFU7|A0A340XFU7_LIPVE
OG0000044	sp|P11509|CP2A6_HUMAN, sp|P20853|CP2A7_HUMAN, sp|Q16696|CP2AD_HUMAN	tr|A0A340XB77|A0A340XB77_LIPVE
OG0000044	sp|P11712|CP2C9_HUMAN, sp|P33261|CP2CJ_HUMAN, sp|P33260|CP2CI_HUMAN, sp|P10632|CP2C8_HUMAN	tr|A0A340YEG8|A0A340YEG8_LIPVE
OG0000044	sp|P05181|CP2E1_HUMAN	tr|A0A340WWM4|A0A340WWM4_LIPVE
OG0000047	sp|P00352|AL1A1_HUMAN	tr|A0A340WYW2|A0A340WYW2_LIPVE
OG0000047	sp|P30837|AL1B1_HUMAN	tr|A0A340X3D8|A0A340X3D8_LIPVE
OG0000047	sp|P05091|ALDH2_HUMAN	tr|A0A340WKU4|A0A340WKU4_LIPVE
OG0000047	sp|O94788|AL1A2_HUMAN	tr|A0A340XI61|A0A340XI61_LIPVE
OG0000047	sp|P47895|AL1A3_HUMAN	tr|A0A340WGN9|A0A340WGN9_LIPVE
OG0000048	sp|Q9UF33|EPHA6_HUMAN	tr|A0A340XKX7|A0A340XKX7_LIPVE
OG0000048	sp|P54762|EPHB1_HUMAN	tr|A0A340X886|A0A340X886_LIPVE
OG0000048	sp|P29323|EPHB2_HUMAN	tr|A0A340XJ06|A0A340XJ06_LIPVE
OG0000048	sp|P54753|EPHB3_HUMAN	tr|A0A340YC64|A0A340YC64_LIPVE
OG0000048	sp|P54764|EPHA4_HUMAN	tr|A0A340Y2C3|A0A340Y2C3_LIPVE
OG0000048	sp|Q15375|EPHA7_HUMAN	tr|A0A340XT98|A0A340XT98_LIPVE
OG0000048	sp|P29322|EPHA8_HUMAN	tr|A0A340XJ11|A0A340XJ11_LIPVE
OG0000048	sp|P54756|EPHA5_HUMAN	tr|A0A340WI40|A0A340WI40_LIPVE
OG0000048	sp|P29320|EPHA3_HUMAN	tr|A0A340Y4R2|A0A340Y4R2_LIPVE
OG0000049	sp|Q92506|DHB8_HUMAN	tr|A0A340WVH4|A0A340WVH4_LIPVE, tr|A0A340YAX5|A0A340YAX5_LIPVE, tr|A0A340YGN2|A0A340YGN2_LIPVE, tr|A0A340WRU9|A0A340WRU9_LIPVE, tr|A0A340YEU7|A0A340YEU7_LIPVE, tr|A0A340WKM7|A0A340WKM7_LIPVE, tr|A0A340WRK7|A0A340WRK7_LIPVE, tr|A0A340WAB7|A0A340WAB7_LIPVE, tr|A0A340XRL6|A0A340XRL6_LIPVE, tr|A0A340Y1T1|A0A340Y1T1_LIPVE, tr|A0A340WMY2|A0A340WMY2_LIPVE, tr|A0A340Y5S3|A0A340Y5S3_LIPVE, tr|A0A340WW39|A0A340WW39_LIPVE, tr|A0A340WP52|A0A340WP52_LIPVE, tr|A0A340X092|A0A340X092_LIPVE, tr|A0A340WQH3|A0A340WQH3_LIPVE, tr|A0A340XNL4|A0A340XNL4_LIPVE
OG0000051	sp|Q2M2I5|K1C24_HUMAN, sp|Q9C075|K1C23_HUMAN, sp|P35900|K1C20_HUMAN, sp|P08727|K1C19_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|Q04695|K1C17_HUMAN, sp|P13646|K1C13_HUMAN, sp|P19012|K1C15_HUMAN, sp|P35527|K1C9_HUMAN, sp|Q99456|K1C12_HUMAN, sp|P13645|K1C10_HUMAN, sp|Q7Z3Y9|K1C26_HUMAN, sp|Q7Z3Y7|K1C28_HUMAN, sp|Q7Z3Z0|K1C25_HUMAN, sp|Q7Z3Y8|K1C27_HUMAN	tr|A0A340Y1D7|A0A340Y1D7_LIPVE
OG0000052	sp|Q01105|SET_HUMAN, sp|P0DME0|SETLP_HUMAN	tr|A0A340YK77|A0A340YK77_LIPVE
OG0000052	sp|Q9UJ04|TSYL4_HUMAN	tr|A0A340X4Z9|A0A340X4Z9_LIPVE
OG0000052	sp|Q8N831|TSYL6_HUMAN, sp|Q9H0U9|TSYL1_HUMAN	tr|A0A340X0A3|A0A340X0A3_LIPVE
OG0000052	sp|A0A494C1R9|TSPY9_HUMAN, sp|P0CV99|TSPY4_HUMAN, sp|A6NKD2|TSPY2_HUMAN, sp|P0CV98|TSPY3_HUMAN, sp|Q01534|TSPY1_HUMAN, sp|P0CW01|TSPYA_HUMAN, sp|P0CW00|TSPY8_HUMAN	tr|A0A340Y028|A0A340Y028_LIPVE
