Orthogroup	Homo_sapiens	Prolemur_simus
OG0000003	sp|Q9H2C8|O51V1_HUMAN	tr|A0A8C9DCV1|A0A8C9DCV1_PROSS, tr|A0A8C8Y8I1|A0A8C8Y8I1_PROSS
OG0000003	sp|Q9H341|O51M1_HUMAN	tr|A0A8C8YC14|A0A8C8YC14_PROSS, tr|A0A8C8YJG1|A0A8C8YJG1_PROSS
OG0000003	sp|Q8NH63|O51H1_HUMAN	tr|A0A8C9DW85|A0A8C9DW85_PROSS, tr|A0A8C8YHW1|A0A8C8YHW1_PROSS, tr|A0A8C8ZY43|A0A8C8ZY43_PROSS, tr|A0A8C8ZAQ7|A0A8C8ZAQ7_PROSS, tr|A0A8C8Z1T3|A0A8C8Z1T3_PROSS
OG0000004	sp|Q9NZP2|OR6C2_HUMAN	tr|A0A8C9ATS7|A0A8C9ATS7_PROSS
OG0000004	sp|A6NM76|O6C76_HUMAN	tr|A0A8C9AKR5|A0A8C9AKR5_PROSS
OG0000004	sp|A6NJZ3|O6C65_HUMAN	tr|A0A8C9B165|A0A8C9B165_PROSS, tr|A0A8C9AN71|A0A8C9AN71_PROSS
OG0000004	sp|A6NIJ9|O6C70_HUMAN	tr|A0A8C9APU1|A0A8C9APU1_PROSS
OG0000004	sp|A6NF89|OR6C6_HUMAN	tr|A0A8C9APX1|A0A8C9APX1_PROSS, tr|A0A8C9AW55|A0A8C9AW55_PROSS
OG0000004	sp|Q96RD1|OR6C1_HUMAN	tr|A0A8C9AKT6|A0A8C9AKT6_PROSS, tr|A0A8C8ZZW4|A0A8C8ZZW4_PROSS
OG0000004	sp|Q9NZP0|OR6C3_HUMAN	tr|A0A8C9APW1|A0A8C9APW1_PROSS, tr|A0A8C9ATX3|A0A8C9ATX3_PROSS, tr|A0A8C9AN80|A0A8C9AN80_PROSS
OG0000004	sp|A6NL08|O6C75_HUMAN	tr|A0A8C9AKS4|A0A8C9AKS4_PROSS
OG0000004	sp|Q8NGE2|O2AP1_HUMAN	tr|A0A8C9AK38|A0A8C9AK38_PROSS
OG0000004	sp|Q8NGE1|OR6C4_HUMAN	tr|A0A8C9AVZ7|A0A8C9AVZ7_PROSS
OG0000004	sp|A6NCV1|O6C74_HUMAN	tr|A0A8C9DUU1|A0A8C9DUU1_PROSS, tr|A0A8C9AKB0|A0A8C9AKB0_PROSS
OG0000004	sp|A6NDL8|O6C68_HUMAN	tr|A0A8C9AN49|A0A8C9AN49_PROSS, tr|A0A8C9AN40|A0A8C9AN40_PROSS
OG0000005	sp|Q8NH43|OR4L1_HUMAN	tr|A0A8C8ZT39|A0A8C8ZT39_PROSS
OG0000005	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A8C8YCP7|A0A8C8YCP7_PROSS
OG0000005	sp|Q8NGB8|O4F15_HUMAN	tr|A0A8C8YC10|A0A8C8YC10_PROSS, tr|A0A8C8ZTZ5|A0A8C8ZTZ5_PROSS
OG0000005	sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN	tr|A0A8C8ZVN3|A0A8C8ZVN3_PROSS, tr|A0A8C8YDZ6|A0A8C8YDZ6_PROSS, tr|A0A8C9DD05|A0A8C9DD05_PROSS, tr|A0A8C8ZST0|A0A8C8ZST0_PROSS
OG0000006	sp|Q8NGA1|OR1M1_HUMAN	tr|A0A8C9DSW7|A0A8C9DSW7_PROSS
OG0000006	sp|O60431|OR1I1_HUMAN	tr|A0A8C8Z8S8|A0A8C8Z8S8_PROSS
OG0000006	sp|Q8NGS0|OR1N1_HUMAN	tr|A0A8C8YC05|A0A8C8YC05_PROSS
OG0000006	sp|Q8NH06|OR1P1_HUMAN	tr|A0A8C9DCS1|A0A8C9DCS1_PROSS
OG0000006	sp|Q15619|OR1C1_HUMAN	tr|A0A8C9ALS1|A0A8C9ALS1_PROSS, tr|A0A8C9A523|A0A8C9A523_PROSS
OG0000006	sp|Q8NHA8|OR1FC_HUMAN	tr|A0A8C9AAI5|A0A8C9AAI5_PROSS, tr|A0A8C9A3U8|A0A8C9A3U8_PROSS
OG0000008	sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A075B6S5|KV127_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN	tr|A0A8C8ZZV5|A0A8C8ZZV5_PROSS
OG0000010	sp|Q9H7L2|KI3X1_HUMAN	tr|A0A8C9DKW6|A0A8C9DKW6_PROSS
OG0000010	sp|P43629|KI3L1_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q99706|KI2L4_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|P43632|KI2S4_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN	tr|A0A8C8Z181|A0A8C8Z181_PROSS
OG0000012	sp|Q7Z5H5|VN1R4_HUMAN	tr|A0A8C9ACQ4|A0A8C9ACQ4_PROSS
OG0000012	sp|Q9BXE9|VN1R3_HUMAN	tr|A0A8C8ZKF0|A0A8C8ZKF0_PROSS, tr|A0A8C9AYS5|A0A8C9AYS5_PROSS, tr|A0A8C9DLW9|A0A8C9DLW9_PROSS, tr|A0A8C9DFZ1|A0A8C9DFZ1_PROSS, tr|A0A8C8YTS0|A0A8C8YTS0_PROSS, tr|A0A8C8ZKG7|A0A8C8ZKG7_PROSS, tr|A0A8C9AT27|A0A8C9AT27_PROSS
OG0000012	sp|Q9GZP7|VN1R1_HUMAN	tr|A0A8C8ZTV4|A0A8C8ZTV4_PROSS, tr|A0A8C9DU60|A0A8C9DU60_PROSS, tr|A0A8C9B0M9|A0A8C9B0M9_PROSS, tr|A0A8C9DUP7|A0A8C9DUP7_PROSS, tr|A0A8C9AKS5|A0A8C9AKS5_PROSS, tr|A0A8C8ZSL7|A0A8C8ZSL7_PROSS, tr|A0A8C8Z888|A0A8C8Z888_PROSS, tr|A0A8C8Z5R5|A0A8C8Z5R5_PROSS, tr|A0A8C8YZV9|A0A8C8YZV9_PROSS, tr|A0A8C8Z714|A0A8C8Z714_PROSS, tr|A0A8C8ZLZ4|A0A8C8ZLZ4_PROSS
OG0000013	sp|Q8NH72|OR4C6_HUMAN	tr|A0A8C9APU5|A0A8C9APU5_PROSS, tr|A0A8C9AE87|A0A8C9AE87_PROSS
OG0000013	sp|A6NMZ5|O4C45_HUMAN	tr|A0A8C9AEE6|A0A8C9AEE6_PROSS
OG0000013	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A8C9AH27|A0A8C9AH27_PROSS
OG0000013	sp|Q8NH49|OR4X1_HUMAN	tr|A0A8C9AEW5|A0A8C9AEW5_PROSS
OG0000013	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A8C8YRV2|A0A8C8YRV2_PROSS, tr|A0A8C9AUX0|A0A8C9AUX0_PROSS
OG0000013	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A8C9AM44|A0A8C9AM44_PROSS, tr|A0A8C8YM18|A0A8C8YM18_PROSS
OG0000013	sp|Q8NH73|OR4S2_HUMAN	tr|A0A8C9AIK6|A0A8C9AIK6_PROSS, tr|A0A8C9ALV9|A0A8C9ALV9_PROSS
OG0000015	sp|Q9Y5G4|PCDG9_HUMAN	tr|A0A8C9A9P6|A0A8C9A9P6_PROSS
OG0000015	sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN	tr|A0A8C9DSI4|A0A8C9DSI4_PROSS
OG0000015	sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN	tr|A0A8C9A9M7|A0A8C9A9M7_PROSS
OG0000017	sp|Q9H9J4|UBP42_HUMAN	tr|A0A8C8YKW4|A0A8C8YKW4_PROSS
OG0000017	sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN	tr|A0A8C8YQR3|A0A8C8YQR3_PROSS
OG0000018	sp|Q8N769|CN178_HUMAN	tr|A0A8C8Z2W7|A0A8C8Z2W7_PROSS, tr|A0A8C9DQJ6|A0A8C9DQJ6_PROSS, tr|A0A8C8YNW3|A0A8C8YNW3_PROSS, tr|A0A8C9DRU0|A0A8C9DRU0_PROSS, tr|A0A8C8YZY3|A0A8C8YZY3_PROSS, tr|A0A8C8ZRR2|A0A8C8ZRR2_PROSS, tr|A0A8C9A6M5|A0A8C9A6M5_PROSS, tr|A0A8C9DEM3|A0A8C9DEM3_PROSS, tr|A0A8C9DJ44|A0A8C9DJ44_PROSS, tr|A0A8C9DDJ3|A0A8C9DDJ3_PROSS, tr|A0A8C8ZYW8|A0A8C8ZYW8_PROSS, tr|A0A8C9AC10|A0A8C9AC10_PROSS, tr|A0A8C8Z810|A0A8C8Z810_PROSS, tr|A0A8C8ZKG5|A0A8C8ZKG5_PROSS, tr|A0A8C8ZA33|A0A8C8ZA33_PROSS, tr|A0A8C9DU73|A0A8C9DU73_PROSS, tr|A0A8C8YRE5|A0A8C8YRE5_PROSS, tr|A0A8C9AEB3|A0A8C9AEB3_PROSS, tr|A0A8C8YUU1|A0A8C8YUU1_PROSS, tr|A0A8C8ZGE3|A0A8C8ZGE3_PROSS, tr|A0A8C8ZD27|A0A8C8ZD27_PROSS, tr|A0A8C9A7F2|A0A8C9A7F2_PROSS
OG0000020	sp|Q8NGP3|OR5M9_HUMAN	tr|A0A8C8ZHB2|A0A8C8ZHB2_PROSS
OG0000020	sp|Q8NGP4|OR5M3_HUMAN	tr|A0A8C8ZD40|A0A8C8ZD40_PROSS
OG0000020	sp|Q8NGP6|OR5M8_HUMAN	tr|A0A8C8ZDW1|A0A8C8ZDW1_PROSS, tr|A0A8C8Z7N1|A0A8C8Z7N1_PROSS
OG0000020	sp|Q8NH85|OR5R1_HUMAN	tr|A0A8C8Z9D3|A0A8C8Z9D3_PROSS
OG0000020	sp|P0C617|O5AL1_HUMAN	tr|A0A8C8Z5G3|A0A8C8Z5G3_PROSS, tr|A0A8C8ZHC4|A0A8C8ZHC4_PROSS
OG0000020	sp|Q8NH18|OR5J2_HUMAN	tr|A0A8C8YPN7|A0A8C8YPN7_PROSS, tr|A0A8C8ZE17|A0A8C8ZE17_PROSS, tr|A0A8C9DJ65|A0A8C9DJ65_PROSS, tr|A0A8C8Z271|A0A8C8Z271_PROSS, tr|A0A8C8Z8E4|A0A8C8Z8E4_PROSS, tr|A0A8C9DJG7|A0A8C9DJG7_PROSS
OG0000023	sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN	tr|A0A8C8YMC2|A0A8C8YMC2_PROSS
OG0000023	sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN	tr|A0A8C8Y8P1|A0A8C8Y8P1_PROSS
OG0000023	sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN	tr|A0A8C9DCW4|A0A8C9DCW4_PROSS
OG0000025	sp|Q7Z794|K2C1B_HUMAN	tr|A0A8C8YTC2|A0A8C8YTC2_PROSS
OG0000025	sp|P19013|K2C4_HUMAN	tr|A0A8C9DM22|A0A8C9DM22_PROSS
OG0000025	sp|P08729|K2C7_HUMAN	tr|A0A8C8YNR3|A0A8C8YNR3_PROSS, tr|A0A8C8YKJ5|A0A8C8YKJ5_PROSS, tr|A0A8C8YTX8|A0A8C8YTX8_PROSS, tr|A0A8C9DF91|A0A8C9DF91_PROSS, tr|A0A8C8ZMQ2|A0A8C8ZMQ2_PROSS
OG0000026	sp|A2A368|MAGBG_HUMAN	tr|A0A8C8YW13|A0A8C8YW13_PROSS, tr|A0A8C8ZWD8|A0A8C8ZWD8_PROSS, tr|A0A8C8ZHG6|A0A8C8ZHG6_PROSS, tr|A0A8C8YVX6|A0A8C8YVX6_PROSS, tr|A0A8C8YMB8|A0A8C8YMB8_PROSS, tr|A0A8C8ZTG3|A0A8C8ZTG3_PROSS, tr|A0A8C9DSP7|A0A8C9DSP7_PROSS, tr|A0A8C8YY94|A0A8C8YY94_PROSS, tr|A0A8C9A036|A0A8C9A036_PROSS, tr|A0A8C9A5X4|A0A8C9A5X4_PROSS, tr|A0A8C9DEW6|A0A8C9DEW6_PROSS, tr|A0A8C9A732|A0A8C9A732_PROSS, tr|A0A8C9A961|A0A8C9A961_PROSS, tr|A0A8C8Z896|A0A8C8Z896_PROSS, tr|A0A8C9DIC1|A0A8C9DIC1_PROSS, tr|A0A8C8YZX6|A0A8C8YZX6_PROSS, tr|A0A8C8Z8S9|A0A8C8Z8S9_PROSS, tr|A0A8C9DE36|A0A8C9DE36_PROSS, tr|A0A8C9A952|A0A8C9A952_PROSS, tr|A0A8C8YG13|A0A8C8YG13_PROSS
OG0000027	tr|A0A087WW49|A0A087WW49_HUMAN, tr|A0A075B7B6|A0A075B7B6_HUMAN, sp|A0A075B6R2|HV404_HUMAN, sp|A0A0C4DH34|HV428_HUMAN, sp|P0DP08|HVD82_HUMAN, sp|P0DP06|HVD34_HUMAN, tr|A0A0J9YWU9|A0A0J9YWU9_HUMAN, sp|P0DP07|HV431_HUMAN, sp|A0A087WSY4|HV432_HUMAN, sp|A0A0C4DH41|HV461_HUMAN, sp|P06331|HV434_HUMAN, sp|P01825|HV459_HUMAN, sp|P01824|HV439_HUMAN, sp|A0A0B4J1U7|HV601_HUMAN, sp|A0A0C4DH43|HV70D_HUMAN, sp|P01814|HV270_HUMAN, sp|P01817|HV205_HUMAN, tr|A0A0B4J2B6|A0A0B4J2B6_HUMAN, sp|A0A0B4J1V2|HV226_HUMAN	tr|A0A8C9AHN6|A0A8C9AHN6_PROSS
OG0000029	sp|Q8NGS7|O13C8_HUMAN	tr|A0A8C8YNN5|A0A8C8YNN5_PROSS
OG0000029	sp|Q8NGV5|O13D1_HUMAN	tr|A0A8C8YK39|A0A8C8YK39_PROSS, tr|A0A8C8YJC2|A0A8C8YJC2_PROSS, tr|A0A8C9DE68|A0A8C9DE68_PROSS, tr|A0A8C8YTB0|A0A8C8YTB0_PROSS, tr|A0A8C9A4H2|A0A8C9A4H2_PROSS, tr|A0A8C8YHS6|A0A8C8YHS6_PROSS, tr|A0A8C8YNL4|A0A8C8YNL4_PROSS, tr|A0A8C8YQD7|A0A8C8YQD7_PROSS
OG0000029	sp|Q9NQN1|OR2S1_HUMAN	tr|A0A8C8YPG7|A0A8C8YPG7_PROSS
OG0000029	sp|P0DN81|O13C7_HUMAN	tr|A0A8C8YJU5|A0A8C8YJU5_PROSS, tr|A0A8C8YSP2|A0A8C8YSP2_PROSS
OG0000030	sp|P54756|EPHA5_HUMAN	tr|A0A8C9A1I1|A0A8C9A1I1_PROSS
OG0000030	sp|P29320|EPHA3_HUMAN	tr|A0A8C9AA71|A0A8C9AA71_PROSS
OG0000030	sp|Q9UF33|EPHA6_HUMAN	tr|A0A8C8YF91|A0A8C8YF91_PROSS
OG0000030	sp|P29322|EPHA8_HUMAN	tr|A0A8C8YUT9|A0A8C8YUT9_PROSS
OG0000030	sp|Q15375|EPHA7_HUMAN	tr|A0A8C9A470|A0A8C9A470_PROSS
OG0000030	sp|P54764|EPHA4_HUMAN	tr|A0A8C9DV91|A0A8C9DV91_PROSS
OG0000030	sp|P54753|EPHB3_HUMAN	tr|A0A8C9A4V8|A0A8C9A4V8_PROSS
OG0000030	sp|P54762|EPHB1_HUMAN	tr|A0A8C9B2M7|A0A8C9B2M7_PROSS
OG0000030	sp|P29323|EPHB2_HUMAN	tr|A0A8C9DFP2|A0A8C9DFP2_PROSS
OG0000030	sp|P54760|EPHB4_HUMAN	tr|A0A8C9DR61|A0A8C9DR61_PROSS
OG0000033	sp|Q8N257|H2B3B_HUMAN	tr|A0A8C8ZCY9|A0A8C8ZCY9_PROSS, tr|A0A8C8ZLA5|A0A8C8ZLA5_PROSS, tr|A0A8C8ZSJ7|A0A8C8ZSJ7_PROSS, tr|A0A8C8YWS9|A0A8C8YWS9_PROSS, tr|A0A8C8YW79|A0A8C8YW79_PROSS, tr|A0A8C8ZP55|A0A8C8ZP55_PROSS, tr|A0A8C8YRD7|A0A8C8YRD7_PROSS, tr|A0A8C8YWM2|A0A8C8YWM2_PROSS, tr|A0A8C9DF03|A0A8C9DF03_PROSS, tr|A0A8C8ZSV8|A0A8C8ZSV8_PROSS, tr|A0A8C8ZNM8|A0A8C8ZNM8_PROSS, tr|A0A8C8ZPS7|A0A8C8ZPS7_PROSS, tr|A0A8C8ZSK5|A0A8C8ZSK5_PROSS, tr|A0A8C8YKU0|A0A8C8YKU0_PROSS, tr|A0A8C8YP38|A0A8C8YP38_PROSS, tr|A0A8C9A396|A0A8C9A396_PROSS, tr|A0A8C8ZEY7|A0A8C8ZEY7_PROSS, tr|A0A8C9DG10|A0A8C9DG10_PROSS, tr|A0A8C8YS81|A0A8C8YS81_PROSS
OG0000036	sp|P51523|ZNF84_HUMAN	tr|A0A8C8ZS32|A0A8C8ZS32_PROSS
OG0000036	sp|Q14929|ZN169_HUMAN	tr|A0A8C8Z2K6|A0A8C8Z2K6_PROSS
OG0000036	sp|Q52M93|Z585B_HUMAN	tr|A0A8C9AVE5|A0A8C9AVE5_PROSS, tr|A0A8C8YI34|A0A8C8YI34_PROSS, tr|A0A8C8YMK3|A0A8C8YMK3_PROSS, tr|A0A8C8YEE2|A0A8C8YEE2_PROSS
OG0000036	sp|Q5TYW1|ZN658_HUMAN, sp|Q4V348|Z658B_HUMAN	tr|A0A8C8Z0E6|A0A8C8Z0E6_PROSS, tr|A0A8C9DK02|A0A8C9DK02_PROSS, tr|A0A8C8YT25|A0A8C8YT25_PROSS, tr|A0A8C9ARG8|A0A8C9ARG8_PROSS, tr|A0A8C9DE46|A0A8C9DE46_PROSS, tr|A0A8C9ADM4|A0A8C9ADM4_PROSS, tr|A0A8C8ZUP6|A0A8C8ZUP6_PROSS
OG0000037	sp|Q15973|ZN124_HUMAN	tr|A0A8C9AAB4|A0A8C9AAB4_PROSS, tr|A0A8C8ZR60|A0A8C8ZR60_PROSS, tr|A0A8C9DJ04|A0A8C9DJ04_PROSS, tr|A0A8C9A468|A0A8C9A468_PROSS, tr|A0A8C8ZR08|A0A8C8ZR08_PROSS, tr|A0A8C8ZHK4|A0A8C8ZHK4_PROSS, tr|A0A8C9AEM4|A0A8C9AEM4_PROSS, tr|A0A8C9ACL1|A0A8C9ACL1_PROSS, tr|A0A8C8ZPZ4|A0A8C8ZPZ4_PROSS, tr|A0A8C8ZHG5|A0A8C8ZHG5_PROSS, tr|A0A8C9A8M3|A0A8C9A8M3_PROSS, tr|A0A8C8ZHI4|A0A8C8ZHI4_PROSS, tr|A0A8C8ZXB0|A0A8C8ZXB0_PROSS, tr|A0A8C8YIQ0|A0A8C8YIQ0_PROSS, tr|A0A8C9DEF0|A0A8C9DEF0_PROSS, tr|A0A8C8YYM3|A0A8C8YYM3_PROSS, tr|A0A8C9A677|A0A8C9A677_PROSS, tr|A0A8C8Z5X2|A0A8C8Z5X2_PROSS
OG0000039	sp|Q13634|CAD18_HUMAN	tr|A0A8C9DN07|A0A8C9DN07_PROSS
OG0000039	sp|Q9HBT6|CAD20_HUMAN	tr|A0A8C9AIZ6|A0A8C9AIZ6_PROSS
OG0000039	sp|Q9ULB5|CADH7_HUMAN	tr|A0A8C9DS36|A0A8C9DS36_PROSS
OG0000039	sp|P55286|CADH8_HUMAN	tr|A0A8C8ZLW9|A0A8C8ZLW9_PROSS
OG0000039	sp|P55287|CAD11_HUMAN	tr|A0A8C9DM17|A0A8C9DM17_PROSS
OG0000039	sp|P55289|CAD12_HUMAN	tr|A0A8C8ZPF2|A0A8C8ZPF2_PROSS
