Orthogroup	Homo_sapiens	Cavia_porcellus
OG0000003	sp|Q8NH40|OR6S1_HUMAN	tr|H0VKA2|H0VKA2_CAVPO, tr|H0W336|H0W336_CAVPO, tr|A0A286XB21|A0A286XB21_CAVPO, tr|A0A286Y547|A0A286Y547_CAVPO, tr|A0A286Y585|A0A286Y585_CAVPO, tr|A0A286XK07|A0A286XK07_CAVPO, tr|H0W613|H0W613_CAVPO, tr|A0A286XVC9|A0A286XVC9_CAVPO, tr|A0A286XGL7|A0A286XGL7_CAVPO, tr|A0A286Y5Q4|A0A286Y5Q4_CAVPO, tr|A0A286XMG2|A0A286XMG2_CAVPO, tr|A0A286X7Y7|A0A286X7Y7_CAVPO, tr|H0W3W4|H0W3W4_CAVPO, tr|A0A286XAX0|A0A286XAX0_CAVPO, tr|H0VYG2|H0VYG2_CAVPO, tr|H0V8K6|H0V8K6_CAVPO, tr|A0A286Y201|A0A286Y201_CAVPO, tr|A0A286XMV4|A0A286XMV4_CAVPO, tr|H0W242|H0W242_CAVPO, tr|A0A286XYX8|A0A286XYX8_CAVPO, tr|A0A286XE36|A0A286XE36_CAVPO, tr|A0A286XP25|A0A286XP25_CAVPO, tr|H0VBY9|H0VBY9_CAVPO, tr|H0W8V7|H0W8V7_CAVPO, tr|H0W8F6|H0W8F6_CAVPO, tr|H0W926|H0W926_CAVPO, tr|A0A286Y3W2|A0A286Y3W2_CAVPO, tr|A0A286XRD9|A0A286XRD9_CAVPO, tr|H0VAL3|H0VAL3_CAVPO, tr|A0A286XR23|A0A286XR23_CAVPO, tr|A0A286XRW8|A0A286XRW8_CAVPO, tr|H0VX93|H0VX93_CAVPO, tr|A0A286Y3C3|A0A286Y3C3_CAVPO, tr|A0A286XDI7|A0A286XDI7_CAVPO, tr|A0A286X7A5|A0A286X7A5_CAVPO, tr|A0A286XEI2|A0A286XEI2_CAVPO, tr|H0W3T5|H0W3T5_CAVPO, tr|A0A286XSE2|A0A286XSE2_CAVPO, tr|H0VZH9|H0VZH9_CAVPO, tr|A0A286Y1P7|A0A286Y1P7_CAVPO, tr|A0A286XJG0|A0A286XJG0_CAVPO, tr|A0A286XUC1|A0A286XUC1_CAVPO, tr|A0A286X9W8|A0A286X9W8_CAVPO, tr|A0A286Y4X4|A0A286Y4X4_CAVPO
OG0000005	sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|P04433|KV311_HUMAN, sp|P06315|KV502_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN	tr|H0VZM4|H0VZM4_CAVPO
OG0000006	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A286XF60|A0A286XF60_CAVPO, tr|H0VRP3|H0VRP3_CAVPO, tr|A0A286XQK3|A0A286XQK3_CAVPO, tr|H0VW86|H0VW86_CAVPO, tr|H0WE28|H0WE28_CAVPO, tr|H0W6U7|H0W6U7_CAVPO, tr|H0W4C1|H0W4C1_CAVPO, tr|A0A286XNV5|A0A286XNV5_CAVPO, tr|A0A286Y670|A0A286Y670_CAVPO, tr|H0V717|H0V717_CAVPO, tr|A0A286XHY4|A0A286XHY4_CAVPO, tr|H0W7Z9|H0W7Z9_CAVPO, tr|H0VTY0|H0VTY0_CAVPO, tr|H0VV22|H0VV22_CAVPO, tr|H0V8H6|H0V8H6_CAVPO, tr|H0WDV8|H0WDV8_CAVPO, tr|H0VN39|H0VN39_CAVPO, tr|H0W4W2|H0W4W2_CAVPO, tr|H0W0G7|H0W0G7_CAVPO, tr|H0W7Z6|H0W7Z6_CAVPO, tr|H0VV54|H0VV54_CAVPO, tr|H0W9C0|H0W9C0_CAVPO, tr|A0A286Y5V1|A0A286Y5V1_CAVPO, tr|A0A286XWG5|A0A286XWG5_CAVPO, tr|A0A286XGH3|A0A286XGH3_CAVPO, tr|H0VZX3|H0VZX3_CAVPO, tr|A0A286XH14|A0A286XH14_CAVPO, tr|H0W5V5|H0W5V5_CAVPO, tr|A0A286Y129|A0A286Y129_CAVPO, tr|A0A286XUJ5|A0A286XUJ5_CAVPO, tr|A0A286XLD0|A0A286XLD0_CAVPO, tr|A0A286XJV2|A0A286XJV2_CAVPO, tr|A0A286XRK2|A0A286XRK2_CAVPO, tr|A0A286XBB7|A0A286XBB7_CAVPO, tr|A0A286XHG1|A0A286XHG1_CAVPO, tr|A0A286XIR4|A0A286XIR4_CAVPO
OG0000008	sp|Q76KX8|ZN534_HUMAN, sp|Q6PDB4|ZN880_HUMAN, sp|Q3MIS6|ZN528_HUMAN, sp|Q8N9Z0|ZN610_HUMAN, sp|Q8WV37|ZN480_HUMAN, sp|Q5HY98|ZN766_HUMAN	tr|A0A286XEW0|A0A286XEW0_CAVPO
OG0000008	sp|Q9HCG1|ZN160_HUMAN, sp|Q96SE7|ZN347_HUMAN, sp|Q09FC8|ZN415_HUMAN, sp|P51522|ZNF83_HUMAN, sp|Q6ZN19|ZN841_HUMAN, sp|Q6ZNA1|ZN836_HUMAN, sp|Q08AN1|ZN616_HUMAN, sp|Q86XU0|ZN677_HUMAN, sp|Q9H7R5|ZN665_HUMAN, sp|A2RRD8|ZN320_HUMAN, sp|Q8N782|ZN525_HUMAN, sp|Q9NV72|ZN701_HUMAN, sp|P0CJ79|ZN888_HUMAN, sp|Q5VIY5|ZN468_HUMAN, sp|P17035|ZNF28_HUMAN, sp|Q7L2R6|ZN765_HUMAN, sp|Q86XN6|ZN761_HUMAN, sp|Q6ZN06|ZN813_HUMAN, sp|Q96IR2|ZN845_HUMAN, sp|A6NHJ4|ZN860_HUMAN, sp|Q0VGE8|ZN816_HUMAN, tr|A0A7P0TAN4|A0A7P0TAN4_HUMAN, sp|Q96N58|ZN578_HUMAN, sp|Q6ZNG1|ZN600_HUMAN, sp|Q8N8H1|ZN321_HUMAN, sp|Q8N4W9|ZN808_HUMAN, sp|Q8N823|ZN611_HUMAN	tr|A0A286XI66|A0A286XI66_CAVPO
OG0000009	sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A589|TVB43_HUMAN, sp|A0A539|TVB42_HUMAN, sp|A0A577|TVB41_HUMAN, sp|A0A576|TVB31_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A5A2|TVB58_HUMAN	tr|A0A286XSQ7|A0A286XSQ7_CAVPO
OG0000010	sp|Q969W8|ZN566_HUMAN	tr|A0A286XJV5|A0A286XJV5_CAVPO
OG0000010	sp|Q96NG8|ZN582_HUMAN	tr|A0A286XD72|A0A286XD72_CAVPO
OG0000010	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A286XJT0|A0A286XJT0_CAVPO
OG0000010	sp|Q8N141|ZFP82_HUMAN, sp|Q9Y2G7|ZFP30_HUMAN	tr|H0VB87|H0VB87_CAVPO
OG0000010	sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN	tr|A0A286XI55|A0A286XI55_CAVPO
OG0000011	sp|Q96LZ2|MAGBA_HUMAN	tr|H0VVU4|H0VVU4_CAVPO
OG0000011	sp|Q96M61|MAGBI_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|Q9BZ81|MAGB5_HUMAN, sp|O15480|MAGB3_HUMAN, sp|O15481|MAGB4_HUMAN, sp|P43366|MAGB1_HUMAN, sp|O15479|MAGB2_HUMAN, sp|Q9H213|MAGH1_HUMAN, sp|Q96MG7|NSE3_HUMAN, sp|Q9HAY2|MAGF1_HUMAN, sp|Q99608|NECD_HUMAN, tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|Q8N7X4|MAGB6_HUMAN, sp|A2A368|MAGBG_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|O60732|MAGC1_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43363|MAGAA_HUMAN, sp|A6NCF6|MA13P_HUMAN	tr|A0A286XHW6|A0A286XHW6_CAVPO
OG0000012	sp|Q3KQV3|ZN792_HUMAN, sp|Q8TAW3|ZN671_HUMAN	tr|A0A286XF63|A0A286XF63_CAVPO
OG0000012	sp|Q68DY9|ZN772_HUMAN	tr|A0A286Y012|A0A286Y012_CAVPO
OG0000012	sp|Q6P9A3|ZN549_HUMAN, sp|O43361|ZN749_HUMAN, sp|P17021|ZNF17_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q6PK81|ZN773_HUMAN, sp|Q96HQ0|ZN419_HUMAN, sp|Q8IVC4|ZN584_HUMAN	tr|A0A286XRK6|A0A286XRK6_CAVPO
OG0000013	sp|Q08379|GOGA2_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN	tr|H0UY84|H0UY84_CAVPO
OG0000014	sp|Q9H7L2|KI3X1_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43630|KI3L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14954|KI2S1_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|P43631|KI2S2_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN	tr|H0VA20|H0VA20_CAVPO
OG0000015	sp|Q2M2I5|K1C24_HUMAN	tr|A0A286XER5|A0A286XER5_CAVPO
OG0000015	sp|Q7Z3Y9|K1C26_HUMAN	tr|A0A286XTF7|A0A286XTF7_CAVPO
OG0000015	sp|Q7Z3Y7|K1C28_HUMAN	tr|A0A286XT37|A0A286XT37_CAVPO
OG0000015	sp|Q7Z3Y8|K1C27_HUMAN, sp|Q7Z3Z0|K1C25_HUMAN	tr|H0UU24|H0UU24_CAVPO
OG0000015	sp|P13645|K1C10_HUMAN	tr|A0A286XKP4|A0A286XKP4_CAVPO, tr|A0A286XNZ7|A0A286XNZ7_CAVPO
OG0000015	sp|Q99456|K1C12_HUMAN	tr|A0A286XDY9|A0A286XDY9_CAVPO
OG0000015	sp|Q04695|K1C17_HUMAN, sp|P08779|K1C16_HUMAN, sp|P02533|K1C14_HUMAN	tr|A0A286XM26|A0A286XM26_CAVPO
OG0000015	sp|P35900|K1C20_HUMAN, sp|P08727|K1C19_HUMAN	tr|A0A286XP79|A0A286XP79_CAVPO
OG0000015	sp|P19012|K1C15_HUMAN, sp|P13646|K1C13_HUMAN	tr|A0A286Y2E4|A0A286Y2E4_CAVPO
OG0000016	sp|P78395|PRAME_HUMAN, sp|A3QJZ7|PRA27_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|H0Y7S4|PRA26_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|O60810|PRAM4_HUMAN, sp|O60813|PRA11_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VT98|PRA20_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|Q5VXH5|PRAM7_HUMAN, sp|O95522|PRA12_HUMAN, sp|Q5SWL7|PRA14_HUMAN, sp|Q5VWM6|PRA13_HUMAN, sp|O95521|PRAM1_HUMAN, sp|O60811|PRAM2_HUMAN, sp|A3QJZ6|PRA22_HUMAN, sp|Q5VWM3|PRA18_HUMAN, sp|Q5SWL8|PRA19_HUMAN, sp|Q5VTA0|PRA17_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN, sp|O60809|PRA10_HUMAN	tr|A0A286XLP9|A0A286XLP9_CAVPO
OG0000018	sp|P41743|KPCI_HUMAN	tr|H0VSU5|H0VSU5_CAVPO
OG0000018	sp|Q05513|KPCZ_HUMAN	tr|H0W3Y7|H0W3Y7_CAVPO, tr|H0VXT9|H0VXT9_CAVPO, tr|H0VWH7|H0VWH7_CAVPO, tr|H0VYG8|H0VYG8_CAVPO, tr|H0WD09|H0WD09_CAVPO, tr|A0A286XRH0|A0A286XRH0_CAVPO, tr|A0A286X9M8|A0A286X9M8_CAVPO, tr|H0W5D4|H0W5D4_CAVPO, tr|A0A286XRI4|A0A286XRI4_CAVPO, tr|A0A286XBH8|A0A286XBH8_CAVPO, tr|H0W1P6|H0W1P6_CAVPO, tr|H0W9K9|H0W9K9_CAVPO, tr|H0VVE5|H0VVE5_CAVPO, tr|H0VUM6|H0VUM6_CAVPO, tr|A0A286Y3D2|A0A286Y3D2_CAVPO, tr|H0W0B4|H0W0B4_CAVPO, tr|A0A286XXA0|A0A286XXA0_CAVPO, tr|A0A286XSL5|A0A286XSL5_CAVPO, tr|A0A286XJE7|A0A286XJE7_CAVPO, tr|A0A286Y4Q0|A0A286Y4Q0_CAVPO, tr|H0VPP7|H0VPP7_CAVPO
OG0000019	sp|Q9Y5H4|PCDG1_HUMAN	tr|H0W5Z4|H0W5Z4_CAVPO
OG0000019	sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN	tr|A0A286XGZ5|A0A286XGZ5_CAVPO
OG0000021	sp|A6NLX3|SPDE4_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN	tr|H0WBA3|H0WBA3_CAVPO
OG0000022	sp|A0A075B6N3|TVBX1_HUMAN	tr|A0A286XKW1|A0A286XKW1_CAVPO
OG0000022	sp|A0A5B6|TVB28_HUMAN, sp|A0A0K0K1B3|TVB30_HUMAN, sp|A0A075B6N4|TVBY1_HUMAN, sp|P0DTU4|TRBR2_HUMAN, sp|P01850|TRBC1_HUMAN, sp|A0A5B9|TRBC2_HUMAN, sp|A0A0K0K1C4|TVB27_HUMAN, sp|A0A1B0GX49|TVB64_HUMAN, sp|P0DPF7|TVB63_HUMAN, sp|A0A0J9YXY3|TVB62_HUMAN, sp|A0A0K0K1D8|TVB61_HUMAN, sp|A0A0A0MS04|TVB67_HUMAN, sp|A0A0K0K1A5|TVB65_HUMAN, sp|A0A0A6YYG2|TVB66_HUMAN, sp|A0A0J9YX75|TVB69_HUMAN, sp|A0A0A6YYG3|TVB68_HUMAN, sp|A0A0K0K1G8|TVBJ2_HUMAN, sp|A0A0K0K1G6|TVBJ3_HUMAN, sp|A0A0K0K1A3|TVBJ1_HUMAN	tr|A0A286XU01|A0A286XU01_CAVPO
OG0000023	sp|O60384|ZN861_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|Q96GE5|ZN799_HUMAN	tr|A0A286XPQ7|A0A286XPQ7_CAVPO
OG0000026	sp|P29320|EPHA3_HUMAN	tr|H0VYB1|H0VYB1_CAVPO
OG0000026	sp|P29322|EPHA8_HUMAN	tr|H0W7R7|H0W7R7_CAVPO
OG0000026	sp|Q5JZY3|EPHAA_HUMAN, sp|Q15375|EPHA7_HUMAN	tr|H0V191|H0V191_CAVPO
OG0000026	sp|P54760|EPHB4_HUMAN	tr|A0A286XZH1|A0A286XZH1_CAVPO
OG0000026	sp|P54753|EPHB3_HUMAN	tr|H0UV56|H0UV56_CAVPO
OG0000026	sp|P54762|EPHB1_HUMAN	tr|H0UXK4|H0UXK4_CAVPO
OG0000026	sp|P29323|EPHB2_HUMAN	tr|H0VHU4|H0VHU4_CAVPO
OG0000026	sp|Q9UF33|EPHA6_HUMAN	tr|H0VG16|H0VG16_CAVPO, tr|H0V1N9|H0V1N9_CAVPO
OG0000026	sp|P54764|EPHA4_HUMAN	tr|H0VIB1|H0VIB1_CAVPO
