Orthogroup	Homo_sapiens	Mesocricetus_auratus
OG0000005	sp|P0C646|O52Z1_HUMAN	tr|A0A1U7Q9V9|A0A1U7Q9V9_MESAU
OG0000005	sp|Q8NGK2|O52B4_HUMAN	tr|A0A1U8C815|A0A1U8C815_MESAU, tr|A0A1U7QVQ4|A0A1U7QVQ4_MESAU
OG0000005	sp|Q96RD2|O52B2_HUMAN	tr|A0A1U7QWQ8|A0A1U7QWQ8_MESAU, tr|A0A1U7R796|A0A1U7R796_MESAU
OG0000005	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A1U7R6Z0|A0A1U7R6Z0_MESAU, tr|A0A1U7QYT9|A0A1U7QYT9_MESAU, tr|A0A1U7R6Y1|A0A1U7R6Y1_MESAU
OG0000005	sp|Q8NH60|O52J3_HUMAN	tr|A0A1U7QKL0|A0A1U7QKL0_MESAU
OG0000005	sp|Q8NH55|O52E5_HUMAN	tr|A0A1U7R7A1|A0A1U7R7A1_MESAU, tr|A0A1U8CQG6|A0A1U8CQG6_MESAU
OG0000005	sp|Q8NGJ3|O52E1_HUMAN	tr|A0A1U7QT67|A0A1U7QT67_MESAU
OG0000005	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A3Q0CWS2|A0A3Q0CWS2_MESAU, tr|A0A1U7QHL6|A0A1U7QHL6_MESAU
OG0000005	sp|Q9H346|O52D1_HUMAN	tr|A0A3Q0CFU6|A0A3Q0CFU6_MESAU, tr|A0A3Q0CAS9|A0A3Q0CAS9_MESAU
OG0000007	sp|P12018|VPREB_HUMAN	tr|A0A1U8C3W7|A0A1U8C3W7_MESAU
OG0000007	sp|A0A087WSX0|LV545_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|Q9UKI3|VPRE3_HUMAN, sp|Q99603|TRGV9_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|P01709|LV208_HUMAN, sp|P01706|LV211_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|P01703|LV140_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01701|LV151_HUMAN, sp|P01721|LV657_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P01715|LV301_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|P01717|LV325_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|A0A075B6I0|LV861_HUMAN	tr|A0A1U8C3U1|A0A1U8C3U1_MESAU
OG0000008	sp|Q7Z2F6|KRBX5_HUMAN, sp|Q14586|ZN267_HUMAN	tr|A0A1U7QND0|A0A1U7QND0_MESAU, tr|A0A1U7Q671|A0A1U7Q671_MESAU, tr|A0A1U7Q7W9|A0A1U7Q7W9_MESAU, tr|A0A3Q0DF11|A0A3Q0DF11_MESAU, tr|A0A3Q0DGW0|A0A3Q0DGW0_MESAU, tr|A0A3Q0DEU6|A0A3Q0DEU6_MESAU, tr|A0A3Q0DE65|A0A3Q0DE65_MESAU, tr|A0A3Q0DFN2|A0A3Q0DFN2_MESAU, tr|A0A1U8CTI3|A0A1U8CTI3_MESAU, tr|A0A1U8CTD9|A0A1U8CTD9_MESAU, tr|A0A3Q0DFQ3|A0A3Q0DFQ3_MESAU, tr|A0A1U8CTG5|A0A1U8CTG5_MESAU, tr|A0A1U8CUJ9|A0A1U8CUJ9_MESAU, tr|A0A3Q0DEV0|A0A3Q0DEV0_MESAU, tr|A0A1U8CTF2|A0A1U8CTF2_MESAU, tr|A0A3Q0DER9|A0A3Q0DER9_MESAU, tr|A0A1U8C9Z6|A0A1U8C9Z6_MESAU, tr|A0A3Q0CED5|A0A3Q0CED5_MESAU, tr|A0A3Q0CF99|A0A3Q0CF99_MESAU, tr|A0A3Q0DG03|A0A3Q0DG03_MESAU, tr|A0A1U8C5X2|A0A1U8C5X2_MESAU, tr|A0A1U7QQB6|A0A1U7QQB6_MESAU, tr|A0A3Q0D5B9|A0A3Q0D5B9_MESAU, tr|A0A1U8C5W9|A0A1U8C5W9_MESAU, tr|A0A1U8C8V6|A0A1U8C8V6_MESAU, tr|A0A1U8C900|A0A1U8C900_MESAU, tr|A0A1U8CYG9|A0A1U8CYG9_MESAU, tr|A0A3Q0CDC6|A0A3Q0CDC6_MESAU, tr|A0A3Q0D5A2|A0A3Q0D5A2_MESAU, tr|A0A3Q0CDL4|A0A3Q0CDL4_MESAU, tr|A0A1U7R1U4|A0A1U7R1U4_MESAU, tr|A0A1U8CZR4|A0A1U8CZR4_MESAU, tr|A0A1U8CVC9|A0A1U8CVC9_MESAU, tr|A0A1U8CRJ3|A0A1U8CRJ3_MESAU, tr|A0A3Q0D8A7|A0A3Q0D8A7_MESAU, tr|A0A3Q0D991|A0A3Q0D991_MESAU, tr|A0A3Q0D8U5|A0A3Q0D8U5_MESAU, tr|A0A3Q0CFJ8|A0A3Q0CFJ8_MESAU, tr|A0A3Q0CDZ9|A0A3Q0CDZ9_MESAU, tr|A0A1U8CQL2|A0A1U8CQL2_MESAU
OG0000010	sp|Q9H343|O51I1_HUMAN	tr|A0A1U7RHB5|A0A1U7RHB5_MESAU
OG0000010	sp|Q9H344|O51I2_HUMAN	tr|A0A1U7R6X7|A0A1U7R6X7_MESAU
OG0000010	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A1U7QKG7|A0A1U7QKG7_MESAU
OG0000010	sp|Q8NH59|O51Q1_HUMAN	tr|A0A1U7QVT8|A0A1U7QVT8_MESAU, tr|A0A1U7QT32|A0A1U7QT32_MESAU, tr|A0A1U7R4F6|A0A1U7R4F6_MESAU
OG0000010	sp|Q8NGK0|O51G2_HUMAN	tr|A0A1U7QT19|A0A1U7QT19_MESAU
OG0000010	sp|Q8NGK1|O51G1_HUMAN	tr|A0A1U8BWU7|A0A1U8BWU7_MESAU
OG0000010	sp|Q8NH63|O51H1_HUMAN	tr|A0A1U7QKH6|A0A1U7QKH6_MESAU, tr|A0A1U7Q9V3|A0A1U7Q9V3_MESAU, tr|A0A1U7QHM6|A0A1U7QHM6_MESAU, tr|A0A1U7Q9T7|A0A1U7Q9T7_MESAU, tr|A0A1U7Q9U7|A0A1U7Q9U7_MESAU, tr|A0A1U7Q9U4|A0A1U7Q9U4_MESAU, tr|A0A1U7QKF7|A0A1U7QKF7_MESAU, tr|A0A1U7Q9X1|A0A1U7Q9X1_MESAU
OG0000010	sp|Q8NH61|O51F2_HUMAN	tr|A0A1U7QVR4|A0A1U7QVR4_MESAU
OG0000010	sp|A6NGY5|O51F1_HUMAN	tr|A0A1U8C7I5|A0A1U8C7I5_MESAU, tr|A0A1U7QVR8|A0A1U7QVR8_MESAU
OG0000010	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A1U7QVV7|A0A1U7QVV7_MESAU, tr|A0A1U7QT62|A0A1U7QT62_MESAU
OG0000016	sp|Q9HCX3|ZN304_HUMAN	tr|A0A1U8CLL9|A0A1U8CLL9_MESAU
OG0000016	sp|Q7Z340|ZN551_HUMAN	tr|A0A1U7RI43|A0A1U7RI43_MESAU
OG0000016	sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN	tr|A0A1U8CVT7|A0A1U8CVT7_MESAU
OG0000018	sp|Q08379|GOGA2_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN	tr|A0A3Q0CG89|A0A3Q0CG89_MESAU
OG0000019	sp|Q8NGH3|OR2D3_HUMAN	tr|A0A1U7QBX7|A0A1U7QBX7_MESAU
OG0000019	sp|Q9H210|OR2D2_HUMAN	tr|A0A1U7QND9|A0A1U7QND9_MESAU, tr|A0A1U7QKD7|A0A1U7QKD7_MESAU, tr|A0A1U7QNB8|A0A1U7QNB8_MESAU, tr|A0A1U7QBY3|A0A1U7QBY3_MESAU, tr|A0A1U8CHB9|A0A1U8CHB9_MESAU, tr|A0A1U8CK21|A0A1U8CK21_MESAU, tr|A0A1U7QQH4|A0A1U7QQH4_MESAU, tr|A0A1U7RBW6|A0A1U7RBW6_MESAU, tr|A0A1U7R1S5|A0A1U7R1S5_MESAU, tr|A0A1U7QQL3|A0A1U7QQL3_MESAU, tr|A0A1U7R1W6|A0A1U7R1W6_MESAU, tr|A0A1U7RC05|A0A1U7RC05_MESAU, tr|A0A1U7QYX9|A0A1U7QYX9_MESAU, tr|A0A1U7QQH9|A0A1U7QQH9_MESAU, tr|A0A1U7QYT8|A0A1U7QYT8_MESAU, tr|A0A1U7R9A1|A0A1U7R9A1_MESAU, tr|A0A1U7R1T0|A0A1U7R1T0_MESAU, tr|A0A1U7QYM8|A0A1U7QYM8_MESAU, tr|A0A1U7RBX0|A0A1U7RBX0_MESAU, tr|A0A1U7RKF5|A0A1U7RKF5_MESAU, tr|A0A1U7R860|A0A1U7R860_MESAU, tr|A0A1U8CIC4|A0A1U8CIC4_MESAU, tr|A0A1U7RAH2|A0A1U7RAH2_MESAU, tr|A0A1U7QXF7|A0A1U7QXF7_MESAU, tr|A0A1U7QP25|A0A1U7QP25_MESAU, tr|A0A1U7Q481|A0A1U7Q481_MESAU, tr|A0A1U7QFQ0|A0A1U7QFQ0_MESAU, tr|A0A1U7QVU8|A0A1U7QVU8_MESAU
OG0000022	sp|A0A0B4J275|TVA17_HUMAN	tr|A0A3Q0CB97|A0A3Q0CB97_MESAU
OG0000022	sp|A0A075B6T7|TVA6_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A0A6YYC5|TVA14_HUMAN, sp|A0A0B4J248|TVA11_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN	tr|A0A3Q0DFW1|A0A3Q0DFW1_MESAU
OG0000023	sp|Q8NGE5|O10A7_HUMAN	tr|A0A1U7QSE0|A0A1U7QSE0_MESAU
OG0000023	sp|Q96KK4|O10C1_HUMAN	tr|A0A1U7QUZ8|A0A1U7QUZ8_MESAU, tr|A0A1U7Q902|A0A1U7Q902_MESAU, tr|A0A1U7R1D0|A0A1U7R1D0_MESAU, tr|A0A1U7R6T3|A0A1U7R6T3_MESAU
OG0000023	sp|Q8NH19|O10AG_HUMAN	tr|A0A1U8C7I7|A0A1U8C7I7_MESAU, tr|A0A1U7QZH8|A0A1U7QZH8_MESAU, tr|A0A1U7QP20|A0A1U7QP20_MESAU, tr|A0A1U7QQ55|A0A1U7QQ55_MESAU, tr|A0A1U7R0E8|A0A1U7R0E8_MESAU, tr|A0A1U7QXP7|A0A1U7QXP7_MESAU, tr|A0A1U7R5E7|A0A1U7R5E7_MESAU, tr|A0A1U7Q7F6|A0A1U7Q7F6_MESAU, tr|A0A1U7Q5C3|A0A1U7Q5C3_MESAU, tr|A0A1U7QC97|A0A1U7QC97_MESAU, tr|A0A1U7Q6Y7|A0A1U7Q6Y7_MESAU, tr|A0A1U7Q6Y9|A0A1U7Q6Y9_MESAU, tr|A0A1U7QFL0|A0A1U7QFL0_MESAU, tr|A0A1U7Q382|A0A1U7Q382_MESAU, tr|A0A1U8CBJ9|A0A1U8CBJ9_MESAU, tr|A0A1U8C8V7|A0A1U8C8V7_MESAU, tr|A0A1U7QD26|A0A1U7QD26_MESAU, tr|A0A1U7QET0|A0A1U7QET0_MESAU, tr|A0A3Q0D6S1|A0A3Q0D6S1_MESAU
OG0000028	sp|Q9NQX6|ZN331_HUMAN	tr|A0A1U7QR00|A0A1U7QR00_MESAU
OG0000028	sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q8N141|ZFP82_HUMAN, sp|Q9Y2G7|ZFP30_HUMAN, sp|Q9HCL3|ZFP14_HUMAN	tr|A0A3Q0CE35|A0A3Q0CE35_MESAU
OG0000028	sp|Q6PG37|ZN790_HUMAN, sp|Q8TAF7|ZN461_HUMAN, sp|Q8N9K5|ZN565_HUMAN, sp|A8MQ14|ZN850_HUMAN, sp|P52738|ZN140_HUMAN, sp|Q969W8|ZN566_HUMAN, sp|Q96NG8|ZN582_HUMAN, sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN	tr|A0A3Q0CF36|A0A3Q0CF36_MESAU
OG0000032	sp|P05787|K2C8_HUMAN	tr|A0A1U7QH04|A0A1U7QH04_MESAU
