Orthogroup	Homo_sapiens	Erinaceus_europaeus
OG0000001	sp|Q6ZQV5|ZN788_HUMAN	tr|A0A1S3WSU2|A0A1S3WSU2_ERIEU, tr|A0A1S3WWG6|A0A1S3WWG6_ERIEU, tr|A0A1S3WTL3|A0A1S3WTL3_ERIEU, tr|A0A1S3WPI6|A0A1S3WPI6_ERIEU, tr|A0A1S3WQG1|A0A1S3WQG1_ERIEU, tr|A0A1S3WNP9|A0A1S3WNP9_ERIEU, tr|A0A1S3WSK5|A0A1S3WSK5_ERIEU, tr|A0A1S3WSX4|A0A1S3WSX4_ERIEU, tr|A0A1S3WSD4|A0A1S3WSD4_ERIEU, tr|A0A1S3WQ94|A0A1S3WQ94_ERIEU, tr|A0A1S3WQT0|A0A1S3WQT0_ERIEU, tr|A0A1S3WWW2|A0A1S3WWW2_ERIEU, tr|A0A1S3WW64|A0A1S3WW64_ERIEU, tr|A0A1S3WWT0|A0A1S3WWT0_ERIEU, tr|A0A1S3WVL7|A0A1S3WVL7_ERIEU, tr|A0A1S3WWB2|A0A1S3WWB2_ERIEU, tr|A0A1S3WWA7|A0A1S3WWA7_ERIEU, tr|A0A1S3WV70|A0A1S3WV70_ERIEU, tr|A0A1S3WPA3|A0A1S3WPA3_ERIEU, tr|A0A1S3WTC4|A0A1S3WTC4_ERIEU, tr|A0A1S3WTY4|A0A1S3WTY4_ERIEU, tr|A0A1S3WTG2|A0A1S3WTG2_ERIEU, tr|A0A1S3WSC6|A0A1S3WSC6_ERIEU, tr|A0A1S3WWL9|A0A1S3WWL9_ERIEU, tr|A0A1S3WQH1|A0A1S3WQH1_ERIEU, tr|A0A1S3WQ91|A0A1S3WQ91_ERIEU, tr|A0A1S3WQK5|A0A1S3WQK5_ERIEU, tr|A0A1S3WQW0|A0A1S3WQW0_ERIEU, tr|A0A1S3WQ88|A0A1S3WQ88_ERIEU, tr|A0A1S3WQV0|A0A1S3WQV0_ERIEU, tr|A0A1S3WQN9|A0A1S3WQN9_ERIEU, tr|A0A1S3WUZ8|A0A1S3WUZ8_ERIEU, tr|A0A1S3WV01|A0A1S3WV01_ERIEU, tr|A0A1S3ANV1|A0A1S3ANV1_ERIEU, tr|A0A1S3WVI0|A0A1S3WVI0_ERIEU, tr|A0A1S3WVR6|A0A1S3WVR6_ERIEU, tr|A0A1S3WSB7|A0A1S3WSB7_ERIEU, tr|A0A1S3WVH4|A0A1S3WVH4_ERIEU, tr|A0A1S3WV55|A0A1S3WV55_ERIEU, tr|A0A1S3WQ84|A0A1S3WQ84_ERIEU
OG0000002	sp|Q9H343|O51I1_HUMAN	tr|A0A1S3AEB1|A0A1S3AEB1_ERIEU
OG0000002	sp|Q9H344|O51I2_HUMAN	tr|A0A1S3AE57|A0A1S3AE57_ERIEU
OG0000002	sp|A6NGY5|O51F1_HUMAN	tr|A0A1S3A0W4|A0A1S3A0W4_ERIEU, tr|A0A1S3A0V9|A0A1S3A0V9_ERIEU
OG0000002	sp|Q8NH61|O51F2_HUMAN	tr|A0A1S3ADS9|A0A1S3ADS9_ERIEU
OG0000002	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A1S3A0U2|A0A1S3A0U2_ERIEU, tr|A0A1S3A0V8|A0A1S3A0V8_ERIEU, tr|A0A1S3A0T0|A0A1S3A0T0_ERIEU, tr|A0A1S3A0T4|A0A1S3A0T4_ERIEU
OG0000002	sp|Q8NGK1|O51G1_HUMAN	tr|A0A1S3ADZ0|A0A1S3ADZ0_ERIEU
OG0000002	sp|Q8NGK0|O51G2_HUMAN	tr|A0A1S3ADY0|A0A1S3ADY0_ERIEU
OG0000002	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A1S3ADT6|A0A1S3ADT6_ERIEU
OG0000002	sp|Q8NH59|O51Q1_HUMAN	tr|A0A1S3AE29|A0A1S3AE29_ERIEU, tr|A0A1S3AE64|A0A1S3AE64_ERIEU, tr|A0A1S3ADX1|A0A1S3ADX1_ERIEU
OG0000002	sp|Q9H2C8|O51V1_HUMAN	tr|A0A1S3WPH7|A0A1S3WPH7_ERIEU, tr|A0A1S3WPA2|A0A1S3WPA2_ERIEU, tr|A0A1S3WP93|A0A1S3WP93_ERIEU, tr|A0A1S3WPA7|A0A1S3WPA7_ERIEU, tr|A0A1S3ADW7|A0A1S3ADW7_ERIEU, tr|A0A1S3ADX9|A0A1S3ADX9_ERIEU, tr|A0A1S3ADV7|A0A1S3ADV7_ERIEU, tr|A0A1S3AE18|A0A1S3AE18_ERIEU, tr|A0A1S3AEA6|A0A1S3AEA6_ERIEU
OG0000002	sp|Q8NH63|O51H1_HUMAN	tr|A0A1S3AE93|A0A1S3AE93_ERIEU, tr|A0A1S3ADY9|A0A1S3ADY9_ERIEU, tr|A0A1S3AE13|A0A1S3AE13_ERIEU, tr|A0A1S3ADV2|A0A1S3ADV2_ERIEU, tr|A0A1S3ADU6|A0A1S3ADU6_ERIEU, tr|A0A1S3A0V2|A0A1S3A0V2_ERIEU, tr|A0A1S3AE00|A0A1S3AE00_ERIEU, tr|A0A1S3WPX1|A0A1S3WPX1_ERIEU, tr|A0A1S3ADU1|A0A1S3ADU1_ERIEU, tr|A0A1S3AE77|A0A1S3AE77_ERIEU, tr|A0A1S3ADY5|A0A1S3ADY5_ERIEU
OG0000002	sp|Q9H342|O51J1_HUMAN	tr|A0A1S3AE20|A0A1S3AE20_ERIEU, tr|A0A1S3AE04|A0A1S3AE04_ERIEU, tr|A0A1S3AE58|A0A1S3AE58_ERIEU, tr|A0A1S3ADV9|A0A1S3ADV9_ERIEU
OG0000004	sp|Q96R72|OR4K3_HUMAN	tr|A0A1S3ANF9|A0A1S3ANF9_ERIEU
OG0000004	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A1S2ZMP0|A0A1S2ZMP0_ERIEU, tr|A0A1S2ZMQ9|A0A1S2ZMQ9_ERIEU, tr|A0A1S3AQR2|A0A1S3AQR2_ERIEU
OG0000004	sp|Q8NH41|OR4KF_HUMAN	tr|A0A1S3ANX7|A0A1S3ANX7_ERIEU, tr|A0A1S3ANZ2|A0A1S3ANZ2_ERIEU
OG0000004	sp|Q8NGD3|OR4K5_HUMAN	tr|A0A1S3AMJ8|A0A1S3AMJ8_ERIEU
OG0000004	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A1S3ANI2|A0A1S3ANI2_ERIEU, tr|A0A1S3AMK3|A0A1S3AMK3_ERIEU, tr|A0A1S3AMK9|A0A1S3AMK9_ERIEU
OG0000004	sp|Q8NH42|OR4KD_HUMAN	tr|A0A1S3APC1|A0A1S3APC1_ERIEU
OG0000004	sp|Q8NH43|OR4L1_HUMAN	tr|A0A1S3AQC3|A0A1S3AQC3_ERIEU, tr|A0A1S3AQ77|A0A1S3AQ77_ERIEU, tr|A0A1S3APV7|A0A1S3APV7_ERIEU, tr|A0A1S3AR73|A0A1S3AR73_ERIEU
OG0000004	sp|Q8NGC6|OR4KH_HUMAN	tr|A0A1S3AQQ5|A0A1S3AQQ5_ERIEU
OG0000004	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A1S2ZMM9|A0A1S2ZMM9_ERIEU
OG0000004	sp|Q8NGB8|O4F15_HUMAN	tr|A0A1S2ZMR5|A0A1S2ZMR5_ERIEU, tr|A0A1S2ZMM7|A0A1S2ZMM7_ERIEU
OG0000004	sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN	tr|A0A1S2ZMM6|A0A1S2ZMM6_ERIEU, tr|A0A1S2ZMP4|A0A1S2ZMP4_ERIEU, tr|A0A1S2ZMN4|A0A1S2ZMN4_ERIEU, tr|A0A1S2ZMM3|A0A1S2ZMM3_ERIEU
OG0000004	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A1S3ALU7|A0A1S3ALU7_ERIEU, tr|A0A1S3AP98|A0A1S3AP98_ERIEU
OG0000005	sp|Q96R67|OR4CC_HUMAN	tr|A0A1S2ZGM4|A0A1S2ZGM4_ERIEU
OG0000005	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A1S2ZGM1|A0A1S2ZGM1_ERIEU, tr|A0A1S2ZGL6|A0A1S2ZGL6_ERIEU, tr|A0A1S2ZGU4|A0A1S2ZGU4_ERIEU, tr|A0A1S2ZGV3|A0A1S2ZGV3_ERIEU, tr|A0A1S2ZGL4|A0A1S2ZGL4_ERIEU
OG0000005	sp|Q8NH72|OR4C6_HUMAN	tr|A0A1S2ZGW1|A0A1S2ZGW1_ERIEU, tr|A0A1S2ZGM0|A0A1S2ZGM0_ERIEU, tr|A0A1S2ZGV4|A0A1S2ZGV4_ERIEU, tr|A0A1S2ZGV0|A0A1S2ZGV0_ERIEU, tr|A0A1S2ZGV8|A0A1S2ZGV8_ERIEU, tr|A0A1S2ZGU7|A0A1S2ZGU7_ERIEU
OG0000005	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A1S2ZGX6|A0A1S2ZGX6_ERIEU
OG0000005	sp|A6NMZ5|O4C45_HUMAN	tr|A0A1S2ZGL9|A0A1S2ZGL9_ERIEU, tr|A0A1S2ZGY1|A0A1S2ZGY1_ERIEU, tr|A0A1S2ZGX0|A0A1S2ZGX0_ERIEU, tr|A0A1S2ZGY3|A0A1S2ZGY3_ERIEU, tr|A0A1S2ZGX4|A0A1S2ZGX4_ERIEU, tr|A0A1S2ZGX8|A0A1S2ZGX8_ERIEU, tr|A0A1S2ZGX3|A0A1S2ZGX3_ERIEU, tr|A0A1S2ZGY0|A0A1S2ZGY0_ERIEU, tr|A0A1S2ZGW6|A0A1S2ZGW6_ERIEU, tr|A0A1S2ZGM6|A0A1S2ZGM6_ERIEU
OG0000005	sp|Q8NGL6|O4A15_HUMAN	tr|A0A1S2ZGW3|A0A1S2ZGW3_ERIEU, tr|A0A1S2ZGM2|A0A1S2ZGM2_ERIEU, tr|A0A1S2ZGW4|A0A1S2ZGW4_ERIEU, tr|A0A1S2ZGW0|A0A1S2ZGW0_ERIEU, tr|A0A1S2ZGV7|A0A1S2ZGV7_ERIEU, tr|A0A1S2ZGW8|A0A1S2ZGW8_ERIEU, tr|A0A1S2ZGM3|A0A1S2ZGM3_ERIEU, tr|A0A1S2ZGW5|A0A1S2ZGW5_ERIEU, tr|A0A1S2ZGX2|A0A1S2ZGX2_ERIEU, tr|A0A1S2ZGX1|A0A1S2ZGX1_ERIEU, tr|A0A1S2ZGV1|A0A1S2ZGV1_ERIEU
OG0000005	sp|Q8NH37|OR4C3_HUMAN	tr|A0A1S2ZGW7|A0A1S2ZGW7_ERIEU, tr|A0A1S2ZGV5|A0A1S2ZGV5_ERIEU, tr|A0A1S2ZGN0|A0A1S2ZGN0_ERIEU, tr|A0A1S2ZGX9|A0A1S2ZGX9_ERIEU
OG0000006	sp|Q8NGE1|OR6C4_HUMAN	tr|A0A1S2ZEG7|A0A1S2ZEG7_ERIEU
OG0000006	sp|Q8NGE2|O2AP1_HUMAN	tr|A0A1S2ZEW7|A0A1S2ZEW7_ERIEU
OG0000006	sp|Q96RD1|OR6C1_HUMAN	tr|A0A1S2ZEK1|A0A1S2ZEK1_ERIEU
OG0000006	sp|Q9NZP0|OR6C3_HUMAN	tr|A0A1S3W543|A0A1S3W543_ERIEU, tr|A0A1S2ZEJ2|A0A1S2ZEJ2_ERIEU, tr|A0A1S2ZEK0|A0A1S2ZEK0_ERIEU, tr|A0A1S2ZEJ9|A0A1S2ZEJ9_ERIEU
OG0000007	sp|P01615|KVD28_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P06312|KV401_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P06315|KV502_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN	tr|A0A1S3WUM9|A0A1S3WUM9_ERIEU
OG0000010	sp|Q9NZP2|OR6C2_HUMAN	tr|A0A1S2ZEG8|A0A1S2ZEG8_ERIEU, tr|A0A1S2ZEX6|A0A1S2ZEX6_ERIEU, tr|A0A1S2ZEH1|A0A1S2ZEH1_ERIEU, tr|A0A1S2ZEG9|A0A1S2ZEG9_ERIEU, tr|A0A1S2ZEZ1|A0A1S2ZEZ1_ERIEU, tr|A0A1S3AQY0|A0A1S3AQY0_ERIEU
OG0000010	sp|A6NDL8|O6C68_HUMAN	tr|A0A1S2ZEY9|A0A1S2ZEY9_ERIEU, tr|A0A1S2ZEI5|A0A1S2ZEI5_ERIEU, tr|A0A1S2ZEH7|A0A1S2ZEH7_ERIEU, tr|A0A1S2ZEW6|A0A1S2ZEW6_ERIEU, tr|A0A1S2ZEI8|A0A1S2ZEI8_ERIEU, tr|A0A1S2ZEX5|A0A1S2ZEX5_ERIEU, tr|A0A1S2ZEY1|A0A1S2ZEY1_ERIEU, tr|A0A1S2ZEI3|A0A1S2ZEI3_ERIEU, tr|A0A1S2ZEG0|A0A1S2ZEG0_ERIEU, tr|A0A1S2ZEI1|A0A1S2ZEI1_ERIEU, tr|A0A1S2ZEI2|A0A1S2ZEI2_ERIEU, tr|A0A1S2ZEI0|A0A1S2ZEI0_ERIEU, tr|A0A1S2ZEH8|A0A1S2ZEH8_ERIEU, tr|A0A1S2ZEH2|A0A1S2ZEH2_ERIEU, tr|A0A1S2ZEH3|A0A1S2ZEH3_ERIEU, tr|A0A1S2ZEX1|A0A1S2ZEX1_ERIEU, tr|A0A1S2ZEH6|A0A1S2ZEH6_ERIEU, tr|A0A1S2ZEG3|A0A1S2ZEG3_ERIEU, tr|A0A1S2ZEH4|A0A1S2ZEH4_ERIEU, tr|A0A1S2ZEH5|A0A1S2ZEH5_ERIEU, tr|A0A1S2ZEY2|A0A1S2ZEY2_ERIEU, tr|A0A1S2ZEY4|A0A1S2ZEY4_ERIEU, tr|A0A1S2ZEY8|A0A1S2ZEY8_ERIEU, tr|A0A1S2ZEX7|A0A1S2ZEX7_ERIEU, tr|A0A1S2ZEY3|A0A1S2ZEY3_ERIEU, tr|A0A1S2ZEY0|A0A1S2ZEY0_ERIEU, tr|A0A1S2ZEX2|A0A1S2ZEX2_ERIEU, tr|A0A1S2ZEX9|A0A1S2ZEX9_ERIEU, tr|A0A1S2ZEI9|A0A1S2ZEI9_ERIEU
OG0000014	sp|Q8NH69|OR5W2_HUMAN	tr|A0A1S2ZFX8|A0A1S2ZFX8_ERIEU, tr|A0A1S2ZFY2|A0A1S2ZFY2_ERIEU, tr|A0A1S2ZFZ7|A0A1S2ZFZ7_ERIEU, tr|A0A1S2ZFH5|A0A1S2ZFH5_ERIEU, tr|A0A1S2ZFY6|A0A1S2ZFY6_ERIEU
OG0000014	sp|P0C626|OR5G3_HUMAN	tr|A0A1S2ZHN6|A0A1S2ZHN6_ERIEU, tr|A0A1S2ZHL8|A0A1S2ZHL8_ERIEU, tr|A0A1S2ZHX4|A0A1S2ZHX4_ERIEU, tr|A0A1S2ZHX1|A0A1S2ZHX1_ERIEU
OG0000014	sp|Q8NH18|OR5J2_HUMAN	tr|A0A1S2ZHT1|A0A1S2ZHT1_ERIEU, tr|A0A1S2ZHS8|A0A1S2ZHS8_ERIEU, tr|A0A1S2ZHU8|A0A1S2ZHU8_ERIEU, tr|A0A1S2ZHV4|A0A1S2ZHV4_ERIEU
OG0000014	sp|Q8NGF4|O5AP2_HUMAN	tr|A0A1S2ZHW9|A0A1S2ZHW9_ERIEU, tr|A0A1S2ZHW3|A0A1S2ZHW3_ERIEU
OG0000015	sp|Q9UGF5|O14J1_HUMAN	tr|A0A1S3AQY3|A0A1S3AQY3_ERIEU
OG0000015	sp|Q8NHC7|O14CZ_HUMAN	tr|A0A1S3APK6|A0A1S3APK6_ERIEU, tr|A0A1S2ZAT5|A0A1S2ZAT5_ERIEU, tr|A0A1S2ZAS8|A0A1S2ZAS8_ERIEU, tr|A0A1S2ZAS2|A0A1S2ZAS2_ERIEU, tr|A0A1S2ZAQ6|A0A1S2ZAQ6_ERIEU, tr|A0A1S3W495|A0A1S3W495_ERIEU, tr|A0A1S2ZAS5|A0A1S2ZAS5_ERIEU, tr|A0A1S2ZAP6|A0A1S2ZAP6_ERIEU
OG0000015	sp|Q8NHC5|O14AG_HUMAN	tr|A0A1S3AN07|A0A1S3AN07_ERIEU, tr|A0A1S3ANR1|A0A1S3ANR1_ERIEU, tr|A0A1S3ANQ9|A0A1S3ANQ9_ERIEU
OG0000015	sp|Q8NGZ2|O14K1_HUMAN	tr|A0A1S3AP04|A0A1S3AP04_ERIEU, tr|A0A1S3ANM1|A0A1S3ANM1_ERIEU, tr|A0A1S3AF70|A0A1S3AF70_ERIEU, tr|A0A1S3AFM7|A0A1S3AFM7_ERIEU, tr|A0A1S3AFH8|A0A1S3AFH8_ERIEU, tr|A0A1S3ANZ9|A0A1S3ANZ9_ERIEU, tr|A0A1S3AN93|A0A1S3AN93_ERIEU, tr|A0A1S3ANM6|A0A1S3ANM6_ERIEU
OG0000015	sp|Q8NHC6|O14L1_HUMAN	tr|A0A1S2ZAS3|A0A1S2ZAS3_ERIEU, tr|A0A1S3APF9|A0A1S3APF9_ERIEU, tr|A0A1S3AHM1|A0A1S3AHM1_ERIEU
OG0000019	sp|Q8NGI9|OR5A2_HUMAN	tr|A0A1S2ZI43|A0A1S2ZI43_ERIEU
OG0000019	sp|Q8NGJ0|OR5A1_HUMAN	tr|A0A1S2ZI06|A0A1S2ZI06_ERIEU, tr|A0A1S2ZHS3|A0A1S2ZHS3_ERIEU
OG0000019	sp|Q8NGI8|O5AN1_HUMAN	tr|A0A1S2ZI17|A0A1S2ZI17_ERIEU, tr|A0A1S2ZI22|A0A1S2ZI22_ERIEU, tr|A0A1S2ZI31|A0A1S2ZI31_ERIEU, tr|A0A1S2ZI37|A0A1S2ZI37_ERIEU, tr|A0A1S2ZHQ7|A0A1S2ZHQ7_ERIEU, tr|A0A1S2ZI09|A0A1S2ZI09_ERIEU, tr|A0A1S2ZHQ9|A0A1S2ZHQ9_ERIEU, tr|A0A1S2ZI12|A0A1S2ZI12_ERIEU, tr|A0A1S3W6X8|A0A1S3W6X8_ERIEU, tr|A0A1S2ZI21|A0A1S2ZI21_ERIEU, tr|A0A1S3W6Z9|A0A1S3W6Z9_ERIEU, tr|A0A1S2ZI14|A0A1S2ZI14_ERIEU, tr|A0A1S3W6U7|A0A1S3W6U7_ERIEU, tr|A0A1S3W7X9|A0A1S3W7X9_ERIEU, tr|A0A1S2ZHR6|A0A1S2ZHR6_ERIEU, tr|A0A1S2ZI08|A0A1S2ZI08_ERIEU, tr|A0A1S3W6S9|A0A1S3W6S9_ERIEU, tr|A0A1S2ZI13|A0A1S2ZI13_ERIEU, tr|A0A1S2ZI29|A0A1S2ZI29_ERIEU, tr|A0A1S2ZI24|A0A1S2ZI24_ERIEU, tr|A0A1S2ZI18|A0A1S2ZI18_ERIEU, tr|A0A1S2ZI11|A0A1S2ZI11_ERIEU
OG0000020	sp|Q9H7L2|KI3X1_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|P43630|KI3L2_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN	tr|A0A1S3AHQ3|A0A1S3AHQ3_ERIEU
OG0000024	sp|Q9H9J4|UBP42_HUMAN	tr|A0A1S2ZVA3|A0A1S2ZVA3_ERIEU
OG0000024	sp|Q9P275|UBP36_HUMAN	tr|A0A1S3AIM2|A0A1S3AIM2_ERIEU
OG0000024	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN	tr|A0A1S2ZYC9|A0A1S2ZYC9_ERIEU
OG0000026	sp|Q8NGS7|O13C8_HUMAN	tr|A0A1S2ZA62|A0A1S2ZA62_ERIEU
OG0000026	sp|Q8NH95|O13C6_HUMAN, sp|P0DN81|O13C7_HUMAN	tr|A0A1S3WD53|A0A1S3WD53_ERIEU, tr|A0A1S3WCJ7|A0A1S3WCJ7_ERIEU
OG0000026	sp|Q9NQN1|OR2S1_HUMAN	tr|A0A1S2ZT68|A0A1S2ZT68_ERIEU
