Orthogroup	Homo_sapiens	Ursus_maritimus
OG0000003	sp|P59922|OR2B8_HUMAN	tr|A0A384DT73|A0A384DT73_URSMA, tr|A0A384DS15|A0A384DS15_URSMA, tr|A0A384BI89|A0A384BI89_URSMA, tr|A0A384BH60|A0A384BH60_URSMA, tr|A0A384BII6|A0A384BII6_URSMA, tr|A0A384DRW5|A0A384DRW5_URSMA, tr|A0A384DSP6|A0A384DSP6_URSMA, tr|A0A384DRU7|A0A384DRU7_URSMA, tr|A0A384DRN5|A0A384DRN5_URSMA, tr|A0A384DJV9|A0A384DJV9_URSMA, tr|A0A384C8V4|A0A384C8V4_URSMA, tr|A0A384C8N3|A0A384C8N3_URSMA, tr|A0A384DT84|A0A384DT84_URSMA, tr|A0A384DT97|A0A384DT97_URSMA, tr|A0A384DT83|A0A384DT83_URSMA, tr|A0A384DLT9|A0A384DLT9_URSMA, tr|A0A384CBX1|A0A384CBX1_URSMA, tr|A0A384DJ67|A0A384DJ67_URSMA, tr|A0A384DRU2|A0A384DRU2_URSMA, tr|A0A384DJ42|A0A384DJ42_URSMA, tr|A0A384DT89|A0A384DT89_URSMA, tr|A0A384C909|A0A384C909_URSMA, tr|A0A384DRW9|A0A384DRW9_URSMA, tr|A0A8M1GZD1|A0A8M1GZD1_URSMA, tr|A0A8M1H1T4|A0A8M1H1T4_URSMA, tr|A0A384DRZ7|A0A384DRZ7_URSMA, tr|A0A384BI23|A0A384BI23_URSMA, tr|A0A384DP91|A0A384DP91_URSMA, tr|A0A384BI14|A0A384BI14_URSMA, tr|A0A384DRW6|A0A384DRW6_URSMA, tr|A0A384DSN0|A0A384DSN0_URSMA
OG0000005	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A384DP94|A0A384DP94_URSMA, tr|A0A384DQ29|A0A384DQ29_URSMA
OG0000005	sp|Q8NH43|OR4L1_HUMAN	tr|A0A384BI39|A0A384BI39_URSMA, tr|A0A384DN39|A0A384DN39_URSMA, tr|A0A384BI62|A0A384BI62_URSMA, tr|A0A384BI35|A0A384BI35_URSMA, tr|A0A8M1FGP2|A0A8M1FGP2_URSMA, tr|A0A8M1F0F5|A0A8M1F0F5_URSMA, tr|A0A384BI57|A0A384BI57_URSMA, tr|A0A8M1GMT0|A0A8M1GMT0_URSMA
OG0000005	sp|Q8NH42|OR4KD_HUMAN	tr|A0A384BI44|A0A384BI44_URSMA, tr|A0A384BJD6|A0A384BJD6_URSMA, tr|A0A384DNF4|A0A384DNF4_URSMA
OG0000006	sp|A6NMZ5|O4C45_HUMAN	tr|A0A384CXG8|A0A384CXG8_URSMA, tr|A0A384CWL3|A0A384CWL3_URSMA, tr|A0A384CWI8|A0A384CWI8_URSMA, tr|A0A384CWI3|A0A384CWI3_URSMA, tr|A0A8M1GIR2|A0A8M1GIR2_URSMA, tr|A0A384CWY4|A0A384CWY4_URSMA, tr|A0A384CXF4|A0A384CXF4_URSMA, tr|A0A384CXG1|A0A384CXG1_URSMA, tr|A0A384CXE9|A0A384CXE9_URSMA, tr|A0A384CXT7|A0A384CXT7_URSMA
OG0000006	sp|Q8NH37|OR4C3_HUMAN	tr|A0A384CWJ4|A0A384CWJ4_URSMA, tr|A0A384CXF9|A0A384CXF9_URSMA
OG0000006	sp|Q8NH72|OR4C6_HUMAN	tr|A0A384CWS9|A0A384CWS9_URSMA, tr|A0A384CWY5|A0A384CWY5_URSMA, tr|A0A452TT28|A0A452TT28_URSMA, tr|A0A384CXE6|A0A384CXE6_URSMA, tr|A0A384CWJ6|A0A384CWJ6_URSMA, tr|A0A384CXE4|A0A384CXE4_URSMA, tr|A0A384CWH2|A0A384CWH2_URSMA, tr|A0A384CWD7|A0A384CWD7_URSMA, tr|A0A384CXU8|A0A384CXU8_URSMA, tr|A0A384CXT2|A0A384CXT2_URSMA, tr|A0A384CWJ0|A0A384CWJ0_URSMA, tr|A0A384CWH4|A0A384CWH4_URSMA, tr|A0A384CWY1|A0A384CWY1_URSMA, tr|A0A384CWS3|A0A384CWS3_URSMA
OG0000006	sp|Q96R67|OR4CC_HUMAN	tr|A0A384CXU1|A0A384CXU1_URSMA, tr|A0A384CWK3|A0A384CWK3_URSMA
OG0000007	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A384DPJ2|A0A384DPJ2_URSMA
OG0000007	sp|Q8NH61|O51F2_HUMAN	tr|A0A384DPD4|A0A384DPD4_URSMA, tr|A0A384DQ58|A0A384DQ58_URSMA, tr|A0A384DLD8|A0A384DLD8_URSMA
OG0000007	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A384DPH7|A0A384DPH7_URSMA, tr|A0A8M1G4P6|A0A8M1G4P6_URSMA, tr|A0A384DPJ3|A0A384DPJ3_URSMA, tr|A0A384DPH4|A0A384DPH4_URSMA, tr|A0A384DQ99|A0A384DQ99_URSMA
OG0000007	sp|Q9H344|O51I2_HUMAN	tr|A0A384DLE9|A0A384DLE9_URSMA
OG0000007	sp|Q9H343|O51I1_HUMAN	tr|A0A384DLI9|A0A384DLI9_URSMA, tr|A0A384DM24|A0A384DM24_URSMA, tr|A0A384DLZ1|A0A384DLZ1_URSMA, tr|A0A384DL83|A0A384DL83_URSMA
OG0000007	sp|Q8NH59|O51Q1_HUMAN	tr|A0A384DPS6|A0A384DPS6_URSMA, tr|A0A384DLJ5|A0A384DLJ5_URSMA, tr|A0A384DM40|A0A384DM40_URSMA, tr|A0A384DM32|A0A384DM32_URSMA
OG0000007	sp|Q8NH63|O51H1_HUMAN	tr|A0A384DQ89|A0A384DQ89_URSMA, tr|A0A384DPE5|A0A384DPE5_URSMA, tr|A0A384DPJ8|A0A384DPJ8_URSMA, tr|A0A384DKV1|A0A384DKV1_URSMA, tr|A0A384DPQ6|A0A384DPQ6_URSMA, tr|A0A384DQA9|A0A384DQA9_URSMA
OG0000010	sp|A0A576|TVB31_HUMAN, sp|A0A577|TVB41_HUMAN, sp|A0A589|TVB43_HUMAN, sp|A0A539|TVB42_HUMAN	tr|A0A8M1H097|A0A8M1H097_URSMA
OG0000010	tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087WV62|TVB16_HUMAN	tr|A0A8M1H4B9|A0A8M1H4B9_URSMA
OG0000011	sp|P01848|TRAC_HUMAN, sp|A0JD32|TV382_HUMAN, sp|P0DTU3|TRAR2_HUMAN, sp|A0A0B4J264|TV381_HUMAN, sp|A0A0A6YYC5|TVA14_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J248|TVA11_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J249|TVA5_HUMAN	tr|A0A8M1GBF3|A0A8M1GBF3_URSMA
OG0000014	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN	tr|A0A8M1FWZ8|A0A8M1FWZ8_URSMA
OG0000015	sp|Q8NHC7|O14CZ_HUMAN	tr|A0A384DKJ4|A0A384DKJ4_URSMA, tr|A0A8M1F5P3|A0A8M1F5P3_URSMA
OG0000015	sp|A6ND48|O14I1_HUMAN	tr|A0A384BHA2|A0A384BHA2_URSMA
OG0000015	sp|Q9UGF5|O14J1_HUMAN	tr|A0A384DNH4|A0A384DNH4_URSMA, tr|A0A384DJY4|A0A384DJY4_URSMA
OG0000015	sp|Q96R54|O14A2_HUMAN	tr|A0A384DNJ8|A0A384DNJ8_URSMA, tr|A0A384DLH4|A0A384DLH4_URSMA, tr|A0A384DMW7|A0A384DMW7_URSMA, tr|A0A384DMV5|A0A384DMV5_URSMA
OG0000015	sp|Q8NGZ2|O14K1_HUMAN	tr|A0A384DMW2|A0A384DMW2_URSMA, tr|A0A384DNI3|A0A384DNI3_URSMA, tr|A0A384DMV0|A0A384DMV0_URSMA, tr|A0A384DMK8|A0A384DMK8_URSMA, tr|A0A384DNG7|A0A384DNG7_URSMA, tr|A0A384DMK3|A0A384DMK3_URSMA
OG0000015	sp|Q8NHC5|O14AG_HUMAN	tr|A0A8M1F8Z9|A0A8M1F8Z9_URSMA, tr|A0A8M1FD29|A0A8M1FD29_URSMA
OG0000016	sp|Q8NH73|OR4S2_HUMAN	tr|A0A384CBQ3|A0A384CBQ3_URSMA
OG0000016	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A384CBT0|A0A384CBT0_URSMA, tr|A0A384CD97|A0A384CD97_URSMA, tr|A0A8M1GI92|A0A8M1GI92_URSMA, tr|A0A384CWX5|A0A384CWX5_URSMA, tr|A0A384CXS6|A0A384CXS6_URSMA, tr|A0A384CWF1|A0A384CWF1_URSMA, tr|A0A384CC73|A0A384CC73_URSMA, tr|A0A384CC66|A0A384CC66_URSMA, tr|A0A384CC82|A0A384CC82_URSMA, tr|A0A384CC61|A0A384CC61_URSMA, tr|A0A384CCV2|A0A384CCV2_URSMA, tr|A0A384CDC6|A0A384CDC6_URSMA, tr|A0A384CC57|A0A384CC57_URSMA, tr|A0A384CC78|A0A384CC78_URSMA, tr|A0A384CBR7|A0A384CBR7_URSMA, tr|A0A384CBR3|A0A384CBR3_URSMA, tr|A0A384CDA7|A0A384CDA7_URSMA, tr|A0A384CC67|A0A384CC67_URSMA, tr|A0A384CC56|A0A384CC56_URSMA, tr|A0A384CDC3|A0A384CDC3_URSMA, tr|A0A384CC62|A0A384CC62_URSMA, tr|A0A384CBQ5|A0A384CBQ5_URSMA, tr|A0A384CDE0|A0A384CDE0_URSMA, tr|A0A384CC72|A0A384CC72_URSMA, tr|A0A384CBR6|A0A384CBR6_URSMA, tr|A0A384CCZ5|A0A384CCZ5_URSMA, tr|A0A384CBT7|A0A384CBT7_URSMA
OG0000017	sp|Q8NGC1|O11G2_HUMAN	tr|A0A384DQI8|A0A384DQI8_URSMA
OG0000017	sp|Q8NGC9|O11H4_HUMAN	tr|A0A384BI96|A0A384BI96_URSMA
OG0000017	sp|Q8NGC8|O11H7_HUMAN	tr|A0A384DMH1|A0A384DMH1_URSMA
OG0000017	sp|Q8NGC7|O11H6_HUMAN	tr|A0A8M1FDM2|A0A8M1FDM2_URSMA, tr|A0A384DRD5|A0A384DRD5_URSMA
OG0000019	sp|Q9H7L2|KI3X1_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q99706|KI2L4_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14954|KI2S1_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|P43631|KI2S2_HUMAN, sp|P43627|KI2L2_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN	tr|A0A8M1GCP6|A0A8M1GCP6_URSMA
OG0000021	sp|Q8TAF7|ZN461_HUMAN	tr|A0A384DU86|A0A384DU86_URSMA
OG0000021	sp|Q96NG8|ZN582_HUMAN	tr|A0A8M1G260|A0A8M1G260_URSMA
OG0000021	sp|Q969W8|ZN566_HUMAN	tr|A0A384DU83|A0A384DU83_URSMA
OG0000021	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A384DTN1|A0A384DTN1_URSMA
OG0000021	sp|Q8NA42|ZN383_HUMAN	tr|A0A384DQN6|A0A384DQN6_URSMA, tr|A0A384BXA5|A0A384BXA5_URSMA
OG0000021	sp|Q8N141|ZFP82_HUMAN	tr|A0A452V5F7|A0A452V5F7_URSMA
OG0000021	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A384DQP1|A0A384DQP1_URSMA
OG0000021	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A8M1G2I2|A0A8M1G2I2_URSMA
OG0000021	sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN	tr|A0A8M1GD29|A0A8M1GD29_URSMA
OG0000023	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A384CWB9|A0A384CWB9_URSMA, tr|A0A384CWC4|A0A384CWC4_URSMA
OG0000023	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A384CWC8|A0A384CWC8_URSMA, tr|A0A384CWD1|A0A384CWD1_URSMA, tr|A0A384CWG1|A0A384CWG1_URSMA, tr|A0A384CXE1|A0A384CXE1_URSMA, tr|A0A384CXD6|A0A384CXD6_URSMA, tr|A0A384CWI0|A0A384CWI0_URSMA, tr|A0A384CXD1|A0A384CXD1_URSMA, tr|A0A384CWI6|A0A384CWI6_URSMA, tr|A0A384CBQ0|A0A384CBQ0_URSMA, tr|A0A384CDB9|A0A384CDB9_URSMA, tr|A0A384CCU7|A0A384CCU7_URSMA, tr|A0A384DP00|A0A384DP00_URSMA, tr|A0A384CC45|A0A384CC45_URSMA, tr|A0A8M1GWD9|A0A8M1GWD9_URSMA, tr|A0A384CWB5|A0A384CWB5_URSMA, tr|A0A384CC68|A0A384CC68_URSMA, tr|A0A384CXC6|A0A384CXC6_URSMA, tr|A0A8M1GSX1|A0A8M1GSX1_URSMA, tr|A0A384CXB7|A0A384CXB7_URSMA, tr|A0A384CXC2|A0A384CXC2_URSMA, tr|A0A384CC52|A0A384CC52_URSMA, tr|A0A384CCY1|A0A384CCY1_URSMA
OG0000024	sp|O95221|OR5F1_HUMAN	tr|A0A384CD18|A0A384CD18_URSMA, tr|A0A8M1GG66|A0A8M1GG66_URSMA, tr|A0A384CDB5|A0A384CDB5_URSMA
OG0000024	sp|P0C626|OR5G3_HUMAN	tr|A0A384C0Y3|A0A384C0Y3_URSMA, tr|A0A8M1F904|A0A8M1F904_URSMA, tr|A0A8M1F5G3|A0A8M1F5G3_URSMA, tr|A0A384DMS6|A0A384DMS6_URSMA, tr|A0A8M1F6U5|A0A8M1F6U5_URSMA, tr|A0A384DMW0|A0A384DMW0_URSMA, tr|A0A384DMP4|A0A384DMP4_URSMA, tr|A0A384DGM9|A0A384DGM9_URSMA, tr|A0A384D5U7|A0A384D5U7_URSMA, tr|A0A384CZI7|A0A384CZI7_URSMA, tr|A0A384CYN2|A0A384CYN2_URSMA, tr|A0A384CCC3|A0A384CCC3_URSMA, tr|A0A384CCD4|A0A384CCD4_URSMA, tr|A0A384CC83|A0A384CC83_URSMA, tr|A0A384CDB4|A0A384CDB4_URSMA, tr|A0A384CBZ8|A0A384CBZ8_URSMA, tr|A0A384CBX5|A0A384CBX5_URSMA, tr|A0A384CCC5|A0A384CCC5_URSMA, tr|A0A384CCB4|A0A384CCB4_URSMA, tr|A0A384CD23|A0A384CD23_URSMA, tr|A0A384CCB2|A0A384CCB2_URSMA
OG0000025	sp|Q9Y5G8|PCDG5_HUMAN	tr|A0A8M1F4K6|A0A8M1F4K6_URSMA
OG0000025	sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN	tr|A0A8M1F7W0|A0A8M1F7W0_URSMA
OG0000025	sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN	tr|A0A8M1FAQ8|A0A8M1FAQ8_URSMA
OG0000027	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P63261|ACTG_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|Q562R1|ACTBL_HUMAN	tr|A0A384DAT0|A0A384DAT0_URSMA
OG0000028	sp|A6NLX3|SPDE4_HUMAN	tr|A0A384CP07|A0A384CP07_URSMA
OG0000028	sp|Q8NFV5|SPDE1_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN	tr|A0A384CV70|A0A384CV70_URSMA
